ID;CaoSector;SectorBranchesSIC2008;Version;Periods;MonthlyCaoWagesExclSpecialPayments_1;MonthlyCaoWagesInclSpecialPayments_2;HourlyCaoWagesExclSpecialPayments_3;HourlyCaoWagesInclSpecialPayments_4;MonthlyContractualWageCosts_5;HourlyContractualWageCosts_6;ContractualWorkingHours_7;MonthlyCaoWagesExclSpecialPayments_8;MonthlyCaoWagesInclSpecialPayments_9;HourlyCaoWagesExclSpecialPayments_10;HourlyCaoWagesInclSpecialPayments_11;MonthlyContractualWageCosts_12;HourlyContractualWageCosts_13;ContractualWorkingHours_14;PercentageOfCaoSConcluded_15
40;Total collective labour agreement sector;A-U All economic activities;Current figures;2012 year;;;;;;;;1.3;1.5;1.3;1.4;2.4;2.4;0.0;
41;Total collective labour agreement sector;A-U All economic activities;Current figures;2013 year;;;;;;;;1.1;1.1;1.1;1.2;1.5;1.6;0.0;
42;Total collective labour agreement sector;A-U All economic activities;Current figures;2014 year;;;;;;;;0.8;1.0;0.8;0.9;1.4;1.3;0.0;
43;Total collective labour agreement sector;A-U All economic activities;Current figures;2015 year;;;;;;;;1.3;1.4;1.2;1.4;0.6;0.6;0.1;
44;Total collective labour agreement sector;A-U All economic activities;Current figures;2016 year;;;;;;;;1.8;1.9;1.7;1.8;2.0;2.0;0.0;
45;Total collective labour agreement sector;A-U All economic activities;Current figures;2017 year;;;;;;;;1.4;1.4;1.4;1.4;1.9;1.9;0.0;
46;Total collective labour agreement sector;A-U All economic activities;Current figures;2018 year;;;;;;;;1.8;2.0;1.9;2.0;2.4;2.4;0.0;
47;Total collective labour agreement sector;A-U All economic activities;Current figures;2019 year;;;;;;;;2.4;2.5;2.3;2.5;3.1;3.1;0.0;
48;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 January;99.1;99.1;99.1;99.1;99.1;99.1;100.0;;;;;;;;100.0
49;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 February;99.2;99.2;99.2;99.2;99.2;99.2;100.0;;;;;;;;100.0
50;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 March;99.3;99.3;99.3;99.3;99.3;99.3;100.0;;;;;;;;100.0
51;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 1st quarter;99.2;99.2;99.2;99.2;99.2;99.2;100.0;;;;;;;;100.0
52;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 April;99.4;99.4;99.4;99.4;99.4;99.4;100.0;;;;;;;;100.0
53;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 May;99.5;99.5;99.5;99.5;99.5;99.5;100.0;;;;;;;;100.0
54;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 June;99.7;99.7;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
55;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 2nd quarter;99.5;99.5;99.5;99.5;99.5;99.5;100.0;;;;;;;;100.0
56;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 July;100.4;100.5;100.5;100.5;100.5;100.5;100.0;;;;;;;;100.0
57;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 August;100.5;100.6;100.6;100.6;100.6;100.6;100.0;;;;;;;;100.0
58;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 September;100.6;100.6;100.6;100.6;100.6;100.6;100.0;;;;;;;;100.0
59;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 3rd quarter;100.5;100.5;100.5;100.5;100.5;100.5;100.0;;;;;;;;100.0
60;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 October;100.7;100.7;100.7;100.7;100.7;100.7;100.0;;;;;;;;100.0
61;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 November;100.7;100.7;100.7;100.7;100.7;100.7;100.0;;;;;;;;100.0
62;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 December;100.8;100.8;100.8;100.8;100.8;100.8;100.0;;;;;;;;100.0
63;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 4th quarter;100.7;100.7;100.7;100.7;100.7;100.7;100.0;;;;;;;;100.0
64;Total collective labour agreement sector;A-U All economic activities;Current figures;2020 year;100.0;100.0;100.0;100.0;100.0;100.0;100.0;2.9;2.8;3.1;2.9;2.7;2.9;-0.1;100.0
65;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 January;101.2;101.4;101.2;101.4;101.9;101.9;100.0;2.1;2.3;2.1;2.3;2.8;2.8;0.0;100.0
66;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 February;101.3;101.4;101.3;101.4;102.0;102.0;100.0;2.1;2.2;2.1;2.2;2.8;2.8;0.0;100.0
67;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 March;101.3;101.5;101.4;101.5;102.0;102.0;100.0;2.0;2.2;2.1;2.2;2.7;2.7;0.0;100.0
68;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 1st quarter;101.3;101.4;101.3;101.4;102.0;102.0;100.0;2.1;2.2;2.1;2.2;2.8;2.8;0.0;100.0
69;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 April;101.5;101.6;101.5;101.6;102.1;102.2;100.0;2.1;2.2;2.1;2.2;2.7;2.8;0.0;100.0
70;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 May;101.5;101.7;101.5;101.7;102.2;102.2;100.0;2.0;2.2;2.0;2.2;2.7;2.7;0.0;100.0
71;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 June;101.7;101.8;101.7;101.8;102.3;102.3;100.0;2.0;2.1;2.0;2.1;2.6;2.6;0.0;100.0
72;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 2nd quarter;101.5;101.7;101.6;101.7;102.2;102.2;100.0;2.0;2.2;2.1;2.2;2.7;2.7;0.0;100.0
73;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 July;102.3;102.4;102.3;102.4;102.9;102.9;100.0;1.9;1.9;1.8;1.9;2.4;2.4;0.0;100.0
74;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 August;102.4;102.5;102.4;102.5;101.6;101.6;100.0;1.9;1.9;1.8;1.9;1.0;1.0;0.0;100.0
75;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 September;102.4;102.5;102.4;102.5;101.7;101.7;100.0;1.8;1.9;1.8;1.9;1.1;1.1;0.0;100.0
76;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 3rd quarter;102.4;102.4;102.4;102.4;102.1;102.1;100.0;1.9;1.9;1.9;1.9;1.6;1.6;0.0;100.0
77;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 October;102.5;102.6;102.5;102.6;101.8;101.8;100.0;1.8;1.9;1.8;1.9;1.1;1.1;0.0;100.0
78;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 November;102.5;102.6;102.5;102.6;101.8;101.8;100.0;1.8;1.9;1.8;1.9;1.1;1.1;0.0;100.0
79;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 December;102.7;102.7;102.7;102.7;101.8;101.8;100.0;1.9;1.9;1.9;1.9;1.0;1.0;0.0;100.0
80;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 4th quarter;102.6;102.6;102.6;102.6;101.8;101.8;100.0;1.9;1.9;1.9;1.9;1.1;1.1;0.0;100.0
81;Total collective labour agreement sector;A-U All economic activities;Current figures;2021 year;101.9;102.0;101.9;102.1;102.0;102.0;100.0;1.9;2.0;1.9;2.1;2.0;2.0;0.0;100.0
82;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 January;103.7;103.9;103.7;103.9;104.2;104.2;100.0;2.5;2.5;2.5;2.5;2.3;2.3;0.0;100.0
83;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 February;103.8;104.1;103.9;104.1;104.3;104.3;100.0;2.5;2.7;2.6;2.7;2.3;2.3;0.0;100.0
84;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 March;104.1;104.3;104.1;104.4;104.6;104.6;100.0;2.8;2.8;2.7;2.9;2.5;2.5;0.0;100.0
85;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 1st quarter;103.9;104.1;103.9;104.1;104.4;104.4;100.0;2.6;2.7;2.6;2.7;2.4;2.4;0.0;100.0
86;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 April;104.4;104.7;104.4;104.7;105.0;105.0;100.0;2.9;3.1;2.9;3.1;2.8;2.7;0.0;100.0
87;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 May;104.5;104.8;104.6;104.8;105.1;105.1;100.0;3.0;3.0;3.1;3.0;2.8;2.8;0.0;100.0
88;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 June;104.7;105.0;104.7;105.0;105.3;105.3;100.0;2.9;3.1;2.9;3.1;2.9;2.9;0.0;100.0
89;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 2nd quarter;104.6;104.8;104.6;104.8;105.1;105.1;100.0;3.1;3.0;3.0;3.0;2.8;2.8;0.0;100.0
90;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 July;105.8;105.9;105.8;105.9;106.2;106.2;100.0;3.4;3.4;3.4;3.4;3.2;3.2;0.0;100.0
91;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 August;105.9;106.0;105.9;106.0;106.3;106.3;100.0;3.4;3.4;3.4;3.4;4.6;4.6;0.0;100.0
92;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 September;106.0;106.2;106.1;106.2;106.5;106.5;100.0;3.5;3.6;3.6;3.6;4.7;4.7;0.0;100.0
93;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 3rd quarter;105.9;106.0;105.9;106.0;106.3;106.3;100.0;3.4;3.5;3.4;3.5;4.1;4.1;0.0;100.0
94;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 October;106.1;106.3;106.1;106.3;106.6;106.6;100.0;3.5;3.6;3.5;3.6;4.7;4.7;0.0;100.0
95;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 November;106.1;106.3;106.2;106.3;106.6;106.7;100.0;3.5;3.6;3.6;3.6;4.7;4.8;0.0;100.0
96;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 December;106.4;106.6;106.4;106.6;106.9;106.9;100.0;3.6;3.8;3.6;3.8;5.0;5.0;0.0;100.0
97;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 4th quarter;106.2;106.4;106.2;106.4;106.7;106.7;100.0;3.5;3.7;3.5;3.7;4.8;4.8;0.0;100.0
98;Total collective labour agreement sector;A-U All economic activities;Current figures;2022 year;105.1;105.3;105.2;105.4;105.6;105.7;100.0;3.1;3.2;3.2;3.2;3.5;3.6;0.0;100.0
99;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 January;108.9;109.4;109.0;109.5;109.3;109.4;99.9;5.0;5.3;5.1;5.4;4.9;5.0;-0.1;100.0
100;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 February;109.2;109.7;109.3;109.8;109.6;109.7;99.9;5.2;5.4;5.2;5.5;5.1;5.2;-0.1;100.0
101;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 March;109.6;110.1;109.7;110.3;110.0;110.1;99.9;5.3;5.6;5.4;5.7;5.2;5.3;-0.1;100.0
102;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 1st quarter;109.2;109.7;109.4;109.9;109.6;109.8;99.9;5.1;5.4;5.3;5.6;5.0;5.2;-0.1;100.0
103;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 April;110.1;110.6;110.2;110.7;110.5;110.6;99.9;5.5;5.6;5.6;5.7;5.2;5.3;-0.1;100.0
104;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 May;110.2;110.7;110.4;110.9;110.7;110.8;99.9;5.5;5.6;5.5;5.8;5.3;5.4;-0.1;100.0
105;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 June;110.3;110.8;110.4;110.9;110.7;110.9;99.9;5.3;5.5;5.4;5.6;5.1;5.3;-0.1;100.0
106;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 2nd quarter;110.2;110.7;110.3;110.9;110.6;110.8;99.9;5.4;5.6;5.4;5.8;5.2;5.4;-0.1;100.0
107;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 July;111.8;112.3;111.9;112.4;112.2;112.3;99.9;5.7;6.0;5.8;6.1;5.6;5.7;-0.1;100.0
108;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 August;112.0;112.4;112.1;112.6;112.4;112.5;99.9;5.8;6.0;5.9;6.2;5.7;5.8;-0.1;100.0
109;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 September;112.5;112.9;112.6;113.0;112.8;113.0;99.9;6.1;6.3;6.1;6.4;5.9;6.1;-0.1;100.0
110;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 3rd quarter;112.1;112.5;112.2;112.7;112.5;112.6;99.9;5.9;6.1;5.9;6.3;5.8;5.9;-0.1;100.0
111;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 October;112.8;113.2;113.0;113.4;113.2;113.3;99.9;6.3;6.5;6.5;6.7;6.2;6.3;-0.1;100.0
112;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 November;113.0;113.4;113.2;113.6;113.4;113.5;99.9;6.5;6.7;6.6;6.9;6.4;6.4;-0.1;100.0
113;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 December;113.4;113.7;113.5;113.9;113.7;113.8;99.9;6.6;6.7;6.7;6.8;6.4;6.5;-0.1;100.0
114;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 4th quarter;113.1;113.5;113.2;113.6;113.4;113.6;99.9;6.5;6.7;6.6;6.8;6.3;6.5;-0.1;100.0
115;Total collective labour agreement sector;A-U All economic activities;Current figures;2023 year;111.1;111.6;111.3;111.8;111.5;111.7;99.9;5.7;6.0;5.8;6.1;5.6;5.7;-0.1;100.0
116;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 January;116.6;116.9;116.8;117.1;116.9;117.1;99.9;7.1;6.9;7.2;6.9;7.0;7.0;0.0;100.0
117;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 February;116.7;117.0;116.9;117.2;117.0;117.2;99.9;6.9;6.7;7.0;6.7;6.8;6.8;0.0;100.0
118;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 March;116.9;117.2;117.1;117.4;117.2;117.4;99.9;6.7;6.4;6.7;6.4;6.5;6.6;0.0;100.0
119;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 1st quarter;116.7;117.0;116.9;117.2;117.0;117.2;99.9;6.9;6.7;6.9;6.6;6.8;6.7;0.0;100.0
120;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 April;117.3;117.6;117.4;117.7;117.6;117.7;99.9;6.5;6.3;6.5;6.3;6.4;6.4;0.0;100.0
121;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 May;117.4;117.7;117.6;117.9;117.7;117.9;99.9;6.5;6.3;6.5;6.3;6.3;6.4;0.0;100.0
122;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 June;117.9;118.2;118.1;118.4;118.2;118.4;99.9;6.9;6.7;7.0;6.8;6.8;6.8;0.0;100.0
123;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 2nd quarter;117.5;117.8;117.7;118.0;117.8;118.0;99.9;6.6;6.4;6.7;6.4;6.5;6.5;0.0;100.0
124;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 July;120.0;120.2;120.2;120.4;120.3;120.5;99.9;7.3;7.0;7.4;7.1;7.2;7.3;0.0;100.0
125;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 August;120.0;120.3;120.2;120.4;120.3;120.5;99.9;7.1;7.0;7.2;6.9;7.0;7.1;0.0;100.0
126;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 September;120.2;120.3;120.4;120.5;120.4;120.6;99.9;6.8;6.6;6.9;6.6;6.7;6.7;0.0;100.0
127;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 3rd quarter;120.1;120.3;120.3;120.5;120.3;120.5;99.9;7.1;6.9;7.2;6.9;6.9;7.0;0.0;100.0
128;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 October;120.7;120.8;120.9;121.0;120.9;121.1;99.9;7.0;6.7;7.0;6.7;6.8;6.9;0.0;100.0
129;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 November;120.7;120.9;120.9;121.1;121.0;121.1;99.9;6.8;6.6;6.8;6.6;6.7;6.7;0.0;100.0
130;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 December;120.9;121.0;121.0;121.2;121.1;121.3;99.9;6.6;6.4;6.6;6.4;6.5;6.6;0.0;100.0
131;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 4th quarter;120.7;120.9;120.9;121.1;121.0;121.2;99.9;6.7;6.5;6.8;6.6;6.7;6.7;0.0;100.0
132;Total collective labour agreement sector;A-U All economic activities;Current figures;2024 year;118.8;119.0;119.0;119.2;119.0;119.2;99.9;6.9;6.6;6.9;6.6;6.7;6.7;0.0;100.0
133;Total collective labour agreement sector;A-U All economic activities;Current figures;2025 January;123.5;123.6;123.5;123.6;123.8;123.8;100.0;5.9;5.7;5.7;5.6;5.9;5.7;0.1;86.0
134;Total collective labour agreement sector;A-U All economic activities;Current figures;2025 February;123.5;123.6;123.5;123.6;123.8;123.8;100.0;5.8;5.6;5.6;5.5;5.8;5.6;0.1;82.0
135;Total collective labour agreement sector;A-U All economic activities;Current figures;2025 March;123.7;123.9;123.7;123.9;124.1;124.1;100.0;5.8;5.7;5.6;5.5;5.9;5.7;0.1;80.0
136;Total collective labour agreement sector;A-U All economic activities;Current figures;2025 1st quarter;123.6;123.7;123.6;123.7;123.9;123.9;100.0;5.9;5.7;5.7;5.5;5.9;5.7;0.1;83.0
137;Total collective labour agreement sector;A-U All economic activities;First-published figures;1972 year;;;;;;;;;;;;;;;
138;Total collective labour agreement sector;A-U All economic activities;First-published figures;1973 year;;;;;;;;;;;;;;;
139;Total collective labour agreement sector;A-U All economic activities;First-published figures;1974 year;;;;;;;;;;;;;;;
140;Total collective labour agreement sector;A-U All economic activities;First-published figures;1975 year;;;;;;;;;;;;;;;
141;Total collective labour agreement sector;A-U All economic activities;First-published figures;1976 year;;;;;;;;;;;;;;;
142;Total collective labour agreement sector;A-U All economic activities;First-published figures;1977 year;;;;;;;;;;;;;;;
143;Total collective labour agreement sector;A-U All economic activities;First-published figures;1978 year;;;;;;;;;;;;;;;
144;Total collective labour agreement sector;A-U All economic activities;First-published figures;1979 year;;;;;;;;;;;;;;;
145;Total collective labour agreement sector;A-U All economic activities;First-published figures;1980 year;;;;;;;;;;;;;;;
146;Total collective labour agreement sector;A-U All economic activities;First-published figures;1981 year;;;;;;;;;;;;;;;
147;Total collective labour agreement sector;A-U All economic activities;First-published figures;1982 year;;;;;;;;;;;;;;;
148;Total collective labour agreement sector;A-U All economic activities;First-published figures;1983 year;;;;;;;;;;;;;;;
149;Total collective labour agreement sector;A-U All economic activities;First-published figures;1984 year;;;;;;;;;;;;;;;
150;Total collective labour agreement sector;A-U All economic activities;First-published figures;1985 year;;;;;;;;;;;;;;;
151;Total collective labour agreement sector;A-U All economic activities;First-published figures;1986 year;;;;;;;;;;;;;;;
152;Total collective labour agreement sector;A-U All economic activities;First-published figures;1987 year;;;;;;;;;;;;;;;
153;Total collective labour agreement sector;A-U All economic activities;First-published figures;1988 year;;;;;;;;;;;;;;;
154;Total collective labour agreement sector;A-U All economic activities;First-published figures;1989 year;;;;;;;;;;;;;;;
155;Total collective labour agreement sector;A-U All economic activities;First-published figures;1990 year;;;;;;;;;;;;;;;
156;Total collective labour agreement sector;A-U All economic activities;First-published figures;1991 year;;;;;;;;;;;;;;;
157;Total collective labour agreement sector;A-U All economic activities;First-published figures;1992 year;;;;;;;;;;;;;;;
158;Total collective labour agreement sector;A-U All economic activities;First-published figures;1993 year;;;;;;;;;;;;;;;
159;Total collective labour agreement sector;A-U All economic activities;First-published figures;1994 year;;;;;;;;;;;;;;;
160;Total collective labour agreement sector;A-U All economic activities;First-published figures;1995 year;;;;;;;;;;;;;;;
161;Total collective labour agreement sector;A-U All economic activities;First-published figures;1996 year;;;;;;;;;;;;;;;
162;Total collective labour agreement sector;A-U All economic activities;First-published figures;1997 year;;;;;;;;;;;;;;;
163;Total collective labour agreement sector;A-U All economic activities;First-published figures;1998 year;;;;;;;;;;;;;;;
164;Total collective labour agreement sector;A-U All economic activities;First-published figures;1999 year;;;;;;;;;;;;;;;
165;Total collective labour agreement sector;A-U All economic activities;First-published figures;2000 year;;;;;;;;;;;;;;;
166;Total collective labour agreement sector;A-U All economic activities;First-published figures;2001 year;;;;;;;;;;;;;;;
167;Total collective labour agreement sector;A-U All economic activities;First-published figures;2002 year;;;;;;;;;;;;;;;
168;Total collective labour agreement sector;A-U All economic activities;First-published figures;2003 year;;;;;;;;;;;;;;;
169;Total collective labour agreement sector;A-U All economic activities;First-published figures;2004 year;;;;;;;;;;;;;;;
170;Total collective labour agreement sector;A-U All economic activities;First-published figures;2005 year;;;;;;;;;;;;;;;
171;Total collective labour agreement sector;A-U All economic activities;First-published figures;2006 year;;;;;;;;;;;;;;;
172;Total collective labour agreement sector;A-U All economic activities;First-published figures;2007 year;;;;;;;;;;;;;;;
173;Total collective labour agreement sector;A-U All economic activities;First-published figures;2008 year;;;;;;;;;;;;;;;
174;Total collective labour agreement sector;A-U All economic activities;First-published figures;2009 year;;;;;;;;;;;;;;;
175;Total collective labour agreement sector;A-U All economic activities;First-published figures;2010 year;;;;;;;;;;;;;;;
176;Total collective labour agreement sector;A-U All economic activities;First-published figures;2011 year;;;;;;;;;;;;;;;
177;Total collective labour agreement sector;A-U All economic activities;First-published figures;2012 year;;;;;;;;;;;;;;;
178;Total collective labour agreement sector;A-U All economic activities;First-published figures;2013 year;;;;;;;;;;;;;;;
179;Total collective labour agreement sector;A-U All economic activities;First-published figures;2014 year;;;;;;;;;;;;;;;
180;Total collective labour agreement sector;A-U All economic activities;First-published figures;2015 year;;;;;;;;;;;;;;;
181;Total collective labour agreement sector;A-U All economic activities;First-published figures;2016 year;;;;;;;;;;;;;;;
182;Total collective labour agreement sector;A-U All economic activities;First-published figures;2017 year;;;;;;;;;;;;;;;
