ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
161;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;40.7
162;Total;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2018;7.0
163;Total;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2019;7.1
164;Total;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2020;4.8
165;Total;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2021;5.6
166;Total;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2022;6.2
167;Total;Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2023;6.0
168;Total;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2018;8.7
169;Total;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2019;8.9
170;Total;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2020;6.1
171;Total;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2021;6.7
172;Total;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2022;7.6
173;Total;Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2023;7.7
174;Total;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2018;6.8
175;Total;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2019;6.2
176;Total;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2020;4.3
177;Total;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2021;5.0
178;Total;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2022;5.4
179;Total;Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2023;6.0
180;Total;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2018;14.5
181;Total;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2019;14.5
182;Total;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2020;9.7
183;Total;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2021;10.8
184;Total;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2022;12.3
185;Total;Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2023;13.1
186;Total;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2018;5.5
187;Total;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2019;5.4
188;Total;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2020;3.9
189;Total;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2021;4.4
190;Total;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2022;4.8
191;Total;Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2023;5.1
192;Total;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2018;26.4
193;Total;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2019;26.4
194;Total;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2020;19.0
195;Total;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2021;20.9
196;Total;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2022;23.2
197;Total;Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2023;24.7
198;Total;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2018;15.8
199;Total;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2019;17.6
200;Total;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2020;12.0
201;Total;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2021;13.0
202;Total;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2022;14.5
203;Total;Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2023;15.9
204;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2018;33.7
205;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2019;31.6
206;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2020;21.6
207;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2021;24.3
208;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2022;27.0
209;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2023;28.4
210;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;40.5
211;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;41.1
212;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;28.2
213;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;31.6
214;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;33.8
215;Total;Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;37.2
216;Total;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2018;3.9
217;Total;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2019;4.3
218;Total;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2020;3.2
219;Total;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2021;3.8
220;Total;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2022;3.9
221;Total;Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2023;3.9
222;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;30.8
223;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;30.4
224;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;21.1
225;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;23.0
226;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;26.8
227;Total;Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;29.6
228;Total;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2018;12.0
229;Total;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2019;11.5
230;Total;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2020;8.7
231;Total;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2021;9.1
232;Total;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2022;10.4
233;Total;Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2023;10.5
234;Total;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2018;45.0
235;Total;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2019;44.4
236;Total;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2020;30.2
237;Total;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2021;35.1
238;Total;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2022;39.4
239;Total;Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2023;42.4
240;Total;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2018;64.0
241;Total;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2019;64.3
242;Total;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2020;44.6
243;Total;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2021;49.1
244;Total;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2022;54.4
245;Total;Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2023;58.0
246;Total;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2018;33.2
247;Total;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2019;33.9
248;Total;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2020;23.5
249;Total;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2021;24.5
250;Total;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2022;29.6
251;Total;Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2023;32.4
252;Total;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2018;50.0
253;Total;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2019;48.5
254;Total;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2020;34.3
255;Total;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2021;39.2
256;Total;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2022;42.7
257;Total;Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2023;44.0
258;Total;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2018;17.6
259;Total;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2019;18.5
260;Total;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2020;13.2
261;Total;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2021;13.8
262;Total;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2022;13.6
263;Total;Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2023;15.1
264;Total;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2018;221.6
265;Total;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2019;222.6
266;Total;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2020;154.7
267;Total;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2021;171.2
268;Total;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2022;190.0
269;Total;Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2023;202.4
270;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;26.4
271;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;26.8
272;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;18.2
273;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;20.6
274;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;22.9
275;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;23.4
276;Total;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;51.2
277;Total;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;51.8
278;Total;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;36.5
279;Total;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;40.3
280;Total;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;44.8
281;Total;Population 6 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;47.3
282;Total;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2018;101.2
283;Total;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2019;102.1
284;Total;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2020;70.1
285;Total;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2021;77.9
286;Total;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2022;84.7
287;Total;Population 6 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2023;91.4
288;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;46.8
289;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;46.2
290;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;32.9
291;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;35.5
292;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;41.0
293;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;43.8
294;Total;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2018;8.6
295;Total;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2019;9.1
296;Total;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2020;6.1
297;Total;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2021;7.0
298;Total;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2022;7.8
299;Total;Population 6 years or older;Upper bound 95% confidence interval;Groningen (PV);2023;7.5
300;Total;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2018;10.5
301;Total;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2019;11.1
302;Total;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2020;7.5
303;Total;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2021;8.2
304;Total;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2022;9.3
305;Total;Population 6 years or older;Upper bound 95% confidence interval;Fryslân (PV);2023;9.4
306;Total;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2018;8.3
307;Total;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2019;7.8
308;Total;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2020;5.4
309;Total;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2021;6.3
310;Total;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2022;6.8
311;Total;Population 6 years or older;Upper bound 95% confidence interval;Drenthe (PV);2023;7.5
312;Total;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2018;16.5
313;Total;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2019;16.9
314;Total;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2020;11.4
315;Total;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2021;12.6
316;Total;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2022;14.3
317;Total;Population 6 years or older;Upper bound 95% confidence interval;Overijssel (PV);2023;15.0
318;Total;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2018;6.6
319;Total;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2019;6.7
320;Total;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2020;4.9
321;Total;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2021;5.4
322;Total;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2022;6.0
323;Total;Population 6 years or older;Upper bound 95% confidence interval;Flevoland (PV);2023;6.1
324;Total;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2018;29.2
325;Total;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2019;29.5
326;Total;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2020;21.3
327;Total;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2021;23.3
328;Total;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2022;25.6
329;Total;Population 6 years or older;Upper bound 95% confidence interval;Gelderland (PV);2023;27.3
330;Total;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2018;17.9
331;Total;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2019;20.0
332;Total;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2020;13.3
333;Total;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2021;14.2
334;Total;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2022;15.8
335;Total;Population 6 years or older;Upper bound 95% confidence interval;Utrecht (PV);2023;17.3
336;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2018;36.8
337;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2019;34.7
338;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2020;23.7
339;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2021;26.5
340;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2022;29.5
341;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2023;31.0
342;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;43.9
343;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;44.3
