ID;Geslacht;Leeftijden;TypeZorg;SamenstellingHuishoudens;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huishoudens met kinderen;2010;53865;0.91;6582;122;1.11
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2004;25795;3.7;3477;135;4.99
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2005;24765;3.47;3354;135;4.71
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2006;24490;3.38;3354;137;4.63
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2007;23660;3.23;3235;137;4.41
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2008;23885;3.18;3262;137;4.34
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2009;23675;3.08;3336;141;4.34
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Eénouderhuishoudens;2010;24430;3.1;3516;144;4.47
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2004;47225;0.9;4568;97;0.87
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2005;38810;0.74;3727;96;0.71
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2006;36695;0.71;3537;96;0.68
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2007;34285;0.66;3301;96;0.64
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2008;33010;0.64;3128;95;0.61
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2009;30490;0.59;3081;101;0.6
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar met kinderen;2010;29430;0.57;3066;104;0.6
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2004;198575;4.48;24003;121;5.41
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2005;194195;4.36;23839;123;5.36
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2006;198480;4.46;24948;126;5.61
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2007;199750;4.47;25168;126;5.63
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2008;203980;4.51;25682;126;5.68
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2009;203645;4.46;26447;130;5.8
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Totaal meerpers.huish. zonder kinderen;2010;207140;4.52;27039;131;5.9
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2004;187125;4.54;21901;117;5.32
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2005;181995;4.4;21591;119;5.22
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2006;186175;4.49;22603;121;5.46
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2007;187555;4.51;22768;121;5.47
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2008;191420;4.55;23237;121;5.53
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2009;191725;4.52;24179;126;5.7
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Huishoudens met paar zonder kinderen;2010;195985;4.6;25071;128;5.88
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2004;11455;3.63;2102;184;6.66
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2005;12195;3.89;2248;184;7.16
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2006;12305;4.0;2345;191;7.62
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2007;12195;3.96;2400;197;7.79
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2008;12560;3.93;2445;195;7.66
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2009;11920;3.73;2268;190;7.09
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Overige huishoudens zonder kinderen;2010;11155;3.46;1968;176;6.1
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2004;169795;1.33;16552;97;1.3
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2005;219245;1.71;24001;109;1.88
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2006;234270;1.83;26167;112;2.04
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2007;237020;1.85;26770;113;2.09
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2008;240110;1.85;27481;114;2.12
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2009;243535;1.87;28900;119;2.21
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal huishoudens;2010;242320;1.84;29442;122;2.24
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2004;101570;4.27;10464;103;4.4
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2005;138040;5.75;15596;113;6.5
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2006;149720;6.13;17232;115;7.05
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2007;153595;6.22;17689;115;7.16
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2008;155655;6.18;18016;116;7.15
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2009;158140;6.16;18836;119;7.34
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénpersoonshuishoudens;2010;156550;6.0;19034;122;7.29
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2004;18590;0.31;1662;89;0.28
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2005;22805;0.38;2409;106;0.41
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2006;22870;0.39;2436;107;0.41
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2007;21230;0.36;2342;110;0.4
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2008;20690;0.35;2318;112;0.39
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2009;20480;0.35;2421;118;0.41
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huishoudens met kinderen;2010;20780;0.35;2532;122;0.43
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2004;6285;0.9;658;105;0.94
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2005;9950;1.4;1154;116;1.62
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2006;10805;1.49;1254;116;1.73
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2007;10695;1.46;1250;117;1.7
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2008;10925;1.45;1286;118;1.71
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2009;11225;1.46;1393;124;1.81
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Eénouderhuishoudens;2010;11880;1.51;1517;128;1.93
84;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2004;12305;0.23;1005;82;0.19
85;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2005;12855;0.25;1255;98;0.24
86;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2006;12065;0.23;1182;98;0.23
87;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2007;10540;0.2;1092;104;0.21
88;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2008;9765;0.19;1032;106;0.2
89;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2009;9255;0.18;1028;111;0.2
90;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar met kinderen;2010;8895;0.17;1015;114;0.2
91;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2004;49635;1.12;4425;89;1.0
92;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2005;58400;1.31;5996;103;1.35
93;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2006;61680;1.39;6498;105;1.46
94;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2007;62195;1.39;6739;108;1.51
95;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2008;63765;1.41;7147;112;1.58
96;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2009;64920;1.42;7643;118;1.68
97;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Totaal meerpers.huish. zonder kinderen;2010;64995;1.42;7876;121;1.72
98;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2004;47900;1.16;4299;90;1.04
99;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2005;56190;1.36;5797;103;1.4
100;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2006;59330;1.43;6278;106;1.52
101;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2007;60080;1.44;6535;109;1.57
102;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2008;61630;1.47;6935;113;1.65
103;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2009;62840;1.48;7429;118;1.75
104;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Huishoudens met paar zonder kinderen;2010;62945;1.48;7657;122;1.8
105;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2004;1730;0.55;127;73;0.4
106;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2005;2205;0.7;199;90;0.64
107;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2006;2350;0.76;220;94;0.71
108;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2007;2110;0.68;204;97;0.66
109;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2008;2135;0.67;212;99;0.66
110;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2009;2080;0.65;214;103;0.67
111;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;1;Overige huishoudens zonder kinderen;2010;2050;0.64;219;107;0.68
112;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2004;39710;0.31;6533;165;0.51
113;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2005;29425;0.23;4735;161;0.37
114;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2006;31910;0.25;4035;126;0.31
115;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2007;48000;0.37;4672;97;0.36
116;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2008;67705;0.52;5904;87;0.46
117;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2009;80775;0.62;7040;87;0.54
118;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal huishoudens;2010;94740;0.72;7909;83;0.6
119;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2004;17405;0.73;3861;222;1.62
120;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2005;11550;0.48;2904;251;1.21
121;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2006;11555;0.47;2368;205;0.97
122;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2007;18565;0.75;2465;133;1.0
123;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2008;27685;1.1;2957;107;1.17
124;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2009;33090;1.29;3387;102;1.32
125;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénpersoonshuishoudens;2010;39510;1.51;3791;96;1.45
126;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2004;8900;0.15;641;72;0.11
127;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2005;4370;0.07;225;51;0.04
128;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2006;4510;0.08;233;52;0.04
129;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2007;5855;0.1;337;58;0.06
130;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2008;7515;0.13;491;65;0.08
131;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2009;8760;0.15;625;71;0.11
132;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huishoudens met kinderen;2010;9790;0.16;781;80;0.13
133;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2004;2860;0.41;227;80;0.33
134;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2005;1680;0.24;94;56;0.13
135;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2006;1725;0.24;104;60;0.14
136;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2007;2330;0.32;146;63;0.2
137;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2008;3035;0.4;213;70;0.28
138;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2009;3605;0.47;287;79;0.37
139;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Eénouderhuishoudens;2010;4075;0.52;354;87;0.45
140;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2004;6045;0.12;414;68;0.08
141;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2005;2690;0.05;131;49;0.03
142;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2006;2785;0.05;128;46;0.02
143;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2007;3520;0.07;190;54;0.04
144;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2008;4480;0.09;278;62;0.05
145;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2009;5155;0.1;339;66;0.07
146;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar met kinderen;2010;5715;0.11;428;75;0.08
147;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2004;13410;0.3;2031;151;0.46
148;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2005;13505;0.3;1606;119;0.36
149;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2006;15850;0.36;1434;90;0.32
150;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2007;23585;0.53;1870;79;0.42
151;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2008;32505;0.72;2456;76;0.54
152;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2009;38925;0.85;3027;78;0.66
153;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Totaal meerpers.huish. zonder kinderen;2010;45440;0.99;3337;73;0.73
154;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2004;12160;0.3;1684;138;0.41
155;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2005;12320;0.3;1327;108;0.32
156;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2006;14470;0.35;1188;82;0.29
157;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2007;21740;0.52;1575;72;0.38
158;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2008;29980;0.71;2037;68;0.48
159;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2009;36130;0.85;2606;72;0.61
160;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Huishoudens met paar zonder kinderen;2010;42390;0.99;3072;72;0.72
161;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2004;1245;0.39;347;278;1.1
162;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2005;1185;0.38;279;235;0.89
163;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2006;1380;0.45;246;178;0.8
164;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2007;1845;0.6;295;160;0.96
165;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2008;2525;0.79;419;166;1.31
166;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2009;2790;0.87;420;151;1.31
167;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;2;Overige huishoudens zonder kinderen;2010;3050;0.95;265;87;0.82
168;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2004;66325;0.52;1629;25;0.13
169;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2005;58795;0.46;976;17;0.08
170;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2006;59755;0.47;974;16;0.08
171;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2007;55040;0.43;951;17;0.07
172;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2008;50005;0.39;873;17;0.07
173;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2009;41205;0.32;719;17;0.06
174;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal huishoudens;2010;37405;0.28;638;17;0.05
175;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2004;15515;0.65;519;33;0.22
176;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2005;14695;0.61;306;21;0.13
177;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2006;15475;0.63;318;21;0.13
178;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2007;14055;0.57;300;21;0.12
179;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2008;12050;0.48;260;22;0.1
180;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2009;10160;0.4;223;22;0.09
181;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénpersoonshuishoudens;2010;9575;0.37;213;22;0.08
182;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2004;14180;0.24;298;21;0.05
183;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2005;12665;0.21;184;14;0.03
184;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2006;12580;0.21;171;14;0.03
185;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2007;11765;0.2;175;15;0.03
186;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2008;10980;0.19;165;15;0.03
187;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2009;8695;0.15;129;15;0.02
188;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huishoudens met kinderen;2010;7815;0.13;122;16;0.02
189;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2004;2920;0.42;70;24;0.1
190;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2005;2505;0.35;46;18;0.06
191;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2006;2545;0.35;44;17;0.06
192;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2007;2340;0.32;44;19;0.06
193;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2008;2165;0.29;40;19;0.05
194;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2009;1780;0.23;36;20;0.05
195;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Eénouderhuishoudens;2010;1625;0.21;36;22;0.05
196;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2004;11260;0.22;228;20;0.04
197;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2005;10160;0.19;138;14;0.03
198;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2006;10040;0.19;127;13;0.02
199;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2007;9425;0.18;131;14;0.03
200;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2008;8815;0.17;125;14;0.02
201;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2009;6920;0.13;93;13;0.02
202;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Huishoudens met paar met kinderen;2010;6190;0.12;86;14;0.02
203;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huish. zonder kinderen;2004;36630;0.83;813;22;0.18
204;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;3;Totaal meerpers.huish. zonder kinderen;2005;31435;0.71;487;15;0.11
