ID;Zorgfuncties;Zorgaanbieders;Perioden;UitgavenAanZorgVoorIngezetenen_1
152;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2013;3502
153;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2014;3581
154;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2015;3682
155;Totaal uitgaven zorg en welzijn;HP33: Overige praktijken gezondheidszorg;2016;3845
156;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2005;203
157;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2006;275
158;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2007;216
159;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2008;229
160;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2009;263
161;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2010;303
162;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2011;328
163;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2012;343
164;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2013;359
165;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2014;375
166;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2015;385
167;Totaal uitgaven zorg en welzijn;HP34: Ambulante zorgcentra;2016;393
168;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2005;981
169;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2006;964
170;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2007;1065
171;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2008;1236
172;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2009;1361
173;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2010;1386
174;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2011;1438
175;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2012;1445
176;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2013;1428
177;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2014;1472
178;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2015;1530
179;Totaal uitgaven zorg en welzijn;HP4: Ondersteunende diensten;2016;1540
180;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2005;222
181;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2006;233
182;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2007;235
183;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2008;247
184;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2009;297
185;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2010;314
186;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2011;316
187;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2012;329
188;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2013;363
189;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2014;374
190;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2015;366
191;Totaal uitgaven zorg en welzijn;HP41: Ambulance, ziekenvervoer;2016;382
192;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2005;758
193;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2006;731
194;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2007;830
195;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2008;990
196;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2009;1064
197;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2010;1072
198;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2011;1122
199;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2012;1116
200;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2013;1066
201;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2014;1098
202;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2015;1164
203;Totaal uitgaven zorg en welzijn;HP42: Laboratoria;2016;1159
204;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2005;8448
205;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2006;8628
206;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2007;9107
207;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2008;9491
208;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2009;9380
209;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2010;9625
210;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2011;9844
211;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2012;9350
212;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2013;8883
213;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2014;8893
214;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2015;9003
215;Totaal uitgaven zorg en welzijn;HP5: Leveranciers genees-en hulpmiddelen;2016;9016
216;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2005;5233
217;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2006;5358
218;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2007;5799
219;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2008;5859
220;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2009;5926
221;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2010;6063
222;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2011;6054
223;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2012;5457
224;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2013;5190
225;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2014;5193
226;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2015;5369
227;Totaal uitgaven zorg en welzijn;HP51: Leveranciers geneesmiddelen;2016;5499
228;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2005;3215
229;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2006;3270
230;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2007;3308
231;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2008;3632
232;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2009;3454
233;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2010;3562
234;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2011;3790
235;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2012;3893
236;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2013;3693
237;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2014;3700
238;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2015;3634
239;Totaal uitgaven zorg en welzijn;HP52: Leveranciers hulpmiddelen;2016;3517
240;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2005;1796
241;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2006;1678
242;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2007;1790
243;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2008;1813
244;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2009;1871
245;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2010;1944
246;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2011;1880
247;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2012;1820
248;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2013;1768
249;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2014;1782
250;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2015;1746
251;Totaal uitgaven zorg en welzijn;HP6: Aanbieders van preventieve zorg;2016;1789
252;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2005;2809
253;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2006;3023
254;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2007;3295
255;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2008;3239
256;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2009;3332
257;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2010;3448
258;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2011;3680
259;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2012;3647
260;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2013;3791
261;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2014;3969
262;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2015;3946
263;Totaal uitgaven zorg en welzijn;HP7: Organisaties beheer en financiering;2016;3901
264;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2005;381
265;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2006;361
266;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2007;579
267;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2008;603
268;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2009;607
269;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2010;593
270;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2011;650
271;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2012;624
272;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2013;642
273;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2014;658
274;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2015;676
275;Totaal uitgaven zorg en welzijn;HP71: Overheidsbeleid en beheer org.;2016;707
276;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2005;904
277;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2006;1695
278;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2007;1685
279;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2008;1584
280;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2009;1516
281;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2010;1493
282;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2011;1552
283;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2012;1555
284;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2013;1596
285;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2014;1696
286;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2015;1654
287;Totaal uitgaven zorg en welzijn;HP72: Zorgverzekeraars, ziekenfondsen;2016;1586
288;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2005;1098
289;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2006;510
290;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2007;518
291;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2008;514
292;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2009;559
293;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2010;579
294;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2011;601
295;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2012;598
296;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2013;603
297;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2014;597
298;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2015;536
299;Totaal uitgaven zorg en welzijn;HP73: Particuliere verzekeraars;2016;516
300;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2005;426
301;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2006;457
302;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2007;514
303;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2008;538
304;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2009;649
305;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2010;783
306;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2011;876
307;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2012;870
308;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2013;950
309;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2014;1018
310;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2015;1080
311;Totaal uitgaven zorg en welzijn;HP79: Ov. Instellingen beheer en financ.;2016;1091
312;Totaal uitgaven zorg en welzijn;HP8: Overige sectoren;2005;2873
313;Totaal uitgaven zorg en welzijn;HP8: Overige sectoren;2006;3109
