ID;Geslacht;Leeftijd;Herkomstgroepering;InkomstenbronVoorInstroomNaUitstroom;Perioden;InstroomInArbeidAlsWerknemer_1;UitstroomUitArbeidAlsWerknemer_2
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;27 september 2013 tot 26 september 2014;642.7;650.1
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit alle bronnen;26 september 2014 tot 25 september 2015;696.8;633.4
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;28 september 2001 tot 27 september 2002;49.3;62.3
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;27 september 2002 tot 26 september 2003;43.8;57.8
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;26 september 2003 tot 24 september 2004;39.9;61.8
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;24 september 2004 tot 30 september 2005;43.2;64.5
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;30 september 2005 tot 29 september 2006;48.4;91.3
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;29 september 2006 tot 28 september 2007;54.6;79.1
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;28 september 2007 tot 26 september 2008;52.2;88.6
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;26 september 2008 tot 25 september 2009;54.0;85.3
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;25 september 2009 tot 24 september 2010;67.3;78.9
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;24 september 2010 tot 30 september 2011;59.2;80.3
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;30 september 2011 tot 28 september 2012;52.0;83.1
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;28 september 2012 tot 27 september 2013;50.5;86.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;27 september 2013 tot 26 september 2014;54.2;83.9
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid totaal;26 september 2014 tot 25 september 2015;63.2;81.4
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;28 september 2001 tot 27 september 2002;1.9;1.8
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;27 september 2002 tot 26 september 2003;1.5;1.8
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;26 september 2003 tot 24 september 2004;1.3;2.2
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;24 september 2004 tot 30 september 2005;1.7;2.4
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;30 september 2005 tot 29 september 2006;2.0;3.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;29 september 2006 tot 28 september 2007;2.4;2.4
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;28 september 2007 tot 26 september 2008;2.4;2.2
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;26 september 2008 tot 25 september 2009;1.8;2.4
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;25 september 2009 tot 24 september 2010;1.9;2.3
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;24 september 2010 tot 30 september 2011;2.1;2.7
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;30 september 2011 tot 28 september 2012;1.8;3.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;28 september 2012 tot 27 september 2013;1.9;3.3
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;27 september 2013 tot 26 september 2014;2.1;3.6
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid in het buitenland;26 september 2014 tot 25 september 2015;2.6;2.3
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;28 september 2001 tot 27 september 2002;47.5;60.7
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;27 september 2002 tot 26 september 2003;42.5;56.2
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;26 september 2003 tot 24 september 2004;38.7;59.8
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;24 september 2004 tot 30 september 2005;41.7;62.2
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;30 september 2005 tot 29 september 2006;46.5;88.6
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;29 september 2006 tot 28 september 2007;52.3;76.9
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;28 september 2007 tot 26 september 2008;50.0;86.6
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;26 september 2008 tot 25 september 2009;52.4;83.1
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;25 september 2009 tot 24 september 2010;65.6;76.8
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;24 september 2010 tot 30 september 2011;57.3;77.9
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;30 september 2011 tot 28 september 2012;50.3;80.4
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;28 september 2012 tot 27 september 2013;48.8;83.0
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;27 september 2013 tot 26 september 2014;52.3;80.7
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit arbeid als zelfstandige;26 september 2014 tot 25 september 2015;60.9;79.3
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;28 september 2001 tot 27 september 2002;91.1;151.5
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;27 september 2002 tot 26 september 2003;77.3;185.7
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;26 september 2003 tot 24 september 2004;94.4;182.4
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;24 september 2004 tot 30 september 2005;112.9;156.6
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;30 september 2005 tot 29 september 2006;134.4;136.3
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;29 september 2006 tot 28 september 2007;120.5;111.8
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;28 september 2007 tot 26 september 2008;101.1;120.1
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;26 september 2008 tot 25 september 2009;76.8;212.7
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;25 september 2009 tot 24 september 2010;116.9;205.9
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;24 september 2010 tot 30 september 2011;129.0;192.2
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;30 september 2011 tot 28 september 2012;111.9;227.7
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;28 september 2012 tot 27 september 2013;115.3;268.3
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;27 september 2013 tot 26 september 2014;147.2;242.1
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit uitkering totaal;26 september 2014 tot 25 september 2015;157.7;218.6
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;28 september 2001 tot 27 september 2002;23.2;51.4
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;27 september 2002 tot 26 september 2003;18.9;50.9
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;26 september 2003 tot 24 september 2004;19.0;48.6
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;24 september 2004 tot 30 september 2005;20.3;34.9
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;30 september 2005 tot 29 september 2006;21.7;35.2
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;29 september 2006 tot 28 september 2007;18.6;27.7
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;28 september 2007 tot 26 september 2008;17.1;29.6
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;26 september 2008 tot 25 september 2009;13.8;34.5
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;25 september 2009 tot 24 september 2010;13.5;34.1
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;24 september 2010 tot 30 september 2011;16.0;32.4
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;30 september 2011 tot 28 september 2012;13.0;34.7
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;28 september 2012 tot 27 september 2013;12.0;34.2
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;27 september 2013 tot 26 september 2014;13.1;31.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit AO-uitkering;26 september 2014 tot 25 september 2015;14.7;28.2
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;28 september 2001 tot 27 september 2002;19.0;46.5
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;27 september 2002 tot 26 september 2003;23.4;81.2
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;26 september 2003 tot 24 september 2004;41.3;83.2
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;24 september 2004 tot 30 september 2005;54.1;73.2
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;30 september 2005 tot 29 september 2006;58.9;55.8
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;29 september 2006 tot 28 september 2007;48.4;44.9
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;28 september 2007 tot 26 september 2008;38.7;47.1
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;26 september 2008 tot 25 september 2009;28.4;118.6
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;25 september 2009 tot 24 september 2010;67.2;111.2
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;24 september 2010 tot 30 september 2011;69.2;103.4
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;30 september 2011 tot 28 september 2012;60.3;137.2
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;28 september 2012 tot 27 september 2013;69.1;177.4
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;27 september 2013 tot 26 september 2014;94.9;159.8
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit WW-uitkering;26 september 2014 tot 25 september 2015;98.8;142.2
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;28 september 2001 tot 27 september 2002;33.4;23.1
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;27 september 2002 tot 26 september 2003;23.6;28.3
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;26 september 2003 tot 24 september 2004;24.6;24.8
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;24 september 2004 tot 30 september 2005;29.6;21.2
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;30 september 2005 tot 29 september 2006;41.2;15.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;29 september 2006 tot 28 september 2007;39.7;15.3
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;28 september 2007 tot 26 september 2008;33.0;16.2
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;26 september 2008 tot 25 september 2009;23.4;27.0
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;25 september 2009 tot 24 september 2010;24.4;27.6
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;24 september 2010 tot 30 september 2011;27.9;26.1
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;30 september 2011 tot 28 september 2012;25.3;23.4
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;28 september 2012 tot 27 september 2013;21.7;27.5
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;27 september 2013 tot 26 september 2014;27.3;23.7
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit bijstandsuitkering;26 september 2014 tot 25 september 2015;31.3;21.6
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;28 september 2001 tot 27 september 2002;22.7;46.5
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;27 september 2002 tot 26 september 2003;17.9;45.5
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;26 september 2003 tot 24 september 2004;17.3;45.4
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;24 september 2004 tot 30 september 2005;18.4;42.7
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;30 september 2005 tot 29 september 2006;23.0;42.1
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;29 september 2006 tot 28 september 2007;22.3;33.5
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;28 september 2007 tot 26 september 2008;19.8;36.3
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;26 september 2008 tot 25 september 2009;15.5;46.1
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;25 september 2009 tot 24 september 2010;16.8;47.3
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;24 september 2010 tot 30 september 2011;23.1;43.6
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;30 september 2011 tot 28 september 2012;18.0;48.5
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;28 september 2012 tot 27 september 2013;17.5;50.4
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;27 september 2013 tot 26 september 2014;19.1;46.5
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit andere uitkering;26 september 2014 tot 25 september 2015;20.1;44.1
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;28 september 2001 tot 27 september 2002;15.6;66.3
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;27 september 2002 tot 26 september 2003;14.4;65.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;26 september 2003 tot 24 september 2004;14.3;89.0
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;24 september 2004 tot 30 september 2005;16.6;78.9
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;30 september 2005 tot 29 september 2006;19.7;112.8
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;29 september 2006 tot 28 september 2007;19.6;71.5
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;28 september 2007 tot 26 september 2008;20.4;80.3
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;26 september 2008 tot 25 september 2009;19.4;89.5
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;25 september 2009 tot 24 september 2010;18.0;88.0
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;24 september 2010 tot 30 september 2011;28.1;87.7
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;30 september 2011 tot 28 september 2012;17.3;95.4
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;28 september 2012 tot 27 september 2013;17.4;90.8
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;27 september 2013 tot 26 september 2014;16.6;89.5
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten uit pensioen;26 september 2014 tot 25 september 2015;17.1;90.2
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;28 september 2001 tot 27 september 2002;434.2;269.6
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;27 september 2002 tot 26 september 2003;382.7;259.0
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;26 september 2003 tot 24 september 2004;355.1;261.9
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;24 september 2004 tot 30 september 2005;393.4;251.8
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;30 september 2005 tot 29 september 2006;447.2;289.1
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;29 september 2006 tot 28 september 2007;488.2;233.5
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;28 september 2007 tot 26 september 2008;447.7;258.9
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;26 september 2008 tot 25 september 2009;405.5;276.9
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;25 september 2009 tot 24 september 2010;402.8;244.9
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;24 september 2010 tot 30 september 2011;440.8;228.5
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;30 september 2011 tot 28 september 2012;379.0;242.0
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;28 september 2012 tot 27 september 2013;362.1;245.2
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;27 september 2013 tot 26 september 2014;386.2;228.9
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig totaal;26 september 2014 tot 25 september 2015;419.2;231.0
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;28 september 2001 tot 27 september 2002;275.6;118.1
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;27 september 2002 tot 26 september 2003;245.0;120.2
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;26 september 2003 tot 24 september 2004;239.1;117.3
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;24 september 2004 tot 30 september 2005;262.9;113.7
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;30 september 2005 tot 29 september 2006;297.7;120.9
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;29 september 2006 tot 28 september 2007;324.8;108.3
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;28 september 2007 tot 26 september 2008;308.2;120.2
161;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;26 september 2008 tot 25 september 2009;273.0;137.0
162;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;25 september 2009 tot 24 september 2010;283.4;128.1
163;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;24 september 2010 tot 30 september 2011;297.5;122.5
164;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;30 september 2011 tot 28 september 2012;277.0;128.5
165;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;28 september 2012 tot 27 september 2013;263.3;135.0
166;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;27 september 2013 tot 26 september 2014;286.0;127.8
167;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: scholier / student;26 september 2014 tot 25 september 2015;313.9;127.3
168;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;28 september 2001 tot 27 september 2002;158.6;151.6
169;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;27 september 2002 tot 26 september 2003;137.7;138.8
170;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;26 september 2003 tot 24 september 2004;116.0;144.6
171;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;24 september 2004 tot 30 september 2005;130.6;138.1
172;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;30 september 2005 tot 29 september 2006;149.5;168.2
173;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;29 september 2006 tot 28 september 2007;163.3;125.2
174;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;28 september 2007 tot 26 september 2008;139.6;138.7
175;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;26 september 2008 tot 25 september 2009;132.5;139.9
176;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;25 september 2009 tot 24 september 2010;119.5;116.8
177;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;24 september 2010 tot 30 september 2011;143.3;105.9
178;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;30 september 2011 tot 28 september 2012;102.0;113.5
179;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;28 september 2012 tot 27 september 2013;98.7;110.2
180;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;27 september 2013 tot 26 september 2014;100.2;101.1
181;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Inkomsten overig: geen of anders;26 september 2014 tot 25 september 2015;105.4;103.8
