ID;Persoonskenmerken;Perioden;WanbetalersMetZorgtoeslag_1;TOVBevolkingNederland_2;TOVTotaalWanbetalers_3
130;Leeftijd: 18 tot 35 jaar;2010;74180;3.8;68.4
131;Leeftijd: 18 tot 35 jaar;2011;81740;4.1;67.9
132;Leeftijd: 18 tot 35 jaar;2012;89100;4.1;74.8
133;Leeftijd: 18 tot 35 jaar;2013;91780;4.2;77.4
134;Leeftijd: 18 tot 35 jaar;2014;96200;4.5;78.4
135;Leeftijd: 18 tot 35 jaar;2015;88250;4.3;77.5
136;Leeftijd: 18 tot 35 jaar;2016;76550;3.7;77.1
137;Leeftijd: 18 tot 35 jaar;2017;68410;3.3;76.1
138;Leeftijd: 18 tot 35 jaar;2018;61840;2.9;76.5
139;Leeftijd: 18 tot 35 jaar;2019;56430;2.7;75.5
140;Leeftijd: 18 tot 35 jaar;2020;52420;2.5;76.4
141;Leeftijd: 18 tot 35 jaar;2021;49230;2.3;76.5
142;Leeftijd: 18 tot 35 jaar;2022;48840;2.3;75.7
143;Leeftijd: 35 tot 50 jaar;2010;45620;5.0;52.1
144;Leeftijd: 35 tot 50 jaar;2011;50600;5.5;52.2
145;Leeftijd: 35 tot 50 jaar;2012;55770;5.9;57.1
146;Leeftijd: 35 tot 50 jaar;2013;59150;6.9;59.9
147;Leeftijd: 35 tot 50 jaar;2014;61370;8.1;59.5
148;Leeftijd: 35 tot 50 jaar;2015;55370;8.6;56.8
149;Leeftijd: 35 tot 50 jaar;2016;49100;7.6;56.8
150;Leeftijd: 35 tot 50 jaar;2017;43490;7.1;54.6
151;Leeftijd: 35 tot 50 jaar;2018;38460;6.4;54.3
152;Leeftijd: 35 tot 50 jaar;2019;33980;5.9;52.4
153;Leeftijd: 35 tot 50 jaar;2020;32000;5.4;53.8
154;Leeftijd: 35 tot 50 jaar;2021;28840;5.0;52.9
155;Leeftijd: 35 tot 50 jaar;2022;27970;5.0;52.7
156;Leeftijd: 50 tot 65 jaar;2010;22260;2.5;53.5
157;Leeftijd: 50 tot 65 jaar;2011;26340;2.9;53.6
158;Leeftijd: 50 tot 65 jaar;2012;29910;3.2;57.2
159;Leeftijd: 50 tot 65 jaar;2013;32790;3.9;60.1
160;Leeftijd: 50 tot 65 jaar;2014;35570;4.7;59.0
161;Leeftijd: 50 tot 65 jaar;2015;32760;5.1;55.8
162;Leeftijd: 50 tot 65 jaar;2016;29780;4.5;56.1
163;Leeftijd: 50 tot 65 jaar;2017;26510;4.2;53.5
164;Leeftijd: 50 tot 65 jaar;2018;23790;3.7;53.3
165;Leeftijd: 50 tot 65 jaar;2019;21420;3.4;51.9
166;Leeftijd: 50 tot 65 jaar;2020;19950;3.1;52.6
167;Leeftijd: 50 tot 65 jaar;2021;18110;2.8;52.0
168;Leeftijd: 50 tot 65 jaar;2022;17180;2.7;51.6
169;Leeftijd: 65 jaar of ouder;2010;4550;0.3;69.9
170;Leeftijd: 65 jaar of ouder;2011;5680;0.4;68.0
171;Leeftijd: 65 jaar of ouder;2012;6620;0.4;69.3
172;Leeftijd: 65 jaar of ouder;2013;7440;0.6;71.5
173;Leeftijd: 65 jaar of ouder;2014;8270;0.7;68.7
174;Leeftijd: 65 jaar of ouder;2015;7850;0.7;64.5
175;Leeftijd: 65 jaar of ouder;2016;7160;0.6;64.4
176;Leeftijd: 65 jaar of ouder;2017;6760;0.6;62.4
177;Leeftijd: 65 jaar of ouder;2018;6080;0.5;61.7
178;Leeftijd: 65 jaar of ouder;2019;5700;0.5;60.6
179;Leeftijd: 65 jaar of ouder;2020;5310;0.5;60.7
180;Leeftijd: 65 jaar of ouder;2021;4960;0.4;60.7
181;Leeftijd: 65 jaar of ouder;2022;4880;0.4;60.2
