ID;Geslacht;Migratieachtergrond;OnderwijspositieInBasisjaar;SectorInBasisjaar;PositieInVolgendStudiejaar;SectorInVolgendStudiejaar;Perioden;StudentenMbo_1
22;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2017/'18 naar 2018/'19;15997.0
23;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2018/'19 naar 2019/'20;15651.0
24;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2019/'20 naar 2020/'21;15028.0
25;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector landbouw;2020/'21 naar 2021/'22;13633.0
26;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2008/'09 naar 2009/'10;109687.0
27;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2009/'10 naar 2010/'11;109532.0
28;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2010/'11 naar 2011/'12;110433.0
29;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2011/'12 naar 2012/'13;108845.0
30;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2012/'13 naar 2013/'14;107149.0
31;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2013/'14 naar 2014/'15;106632.0
32;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2014/'15 naar 2015/'16;106546.0
33;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2015/'16 naar 2016/'17;107945.0
34;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2016/'17 naar 2017/'18;107144.0
35;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2017/'18 naar 2018/'19;108144.0
36;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2018/'19 naar 2019/'20;106370.0
37;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2019/'20 naar 2020/'21;106680.0
38;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector economie;2020/'21 naar 2021/'22;106420.0
39;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2008/'09 naar 2009/'10;101239.0
40;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2009/'10 naar 2010/'11;99672.0
41;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2010/'11 naar 2011/'12;98348.0
42;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2011/'12 naar 2012/'13;94891.0
43;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2012/'13 naar 2013/'14;92581.0
44;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2013/'14 naar 2014/'15;90335.0
45;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2014/'15 naar 2015/'16;90647.0
46;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2015/'16 naar 2016/'17;92716.0
47;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2016/'17 naar 2017/'18;93005.0
48;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2017/'18 naar 2018/'19;93295.0
49;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2018/'19 naar 2019/'20;94716.0
50;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2019/'20 naar 2020/'21;95973.0
51;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector techniek;2020/'21 naar 2021/'22;95732.0
52;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2008/'09 naar 2009/'10;106174.0
53;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2009/'10 naar 2010/'11;108324.0
54;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2010/'11 naar 2011/'12;108726.0
55;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2011/'12 naar 2012/'13;108089.0
56;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2012/'13 naar 2013/'14;108511.0
57;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2013/'14 naar 2014/'15;107900.0
58;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2014/'15 naar 2015/'16;104144.0
59;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2015/'16 naar 2016/'17;105118.0
60;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2016/'17 naar 2017/'18;107337.0
61;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2017/'18 naar 2018/'19;111116.0
62;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2018/'19 naar 2019/'20;117002.0
63;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2019/'20 naar 2020/'21;124339.0
64;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Sector zorg en welzijn;2020/'21 naar 2021/'22;128402.0
65;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2008/'09 naar 2009/'10;4052.0
66;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2009/'10 naar 2010/'11;3731.0
67;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2010/'11 naar 2011/'12;3830.0
68;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2011/'12 naar 2012/'13;3492.0
69;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2012/'13 naar 2013/'14;3670.0
70;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2013/'14 naar 2014/'15;2800.0
71;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2014/'15 naar 2015/'16;2246.0
72;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2015/'16 naar 2016/'17;1748.0
73;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2016/'17 naar 2017/'18;2042.0
74;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2017/'18 naar 2018/'19;2929.0
75;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2018/'19 naar 2019/'20;4257.0
76;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2019/'20 naar 2020/'21;5426.0
77;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Combinatie van sectoren;2020/'21 naar 2021/'22;5252.0
78;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2008/'09 naar 2009/'10;174577.0
79;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2009/'10 naar 2010/'11;182092.0
80;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2010/'11 naar 2011/'12;188258.0
81;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2011/'12 naar 2012/'13;186245.0
82;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2012/'13 naar 2013/'14;181093.0
83;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2013/'14 naar 2014/'15;172593.0
84;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2014/'15 naar 2015/'16;160604.0
85;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2015/'16 naar 2016/'17;151132.0
86;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2016/'17 naar 2017/'18;157238.0
87;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2017/'18 naar 2018/'19;155633.0
88;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2018/'19 naar 2019/'20;159115.0
89;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2019/'20 naar 2020/'21;155567.0
90;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal;Niet van toepassing;2020/'21 naar 2021/'22;159326.0
91;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2008/'09 naar 2009/'10;375001.0
92;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2009/'10 naar 2010/'11;375235.0
93;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2010/'11 naar 2011/'12;374956.0
94;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2011/'12 naar 2012/'13;367660.0
95;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2012/'13 naar 2013/'14;365799.0
96;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2013/'14 naar 2014/'15;360372.0
97;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2014/'15 naar 2015/'16;351324.0
98;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2015/'16 naar 2016/'17;356195.0
99;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2016/'17 naar 2017/'18;359934.0
100;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2017/'18 naar 2018/'19;364454.0
101;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2018/'19 naar 2019/'20;370118.0
102;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2019/'20 naar 2020/'21;382678.0
103;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Totaal;2020/'21 naar 2021/'22;382839.0
104;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2008/'09 naar 2009/'10;18196.0
105;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2009/'10 naar 2010/'11;18923.0
106;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2010/'11 naar 2011/'12;18567.0
107;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2011/'12 naar 2012/'13;18400.0
108;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2012/'13 naar 2013/'14;17853.0
109;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2013/'14 naar 2014/'15;17848.0
110;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2014/'15 naar 2015/'16;17218.0
111;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2015/'16 naar 2016/'17;17616.0
112;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2016/'17 naar 2017/'18;16596.0
113;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2017/'18 naar 2018/'19;15997.0
114;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2018/'19 naar 2019/'20;15651.0
115;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2019/'20 naar 2020/'21;15028.0
116;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector landbouw;2020/'21 naar 2021/'22;13633.0
117;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2008/'09 naar 2009/'10;109687.0
118;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2009/'10 naar 2010/'11;109532.0
119;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2010/'11 naar 2011/'12;110433.0
120;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2011/'12 naar 2012/'13;108845.0
121;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2012/'13 naar 2013/'14;107149.0
122;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2013/'14 naar 2014/'15;106632.0
123;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2014/'15 naar 2015/'16;106546.0
124;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2015/'16 naar 2016/'17;107945.0
125;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2016/'17 naar 2017/'18;107144.0
126;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2017/'18 naar 2018/'19;108144.0
127;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2018/'19 naar 2019/'20;106370.0
128;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2019/'20 naar 2020/'21;106680.0
129;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector economie;2020/'21 naar 2021/'22;106420.0
130;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2008/'09 naar 2009/'10;101239.0
131;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2009/'10 naar 2010/'11;99672.0
132;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2010/'11 naar 2011/'12;98348.0
133;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2011/'12 naar 2012/'13;94891.0
134;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2012/'13 naar 2013/'14;92581.0
135;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2013/'14 naar 2014/'15;90335.0
136;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2014/'15 naar 2015/'16;90647.0
137;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2015/'16 naar 2016/'17;92716.0
138;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2016/'17 naar 2017/'18;93005.0
139;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2017/'18 naar 2018/'19;93295.0
140;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2018/'19 naar 2019/'20;94716.0
141;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2019/'20 naar 2020/'21;95973.0
142;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector techniek;2020/'21 naar 2021/'22;95732.0
143;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2008/'09 naar 2009/'10;106174.0
144;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2009/'10 naar 2010/'11;108324.0
145;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2010/'11 naar 2011/'12;108726.0
146;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2011/'12 naar 2012/'13;108089.0
147;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2012/'13 naar 2013/'14;108511.0
148;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2013/'14 naar 2014/'15;107900.0
149;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2014/'15 naar 2015/'16;104144.0
150;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2015/'16 naar 2016/'17;105118.0
151;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2016/'17 naar 2017/'18;107337.0
152;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2017/'18 naar 2018/'19;111116.0
153;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2018/'19 naar 2019/'20;117002.0
154;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2019/'20 naar 2020/'21;124339.0
155;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Sector zorg en welzijn;2020/'21 naar 2021/'22;128402.0
156;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Combinatie van sectoren;2008/'09 naar 2009/'10;4052.0
157;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Combinatie van sectoren;2009/'10 naar 2010/'11;3731.0
158;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Combinatie van sectoren;2010/'11 naar 2011/'12;3830.0
159;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Combinatie van sectoren;2011/'12 naar 2012/'13;3492.0
160;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Combinatie van sectoren;2012/'13 naar 2013/'14;3670.0
161;Totaal mannen en vrouwen;Totaal migratieachtergrond;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;Combinatie van sectoren;2013/'14 naar 2014/'15;2800.0
