ID;Sex;PersonalCharacteristics;RegisteredEmploymentUWV;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;PartTime_7;LessThan20HoursAWeek_8;LessThan12HoursAWeek_9;k_12To19HoursAWeek_10;k_20To34HoursAWeek_11;FullTime_12;Unknown_13;NotInTheLabourForce_14;AvailableToWorkButNotSeeking_15;BecauseOfDiscouragement_16;BecauseOfOtherReason_17;SeekingWorkButNotAvailable_18;NotSeekingWorkNotAvailable_19;WantToWork_20;DoesnTWantToOrCanTWork_21;BecauseOfFamilyHouseholdCare_22;BecauseOfEducation_23;BecauseOfRetirementOldAge_24;BecauseOfIllnessDisability_25;BecauseOfOtherReason_26
25;Total male and female;Total persons;Total;2018 1st quarter;12917.0;8819.0;655.0;8164.0;4098.0;503.0;319.0;145.0;89.0;56.0;174.0;167.0;18.0;3595.0;266.0;92.0;174.0;135.0;3194.0;174.0;3020.0;209.0;352.0;1585.0;688.0;185.0
26;Total male and female;Total persons;Total;2018 2nd quarter;12930.0;8913.0;636.0;8277.0;4017.0;462.0;301.0;134.0;79.0;56.0;167.0;143.0;19.0;3555.0;219.0;77.0;142.0;160.0;3176.0;181.0;2995.0;209.0;324.0;1548.0;705.0;209.0
27;Total male and female;Total persons;Total;2018 3rd quarter;12943.0;9000.0;601.0;8399.0;3943.0;439.0;277.0;121.0;73.0;48.0;155.0;138.0;24.0;3504.0;229.0;71.0;158.0;159.0;3116.0;174.0;2942.0;208.0;282.0;1564.0;696.0;192.0
28;Total male and female;Total persons;Total;2018 4th quarter;12956.0;9026.0;595.0;8431.0;3930.0;431.0;277.0;128.0;81.0;47.0;149.0;132.0;22.0;3499.0;222.0;72.0;150.0;131.0;3147.0;162.0;2985.0;198.0;326.0;1557.0;714.0;189.0
29;Total male and female;Total persons;Total;2018;12936.0;8939.0;622.0;8318.0;3997.0;459.0;293.0;132.0;81.0;51.0;161.0;145.0;21.0;3538.0;234.0;78.0;156.0;146.0;3158.0;173.0;2985.0;206.0;321.0;1563.0;701.0;194.0
30;Total male and female;Total persons;Total;2019 1st quarter;12975.0;9030.0;607.0;8423.0;3946.0;450.0;275.0;123.0;78.0;46.0;152.0;152.0;23.0;3496.0;225.0;76.0;149.0;133.0;3138.0;156.0;2982.0;187.0;327.0;1559.0;712.0;197.0
31;Total male and female;Total persons;Total;2019 2nd quarter;13002.0;9104.0;579.0;8525.0;3898.0;415.0;263.0;110.0;66.0;44.0;152.0;133.0;19.0;3483.0;205.0;70.0;135.0;161.0;3116.0;175.0;2941.0;183.0;300.0;1569.0;695.0;194.0
32;Total male and female;Total persons;Total;2019 3rd quarter;13029.0;9156.0;567.0;8589.0;3873.0;412.0;266.0;115.0;69.0;46.0;151.0;128.0;18.0;3461.0;209.0;62.0;147.0;153.0;3098.0;170.0;2929.0;191.0;288.0;1553.0;713.0;183.0
33;Total male and female;Total persons;Total;2019 4th quarter;13055.0;9177.0;565.0;8612.0;3878.0;416.0;273.0;136.0;83.0;53.0;137.0;123.0;21.0;3462.0;211.0;76.0;136.0;134.0;3117.0;182.0;2935.0;197.0;315.0;1548.0;697.0;178.0
34;Total male and female;Total persons;Total;2019;13015.0;9117.0;579.0;8537.0;3899.0;423.0;269.0;121.0;74.0;47.0;148.0;134.0;20.0;3475.0;213.0;71.0;142.0;145.0;3117.0;171.0;2947.0;189.0;307.0;1557.0;704.0;188.0
35;Total male and female;Total persons;Total;2020 1st quarter;13075.0;9174.0;562.0;8612.0;3901.0;410.0;275.0;125.0;74.0;51.0;150.0;116.0;19.0;3491.0;231.0;65.0;166.0;128.0;3131.0;169.0;2963.0;190.0;330.0;1547.0;704.0;191.0
36;Total male and female;Total persons;Total;2020 2nd quarter;13088.0;9051.0;662.0;8390.0;4037.0;460.0;288.0;120.0;71.0;49.0;168.0;152.0;21.0;3576.0;298.0;106.0;191.0;130.0;3148.0;165.0;2983.0;177.0;315.0;1565.0;723.0;203.0
37;Total male and female;Total persons;Total;2020 3rd quarter;13101.0;9100.0;627.0;8473.0;4000.0;508.0;319.0;154.0;88.0;66.0;166.0;172.0;16.0;3492.0;242.0;84.0;159.0;118.0;3132.0;155.0;2977.0;181.0;320.0;1585.0;714.0;178.0
38;Total male and female;Total persons;Total;2020 4th quarter;13113.0;9138.0;625.0;8513.0;3975.0;481.0;309.0;149.0;99.0;49.0;161.0;153.0;18.0;3494.0;248.0;97.0;151.0;109.0;3138.0;156.0;2982.0;168.0;335.0;1596.0;706.0;177.0
39;Total male and female;Total persons;Total;2020;13094.0;9116.0;619.0;8497.0;3978.0;465.0;298.0;137.0;83.0;54.0;161.0;148.0;19.0;3513.0;255.0;88.0;167.0;121.0;3137.0;161.0;2976.0;179.0;325.0;1573.0;712.0;187.0
40;Total male and female;Total persons;Total;2021 1st quarter;13148.0;9135.0;632.0;8504.0;4013.0;464.0;274.0;119.0;69.0;49.0;155.0;159.0;31.0;3549.0;291.0;42.0;249.0;97.0;3161.0;;;275.0;365.0;1648.0;733.0;140.0
41;Total male and female;Total persons;Total;2021 2nd quarter;13139.0;9207.0;596.0;8611.0;3932.0;416.0;262.0;106.0;51.0;55.0;156.0;119.0;35.0;3516.0;231.0;40.0;192.0;127.0;3158.0;;;277.0;362.0;1659.0;759.0;101.0
42;Total male and female;Total persons;Total;2021 3rd quarter;13128.0;9309.0;509.0;8799.0;3820.0;389.0;248.0;117.0;61.0;55.0;132.0;110.0;30.0;3431.0;220.0;25.0;195.0;121.0;3090.0;;;257.0;324.0;1628.0;781.0;100.0
43;Total male and female;Total persons;Total;2021 4th quarter;13170.0;9370.0;506.0;8865.0;3800.0;364.0;248.0;113.0;59.0;54.0;135.0;93.0;22.0;3437.0;211.0;24.0;186.0;112.0;3114.0;;;256.0;384.0;1619.0;765.0;90.0
44;Total male and female;Total persons;Total;2021;13147.0;9255.0;561.0;8695.0;3891.0;408.0;258.0;114.0;60.0;54.0;144.0;120.0;30.0;3483.0;238.0;33.0;205.0;114.0;3131.0;;;266.0;359.0;1638.0;759.0;108.0
45;Total male and female;Total persons;Total;2022 1st quarter;13175.0;9412.0;505.0;8907.0;3763.0;356.0;245.0;116.0;65.0;51.0;129.0;86.0;25.0;3407.0;196.0;27.0;170.0;104.0;3107.0;;;280.0;356.0;1598.0;791.0;81.0
46;Total male and female;Total persons;Total;2022 2nd quarter;13212.0;9544.0;501.0;9043.0;3668.0;329.0;222.0;93.0;45.0;48.0;129.0;81.0;27.0;3339.0;172.0;22.0;150.0;123.0;3044.0;;;282.0;323.0;1567.0;783.0;90.0
47;Total male and female;Total persons;Total;2022 3rd quarter;13232.0;9573.0;505.0;9067.0;3660.0;366.0;248.0;116.0;58.0;58.0;132.0;91.0;27.0;3293.0;188.0;17.0;171.0;115.0;2990.0;;;277.0;287.0;1552.0;790.0;85.0
48;Total male and female;Total persons;Total;2022 4th quarter;13291.0;9663.0;522.0;9141.0;3628.0;350.0;247.0;110.0;53.0;57.0;136.0;80.0;24.0;3279.0;201.0;23.0;178.0;105.0;2973.0;;;274.0;328.0;1519.0;776.0;75.0
49;Total male and female;Total persons;Total;2022;13228.0;9548.0;508.0;9040.0;3680.0;350.0;240.0;109.0;55.0;54.0;132.0;84.0;26.0;3330.0;189.0;22.0;167.0;112.0;3029.0;;;279.0;324.0;1559.0;785.0;83.0
50;Total male and female;Total persons;Total;2023 1st quarter;13307.0;9668.0;556.0;9113.0;3639.0;371.0;259.0;121.0;68.0;53.0;138.0;88.0;24.0;3267.0;204.0;32.0;172.0;101.0;2962.0;;;260.0;342.0;1491.0;781.0;90.0
51;Total male and female;Total persons;Total;2023 2nd quarter;13310.0;9731.0;532.0;9199.0;3579.0;348.0;225.0;106.0;57.0;49.0;120.0;100.0;23.0;3231.0;172.0;24.0;148.0;118.0;2941.0;;;272.0;297.0;1486.0;800.0;88.0
52;Total male and female;Total persons;Total;2023 3rd quarter;13317.0;9752.0;503.0;9249.0;3565.0;366.0;234.0;108.0;54.0;54.0;127.0;104.0;28.0;3199.0;190.0;18.0;172.0;112.0;2897.0;;;262.0;266.0;1467.0;810.0;92.0
53;Total male and female;Total persons;Total;2023 4th quarter;13368.0;9796.0;519.0;9277.0;3572.0;349.0;229.0;101.0;52.0;49.0;128.0;90.0;30.0;3223.0;187.0;22.0;165.0;102.0;2934.0;;;260.0;306.0;1441.0;836.0;92.0
54;Total male and female;Total persons;Total;2023;13326.0;9737.0;528.0;9209.0;3589.0;359.0;237.0;109.0;58.0;51.0;128.0;96.0;26.0;3230.0;188.0;24.0;164.0;108.0;2934.0;;;263.0;303.0;1471.0;807.0;90.0
55;Total male and female;Total persons;Total;2024 1st quarter;13375.0;9767.0;533.0;9234.0;3608.0;386.0;255.0;115.0;59.0;56.0;140.0;100.0;31.0;3222.0;181.0;15.0;166.0;101.0;2940.0;;;259.0;312.0;1439.0;851.0;79.0
56;Total male and female;Total persons;Total;2024 2nd quarter;13377.0;9822.0;517.0;9305.0;3555.0;365.0;229.0;99.0;48.0;51.0;130.0;104.0;32.0;3190.0;165.0;15.0;149.0;113.0;2913.0;;;266.0;279.0;1436.0;848.0;84.0
57;Total male and female;Total persons;Total;2024 3rd quarter;13379.0;9792.0;487.0;9305.0;3587.0;377.0;248.0;111.0;58.0;53.0;136.0;100.0;30.0;3210.0;186.0;15.0;171.0;109.0;2916.0;;;258.0;268.0;1452.0;850.0;88.0
58;Total male and female;Total persons;Total;2024 4th quarter;13418.0;9809.0;501.0;9308.0;3609.0;362.0;245.0;114.0;63.0;51.0;130.0;98.0;19.0;3247.0;184.0;23.0;161.0;99.0;2964.0;;;261.0;297.0;1466.0;860.0;79.0
59;Total male and female;Total persons;Total;2024;13387.0;9798.0;510.0;9288.0;3590.0;372.0;244.0;110.0;57.0;53.0;134.0;101.0;28.0;3217.0;179.0;17.0;162.0;105.0;2933.0;;;261.0;289.0;1448.0;852.0;82.0
60;Total male and female;Total persons;Registered at an employment office;2013 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Total male and female;Total persons;Registered at an employment office;2013 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Total male and female;Total persons;Registered at an employment office;2013 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Total male and female;Total persons;Registered at an employment office;2013 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Total male and female;Total persons;Registered at an employment office;2013;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Total male and female;Total persons;Registered at an employment office;2014 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Total male and female;Total persons;Registered at an employment office;2014 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Total male and female;Total persons;Registered at an employment office;2014 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Total male and female;Total persons;Registered at an employment office;2014 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Total male and female;Total persons;Registered at an employment office;2014;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Total male and female;Total persons;Registered at an employment office;2015 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Total male and female;Total persons;Registered at an employment office;2015 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Total male and female;Total persons;Registered at an employment office;2015 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Total male and female;Total persons;Registered at an employment office;2015 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Total male and female;Total persons;Registered at an employment office;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Total male and female;Total persons;Registered at an employment office;2016 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Total male and female;Total persons;Registered at an employment office;2016 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Total male and female;Total persons;Registered at an employment office;2016 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Total male and female;Total persons;Registered at an employment office;2016 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Total male and female;Total persons;Registered at an employment office;2016;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Total male and female;Total persons;Registered at an employment office;2017 1st quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Total male and female;Total persons;Registered at an employment office;2017 2nd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Total male and female;Total persons;Registered at an employment office;2017 3rd quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Total male and female;Total persons;Registered at an employment office;2017 4th quarter;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Total male and female;Total persons;Registered at an employment office;2017;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Total male and female;Total persons;Registered at an employment office;2018 1st quarter;1206.0;506.0;110.0;395.0;700.0;228.0;116.0;17.0;4.0;14.0;98.0;106.0;7.0;472.0;57.0;19.0;38.0;68.0;347.0;60.0;287.0;23.0;19.0;18.0;200.0;27.0
86;Total male and female;Total persons;Registered at an employment office;2018 2nd quarter;1209.0;518.0;103.0;415.0;691.0;202.0;105.0;16.0;4.0;12.0;89.0;88.0;10.0;488.0;47.0;19.0;29.0;72.0;368.0;60.0;308.0;27.0;18.0;22.0;211.0;31.0
87;Total male and female;Total persons;Registered at an employment office;2018 3rd quarter;1157.0;496.0;95.0;401.0;661.0;178.0;91.0;9.0;2.0;7.0;81.0;76.0;11.0;483.0;56.0;24.0;32.0;74.0;354.0;58.0;295.0;25.0;20.0;21.0;203.0;26.0
88;Total male and female;Total persons;Registered at an employment office;2018 4th quarter;1128.0;491.0;91.0;400.0;637.0;178.0;94.0;13.0;4.0;8.0;81.0;75.0;10.0;458.0;42.0;19.0;23.0;64.0;352.0;49.0;304.0;24.0;16.0;21.0;218.0;25.0
89;Total male and female;Total persons;Registered at an employment office;2018;1175.0;503.0;100.0;403.0;672.0;197.0;101.0;14.0;4.0;10.0;87.0;86.0;9.0;475.0;50.0;20.0;30.0;70.0;355.0;57.0;298.0;25.0;18.0;20.0;208.0;27.0
90;Total male and female;Total persons;Registered at an employment office;2019 1st quarter;1123.0;476.0;92.0;384.0;647.0;190.0;100.0;15.0;3.0;12.0;85.0;79.0;10.0;458.0;42.0;19.0;23.0;64.0;352.0;46.0;306.0;23.0;17.0;23.0;216.0;27.0
91;Total male and female;Total persons;Registered at an employment office;2019 2nd quarter;1095.0;461.0;85.0;376.0;634.0;173.0;87.0;11.0;4.0;7.0;76.0;78.0;8.0;461.0;45.0;16.0;29.0;65.0;351.0;55.0;296.0;23.0;19.0;28.0;197.0;30.0
92;Total male and female;Total persons;Registered at an employment office;2019 3rd quarter;1089.0;464.0;79.0;386.0;625.0;168.0;92.0;13.0;5.0;8.0;80.0;68.0;8.0;456.0;37.0;9.0;29.0;66.0;353.0;54.0;299.0;24.0;16.0;26.0;210.0;23.0
93;Total male and female;Total persons;Registered at an employment office;2019 4th quarter;1027.0;419.0;78.0;341.0;609.0;153.0;79.0;12.0;3.0;9.0;67.0;65.0;9.0;455.0;44.0;19.0;25.0;58.0;354.0;68.0;286.0;20.0;17.0;18.0;206.0;25.0
94;Total male and female;Total persons;Registered at an employment office;2019;1084.0;455.0;83.0;372.0;629.0;171.0;90.0;13.0;4.0;9.0;77.0;73.0;9.0;458.0;42.0;16.0;26.0;63.0;353.0;56.0;297.0;22.0;17.0;24.0;207.0;26.0
95;Total male and female;Total persons;Registered at an employment office;2020 1st quarter;1017.0;404.0;69.0;335.0;613.0;147.0;80.0;12.0;4.0;7.0;69.0;60.0;7.0;466.0;54.0;17.0;37.0;55.0;357.0;61.0;296.0;23.0;17.0;14.0;213.0;29.0
96;Total male and female;Total persons;Registered at an employment office;2020 2nd quarter;1094.0;411.0;70.0;342.0;683.0;183.0;88.0;10.0;4.0;6.0;78.0;86.0;9.0;500.0;65.0;24.0;41.0;59.0;376.0;52.0;323.0;23.0;21.0;20.0;225.0;34.0
97;Total male and female;Total persons;Registered at an employment office;2020 3rd quarter;1093.0;416.0;79.0;337.0;678.0;202.0;99.0;12.0;2.0;10.0;87.0;96.0;7.0;475.0;61.0;27.0;34.0;48.0;367.0;52.0;315.0;23.0;22.0;15.0;226.0;29.0
98;Total male and female;Total persons;Registered at an employment office;2020 4th quarter;1080.0;418.0;88.0;331.0;661.0;205.0;100.0;12.0;3.0;10.0;88.0;97.0;8.0;456.0;53.0;27.0;25.0;48.0;356.0;49.0;307.0;24.0;19.0;20.0;215.0;28.0
99;Total male and female;Total persons;Registered at an employment office;2020;1071.0;412.0;76.0;336.0;659.0;184.0;92.0;11.0;3.0;8.0;80.0;85.0;8.0;474.0;58.0;24.0;34.0;53.0;364.0;53.0;310.0;23.0;20.0;17.0;220.0;30.0
100;Total male and female;Total persons;Registered at an employment office;2021 1st quarter;1125.0;399.0;64.0;335.0;726.0;197.0;99.0;15.0;3.0;12.0;85.0;83.0;14.0;529.0;44.0;7.0;37.0;40.0;446.0;;;30.0;33.0;32.0;287.0;63.0
101;Total male and female;Total persons;Registered at an employment office;2021 2nd quarter;1100.0;404.0;48.0;355.0;697.0;171.0;89.0;12.0;2.0;10.0;76.0;70.0;12.0;525.0;45.0;9.0;36.0;53.0;427.0;;;43.0;38.0;31.0;276.0;39.0
102;Total male and female;Total persons;Registered at an employment office;2021 3rd quarter;1059.0;404.0;50.0;354.0;656.0;136.0;77.0;15.0;3.0;12.0;62.0;51.0;9.0;519.0;43.0;8.0;35.0;55.0;422.0;;;40.0;34.0;30.0;285.0;33.0
103;Total male and female;Total persons;Registered at an employment office;2021 4th quarter;1030.0;392.0;46.0;346.0;638.0;129.0;77.0;13.0;2.0;11.0;64.0;45.0;7.0;509.0;36.0;6.0;30.0;47.0;426.0;;;39.0;33.0;26.0;297.0;32.0
104;Total male and female;Total persons;Registered at an employment office;2021;1079.0;400.0;52.0;348.0;679.0;158.0;85.0;14.0;3.0;11.0;72.0;62.0;11.0;521.0;42.0;7.0;35.0;49.0;430.0;;;38.0;34.0;30.0;286.0;42.0
105;Total male and female;Total persons;Registered at an employment office;2022 1st quarter;1017.0;382.0;43.0;339.0;634.0;119.0;67.0;12.0;3.0;9.0;55.0;42.0;9.0;515.0;34.0;6.0;27.0;44.0;438.0;;;45.0;31.0;24.0;306.0;31.0
106;Total male and female;Total persons;Registered at an employment office;2022 2nd quarter;969.0;349.0;36.0;313.0;620.0;109.0;69.0;10.0;2.0;8.0;59.0;31.0;8.0;511.0;33.0;5.0;29.0;41.0;437.0;;;45.0;29.0;27.0;305.0;31.0
107;Total male and female;Total persons;Registered at an employment office;2022 3rd quarter;947.0;332.0;34.0;298.0;615.0;102.0;64.0;13.0;4.0;9.0;52.0;29.0;8.0;513.0;28.0;4.0;25.0;41.0;444.0;;;45.0;30.0;28.0;313.0;28.0
108;Total male and female;Total persons;Registered at an employment office;2022 4th quarter;932.0;325.0;35.0;290.0;607.0;110.0;68.0;11.0;3.0;8.0;57.0;37.0;6.0;497.0;28.0;5.0;23.0;41.0;428.0;;;46.0;32.0;25.0;304.0;21.0
109;Total male and female;Total persons;Registered at an employment office;2022;966.0;347.0;37.0;310.0;619.0;110.0;67.0;11.0;3.0;9.0;56.0;35.0;8.0;509.0;31.0;5.0;26.0;42.0;437.0;;;45.0;30.0;26.0;307.0;28.0
110;Total male and female;Total persons;Registered at an employment office;2023 1st quarter;937.0;329.0;35.0;294.0;608.0;114.0;70.0;12.0;3.0;9.0;58.0;38.0;6.0;494.0;27.0;3.0;25.0;35.0;431.0;;;41.0;36.0;26.0;302.0;26.0
111;Total male and female;Total persons;Registered at an employment office;2023 2nd quarter;945.0;332.0;31.0;301.0;613.0;107.0;58.0;12.0;3.0;9.0;46.0;43.0;6.0;506.0;25.0;4.0;22.0;41.0;440.0;;;42.0;36.0;23.0;307.0;31.0
112;Total male and female;Total persons;Registered at an employment office;2023 3rd quarter;939.0;319.0;33.0;286.0;620.0;101.0;56.0;10.0;3.0;7.0;46.0;39.0;5.0;519.0;27.0;3.0;24.0;41.0;450.0;;;43.0;41.0;22.0;314.0;30.0
