ID;InkomensgrensCN;CaribischNederland;Perioden;Huishoudens_1;HuishoudensRelatief_2;Personen_3;PersonenRelatief_4;Kinderen_5;KinderenRelatief_6
31;Inkomen tot 90% ijkpunt sociaal minimum;Saba;2019;150;21.0;250;19.0;50;22.0
32;Inkomen tot 100% ijkpunt sociaal minimum;Caribisch Nederland;2018;2600;27.0;5100;25.0;1250;29.0
33;Inkomen tot 100% ijkpunt sociaal minimum;Caribisch Nederland;2019;2800;28.0;5500;26.0;1400;31.0
34;Inkomen tot 100% ijkpunt sociaal minimum;Bonaire;2018;2050;27.0;4000;24.0;950;28.0
35;Inkomen tot 100% ijkpunt sociaal minimum;Bonaire;2019;2150;27.0;4300;25.0;1050;29.0
36;Inkomen tot 100% ijkpunt sociaal minimum;Sint Eustatius;2018;400;31.0;750;30.0;250;37.0
37;Inkomen tot 100% ijkpunt sociaal minimum;Sint Eustatius;2019;450;34.0;850;33.0;250;41.0
38;Inkomen tot 100% ijkpunt sociaal minimum;Saba;2018;200;26.0;350;23.0;50;24.0
39;Inkomen tot 100% ijkpunt sociaal minimum;Saba;2019;200;28.0;350;24.0;100;28.0
40;Inkomen tot 110% ijkpunt sociaal minimum;Caribisch Nederland;2018;3000;31.0;5950;29.0;1500;33.0
41;Inkomen tot 110% ijkpunt sociaal minimum;Caribisch Nederland;2019;3200;32.0;6400;31.0;1600;36.0
42;Inkomen tot 110% ijkpunt sociaal minimum;Bonaire;2018;2350;30.0;4700;28.0;1150;32.0
43;Inkomen tot 110% ijkpunt sociaal minimum;Bonaire;2019;2500;32.0;5050;30.0;1250;34.0
44;Inkomen tot 110% ijkpunt sociaal minimum;Sint Eustatius;2018;450;35.0;850;33.0;250;40.0
45;Inkomen tot 110% ijkpunt sociaal minimum;Sint Eustatius;2019;450;37.0;950;36.0;300;44.0
46;Inkomen tot 110% ijkpunt sociaal minimum;Saba;2018;200;31.0;400;28.0;100;31.0
47;Inkomen tot 110% ijkpunt sociaal minimum;Saba;2019;250;32.0;400;27.0;100;31.0
48;Inkomen tot 125% ijkpunt sociaal minimum;Caribisch Nederland;2018;3600;38.0;7250;35.0;1800;40.0
49;Inkomen tot 125% ijkpunt sociaal minimum;Caribisch Nederland;2019;3850;39.0;7750;37.0;1900;42.0
50;Inkomen tot 125% ijkpunt sociaal minimum;Bonaire;2018;2850;37.0;5700;35.0;1350;39.0
51;Inkomen tot 125% ijkpunt sociaal minimum;Bonaire;2019;3050;39.0;6150;36.0;1450;41.0
52;Inkomen tot 125% ijkpunt sociaal minimum;Sint Eustatius;2018;500;41.0;1000;39.0;300;47.0
53;Inkomen tot 125% ijkpunt sociaal minimum;Sint Eustatius;2019;550;43.0;1100;42.0;350;53.0
54;Inkomen tot 125% ijkpunt sociaal minimum;Saba;2018;250;38.0;550;37.0;150;43.0
55;Inkomen tot 125% ijkpunt sociaal minimum;Saba;2019;250;37.0;500;33.0;100;38.0
56;Niet ingedeeld;Caribisch Nederland;2018;600;;3250;;650;
57;Niet ingedeeld;Caribisch Nederland;2019;600;;3250;;600;
58;Niet ingedeeld;Bonaire;2018;500;;2700;;550;
59;Niet ingedeeld;Bonaire;2019;550;;2800;;500;
60;Niet ingedeeld;Sint Eustatius;2018;50;;350;;100;
61;Niet ingedeeld;Sint Eustatius;2019;50;;300;;50;
62;Niet ingedeeld;Saba;2018;50;;150;;50;
63;Niet ingedeeld;Saba;2019;50;;200;;50;
