ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
86;Noord-Holland (PV);Werknemer;972.0;21.4
87;Noord-Holland (PV);Zelfstandige;144.3;21.5
88;Noord-Holland (PV);Totaal niet-actief;629.7;14.3
89;Noord-Holland (PV);Werkloosheids- en bijstandsuitk. ontv.;72.1;11.3
90;Noord-Holland (PV);Pensioenontvanger;370.9;16.3
91;Zuid-Holland (PV);Totaal sociaal-economische categorie;2282.8;18.4
92;Zuid-Holland (PV);Totaal actief;1455.8;20.9
93;Zuid-Holland (PV);Werknemer;1301.5;20.7
94;Zuid-Holland (PV);Zelfstandige;152.5;22.4
95;Zuid-Holland (PV);Totaal niet-actief;826.5;13.9
96;Zuid-Holland (PV);Werkloosheids- en bijstandsuitk. ontv.;109.7;11.0
97;Zuid-Holland (PV);Pensioenontvanger;511.2;15.9
98;Zeeland (PV);Totaal sociaal-economische categorie;250.6;17.3
99;Zeeland (PV);Totaal actief;157.1;19.3
100;Zeeland (PV);Werknemer;134.0;18.9
101;Zeeland (PV);Zelfstandige;22.7;21.3
102;Zeeland (PV);Totaal niet-actief;93.4;14.0
103;Zeeland (PV);Werkloosheids- en bijstandsuitk. ontv.;6.1;11.6
104;Zeeland (PV);Pensioenontvanger;67.3;15.2
105;Noord-Brabant (PV);Totaal sociaal-economische categorie;1618.5;17.5
106;Noord-Brabant (PV);Totaal actief;1054.8;19.6
107;Noord-Brabant (PV);Werknemer;929.2;19.6
108;Noord-Brabant (PV);Zelfstandige;123.8;19.7
109;Noord-Brabant (PV);Totaal niet-actief;563.4;13.6
110;Noord-Brabant (PV);Werkloosheids- en bijstandsuitk. ontv.;47.5;11.3
111;Noord-Brabant (PV);Pensioenontvanger;351.6;15.4
112;Limburg (PV);Totaal sociaal-economische categorie;771.3;16.7
113;Limburg (PV);Totaal actief;463.0;19.0
114;Limburg (PV);Werknemer;409.4;19.0
115;Limburg (PV);Zelfstandige;52.8;18.8
116;Limburg (PV);Totaal niet-actief;308.2;13.3
117;Limburg (PV);Werkloosheids- en bijstandsuitk. ontv.;29.3;11.2
118;Limburg (PV);Pensioenontvanger;188.3;14.9
119;Oost-Groningen (CR);Totaal sociaal-economische categorie;103.6;15.6
120;Oost-Groningen (CR);Totaal actief;59.4;17.9
121;Oost-Groningen (CR);Werknemer;52.3;17.9
122;Oost-Groningen (CR);Zelfstandige;7.0;18.3
123;Oost-Groningen (CR);Totaal niet-actief;44.1;12.4
124;Oost-Groningen (CR);Werkloosheids- en bijstandsuitk. ontv.;4.0;10.9
125;Oost-Groningen (CR);Pensioenontvanger;28.2;13.3
126;Delfzijl en omgeving (CR);Totaal sociaal-economische categorie;34.5;16.5
127;Delfzijl en omgeving (CR);Totaal actief;20.7;18.9
128;Delfzijl en omgeving (CR);Werknemer;18.0;18.7
129;Delfzijl en omgeving (CR);Zelfstandige;2.6;20.1
130;Delfzijl en omgeving (CR);Totaal niet-actief;13.9;13.0
131;Delfzijl en omgeving (CR);Werkloosheids- en bijstandsuitk. ontv.;1.5;11.3
132;Delfzijl en omgeving (CR);Pensioenontvanger;9.2;14.1
133;Overig Groningen (CR);Totaal sociaal-economische categorie;243.7;16.7
134;Overig Groningen (CR);Totaal actief;146.4;19.4
135;Overig Groningen (CR);Werknemer;127.6;19.2
136;Overig Groningen (CR);Zelfstandige;18.5;20.4
137;Overig Groningen (CR);Totaal niet-actief;97.2;12.7
138;Overig Groningen (CR);Werkloosheids- en bijstandsuitk. ontv.;12.3;11.0
139;Overig Groningen (CR);Pensioenontvanger;52.4;15.0
140;Noord-Friesland (CR);Totaal sociaal-economische categorie;215.5;16.4
141;Noord-Friesland (CR);Totaal actief;133.9;18.5
142;Noord-Friesland (CR);Werknemer;113.9;18.1
143;Noord-Friesland (CR);Zelfstandige;19.7;20.7
144;Noord-Friesland (CR);Totaal niet-actief;81.6;12.9
145;Noord-Friesland (CR);Werkloosheids- en bijstandsuitk. ontv.;8.4;11.0
146;Noord-Friesland (CR);Pensioenontvanger;49.8;14.5
147;Zuidwest-Friesland (CR);Totaal sociaal-economische categorie;67.9;16.6
148;Zuidwest-Friesland (CR);Totaal actief;43.1;18.4
149;Zuidwest-Friesland (CR);Werknemer;35.2;18.2
150;Zuidwest-Friesland (CR);Zelfstandige;7.9;19.3
151;Zuidwest-Friesland (CR);Totaal niet-actief;24.7;13.5
152;Zuidwest-Friesland (CR);Werkloosheids- en bijstandsuitk. ontv.;2.1;11.2
153;Zuidwest-Friesland (CR);Pensioenontvanger;16.8;14.7
154;Zuidoost-Friesland (CR);Totaal sociaal-economische categorie;135.2;16.6
155;Zuidoost-Friesland (CR);Totaal actief;84.0;18.6
156;Zuidoost-Friesland (CR);Werknemer;71.5;18.3
157;Zuidoost-Friesland (CR);Zelfstandige;12.4;20.2
158;Zuidoost-Friesland (CR);Totaal niet-actief;51.2;13.4
159;Zuidoost-Friesland (CR);Werkloosheids- en bijstandsuitk. ontv.;4.0;11.5
160;Zuidoost-Friesland (CR);Pensioenontvanger;34.1;14.7
161;Noord-Drenthe (CR);Totaal sociaal-economische categorie;123.1;17.5
162;Noord-Drenthe (CR);Totaal actief;76.7;19.6
163;Noord-Drenthe (CR);Werknemer;66.7;19.7
164;Noord-Drenthe (CR);Zelfstandige;9.9;19.3
165;Noord-Drenthe (CR);Totaal niet-actief;46.3;14.2
166;Noord-Drenthe (CR);Werkloosheids- en bijstandsuitk. ontv.;3.3;11.9
167;Noord-Drenthe (CR);Pensioenontvanger;31.2;15.6
168;Zuidoost-Drenthe (CR);Totaal sociaal-economische categorie;114.7;15.8
169;Zuidoost-Drenthe (CR);Totaal actief;69.5;17.6
170;Zuidoost-Drenthe (CR);Werknemer;60.6;17.8
171;Zuidoost-Drenthe (CR);Zelfstandige;8.7;16.0
172;Zuidoost-Drenthe (CR);Totaal niet-actief;45.1;13.0
173;Zuidoost-Drenthe (CR);Werkloosheids- en bijstandsuitk. ontv.;4.0;11.0
174;Zuidoost-Drenthe (CR);Pensioenontvanger;29.0;14.2
175;Zuidwest-Drenthe (CR);Totaal sociaal-economische categorie;84.5;16.8
176;Zuidwest-Drenthe (CR);Totaal actief;52.1;18.6
177;Zuidwest-Drenthe (CR);Werknemer;44.5;18.5
178;Zuidwest-Drenthe (CR);Zelfstandige;7.6;19.0
179;Zuidwest-Drenthe (CR);Totaal niet-actief;32.3;13.8
180;Zuidwest-Drenthe (CR);Werkloosheids- en bijstandsuitk. ontv.;2.2;11.9
181;Zuidwest-Drenthe (CR);Pensioenontvanger;21.8;15.1
182;Noord-Overijssel (CR);Totaal sociaal-economische categorie;221.2;16.6
183;Noord-Overijssel (CR);Totaal actief;146.1;18.4
184;Noord-Overijssel (CR);Werknemer;126.9;18.3
185;Noord-Overijssel (CR);Zelfstandige;18.9;18.6
186;Noord-Overijssel (CR);Totaal niet-actief;75.1;13.3
187;Noord-Overijssel (CR);Werkloosheids- en bijstandsuitk. ontv.;5.6;11.6
188;Noord-Overijssel (CR);Pensioenontvanger;47.7;14.8
189;Zuidwest-Overijssel (CR);Totaal sociaal-economische categorie;98.1;16.6
190;Zuidwest-Overijssel (CR);Totaal actief;62.9;18.5
191;Zuidwest-Overijssel (CR);Werknemer;56.0;18.6
192;Zuidwest-Overijssel (CR);Zelfstandige;6.7;17.7
193;Zuidwest-Overijssel (CR);Totaal niet-actief;35.2;13.3
194;Zuidwest-Overijssel (CR);Werkloosheids- en bijstandsuitk. ontv.;2.8;11.3
195;Zuidwest-Overijssel (CR);Pensioenontvanger;22.1;14.8
196;Twente (CR);Totaal sociaal-economische categorie;403.4;16.4
197;Twente (CR);Totaal actief;251.1;18.5
198;Twente (CR);Werknemer;221.1;18.4
199;Twente (CR);Zelfstandige;29.6;19.0
200;Twente (CR);Totaal niet-actief;152.1;13.1
201;Twente (CR);Werkloosheids- en bijstandsuitk. ontv.;14.3;10.7
202;Twente (CR);Pensioenontvanger;93.8;14.6
203;Veluwe (CR);Totaal sociaal-economische categorie;418.0;17.6
204;Veluwe (CR);Totaal actief;269.6;19.5
205;Veluwe (CR);Werknemer;236.6;19.4
206;Veluwe (CR);Zelfstandige;32.5;20.8
207;Veluwe (CR);Totaal niet-actief;148.4;14.2
208;Veluwe (CR);Werkloosheids- en bijstandsuitk. ontv.;8.8;11.6
209;Veluwe (CR);Pensioenontvanger;97.5;16.0
210;Achterhoek (CR);Totaal sociaal-economische categorie;257.9;16.6
211;Achterhoek (CR);Totaal actief;164.6;18.3
212;Achterhoek (CR);Werknemer;141.0;18.4
213;Achterhoek (CR);Zelfstandige;23.3;17.9
214;Achterhoek (CR);Totaal niet-actief;93.3;13.6
215;Achterhoek (CR);Werkloosheids- en bijstandsuitk. ontv.;5.7;11.8
216;Achterhoek (CR);Pensioenontvanger;63.5;14.8
217;Arnhem/Nijmegen (CR);Totaal sociaal-economische categorie;471.2;17.3
218;Arnhem/Nijmegen (CR);Totaal actief;300.4;19.4
219;Arnhem/Nijmegen (CR);Werknemer;268.9;19.3
220;Arnhem/Nijmegen (CR);Zelfstandige;31.0;20.2
221;Arnhem/Nijmegen (CR);Totaal niet-actief;170.8;13.7
222;Arnhem/Nijmegen (CR);Werkloosheids- en bijstandsuitk. ontv.;14.8;11.1
223;Arnhem/Nijmegen (CR);Pensioenontvanger;103.9;15.7
224;Zuidwest-Gelderland (CR);Totaal sociaal-economische categorie;148.2;17.9
225;Zuidwest-Gelderland (CR);Totaal actief;103.3;19.9
226;Zuidwest-Gelderland (CR);Werknemer;88.2;19.8
227;Zuidwest-Gelderland (CR);Zelfstandige;15.0;20.4
228;Zuidwest-Gelderland (CR);Totaal niet-actief;44.8;13.3
229;Zuidwest-Gelderland (CR);Werkloosheids- en bijstandsuitk. ontv.;3.1;11.3
230;Zuidwest-Gelderland (CR);Pensioenontvanger;29.7;14.6
231;Utrecht (CR);Totaal sociaal-economische categorie;774.1;19.1
232;Utrecht (CR);Totaal actief;515.9;21.4
233;Utrecht (CR);Werknemer;458.7;21.3
234;Utrecht (CR);Zelfstandige;56.5;22.5
235;Utrecht (CR);Totaal niet-actief;258.0;14.5
236;Utrecht (CR);Werkloosheids- en bijstandsuitk. ontv.;21.9;11.2
237;Utrecht (CR);Pensioenontvanger;155.0;17.1
238;Kop van Noord-Holland (CR);Totaal sociaal-economische categorie;241.1;17.3
239;Kop van Noord-Holland (CR);Totaal actief;161.2;19.1
240;Kop van Noord-Holland (CR);Werknemer;137.1;19.0
241;Kop van Noord-Holland (CR);Zelfstandige;23.8;19.9
242;Kop van Noord-Holland (CR);Totaal niet-actief;79.8;13.6
243;Kop van Noord-Holland (CR);Werkloosheids- en bijstandsuitk. ontv.;5.7;12.2
244;Kop van Noord-Holland (CR);Pensioenontvanger;49.4;15.1
245;Alkmaar en omgeving (CR);Totaal sociaal-economische categorie;151.5;18.1
246;Alkmaar en omgeving (CR);Totaal actief;98.7;20.1
247;Alkmaar en omgeving (CR);Werknemer;87.0;20.0
248;Alkmaar en omgeving (CR);Zelfstandige;11.6;21.5
249;Alkmaar en omgeving (CR);Totaal niet-actief;52.8;14.3
250;Alkmaar en omgeving (CR);Werkloosheids- en bijstandsuitk. ontv.;4.0;12.0
251;Alkmaar en omgeving (CR);Pensioenontvanger;32.1;16.3
252;IJmond (CR);Totaal sociaal-economische categorie;128.8;18.4
253;IJmond (CR);Totaal actief;80.6;20.5
254;IJmond (CR);Werknemer;72.5;20.3
255;IJmond (CR);Zelfstandige;8.0;22.6
256;IJmond (CR);Totaal niet-actief;48.1;14.8
257;IJmond (CR);Werkloosheids- en bijstandsuitk. ontv.;2.9;12.4
258;IJmond (CR);Pensioenontvanger;32.3;16.6
259;Agglomeratie Haarlem (CR);Totaal sociaal-economische categorie;152.4;19.8
260;Agglomeratie Haarlem (CR);Totaal actief;93.6;22.5
261;Agglomeratie Haarlem (CR);Werknemer;82.2;22.3
262;Agglomeratie Haarlem (CR);Zelfstandige;11.3;23.7
263;Agglomeratie Haarlem (CR);Totaal niet-actief;58.8;15.5
264;Agglomeratie Haarlem (CR);Werkloosheids- en bijstandsuitk. ontv.;4.4;11.3
265;Agglomeratie Haarlem (CR);Pensioenontvanger;37.9;17.7
266;Zaanstreek (CR);Totaal sociaal-economische categorie;107.0;17.6
267;Zaanstreek (CR);Totaal actief;68.8;19.8
268;Zaanstreek (CR);Werknemer;62.5;19.7
269;Zaanstreek (CR);Zelfstandige;6.3;21.1
270;Zaanstreek (CR);Totaal niet-actief;38.1;13.6
271;Zaanstreek (CR);Werkloosheids- en bijstandsuitk. ontv.;3.1;11.7
272;Zaanstreek (CR);Pensioenontvanger;23.2;15.1
273;Groot-Amsterdam (CR);Totaal sociaal-economische categorie;801.7;19.0
274;Groot-Amsterdam (CR);Totaal actief;511.1;21.9
275;Groot-Amsterdam (CR);Werknemer;441.8;22.1
276;Groot-Amsterdam (CR);Zelfstandige;68.7;21.0
277;Groot-Amsterdam (CR);Totaal niet-actief;290.4;13.8
278;Groot-Amsterdam (CR);Werkloosheids- en bijstandsuitk. ontv.;48.5;11.1
279;Groot-Amsterdam (CR);Pensioenontvanger;152.4;15.9
280;Het Gooi en Vechtstreek (CR);Totaal sociaal-economische categorie;165.3;21.1
281;Het Gooi en Vechtstreek (CR);Totaal actief;103.7;23.9
282;Het Gooi en Vechtstreek (CR);Werknemer;89.0;23.8
283;Het Gooi en Vechtstreek (CR);Zelfstandige;14.5;24.6
284;Het Gooi en Vechtstreek (CR);Totaal niet-actief;61.7;16.3
285;Het Gooi en Vechtstreek (CR);Werkloosheids- en bijstandsuitk. ontv.;3.6;12.1
286;Het Gooi en Vechtstreek (CR);Pensioenontvanger;43.6;18.3
287;Agglomeratie Leiden en Bollenstreek (CR);Totaal sociaal-economische categorie;259.9;19.1
288;Agglomeratie Leiden en Bollenstreek (CR);Totaal actief;173.7;21.4
289;Agglomeratie Leiden en Bollenstreek (CR);Werknemer;155.3;21.0
290;Agglomeratie Leiden en Bollenstreek (CR);Zelfstandige;18.2;24.4
291;Agglomeratie Leiden en Bollenstreek (CR);Totaal niet-actief;86.1;14.4
292;Agglomeratie Leiden en Bollenstreek (CR);Werkloosheids- en bijstandsuitk. ontv.;5.9;11.5
293;Agglomeratie Leiden en Bollenstreek (CR);Pensioenontvanger;54.9;16.7
294;Agglomeratie 's-Gravenhage (CR);Totaal sociaal-economische categorie;509.3;19.2
295;Agglomeratie 's-Gravenhage (CR);Totaal actief;315.5;21.7
296;Agglomeratie 's-Gravenhage (CR);Werknemer;282.4;21.7
297;Agglomeratie 's-Gravenhage (CR);Zelfstandige;32.7;21.9
298;Agglomeratie 's-Gravenhage (CR);Totaal niet-actief;193.7;15.0
299;Agglomeratie 's-Gravenhage (CR);Werkloosheids- en bijstandsuitk. ontv.;28.0;11.1
300;Agglomeratie 's-Gravenhage (CR);Pensioenontvanger;118.9;17.5
301;Delft en Westland (CR);Totaal sociaal-economische categorie;141.5;17.9
302;Delft en Westland (CR);Totaal actief;93.4;20.3
303;Delft en Westland (CR);Werknemer;81.1;19.8
304;Delft en Westland (CR);Zelfstandige;12.3;23.8
305;Delft en Westland (CR);Totaal niet-actief;48.0;13.2
306;Delft en Westland (CR);Werkloosheids- en bijstandsuitk. ontv.;4.3;11.0
307;Delft en Westland (CR);Pensioenontvanger;29.2;15.5
308;Oost-Zuid-Holland (CR);Totaal sociaal-economische categorie;212.5;18.7
309;Oost-Zuid-Holland (CR);Totaal actief;148.5;20.7
310;Oost-Zuid-Holland (CR);Werknemer;130.9;20.6
311;Oost-Zuid-Holland (CR);Zelfstandige;17.5;22.0
312;Oost-Zuid-Holland (CR);Totaal niet-actief;63.9;14.0
313;Oost-Zuid-Holland (CR);Werkloosheids- en bijstandsuitk. ontv.;4.4;11.6
314;Oost-Zuid-Holland (CR);Pensioenontvanger;42.1;15.9
315;Groot-Rijnmond (CR);Totaal sociaal-economische categorie;899.9;17.8
316;Groot-Rijnmond (CR);Totaal actief;554.5;20.6
317;Groot-Rijnmond (CR);Werknemer;499.2;20.5
318;Groot-Rijnmond (CR);Zelfstandige;54.8;21.7
319;Groot-Rijnmond (CR);Totaal niet-actief;345.2;13.4
320;Groot-Rijnmond (CR);Werkloosheids- en bijstandsuitk. ontv.;58.6;10.9
321;Groot-Rijnmond (CR);Pensioenontvanger;206.1;15.1
322;Zuidoost-Zuid-Holland (CR);Totaal sociaal-economische categorie;259.9;17.9
323;Zuidoost-Zuid-Holland (CR);Totaal actief;170.1;20.2
324;Zuidoost-Zuid-Holland (CR);Werknemer;152.6;20.0
325;Zuidoost-Zuid-Holland (CR);Zelfstandige;17.2;22.4
326;Zuidoost-Zuid-Holland (CR);Totaal niet-actief;89.7;13.6
327;Zuidoost-Zuid-Holland (CR);Werkloosheids- en bijstandsuitk. ontv.;8.5;11.1
328;Zuidoost-Zuid-Holland (CR);Pensioenontvanger;60.0;15.1
329;Zeeuwsch-Vlaanderen (CR);Totaal sociaal-economische categorie;72.1;17.3
330;Zeeuwsch-Vlaanderen (CR);Totaal actief;44.3;19.7
331;Zeeuwsch-Vlaanderen (CR);Werknemer;37.4;19.5
332;Zeeuwsch-Vlaanderen (CR);Zelfstandige;6.8;20.3
333;Zeeuwsch-Vlaanderen (CR);Totaal niet-actief;27.8;13.5
334;Zeeuwsch-Vlaanderen (CR);Werkloosheids- en bijstandsuitk. ontv.;1.7;11.2
335;Zeeuwsch-Vlaanderen (CR);Pensioenontvanger;20.6;14.4
336;Overig Zeeland (CR);Totaal sociaal-economische categorie;178.4;17.3
337;Overig Zeeland (CR);Totaal actief;112.9;19.1
338;Overig Zeeland (CR);Werknemer;96.6;18.7
339;Overig Zeeland (CR);Zelfstandige;15.9;21.7
340;Overig Zeeland (CR);Totaal niet-actief;65.5;14.2
341;Overig Zeeland (CR);Werkloosheids- en bijstandsuitk. ontv.;4.4;11.7
342;Overig Zeeland (CR);Pensioenontvanger;46.7;15.5
343;West-Noord-Brabant (CR);Totaal sociaal-economische categorie;406.7;17.7
344;West-Noord-Brabant (CR);Totaal actief;263.2;19.9
345;West-Noord-Brabant (CR);Werknemer;232.9;19.9
346;West-Noord-Brabant (CR);Zelfstandige;29.9;19.9
347;West-Noord-Brabant (CR);Totaal niet-actief;143.5;13.6
348;West-Noord-Brabant (CR);Werkloosheids- en bijstandsuitk. ontv.;12.4;11.3
349;West-Noord-Brabant (CR);Pensioenontvanger;92.8;15.2
350;Midden-Noord-Brabant (CR);Totaal sociaal-economische categorie;303.9;17.2
351;Midden-Noord-Brabant (CR);Totaal actief;198.3;19.4
352;Midden-Noord-Brabant (CR);Werknemer;175.9;19.4
353;Midden-Noord-Brabant (CR);Zelfstandige;21.9;19.9
354;Midden-Noord-Brabant (CR);Totaal niet-actief;105.5;13.0
355;Midden-Noord-Brabant (CR);Werkloosheids- en bijstandsuitk. ontv.;8.9;11.1
356;Midden-Noord-Brabant (CR);Pensioenontvanger;63.4;14.9
357;Noordoost-Noord-Brabant (CR);Totaal sociaal-economische categorie;421.2;17.5
358;Noordoost-Noord-Brabant (CR);Totaal actief;279.0;19.5
359;Noordoost-Noord-Brabant (CR);Werknemer;243.3;19.5
360;Noordoost-Noord-Brabant (CR);Zelfstandige;35.2;19.3
361;Noordoost-Noord-Brabant (CR);Totaal niet-actief;142.2;13.6
362;Noordoost-Noord-Brabant (CR);Werkloosheids- en bijstandsuitk. ontv.;10.8;11.4
363;Noordoost-Noord-Brabant (CR);Pensioenontvanger;88.0;15.3
364;Zuidoost-Noord-Brabant (CR);Totaal sociaal-economische categorie;486.7;17.6
365;Zuidoost-Noord-Brabant (CR);Totaal actief;314.3;19.7
366;Zuidoost-Noord-Brabant (CR);Werknemer;277.0;19.7
367;Zuidoost-Noord-Brabant (CR);Zelfstandige;36.8;19.7
368;Zuidoost-Noord-Brabant (CR);Totaal niet-actief;172.3;13.9
369;Zuidoost-Noord-Brabant (CR);Werkloosheids- en bijstandsuitk. ontv.;15.4;11.2
370;Zuidoost-Noord-Brabant (CR);Pensioenontvanger;107.5;15.9
371;Noord-Limburg (CR);Totaal sociaal-economische categorie;187.2;16.5
372;Noord-Limburg (CR);Totaal actief;122.4;18.3
373;Noord-Limburg (CR);Werknemer;107.4;18.3
374;Noord-Limburg (CR);Zelfstandige;14.7;18.8
375;Noord-Limburg (CR);Totaal niet-actief;64.8;13.1
376;Noord-Limburg (CR);Werkloosheids- en bijstandsuitk. ontv.;5.2;11.6
377;Noord-Limburg (CR);Pensioenontvanger;40.7;14.6
378;Midden-Limburg (CR);Totaal sociaal-economische categorie;158.1;17.1
379;Midden-Limburg (CR);Totaal actief;99.3;19.2
380;Midden-Limburg (CR);Werknemer;87.0;19.3
381;Midden-Limburg (CR);Zelfstandige;12.1;18.7
382;Midden-Limburg (CR);Totaal niet-actief;58.7;13.4
383;Midden-Limburg (CR);Werkloosheids- en bijstandsuitk. ontv.;5.2;11.7
384;Midden-Limburg (CR);Pensioenontvanger;37.0;14.9
385;Zuid-Limburg (CR);Totaal sociaal-economische categorie;426.0;16.7
386;Zuid-Limburg (CR);Totaal actief;241.3;19.3
387;Zuid-Limburg (CR);Werknemer;215.0;19.3
388;Zuid-Limburg (CR);Zelfstandige;26.0;18.9
389;Zuid-Limburg (CR);Totaal niet-actief;184.7;13.3
390;Zuid-Limburg (CR);Werkloosheids- en bijstandsuitk. ontv.;18.9;10.9
391;Zuid-Limburg (CR);Pensioenontvanger;110.6;15.1
392;Flevoland (CR);Totaal sociaal-economische categorie;219.3;17.6
393;Flevoland (CR);Totaal actief;156.5;19.4
394;Flevoland (CR);Werknemer;138.4;19.4
395;Flevoland (CR);Zelfstandige;17.8;19.6
396;Flevoland (CR);Totaal niet-actief;62.8;12.9
397;Flevoland (CR);Werkloosheids- en bijstandsuitk. ontv.;7.3;11.8
398;Flevoland (CR);Pensioenontvanger;33.2;14.7
399;Groningen (GA);Totaal sociaal-economische categorie;134.9;16.6
400;Groningen (GA);Totaal actief;76.2;19.8
401;Groningen (GA);Werknemer;68.1;19.6
402;Groningen (GA);Zelfstandige;8.0;21.5
403;Groningen (GA);Totaal niet-actief;58.7;12.5
404;Groningen (GA);Werkloosheids- en bijstandsuitk. ontv.;9.1;10.9
405;Groningen (GA);Pensioenontvanger;27.2;15.9
406;Leeuwarden (GA);Totaal sociaal-economische categorie;62.3;16.2
