ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
32;Total male and female;Total persons;1.1 Financial assets;2007;112.8;6053.2;53.6;11.7
33;Total male and female;Total persons;1.1 Financial assets;2008;118.4;6280.1;53.0;12.0
34;Total male and female;Total persons;1.1 Financial assets;2009;117.8;6133.6;52.1;12.4
35;Total male and female;Total persons;1.1 Financial assets;2010;124.3;7183.8;57.8;17.4
36;Total male and female;Total persons;1.1 Financial assets;2011;126.8;6999.5;55.2;15.9
37;Total male and female;Total persons;1.1 Financial assets;2012;134.5;7403.6;55.1;14.5
38;Total male and female;Total persons;1.1 Financial assets;2013;134.6;7557.1;56.2;13.2
39;Total male and female;Total persons;1.1 Financial assets;2014;132.8;7248.3;54.6;12.7
40;Total male and female;Total persons;1.1 Financial assets;2015;141.9;7842.8;55.3;13.5
41;Total male and female;Total persons;1.1 Financial assets;2016;143.6;8553.4;59.6;13.4
42;Total male and female;Total persons;1.1 Financial assets;2017;145.4;8369.3;57.6;13.6
43;Total male and female;Total persons;1.1 Financial assets;2018;148.6;8642.5;58.2;14.0
44;Total male and female;Total persons;1.1 Financial assets;2019;146.9;8143.1;55.4;14.3
45;Total male and female;Total persons;1.1 Financial assets;2020;163.8;9131.1;55.7;15.1
46;Total male and female;Total persons;1.1 Financial assets;2021;166.6;9595.6;57.6;16.1
47;Total male and female;Total persons;1.1 Financial assets;2022;165.9;10170.0;61.3;18.1
48;Total male and female;Total persons;1.1.1 Bank and savings credits;2007;112.6;3907.1;34.7;11.3
49;Total male and female;Total persons;1.1.1 Bank and savings credits;2008;118.2;4384.3;37.1;11.7
50;Total male and female;Total persons;1.1.1 Bank and savings credits;2009;117.6;4481.2;38.1;11.9
51;Total male and female;Total persons;1.1.1 Bank and savings credits;2010;123.9;5122.6;41.3;15.9
52;Total male and female;Total persons;1.1.1 Bank and savings credits;2011;126.5;4966.9;39.3;14.7
53;Total male and female;Total persons;1.1.1 Bank and savings credits;2012;134.2;5351.7;39.9;13.5
54;Total male and female;Total persons;1.1.1 Bank and savings credits;2013;134.3;5294.4;39.4;12.3
55;Total male and female;Total persons;1.1.1 Bank and savings credits;2014;132.6;4973.4;37.5;11.7
56;Total male and female;Total persons;1.1.1 Bank and savings credits;2015;141.8;5261.8;37.1;12.5
57;Total male and female;Total persons;1.1.1 Bank and savings credits;2016;143.4;5370.2;37.4;12.4
58;Total male and female;Total persons;1.1.1 Bank and savings credits;2017;145.3;5454.7;37.6;12.7
59;Total male and female;Total persons;1.1.1 Bank and savings credits;2018;148.4;5667.8;38.2;13.1
60;Total male and female;Total persons;1.1.1 Bank and savings credits;2019;146.8;5716.8;39.0;13.4
61;Total male and female;Total persons;1.1.1 Bank and savings credits;2020;163.7;6609.3;40.4;14.2
62;Total male and female;Total persons;1.1.1 Bank and savings credits;2021;166.6;6905.5;41.5;15.2
63;Total male and female;Total persons;1.1.1 Bank and savings credits;2022;165.8;7308.5;44.1;17.0
64;Total male and female;Total persons;1.1.2. Securities;2007;17.7;2146.1;120.9;24.3
65;Total male and female;Total persons;1.1.2. Securities;2008;17.5;1895.8;108.3;21.9
66;Total male and female;Total persons;1.1.2. Securities;2009;17.0;1652.4;97.4;19.9
67;Total male and female;Total persons;1.1.2. Securities;2010;19.0;2061.2;108.7;22.7
68;Total male and female;Total persons;1.1.2. Securities;2011;17.7;2032.6;115.0;23.4
69;Total male and female;Total persons;1.1.2. Securities;2012;17.8;2051.9;115.2;22.1
70;Total male and female;Total persons;1.1.2. Securities;2013;16.7;2262.7;135.2;22.7
71;Total male and female;Total persons;1.1.2. Securities;2014;15.3;2274.9;148.7;23.9
72;Total male and female;Total persons;1.1.2. Securities;2015;15.4;2581.0;167.4;25.2
73;Total male and female;Total persons;1.1.2. Securities;2016;15.2;3183.2;209.1;26.0
74;Total male and female;Total persons;1.1.2. Securities;2017;15.1;2914.7;193.3;28.4
75;Total male and female;Total persons;1.1.2. Securities;2018;14.9;2974.7;199.6;30.8
76;Total male and female;Total persons;1.1.2. Securities;2019;14.2;2426.4;171.4;29.9
77;Total male and female;Total persons;1.1.2. Securities;2020;15.8;2521.8;159.7;29.8
78;Total male and female;Total persons;1.1.2. Securities;2021;16.0;2690.1;168.6;32.7
79;Total male and female;Total persons;1.1.2. Securities;2022;16.1;2861.4;177.8;33.3
80;Total male and female;Total persons;1.2. Real estate;2007;37.5;7584.1;202.5;150.0
81;Total male and female;Total persons;1.2. Real estate;2008;39.5;8079.7;204.3;152.1
82;Total male and female;Total persons;1.2. Real estate;2009;40.6;8113.7;199.8;152.5
83;Total male and female;Total persons;1.2. Real estate;2010;44.3;9758.7;220.2;167.6
84;Total male and female;Total persons;1.2. Real estate;2011;42.7;8787.8;205.7;158.0
85;Total male and female;Total persons;1.2. Real estate;2012;45.0;8754.0;194.6;149.4
86;Total male and female;Total persons;1.2. Real estate;2013;46.2;8538.1;184.7;141.0
87;Total male and female;Total persons;1.2. Real estate;2014;46.8;8433.5;180.3;136.7
88;Total male and female;Total persons;1.2. Real estate;2015;49.9;8922.3;178.7;136.7
89;Total male and female;Total persons;1.2. Real estate;2016;51.1;9446.8;184.7;141.1
90;Total male and female;Total persons;1.2. Real estate;2017;52.3;9929.5;190.0;145.0
91;Total male and female;Total persons;1.2. Real estate;2018;53.5;10681.5;199.7;153.0
92;Total male and female;Total persons;1.2. Real estate;2019;54.3;11522.5;212.1;164.0
93;Total male and female;Total persons;1.2. Real estate;2020;60.0;13852.0;230.9;177.0
94;Total male and female;Total persons;1.2. Real estate;2021;62.3;15197.3;244.0;190.0
95;Total male and female;Total persons;1.2. Real estate;2022;63.2;17154.6;271.6;215.6
96;Total male and female;Total persons;1.2.1 Principal residence;2007;36.0;6654.3;184.9;148.2
97;Total male and female;Total persons;1.2.1 Principal residence;2008;38.1;7114.7;186.9;150.0
98;Total male and female;Total persons;1.2.1 Principal residence;2009;39.0;7176.8;183.9;150.0
99;Total male and female;Total persons;1.2.1 Principal residence;2010;43.0;8872.4;206.1;165.0
100;Total male and female;Total persons;1.2.1 Principal residence;2011;41.6;8042.9;193.6;155.5
101;Total male and female;Total persons;1.2.1 Principal residence;2012;43.8;7958.8;181.7;147.0
102;Total male and female;Total persons;1.2.1 Principal residence;2013;44.9;7710.9;171.7;139.0
103;Total male and female;Total persons;1.2.1 Principal residence;2014;45.4;7610.6;167.5;135.0
104;Total male and female;Total persons;1.2.1 Principal residence;2015;48.5;8101.0;167.2;135.0
105;Total male and female;Total persons;1.2.1 Principal residence;2016;49.9;8565.5;171.8;139.0
106;Total male and female;Total persons;1.2.1 Principal residence;2017;50.9;9033.2;177.4;143.0
107;Total male and female;Total persons;1.2.1 Principal residence;2018;52.1;9807.2;188.1;151.0
108;Total male and female;Total persons;1.2.1 Principal residence;2019;52.9;10510.0;198.5;161.8
109;Total male and female;Total persons;1.2.1 Principal residence;2020;58.3;12523.0;214.8;174.0
110;Total male and female;Total persons;1.2.1 Principal residence;2021;60.5;14000.8;231.3;187.9
111;Total male and female;Total persons;1.2.1 Principal residence;2022;61.6;16119.0;261.7;215.0
112;Total male and female;Total persons;1.2.2 Other real estate;2007;5.9;929.8;157.6;63.5
113;Total male and female;Total persons;1.2.2 Other real estate;2008;6.1;965.0;158.5;62.5
114;Total male and female;Total persons;1.2.2 Other real estate;2009;6.4;937.0;146.9;64.5
115;Total male and female;Total persons;1.2.2 Other real estate;2010;5.8;886.3;152.3;59.0
116;Total male and female;Total persons;1.2.2 Other real estate;2011;5.4;745.0;138.2;55.2
117;Total male and female;Total persons;1.2.2 Other real estate;2012;5.5;795.2;143.6;58.0
118;Total male and female;Total persons;1.2.2 Other real estate;2013;5.7;827.2;143.9;56.5
119;Total male and female;Total persons;1.2.2 Other real estate;2014;5.7;822.8;143.3;53.0
120;Total male and female;Total persons;1.2.2 Other real estate;2015;6.2;821.3;133.1;48.5
121;Total male and female;Total persons;1.2.2 Other real estate;2016;6.4;881.3;138.7;50.0
122;Total male and female;Total persons;1.2.2 Other real estate;2017;6.3;896.3;142.7;47.5
123;Total male and female;Total persons;1.2.2 Other real estate;2018;6.3;874.3;139.7;48.5
124;Total male and female;Total persons;1.2.2 Other real estate;2019;6.5;1012.5;155.3;51.1
125;Total male and female;Total persons;1.2.2 Other real estate;2020;7.6;1329.0;174.8;64.7
126;Total male and female;Total persons;1.2.2 Other real estate;2021;7.2;1196.5;166.3;58.0
127;Total male and female;Total persons;1.2.2 Other real estate;2022;6.5;1035.6;159.9;46.0
128;Total male and female;Total persons;1.3 Enterprise capital;2007;3.8;1044.2;273.0;35.0
129;Total male and female;Total persons;1.3 Enterprise capital;2008;3.9;1296.1;334.2;40.9
130;Total male and female;Total persons;1.3 Enterprise capital;2009;4.0;1291.2;324.5;37.8
131;Total male and female;Total persons;1.3 Enterprise capital;2010;4.5;1449.5;321.8;31.3
132;Total male and female;Total persons;1.3 Enterprise capital;2011;3.5;1644.6;470.6;32.7
133;Total male and female;Total persons;1.3 Enterprise capital;2012;3.4;1357.2;404.6;23.9
134;Total male and female;Total persons;1.3 Enterprise capital;2013;3.4;1103.6;323.6;25.0
135;Total male and female;Total persons;1.3 Enterprise capital;2014;3.5;1197.0;344.5;23.8
136;Total male and female;Total persons;1.3 Enterprise capital;2015;3.6;1252.3;346.9;23.2
137;Total male and female;Total persons;1.3 Enterprise capital;2016;4.0;1967.1;490.9;24.8
138;Total male and female;Total persons;1.3 Enterprise capital;2017;4.2;1721.5;408.7;21.9
139;Total male and female;Total persons;1.3 Enterprise capital;2018;4.4;1957.6;446.6;24.8
140;Total male and female;Total persons;1.3 Enterprise capital;2019;4.4;2532.2;571.5;56.6
141;Total male and female;Total persons;1.3 Enterprise capital;2020;5.0;4105.9;823.6;64.8
142;Total male and female;Total persons;1.3 Enterprise capital;2021;5.2;3245.1;625.5;98.1
143;Total male and female;Total persons;1.3 Enterprise capital;2022;5.3;4407.2;836.0;78.8
144;Total male and female;Total persons;1.5 Other assets;2007;45.3;1435.5;31.7;3.9
145;Total male and female;Total persons;1.5 Other assets;2008;47.1;1448.2;30.8;3.9
146;Total male and female;Total persons;1.5 Other assets;2009;47.7;1488.8;31.2;3.9
147;Total male and female;Total persons;1.5 Other assets;2010;37.9;1224.6;32.3;3.9
148;Total male and female;Total persons;1.5 Other assets;2011;34.8;1106.3;31.7;3.8
149;Total male and female;Total persons;1.5 Other assets;2012;34.8;1075.3;30.9;3.8
150;Total male and female;Total persons;1.5 Other assets;2013;34.3;951.3;27.7;3.7
151;Total male and female;Total persons;1.5 Other assets;2014;32.9;1007.1;30.6;3.8
152;Total male and female;Total persons;1.5 Other assets;2015;34.2;1020.8;29.8;3.9
153;Total male and female;Total persons;1.5 Other assets;2016;32.4;1039.6;32.1;4.4
154;Total male and female;Total persons;1.5 Other assets;2017;34.2;1226.1;35.8;4.0
155;Total male and female;Total persons;1.5 Other assets;2018;36.1;1157.9;32.1;4.0
156;Total male and female;Total persons;1.5 Other assets;2019;38.1;1281.6;33.6;4.0
157;Total male and female;Total persons;1.5 Other assets;2020;46.7;1568.9;33.6;4.0
158;Total male and female;Total persons;1.5 Other assets;2021;50.8;1898.1;37.4;4.4
159;Total male and female;Total persons;1.5 Other assets;2022;54.4;1715.1;31.5;4.5
160;Total male and female;Total persons;2 Liabilities;2007;47.3;2813.5;59.5;21.8
161;Total male and female;Total persons;2 Liabilities;2008;40.3;2512.4;62.3;27.5
162;Total male and female;Total persons;2 Liabilities;2009;41.0;2755.4;67.2;30.0
163;Total male and female;Total persons;2 Liabilities;2010;43.8;3186.7;72.8;27.5
164;Total male and female;Total persons;2 Liabilities;2011;52.6;2699.3;51.3;10.0
165;Total male and female;Total persons;2 Liabilities;2012;56.2;2883.8;51.3;11.0
166;Total male and female;Total persons;2 Liabilities;2013;58.8;2927.3;49.8;9.9
167;Total male and female;Total persons;2 Liabilities;2014;56.8;3170.4;55.8;13.5
168;Total male and female;Total persons;2 Liabilities;2015;59.0;3250.1;55.1;14.0
169;Total male and female;Total persons;2 Liabilities;2016;60.8;3590.2;59.1;14.9
170;Total male and female;Total persons;2 Liabilities;2017;60.0;3696.1;61.6;18.4
171;Total male and female;Total persons;2 Liabilities;2018;62.2;3759.8;60.4;18.2
172;Total male and female;Total persons;2 Liabilities;2019;58.8;3914.7;66.6;24.9
173;Total male and female;Total persons;2 Liabilities;2020;64.8;4855.6;74.9;26.1
174;Total male and female;Total persons;2 Liabilities;2021;67.6;4918.0;72.8;26.9
175;Total male and female;Total persons;2 Liabilities;2022;69.0;5447.4;79.0;28.1
176;Total male and female;Total persons;2.1 Principal residence loans;2007;21.8;1415.3;65.0;44.2
177;Total male and female;Total persons;2.1 Principal residence loans;2008;23.0;1570.0;68.2;45.5
178;Total male and female;Total persons;2.1 Principal residence loans;2009;23.7;1670.0;70.6;49.2
179;Total male and female;Total persons;2.1 Principal residence loans;2010;25.4;2025.9;79.9;52.3
180;Total male and female;Total persons;2.1 Principal residence loans;2011;23.5;1745.4;74.3;50.0
181;Total male and female;Total persons;2.1 Principal residence loans;2012;25.5;1950.1;76.4;51.1
182;Total male and female;Total persons;2.1 Principal residence loans;2013;25.9;1972.0;76.3;52.0
183;Total male and female;Total persons;2.1 Principal residence loans;2014;26.4;2075.3;78.6;53.1
184;Total male and female;Total persons;2.1 Principal residence loans;2015;27.8;2157.7;77.5;54.4
185;Total male and female;Total persons;2.1 Principal residence loans;2016;28.8;2252.6;78.3;54.8
186;Total male and female;Total persons;2.1 Principal residence loans;2017;29.6;2318.3;78.4;55.8
187;Total male and female;Total persons;2.1 Principal residence loans;2018;30.5;2373.9;77.9;56.7
188;Total male and female;Total persons;2.1 Principal residence loans;2019;30.9;2453.6;79.4;57.8
189;Total male and female;Total persons;2.1 Principal residence loans;2020;34.2;2745.4;80.2;58.2
190;Total male and female;Total persons;2.1 Principal residence loans;2021;36.1;2899.8;80.2;60.0
191;Total male and female;Total persons;2.1 Principal residence loans;2022;36.8;3135.2;85.3;62.3
192;Total male and female;Total persons;2.3 Other loans;2007;35.7;1398.2;39.2;2.5
193;Total male and female;Total persons;2.3 Other loans;2008;25.4;942.3;37.1;1.6
194;Total male and female;Total persons;2.3 Other loans;2009;25.8;1085.4;42.0;1.7
195;Total male and female;Total persons;2.3 Other loans;2010;27.0;1160.8;43.1;2.5
196;Total male and female;Total persons;2.3 Other loans;2011;38.8;953.9;24.6;1.2
197;Total male and female;Total persons;2.3 Other loans;2012;41.6;933.7;22.5;1.4
198;Total male and female;Total persons;2.3 Other loans;2013;44.4;955.4;21.5;1.3
199;Total male and female;Total persons;2.3 Other loans;2014;41.3;1095.1;26.5;1.6
200;Total male and female;Total persons;2.3 Other loans;2015;42.3;1092.4;25.8;1.7
201;Total male and female;Total persons;2.3 Other loans;2016;43.5;1337.5;30.8;1.4
202;Total male and female;Total persons;2.3 Other loans;2017;41.5;1377.8;33.2;1.6
203;Total male and female;Total persons;2.3 Other loans;2018;43.3;1385.9;32.0;1.4
204;Total male and female;Total persons;2.3 Other loans;2019;38.6;1461.0;37.9;1.8
205;Total male and female;Total persons;2.3 Other loans;2020;42.4;2110.2;49.8;1.9
206;Total male and female;Total persons;2.3 Other loans;2021;43.5;2018.2;46.4;1.8
207;Total male and female;Total persons;2.3 Other loans;2022;44.6;2312.3;51.9;1.7
208;Total male and female;Marital status: never married;Wealth;2007;13.6;1656.0;122.1;21.0
209;Total male and female;Marital status: never married;Wealth;2008;14.2;1650.1;116.1;22.3
210;Total male and female;Marital status: never married;Wealth;2009;14.2;1674.3;118.2;24.2
211;Total male and female;Marital status: never married;Wealth;2010;14.3;1863.8;130.5;26.9
212;Total male and female;Marital status: never married;Wealth;2011;13.9;1586.8;113.8;19.0
213;Total male and female;Marital status: never married;Wealth;2012;14.7;1720.3;117.0;19.8
214;Total male and female;Marital status: never married;Wealth;2013;14.7;1748.1;119.1;19.2
215;Total male and female;Marital status: never married;Wealth;2014;14.6;1673.5;114.7;18.2
216;Total male and female;Marital status: never married;Wealth;2015;15.5;1717.6;111.2;19.4
217;Total male and female;Marital status: never married;Wealth;2016;15.8;1802.4;113.9;19.1
218;Total male and female;Marital status: never married;Wealth;2017;16.1;1918.9;119.3;18.6
219;Total male and female;Marital status: never married;Wealth;2018;16.5;1873.3;113.8;19.2
220;Total male and female;Marital status: never married;Wealth;2019;16.2;1977.6;121.8;18.8
221;Total male and female;Marital status: never married;Wealth;2020;18.1;2647.2;146.3;20.6
222;Total male and female;Marital status: never married;Wealth;2021;18.8;2609.9;138.8;21.6
223;Total male and female;Marital status: never married;Wealth;2022;19.3;2861.1;147.9;23.3
224;Total male and female;Marital status: never married;1 Assets;2007;13.6;1858.1;136.9;25.7
225;Total male and female;Marital status: never married;1 Assets;2008;14.2;1864.7;131.3;26.9
226;Total male and female;Marital status: never married;1 Assets;2009;14.2;1908.7;134.7;29.5
227;Total male and female;Marital status: never married;1 Assets;2010;14.3;2181.8;152.8;33.0
228;Total male and female;Marital status: never married;1 Assets;2011;13.9;1780.0;127.7;22.6
229;Total male and female;Marital status: never married;1 Assets;2012;14.7;1961.7;133.4;24.2
230;Total male and female;Marital status: never married;1 Assets;2013;14.7;1979.3;134.9;24.6
231;Total male and female;Marital status: never married;1 Assets;2014;14.6;1913.9;131.2;23.7
232;Total male and female;Marital status: never married;1 Assets;2015;15.5;1962.6;127.0;24.0
233;Total male and female;Marital status: never married;1 Assets;2016;15.8;2091.4;132.2;24.4
234;Total male and female;Marital status: never married;1 Assets;2017;16.1;2215.2;137.7;23.1
235;Total male and female;Marital status: never married;1 Assets;2018;16.5;2151.2;130.7;23.5
236;Total male and female;Marital status: never married;1 Assets;2019;16.2;2263.1;139.3;21.8
237;Total male and female;Marital status: never married;1 Assets;2020;18.1;3055.9;168.9;23.2
238;Total male and female;Marital status: never married;1 Assets;2021;18.8;2995.4;159.3;24.0
239;Total male and female;Marital status: never married;1 Assets;2022;19.3;3320.8;171.6;25.1
240;Total male and female;Marital status: never married;1.1 Financial assets;2007;10.9;897.1;82.6;19.5
241;Total male and female;Marital status: never married;1.1 Financial assets;2008;11.6;873.3;75.6;19.2
242;Total male and female;Marital status: never married;1.1 Financial assets;2009;11.5;926.6;80.5;20.3
243;Total male and female;Marital status: never married;1.1 Financial assets;2010;12.5;994.8;79.7;22.9
244;Total male and female;Marital status: never married;1.1 Financial assets;2011;12.2;943.3;77.1;17.6
245;Total male and female;Marital status: never married;1.1 Financial assets;2012;13.1;1019.5;77.8;17.6
246;Total male and female;Marital status: never married;1.1 Financial assets;2013;13.2;1075.9;81.6;17.5
247;Total male and female;Marital status: never married;1.1 Financial assets;2014;13.1;994.7;75.9;16.0
248;Total male and female;Marital status: never married;1.1 Financial assets;2015;14.1;1090.6;77.2;16.2
249;Total male and female;Marital status: never married;1.1 Financial assets;2016;14.5;1100.2;76.1;15.8
250;Total male and female;Marital status: never married;1.1 Financial assets;2017;14.8;1153.7;77.9;15.3
251;Total male and female;Marital status: never married;1.1 Financial assets;2018;15.3;1142.8;74.8;15.3
252;Total male and female;Marital status: never married;1.1 Financial assets;2019;15.1;1101.8;72.9;14.2
253;Total male and female;Marital status: never married;1.1 Financial assets;2020;16.9;1315.6;77.7;15.2
254;Total male and female;Marital status: never married;1.1 Financial assets;2021;17.8;1279.0;71.9;15.7
255;Total male and female;Marital status: never married;1.1 Financial assets;2022;18.3;1421.9;77.8;16.4
256;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2007;10.8;583.4;53.9;17.3
257;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2008;11.5;641.3;55.7;17.3
258;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2009;11.5;674.3;58.8;18.5
259;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2010;12.4;764.1;61.5;20.9
260;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2011;12.2;701.0;57.5;16.1
261;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2012;13.1;755.8;57.9;16.2
262;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2013;13.1;794.4;60.4;15.9
263;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2014;13.1;735.1;56.2;14.8
264;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2015;14.1;783.8;55.6;15.0
265;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2016;14.4;810.8;56.1;14.5
266;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2017;14.8;827.9;56.0;14.1
267;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2018;15.2;843.9;55.4;14.1
268;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2019;15.1;808.5;53.6;13.5
269;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2020;16.9;933.2;55.2;14.3
270;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2021;17.8;932.8;52.5;14.6
271;Total male and female;Marital status: never married;1.1.1 Bank and savings credits;2022;18.3;1006.5;55.1;15.4
272;Total male and female;Marital status: never married;1.1.2. Securities;2007;1.9;313.8;167.5;33.4
273;Total male and female;Marital status: never married;1.1.2. Securities;2008;1.8;232.0;126.9;29.7
274;Total male and female;Marital status: never married;1.1.2. Securities;2009;1.8;252.3;142.8;30.0
275;Total male and female;Marital status: never married;1.1.2. Securities;2010;1.9;230.8;118.8;31.1
276;Total male and female;Marital status: never married;1.1.2. Securities;2011;1.7;242.3;146.2;33.2
277;Total male and female;Marital status: never married;1.1.2. Securities;2012;1.7;263.7;155.0;34.4
278;Total male and female;Marital status: never married;1.1.2. Securities;2013;1.6;281.5;177.7;38.0
279;Total male and female;Marital status: never married;1.1.2. Securities;2014;1.4;259.6;184.2;38.4
280;Total male and female;Marital status: never married;1.1.2. Securities;2015;1.5;306.9;209.8;41.7
281;Total male and female;Marital status: never married;1.1.2. Securities;2016;1.4;289.4;202.0;40.0
282;Total male and female;Marital status: never married;1.1.2. Securities;2017;1.5;325.8;221.5;44.4
283;Total male and female;Marital status: never married;1.1.2. Securities;2018;1.4;299.0;208.3;47.8
284;Total male and female;Marital status: never married;1.1.2. Securities;2019;1.4;293.4;213.0;48.4
285;Total male and female;Marital status: never married;1.1.2. Securities;2020;1.6;382.4;245.0;50.9
286;Total male and female;Marital status: never married;1.1.2. Securities;2021;1.6;346.2;210.8;49.7
287;Total male and female;Marital status: never married;1.1.2. Securities;2022;1.8;415.4;233.5;47.1
288;Total male and female;Marital status: never married;1.2. Real estate;2007;3.3;710.4;215.5;168.0
289;Total male and female;Marital status: never married;1.2. Real estate;2008;3.4;726.9;216.8;163.3
290;Total male and female;Marital status: never married;1.2. Real estate;2009;3.5;731.9;208.4;164.5
291;Total male and female;Marital status: never married;1.2. Real estate;2010;3.7;936.7;251.1;200.0
292;Total male and female;Marital status: never married;1.2. Real estate;2011;3.0;683.7;224.3;179.9
293;Total male and female;Marital status: never married;1.2. Real estate;2012;3.3;717.4;217.5;171.1
294;Total male and female;Marital status: never married;1.2. Real estate;2013;3.3;670.6;201.4;161.0
295;Total male and female;Marital status: never married;1.2. Real estate;2014;3.3;637.1;193.1;155.0
296;Total male and female;Marital status: never married;1.2. Real estate;2015;3.5;699.2;201.2;154.3
297;Total male and female;Marital status: never married;1.2. Real estate;2016;3.6;777.8;213.4;162.7
298;Total male and female;Marital status: never married;1.2. Real estate;2017;3.8;826.2;217.4;171.0
299;Total male and female;Marital status: never married;1.2. Real estate;2018;3.8;839.9;220.5;175.7
300;Total male and female;Marital status: never married;1.2. Real estate;2019;3.8;899.0;238.0;192.7
301;Total male and female;Marital status: never married;1.2. Real estate;2020;4.1;1072.4;260.9;211.0
302;Total male and female;Marital status: never married;1.2. Real estate;2021;4.4;1336.2;302.8;229.6
303;Total male and female;Marital status: never married;1.2. Real estate;2022;4.6;1429.9;309.2;255.0
304;Total male and female;Marital status: never married;1.2.1 Principal residence;2007;3.1;625.0;199.6;165.3
305;Total male and female;Marital status: never married;1.2.1 Principal residence;2008;3.2;630.2;198.0;160.8
306;Total male and female;Marital status: never married;1.2.1 Principal residence;2009;3.3;639.9;192.3;162.6
307;Total male and female;Marital status: never married;1.2.1 Principal residence;2010;3.6;832.2;233.5;197.5
308;Total male and female;Marital status: never married;1.2.1 Principal residence;2011;2.9;620.4;212.5;177.5
309;Total male and female;Marital status: never married;1.2.1 Principal residence;2012;3.2;640.0;201.6;170.0
310;Total male and female;Marital status: never married;1.2.1 Principal residence;2013;3.2;602.8;188.9;159.0
311;Total male and female;Marital status: never married;1.2.1 Principal residence;2014;3.2;563.3;178.5;154.1
312;Total male and female;Marital status: never married;1.2.1 Principal residence;2015;3.3;610.6;183.5;153.5
313;Total male and female;Marital status: never married;1.2.1 Principal residence;2016;3.5;652.5;186.4;159.6
314;Total male and female;Marital status: never married;1.2.1 Principal residence;2017;3.7;730.4;198.8;168.3
315;Total male and female;Marital status: never married;1.2.1 Principal residence;2018;3.7;766.1;208.1;174.0
316;Total male and female;Marital status: never married;1.2.1 Principal residence;2019;3.6;814.0;224.2;191.0
