ID;Geslacht;Persoonskenmerken;Perioden;Verkeersdeelname_1;GebruikVanHetOpenbaarVervoer_2
157;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2015;78.9;4.8
158;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2016;79.1;4.9
159;Totaal mannen en vrouwen;Leeftijd: 50 tot 65 jaar;2017;78.4;4.8
160;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2010;73.0;3.3
161;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2011;72.1;4.1
162;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2012;72.6;3.6
163;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2013;71.9;3.5
164;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2014;73.2;3.3
165;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2015;71.8;3.1
166;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2016;72.0;3.3
167;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2017;72.0;3.2
168;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2010;53.5;2.7
169;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2011;54.0;2.6
170;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2012;55.2;2.8
171;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2013;55.9;3.2
172;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2014;58.6;2.6
173;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2015;58.2;3.0
174;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2016;56.2;2.6
175;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2017;56.2;2.5
176;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2010;77.2;10.4
177;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2011;78.0;10.7
178;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2012;77.9;10.4
179;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2013;77.6;10.7
180;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2014;77.9;10.2
181;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2015;76.9;10.7
182;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2016;76.5;10.5
183;Totaal mannen en vrouwen;Bezit rijbewijs: geen auto beschikbaar;2017;75.5;10.7
184;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2010;79.7;8.4
185;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2011;80.2;9.2
186;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2012;78.9;8.8
187;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2013;79.2;8.9
188;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2014;79.7;9.0
189;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2015;79.4;9.0
190;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2016;78.5;8.6
191;Totaal mannen en vrouwen;Bezit rijbewijs: soms auto beschikbaar;2017;78.1;9.4
192;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2010;82.2;3.1
193;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2011;81.6;3.2
194;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2012;81.2;2.8
195;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2013;81.9;3.2
196;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2014;82.4;2.9
197;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2015;81.2;2.9
198;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2016;81.3;3.1
199;Totaal mannen en vrouwen;Bezit rijbewijs: bezit auto;2017;81.0;3.1
200;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2010;69.7;4.3
201;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2011;69.7;4.8
202;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2012;67.6;5.0
203;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2013;70.2;4.1
204;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2014;67.8;5.4
205;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2015;69.7;4.0
206;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2016;67.5;4.7
207;Totaal mannen en vrouwen;Categorie: arbeidsongeschikte;2017;68.0;4.5
208;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2010;81.1;2.2
209;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2011;82.7;2.0
210;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2012;82.3;2.1
211;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2013;82.3;1.6
212;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2014;83.6;2.3
213;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2015;82.3;1.9
214;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2016;83.1;2.0
215;Totaal mannen en vrouwen;Categorie: baby's/kleuters;2017;82.5;2.3
216;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2010;85.6;6.4
217;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2011;86.0;6.8
218;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2012;84.7;6.4
219;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2013;85.7;6.4
220;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2014;86.0;5.9
221;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2015;85.6;6.6
222;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2016;85.3;6.5
223;Totaal mannen en vrouwen;Categorie: werkzaam 12 tot 30 uur pw;2017;84.0;6.4
224;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2010;85.0;7.3
225;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2011;84.5;7.7
226;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2012;84.7;7.1
227;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2013;84.7;7.5
228;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2014;84.7;7.0
229;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2015;84.2;7.2
230;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2016;84.2;7.1
231;Totaal mannen en vrouwen;Categorie: werkzaam >= 30 uur pw;2017;83.2;7.8
232;Totaal mannen en vrouwen;Categorie: scholier/student;2010;83.8;12.5
233;Totaal mannen en vrouwen;Categorie: scholier/student;2011;84.5;12.6
234;Totaal mannen en vrouwen;Categorie: scholier/student;2012;83.5;12.3
235;Totaal mannen en vrouwen;Categorie: scholier/student;2013;83.6;13.3
236;Totaal mannen en vrouwen;Categorie: scholier/student;2014;84.6;12.8
237;Totaal mannen en vrouwen;Categorie: scholier/student;2015;82.8;13.3
238;Totaal mannen en vrouwen;Categorie: scholier/student;2016;83.2;12.4
239;Totaal mannen en vrouwen;Categorie: scholier/student;2017;82.1;12.6
240;Totaal mannen en vrouwen;Categorie: werkloos;2010;73.2;6.0
241;Totaal mannen en vrouwen;Categorie: werkloos;2011;74.6;9.3
242;Totaal mannen en vrouwen;Categorie: werkloos;2012;72.1;8.0
243;Totaal mannen en vrouwen;Categorie: werkloos;2013;74.8;6.2
244;Totaal mannen en vrouwen;Categorie: werkloos;2014;74.3;7.4
245;Totaal mannen en vrouwen;Categorie: werkloos;2015;73.6;8.0
246;Totaal mannen en vrouwen;Categorie: werkloos;2016;71.6;7.9
247;Totaal mannen en vrouwen;Categorie: werkloos;2017;71.1;8.0
248;Totaal mannen en vrouwen;Categorie: overig;2010;75.3;4.1
249;Totaal mannen en vrouwen;Categorie: overig;2011;74.8;4.4
250;Totaal mannen en vrouwen;Categorie: overig;2012;75.7;3.5
251;Totaal mannen en vrouwen;Categorie: overig;2013;76.1;4.4
252;Totaal mannen en vrouwen;Categorie: overig;2014;76.4;3.3
253;Totaal mannen en vrouwen;Categorie: overig;2015;75.3;4.0
254;Totaal mannen en vrouwen;Categorie: overig;2016;73.0;4.7
255;Totaal mannen en vrouwen;Categorie: overig;2017;74.1;4.4
256;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2010;65.7;3.0
257;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2011;65.7;3.3
258;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2012;66.1;3.2
259;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2013;66.1;3.3
260;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2014;67.7;3.1
261;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2015;66.2;3.0
262;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2016;65.8;3.0
263;Totaal mannen en vrouwen;Categorie: gepensioneerd/VUT;2017;65.8;2.9
264;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2010;85.6;35.3
265;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2011;84.1;38.5
266;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2012;83.5;37.2
267;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2013;82.5;41.3
268;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2014;83.7;37.0
269;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2015;82.0;37.9
270;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2016;81.6;35.1
271;Totaal mannen en vrouwen;Studenten met OV-weekkaart;2017;81.9;36.3
272;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2010;88.0;25.9
273;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2011;85.5;22.0
274;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2012;90.7;25.8
275;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2013;88.8;22.3
276;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2014;93.6;25.7
277;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2015;84.4;27.8
278;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2016;84.5;24.1
279;Totaal mannen en vrouwen;Studenten met OV-weekendkaart;2017;86.6;26.3
280;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2010;79.5;5.4
281;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2011;79.7;5.6
282;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2012;79.3;5.3
283;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2013;79.6;5.5
284;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2014;80.0;5.3
285;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2015;79.1;5.4
286;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2016;78.8;5.5
287;Totaal mannen en vrouwen;Personen zonder studenten-OV-kaart;2017;78.1;5.4
288;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2010;75.2;8.5
289;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2011;76.0;9.2
290;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2012;75.7;9.0
291;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2013;76.5;9.8
292;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2014;76.5;8.9
293;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2015;75.5;9.7
294;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2016;74.6;8.9
295;Totaal mannen en vrouwen;Besteedbaar inkomen: 1e 20%-groep;2017;74.2;10.6
296;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2010;78.6;6.3
297;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2011;78.4;5.8
298;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2012;78.2;5.9
299;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2013;78.6;5.6
300;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2014;78.0;5.1
301;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2015;76.4;5.4
302;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2016;77.0;5.3
303;Totaal mannen en vrouwen;Besteedbaar inkomen: 2e 20%-groep;2017;73.5;6.2
304;Totaal mannen en vrouwen;Besteedbaar inkomen: 3e 20%-groep;2010;81.6;5.9
305;Totaal mannen en vrouwen;Besteedbaar inkomen: 3e 20%-groep;2011;81.5;6.7
306;Totaal mannen en vrouwen;Besteedbaar inkomen: 3e 20%-groep;2012;80.3;5.8
307;Totaal mannen en vrouwen;Besteedbaar inkomen: 3e 20%-groep;2013;80.6;6.2
