ID;BedrijfstakkenBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
40;78 Uitzendbureaus en arbeidsbemiddeling;2013 1e kwartaal;75.4;-3.9;81.9;0.5
41;78 Uitzendbureaus en arbeidsbemiddeling;2013 2e kwartaal;84.5;1.2;84.6;3.3
42;78 Uitzendbureaus en arbeidsbemiddeling;2013 3e kwartaal;88.4;6.0;86.7;2.5
43;78 Uitzendbureaus en arbeidsbemiddeling;2013 4e kwartaal;94.2;10.4;88.3;1.9
44;78 Uitzendbureaus en arbeidsbemiddeling;2013;85.6;3.6;85.4;3.3
45;78 Uitzendbureaus en arbeidsbemiddeling;2014 1e kwartaal;79.1;4.9;86.4;-2.2
46;78 Uitzendbureaus en arbeidsbemiddeling;2014 2e kwartaal;89.2;5.5;89.4;3.5
47;78 Uitzendbureaus en arbeidsbemiddeling;2014 3e kwartaal;93.4;5.6;91.5;2.3
48;78 Uitzendbureaus en arbeidsbemiddeling;2014 4e kwartaal;99.6;5.8;93.1;1.7
49;78 Uitzendbureaus en arbeidsbemiddeling;2014;90.3;5.5;90.1;5.5
50;78 Uitzendbureaus en arbeidsbemiddeling;2015 1e kwartaal;85.4;8.0;93.6;0.6
51;78 Uitzendbureaus en arbeidsbemiddeling;2015 2e kwartaal;97.4;9.3;97.7;4.4
52;78 Uitzendbureaus en arbeidsbemiddeling;2015 3e kwartaal;103.5;10.8;101.6;4.0
53;78 Uitzendbureaus en arbeidsbemiddeling;2015 4e kwartaal;113.7;14.2;106.1;4.4
54;78 Uitzendbureaus en arbeidsbemiddeling;2015;100.0;10.7;99.7;10.7
55;78 Uitzendbureaus en arbeidsbemiddeling;2016 1e kwartaal;93.9;10.0;103.0;-2.9
56;78 Uitzendbureaus en arbeidsbemiddeling;2016 2e kwartaal;105.7;8.5;105.7;2.6
57;78 Uitzendbureaus en arbeidsbemiddeling;2016 3e kwartaal;109.7;6.0;108.1;2.3
58;78 Uitzendbureaus en arbeidsbemiddeling;2016 4e kwartaal;118.9;4.6;110.9;2.6
59;78 Uitzendbureaus en arbeidsbemiddeling;2016;107.0;7.0;106.9;7.2
60;78 Uitzendbureaus en arbeidsbemiddeling;2017 1e kwartaal;102.6;9.3;112.5;1.5
61;78 Uitzendbureaus en arbeidsbemiddeling;2017 2e kwartaal;115.3;9.1;114.8;2.0
62;78 Uitzendbureaus en arbeidsbemiddeling;2017 3e kwartaal;117.6;7.2;116.5;1.4
63;78 Uitzendbureaus en arbeidsbemiddeling;2017 4e kwartaal;129.0;8.4;120.4;3.4
64;78 Uitzendbureaus en arbeidsbemiddeling;2017;116.1;8.5;116.0;8.5
65;78 Uitzendbureaus en arbeidsbemiddeling;2018 1e kwartaal;115.0;12.0;125.6;4.3
66;78 Uitzendbureaus en arbeidsbemiddeling;2018 2e kwartaal;129.4;12.2;128.6;2.3
67;78 Uitzendbureaus en arbeidsbemiddeling;2018 3e kwartaal;130.9;11.3;130.4;1.4
68;78 Uitzendbureaus en arbeidsbemiddeling;2018 4e kwartaal;142.8;10.7;133.1;2.0
69;78 Uitzendbureaus en arbeidsbemiddeling;2018;129.5;11.5;129.4;11.5
70;78 Uitzendbureaus en arbeidsbemiddeling;2019 1e kwartaal;123.3;7.3;134.8;1.3
71;78 Uitzendbureaus en arbeidsbemiddeling;2019 2e kwartaal;136.5;5.5;135.4;0.4
72;78 Uitzendbureaus en arbeidsbemiddeling;2019 3e kwartaal;135.4;3.4;135.5;0.1
73;78 Uitzendbureaus en arbeidsbemiddeling;2019 4e kwartaal;146.1;2.3;135.5;0.0
74;78 Uitzendbureaus en arbeidsbemiddeling;2019;135.3;4.5;135.3;4.6
75;78 Uitzendbureaus en arbeidsbemiddeling;2020 1e kwartaal;122.1;-1.0;132.6;-2.1
76;78 Uitzendbureaus en arbeidsbemiddeling;2020 2e kwartaal;113.8;-16.7;112.3;-15.3
77;78 Uitzendbureaus en arbeidsbemiddeling;2020 3e kwartaal;121.6;-10.1;121.7;8.4
78;78 Uitzendbureaus en arbeidsbemiddeling;2020 4e kwartaal;136.3;-6.8;127.9;5.1
79;78 Uitzendbureaus en arbeidsbemiddeling;2020;123.4;-8.8;123.7;-8.6
80;78 Uitzendbureaus en arbeidsbemiddeling;2021 1e kwartaal;119.0;-2.5;129.7;1.4
81;78 Uitzendbureaus en arbeidsbemiddeling;2021 2e kwartaal;136.2;19.7;134.4;3.7
82;78 Uitzendbureaus en arbeidsbemiddeling;2021 3e kwartaal;138.7;14.0;139.4;3.7
83;78 Uitzendbureaus en arbeidsbemiddeling;2021 4e kwartaal;155.8;14.3;145.7;4.6
84;78 Uitzendbureaus en arbeidsbemiddeling;2021;137.4;11.3;137.3;11.0
85;78 Uitzendbureaus en arbeidsbemiddeling;2022 1e kwartaal;141.5;18.9;153.8;5.5
86;78 Uitzendbureaus en arbeidsbemiddeling;2022 2e kwartaal;156.9;15.2;154.9;0.7
87;78 Uitzendbureaus en arbeidsbemiddeling;2022 3e kwartaal;157.8;13.8;158.7;2.5
88;78 Uitzendbureaus en arbeidsbemiddeling;2022 4e kwartaal;173.8;11.6;162.7;2.5
89;78 Uitzendbureaus en arbeidsbemiddeling;2022;157.5;14.6;157.5;14.7
90;78 Uitzendbureaus en arbeidsbemiddeling;2023 1e kwartaal;155.7;10.0;167.5;2.9
91;78 Uitzendbureaus en arbeidsbemiddeling;2023 2e kwartaal;167.8;7.0;165.9;-0.9
92;78 Uitzendbureaus en arbeidsbemiddeling;2023 3e kwartaal;164.8;4.4;166.5;0.4
93;78 Uitzendbureaus en arbeidsbemiddeling;2023 4e kwartaal;179.9;3.5;168.3;1.1
94;78 Uitzendbureaus en arbeidsbemiddeling;2023;167.0;6.1;167.1;6.1
