ID;Countries;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
94;Denmark;2022;4.6;4.5
95;Denmark;2023;2.5;2.4
96;Germany;2008;26.8;21.3
97;Germany;2009;32.9;27.6
98;Germany;2010;48.5;41.2
99;Germany;2011;53.2;45.7
100;Germany;2012;77.5;64.4
101;Germany;2013;126.7;109.4
102;Germany;2014;202.6;172.9
103;Germany;2015;476.5;441.8
104;Germany;2016;745.2;722.3
105;Germany;2017;222.6;198.3
106;Germany;2018;184.2;161.9
107;Germany;2019;165.6;142.4
108;Germany;2020;122.0;102.5
109;Germany;2021;190.5;148.2
110;Germany;2022;243.8;217.7
111;Germany;2023;351.5;329.0
112;Estonia;2008;0.0;0.0
113;Estonia;2009;0.0;0.0
114;Estonia;2010;0.0;0.0
115;Estonia;2011;0.1;0.1
116;Estonia;2012;0.1;0.1
117;Estonia;2013;0.1;0.1
118;Estonia;2014;0.2;0.1
119;Estonia;2015;0.2;0.2
120;Estonia;2016;0.2;0.1
121;Estonia;2017;0.2;0.2
122;Estonia;2018;0.1;0.1
123;Estonia;2019;0.1;0.1
124;Estonia;2020;0.0;0.0
125;Estonia;2021;0.1;0.1
126;Estonia;2022;2.9;2.9
127;Estonia;2023;4.0;4.0
128;Finland;2008;3.7;
129;Finland;2009;4.9;
130;Finland;2010;3.1;
131;Finland;2011;2.9;
132;Finland;2012;3.1;2.9
133;Finland;2013;3.2;3.0
134;Finland;2014;3.6;3.5
135;Finland;2015;32.3;32.1
136;Finland;2016;5.6;5.3
137;Finland;2017;5.0;4.3
138;Finland;2018;4.5;3.0
139;Finland;2019;4.5;2.4
140;Finland;2020;3.2;1.4
141;Finland;2021;2.5;1.4
142;Finland;2022;5.8;4.8
143;Finland;2023;5.3;4.4
144;France;2008;41.8;
145;France;2009;47.6;42.1
146;France;2010;52.7;48.0
147;France;2011;57.3;52.1
148;France;2012;61.4;54.3
149;France;2013;66.3;60.5
150;France;2014;64.3;58.8
151;France;2015;76.2;70.6
152;France;2016;84.3;76.8
153;France;2017;99.3;92.0
154;France;2018;137.7;126.6
155;France;2019;151.1;138.3
156;France;2020;93.2;81.7
157;France;2021;120.7;103.8
158;France;2022;156.5;137.5
159;France;2023;166.9;145.1
160;Greece;2008;19.9;
161;Greece;2009;15.9;
162;Greece;2010;10.3;
163;Greece;2011;9.3;9.3
164;Greece;2012;9.6;9.6
165;Greece;2013;8.2;7.9
166;Greece;2014;9.4;7.6
167;Greece;2015;13.2;11.4
168;Greece;2016;51.1;49.9
169;Greece;2017;58.6;56.9
170;Greece;2018;67.0;65.0
171;Greece;2019;77.3;74.9
172;Greece;2020;40.6;37.9
173;Greece;2021;28.4;22.7
174;Greece;2022;37.4;29.1
175;Greece;2023;64.2;57.9
176;Hungary;2008;3.2;
177;Hungary;2009;4.7;
178;Hungary;2010;2.1;
179;Hungary;2011;1.7;
180;Hungary;2012;2.2;
181;Hungary;2013;18.9;18.6
182;Hungary;2014;42.8;41.2
183;Hungary;2015;177.1;174.4
184;Hungary;2016;29.4;28.2
185;Hungary;2017;3.4;3.1
186;Hungary;2018;0.7;0.6
187;Hungary;2019;0.5;0.5
188;Hungary;2020;0.1;0.1
189;Hungary;2021;0.0;0.0
190;Hungary;2022;0.0;0.0
191;Hungary;2023;0.0;0.0
192;Ireland;2008;3.9;3.8
193;Ireland;2009;2.7;2.6
194;Ireland;2010;1.9;1.9
195;Ireland;2011;1.3;1.3
196;Ireland;2012;1.0;0.9
197;Ireland;2013;0.9;0.9
198;Ireland;2014;1.4;1.4
199;Ireland;2015;3.3;3.3
200;Ireland;2016;2.2;2.2
201;Ireland;2017;2.9;2.9
202;Ireland;2018;3.7;3.7
203;Ireland;2019;4.8;4.7
204;Ireland;2020;1.6;1.5
205;Ireland;2021;2.6;2.6
206;Ireland;2022;13.7;13.6
207;Ireland;2023;13.3;13.2
208;Italy;2008;30.1;30.1
209;Italy;2009;17.7;17.4
210;Italy;2010;10.0;10.0
211;Italy;2011;40.3;40.3
212;Italy;2012;17.3;17.2
213;Italy;2013;26.6;25.7
214;Italy;2014;64.6;63.7
215;Italy;2015;83.5;82.8
216;Italy;2016;123.0;121.2
217;Italy;2017;128.8;126.6
218;Italy;2018;60.0;53.4
219;Italy;2019;43.8;35.0
220;Italy;2020;26.9;21.3
221;Italy;2021;53.6;45.2
222;Italy;2022;84.3;77.2
223;Italy;2023;135.8;130.6
224;Croatia;2008;;
225;Croatia;2009;;
226;Croatia;2010;;
227;Croatia;2011;;
228;Croatia;2012;;
229;Croatia;2013;1.1;1.0
230;Croatia;2014;0.4;0.4
231;Croatia;2015;0.2;0.1
232;Croatia;2016;2.2;2.1
233;Croatia;2017;1.0;0.9
234;Croatia;2018;0.8;0.7
235;Croatia;2019;1.4;1.3
236;Croatia;2020;1.6;1.5
237;Croatia;2021;2.9;2.7
238;Croatia;2022;2.7;2.7
239;Croatia;2023;1.8;1.6
240;Latvia;2008;0.1;0.1
241;Latvia;2009;0.1;0.0
242;Latvia;2010;0.1;0.1
243;Latvia;2011;0.3;0.3
244;Latvia;2012;0.2;0.2
245;Latvia;2013;0.2;0.2
246;Latvia;2014;0.4;0.4
247;Latvia;2015;0.3;0.3
248;Latvia;2016;0.3;0.3
249;Latvia;2017;0.4;0.4
250;Latvia;2018;0.2;0.2
251;Latvia;2019;0.2;0.2
252;Latvia;2020;0.2;0.1
253;Latvia;2021;0.6;0.6
254;Latvia;2022;0.6;0.5
255;Latvia;2023;1.7;1.6
256;Lithuania;2008;0.5;
257;Lithuania;2009;0.4;0.2
258;Lithuania;2010;0.5;0.4
259;Lithuania;2011;0.5;0.4
260;Lithuania;2012;0.6;0.6
261;Lithuania;2013;0.4;0.2
262;Lithuania;2014;0.4;0.4
263;Lithuania;2015;0.3;0.3
264;Lithuania;2016;0.4;0.4
265;Lithuania;2017;0.5;0.5
266;Lithuania;2018;0.4;0.4
267;Lithuania;2019;0.6;0.6
268;Lithuania;2020;0.3;0.3
269;Lithuania;2021;3.9;3.9
270;Lithuania;2022;1.0;0.9
271;Lithuania;2023;0.6;0.5
272;Luxembourg;2008;0.5;
273;Luxembourg;2009;0.5;
274;Luxembourg;2010;0.8;
275;Luxembourg;2011;2.1;1.9
276;Luxembourg;2012;2.0;2.0
277;Luxembourg;2013;1.1;1.0
278;Luxembourg;2014;1.1;1.0
279;Luxembourg;2015;2.5;2.4
280;Luxembourg;2016;2.2;2.1
281;Luxembourg;2017;2.4;2.3
282;Luxembourg;2018;2.3;2.2
283;Luxembourg;2019;2.3;2.2
284;Luxembourg;2020;1.3;1.3
285;Luxembourg;2021;1.4;1.4
286;Luxembourg;2022;2.5;2.4
287;Luxembourg;2023;2.7;2.6
288;Malta;2008;2.6;2.6
289;Malta;2009;2.4;2.4
290;Malta;2010;0.4;0.1
291;Malta;2011;1.9;1.9
292;Malta;2012;2.1;2.1
293;Malta;2013;2.2;2.2
294;Malta;2014;1.4;1.3
295;Malta;2015;1.8;1.7
296;Malta;2016;1.9;1.7
297;Malta;2017;1.8;1.6
298;Malta;2018;2.1;2.0
299;Malta;2019;4.1;4.0
300;Malta;2020;2.5;2.4
301;Malta;2021;1.6;1.2
302;Malta;2022;1.3;0.9
303;Malta;2023;0.9;0.5
304;The Netherlands;2008;15.3;13.4
305;The Netherlands;2009;16.1;14.9
306;The Netherlands;2010;15.1;13.3
307;The Netherlands;2011;14.6;11.6
308;The Netherlands;2012;13.1;9.7
309;The Netherlands;2013;13.1;9.8
310;The Netherlands;2014;24.5;21.8
311;The Netherlands;2015;45.0;43.0
312;The Netherlands;2016;20.9;19.3
313;The Netherlands;2017;18.2;16.1
314;The Netherlands;2018;24.0;20.5
315;The Netherlands;2019;25.2;22.5
316;The Netherlands;2020;15.3;13.7
317;The Netherlands;2021;26.5;24.7
318;The Netherlands;2022;37.0;35.5
319;The Netherlands;2023;39.7;38.3
320;Austria;2008;12.7;
321;Austria;2009;15.8;
322;Austria;2010;11.0;
323;Austria;2011;14.4;
324;Austria;2012;17.4;
325;Austria;2013;17.5;
326;Austria;2014;28.0;25.7
327;Austria;2015;88.2;85.5
328;Austria;2016;42.3;39.9
329;Austria;2017;24.7;22.5
330;Austria;2018;13.7;11.6
331;Austria;2019;12.9;11.0
332;Austria;2020;14.8;13.4
333;Austria;2021;39.9;37.8
334;Austria;2022;112.2;109.8
335;Austria;2023;58.7;55.6
336;Poland;2008;8.5;7.2
337;Poland;2009;10.6;9.7
338;Poland;2010;6.5;4.3
339;Poland;2011;6.9;5.0
340;Poland;2012;10.8;9.2
341;Poland;2013;15.2;14.0
342;Poland;2014;8.0;5.6
343;Poland;2015;12.2;10.3
344;Poland;2016;12.3;9.8
345;Poland;2017;5.0;3.0
346;Poland;2018;4.1;2.4
347;Poland;2019;4.1;2.8
348;Poland;2020;2.8;1.5
349;Poland;2021;7.8;6.2
350;Poland;2022;9.8;7.7
351;Poland;2023;9.5;7.7
352;Portugal;2008;0.2;0.2
353;Portugal;2009;0.1;0.1
354;Portugal;2010;0.2;0.2
355;Portugal;2011;0.3;0.3
356;Portugal;2012;0.3;0.3
357;Portugal;2013;0.5;0.5
358;Portugal;2014;0.4;0.4
359;Portugal;2015;0.9;0.9
360;Portugal;2016;1.5;0.7
361;Portugal;2017;1.8;1.0
362;Portugal;2018;1.3;1.2
363;Portugal;2019;1.8;1.7
364;Portugal;2020;1.0;0.9
365;Portugal;2021;1.5;1.4
366;Portugal;2022;2.1;2.0
367;Portugal;2023;2.7;2.6
368;Romania;2008;1.2;
369;Romania;2009;1.0;
370;Romania;2010;0.9;
371;Romania;2011;1.7;1.7
372;Romania;2012;2.5;2.4
373;Romania;2013;1.5;1.4
374;Romania;2014;1.5;1.5
375;Romania;2015;1.3;1.2
376;Romania;2016;1.9;1.9
377;Romania;2017;4.8;4.7
378;Romania;2018;2.1;1.9
379;Romania;2019;2.6;2.5
380;Romania;2020;6.2;6.0
381;Romania;2021;9.6;9.1
382;Romania;2022;12.4;12.1
383;Romania;2023;10.1;9.9
384;Slovenia;2008;0.3;0.2
385;Slovenia;2009;0.2;0.2
386;Slovenia;2010;0.2;0.2
387;Slovenia;2011;0.4;0.3
388;Slovenia;2012;0.3;0.3
389;Slovenia;2013;0.3;0.2
390;Slovenia;2014;0.4;0.4
391;Slovenia;2015;0.3;0.3
392;Slovenia;2016;1.3;1.3
393;Slovenia;2017;1.5;1.4
394;Slovenia;2018;2.9;2.8
395;Slovenia;2019;3.8;3.6
396;Slovenia;2020;3.5;3.5
397;Slovenia;2021;5.3;5.2
398;Slovenia;2022;6.8;6.6
399;Slovenia;2023;7.3;7.2
400;Slovakia;2008;0.9;
401;Slovakia;2009;0.8;
402;Slovakia;2010;0.5;0.3
403;Slovakia;2011;0.5;0.3
404;Slovakia;2012;0.7;0.6
405;Slovakia;2013;0.4;0.3
406;Slovakia;2014;0.3;0.2
407;Slovakia;2015;0.3;0.3
408;Slovakia;2016;0.1;0.1
409;Slovakia;2017;0.2;0.1
410;Slovakia;2018;0.2;0.2
411;Slovakia;2019;0.2;0.2
412;Slovakia;2020;0.3;0.3
413;Slovakia;2021;0.4;0.3
414;Slovakia;2022;0.5;0.5
415;Slovakia;2023;0.4;0.4
416;Spain;2008;4.5;
417;Spain;2009;3.0;
418;Spain;2010;2.7;2.5
419;Spain;2011;3.4;3.0
420;Spain;2012;2.6;2.4
421;Spain;2013;4.5;4.3
422;Spain;2014;5.6;5.5
423;Spain;2015;14.8;14.6
424;Spain;2016;15.8;15.6
425;Spain;2017;36.6;33.0
426;Spain;2018;54.0;52.7
427;Spain;2019;117.8;115.2
428;Spain;2020;88.5;86.4
429;Spain;2021;65.3;62.0
430;Spain;2022;117.9;116.1
431;Spain;2023;162.4;160.5
432;Czech Republic;2008;1.6;1.1
433;Czech Republic;2009;1.2;0.6
434;Czech Republic;2010;0.8;0.4
435;Czech Republic;2011;0.8;0.5
436;Czech Republic;2012;0.7;0.5
437;Czech Republic;2013;0.7;0.5
438;Czech Republic;2014;1.1;0.9
439;Czech Republic;2015;1.5;1.2
440;Czech Republic;2016;1.5;1.2
441;Czech Republic;2017;1.4;1.1
442;Czech Republic;2018;1.7;1.4
443;Czech Republic;2019;1.9;1.6
444;Czech Republic;2020;1.2;0.8
445;Czech Republic;2021;1.4;1.1
446;Czech Republic;2022;1.7;1.3
447;Czech Republic;2023;1.4;1.1
448;Sweden;2008;24.8;24.3
449;Sweden;2009;24.2;23.6
450;Sweden;2010;31.9;31.8
451;Sweden;2011;29.6;29.6
452;Sweden;2012;43.9;43.8
453;Sweden;2013;54.3;49.2
454;Sweden;2014;81.2;75.0
455;Sweden;2015;162.4;156.1
456;Sweden;2016;28.8;22.3
457;Sweden;2017;26.3;22.2
458;Sweden;2018;21.6;18.1
459;Sweden;2019;26.3;23.1
460;Sweden;2020;16.2;13.6
461;Sweden;2021;14.0;10.1
462;Sweden;2022;23.8;13.2
463;Sweden;2023;17.0;8.9
464;Iceland;2008;;
465;Iceland;2009;0.0;
466;Iceland;2010;0.0;
467;Iceland;2011;0.1;
468;Iceland;2012;0.1;
469;Iceland;2013;0.1;
470;Iceland;2014;0.2;
471;Iceland;2015;0.4;0.4
472;Iceland;2016;1.1;1.1
473;Iceland;2017;1.1;1.1
474;Iceland;2018;0.8;0.7
475;Iceland;2019;0.8;0.8
476;Iceland;2020;0.6;0.6
477;Iceland;2021;0.9;0.9
478;Iceland;2022;4.6;4.5
479;Iceland;2023;4.2;4.1
480;Liechtenstein;2008;;
481;Liechtenstein;2009;0.3;
482;Liechtenstein;2010;0.1;
483;Liechtenstein;2011;0.1;
484;Liechtenstein;2012;0.1;
485;Liechtenstein;2013;0.1;
486;Liechtenstein;2014;0.1;
487;Liechtenstein;2015;0.1;
488;Liechtenstein;2016;0.1;0.1
489;Liechtenstein;2017;0.1;0.1
490;Liechtenstein;2018;0.2;0.1
491;Liechtenstein;2019;0.0;0.0
492;Liechtenstein;2020;0.0;0.0
493;Liechtenstein;2021;0.1;0.1
494;Liechtenstein;2022;0.1;0.1
495;Liechtenstein;2023;0.1;0.1
496;Montenegro;2008;;
497;Montenegro;2009;;
498;Montenegro;2010;;
499;Montenegro;2011;;
500;Montenegro;2012;;
501;Montenegro;2013;;
502;Montenegro;2014;;
503;Montenegro;2015;;
504;Montenegro;2016;;
505;Montenegro;2017;;
506;Montenegro;2018;3.1;3.1
507;Montenegro;2019;1.9;1.9
508;Montenegro;2020;0.5;0.5
509;Montenegro;2021;0.3;0.3
510;Montenegro;2022;0.2;0.2
511;Montenegro;2023;;0.1
512;Norway;2008;14.4;14.0
513;Norway;2009;17.1;16.5
514;Norway;2010;10.0;9.3
515;Norway;2011;9.0;8.5
516;Norway;2012;9.7;9.2
517;Norway;2013;11.9;11.4
518;Norway;2014;11.4;10.9
519;Norway;2015;31.1;30.5
520;Norway;2016;3.5;3.2
521;Norway;2017;3.5;3.4
522;Norway;2018;2.7;2.5
523;Norway;2019;2.3;2.2
524;Norway;2020;1.4;1.3
525;Norway;2021;1.6;1.6
526;Norway;2022;4.8;4.7
527;Norway;2023;5.5;5.2
528;United Kingdom;2008;31.3;31.3
529;United Kingdom;2009;31.7;30.6
530;United Kingdom;2010;24.3;22.6
531;United Kingdom;2011;26.9;25.9
532;United Kingdom;2012;28.8;27.9
533;United Kingdom;2013;30.6;29.6
534;United Kingdom;2014;32.8;32.1
535;United Kingdom;2015;40.2;39.7
536;United Kingdom;2016;39.7;39.2
537;United Kingdom;2017;34.8;34.4
538;United Kingdom;2018;38.8;38.4
539;United Kingdom;2019;46.1;44.2
540;United Kingdom;2020;;
541;United Kingdom;2021;;
542;United Kingdom;2022;;
543;United Kingdom;2023;;
544;Switzerland;2008;16.5;15.1
545;Switzerland;2009;15.9;14.4
546;Switzerland;2010;15.4;13.4
547;Switzerland;2011;23.6;19.2
548;Switzerland;2012;28.4;25.8
549;Switzerland;2013;21.3;19.3
550;Switzerland;2014;23.6;21.9
551;Switzerland;2015;39.4;38.1
552;Switzerland;2016;27.1;25.8
553;Switzerland;2017;18.0;16.6
554;Switzerland;2018;15.2;13.5
555;Switzerland;2019;14.2;12.5
556;Switzerland;2020;11.0;9.7
557;Switzerland;2021;14.8;13.2
558;Switzerland;2022;24.4;23.1
559;Switzerland;2023;30.1;26.8
