ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
79;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2011;342.8
80;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2012 1st quarter;333.3
81;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2012 2nd quarter;357.0
82;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2012 3rd quarter;364.0
83;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2012 4th quarter;350.0
84;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2012;351.1
85;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2013 1st quarter;328.3
86;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2013 2nd quarter;350.3
87;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2013 3rd quarter;359.8
88;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2013 4th quarter;351.9
89;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2013;347.7
90;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2014 1st quarter;339.6
91;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2014 2nd quarter;365.1
92;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2014 3rd quarter;376.3
93;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2014 4th quarter;366.7
94;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2014;362.1
95;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2015 1st quarter;358.4
96;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2015 2nd quarter;385.7
97;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2015 3rd quarter;399.9
98;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2015 4th quarter;393.3
99;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2015;384.5
100;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2016 1st quarter;379.6
101;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2016 2nd quarter;410.1
102;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2016 3rd quarter;425.6
103;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2016 4th quarter;422.5
104;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2016;409.5
105;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2017 1st quarter;414.4
106;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2017 2nd quarter;450.4
107;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2017 3rd quarter;470.8
108;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2017 4th quarter;473.9
109;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2017;452.6
110;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2018 1st quarter;466.1
111;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2018 2nd quarter;501.2
112;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2018 3rd quarter;522.0
113;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2018 4th quarter;524.6
114;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2018;503.7
115;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2019 1st quarter;510.2
116;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2019 2nd quarter;539.0
117;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2019 3rd quarter;554.7
118;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2019 4th quarter;553.7
119;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2019;539.6
120;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2020 1st quarter;534.0
121;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2020 2nd quarter;521.1
122;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2020 3rd quarter;548.0
123;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2020 4th quarter;541.8
124;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2020;536.3
125;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2021 1st quarter;523.3
126;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2021 2nd quarter;560.6
127;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2021 3rd quarter;583.1
128;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2021 4th quarter;596.2
129;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2021;566.0
130;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2022 1st quarter;588.5
131;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2022 2nd quarter;632.5
132;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2022 3rd quarter;657.7
133;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2022 4th quarter;665.6
134;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2022;636.3
135;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2023 1st quarter;661.5
136;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2023 2nd quarter;696.8
137;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2023 3rd quarter;707.0
138;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2023 4th quarter;710.6
139;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2023;694.1
140;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 1st quarter;31.7
141;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 2nd quarter;31.9
142;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 3rd quarter;31.6
143;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 4th quarter;31.6
144;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010;31.7
145;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 1st quarter;31.7
146;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 2nd quarter;31.8
147;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 3rd quarter;31.5
148;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 4th quarter;31.5
149;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011;31.6
150;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 1st quarter;31.3
151;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 2nd quarter;31.4
152;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 3rd quarter;30.9
153;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 4th quarter;30.8
154;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012;31.1
155;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 1st quarter;30.5
156;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 2nd quarter;30.4
157;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 3rd quarter;30.1
158;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 4th quarter;30.2
159;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013;30.3
160;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 1st quarter;29.8
161;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 2nd quarter;29.9
162;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 3rd quarter;29.7
163;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 4th quarter;29.8
164;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014;29.8
165;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 1st quarter;29.6
166;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 2nd quarter;29.7
167;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 3rd quarter;29.5
168;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 4th quarter;29.8
169;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015;29.6
170;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 1st quarter;29.7
171;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 2nd quarter;30.0
172;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 3rd quarter;29.9
173;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016 4th quarter;30.4
174;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2016;30.0
175;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 1st quarter;30.5
176;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 2nd quarter;31.0
177;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 3rd quarter;31.0
178;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017 4th quarter;31.5
179;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2017;31.0
180;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 1st quarter;31.6
181;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 2nd quarter;32.1
182;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 3rd quarter;32.0
183;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018 4th quarter;32.4
184;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2018;32.1
185;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 1st quarter;32.2
186;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 2nd quarter;32.5
187;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 3rd quarter;32.4
188;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019 4th quarter;32.7
189;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2019;32.4
190;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 1st quarter;32.4
191;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 2nd quarter;31.8
192;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 3rd quarter;32.0
193;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020 4th quarter;32.3
194;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2020;32.1
195;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2021 1st quarter;32.0
196;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2021 2nd quarter;32.4
197;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2021 3rd quarter;32.6
198;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2021 4th quarter;33.1
199;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2021;32.5
200;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2022 1st quarter;32.9
201;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2022 2nd quarter;33.3
202;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2022 3rd quarter;33.0
203;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2022 4th quarter;33.6
204;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2022;33.2
205;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2023 1st quarter;35.1
206;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2023 2nd quarter;35.3
207;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2023 3rd quarter;34.9
208;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2023 4th quarter;35.4
209;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2023;35.1
210;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 1st quarter;2.1
211;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 2nd quarter;2.3
212;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 3rd quarter;2.5
213;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010 4th quarter;2.4
214;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2010;2.3
215;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 1st quarter;2.4
216;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 2nd quarter;2.6
217;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 3rd quarter;2.5
218;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011 4th quarter;2.5
219;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2011;2.5
220;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 1st quarter;2.4
221;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 2nd quarter;2.5
222;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 3rd quarter;2.5
223;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012 4th quarter;2.4
224;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2012;2.4
225;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 1st quarter;2.4
226;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 2nd quarter;2.6
227;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 3rd quarter;2.6
228;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013 4th quarter;2.6
229;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2013;2.6
230;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 1st quarter;3.6
231;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 2nd quarter;5.0
232;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 3rd quarter;5.3
233;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014 4th quarter;5.6
234;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2014;4.9
235;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 1st quarter;5.9
236;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 2nd quarter;7.0
237;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 3rd quarter;7.2
238;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015 4th quarter;7.4
239;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2015;6.9
240;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 1st quarter;7.6
241;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 2nd quarter;9.0
242;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 3rd quarter;9.3
243;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016 4th quarter;9.8
244;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2016;9.0
245;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 1st quarter;10.2
246;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 2nd quarter;12.6
247;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 3rd quarter;13.1
248;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017 4th quarter;13.8
249;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2017;12.5
250;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 1st quarter;14.6
251;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 2nd quarter;17.4
252;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 3rd quarter;17.7
253;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018 4th quarter;18.5
254;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2018;17.0
255;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 1st quarter;18.9
256;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 2nd quarter;21.5
257;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 3rd quarter;21.5
258;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019 4th quarter;22.4
259;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2019;21.1
260;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 1st quarter;22.7
261;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 2nd quarter;23.0
262;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 3rd quarter;24.0
263;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020 4th quarter;23.4
264;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2020;23.3
265;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2021 1st quarter;23.3
266;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2021 2nd quarter;28.7
267;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2021 3rd quarter;29.6
268;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2021 4th quarter;31.9
269;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2021;28.4
270;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2022 1st quarter;32.1
271;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2022 2nd quarter;36.4
272;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2022 3rd quarter;35.1
273;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2022 4th quarter;34.4
274;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2022;34.5
275;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2023 1st quarter;33.5
276;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2023 2nd quarter;36.8
277;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2023 3rd quarter;35.7
278;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2023 4th quarter;35.3
279;Total jobs;Total employees;A-U All economic activities;Total;Bulgaria;2023;35.3
280;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 1st quarter;52.5
281;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 2nd quarter;55.4
282;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 3rd quarter;56.1
283;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010 4th quarter;56.3
284;Total jobs;Total employees;A-U All economic activities;Total;Germany;2010;55.1
285;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 1st quarter;55.0
286;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 2nd quarter;57.1
287;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 3rd quarter;56.5
288;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011 4th quarter;55.7
289;Total jobs;Total employees;A-U All economic activities;Total;Germany;2011;56.1
290;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 1st quarter;53.7
291;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 2nd quarter;54.3
292;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 3rd quarter;53.0
293;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012 4th quarter;52.1
294;Total jobs;Total employees;A-U All economic activities;Total;Germany;2012;53.2
295;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 1st quarter;49.9
296;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 2nd quarter;50.1
297;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 3rd quarter;49.2
298;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013 4th quarter;48.7
299;Total jobs;Total employees;A-U All economic activities;Total;Germany;2013;49.5
300;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 1st quarter;46.1
301;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 2nd quarter;46.3
302;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 3rd quarter;45.7
303;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014 4th quarter;45.4
304;Total jobs;Total employees;A-U All economic activities;Total;Germany;2014;45.8
305;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 1st quarter;44.3
306;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 2nd quarter;44.9
307;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 3rd quarter;44.4
308;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015 4th quarter;44.4
309;Total jobs;Total employees;A-U All economic activities;Total;Germany;2015;44.5
310;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 1st quarter;43.4
311;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 2nd quarter;44.3
312;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 3rd quarter;44.0
