ID;Geslacht;LeeftijdBeginPeriode;Herkomstgroepering;InkomstenbronVoorInstroomNaUitstroom;Perioden;InstromersInAOUitkering_1;InstromersInWWUitkering_2;InstromersInBijstandsuitkering_3;UitstromersUitAOUitkering_4;UitstromersUitWWUitkering_5;UitstromersUitBijstandsuitkering_6
21;Totaal mannen en vrouwen;0;0;2;27 september 2002 tot 26 september 2003;47.6;100.2;24.1;24.7;33.6;23.4
22;Totaal mannen en vrouwen;0;0;2;26 september 2003 tot 24 september 2004;39.3;101.5;21.1;21.9;51.2;23.9
23;Totaal mannen en vrouwen;0;0;2;24 september 2004 tot 30 september 2005;18.2;92.4;19.0;21.1;68.4;27.6
24;Totaal mannen en vrouwen;0;0;2;30 september 2005 tot 29 september 2006;15.4;69.2;13.4;0.0;78.7;38.9
25;Totaal mannen en vrouwen;0;0;2;29 september 2006 tot 28 september 2007;18.3;50.1;12.3;14.7;70.0;41.8
26;Totaal mannen en vrouwen;0;0;2;28 september 2007 tot 26 september 2008;20.7;52.3;13.9;10.9;50.1;34.0
27;Totaal mannen en vrouwen;0;0;3;24 september 1999 tot 29 september 2000;6.2;1.9;2.4;3.6;5.2;4.4
28;Totaal mannen en vrouwen;0;0;3;29 september 2000 tot 28 september 2001;5.9;1.8;2.2;4.0;4.2;3.4
29;Totaal mannen en vrouwen;0;0;3;28 september 2001 tot 27 september 2002;5.8;2.6;2.7;3.9;3.5;2.8
30;Totaal mannen en vrouwen;0;0;3;27 september 2002 tot 26 september 2003;5.5;3.7;3.8;3.7;3.9;2.1
31;Totaal mannen en vrouwen;0;0;3;26 september 2003 tot 24 september 2004;4.9;3.6;3.6;3.6;5.3;2.3
32;Totaal mannen en vrouwen;0;0;3;24 september 2004 tot 30 september 2005;3.4;3.0;3.2;3.6;7.6;2.2
33;Totaal mannen en vrouwen;0;0;3;30 september 2005 tot 29 september 2006;1.5;2.7;2.6;0.0;9.3;2.6
34;Totaal mannen en vrouwen;0;0;3;29 september 2006 tot 28 september 2007;2.6;2.4;1.9;3.2;9.6;2.6
35;Totaal mannen en vrouwen;0;0;3;28 september 2007 tot 26 september 2008;1.5;2.0;2.2;2.3;7.7;2.2
36;Totaal mannen en vrouwen;0;0;4;24 september 1999 tot 29 september 2000;23.4;14.2;10.5;6.6;25.3;12.8
37;Totaal mannen en vrouwen;0;0;4;29 september 2000 tot 28 september 2001;20.5;15.1;9.7;7.7;21.5;10.3
38;Totaal mannen en vrouwen;0;0;4;28 september 2001 tot 27 september 2002;19.5;20.8;9.8;7.8;21.2;8.3
39;Totaal mannen en vrouwen;0;0;4;27 september 2002 tot 26 september 2003;17.5;28.0;11.6;10.0;20.5;7.3
40;Totaal mannen en vrouwen;0;0;4;26 september 2003 tot 24 september 2004;16.7;29.7;11.3;11.7;26.3;7.4
41;Totaal mannen en vrouwen;0;0;4;24 september 2004 tot 30 september 2005;8.9;27.7;14.9;15.4;35.3;7.8
42;Totaal mannen en vrouwen;0;0;4;30 september 2005 tot 29 september 2006;12.4;28.4;14.6;0.0;39.0;18.8
43;Totaal mannen en vrouwen;0;0;4;29 september 2006 tot 28 september 2007;19.2;20.9;11.7;9.8;32.0;19.2
44;Totaal mannen en vrouwen;0;0;4;28 september 2007 tot 26 september 2008;18.4;14.4;9.8;4.3;27.9;16.6
45;Totaal mannen en vrouwen;0;0;5;24 september 1999 tot 29 september 2000;0.0;5.5;2.6;0.0;8.9;4.2
46;Totaal mannen en vrouwen;0;0;5;29 september 2000 tot 28 september 2001;0.0;6.2;2.7;0.0;8.2;4.0
47;Totaal mannen en vrouwen;0;0;5;28 september 2001 tot 27 september 2002;0.0;8.8;2.8;0.0;8.3;3.6
48;Totaal mannen en vrouwen;0;0;5;27 september 2002 tot 26 september 2003;0.0;13.2;3.3;0.0;8.1;3.5
49;Totaal mannen en vrouwen;0;0;5;26 september 2003 tot 24 september 2004;0.0;14.2;3.3;0.0;8.9;3.4
50;Totaal mannen en vrouwen;0;0;5;24 september 2004 tot 30 september 2005;0.0;14.1;3.7;0.0;10.3;3.3
51;Totaal mannen en vrouwen;0;0;5;30 september 2005 tot 29 september 2006;0.0;13.7;2.8;0.0;10.1;5.1
52;Totaal mannen en vrouwen;0;0;5;29 september 2006 tot 28 september 2007;0.0;8.2;2.0;0.0;10.8;5.0
53;Totaal mannen en vrouwen;0;0;5;28 september 2007 tot 26 september 2008;0.0;4.3;1.6;0.0;9.4;4.8
54;Totaal mannen en vrouwen;0;0;6;24 september 1999 tot 29 september 2000;1.1;0.0;3.0;1.8;0.0;0.9
55;Totaal mannen en vrouwen;0;0;6;29 september 2000 tot 28 september 2001;0.8;0.0;2.4;2.0;0.0;0.7
56;Totaal mannen en vrouwen;0;0;6;28 september 2001 tot 27 september 2002;0.8;0.0;2.2;2.3;0.0;0.8
57;Totaal mannen en vrouwen;0;0;6;27 september 2002 tot 26 september 2003;0.8;0.0;3.2;3.8;0.0;1.0
58;Totaal mannen en vrouwen;0;0;6;26 september 2003 tot 24 september 2004;0.9;0.0;4.2;5.0;0.0;1.3
59;Totaal mannen en vrouwen;0;0;6;24 september 2004 tot 30 september 2005;0.9;0.0;8.2;6.3;0.0;1.3
60;Totaal mannen en vrouwen;0;0;6;30 september 2005 tot 29 september 2006;0.9;0.0;8.5;0.0;0.0;1.4
61;Totaal mannen en vrouwen;0;0;6;29 september 2006 tot 28 september 2007;1.5;0.0;5.8;3.5;0.0;1.0
62;Totaal mannen en vrouwen;0;0;6;28 september 2007 tot 26 september 2008;1.7;0.0;3.8;1.1;0.0;0.8
63;Totaal mannen en vrouwen;0;0;7;24 september 1999 tot 29 september 2000;2.9;1.2;0.0;1.2;3.7;0.0
64;Totaal mannen en vrouwen;0;0;7;29 september 2000 tot 28 september 2001;2.7;1.0;0.0;1.4;2.9;0.0
65;Totaal mannen en vrouwen;0;0;7;28 september 2001 tot 27 september 2002;2.5;1.1;0.0;1.5;2.7;0.0
66;Totaal mannen en vrouwen;0;0;7;27 september 2002 tot 26 september 2003;2.3;1.6;0.0;1.8;3.5;0.0
67;Totaal mannen en vrouwen;0;0;7;26 september 2003 tot 24 september 2004;2.1;2.0;0.0;2.0;4.6;0.0
68;Totaal mannen en vrouwen;0;0;7;24 september 2004 tot 30 september 2005;1.9;2.1;0.0;2.3;9.0;0.0
69;Totaal mannen en vrouwen;0;0;7;30 september 2005 tot 29 september 2006;2.4;2.2;0.0;0.0;9.7;0.0
70;Totaal mannen en vrouwen;0;0;7;29 september 2006 tot 28 september 2007;3.5;1.6;0.0;1.2;6.8;0.0
71;Totaal mannen en vrouwen;0;0;7;28 september 2007 tot 26 september 2008;3.5;1.3;0.0;0.8;4.5;0.0
72;Totaal mannen en vrouwen;0;0;8;24 september 1999 tot 29 september 2000;20.4;8.9;5.5;4.0;16.8;8.3
73;Totaal mannen en vrouwen;0;0;8;29 september 2000 tot 28 september 2001;17.6;9.7;5.2;4.8;14.3;6.2
74;Totaal mannen en vrouwen;0;0;8;28 september 2001 tot 27 september 2002;16.8;13.4;5.3;4.5;14.3;4.4
75;Totaal mannen en vrouwen;0;0;8;27 september 2002 tot 26 september 2003;14.9;17.1;5.8;5.3;12.9;3.3
76;Totaal mannen en vrouwen;0;0;8;26 september 2003 tot 24 september 2004;14.3;18.1;4.7;5.7;17.6;3.3
77;Totaal mannen en vrouwen;0;0;8;24 september 2004 tot 30 september 2005;6.4;16.1;4.3;8.3;22.0;3.7
78;Totaal mannen en vrouwen;0;0;8;30 september 2005 tot 29 september 2006;9.6;18.1;4.6;0.0;24.8;13.8
79;Totaal mannen en vrouwen;0;0;8;29 september 2006 tot 28 september 2007;15.2;14.5;4.9;6.1;19.8;14.3
80;Totaal mannen en vrouwen;0;0;8;28 september 2007 tot 26 september 2008;14.1;10.8;5.0;2.6;18.0;12.0
81;Totaal mannen en vrouwen;0;0;9;24 september 1999 tot 29 september 2000;1.3;1.1;2.1;32.5;11.0;5.6
82;Totaal mannen en vrouwen;0;0;9;29 september 2000 tot 28 september 2001;1.3;1.2;1.3;33.0;12.0;5.8
83;Totaal mannen en vrouwen;0;0;9;28 september 2001 tot 27 september 2002;1.6;1.6;1.3;32.0;13.0;5.9
84;Totaal mannen en vrouwen;0;0;9;27 september 2002 tot 26 september 2003;1.4;2.0;1.6;33.5;10.0;6.2
85;Totaal mannen en vrouwen;0;0;9;26 september 2003 tot 24 september 2004;1.6;2.1;1.6;34.0;9.5;6.4
86;Totaal mannen en vrouwen;0;0;9;24 september 2004 tot 30 september 2005;1.1;1.9;1.9;34.0;10.1;6.8
87;Totaal mannen en vrouwen;0;0;9;30 september 2005 tot 29 september 2006;1.3;2.2;2.1;0.0;9.7;6.2
88;Totaal mannen en vrouwen;0;0;9;29 september 2006 tot 28 september 2007;2.7;1.4;1.8;32.7;11.6;5.9
89;Totaal mannen en vrouwen;0;0;9;28 september 2007 tot 26 september 2008;1.2;1.3;3.0;33.3;14.0;6.0
90;Totaal mannen en vrouwen;0;0;10;24 september 1999 tot 29 september 2000;8.1;3.7;28.2;3.8;8.5;21.9
91;Totaal mannen en vrouwen;0;0;10;29 september 2000 tot 28 september 2001;8.6;4.0;26.6;5.3;6.9;19.8
92;Totaal mannen en vrouwen;0;0;10;28 september 2001 tot 27 september 2002;10.8;5.8;28.5;4.1;6.4;18.9
93;Totaal mannen en vrouwen;0;0;10;27 september 2002 tot 26 september 2003;9.2;10.2;34.8;5.3;7.1;17.2
94;Totaal mannen en vrouwen;0;0;10;26 september 2003 tot 24 september 2004;9.8;10.7;33.1;5.5;10.4;19.8
95;Totaal mannen en vrouwen;0;0;10;24 september 2004 tot 30 september 2005;9.8;9.6;34.0;5.6;16.2;22.2
96;Totaal mannen en vrouwen;0;0;10;30 september 2005 tot 29 september 2006;9.1;7.3;27.3;0.0;16.5;21.3
97;Totaal mannen en vrouwen;0;0;10;29 september 2006 tot 28 september 2007;12.3;4.5;22.2;3.2;13.7;18.6
98;Totaal mannen en vrouwen;0;0;10;28 september 2007 tot 26 september 2008;10.3;3.4;25.2;1.9;10.8;15.5
99;Totaal mannen en vrouwen;0;0;11;24 september 1999 tot 29 september 2000;2.5;0.1;3.6;0.1;0.1;0.8
100;Totaal mannen en vrouwen;0;0;11;29 september 2000 tot 28 september 2001;2.5;0.1;2.9;0.1;0.1;0.8
101;Totaal mannen en vrouwen;0;0;11;28 september 2001 tot 27 september 2002;2.7;0.1;3.0;0.1;0.1;0.8
102;Totaal mannen en vrouwen;0;0;11;27 september 2002 tot 26 september 2003;3.1;0.3;3.7;0.1;0.2;1.0
103;Totaal mannen en vrouwen;0;0;11;26 september 2003 tot 24 september 2004;3.5;0.3;3.4;0.1;0.3;1.4
104;Totaal mannen en vrouwen;0;0;11;24 september 2004 tot 30 september 2005;4.0;0.3;3.2;0.2;0.5;1.6
105;Totaal mannen en vrouwen;0;0;11;30 september 2005 tot 29 september 2006;4.7;0.2;2.3;0.0;0.6;2.0
106;Totaal mannen en vrouwen;0;0;11;29 september 2006 tot 28 september 2007;2.2;0.1;1.7;0.1;0.4;1.5
107;Totaal mannen en vrouwen;0;0;11;28 september 2007 tot 26 september 2008;2.9;0.1;1.8;0.1;0.2;1.1
108;Totaal mannen en vrouwen;0;0;12;24 september 1999 tot 29 september 2000;5.7;3.6;24.6;3.7;8.3;21.1
109;Totaal mannen en vrouwen;0;0;12;29 september 2000 tot 28 september 2001;6.1;3.8;23.7;5.3;6.7;19.1
110;Totaal mannen en vrouwen;0;0;12;28 september 2001 tot 27 september 2002;8.1;5.7;25.5;4.0;6.3;18.1
111;Totaal mannen en vrouwen;0;0;12;27 september 2002 tot 26 september 2003;6.1;9.9;31.1;5.2;7.0;16.2
112;Totaal mannen en vrouwen;0;0;12;26 september 2003 tot 24 september 2004;6.4;10.4;29.7;5.3;10.1;18.5
113;Totaal mannen en vrouwen;0;0;12;24 september 2004 tot 30 september 2005;5.8;9.3;30.8;5.4;15.7;20.7
114;Totaal mannen en vrouwen;0;0;12;30 september 2005 tot 29 september 2006;4.4;7.1;25.1;0.0;15.9;19.4
115;Totaal mannen en vrouwen;0;0;12;29 september 2006 tot 28 september 2007;10.1;4.3;20.5;3.1;13.3;17.1
116;Totaal mannen en vrouwen;0;0;12;28 september 2007 tot 26 september 2008;7.4;3.2;23.4;1.8;10.6;14.4
117;Totaal mannen en vrouwen;0;0;14;24 september 1999 tot 29 september 2000;0.0;0.0;0.0;11.1;1.3;5.8
118;Totaal mannen en vrouwen;0;0;14;29 september 2000 tot 28 september 2001;0.0;0.0;0.0;11.1;1.1;6.1
119;Totaal mannen en vrouwen;0;0;14;28 september 2001 tot 27 september 2002;0.0;0.0;0.0;11.5;1.1;6.1
120;Totaal mannen en vrouwen;0;0;14;27 september 2002 tot 26 september 2003;0.0;0.0;0.0;12.1;1.4;6.7
121;Totaal mannen en vrouwen;0;0;14;26 september 2003 tot 24 september 2004;0.0;0.0;0.0;12.1;2.1;8.1
122;Totaal mannen en vrouwen;0;0;14;24 september 2004 tot 30 september 2005;0.0;0.0;0.0;12.5;2.9;8.7
123;Totaal mannen en vrouwen;0;0;14;30 september 2005 tot 29 september 2006;0.0;0.0;0.0;0.0;2.8;8.9
124;Totaal mannen en vrouwen;0;0;14;29 september 2006 tot 28 september 2007;0.0;0.0;0.0;10.7;2.3;8.1
125;Totaal mannen en vrouwen;0;0;14;28 september 2007 tot 26 september 2008;0.0;0.0;0.0;10.8;1.7;7.2
126;Totaal mannen en vrouwen;0;0;13;24 september 1999 tot 29 september 2000;1.2;0.3;7.1;0.0;0.0;0.0
127;Totaal mannen en vrouwen;0;0;13;29 september 2000 tot 28 september 2001;1.1;0.3;6.6;0.0;0.0;0.0
128;Totaal mannen en vrouwen;0;0;13;28 september 2001 tot 27 september 2002;1.1;0.4;6.3;0.0;0.0;0.0
129;Totaal mannen en vrouwen;0;0;13;27 september 2002 tot 26 september 2003;1.2;0.6;5.7;0.0;0.0;0.0
130;Totaal mannen en vrouwen;0;0;13;26 september 2003 tot 24 september 2004;1.4;0.8;5.4;0.0;0.0;0.0
131;Totaal mannen en vrouwen;0;0;13;24 september 2004 tot 30 september 2005;1.4;0.8;5.7;0.0;0.0;0.0
132;Totaal mannen en vrouwen;0;0;13;30 september 2005 tot 29 september 2006;1.7;0.6;5.8;0.0;0.0;0.0
133;Totaal mannen en vrouwen;0;0;13;29 september 2006 tot 28 september 2007;1.6;0.4;5.5;0.0;0.0;0.0
134;Totaal mannen en vrouwen;0;0;13;28 september 2007 tot 26 september 2008;1.6;0.5;7.6;0.0;0.0;0.0
135;Totaal mannen en vrouwen;0;1;0;24 september 1999 tot 29 september 2000;74.0;39.0;29.5;60.2;62.6;51.1
136;Totaal mannen en vrouwen;0;1;0;29 september 2000 tot 28 september 2001;77.1;38.8;25.7;64.1;51.6;41.6
137;Totaal mannen en vrouwen;0;1;0;28 september 2001 tot 27 september 2002;74.0;59.1;27.3;63.4;46.9;34.8
138;Totaal mannen en vrouwen;0;1;0;27 september 2002 tot 26 september 2003;59.4;92.7;34.1;66.1;48.3;29.6
139;Totaal mannen en vrouwen;0;1;0;26 september 2003 tot 24 september 2004;52.9;95.7;33.6;65.1;66.8;31.8
140;Totaal mannen en vrouwen;0;1;0;24 september 2004 tot 30 september 2005;31.2;88.4;35.4;66.0;88.2;35.0
141;Totaal mannen en vrouwen;0;1;0;30 september 2005 tot 29 september 2006;29.5;71.0;28.2;0.0;95.9;42.5
142;Totaal mannen en vrouwen;0;1;0;29 september 2006 tot 28 september 2007;38.8;49.7;22.9;52.9;86.7;41.0
143;Totaal mannen en vrouwen;0;1;0;28 september 2007 tot 26 september 2008;36.4;46.0;22.2;47.6;70.1;35.6
144;Totaal mannen en vrouwen;0;1;1;24 september 1999 tot 29 september 2000;56.3;30.8;11.6;20.9;37.3;30.1
145;Totaal mannen en vrouwen;0;1;1;29 september 2000 tot 28 september 2001;60.2;29.6;10.7;22.8;28.9;22.5
146;Totaal mannen en vrouwen;0;1;1;28 september 2001 tot 27 september 2002;55.6;46.5;11.7;23.9;24.0;17.1
147;Totaal mannen en vrouwen;0;1;1;27 september 2002 tot 26 september 2003;42.4;74.2;14.7;23.3;27.2;12.5
148;Totaal mannen en vrouwen;0;1;1;26 september 2003 tot 24 september 2004;35.1;75.1;13.5;21.0;41.4;13.4
149;Totaal mannen en vrouwen;0;1;1;24 september 2004 tot 30 september 2005;17.5;69.1;12.5;20.2;55.2;15.2
150;Totaal mannen en vrouwen;0;1;1;30 september 2005 tot 29 september 2006;13.7;51.7;8.8;0.0;62.9;20.9
151;Totaal mannen en vrouwen;0;1;1;29 september 2006 tot 28 september 2007;16.8;36.9;7.5;14.6;57.1;21.6
152;Totaal mannen en vrouwen;0;1;1;28 september 2007 tot 26 september 2008;17.6;37.7;8.2;10.9;41.6;17.7
153;Totaal mannen en vrouwen;0;1;2;24 september 1999 tot 29 september 2000;52.0;30.5;10.3;18.1;34.5;28.0
154;Totaal mannen en vrouwen;0;1;2;29 september 2000 tot 28 september 2001;56.3;29.3;9.4;19.8;26.6;21.0
155;Totaal mannen en vrouwen;0;1;2;28 september 2001 tot 27 september 2002;51.6;46.0;10.2;21.0;22.1;15.9
156;Totaal mannen en vrouwen;0;1;2;27 september 2002 tot 26 september 2003;38.4;73.5;12.6;20.6;25.0;11.6
157;Totaal mannen en vrouwen;0;1;2;26 september 2003 tot 24 september 2004;31.4;74.3;11.4;18.2;38.3;12.3
158;Totaal mannen en vrouwen;0;1;2;24 september 2004 tot 30 september 2005;14.8;68.5;10.7;17.5;50.8;14.1
159;Totaal mannen en vrouwen;0;1;2;30 september 2005 tot 29 september 2006;12.6;51.0;7.3;0.0;57.7;19.7
160;Totaal mannen en vrouwen;0;1;2;29 september 2006 tot 28 september 2007;14.8;36.5;6.5;12.1;51.4;20.4
161;Totaal mannen en vrouwen;0;1;2;28 september 2007 tot 26 september 2008;16.6;37.3;7.0;9.2;36.9;16.7
162;Totaal mannen en vrouwen;0;1;3;24 september 1999 tot 29 september 2000;5.6;1.5;1.5;3.3;4.2;2.7
163;Totaal mannen en vrouwen;0;1;3;29 september 2000 tot 28 september 2001;5.2;1.5;1.5;3.5;3.4;1.9
164;Totaal mannen en vrouwen;0;1;3;28 september 2001 tot 27 september 2002;5.1;2.0;1.8;3.4;2.8;1.4
165;Totaal mannen en vrouwen;0;1;3;27 september 2002 tot 26 september 2003;4.9;2.9;2.5;3.2;3.1;1.1
166;Totaal mannen en vrouwen;0;1;3;26 september 2003 tot 24 september 2004;4.4;2.8;2.3;3.2;4.2;1.3
167;Totaal mannen en vrouwen;0;1;3;24 september 2004 tot 30 september 2005;3.0;2.4;2.0;3.1;6.1;1.3
168;Totaal mannen en vrouwen;0;1;3;30 september 2005 tot 29 september 2006;1.4;2.2;1.6;0.0;7.4;1.4
169;Totaal mannen en vrouwen;0;1;3;29 september 2006 tot 28 september 2007;2.4;1.9;1.2;2.8;7.7;1.5
170;Totaal mannen en vrouwen;0;1;3;28 september 2007 tot 26 september 2008;1.3;1.6;1.4;2.0;6.2;1.2
171;Totaal mannen en vrouwen;0;1;4;24 september 1999 tot 29 september 2000;16.6;10.0;5.4;4.7;18.6;7.7
172;Totaal mannen en vrouwen;0;1;4;29 september 2000 tot 28 september 2001;14.6;10.6;4.8;5.5;15.8;6.3
173;Totaal mannen en vrouwen;0;1;4;28 september 2001 tot 27 september 2002;13.7;14.8;4.9;5.5;15.7;5.0
174;Totaal mannen en vrouwen;0;1;4;27 september 2002 tot 26 september 2003;12.5;19.9;5.9;7.0;14.6;4.5
175;Totaal mannen en vrouwen;0;1;4;26 september 2003 tot 24 september 2004;12.0;21.0;5.9;8.2;18.3;4.5
176;Totaal mannen en vrouwen;0;1;4;24 september 2004 tot 30 september 2005;6.5;19.8;8.0;10.8;23.9;4.8
177;Totaal mannen en vrouwen;0;1;4;30 september 2005 tot 29 september 2006;9.1;20.5;7.8;0.0;26.4;10.6
178;Totaal mannen en vrouwen;0;1;4;29 september 2006 tot 28 september 2007;13.4;14.5;6.2;6.9;22.2;10.7
179;Totaal mannen en vrouwen;0;1;4;28 september 2007 tot 26 september 2008;12.8;9.8;5.0;2.9;19.6;9.5
180;Totaal mannen en vrouwen;0;1;5;24 september 1999 tot 29 september 2000;0.0;4.2;1.5;0.0;7.1;2.9
181;Totaal mannen en vrouwen;0;1;5;29 september 2000 tot 28 september 2001;0.0;4.7;1.4;0.0;6.5;2.7
182;Totaal mannen en vrouwen;0;1;5;28 september 2001 tot 27 september 2002;0.0;6.6;1.5;0.0;6.5;2.4
183;Totaal mannen en vrouwen;0;1;5;27 september 2002 tot 26 september 2003;0.0;10.0;1.8;0.0;6.3;2.3
184;Totaal mannen en vrouwen;0;1;5;26 september 2003 tot 24 september 2004;0.0;10.6;1.8;0.0;6.8;2.2
185;Totaal mannen en vrouwen;0;1;5;24 september 2004 tot 30 september 2005;0.0;10.5;2.0;0.0;7.8;2.2
186;Totaal mannen en vrouwen;0;1;5;30 september 2005 tot 29 september 2006;0.0;10.2;1.6;0.0;7.7;3.3
187;Totaal mannen en vrouwen;0;1;5;29 september 2006 tot 28 september 2007;0.0;6.1;1.1;0.0;8.4;3.4
188;Totaal mannen en vrouwen;0;1;5;28 september 2007 tot 26 september 2008;0.0;3.2;0.8;0.0;7.4;3.3
189;Totaal mannen en vrouwen;0;1;6;24 september 1999 tot 29 september 2000;0.8;0.0;1.6;1.3;0.0;0.4
190;Totaal mannen en vrouwen;0;1;6;29 september 2000 tot 28 september 2001;0.6;0.0;1.2;1.4;0.0;0.3
191;Totaal mannen en vrouwen;0;1;6;28 september 2001 tot 27 september 2002;0.6;0.0;1.0;1.6;0.0;0.4
192;Totaal mannen en vrouwen;0;1;6;27 september 2002 tot 26 september 2003;0.6;0.0;1.6;2.6;0.0;0.5
193;Totaal mannen en vrouwen;0;1;6;26 september 2003 tot 24 september 2004;0.7;0.0;2.0;3.5;0.0;0.6
194;Totaal mannen en vrouwen;0;1;6;24 september 2004 tot 30 september 2005;0.7;0.0;4.3;4.4;0.0;0.6
195;Totaal mannen en vrouwen;0;1;6;30 september 2005 tot 29 september 2006;0.7;0.0;4.4;0.0;0.0;0.7
196;Totaal mannen en vrouwen;0;1;6;29 september 2006 tot 28 september 2007;1.1;0.0;3.1;2.3;0.0;0.5
197;Totaal mannen en vrouwen;0;1;6;28 september 2007 tot 26 september 2008;1.2;0.0;2.0;0.7;0.0;0.4
198;Totaal mannen en vrouwen;0;1;7;24 september 1999 tot 29 september 2000;1.9;0.6;0.0;0.5;2.0;0.0
199;Totaal mannen en vrouwen;0;1;7;29 september 2000 tot 28 september 2001;1.9;0.5;0.0;0.5;1.5;0.0
200;Totaal mannen en vrouwen;0;1;7;28 september 2001 tot 27 september 2002;1.6;0.6;0.0;0.7;1.3;0.0
201;Totaal mannen en vrouwen;0;1;7;27 september 2002 tot 26 september 2003;1.6;0.9;0.0;0.8;1.7;0.0
202;Totaal mannen en vrouwen;0;1;7;26 september 2003 tot 24 september 2004;1.4;1.1;0.0;0.9;2.2;0.0
203;Totaal mannen en vrouwen;0;1;7;24 september 2004 tot 30 september 2005;1.3;1.1;0.0;1.1;4.7;0.0
204;Totaal mannen en vrouwen;0;1;7;30 september 2005 tot 29 september 2006;1.6;1.2;0.0;0.0;5.1;0.0
205;Totaal mannen en vrouwen;0;1;7;29 september 2006 tot 28 september 2007;2.4;0.8;0.0;0.5;3.6;0.0
206;Totaal mannen en vrouwen;0;1;7;28 september 2007 tot 26 september 2008;2.3;0.7;0.0;0.2;2.4;0.0
207;Totaal mannen en vrouwen;0;1;8;24 september 1999 tot 29 september 2000;14.6;6.3;2.6;3.2;12.8;4.7
208;Totaal mannen en vrouwen;0;1;8;29 september 2000 tot 28 september 2001;12.5;6.7;2.5;3.8;10.9;3.6
209;Totaal mannen en vrouwen;0;1;8;28 september 2001 tot 27 september 2002;11.8;9.5;2.7;3.5;11.0;2.6
210;Totaal mannen en vrouwen;0;1;8;27 september 2002 tot 26 september 2003;10.7;12.0;3.0;4.1;9.6;1.9
211;Totaal mannen en vrouwen;0;1;8;26 september 2003 tot 24 september 2004;10.3;12.8;2.6;4.5;12.9;2.0
212;Totaal mannen en vrouwen;0;1;8;24 september 2004 tot 30 september 2005;4.8;11.7;2.4;6.3;15.7;2.3
213;Totaal mannen en vrouwen;0;1;8;30 september 2005 tot 29 september 2006;7.1;13.3;2.5;0.0;17.9;7.5
214;Totaal mannen en vrouwen;0;1;8;29 september 2006 tot 28 september 2007;10.6;10.2;2.6;4.6;14.3;7.5
215;Totaal mannen en vrouwen;0;1;8;28 september 2007 tot 26 september 2008;9.8;7.4;2.6;2.1;13.0;6.5
216;Totaal mannen en vrouwen;0;1;9;24 september 1999 tot 29 september 2000;1.1;0.9;1.1;27.8;9.3;4.1
