ID;Persoonskenmerken;Perioden;EconomieEnFinancien_1;SocialeZekerheid_2;Politiek_3;Criminaliteit_4;Defensie_5;Gezondheidszorg_6;Onderwijs_7;InkomenEnPrijzen_8;Werkgelegenheid_9;VerkeerEnVervoer_10;Wonen_11;Milieu_12;Bevolking_13;Minderheden_14;WaardenEnNormen_15;Vrijetijdsbesteding_16
45;Migratieachtergrond: westers;2006;   12   ;   19   ;   14   ;   24   ;    1   ;   27   ;   16   ;   16   ;   11   ;   11   ;    3   ;    6   ;    5   ;   40   ;   16   ;    3   
46;Migratieachtergrond: westers;2010;   42   ;    8   ;   12   ;   22   ;    1   ;   14   ;    7   ;   10   ;   11   ;    3   ;    6   ;    3   ;    3   ;   28   ;   14   ;    0   
47;Migratieachtergrond: westers;2012;   39   ;   14   ;   11   ;   10   ;    2   ;   18   ;   17   ;   28   ;   18   ;    3   ;   11   ;    3   ;    2   ;   16   ;   14   ;    0   
48;Migratieachtergrond: niet-westers;2006;   12   ;   13   ;   13   ;   15   ;    2   ;   18   ;   11   ;   29   ;   10   ;    8   ;    3   ;    3   ;    1   ;   36   ;   17   ;    8   
49;Migratieachtergrond: niet-westers;2010;   43   ;    8   ;   16   ;   13   ;    2   ;   17   ;    7   ;   20   ;   17   ;    0   ;    7   ;    0   ;    1   ;   24   ;   17   ;    6   
50;Migratieachtergrond: niet-westers;2012;   46   ;   15   ;    9   ;   24   ;    1   ;   11   ;   15   ;   30   ;   18   ;    2   ;    6   ;    2   ;    1   ;   14   ;   12   ;    0   
51;Onderwijsniveau: basisonderwijs;2006;    7   ;   18   ;    7   ;   25   ;        ;   16   ;    2   ;   27   ;    5   ;    4   ;    9   ;    2   ;    1   ;   35   ;   17   ;    2   
52;Onderwijsniveau: basisonderwijs;2010;   22   ;    9   ;   20   ;   18   ;    1   ;   13   ;    1   ;    7   ;    7   ;    3   ;    3   ;    1   ;    2   ;   25   ;   15   ;    1   
53;Onderwijsniveau: basisonderwijs;2012;   41   ;   13   ;    7   ;   17   ;    2   ;   10   ;    1   ;   21   ;   21   ;    3   ;    4   ;    2   ;    2   ;   23   ;    6   ;    1   
54;Onderwijsniveau: lager beroepsonderwijs;2006;   12   ;   15   ;   16   ;   24   ;    2   ;   22   ;    3   ;   20   ;   13   ;    8   ;    4   ;    5   ;    2   ;   37   ;   14   ;    4   
55;Onderwijsniveau: lager beroepsonderwijs;2010;   34   ;   15   ;   16   ;   27   ;    0   ;   20   ;    7   ;   14   ;   14   ;    5   ;    8   ;    4   ;    2   ;   22   ;    9   ;    3   
56;Onderwijsniveau: lager beroepsonderwijs;2012;   38   ;   18   ;    9   ;   12   ;    0   ;   16   ;    8   ;   27   ;   22   ;    1   ;    6   ;    2   ;    1   ;   21   ;   12   ;    1   
57;Onderwijsniveau: avo onderbouw;2006;    7   ;   17   ;   10   ;   20   ;    2   ;   26   ;    9   ;   17   ;    8   ;    7   ;    3   ;    5   ;    3   ;   39   ;   20   ;    1   
58;Onderwijsniveau: avo onderbouw;2010;   26   ;   11   ;   14   ;   28   ;    1   ;   21   ;    5   ;   10   ;   13   ;    7   ;    6   ;    3   ;    1   ;   31   ;   16   ;    3   
59;Onderwijsniveau: avo onderbouw;2012;   37   ;   12   ;   10   ;   13   ;    0   ;   22   ;   12   ;   22   ;   17   ;    1   ;    7   ;    1   ;    1   ;    9   ;    8   ;    0   
60;Onderwijsniveau: havo, vwo, mbo;2006;   12   ;   15   ;   15   ;   21   ;    3   ;   23   ;   12   ;   20   ;    8   ;   13   ;    3   ;    8   ;    6   ;   36   ;   18   ;    3   
61;Onderwijsniveau: havo, vwo, mbo;2010;   39   ;   14   ;   19   ;   24   ;    1   ;   21   ;   11   ;   13   ;    9   ;    6   ;    8   ;    4   ;    2   ;   20   ;   14   ;    2   
62;Onderwijsniveau: havo, vwo, mbo;2012;   51   ;   14   ;   11   ;   15   ;    1   ;   19   ;   13   ;   23   ;   22   ;    2   ;    8   ;    3   ;    2   ;   14   ;   10   ;    0   
63;Onderwijsniveau: hbo, wo;2006;   15   ;   14   ;   17   ;   22   ;    4   ;   26   ;   21   ;   20   ;    8   ;   13   ;    3   ;   15   ;   10   ;   38   ;   27   ;    3   
64;Onderwijsniveau: hbo, wo;2010;   51   ;   10   ;   22   ;   15   ;    1   ;   20   ;   18   ;    8   ;    8   ;    7   ;    8   ;   11   ;    3   ;   22   ;   23   ;    2   
65;Onderwijsniveau: hbo, wo;2012;   55   ;   14   ;   19   ;    9   ;    1   ;   23   ;   15   ;   17   ;   19   ;    2   ;   15   ;    9   ;    4   ;   11   ;   17   ;    0   
66;Noord Nederland (LD);2006;   15   ;   14   ;   14   ;   15   ;    3   ;   24   ;   10   ;   27   ;   12   ;    6   ;    2   ;    6   ;    6   ;   33   ;   19   ;    4   
67;Noord Nederland (LD);2010;   40   ;   13   ;   21   ;   13   ;    1   ;   20   ;   10   ;   12   ;   13   ;    5   ;    7   ;    8   ;    3   ;   20   ;   14   ;    1   
68;Noord Nederland (LD);2012;   50   ;    9   ;   13   ;    8   ;    0   ;   17   ;   11   ;   15   ;   19   ;    1   ;   13   ;    2   ;    2   ;   10   ;    9   ;    0   
69;Oost Nederland (LD);2006;   13   ;   14   ;   16   ;   21   ;    4   ;   24   ;   11   ;   19   ;    6   ;   14   ;    3   ;    6   ;    5   ;   37   ;   18   ;    2   
70;Oost Nederland (LD);2010;   38   ;   12   ;   17   ;   23   ;    0   ;   20   ;    9   ;   11   ;   11   ;    8   ;    7   ;    3   ;    2   ;   21   ;   14   ;    2   
71;Oost Nederland (LD);2012;   50   ;   12   ;   11   ;   12   ;    0   ;   20   ;    9   ;   25   ;   21   ;    2   ;    9   ;    3   ;    3   ;   11   ;   13   ;    0   
72;West Nederland (LD);2006;   11   ;   15   ;   13   ;   24   ;    2   ;   22   ;   12   ;   20   ;    8   ;   11   ;    4   ;   10   ;    6   ;   39   ;   21   ;    3   
73;West Nederland (LD);2010;   39   ;   13   ;   19   ;   22   ;    1   ;   20   ;   12   ;   10   ;   10   ;    5   ;    8   ;    5   ;    2   ;   23   ;   16   ;    3   
74;West Nederland (LD);2012;   47   ;   16   ;   15   ;   17   ;    1   ;   20   ;   14   ;   21   ;   21   ;    2   ;    9   ;    6   ;    2   ;   16   ;   14   ;    0   
75;Zuid Nederland (LD);2006;   12   ;   17   ;   17   ;   22   ;    2   ;   25   ;   10   ;   20   ;   11   ;    9   ;    4   ;    7   ;    5   ;   31   ;   17   ;    4   
76;Zuid Nederland (LD);2010;   36   ;   11   ;   18   ;   26   ;    0   ;   19   ;    9   ;   12   ;    8   ;    4   ;    7   ;    5   ;    3   ;   22   ;   15   ;    2   
77;Zuid Nederland (LD);2012;   45   ;   16   ;   10   ;    7   ;    1   ;   19   ;    9   ;   26   ;   19   ;    2   ;    9   ;    2   ;    3   ;   17   ;    7   ;    1   
78;Stedelijkheid: zeer sterk stedelijk;2006;   13   ;   14   ;   13   ;   23   ;    2   ;   18   ;   11   ;   21   ;    7   ;    9   ;    4   ;    9   ;    4   ;   42   ;   20   ;    4   
79;Stedelijkheid: zeer sterk stedelijk;2010;   36   ;   12   ;   21   ;   18   ;    1   ;   21   ;   14   ;   12   ;    9   ;    5   ;    8   ;    5   ;    2   ;   25   ;   15   ;    3   
80;Stedelijkheid: zeer sterk stedelijk;2012;   46   ;   17   ;   15   ;   17   ;    1   ;   18   ;   16   ;   15   ;   20   ;    1   ;   13   ;    9   ;    2   ;   18   ;   15   ;    0   
81;Stedelijkheid: sterk stedelijk;2006;   12   ;   16   ;   17   ;   22   ;    3   ;   24   ;   12   ;   21   ;    8   ;   10   ;    4   ;    7   ;    6   ;   40   ;   20   ;    2   
82;Stedelijkheid: sterk stedelijk;2010;   40   ;   10   ;   16   ;   22   ;    0   ;   19   ;    8   ;   11   ;    9   ;    5   ;    7   ;    6   ;    3   ;   22   ;   17   ;    3   
83;Stedelijkheid: sterk stedelijk;2012;   49   ;   15   ;   12   ;   12   ;    1   ;   21   ;   11   ;   26   ;   20   ;    3   ;    8   ;    2   ;    2   ;   13   ;   11   ;    0   
84;Stedelijkheid: matig stedelijk;2006;   13   ;   15   ;   13   ;   21   ;    1   ;   25   ;   10   ;   21   ;   10   ;   11   ;    4   ;   10   ;    4   ;   34   ;   22   ;    3   
85;Stedelijkheid: matig stedelijk;2010;   39   ;   15   ;   20   ;   21   ;    2   ;   21   ;   13   ;   12   ;   11   ;    4   ;    9   ;    5   ;    1   ;   24   ;   16   ;    2   
86;Stedelijkheid: matig stedelijk;2012;   50   ;   15   ;   12   ;   11   ;    0   ;   19   ;    9   ;   25   ;   18   ;    1   ;    8   ;    2   ;    3   ;   11   ;   10   ;    0   
87;Stedelijkheid: weinig stedelijk;2006;   11   ;   16   ;   14   ;   22   ;    4   ;   24   ;   10   ;   20   ;    9   ;   12   ;    3   ;    7   ;    6   ;   32   ;   16   ;    3   
88;Stedelijkheid: weinig stedelijk;2010;   38   ;   11   ;   20   ;   26   ;    1   ;   20   ;    8   ;   10   ;   11   ;    6   ;    5   ;    5   ;    3   ;   22   ;   15   ;    2   
89;Stedelijkheid: weinig stedelijk;2012;   50   ;   12   ;   11   ;   10   ;    0   ;   22   ;   11   ;   23   ;   21   ;    1   ;    9   ;    4   ;    3   ;   13   ;   12   ;    0   
90;Stedelijkheid: niet stedelijk;2006;   13   ;   13   ;   15   ;   22   ;    1   ;   26   ;   12   ;   20   ;    9   ;   11   ;    3   ;    6   ;    9   ;   34   ;   19   ;    2   
91;Stedelijkheid: niet stedelijk;2010;   37   ;   15   ;   19   ;   22   ;    0   ;   17   ;    9   ;   10   ;    9   ;    8   ;    8   ;    5   ;    2   ;   17   ;   13   ;    0   
92;Stedelijkheid: niet stedelijk;2012;   38   ;   13   ;   13   ;   14   ;    1   ;   14   ;   10   ;   19   ;   22   ;    2   ;    9   ;    3   ;    2   ;   18   ;    9   ;    0   
93;CDA;2006;    9   ;   14   ;   14   ;   27   ;    3   ;   25   ;   11   ;   18   ;    8   ;   13   ;    4   ;    8   ;    6   ;   35   ;   22   ;    4   
94;CDA;2010;   34   ;   13   ;   25   ;   24   ;    0   ;   16   ;    8   ;    9   ;   10   ;    5   ;    7   ;    5   ;    2   ;   17   ;   19   ;    2   
95;CDA;2012;   45   ;   11   ;    9   ;   21   ;    1   ;   20   ;    8   ;   17   ;   22   ;    3   ;    9   ;    1   ;    2   ;   10   ;   16   ;    0   
96;PvdA;2006;   10   ;   17   ;   13   ;   20   ;    2   ;   27   ;   14   ;   25   ;    7   ;    7   ;    3   ;    6   ;    6   ;   36   ;   17   ;    2   
97;PvdA;2010;   36   ;   11   ;   21   ;   18   ;    2   ;   21   ;   11   ;   12   ;   11   ;    2   ;    8   ;    5   ;    1   ;   20   ;   17   ;    3   
98;PvdA;2012;   46   ;   17   ;   13   ;    9   ;    0   ;   23   ;   15   ;   26   ;   22   ;    2   ;    9   ;    7   ;    2   ;   11   ;   15   ;    1   
99;VVD;2006;   13   ;   13   ;   15   ;   26   ;    2   ;   24   ;   17   ;   13   ;    6   ;   15   ;    4   ;   10   ;    9   ;   43   ;   20   ;    3   
100;VVD;2010;   49   ;   13   ;   20   ;   24   ;    1   ;   18   ;   10   ;    9   ;    9   ;    7   ;   11   ;    4   ;    1   ;   24   ;   16   ;    2   
101;VVD;2012;   54   ;   14   ;   18   ;   19   ;    1   ;   22   ;   14   ;   17   ;   25   ;    2   ;   12   ;    3   ;    3   ;   13   ;    9   ;    1   
102;GroenLinks;2006;   16   ;   13   ;   13   ;   12   ;    3   ;   23   ;   22   ;   21   ;   11   ;   11   ;    4   ;   37   ;   10   ;   34   ;   27   ;    4   
103;GroenLinks;2010;   42   ;   11   ;   17   ;   11   ;    2   ;   19   ;   19   ;    8   ;   10   ;    6   ;    6   ;   19   ;    5   ;   19   ;   25   ;    3   
104;GroenLinks;2012;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   
105;SP;2006;   16   ;   19   ;   16   ;   20   ;    2   ;   27   ;   13   ;   27   ;    8   ;    8   ;    4   ;    7   ;    4   ;   38   ;   19   ;    2   
106;SP;2010;   44   ;   17   ;   14   ;   18   ;    2   ;   26   ;   11   ;   13   ;   11   ;    3   ;   11   ;    4   ;    1   ;   16   ;   15   ;    1   
107;SP;2012;   47   ;   17   ;   11   ;   10   ;    0   ;   24   ;   15   ;   32   ;   17   ;    1   ;    9   ;    3   ;    2   ;   13   ;    5   ;    0   
108;ChristenUnie;2006;    8   ;   12   ;   16   ;   28   ;    3   ;   22   ;    9   ;   17   ;    5   ;    9   ;    3   ;    8   ;    6   ;   34   ;   37   ;    6   
109;ChristenUnie;2010;   45   ;   14   ;   22   ;   16   ;    0   ;   19   ;   21   ;    8   ;    8   ;    4   ;    5   ;    8   ;    3   ;   27   ;   21   ;    2   
110;ChristenUnie;2012;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   ;    X   
111;D66;2006;        ;        ;        ;        ;        ;        ;        ;        ;        ;        ;        ;        ;        ;        ;        ;        
112;D66;2010;   46   ;   10   ;   18   ;   18   ;    2   ;   21   ;   10   ;    9   ;    9   ;    6   ;    5   ;    4   ;    1   ;   28   ;   25   ;    3   
113;D66;2012;   57   ;   13   ;   21   ;    4   ;    1   ;   23   ;   25   ;   12   ;   21   ;    2   ;   17   ;    8   ;    4   ;    7   ;   15   ;    0   
114;PVV;2006;   15   ;   16   ;   19   ;   28   ;    1   ;   12   ;    5   ;   19   ;   13   ;    8   ;    1   ;    5   ;    3   ;   53   ;   22   ;    2   
115;PVV;2010;   31   ;   13   ;   17   ;   27   ;    1   ;   20   ;    6   ;   10   ;    9   ;    6   ;    8   ;    3   ;    3   ;   37   ;   10   ;    2   
116;PVV;2012;   43   ;   19   ;   14   ;   10   ;    0   ;   13   ;    1   ;   27   ;   22   ;    3   ;    5   ;    2   ;    2   ;   28   ;    5   ;    0   
117;Overige partij;2006;   14   ;   14   ;   14   ;   22   ;    3   ;   24   ;   14   ;   10   ;    5   ;   15   ;    4   ;   17   ;    8   ;   33   ;   24   ;    3   
118;Overige partij;2010;   40   ;   10   ;   11   ;   23   ;    0   ;   23   ;   11   ;    8   ;    9   ;    7   ;    7   ;   17   ;    1   ;   26   ;   20   ;    2   
119;Overige partij;2012;   47   ;   22   ;   18   ;   14   ;    0   ;   19   ;    8   ;   21   ;   13   ;    3   ;    4   ;   13   ;    2   ;   19   ;   20   ;    0   
120;Niet gestemd;2006;   14   ;   16   ;   15   ;   16   ;    3   ;   18   ;    3   ;   23   ;   12   ;   11   ;    4   ;    2   ;    3   ;   32   ;   13   ;    3   
121;Niet gestemd;2010;   33   ;   11   ;   16   ;   25   ;    0   ;   20   ;    9   ;   14   ;   11   ;    7   ;    4   ;    3   ;    4   ;   18   ;   10   ;    2   
122;Niet gestemd;2012;   44   ;   11   ;    7   ;   13   ;    1   ;   14   ;    7   ;   23   ;   16   ;    1   ;    8   ;    1   ;    2   ;   17   ;    9   ;    0   
