ID;GeboortegeneratieVrouw;GemiddeldKindertalPerVrouw_1;KinderlozeVrouwen_2;VrouwenMet1Kind_3;VrouwenMet2Kinderen_4;VrouwenMet3OfMeerKinderen_5;LeeftijdMoederBijGeboorte1eKind_6
67;2002;1.7;22.0;16.0;41.0;21.0;30.6
68;2003;1.7;22.0;16.0;41.0;21.0;30.6
69;2004;1.7;22.0;16.0;41.0;21.0;30.6
70;2005;1.7;22.0;16.0;41.0;21.0;30.6
71;2006;1.7;22.0;16.0;41.0;21.0;30.6
72;2007;1.7;22.0;16.0;41.0;21.0;30.6
73;2008;1.7;22.0;16.0;41.0;21.0;30.6
74;2009;1.7;22.0;16.0;41.0;21.0;30.6
75;2010;1.7;22.0;16.0;41.0;21.0;30.6
76;2011;1.7;22.0;16.0;41.0;21.0;30.6
77;2012;1.7;22.0;16.0;41.0;21.0;30.6
78;2013;1.7;22.0;16.0;41.0;21.0;30.6
79;2014;1.7;22.0;16.0;41.0;21.0;30.6
80;2015;1.7;22.0;16.0;41.0;21.0;30.6
81;2016;1.7;22.0;16.0;41.0;21.0;30.6
82;2017;1.7;22.0;16.0;41.0;21.0;30.6
83;2018;1.7;22.0;16.0;41.0;21.0;30.6
84;2019;1.7;22.0;16.0;41.0;21.0;30.6
85;2020;1.7;22.0;16.0;41.0;21.0;30.6
86;2021;1.7;22.0;16.0;41.0;21.0;30.6
87;2022;1.7;22.0;16.0;41.0;21.0;30.6
88;2023;1.7;22.0;16.0;41.0;21.0;30.6
89;2024;1.7;22.0;16.0;41.0;21.0;30.6
90;2025;1.7;22.0;16.0;41.0;21.0;30.6
91;2026;1.7;22.0;16.0;41.0;21.0;30.6
92;2027;1.7;22.0;16.0;41.0;21.0;30.6
93;2028;1.7;22.0;16.0;41.0;21.0;30.6
94;2029;1.7;22.0;16.0;41.0;21.0;30.6
95;2030;1.7;22.0;16.0;41.0;21.0;30.6
