ID;Sex;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;Jobs_2;FullTimeEquivalentFte_3;HoursWorked_4
129;Total male and female;Total;03 Fishing and aquaculture;2012;3.0;3.0;3.0;6.0
130;Total male and female;Total;03 Fishing and aquaculture;2013;3.0;3.0;3.0;6.0
131;Total male and female;Total;03 Fishing and aquaculture;2014;3.0;3.0;3.0;6.0
132;Total male and female;Total;03 Fishing and aquaculture;2015;3.0;3.0;3.0;6.0
133;Total male and female;Total;03 Fishing and aquaculture;2016;3.0;3.0;2.0;6.0
134;Total male and female;Total;03 Fishing and aquaculture;2017;3.0;3.0;3.0;6.0
135;Total male and female;Total;03 Fishing and aquaculture;2018;3.0;3.0;3.0;6.0
136;Total male and female;Total;03 Fishing and aquaculture;2019;3.0;3.0;3.0;6.0
137;Total male and female;Total;03 Fishing and aquaculture;2020;3.0;3.0;3.0;6.0
138;Total male and female;Total;03 Fishing and aquaculture;2021;3.0;3.0;3.0;6.0
139;Total male and female;Total;03 Fishing and aquaculture;2022;3.0;3.0;3.0;6.0
140;Total male and female;Total;B Mining and quarrying;1995;12.0;12.0;11.0;20.0
141;Total male and female;Total;B Mining and quarrying;1996;12.0;12.0;11.0;21.0
142;Total male and female;Total;B Mining and quarrying;1997;12.0;12.0;11.0;20.0
143;Total male and female;Total;B Mining and quarrying;1998;12.0;12.0;11.0;21.0
144;Total male and female;Total;B Mining and quarrying;1999;11.0;11.0;11.0;20.0
145;Total male and female;Total;B Mining and quarrying;2000;11.0;11.0;10.0;19.0
146;Total male and female;Total;B Mining and quarrying;2001;10.0;10.0;10.0;19.0
147;Total male and female;Total;B Mining and quarrying;2002;11.0;11.0;11.0;20.0
148;Total male and female;Total;B Mining and quarrying;2003;11.0;11.0;10.0;19.0
149;Total male and female;Total;B Mining and quarrying;2004;10.0;10.0;10.0;18.0
150;Total male and female;Total;B Mining and quarrying;2005;9.0;9.0;8.0;15.0
151;Total male and female;Total;B Mining and quarrying;2006;8.0;8.0;8.0;15.0
152;Total male and female;Total;B Mining and quarrying;2007;8.0;8.0;8.0;14.0
153;Total male and female;Total;B Mining and quarrying;2008;8.0;9.0;8.0;15.0
154;Total male and female;Total;B Mining and quarrying;2009;9.0;9.0;8.0;15.0
155;Total male and female;Total;B Mining and quarrying;2010;9.0;9.0;8.0;15.0
156;Total male and female;Total;B Mining and quarrying;2011;9.0;9.0;9.0;16.0
157;Total male and female;Total;B Mining and quarrying;2012;9.0;9.0;9.0;16.0
158;Total male and female;Total;B Mining and quarrying;2013;10.0;10.0;10.0;18.0
159;Total male and female;Total;B Mining and quarrying;2014;11.0;11.0;10.0;20.0
160;Total male and female;Total;B Mining and quarrying;2015;11.0;11.0;10.0;20.0
161;Total male and female;Total;B Mining and quarrying;2016;10.0;10.0;10.0;19.0
162;Total male and female;Total;B Mining and quarrying;2017;8.0;9.0;8.0;16.0
163;Total male and female;Total;B Mining and quarrying;2018;8.0;8.0;8.0;15.0
164;Total male and female;Total;B Mining and quarrying;2019;8.0;8.0;8.0;15.0
165;Total male and female;Total;B Mining and quarrying;2020;8.0;8.0;8.0;14.0
166;Total male and female;Total;B Mining and quarrying;2021;7.0;8.0;7.0;13.0
167;Total male and female;Total;B Mining and quarrying;2022;8.0;8.0;7.0;14.0
168;Total male and female;Total;B-E Industry (no construction), energy;1995;998.0;1024.0;932.0;1665.0
169;Total male and female;Total;B-E Industry (no construction), energy;1996;983.0;1009.0;922.0;1665.0
170;Total male and female;Total;B-E Industry (no construction), energy;1997;995.0;1021.0;931.0;1671.0
171;Total male and female;Total;B-E Industry (no construction), energy;1998;1002.0;1030.0;939.0;1687.0
172;Total male and female;Total;B-E Industry (no construction), energy;1999;1002.0;1032.0;935.0;1683.0
173;Total male and female;Total;B-E Industry (no construction), energy;2000;1005.0;1034.0;933.0;1662.0
174;Total male and female;Total;B-E Industry (no construction), energy;2001;1007.0;1033.0;936.0;1663.0
175;Total male and female;Total;B-E Industry (no construction), energy;2002;987.0;1012.0;916.0;1622.0
176;Total male and female;Total;B-E Industry (no construction), energy;2003;956.0;979.0;886.0;1572.0
177;Total male and female;Total;B-E Industry (no construction), energy;2004;926.0;952.0;857.0;1538.0
178;Total male and female;Total;B-E Industry (no construction), energy;2005;909.0;935.0;839.0;1497.0
179;Total male and female;Total;B-E Industry (no construction), energy;2006;902.0;930.0;832.0;1481.0
180;Total male and female;Total;B-E Industry (no construction), energy;2007;902.0;930.0;832.0;1481.0
181;Total male and female;Total;B-E Industry (no construction), energy;2008;906.0;935.0;834.0;1480.0
182;Total male and female;Total;B-E Industry (no construction), energy;2009;883.0;912.0;812.0;1418.0
183;Total male and female;Total;B-E Industry (no construction), energy;2010;861.0;891.0;793.0;1405.0
184;Total male and female;Total;B-E Industry (no construction), energy;2011;856.0;886.0;784.0;1400.0
185;Total male and female;Total;B-E Industry (no construction), energy;2012;846.0;877.0;776.0;1378.0
186;Total male and female;Total;B-E Industry (no construction), energy;2013;834.0;864.0;766.0;1372.0
187;Total male and female;Total;B-E Industry (no construction), energy;2014;829.0;860.0;760.0;1373.0
188;Total male and female;Total;B-E Industry (no construction), energy;2015;831.0;862.0;764.0;1369.0
189;Total male and female;Total;B-E Industry (no construction), energy;2016;833.0;865.0;768.0;1380.0
190;Total male and female;Total;B-E Industry (no construction), energy;2017;839.0;872.0;775.0;1385.0
191;Total male and female;Total;B-E Industry (no construction), energy;2018;856.0;890.0;789.0;1406.0
192;Total male and female;Total;B-E Industry (no construction), energy;2019;875.0;908.0;806.0;1438.0
193;Total male and female;Total;B-E Industry (no construction), energy;2020;874.0;907.0;806.0;1383.0
194;Total male and female;Total;B-E Industry (no construction), energy;2021;875.0;909.0;806.0;1415.0
195;Total male and female;Total;B-E Industry (no construction), energy;2022;893.0;929.0;822.0;1433.0
196;Total male and female;Total;C Manufacturing;1995;932.0;958.0;869.0;1551.0
197;Total male and female;Total;C Manufacturing;1996;918.0;944.0;859.0;1553.0
198;Total male and female;Total;C Manufacturing;1997;931.0;956.0;869.0;1562.0
199;Total male and female;Total;C Manufacturing;1998;937.0;965.0;877.0;1577.0
200;Total male and female;Total;C Manufacturing;1999;939.0;967.0;873.0;1573.0
201;Total male and female;Total;C Manufacturing;2000;943.0;970.0;872.0;1555.0
202;Total male and female;Total;C Manufacturing;2001;941.0;966.0;872.0;1550.0
203;Total male and female;Total;C Manufacturing;2002;919.0;943.0;851.0;1506.0
204;Total male and female;Total;C Manufacturing;2003;889.0;911.0;821.0;1457.0
205;Total male and female;Total;C Manufacturing;2004;860.0;885.0;795.0;1426.0
206;Total male and female;Total;C Manufacturing;2005;844.0;869.0;778.0;1386.0
207;Total male and female;Total;C Manufacturing;2006;839.0;865.0;772.0;1372.0
208;Total male and female;Total;C Manufacturing;2007;838.0;865.0;771.0;1371.0
209;Total male and female;Total;C Manufacturing;2008;841.0;868.0;772.0;1368.0
210;Total male and female;Total;C Manufacturing;2009;817.0;844.0;750.0;1304.0
211;Total male and female;Total;C Manufacturing;2010;793.0;822.0;729.0;1289.0
212;Total male and female;Total;C Manufacturing;2011;787.0;815.0;719.0;1283.0
213;Total male and female;Total;C Manufacturing;2012;778.0;807.0;712.0;1263.0
214;Total male and female;Total;C Manufacturing;2013;764.0;793.0;700.0;1252.0
215;Total male and female;Total;C Manufacturing;2014;759.0;788.0;694.0;1251.0
216;Total male and female;Total;C Manufacturing;2015;760.0;790.0;698.0;1248.0
217;Total male and female;Total;C Manufacturing;2016;764.0;793.0;703.0;1260.0
218;Total male and female;Total;C Manufacturing;2017;770.0;801.0;710.0;1264.0
219;Total male and female;Total;C Manufacturing;2018;786.0;818.0;723.0;1282.0
220;Total male and female;Total;C Manufacturing;2019;803.0;835.0;739.0;1315.0
221;Total male and female;Total;C Manufacturing;2020;801.0;832.0;738.0;1259.0
222;Total male and female;Total;C Manufacturing;2021;800.0;832.0;737.0;1288.0
223;Total male and female;Total;C Manufacturing;2022;814.0;847.0;750.0;1303.0
224;Total male and female;Total;10-12 Manufacture of food and beverages;1995;155.0;161.0;139.0;248.0
225;Total male and female;Total;10-12 Manufacture of food and beverages;1996;148.0;152.0;132.0;241.0
226;Total male and female;Total;10-12 Manufacture of food and beverages;1997;150.0;155.0;133.0;243.0
227;Total male and female;Total;10-12 Manufacture of food and beverages;1998;150.0;155.0;132.0;238.0
228;Total male and female;Total;10-12 Manufacture of food and beverages;1999;152.0;156.0;131.0;239.0
229;Total male and female;Total;10-12 Manufacture of food and beverages;2000;152.0;156.0;131.0;237.0
230;Total male and female;Total;10-12 Manufacture of food and beverages;2001;149.0;154.0;131.0;237.0
231;Total male and female;Total;10-12 Manufacture of food and beverages;2002;146.0;151.0;127.0;228.0
232;Total male and female;Total;10-12 Manufacture of food and beverages;2003;141.0;146.0;123.0;220.0
233;Total male and female;Total;10-12 Manufacture of food and beverages;2004;135.0;142.0;119.0;214.0
234;Total male and female;Total;10-12 Manufacture of food and beverages;2005;133.0;139.0;116.0;209.0
235;Total male and female;Total;10-12 Manufacture of food and beverages;2006;131.0;138.0;115.0;207.0
236;Total male and female;Total;10-12 Manufacture of food and beverages;2007;129.0;136.0;113.0;202.0
237;Total male and female;Total;10-12 Manufacture of food and beverages;2008;130.0;137.0;114.0;202.0
238;Total male and female;Total;10-12 Manufacture of food and beverages;2009;131.0;138.0;114.0;203.0
239;Total male and female;Total;10-12 Manufacture of food and beverages;2010;130.0;139.0;115.0;205.0
240;Total male and female;Total;10-12 Manufacture of food and beverages;2011;127.0;135.0;111.0;199.0
241;Total male and female;Total;10-12 Manufacture of food and beverages;2012;128.0;137.0;112.0;200.0
242;Total male and female;Total;10-12 Manufacture of food and beverages;2013;128.0;136.0;112.0;202.0
243;Total male and female;Total;10-12 Manufacture of food and beverages;2014;128.0;137.0;113.0;204.0
244;Total male and female;Total;10-12 Manufacture of food and beverages;2015;128.0;137.0;113.0;203.0
245;Total male and female;Total;10-12 Manufacture of food and beverages;2016;130.0;139.0;115.0;207.0
246;Total male and female;Total;10-12 Manufacture of food and beverages;2017;132.0;142.0;117.0;210.0
247;Total male and female;Total;10-12 Manufacture of food and beverages;2018;135.0;144.0;119.0;212.0
248;Total male and female;Total;10-12 Manufacture of food and beverages;2019;139.0;148.0;123.0;219.0
249;Total male and female;Total;10-12 Manufacture of food and beverages;2020;141.0;151.0;126.0;220.0
250;Total male and female;Total;10-12 Manufacture of food and beverages;2021;140.0;150.0;125.0;219.0
251;Total male and female;Total;10-12 Manufacture of food and beverages;2022;142.0;153.0;127.0;220.0
252;Total male and female;Total;13-15 Man. of textile-, leatherproducts;1995;37.0;39.0;32.0;58.0
253;Total male and female;Total;13-15 Man. of textile-, leatherproducts;1996;33.0;35.0;30.0;54.0
254;Total male and female;Total;13-15 Man. of textile-, leatherproducts;1997;34.0;35.0;30.0;54.0
255;Total male and female;Total;13-15 Man. of textile-, leatherproducts;1998;31.0;33.0;28.0;50.0
256;Total male and female;Total;13-15 Man. of textile-, leatherproducts;1999;30.0;32.0;27.0;48.0
257;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2000;30.0;31.0;26.0;46.0
258;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2001;29.0;30.0;25.0;45.0
259;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2002;27.0;28.0;23.0;41.0
260;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2003;25.0;26.0;22.0;39.0
261;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2004;22.0;23.0;19.0;36.0
262;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2005;21.0;22.0;18.0;33.0
263;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2006;21.0;22.0;18.0;32.0
264;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2007;20.0;21.0;17.0;31.0
265;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2008;19.0;21.0;17.0;30.0
266;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2009;18.0;19.0;16.0;28.0
267;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2010;17.0;19.0;15.0;27.0
268;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2011;17.0;19.0;15.0;27.0
269;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2012;17.0;19.0;15.0;27.0
270;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2013;17.0;19.0;15.0;27.0
271;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2014;17.0;18.0;15.0;27.0
272;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2015;17.0;18.0;15.0;27.0
273;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2016;17.0;18.0;15.0;27.0
274;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2017;17.0;18.0;15.0;26.0
275;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2018;17.0;19.0;15.0;27.0
276;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2019;17.0;19.0;15.0;28.0
277;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2020;17.0;19.0;15.0;26.0
278;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2021;17.0;19.0;15.0;27.0
279;Total male and female;Total;13-15 Man. of textile-, leatherproducts;2022;17.0;19.0;15.0;26.0
280;Total male and female;Total;16-18 Man. wood en paperprod., printing;1995;110.0;114.0;96.0;172.0
281;Total male and female;Total;16-18 Man. wood en paperprod., printing;1996;105.0;110.0;95.0;172.0
282;Total male and female;Total;16-18 Man. wood en paperprod., printing;1997;104.0;110.0;93.0;170.0
283;Total male and female;Total;16-18 Man. wood en paperprod., printing;1998;100.0;106.0;93.0;169.0
284;Total male and female;Total;16-18 Man. wood en paperprod., printing;1999;97.0;103.0;90.0;165.0
285;Total male and female;Total;16-18 Man. wood en paperprod., printing;2000;96.0;101.0;89.0;161.0
286;Total male and female;Total;16-18 Man. wood en paperprod., printing;2001;95.0;98.0;88.0;158.0
287;Total male and female;Total;16-18 Man. wood en paperprod., printing;2002;91.0;94.0;84.0;149.0
288;Total male and female;Total;16-18 Man. wood en paperprod., printing;2003;88.0;91.0;81.0;141.0
289;Total male and female;Total;16-18 Man. wood en paperprod., printing;2004;85.0;87.0;78.0;138.0
290;Total male and female;Total;16-18 Man. wood en paperprod., printing;2005;82.0;85.0;75.0;133.0
291;Total male and female;Total;16-18 Man. wood en paperprod., printing;2006;80.0;83.0;73.0;130.0
292;Total male and female;Total;16-18 Man. wood en paperprod., printing;2007;79.0;82.0;73.0;128.0
293;Total male and female;Total;16-18 Man. wood en paperprod., printing;2008;77.0;80.0;71.0;124.0
294;Total male and female;Total;16-18 Man. wood en paperprod., printing;2009;70.0;73.0;65.0;113.0
295;Total male and female;Total;16-18 Man. wood en paperprod., printing;2010;65.0;68.0;60.0;105.0
296;Total male and female;Total;16-18 Man. wood en paperprod., printing;2011;62.0;65.0;57.0;101.0
297;Total male and female;Total;16-18 Man. wood en paperprod., printing;2012;59.0;61.0;54.0;95.0
298;Total male and female;Total;16-18 Man. wood en paperprod., printing;2013;56.0;58.0;51.0;91.0
299;Total male and female;Total;16-18 Man. wood en paperprod., printing;2014;53.0;55.0;48.0;87.0
300;Total male and female;Total;16-18 Man. wood en paperprod., printing;2015;51.0;54.0;47.0;85.0
301;Total male and female;Total;16-18 Man. wood en paperprod., printing;2016;52.0;54.0;48.0;86.0
302;Total male and female;Total;16-18 Man. wood en paperprod., printing;2017;51.0;54.0;47.0;84.0
303;Total male and female;Total;16-18 Man. wood en paperprod., printing;2018;51.0;53.0;47.0;83.0
304;Total male and female;Total;16-18 Man. wood en paperprod., printing;2019;51.0;53.0;47.0;83.0
305;Total male and female;Total;16-18 Man. wood en paperprod., printing;2020;51.0;53.0;47.0;79.0
306;Total male and female;Total;16-18 Man. wood en paperprod., printing;2021;51.0;53.0;47.0;82.0
307;Total male and female;Total;16-18 Man. wood en paperprod., printing;2022;52.0;54.0;48.0;82.0
308;Total male and female;Total;16 Manufacture of wood products;1995;21.0;22.0;21.0;38.0
309;Total male and female;Total;16 Manufacture of wood products;1996;21.0;22.0;21.0;39.0
310;Total male and female;Total;16 Manufacture of wood products;1997;22.0;23.0;22.0;41.0
311;Total male and female;Total;16 Manufacture of wood products;1998;23.0;24.0;23.0;43.0
312;Total male and female;Total;16 Manufacture of wood products;1999;23.0;24.0;23.0;41.0
313;Total male and female;Total;16 Manufacture of wood products;2000;23.0;24.0;23.0;41.0
314;Total male and female;Total;16 Manufacture of wood products;2001;23.0;23.0;21.0;40.0
315;Total male and female;Total;16 Manufacture of wood products;2002;22.0;22.0;21.0;37.0
316;Total male and female;Total;16 Manufacture of wood products;2003;20.0;21.0;19.0;33.0
317;Total male and female;Total;16 Manufacture of wood products;2004;20.0;20.0;19.0;33.0
318;Total male and female;Total;16 Manufacture of wood products;2005;20.0;20.0;18.0;33.0
319;Total male and female;Total;16 Manufacture of wood products;2006;19.0;20.0;18.0;32.0
