ID;Geslacht;Leeftijden;BurgerlijkeStaat;Migratieachtergrond;Woonland;Perioden;AOWUitkeringenTotaal_1;AOWUitkeringenVolledig_2;AOWUitkeringenGekort_3
116;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 juli;3361700;2726430;635280
117;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 augustus;3368250;2731720;636530
118;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 september;3376140;2738180;637960
119;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 oktober;3383710;2744480;639230
120;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 november;3391090;2750420;640670
121;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2016 december;3397630;2755810;641830
122;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 januari;3384400;2744110;640290
123;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 februari;3370130;2731700;638420
124;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 maart;3358310;2721640;636670
125;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 april;3366840;2727990;638850
126;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 mei;3372300;2732470;639830
127;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 juni;3378910;2738040;640870
128;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 juli;3386300;2744150;642150
129;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 augustus;3391460;2748360;643100
130;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 september;3398600;2754420;644180
131;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 oktober;3405870;2759900;645960
132;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 november;3413690;2766330;647350
133;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2017 december;3422100;2773100;649000
134;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 januari;3408010;2760710;647300
135;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 februari;3395680;2750150;645540
136;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 maart;3380260;2736800;643460
137;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 april;3385960;2741830;644130
138;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 mei;3393170;2747980;645190
139;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 juni;3400100;2753910;646200
140;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 juli;3409190;2760330;648860
141;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 augustus;3417610;2767310;650290
142;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 september;3425230;2773810;651420
143;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 oktober;3431540;2778980;652560
144;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 november;3437240;2783640;653600
145;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal landen;2018 december;3444930;2790050;654880
146;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2006 november;2364960;2175470;189490
147;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2006 december;2368400;2178080;190320
148;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 januari;2369800;2178430;191370
149;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 februari;2371280;2178970;192310
150;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 maart;2375190;2181780;193410
151;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 april;2379960;2185470;194490
152;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 mei;2384560;2188940;195610
153;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 juni;2388150;2191620;196540
154;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 juli;2394140;2195040;199110
155;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 augustus;2398280;2198270;200010
156;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 september;2403670;2202680;201000
157;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 oktober;2408710;2206780;201930
158;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 november;2411190;2208450;202730
159;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2007 december;2414990;2211440;203550
160;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 januari;2416500;2212000;204500
161;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 februari;2419480;2214070;205420
162;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 maart;2424910;2218300;206610
163;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 april;2428110;2220600;207510
164;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 mei;2432140;2223640;208490
165;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 juni;2437280;2227900;209390
166;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 juli;2443650;2231990;211660
167;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 augustus;2449270;2236630;212630
168;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 september;2455140;2241510;213630
169;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 oktober;2461120;2246490;214640
170;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 november;2465710;2250140;215570
171;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2008 december;2471990;2255290;216690
172;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 januari;2474340;2256520;217830
173;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 februari;2477100;2258350;218750
174;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 maart;2483600;2263640;219960
175;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 april;2489210;2268110;221100
176;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 mei;2495440;2273250;222180
177;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 juni;2499980;2276730;223250
178;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 juli;2508090;2282490;225600
179;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 augustus;2515430;2288260;227170
180;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 september;2522210;2294040;228170
181;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 oktober;2527510;2298580;228920
182;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 november;2531650;2301800;229850
183;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2009 december;2538250;2307270;230980
184;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 januari;2541650;2309460;232190
185;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 februari;2546390;2313000;233390
186;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 maart;2553600;2318840;234760
187;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 april;2560680;2324650;236030
188;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 mei;2567220;2329980;237240
189;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 juni;2571290;2333110;238180
190;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 juli;2577020;2336660;240360
191;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 augustus;2582420;2341000;241430
192;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 september;2586090;2343730;242360
193;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 oktober;2589130;2345870;243260
194;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 november;2591230;2347180;244050
195;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2010 december;2594410;2349520;244900
196;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 januari;2597790;2351610;246180
197;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 februari;2604450;2357060;247390
198;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 maart;2617390;2368400;248990
199;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 april;2630060;2379630;250430
200;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 mei;2642610;2390710;251910
201;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 juni;2653930;2400610;253330
202;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 juli;2667910;2411900;256010
203;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 augustus;2679190;2421820;257370
204;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 september;2689290;2430580;258710
205;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 oktober;2699290;2439130;260160
206;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 november;2707220;2445840;261380
207;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2011 december;2716850;2454190;262660
208;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 januari;2724950;2460810;264140
209;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 februari;2732020;2466640;265380
210;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 maart;2741740;2474730;267010
211;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 april;2750440;2481960;268480
212;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 mei;2761640;2491660;269990
213;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 juni;2769670;2498470;271200
214;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 juli;2780410;2506690;273730
215;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 augustus;2790220;2515090;275130
216;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 september;2798520;2522120;276400
217;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 oktober;2807270;2529600;277670
218;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 november;2814340;2535510;278830
219;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2012 december;2824040;2544020;280020
220;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2013 januari;2812220;2532990;279230
221;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederland;2013 februari;2818930;2538290;280650
