ID;Benefits;Periods;SocialBenefits_1
126;Disability Benefits Act (WAO);2013;5697
127;Disability Benefits Act (WAO);2014;5291
128;Disability Benefits Act (WAO);2015;4892
129;Disability Benefits Act (WAO);2016;4537
130;Disability Benefits Act (WAO);2017;4299
131;Disability Benefits Act (WAO);2018;4074
132;Disability Benefits Act (WAO);2019;3885
133;Disability Benefits Act (WAO);2020;3628
134;Disability Benefits Act (WAO);2021;3321
135;General Disability Benefits Act (AAW);1995;5735
136;General Disability Benefits Act (AAW);1996;5672
137;General Disability Benefits Act (AAW);1997;6151
138;General Disability Benefits Act (AAW);1998;47
139;General Disability Benefits Act (AAW);1999;15
140;General Disability Benefits Act (AAW);2000;0
141;General Disability Benefits Act (AAW);2001;0
142;General Disability Benefits Act (AAW);2002;0
143;General Disability Benefits Act (AAW);2003;0
144;General Disability Benefits Act (AAW);2004;0
145;General Disability Benefits Act (AAW);2005;0
146;General Disability Benefits Act (AAW);2006;0
147;General Disability Benefits Act (AAW);2007;0
148;General Disability Benefits Act (AAW);2008;0
149;General Disability Benefits Act (AAW);2009;0
150;General Disability Benefits Act (AAW);2010;0
151;General Disability Benefits Act (AAW);2011;0
152;General Disability Benefits Act (AAW);2012;0
153;General Disability Benefits Act (AAW);2013;0
154;General Disability Benefits Act (AAW);2014;0
155;General Disability Benefits Act (AAW);2015;0
156;General Disability Benefits Act (AAW);2016;0
157;General Disability Benefits Act (AAW);2017;0
158;General Disability Benefits Act (AAW);2018;0
159;General Disability Benefits Act (AAW);2019;0
160;General Disability Benefits Act (AAW);2020;0
161;General Disability Benefits Act (AAW);2021;0
162;General Exceptional Medical Expenses Act;1995;11221
163;General Exceptional Medical Expenses Act;1996;8306
164;General Exceptional Medical Expenses Act;1997;10415
165;General Exceptional Medical Expenses Act;1998;11112
166;General Exceptional Medical Expenses Act;1999;11718
167;General Exceptional Medical Expenses Act;2000;12924
168;General Exceptional Medical Expenses Act;2001;14319
169;General Exceptional Medical Expenses Act;2002;16505
170;General Exceptional Medical Expenses Act;2003;18020
171;General Exceptional Medical Expenses Act;2004;18959
172;General Exceptional Medical Expenses Act;2005;19680
173;General Exceptional Medical Expenses Act;2006;20877
174;General Exceptional Medical Expenses Act;2007;20954
175;General Exceptional Medical Expenses Act;2008;19997
176;General Exceptional Medical Expenses Act;2009;21443
177;General Exceptional Medical Expenses Act;2010;22337
178;General Exceptional Medical Expenses Act;2011;23125
179;General Exceptional Medical Expenses Act;2012;25771
180;General Exceptional Medical Expenses Act;2013;25127
181;General Exceptional Medical Expenses Act;2014;25373
182;General Exceptional Medical Expenses Act;2015;272
183;General Exceptional Medical Expenses Act;2016;114
184;General Exceptional Medical Expenses Act;2017;0
185;General Exceptional Medical Expenses Act;2018;0
186;General Exceptional Medical Expenses Act;2019;0
187;General Exceptional Medical Expenses Act;2020;-118
188;General Exceptional Medical Expenses Act;2021;0
189;General Old Age Pensions Act (AOW);1995;15180
190;General Old Age Pensions Act (AOW);1996;15853
191;General Old Age Pensions Act (AOW);1997;16609
192;General Old Age Pensions Act (AOW);1998;17578
193;General Old Age Pensions Act (AOW);1999;18400
194;General Old Age Pensions Act (AOW);2000;19098
195;General Old Age Pensions Act (AOW);2001;20284
196;General Old Age Pensions Act (AOW);2002;21383
197;General Old Age Pensions Act (AOW);2003;22429
198;General Old Age Pensions Act (AOW);2004;22890
199;General Old Age Pensions Act (AOW);2005;23369
200;General Old Age Pensions Act (AOW);2006;24169
201;General Old Age Pensions Act (AOW);2007;25198
202;General Old Age Pensions Act (AOW);2008;26446
203;General Old Age Pensions Act (AOW);2009;27580
204;General Old Age Pensions Act (AOW);2010;28618
205;General Old Age Pensions Act (AOW);2011;29996
206;General Old Age Pensions Act (AOW);2012;31415
207;General Old Age Pensions Act (AOW);2013;32719
208;General Old Age Pensions Act (AOW);2014;34120
209;General Old Age Pensions Act (AOW);2015;35814
210;General Old Age Pensions Act (AOW);2016;36941
211;General Old Age Pensions Act (AOW);2017;37412
212;General Old Age Pensions Act (AOW);2018;38125
213;General Old Age Pensions Act (AOW);2019;39484
214;General Old Age Pensions Act (AOW);2020;41235
215;General Old Age Pensions Act (AOW);2021;42956
216;General Surviving Relatives Act (Anw);1995;2090
217;General Surviving Relatives Act (Anw);1996;2109
218;General Surviving Relatives Act (Anw);1997;2005
219;General Surviving Relatives Act (Anw);1998;1552
220;General Surviving Relatives Act (Anw);1999;1539
221;General Surviving Relatives Act (Anw);2000;1498
222;General Surviving Relatives Act (Anw);2001;1515
223;General Surviving Relatives Act (Anw);2002;1528
224;General Surviving Relatives Act (Anw);2003;1506
225;General Surviving Relatives Act (Anw);2004;1442
226;General Surviving Relatives Act (Anw);2005;1367
227;General Surviving Relatives Act (Anw);2006;1321
228;General Surviving Relatives Act (Anw);2007;1265
229;General Surviving Relatives Act (Anw);2008;1203
230;General Surviving Relatives Act (Anw);2009;1148
231;General Surviving Relatives Act (Anw);2010;1065
232;General Surviving Relatives Act (Anw);2011;968
233;General Surviving Relatives Act (Anw);2012;844
234;General Surviving Relatives Act (Anw);2013;711
235;General Surviving Relatives Act (Anw);2014;584
236;General Surviving Relatives Act (Anw);2015;439
237;General Surviving Relatives Act (Anw);2016;416
238;General Surviving Relatives Act (Anw);2017;392
239;General Surviving Relatives Act (Anw);2018;378
240;General Surviving Relatives Act (Anw);2019;356
241;General Surviving Relatives Act (Anw);2020;339
242;General Surviving Relatives Act (Anw);2021;317
243;Health Care Insurance Act (Zvw);1995;0
244;Health Care Insurance Act (Zvw);1996;0
245;Health Care Insurance Act (Zvw);1997;0
246;Health Care Insurance Act (Zvw);1998;0
247;Health Care Insurance Act (Zvw);1999;0
248;Health Care Insurance Act (Zvw);2000;0
249;Health Care Insurance Act (Zvw);2001;0
250;Health Care Insurance Act (Zvw);2002;0
251;Health Care Insurance Act (Zvw);2003;0
252;Health Care Insurance Act (Zvw);2004;0
253;Health Care Insurance Act (Zvw);2005;0
254;Health Care Insurance Act (Zvw);2006;25514
255;Health Care Insurance Act (Zvw);2007;26098
256;Health Care Insurance Act (Zvw);2008;29916
257;Health Care Insurance Act (Zvw);2009;32609
258;Health Care Insurance Act (Zvw);2010;33804
259;Health Care Insurance Act (Zvw);2011;34211
260;Health Care Insurance Act (Zvw);2012;34061
261;Health Care Insurance Act (Zvw);2013;35343
262;Health Care Insurance Act (Zvw);2014;35355
263;Health Care Insurance Act (Zvw);2015;38588
264;Health Care Insurance Act (Zvw);2016;39413
265;Health Care Insurance Act (Zvw);2017;40677
266;Health Care Insurance Act (Zvw);2018;42313
267;Health Care Insurance Act (Zvw);2019;43980
268;Health Care Insurance Act (Zvw);2020;43048
269;Health Care Insurance Act (Zvw);2021;46679
270;Long-term care Act (Wlz);1995;0
271;Long-term care Act (Wlz);1996;0
272;Long-term care Act (Wlz);1997;0
273;Long-term care Act (Wlz);1998;0
274;Long-term care Act (Wlz);1999;0
275;Long-term care Act (Wlz);2000;0
276;Long-term care Act (Wlz);2001;0
277;Long-term care Act (Wlz);2002;0
278;Long-term care Act (Wlz);2003;0
279;Long-term care Act (Wlz);2004;0
280;Long-term care Act (Wlz);2005;0
281;Long-term care Act (Wlz);2006;0
282;Long-term care Act (Wlz);2007;0
283;Long-term care Act (Wlz);2008;0
284;Long-term care Act (Wlz);2009;0
285;Long-term care Act (Wlz);2010;0
286;Long-term care Act (Wlz);2011;0
287;Long-term care Act (Wlz);2012;0
288;Long-term care Act (Wlz);2013;0
289;Long-term care Act (Wlz);2014;0
290;Long-term care Act (Wlz);2015;17367
291;Long-term care Act (Wlz);2016;17865
292;Long-term care Act (Wlz);2017;18168
293;Long-term care Act (Wlz);2018;19605
294;Long-term care Act (Wlz);2019;21718
295;Long-term care Act (Wlz);2020;22739
296;Long-term care Act (Wlz);2021;25623
297;Self-Employed Persons Disability Bene...;1995;0
298;Self-Employed Persons Disability Bene...;1996;0
299;Self-Employed Persons Disability Bene...;1997;0
300;Self-Employed Persons Disability Bene...;1998;436
301;Self-Employed Persons Disability Bene...;1999;486
302;Self-Employed Persons Disability Bene...;2000;469
303;Self-Employed Persons Disability Bene...;2001;504
304;Self-Employed Persons Disability Bene...;2002;502
305;Self-Employed Persons Disability Bene...;2003;524
306;Self-Employed Persons Disability Bene...;2004;507
307;Self-Employed Persons Disability Bene...;2005;474
308;Self-Employed Persons Disability Bene...;2006;441
309;Self-Employed Persons Disability Bene...;2007;387
310;Self-Employed Persons Disability Bene...;2008;370
311;Self-Employed Persons Disability Bene...;2009;332
312;Self-Employed Persons Disability Bene...;2010;296
313;Self-Employed Persons Disability Bene...;2011;271
314;Self-Employed Persons Disability Bene...;2012;245
315;Self-Employed Persons Disability Bene...;2013;209
316;Self-Employed Persons Disability Bene...;2014;188
317;Self-Employed Persons Disability Bene...;2015;168
318;Self-Employed Persons Disability Bene...;2016;150
319;Self-Employed Persons Disability Bene...;2017;136
320;Self-Employed Persons Disability Bene...;2018;122
321;Self-Employed Persons Disability Bene...;2019;110
322;Self-Employed Persons Disability Bene...;2020;100
323;Self-Employed Persons Disability Bene...;2021;88
324;Sickness Benefits Act (ZW);1995;1874
325;Sickness Benefits Act (ZW);1996;324
326;Sickness Benefits Act (ZW);1997;0
327;Sickness Benefits Act (ZW);1998;0
328;Sickness Benefits Act (ZW);1999;0
329;Sickness Benefits Act (ZW);2000;0
330;Sickness Benefits Act (ZW);2001;0
331;Sickness Benefits Act (ZW);2002;0
332;Sickness Benefits Act (ZW);2003;0
333;Sickness Benefits Act (ZW);2004;0
334;Sickness Benefits Act (ZW);2005;0
335;Sickness Benefits Act (ZW);2006;0
336;Sickness Benefits Act (ZW);2007;0
337;Sickness Benefits Act (ZW);2008;0
338;Sickness Benefits Act (ZW);2009;0
339;Sickness Benefits Act (ZW);2010;0
340;Sickness Benefits Act (ZW);2011;0
341;Sickness Benefits Act (ZW);2012;0
342;Sickness Benefits Act (ZW);2013;0
343;Sickness Benefits Act (ZW);2014;0
344;Sickness Benefits Act (ZW);2015;0
345;Sickness Benefits Act (ZW);2016;0
346;Sickness Benefits Act (ZW);2017;0
347;Sickness Benefits Act (ZW);2018;0
348;Sickness Benefits Act (ZW);2019;0
349;Sickness Benefits Act (ZW);2020;0
350;Sickness Benefits Act (ZW);2021;0
351;Sickness Benefits Act safety net (ZW-...;1995;0
352;Sickness Benefits Act safety net (ZW-...;1996;0
353;Sickness Benefits Act safety net (ZW-...;1997;0
354;Sickness Benefits Act safety net (ZW-...;1998;0
355;Sickness Benefits Act safety net (ZW-...;1999;0
356;Sickness Benefits Act safety net (ZW-...;2000;0
357;Sickness Benefits Act safety net (ZW-...;2001;0
358;Sickness Benefits Act safety net (ZW-...;2002;859
359;Sickness Benefits Act safety net (ZW-...;2003;926
360;Sickness Benefits Act safety net (ZW-...;2004;808
361;Sickness Benefits Act safety net (ZW-...;2005;902
362;Sickness Benefits Act safety net (ZW-...;2006;1202
363;Sickness Benefits Act safety net (ZW-...;2007;1177
364;Sickness Benefits Act safety net (ZW-...;2008;1063
365;Sickness Benefits Act safety net (ZW-...;2009;1267
366;Sickness Benefits Act safety net (ZW-...;2010;1498
367;Sickness Benefits Act safety net (ZW-...;2011;1556
368;Sickness Benefits Act safety net (ZW-...;2012;1635
369;Sickness Benefits Act safety net (ZW-...;2013;1581
370;Sickness Benefits Act safety net (ZW-...;2014;1545
371;Sickness Benefits Act safety net (ZW-...;2015;1494
372;Sickness Benefits Act safety net (ZW-...;2016;1525
373;Sickness Benefits Act safety net (ZW-...;2017;1582
374;Sickness Benefits Act safety net (ZW-...;2018;1643
375;Sickness Benefits Act safety net (ZW-...;2019;1746
376;Sickness Benefits Act safety net (ZW-...;2020;1966
377;Sickness Benefits Act safety net (ZW-...;2021;1978
378;Unemployment Benefits Act (WW);1995;4174
379;Unemployment Benefits Act (WW);1996;5370
380;Unemployment Benefits Act (WW);1997;4731
381;Unemployment Benefits Act (WW);1998;3901
382;Unemployment Benefits Act (WW);1999;3464
383;Unemployment Benefits Act (WW);2000;3180
384;Unemployment Benefits Act (WW);2001;3467
385;Unemployment Benefits Act (WW);2002;2299
386;Unemployment Benefits Act (WW);2003;3315
387;Unemployment Benefits Act (WW);2004;4029
388;Unemployment Benefits Act (WW);2005;4168
389;Unemployment Benefits Act (WW);2006;3621
390;Unemployment Benefits Act (WW);2007;2846
391;Unemployment Benefits Act (WW);2008;2394
392;Unemployment Benefits Act (WW);2009;3403
393;Unemployment Benefits Act (WW);2010;4344
394;Unemployment Benefits Act (WW);2011;4296
395;Unemployment Benefits Act (WW);2012;5100
396;Unemployment Benefits Act (WW);2013;6486
397;Unemployment Benefits Act (WW);2014;6924
398;Unemployment Benefits Act (WW);2015;6447
399;Unemployment Benefits Act (WW);2016;5718
400;Unemployment Benefits Act (WW);2017;5145
401;Unemployment Benefits Act (WW);2018;4282
402;Unemployment Benefits Act (WW);2019;3760
403;Unemployment Benefits Act (WW);2020;4245
404;Unemployment Benefits Act (WW);2021;3662
405;Work and Care Act (WAZO);1995;0
406;Work and Care Act (WAZO);1996;0
407;Work and Care Act (WAZO);1997;0
408;Work and Care Act (WAZO);1998;0
409;Work and Care Act (WAZO);1999;0
410;Work and Care Act (WAZO);2000;0
411;Work and Care Act (WAZO);2001;0
412;Work and Care Act (WAZO);2002;683
413;Work and Care Act (WAZO);2003;867
414;Work and Care Act (WAZO);2004;849
415;Work and Care Act (WAZO);2005;758
416;Work and Care Act (WAZO);2006;827
417;Work and Care Act (WAZO);2007;840
418;Work and Care Act (WAZO);2008;985
419;Work and Care Act (WAZO);2009;1067
420;Work and Care Act (WAZO);2010;1110
421;Work and Care Act (WAZO);2011;1111
422;Work and Care Act (WAZO);2012;1126
423;Work and Care Act (WAZO);2013;1090
424;Work and Care Act (WAZO);2014;1105
425;Work and Care Act (WAZO);2015;1086
426;Work and Care Act (WAZO);2016;1129
427;Work and Care Act (WAZO);2017;1135
428;Work and Care Act (WAZO);2018;1283
429;Work and Care Act (WAZO);2019;1239
430;Work and Care Act (WAZO);2020;1359
431;Work and Care Act (WAZO);2021;1677
432;Total social assistance benefits;1995;15619
433;Total social assistance benefits;1996;15460
434;Total social assistance benefits;1997;14077
435;Total social assistance benefits;1998;15386
436;Total social assistance benefits;1999;15392
437;Total social assistance benefits;2000;15923
438;Total social assistance benefits;2001;16533
439;Total social assistance benefits;2002;17136
440;Total social assistance benefits;2003;17865
441;Total social assistance benefits;2004;18128
442;Total social assistance benefits;2005;19165
443;Total social assistance benefits;2006;22556
444;Total social assistance benefits;2007;25666
445;Total social assistance benefits;2008;28475
446;Total social assistance benefits;2009;30835
447;Total social assistance benefits;2010;32372
448;Total social assistance benefits;2011;33656
449;Total social assistance benefits;2012;33437
450;Total social assistance benefits;2013;33999
451;Total social assistance benefits;2014;33608
452;Total social assistance benefits;2015;37838
453;Total social assistance benefits;2016;39157
454;Total social assistance benefits;2017;40026
455;Total social assistance benefits;2018;41419
456;Total social assistance benefits;2019;43422
457;Total social assistance benefits;2020;45165
458;Total social assistance benefits;2021;48289
459;Act for social assistance to disabled...;1995;454
460;Act for social assistance to disabled...;1996;499
461;Act for social assistance to disabled...;1997;598
462;Act for social assistance to disabled...;1998;606
463;Act for social assistance to disabled...;1999;628
464;Act for social assistance to disabled...;2000;652
465;Act for social assistance to disabled...;2001;657
466;Act for social assistance to disabled...;2002;680
467;Act for social assistance to disabled...;2003;687
468;Act for social assistance to disabled...;2004;714
469;Act for social assistance to disabled...;2005;640
470;Act for social assistance to disabled...;2006;664
471;Act for social assistance to disabled...;2007;0
472;Act for social assistance to disabled...;2008;0
473;Act for social assistance to disabled...;2009;0
474;Act for social assistance to disabled...;2010;0
475;Act for social assistance to disabled...;2011;0
476;Act for social assistance to disabled...;2012;0
477;Act for social assistance to disabled...;2013;0
478;Act for social assistance to disabled...;2014;0
479;Act for social assistance to disabled...;2015;0
480;Act for social assistance to disabled...;2016;0
481;Act for social assistance to disabled...;2017;0
482;Act for social assistance to disabled...;2018;0
483;Act for social assistance to disabled...;2019;0
484;Act for social assistance to disabled...;2020;0
485;Act for social assistance to disabled...;2021;0
486;Assistance for transport of schoolchi...;1995;91
487;Assistance for transport of schoolchi...;1996;91
488;Assistance for transport of schoolchi...;1997;91
489;Assistance for transport of schoolchi...;1998;93
490;Assistance for transport of schoolchi...;1999;95
491;Assistance for transport of schoolchi...;2000;98
492;Assistance for transport of schoolchi...;2001;130
493;Assistance for transport of schoolchi...;2002;148
494;Assistance for transport of schoolchi...;2003;156
495;Assistance for transport of schoolchi...;2004;161
496;Assistance for transport of schoolchi...;2005;169
497;Assistance for transport of schoolchi...;2006;185
498;Assistance for transport of schoolchi...;2007;199
499;Assistance for transport of schoolchi...;2008;221
500;Assistance for transport of schoolchi...;2009;247
501;Assistance for transport of schoolchi...;2010;236
502;Assistance for transport of schoolchi...;2011;244
503;Assistance for transport of schoolchi...;2012;253
504;Assistance for transport of schoolchi...;2013;237
505;Assistance for transport of schoolchi...;2014;214
506;Assistance for transport of schoolchi...;2015;193
507;Assistance for transport of schoolchi...;2016;194
508;Assistance for transport of schoolchi...;2017;199
509;Assistance for transport of schoolchi...;2018;212
510;Assistance for transport of schoolchi...;2019;275
511;Assistance for transport of schoolchi...;2020;239
512;Assistance for transport of schoolchi...;2021;317
513;Assistance to asylum seekers and mino...;1995;270
514;Assistance to asylum seekers and mino...;1996;172
515;Assistance to asylum seekers and mino...;1997;207
516;Assistance to asylum seekers and mino...;1998;210
517;Assistance to asylum seekers and mino...;1999;263
518;Assistance to asylum seekers and mino...;2000;307
519;Assistance to asylum seekers and mino...;2001;307
520;Assistance to asylum seekers and mino...;2002;260
521;Assistance to asylum seekers and mino...;2003;152
522;Assistance to asylum seekers and mino...;2004;115
523;Assistance to asylum seekers and mino...;2005;90
524;Assistance to asylum seekers and mino...;2006;81
525;Assistance to asylum seekers and mino...;2007;108
526;Assistance to asylum seekers and mino...;2008;117
527;Assistance to asylum seekers and mino...;2009;134
528;Assistance to asylum seekers and mino...;2010;115
529;Assistance to asylum seekers and mino...;2011;101
530;Assistance to asylum seekers and mino...;2012;81
531;Assistance to asylum seekers and mino...;2013;76
532;Assistance to asylum seekers and mino...;2014;209
533;Assistance to asylum seekers and mino...;2015;349
534;Assistance to asylum seekers and mino...;2016;342
535;Assistance to asylum seekers and mino...;2017;326
536;Assistance to asylum seekers and mino...;2018;264
537;Assistance to asylum seekers and mino...;2019;273
538;Assistance to asylum seekers and mino...;2020;253
539;Assistance to asylum seekers and mino...;2021;287
540;Assistance to older and partially dis...;1995;232
541;Assistance to older and partially dis...;1996;236
542;Assistance to older and partially dis...;1997;247
543;Assistance to older and partially dis...;1998;244
544;Assistance to older and partially dis...;1999;263
545;Assistance to older and partially dis...;2000;270
546;Assistance to older and partially dis...;2001;239
547;Assistance to older and partially dis...;2002;251
548;Assistance to older and partially dis...;2003;233
549;Assistance to older and partially dis...;2004;191
550;Assistance to older and partially dis...;2005;151
551;Assistance to older and partially dis...;2006;112
552;Assistance to older and partially dis...;2007;111
553;Assistance to older and partially dis...;2008;113
554;Assistance to older and partially dis...;2009;153
555;Assistance to older and partially dis...;2010;152
556;Assistance to older and partially dis...;2011;161
557;Assistance to older and partially dis...;2012;181
558;Assistance to older and partially dis...;2013;197
559;Assistance to older and partially dis...;2014;251
560;Assistance to older and partially dis...;2015;298
561;Assistance to older and partially dis...;2016;299
562;Assistance to older and partially dis...;2017;318
563;Assistance to older and partially dis...;2018;409
564;Assistance to older and partially dis...;2019;379
565;Assistance to older and partially dis...;2020;359
566;Assistance to older and partially dis...;2021;325
567;Assistance to war victims;1995;349
568;Assistance to war victims;1996;348
569;Assistance to war victims;1997;340
570;Assistance to war victims;1998;346
571;Assistance to war victims;1999;358
572;Assistance to war victims;2000;356
573;Assistance to war victims;2001;368
574;Assistance to war victims;2002;386
575;Assistance to war victims;2003;383
576;Assistance to war victims;2004;384
577;Assistance to war victims;2005;353
578;Assistance to war victims;2006;346
579;Assistance to war victims;2007;347
580;Assistance to war victims;2008;338
581;Assistance to war victims;2009;331
582;Assistance to war victims;2010;326
583;Assistance to war victims;2011;311
584;Assistance to war victims;2012;301
585;Assistance to war victims;2013;303
586;Assistance to war victims;2014;279
587;Assistance to war victims;2015;267
588;Assistance to war victims;2016;258
589;Assistance to war victims;2017;248
590;Assistance to war victims;2018;235
591;Assistance to war victims;2019;222
592;Assistance to war victims;2020;208
593;Assistance to war victims;2021;193
594;Child benefit (kgb);1995;0
595;Child benefit (kgb);1996;0
596;Child benefit (kgb);1997;0
597;Child benefit (kgb);1998;0
598;Child benefit (kgb);1999;0
599;Child benefit (kgb);2000;0
600;Child benefit (kgb);2001;0
601;Child benefit (kgb);2002;0
602;Child benefit (kgb);2003;0
603;Child benefit (kgb);2004;0
604;Child benefit (kgb);2005;0
605;Child benefit (kgb);2006;0
606;Child benefit (kgb);2007;0
607;Child benefit (kgb);2008;823
608;Child benefit (kgb);2009;942
609;Child benefit (kgb);2010;896
610;Child benefit (kgb);2011;976
611;Child benefit (kgb);2012;911
612;Child benefit (kgb);2013;896
613;Child benefit (kgb);2014;936
614;Child benefit (kgb);2015;1822
615;Child benefit (kgb);2016;1908
616;Child benefit (kgb);2017;1895
617;Child benefit (kgb);2018;1910
618;Child benefit (kgb);2019;2065
619;Child benefit (kgb);2020;2709
620;Child benefit (kgb);2021;2648
621;Childcare;1995;30
622;Childcare;1996;31
623;Childcare;1997;35
624;Childcare;1998;39
625;Childcare;1999;43
626;Childcare;2000;47
627;Childcare;2001;70
628;Childcare;2002;97
629;Childcare;2003;98
630;Childcare;2004;99
631;Childcare;2005;610
632;Childcare;2006;923
633;Childcare;2007;2027
634;Childcare;2008;2795
635;Childcare;2009;3047
636;Childcare;2010;2997
637;Childcare;2011;2920
638;Childcare;2012;2455
639;Childcare;2013;2063
640;Childcare;2014;1835
641;Childcare;2015;1741
642;Childcare;2016;2095
643;Childcare;2017;2370
644;Childcare;2018;2613
645;Childcare;2019;3095
646;Childcare;2020;2928
647;Childcare;2021;3493
648;Compensation to Pensioners for Loss o...;1995;0
649;Compensation to Pensioners for Loss o...;1996;0
650;Compensation to Pensioners for Loss o...;1997;0
651;Compensation to Pensioners for Loss o...;1998;0
652;Compensation to Pensioners for Loss o...;1999;0
653;Compensation to Pensioners for Loss o...;2000;0
