ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
25;Total males and females;Total;Total;Total;Person born abroad;Total;2023;2776950.0
26;Total males and females;Total;Total;Total;Person born abroad;Total;2024;2914939.0
27;Total males and females;Total;Total;Total;Person born abroad;Two parents born in the Netherlands;2022;138493.0
28;Total males and females;Total;Total;Total;Person born abroad;Two parents born in the Netherlands;2023;138284.0
29;Total males and females;Total;Total;Total;Person born abroad;Two parents born in the Netherlands;2024;138098.0
30;Total males and females;Total;Total;Total;Person born abroad;One parent born in NL, one born abroad;2022;111388.0
31;Total males and females;Total;Total;Total;Person born abroad;One parent born in NL, one born abroad;2023;112443.0
32;Total males and females;Total;Total;Total;Person born abroad;One parent born in NL, one born abroad;2024;113294.0
33;Total males and females;Total;Total;Total;Person born abroad;Two parents born abroad;2022;2300956.0
34;Total males and females;Total;Total;Total;Person born abroad;Two parents born abroad;2023;2526223.0
35;Total males and females;Total;Total;Total;Person born abroad;Two parents born abroad;2024;2663547.0
36;Total males and females;Total;Total;The Netherlands;Total;Total;2022;13013279.0
37;Total males and females;Total;Total;The Netherlands;Total;Total;2023;12978154.0
38;Total males and females;Total;Total;The Netherlands;Total;Total;2024;12941748.0
39;Total males and females;Total;Total;The Netherlands;Total;Two parents born in the Netherlands;2022;13013279.0
40;Total males and females;Total;Total;The Netherlands;Total;Two parents born in the Netherlands;2023;12978154.0
41;Total males and females;Total;Total;The Netherlands;Total;Two parents born in the Netherlands;2024;12941748.0
42;Total males and females;Total;Total;The Netherlands;Total;One parent born in NL, one born abroad;2022;
43;Total males and females;Total;Total;The Netherlands;Total;One parent born in NL, one born abroad;2023;
44;Total males and females;Total;Total;The Netherlands;Total;One parent born in NL, one born abroad;2024;
45;Total males and females;Total;Total;The Netherlands;Total;Two parents born abroad;2022;
46;Total males and females;Total;Total;The Netherlands;Total;Two parents born abroad;2023;
47;Total males and females;Total;Total;The Netherlands;Total;Two parents born abroad;2024;
48;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Total;2022;13013279.0
49;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Total;2023;12978154.0
50;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Total;2024;12941748.0
51;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Two parents born in the Netherlands;2022;13013279.0
52;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Two parents born in the Netherlands;2023;12978154.0
53;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Two parents born in the Netherlands;2024;12941748.0
54;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;One parent born in NL, one born abroad;2022;
55;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;One parent born in NL, one born abroad;2023;
56;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;One parent born in NL, one born abroad;2024;
57;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Two parents born abroad;2022;
58;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Two parents born abroad;2023;
59;Total males and females;Total;Total;The Netherlands;Person born in the Netherlands;Two parents born abroad;2024;
60;Total males and females;Total;Total;The Netherlands;Person born abroad;Total;2022;
61;Total males and females;Total;Total;The Netherlands;Person born abroad;Total;2023;
62;Total males and females;Total;Total;The Netherlands;Person born abroad;Total;2024;
63;Total males and females;Total;Total;The Netherlands;Person born abroad;Two parents born in the Netherlands;2022;
64;Total males and females;Total;Total;The Netherlands;Person born abroad;Two parents born in the Netherlands;2023;
65;Total males and females;Total;Total;The Netherlands;Person born abroad;Two parents born in the Netherlands;2024;
66;Total males and females;Total;Total;The Netherlands;Person born abroad;One parent born in NL, one born abroad;2022;
67;Total males and females;Total;Total;The Netherlands;Person born abroad;One parent born in NL, one born abroad;2023;
68;Total males and females;Total;Total;The Netherlands;Person born abroad;One parent born in NL, one born abroad;2024;
69;Total males and females;Total;Total;The Netherlands;Person born abroad;Two parents born abroad;2022;
70;Total males and females;Total;Total;The Netherlands;Person born abroad;Two parents born abroad;2023;
71;Total males and females;Total;Total;The Netherlands;Person born abroad;Two parents born abroad;2024;
72;Total males and females;Total;Total;Abroad;Total;Total;2022;4577393.0
73;Total males and females;Total;Total;Abroad;Total;Total;2023;4833137.0
74;Total males and females;Total;Total;Abroad;Total;Total;2024;5001194.0
75;Total males and females;Total;Total;Abroad;Total;Two parents born in the Netherlands;2022;138493.0
76;Total males and females;Total;Total;Abroad;Total;Two parents born in the Netherlands;2023;138284.0
77;Total males and females;Total;Total;Abroad;Total;Two parents born in the Netherlands;2024;138098.0
78;Total males and females;Total;Total;Abroad;Total;One parent born in NL, one born abroad;2022;1228104.0
79;Total males and females;Total;Total;Abroad;Total;One parent born in NL, one born abroad;2023;1240228.0
80;Total males and females;Total;Total;Abroad;Total;One parent born in NL, one born abroad;2024;1251595.0
81;Total males and females;Total;Total;Abroad;Total;Two parents born abroad;2022;3210796.0
82;Total males and females;Total;Total;Abroad;Total;Two parents born abroad;2023;3454625.0
83;Total males and females;Total;Total;Abroad;Total;Two parents born abroad;2024;3611501.0
84;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Total;2022;2026556.0
85;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Total;2023;2056187.0
86;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Total;2024;2086255.0
87;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Two parents born in the Netherlands;2022;
88;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Two parents born in the Netherlands;2023;
89;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Two parents born in the Netherlands;2024;
90;Total males and females;Total;Total;Abroad;Person born in the Netherlands;One parent born in NL, one born abroad;2022;1116716.0
91;Total males and females;Total;Total;Abroad;Person born in the Netherlands;One parent born in NL, one born abroad;2023;1127785.0
92;Total males and females;Total;Total;Abroad;Person born in the Netherlands;One parent born in NL, one born abroad;2024;1138301.0
93;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Two parents born abroad;2022;909840.0
94;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Two parents born abroad;2023;928402.0
95;Total males and females;Total;Total;Abroad;Person born in the Netherlands;Two parents born abroad;2024;947954.0
96;Total males and females;Total;Total;Abroad;Person born abroad;Total;2022;2550837.0
97;Total males and females;Total;Total;Abroad;Person born abroad;Total;2023;2776950.0
98;Total males and females;Total;Total;Abroad;Person born abroad;Total;2024;2914939.0
99;Total males and females;Total;Total;Abroad;Person born abroad;Two parents born in the Netherlands;2022;138493.0
100;Total males and females;Total;Total;Abroad;Person born abroad;Two parents born in the Netherlands;2023;138284.0
101;Total males and females;Total;Total;Abroad;Person born abroad;Two parents born in the Netherlands;2024;138098.0
102;Total males and females;Total;Total;Abroad;Person born abroad;One parent born in NL, one born abroad;2022;111388.0
103;Total males and females;Total;Total;Abroad;Person born abroad;One parent born in NL, one born abroad;2023;112443.0
104;Total males and females;Total;Total;Abroad;Person born abroad;One parent born in NL, one born abroad;2024;113294.0
105;Total males and females;Total;Total;Abroad;Person born abroad;Two parents born abroad;2022;2300956.0
106;Total males and females;Total;Total;Abroad;Person born abroad;Two parents born abroad;2023;2526223.0
107;Total males and females;Total;Total;Abroad;Person born abroad;Two parents born abroad;2024;2663547.0
108;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Total;2022;1477069.0
109;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Total;2023;1617454.0
110;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Total;2024;1677093.0
111;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Two parents born in the Netherlands;2022;46843.0
112;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Two parents born in the Netherlands;2023;47177.0
113;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Two parents born in the Netherlands;2024;47448.0
114;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;One parent born in NL, one born abroad;2022;537331.0
115;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;One parent born in NL, one born abroad;2023;536338.0
116;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;One parent born in NL, one born abroad;2024;535355.0
117;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Two parents born abroad;2022;892895.0
118;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Two parents born abroad;2023;1033939.0
119;Total males and females;Total;Total;Europe (excluding the Netherlands);Total;Two parents born abroad;2024;1094290.0
120;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Total;2022;601820.0
121;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Total;2023;604926.0
122;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Total;2024;608406.0
123;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Two parents born in the Netherlands;2022;
124;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Two parents born in the Netherlands;2023;
125;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Two parents born in the Netherlands;2024;
126;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;One parent born in NL, one born abroad;2022;482398.0
127;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;One parent born in NL, one born abroad;2023;480977.0
128;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;One parent born in NL, one born abroad;2024;479575.0
129;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Two parents born abroad;2022;119422.0
130;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Two parents born abroad;2023;123949.0
131;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born in the Netherlands;Two parents born abroad;2024;128831.0
132;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Total;2022;875249.0
133;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Total;2023;1012528.0
134;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Total;2024;1068687.0
135;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Two parents born in the Netherlands;2022;46843.0
136;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Two parents born in the Netherlands;2023;47177.0
137;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Two parents born in the Netherlands;2024;47448.0
138;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;One parent born in NL, one born abroad;2022;54933.0
139;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;One parent born in NL, one born abroad;2023;55361.0
140;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;One parent born in NL, one born abroad;2024;55780.0
141;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Two parents born abroad;2022;773473.0
142;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Two parents born abroad;2023;909990.0
143;Total males and females;Total;Total;Europe (excluding the Netherlands);Person born abroad;Two parents born abroad;2024;965459.0
144;Total males and females;Total;Total;Outside Europe;Total;Total;2022;3100324.0
145;Total males and females;Total;Total;Outside Europe;Total;Total;2023;3215683.0
146;Total males and females;Total;Total;Outside Europe;Total;Total;2024;3324101.0
147;Total males and females;Total;Total;Outside Europe;Total;Two parents born in the Netherlands;2022;91650.0
148;Total males and females;Total;Total;Outside Europe;Total;Two parents born in the Netherlands;2023;91107.0
149;Total males and females;Total;Total;Outside Europe;Total;Two parents born in the Netherlands;2024;90650.0
150;Total males and females;Total;Total;Outside Europe;Total;One parent born in NL, one born abroad;2022;690773.0
151;Total males and females;Total;Total;Outside Europe;Total;One parent born in NL, one born abroad;2023;703890.0
152;Total males and females;Total;Total;Outside Europe;Total;One parent born in NL, one born abroad;2024;716240.0
153;Total males and females;Total;Total;Outside Europe;Total;Two parents born abroad;2022;2317901.0
154;Total males and females;Total;Total;Outside Europe;Total;Two parents born abroad;2023;2420686.0
155;Total males and females;Total;Total;Outside Europe;Total;Two parents born abroad;2024;2517211.0
156;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Total;2022;1424736.0
157;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Total;2023;1451261.0
158;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Total;2024;1477849.0
159;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Two parents born in the Netherlands;2022;
160;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Two parents born in the Netherlands;2023;
161;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Two parents born in the Netherlands;2024;
162;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;One parent born in NL, one born abroad;2022;634318.0
163;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;One parent born in NL, one born abroad;2023;646808.0
164;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;One parent born in NL, one born abroad;2024;658726.0
165;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Two parents born abroad;2022;790418.0
166;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Two parents born abroad;2023;804453.0
167;Total males and females;Total;Total;Outside Europe;Person born in the Netherlands;Two parents born abroad;2024;819123.0
168;Total males and females;Total;Total;Outside Europe;Person born abroad;Total;2022;1675588.0
169;Total males and females;Total;Total;Outside Europe;Person born abroad;Total;2023;1764422.0
170;Total males and females;Total;Total;Outside Europe;Person born abroad;Total;2024;1846252.0
171;Total males and females;Total;Total;Outside Europe;Person born abroad;Two parents born in the Netherlands;2022;91650.0
172;Total males and females;Total;Total;Outside Europe;Person born abroad;Two parents born in the Netherlands;2023;91107.0
173;Total males and females;Total;Total;Outside Europe;Person born abroad;Two parents born in the Netherlands;2024;90650.0
174;Total males and females;Total;Total;Outside Europe;Person born abroad;One parent born in NL, one born abroad;2022;56455.0
175;Total males and females;Total;Total;Outside Europe;Person born abroad;One parent born in NL, one born abroad;2023;57082.0
176;Total males and females;Total;Total;Outside Europe;Person born abroad;One parent born in NL, one born abroad;2024;57514.0
177;Total males and females;Total;Total;Outside Europe;Person born abroad;Two parents born abroad;2022;1527483.0
178;Total males and females;Total;Total;Outside Europe;Person born abroad;Two parents born abroad;2023;1616233.0
179;Total males and females;Total;Total;Outside Europe;Person born abroad;Two parents born abroad;2024;1698088.0
180;Total males and females;Total;Total;Indonesia;Total;Total;2022;363873.0
181;Total males and females;Total;Total;Indonesia;Total;Total;2023;360281.0
182;Total males and females;Total;Total;Indonesia;Total;Total;2024;356566.0
183;Total males and females;Total;Total;Indonesia;Total;Two parents born in the Netherlands;2022;14572.0
184;Total males and females;Total;Total;Indonesia;Total;Two parents born in the Netherlands;2023;13936.0
185;Total males and females;Total;Total;Indonesia;Total;Two parents born in the Netherlands;2024;13340.0
186;Total males and females;Total;Total;Indonesia;Total;One parent born in NL, one born abroad;2022;203794.0
187;Total males and females;Total;Total;Indonesia;Total;One parent born in NL, one born abroad;2023;202376.0
188;Total males and females;Total;Total;Indonesia;Total;One parent born in NL, one born abroad;2024;200876.0
189;Total males and females;Total;Total;Indonesia;Total;Two parents born abroad;2022;145507.0
190;Total males and females;Total;Total;Indonesia;Total;Two parents born abroad;2023;143969.0
191;Total males and females;Total;Total;Indonesia;Total;Two parents born abroad;2024;142350.0
192;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Total;2022;257745.0
193;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Total;2023;256452.0
194;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Total;2024;255103.0
195;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Two parents born in the Netherlands;2022;
196;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Two parents born in the Netherlands;2023;
197;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Two parents born in the Netherlands;2024;
198;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;One parent born in NL, one born abroad;2022;190134.0
199;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;189285.0
200;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;188358.0
201;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Two parents born abroad;2022;67611.0
202;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Two parents born abroad;2023;67167.0
203;Total males and females;Total;Total;Indonesia;Person born in the Netherlands;Two parents born abroad;2024;66745.0
204;Total males and females;Total;Total;Indonesia;Person born abroad;Total;2022;106128.0
205;Total males and females;Total;Total;Indonesia;Person born abroad;Total;2023;103829.0
206;Total males and females;Total;Total;Indonesia;Person born abroad;Total;2024;101463.0
207;Total males and females;Total;Total;Indonesia;Person born abroad;Two parents born in the Netherlands;2022;14572.0
208;Total males and females;Total;Total;Indonesia;Person born abroad;Two parents born in the Netherlands;2023;13936.0
209;Total males and females;Total;Total;Indonesia;Person born abroad;Two parents born in the Netherlands;2024;13340.0
210;Total males and females;Total;Total;Indonesia;Person born abroad;One parent born in NL, one born abroad;2022;13660.0
211;Total males and females;Total;Total;Indonesia;Person born abroad;One parent born in NL, one born abroad;2023;13091.0
212;Total males and females;Total;Total;Indonesia;Person born abroad;One parent born in NL, one born abroad;2024;12518.0
213;Total males and females;Total;Total;Indonesia;Person born abroad;Two parents born abroad;2022;77896.0
214;Total males and females;Total;Total;Indonesia;Person born abroad;Two parents born abroad;2023;76802.0
215;Total males and females;Total;Total;Indonesia;Person born abroad;Two parents born abroad;2024;75605.0
216;Total males and females;Total;Total;Morocco;Total;Total;2022;419442.0
217;Total males and females;Total;Total;Morocco;Total;Total;2023;425034.0
218;Total males and females;Total;Total;Morocco;Total;Total;2024;429176.0
219;Total males and females;Total;Total;Morocco;Total;Two parents born in the Netherlands;2022;170.0
220;Total males and females;Total;Total;Morocco;Total;Two parents born in the Netherlands;2023;172.0
221;Total males and females;Total;Total;Morocco;Total;Two parents born in the Netherlands;2024;177.0
222;Total males and females;Total;Total;Morocco;Total;One parent born in NL, one born abroad;2022;57279.0
223;Total males and females;Total;Total;Morocco;Total;One parent born in NL, one born abroad;2023;59752.0
224;Total males and females;Total;Total;Morocco;Total;One parent born in NL, one born abroad;2024;61929.0
225;Total males and females;Total;Total;Morocco;Total;Two parents born abroad;2022;361993.0
226;Total males and females;Total;Total;Morocco;Total;Two parents born abroad;2023;365110.0
227;Total males and females;Total;Total;Morocco;Total;Two parents born abroad;2024;367070.0
228;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Total;2022;245993.0
229;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Total;2023;249716.0
230;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Total;2024;252868.0
231;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Two parents born in the Netherlands;2022;
232;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Two parents born in the Netherlands;2023;
233;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Two parents born in the Netherlands;2024;
234;Total males and females;Total;Total;Morocco;Person born in the Netherlands;One parent born in NL, one born abroad;2022;56583.0
235;Total males and females;Total;Total;Morocco;Person born in the Netherlands;One parent born in NL, one born abroad;2023;59012.0
236;Total males and females;Total;Total;Morocco;Person born in the Netherlands;One parent born in NL, one born abroad;2024;61138.0
237;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Two parents born abroad;2022;189410.0
238;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Two parents born abroad;2023;190704.0
239;Total males and females;Total;Total;Morocco;Person born in the Netherlands;Two parents born abroad;2024;191730.0
240;Total males and females;Total;Total;Morocco;Person born abroad;Total;2022;173449.0
241;Total males and females;Total;Total;Morocco;Person born abroad;Total;2023;175318.0
242;Total males and females;Total;Total;Morocco;Person born abroad;Total;2024;176308.0
243;Total males and females;Total;Total;Morocco;Person born abroad;Two parents born in the Netherlands;2022;170.0
244;Total males and females;Total;Total;Morocco;Person born abroad;Two parents born in the Netherlands;2023;172.0
245;Total males and females;Total;Total;Morocco;Person born abroad;Two parents born in the Netherlands;2024;177.0
246;Total males and females;Total;Total;Morocco;Person born abroad;One parent born in NL, one born abroad;2022;696.0
247;Total males and females;Total;Total;Morocco;Person born abroad;One parent born in NL, one born abroad;2023;740.0
248;Total males and females;Total;Total;Morocco;Person born abroad;One parent born in NL, one born abroad;2024;791.0
249;Total males and females;Total;Total;Morocco;Person born abroad;Two parents born abroad;2022;172583.0
250;Total males and females;Total;Total;Morocco;Person born abroad;Two parents born abroad;2023;174406.0
251;Total males and females;Total;Total;Morocco;Person born abroad;Two parents born abroad;2024;175340.0
252;Total males and females;Total;Total;Dutch Caribbean;Total;Total;2022;184992.0
253;Total males and females;Total;Total;Dutch Caribbean;Total;Total;2023;190180.0
254;Total males and females;Total;Total;Dutch Caribbean;Total;Total;2024;194454.0
255;Total males and females;Total;Total;Dutch Caribbean;Total;Two parents born in the Netherlands;2022;8080.0
256;Total males and females;Total;Total;Dutch Caribbean;Total;Two parents born in the Netherlands;2023;8066.0
257;Total males and females;Total;Total;Dutch Caribbean;Total;Two parents born in the Netherlands;2024;8065.0
258;Total males and females;Total;Total;Dutch Caribbean;Total;One parent born in NL, one born abroad;2022;51699.0
259;Total males and females;Total;Total;Dutch Caribbean;Total;One parent born in NL, one born abroad;2023;53139.0
260;Total males and females;Total;Total;Dutch Caribbean;Total;One parent born in NL, one born abroad;2024;54456.0
261;Total males and females;Total;Total;Dutch Caribbean;Total;Two parents born abroad;2022;125213.0
262;Total males and females;Total;Total;Dutch Caribbean;Total;Two parents born abroad;2023;128975.0
263;Total males and females;Total;Total;Dutch Caribbean;Total;Two parents born abroad;2024;131933.0
264;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Total;2022;82142.0
265;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Total;2023;84463.0
266;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Total;2024;86661.0
267;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Two parents born in the Netherlands;2022;
268;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Two parents born in the Netherlands;2023;
269;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Two parents born in the Netherlands;2024;
270;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;One parent born in NL, one born abroad;2022;46203.0
271;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;One parent born in NL, one born abroad;2023;47469.0
272;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;One parent born in NL, one born abroad;2024;48680.0
273;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Two parents born abroad;2022;35939.0
274;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Two parents born abroad;2023;36994.0
275;Total males and females;Total;Total;Dutch Caribbean;Person born in the Netherlands;Two parents born abroad;2024;37981.0
276;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Total;2022;102850.0
277;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Total;2023;105717.0
278;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Total;2024;107793.0
279;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Two parents born in the Netherlands;2022;8080.0
280;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Two parents born in the Netherlands;2023;8066.0
281;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Two parents born in the Netherlands;2024;8065.0
282;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;One parent born in NL, one born abroad;2022;5496.0
283;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;One parent born in NL, one born abroad;2023;5670.0
284;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;One parent born in NL, one born abroad;2024;5776.0
285;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Two parents born abroad;2022;89274.0
286;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Two parents born abroad;2023;91981.0
287;Total males and females;Total;Total;Dutch Caribbean;Person born abroad;Two parents born abroad;2024;93952.0
288;Total males and females;Total;Total;Suriname;Total;Total;2022;361632.0
289;Total males and females;Total;Total;Suriname;Total;Total;2023;363142.0
290;Total males and females;Total;Total;Suriname;Total;Total;2024;365352.0
291;Total males and females;Total;Total;Suriname;Total;Two parents born in the Netherlands;2022;1818.0
292;Total males and females;Total;Total;Suriname;Total;Two parents born in the Netherlands;2023;1812.0
293;Total males and females;Total;Total;Suriname;Total;Two parents born in the Netherlands;2024;1843.0
294;Total males and females;Total;Total;Suriname;Total;One parent born in NL, one born abroad;2022;77416.0
295;Total males and females;Total;Total;Suriname;Total;One parent born in NL, one born abroad;2023;78580.0
296;Total males and females;Total;Total;Suriname;Total;One parent born in NL, one born abroad;2024;79716.0
297;Total males and females;Total;Total;Suriname;Total;Two parents born abroad;2022;282398.0
298;Total males and females;Total;Total;Suriname;Total;Two parents born abroad;2023;282750.0
299;Total males and females;Total;Total;Suriname;Total;Two parents born abroad;2024;283793.0
300;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Total;2022;183687.0
301;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Total;2023;185252.0
302;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Total;2024;186649.0
303;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Two parents born in the Netherlands;2022;
304;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Two parents born in the Netherlands;2023;
305;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Two parents born in the Netherlands;2024;
