ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
88;Total government revenue;General government;2015;303955
89;Total government revenue;General government;2016 1st quarter;81337
90;Total government revenue;General government;2016 2nd quarter;81394
91;Total government revenue;General government;2016 3rd quarter;74151
92;Total government revenue;General government;2016 4th quarter;81032
93;Total government revenue;General government;2016;317914
94;Total government revenue;General government;2017 1st quarter;86264
95;Total government revenue;General government;2017 2nd quarter;82912
96;Total government revenue;General government;2017 3rd quarter;76714
97;Total government revenue;General government;2017 4th quarter;85053
98;Total government revenue;General government;2017;330943
99;Total government revenue;General government;2018 1st quarter;91780
100;Total government revenue;General government;2018 2nd quarter;87169
101;Total government revenue;General government;2018 3rd quarter;80215
102;Total government revenue;General government;2018 4th quarter;86582
103;Total government revenue;General government;2018;345746
104;Total government revenue;General government;2019 1st quarter;97746
105;Total government revenue;General government;2019 2nd quarter;90868
106;Total government revenue;General government;2019 3rd quarter;83878
107;Total government revenue;General government;2019 4th quarter;91611
108;Total government revenue;General government;2019;364103
109;Total government revenue;General government;2020 1st quarter;98148
110;Total government revenue;General government;2020 2nd quarter;84375
111;Total government revenue;General government;2020 3rd quarter;83727
112;Total government revenue;General government;2020 4th quarter;94670
113;Total government revenue;General government;2020;360920
114;Total government revenue;General government;2021 1st quarter;98856
115;Total government revenue;General government;2021 2nd quarter;96255
116;Total government revenue;General government;2021 3rd quarter;90143
117;Total government revenue;General government;2021 4th quarter;104318
118;Total government revenue;General government;2021;389572
119;Total government revenue;General government;2022 1st quarter;105701
120;Total government revenue;General government;2022 2nd quarter;111007
121;Total government revenue;General government;2022 3rd quarter;99115
122;Total government revenue;General government;2022 4th quarter;114038
123;Total government revenue;General government;2022;429861
124;Total government revenue;General government;2023 1st quarter;111204
125;Total government revenue;General government;2023 2nd quarter;119572
126;Total government revenue;General government;2023 3rd quarter;106308
127;Total government revenue;General government;2023 4th quarter;120313
128;Total government revenue;General government;2023;457397
129;Total government revenue;General government;2024 1st quarter;117135
130;Total government revenue;General government;2024 2nd quarter;129268
131;Total government revenue;General government;2024 3rd quarter;116141
132;Total government revenue;General government;2024 4th quarter;124792
133;Total government revenue;General government;2024;487336
134;Total government revenue;Central government;1995;84734
135;Total government revenue;Central government;1996;91434
136;Total government revenue;Central government;1997;94234
137;Total government revenue;Central government;1998;98274
138;Total government revenue;Central government;1999 1st quarter;25083
139;Total government revenue;Central government;1999 2nd quarter;25303
140;Total government revenue;Central government;1999 3rd quarter;25175
141;Total government revenue;Central government;1999 4th quarter;29238
142;Total government revenue;Central government;1999;104799
143;Total government revenue;Central government;2000 1st quarter;25742
144;Total government revenue;Central government;2000 2nd quarter;28414
145;Total government revenue;Central government;2000 3rd quarter;26362
146;Total government revenue;Central government;2000 4th quarter;32170
147;Total government revenue;Central government;2000;112688
148;Total government revenue;Central government;2001 1st quarter;28336
149;Total government revenue;Central government;2001 2nd quarter;31752
150;Total government revenue;Central government;2001 3rd quarter;30016
151;Total government revenue;Central government;2001 4th quarter;35420
152;Total government revenue;Central government;2001;125524
153;Total government revenue;Central government;2002 1st quarter;29630
154;Total government revenue;Central government;2002 2nd quarter;33763
155;Total government revenue;Central government;2002 3rd quarter;28975
156;Total government revenue;Central government;2002 4th quarter;35369
157;Total government revenue;Central government;2002;127737
158;Total government revenue;Central government;2003 1st quarter;29808
159;Total government revenue;Central government;2003 2nd quarter;32128
160;Total government revenue;Central government;2003 3rd quarter;29168
161;Total government revenue;Central government;2003 4th quarter;36311
162;Total government revenue;Central government;2003;127415
163;Total government revenue;Central government;2004 1st quarter;30168
164;Total government revenue;Central government;2004 2nd quarter;34420
165;Total government revenue;Central government;2004 3rd quarter;31167
166;Total government revenue;Central government;2004 4th quarter;36545
167;Total government revenue;Central government;2004;132300
168;Total government revenue;Central government;2005 1st quarter;32015
169;Total government revenue;Central government;2005 2nd quarter;35674
170;Total government revenue;Central government;2005 3rd quarter;33493
171;Total government revenue;Central government;2005 4th quarter;41637
172;Total government revenue;Central government;2005;142819
173;Total government revenue;Central government;2006 1st quarter;35114
174;Total government revenue;Central government;2006 2nd quarter;38802
175;Total government revenue;Central government;2006 3rd quarter;36146
176;Total government revenue;Central government;2006 4th quarter;45395
177;Total government revenue;Central government;2006;155457
178;Total government revenue;Central government;2007 1st quarter;38423
179;Total government revenue;Central government;2007 2nd quarter;40522
180;Total government revenue;Central government;2007 3rd quarter;35596
181;Total government revenue;Central government;2007 4th quarter;48353
182;Total government revenue;Central government;2007;162894
183;Total government revenue;Central government;2008 1st quarter;42312
184;Total government revenue;Central government;2008 2nd quarter;43621
185;Total government revenue;Central government;2008 3rd quarter;42903
186;Total government revenue;Central government;2008 4th quarter;47554
187;Total government revenue;Central government;2008;176390
188;Total government revenue;Central government;2009 1st quarter;41408
189;Total government revenue;Central government;2009 2nd quarter;42508
190;Total government revenue;Central government;2009 3rd quarter;36252
191;Total government revenue;Central government;2009 4th quarter;45625
192;Total government revenue;Central government;2009;165793
193;Total government revenue;Central government;2010 1st quarter;41881
194;Total government revenue;Central government;2010 2nd quarter;43433
195;Total government revenue;Central government;2010 3rd quarter;35947
196;Total government revenue;Central government;2010 4th quarter;48289
197;Total government revenue;Central government;2010;169550
198;Total government revenue;Central government;2011 1st quarter;44280
199;Total government revenue;Central government;2011 2nd quarter;44002
200;Total government revenue;Central government;2011 3rd quarter;38063
201;Total government revenue;Central government;2011 4th quarter;43530
202;Total government revenue;Central government;2011;169875
203;Total government revenue;Central government;2012 1st quarter;44506
204;Total government revenue;Central government;2012 2nd quarter;44324
205;Total government revenue;Central government;2012 3rd quarter;36756
206;Total government revenue;Central government;2012 4th quarter;44271
207;Total government revenue;Central government;2012;169857
208;Total government revenue;Central government;2013 1st quarter;46855
209;Total government revenue;Central government;2013 2nd quarter;45579
210;Total government revenue;Central government;2013 3rd quarter;38962
211;Total government revenue;Central government;2013 4th quarter;44784
212;Total government revenue;Central government;2013;176180
213;Total government revenue;Central government;2014 1st quarter;47094
214;Total government revenue;Central government;2014 2nd quarter;48039
215;Total government revenue;Central government;2014 3rd quarter;40187
216;Total government revenue;Central government;2014 4th quarter;45640
217;Total government revenue;Central government;2014;180960
218;Total government revenue;Central government;2015 1st quarter;48211
219;Total government revenue;Central government;2015 2nd quarter;50585
220;Total government revenue;Central government;2015 3rd quarter;39869
221;Total government revenue;Central government;2015 4th quarter;44441
222;Total government revenue;Central government;2015;183106
223;Total government revenue;Central government;2016 1st quarter;48445
224;Total government revenue;Central government;2016 2nd quarter;50376
225;Total government revenue;Central government;2016 3rd quarter;42360
226;Total government revenue;Central government;2016 4th quarter;46848
227;Total government revenue;Central government;2016;188029
228;Total government revenue;Central government;2017 1st quarter;54802
229;Total government revenue;Central government;2017 2nd quarter;50976
230;Total government revenue;Central government;2017 3rd quarter;43777
231;Total government revenue;Central government;2017 4th quarter;51442
232;Total government revenue;Central government;2017;200997
233;Total government revenue;Central government;2018 1st quarter;59088
234;Total government revenue;Central government;2018 2nd quarter;49603
235;Total government revenue;Central government;2018 3rd quarter;47643
236;Total government revenue;Central government;2018 4th quarter;52435
237;Total government revenue;Central government;2018;208769
238;Total government revenue;Central government;2019 1st quarter;65722
239;Total government revenue;Central government;2019 2nd quarter;51671
240;Total government revenue;Central government;2019 3rd quarter;49997
241;Total government revenue;Central government;2019 4th quarter;57143
242;Total government revenue;Central government;2019;224533
243;Total government revenue;Central government;2020 1st quarter;67874
244;Total government revenue;Central government;2020 2nd quarter;43010
245;Total government revenue;Central government;2020 3rd quarter;50809
246;Total government revenue;Central government;2020 4th quarter;60430
247;Total government revenue;Central government;2020;222123
248;Total government revenue;Central government;2021 1st quarter;66359
249;Total government revenue;Central government;2021 2nd quarter;51248
250;Total government revenue;Central government;2021 3rd quarter;58571
251;Total government revenue;Central government;2021 4th quarter;69484
252;Total government revenue;Central government;2021;245662
253;Total government revenue;Central government;2022 1st quarter;71839
254;Total government revenue;Central government;2022 2nd quarter;65898
255;Total government revenue;Central government;2022 3rd quarter;63220
256;Total government revenue;Central government;2022 4th quarter;75454
257;Total government revenue;Central government;2022;276411
258;Total government revenue;Central government;2023 1st quarter;75809
259;Total government revenue;Central government;2023 2nd quarter;72191
260;Total government revenue;Central government;2023 3rd quarter;70196
261;Total government revenue;Central government;2023 4th quarter;78447
262;Total government revenue;Central government;2023;296643
263;Total government revenue;Central government;2024 1st quarter;79084
264;Total government revenue;Central government;2024 2nd quarter;81280
265;Total government revenue;Central government;2024 3rd quarter;78404
266;Total government revenue;Central government;2024 4th quarter;79428
267;Total government revenue;Central government;2024;318196
268;Total government revenue;The State;1995;80306
269;Total government revenue;The State;1996;86644
270;Total government revenue;The State;1997;89268
271;Total government revenue;The State;1998;92915
272;Total government revenue;The State;1999 1st quarter;23350
273;Total government revenue;The State;1999 2nd quarter;24029
274;Total government revenue;The State;1999 3rd quarter;23603
275;Total government revenue;The State;1999 4th quarter;27929
276;Total government revenue;The State;1999;98911
277;Total government revenue;The State;2000 1st quarter;23956
278;Total government revenue;The State;2000 2nd quarter;27057
279;Total government revenue;The State;2000 3rd quarter;24693
280;Total government revenue;The State;2000 4th quarter;30771
281;Total government revenue;The State;2000;106477
282;Total government revenue;The State;2001 1st quarter;26719
283;Total government revenue;The State;2001 2nd quarter;30117
284;Total government revenue;The State;2001 3rd quarter;28410
285;Total government revenue;The State;2001 4th quarter;33721
286;Total government revenue;The State;2001;118967
287;Total government revenue;The State;2002 1st quarter;27943
288;Total government revenue;The State;2002 2nd quarter;32039
289;Total government revenue;The State;2002 3rd quarter;27257
290;Total government revenue;The State;2002 4th quarter;33654
291;Total government revenue;The State;2002;120893
292;Total government revenue;The State;2003 1st quarter;28044
293;Total government revenue;The State;2003 2nd quarter;30382
294;Total government revenue;The State;2003 3rd quarter;27460
295;Total government revenue;The State;2003 4th quarter;34626
296;Total government revenue;The State;2003;120512
297;Total government revenue;The State;2004 1st quarter;28390
298;Total government revenue;The State;2004 2nd quarter;32632
299;Total government revenue;The State;2004 3rd quarter;29417
300;Total government revenue;The State;2004 4th quarter;34728
301;Total government revenue;The State;2004;125167
302;Total government revenue;The State;2005 1st quarter;30224
303;Total government revenue;The State;2005 2nd quarter;33863
304;Total government revenue;The State;2005 3rd quarter;31725
305;Total government revenue;The State;2005 4th quarter;39828
306;Total government revenue;The State;2005;135640
307;Total government revenue;The State;2006 1st quarter;33383
308;Total government revenue;The State;2006 2nd quarter;37058
309;Total government revenue;The State;2006 3rd quarter;34437
310;Total government revenue;The State;2006 4th quarter;43653
311;Total government revenue;The State;2006;148531
312;Total government revenue;The State;2007 1st quarter;36634
313;Total government revenue;The State;2007 2nd quarter;38755
314;Total government revenue;The State;2007 3rd quarter;33850
315;Total government revenue;The State;2007 4th quarter;46565
316;Total government revenue;The State;2007;155804
317;Total government revenue;The State;2008 1st quarter;40438
318;Total government revenue;The State;2008 2nd quarter;41729
319;Total government revenue;The State;2008 3rd quarter;41061
320;Total government revenue;The State;2008 4th quarter;45688
321;Total government revenue;The State;2008;168916
322;Total government revenue;The State;2009 1st quarter;39485
323;Total government revenue;The State;2009 2nd quarter;40535
324;Total government revenue;The State;2009 3rd quarter;34349
325;Total government revenue;The State;2009 4th quarter;43662
326;Total government revenue;The State;2009;158031
327;Total government revenue;The State;2010 1st quarter;39877
328;Total government revenue;The State;2010 2nd quarter;41487
329;Total government revenue;The State;2010 3rd quarter;33995
330;Total government revenue;The State;2010 4th quarter;46305
331;Total government revenue;The State;2010;161664
332;Total government revenue;The State;2011 1st quarter;42100
333;Total government revenue;The State;2011 2nd quarter;41956
334;Total government revenue;The State;2011 3rd quarter;35965
335;Total government revenue;The State;2011 4th quarter;41467
336;Total government revenue;The State;2011;161488
337;Total government revenue;The State;2012 1st quarter;42376
338;Total government revenue;The State;2012 2nd quarter;42277
339;Total government revenue;The State;2012 3rd quarter;34705
340;Total government revenue;The State;2012 4th quarter;42267
341;Total government revenue;The State;2012;161625
342;Total government revenue;The State;2013 1st quarter;44443
343;Total government revenue;The State;2013 2nd quarter;43275
344;Total government revenue;The State;2013 3rd quarter;36628
345;Total government revenue;The State;2013 4th quarter;42458
346;Total government revenue;The State;2013;166804
347;Total government revenue;The State;2014 1st quarter;44736
348;Total government revenue;The State;2014 2nd quarter;45709
349;Total government revenue;The State;2014 3rd quarter;37861
350;Total government revenue;The State;2014 4th quarter;43340
351;Total government revenue;The State;2014;171646
352;Total government revenue;The State;2015 1st quarter;46037
353;Total government revenue;The State;2015 2nd quarter;48269
354;Total government revenue;The State;2015 3rd quarter;37653
355;Total government revenue;The State;2015 4th quarter;42363
356;Total government revenue;The State;2015;174322
357;Total government revenue;The State;2016 1st quarter;46159
358;Total government revenue;The State;2016 2nd quarter;48029
359;Total government revenue;The State;2016 3rd quarter;40064
360;Total government revenue;The State;2016 4th quarter;44427
361;Total government revenue;The State;2016;178679
362;Total government revenue;The State;2017 1st quarter;52442
363;Total government revenue;The State;2017 2nd quarter;48557
364;Total government revenue;The State;2017 3rd quarter;41424
365;Total government revenue;The State;2017 4th quarter;48931
366;Total government revenue;The State;2017;191354
367;Total government revenue;The State;2018 1st quarter;56641
368;Total government revenue;The State;2018 2nd quarter;47085
369;Total government revenue;The State;2018 3rd quarter;45172
370;Total government revenue;The State;2018 4th quarter;49801
371;Total government revenue;The State;2018;198699
372;Total government revenue;The State;2019 1st quarter;63099
373;Total government revenue;The State;2019 2nd quarter;48973
374;Total government revenue;The State;2019 3rd quarter;47418
375;Total government revenue;The State;2019 4th quarter;54502
376;Total government revenue;The State;2019;213992
377;Total government revenue;The State;2020 1st quarter;65279
378;Total government revenue;The State;2020 2nd quarter;40466
379;Total government revenue;The State;2020 3rd quarter;48212
380;Total government revenue;The State;2020 4th quarter;57645
381;Total government revenue;The State;2020;211602
382;Total government revenue;The State;2021 1st quarter;63600
383;Total government revenue;The State;2021 2nd quarter;48463
384;Total government revenue;The State;2021 3rd quarter;55894
385;Total government revenue;The State;2021 4th quarter;66642
386;Total government revenue;The State;2021;234599
387;Total government revenue;The State;2022 1st quarter;69076
388;Total government revenue;The State;2022 2nd quarter;63031
389;Total government revenue;The State;2022 3rd quarter;60271
390;Total government revenue;The State;2022 4th quarter;72459
391;Total government revenue;The State;2022;264837
392;Total government revenue;The State;2023 1st quarter;72717
393;Total government revenue;The State;2023 2nd quarter;69186
394;Total government revenue;The State;2023 3rd quarter;67060
395;Total government revenue;The State;2023 4th quarter;75242
396;Total government revenue;The State;2023;284205
397;Total government revenue;The State;2024 1st quarter;75729
398;Total government revenue;The State;2024 2nd quarter;78061
399;Total government revenue;The State;2024 3rd quarter;75059
400;Total government revenue;The State;2024 4th quarter;76034
401;Total government revenue;The State;2024;304883
402;Total government revenue;Other central government;1995;10338
403;Total government revenue;Other central government;1996;11042
404;Total government revenue;Other central government;1997;11264
405;Total government revenue;Other central government;1998;12130
406;Total government revenue;Other central government;1999 1st quarter;3930
407;Total government revenue;Other central government;1999 2nd quarter;2815
408;Total government revenue;Other central government;1999 3rd quarter;3562
409;Total government revenue;Other central government;1999 4th quarter;3507
410;Total government revenue;Other central government;1999;13814
411;Total government revenue;Other central government;2000 1st quarter;3744
412;Total government revenue;Other central government;2000 2nd quarter;3503
413;Total government revenue;Other central government;2000 3rd quarter;3585
414;Total government revenue;Other central government;2000 4th quarter;3503
415;Total government revenue;Other central government;2000;14335
416;Total government revenue;Other central government;2001 1st quarter;3817
417;Total government revenue;Other central government;2001 2nd quarter;4059
418;Total government revenue;Other central government;2001 3rd quarter;3697
419;Total government revenue;Other central government;2001 4th quarter;4009
420;Total government revenue;Other central government;2001;15582
421;Total government revenue;Other central government;2002 1st quarter;3943
422;Total government revenue;Other central government;2002 2nd quarter;4331
423;Total government revenue;Other central government;2002 3rd quarter;3942
424;Total government revenue;Other central government;2002 4th quarter;4069
425;Total government revenue;Other central government;2002;16285
426;Total government revenue;Other central government;2003 1st quarter;4121
427;Total government revenue;Other central government;2003 2nd quarter;4255
428;Total government revenue;Other central government;2003 3rd quarter;3813
429;Total government revenue;Other central government;2003 4th quarter;4288
430;Total government revenue;Other central government;2003;16477
431;Total government revenue;Other central government;2004 1st quarter;4107
432;Total government revenue;Other central government;2004 2nd quarter;4436
433;Total government revenue;Other central government;2004 3rd quarter;3954
434;Total government revenue;Other central government;2004 4th quarter;4181
435;Total government revenue;Other central government;2004;16678
436;Total government revenue;Other central government;2005 1st quarter;4213
437;Total government revenue;Other central government;2005 2nd quarter;4233
438;Total government revenue;Other central government;2005 3rd quarter;4186
439;Total government revenue;Other central government;2005 4th quarter;4228
440;Total government revenue;Other central government;2005;16860
441;Total government revenue;Other central government;2006 1st quarter;4224
442;Total government revenue;Other central government;2006 2nd quarter;4235
443;Total government revenue;Other central government;2006 3rd quarter;4197
444;Total government revenue;Other central government;2006 4th quarter;4230
445;Total government revenue;Other central government;2006;16886
446;Total government revenue;Other central government;2007 1st quarter;4239
447;Total government revenue;Other central government;2007 2nd quarter;4252
448;Total government revenue;Other central government;2007 3rd quarter;4215
449;Total government revenue;Other central government;2007 4th quarter;4251
450;Total government revenue;Other central government;2007;16957
451;Total government revenue;Other central government;2008 1st quarter;4325
452;Total government revenue;Other central government;2008 2nd quarter;4625
453;Total government revenue;Other central government;2008 3rd quarter;4217
454;Total government revenue;Other central government;2008 4th quarter;4348
455;Total government revenue;Other central government;2008;17515
456;Total government revenue;Other central government;2009 1st quarter;4655
457;Total government revenue;Other central government;2009 2nd quarter;4899
458;Total government revenue;Other central government;2009 3rd quarter;4393
459;Total government revenue;Other central government;2009 4th quarter;4323
460;Total government revenue;Other central government;2009;18270
461;Total government revenue;Other central government;2010 1st quarter;5128
462;Total government revenue;Other central government;2010 2nd quarter;6356
463;Total government revenue;Other central government;2010 3rd quarter;4709
464;Total government revenue;Other central government;2010 4th quarter;4404
465;Total government revenue;Other central government;2010;20597
466;Total government revenue;Other central government;2011 1st quarter;5162
467;Total government revenue;Other central government;2011 2nd quarter;4953
468;Total government revenue;Other central government;2011 3rd quarter;4683
469;Total government revenue;Other central government;2011 4th quarter;4714
470;Total government revenue;Other central government;2011;19512
471;Total government revenue;Other central government;2012 1st quarter;4815
472;Total government revenue;Other central government;2012 2nd quarter;5059
473;Total government revenue;Other central government;2012 3rd quarter;4508
474;Total government revenue;Other central government;2012 4th quarter;4594
475;Total government revenue;Other central government;2012;18976
476;Total government revenue;Other central government;2013 1st quarter;6720
477;Total government revenue;Other central government;2013 2nd quarter;6524
478;Total government revenue;Other central government;2013 3rd quarter;5898
479;Total government revenue;Other central government;2013 4th quarter;6678
480;Total government revenue;Other central government;2013;25820
481;Total government revenue;Other central government;2014 1st quarter;6443
482;Total government revenue;Other central government;2014 2nd quarter;6955
483;Total government revenue;Other central government;2014 3rd quarter;5789
484;Total government revenue;Other central government;2014 4th quarter;6398
485;Total government revenue;Other central government;2014;25585
486;Total government revenue;Other central government;2015 1st quarter;6334
487;Total government revenue;Other central government;2015 2nd quarter;6979
488;Total government revenue;Other central government;2015 3rd quarter;5497
489;Total government revenue;Other central government;2015 4th quarter;6636
490;Total government revenue;Other central government;2015;25446
491;Total government revenue;Other central government;2016 1st quarter;6690
492;Total government revenue;Other central government;2016 2nd quarter;6860
493;Total government revenue;Other central government;2016 3rd quarter;6297
494;Total government revenue;Other central government;2016 4th quarter;6317
495;Total government revenue;Other central government;2016;26164
496;Total government revenue;Other central government;2017 1st quarter;6842
497;Total government revenue;Other central government;2017 2nd quarter;7025
498;Total government revenue;Other central government;2017 3rd quarter;6508
499;Total government revenue;Other central government;2017 4th quarter;6489
500;Total government revenue;Other central government;2017;26864
501;Total government revenue;Other central government;2018 1st quarter;7273
502;Total government revenue;Other central government;2018 2nd quarter;7361
503;Total government revenue;Other central government;2018 3rd quarter;6401
504;Total government revenue;Other central government;2018 4th quarter;7185
505;Total government revenue;Other central government;2018;28220
506;Total government revenue;Other central government;2019 1st quarter;7182
507;Total government revenue;Other central government;2019 2nd quarter;7942
508;Total government revenue;Other central government;2019 3rd quarter;6675
509;Total government revenue;Other central government;2019 4th quarter;7366
510;Total government revenue;Other central government;2019;29165
511;Total government revenue;Other central government;2020 1st quarter;7545
512;Total government revenue;Other central government;2020 2nd quarter;8572
513;Total government revenue;Other central government;2020 3rd quarter;6843
514;Total government revenue;Other central government;2020 4th quarter;7666
515;Total government revenue;Other central government;2020;30626
516;Total government revenue;Other central government;2021 1st quarter;7977
517;Total government revenue;Other central government;2021 2nd quarter;8870
518;Total government revenue;Other central government;2021 3rd quarter;7920
519;Total government revenue;Other central government;2021 4th quarter;8121
520;Total government revenue;Other central government;2021;32888
521;Total government revenue;Other central government;2022 1st quarter;8626
522;Total government revenue;Other central government;2022 2nd quarter;9517
523;Total government revenue;Other central government;2022 3rd quarter;8640
524;Total government revenue;Other central government;2022 4th quarter;9708
525;Total government revenue;Other central government;2022;36491
526;Total government revenue;Other central government;2023 1st quarter;9885
527;Total government revenue;Other central government;2023 2nd quarter;10133
528;Total government revenue;Other central government;2023 3rd quarter;10163
529;Total government revenue;Other central government;2023 4th quarter;9881
530;Total government revenue;Other central government;2023;40062
531;Total government revenue;Other central government;2024 1st quarter;10882
532;Total government revenue;Other central government;2024 2nd quarter;11526
533;Total government revenue;Other central government;2024 3rd quarter;10549
534;Total government revenue;Other central government;2024 4th quarter;11437
535;Total government revenue;Other central government;2024;44394
536;Total government revenue;Local government;1995;70086
537;Total government revenue;Local government;1996;53418
538;Total government revenue;Local government;1997;56409
539;Total government revenue;Local government;1998;56408
540;Total government revenue;Local government;1999 1st quarter;14969
541;Total government revenue;Local government;1999 2nd quarter;14688
542;Total government revenue;Local government;1999 3rd quarter;14572
543;Total government revenue;Local government;1999 4th quarter;15575
544;Total government revenue;Local government;1999;59804
545;Total government revenue;Local government;2000 1st quarter;15231
546;Total government revenue;Local government;2000 2nd quarter;16629
547;Total government revenue;Local government;2000 3rd quarter;15233
548;Total government revenue;Local government;2000 4th quarter;16778
549;Total government revenue;Local government;2000;63871
550;Total government revenue;Local government;2001 1st quarter;16284
551;Total government revenue;Local government;2001 2nd quarter;17594
552;Total government revenue;Local government;2001 3rd quarter;16042
553;Total government revenue;Local government;2001 4th quarter;17300
554;Total government revenue;Local government;2001;67220
555;Total government revenue;Local government;2002 1st quarter;17265
556;Total government revenue;Local government;2002 2nd quarter;18875
557;Total government revenue;Local government;2002 3rd quarter;17056
558;Total government revenue;Local government;2002 4th quarter;17853
559;Total government revenue;Local government;2002;71049
560;Total government revenue;Local government;2003 1st quarter;19076
561;Total government revenue;Local government;2003 2nd quarter;20390
562;Total government revenue;Local government;2003 3rd quarter;18415
563;Total government revenue;Local government;2003 4th quarter;18601
564;Total government revenue;Local government;2003;76482
565;Total government revenue;Local government;2004 1st quarter;19753
566;Total government revenue;Local government;2004 2nd quarter;20699
567;Total government revenue;Local government;2004 3rd quarter;17767
568;Total government revenue;Local government;2004 4th quarter;18610
569;Total government revenue;Local government;2004;76829
570;Total government revenue;Local government;2005 1st quarter;19407
571;Total government revenue;Local government;2005 2nd quarter;20374
572;Total government revenue;Local government;2005 3rd quarter;19022
573;Total government revenue;Local government;2005 4th quarter;19466
574;Total government revenue;Local government;2005;78269
575;Total government revenue;Local government;2006 1st quarter;19356
576;Total government revenue;Local government;2006 2nd quarter;21134
577;Total government revenue;Local government;2006 3rd quarter;19224
578;Total government revenue;Local government;2006 4th quarter;20291
579;Total government revenue;Local government;2006;80005
580;Total government revenue;Local government;2007 1st quarter;20647
581;Total government revenue;Local government;2007 2nd quarter;21954
582;Total government revenue;Local government;2007 3rd quarter;21047
583;Total government revenue;Local government;2007 4th quarter;21574
584;Total government revenue;Local government;2007;85222
