ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
113;Total 1 or more employed persons;350400;2008 4th quarter;155.0;6.4
114;Total 1 or more employed persons;350400;2008;133.6;10.4
115;Total 1 or more employed persons;350400;2009 1st quarter;115.0;-1.4
116;Total 1 or more employed persons;350400;2009 2nd quarter;134.2;-6.1
117;Total 1 or more employed persons;350400;2009 3rd quarter;110.5;-8.0
118;Total 1 or more employed persons;350400;2009 4th quarter;130.9;-15.6
119;Total 1 or more employed persons;350400;2009;122.6;-8.2
120;Total 1 or more employed persons;350400;2010 1st quarter;90.6;-21.2
121;Total 1 or more employed persons;350400;2010 2nd quarter;118.9;-11.4
122;Total 1 or more employed persons;350400;2010 3rd quarter;99.5;-9.9
123;Total 1 or more employed persons;350400;2010 4th quarter;122.5;-6.4
124;Total 1 or more employed persons;350400;2010;107.9;-12.1
125;Total 1 or more employed persons;350400;2011 1st quarter;99.4;9.7
126;Total 1 or more employed persons;350400;2011 2nd quarter;119.7;0.6
127;Total 1 or more employed persons;350400;2011 3rd quarter;103.0;3.6
128;Total 1 or more employed persons;350400;2011 4th quarter;122.2;-0.2
129;Total 1 or more employed persons;350400;2011;111.0;3.0
130;Total 1 or more employed persons;350400;2012 1st quarter;87.5;-11.9
131;Total 1 or more employed persons;350400;2012 2nd quarter;108.1;-9.6
132;Total 1 or more employed persons;350400;2012 3rd quarter;97.4;-5.4
133;Total 1 or more employed persons;350400;2012 4th quarter;106.2;-13.1
134;Total 1 or more employed persons;350400;2012;99.8;-10.1
135;Total 1 or more employed persons;350400;2013 1st quarter;76.5;-12.6
136;Total 1 or more employed persons;350400;2013 2nd quarter;97.0;-10.3
137;Total 1 or more employed persons;350400;2013 3rd quarter;86.9;-10.9
138;Total 1 or more employed persons;350400;2013 4th quarter;108.0;1.7
139;Total 1 or more employed persons;350400;2013;92.1;-7.7
140;Total 1 or more employed persons;350400;2014 1st quarter;77.2;0.8
141;Total 1 or more employed persons;350400;2014 2nd quarter;93.0;-4.2
142;Total 1 or more employed persons;350400;2014 3rd quarter;82.9;-4.6
143;Total 1 or more employed persons;350400;2014 4th quarter;111.4;3.1
144;Total 1 or more employed persons;350400;2014;91.1;-1.1
145;Total 1 or more employed persons;350400;2015 1st quarter;84.5;9.5
146;Total 1 or more employed persons;350400;2015 2nd quarter;107.5;15.7
147;Total 1 or more employed persons;350400;2015 3rd quarter;90.3;8.9
148;Total 1 or more employed persons;350400;2015 4th quarter;117.7;5.7
149;Total 1 or more employed persons;350400;2015;100.0;9.8
150;Total 1 or more employed persons;350400;2016 1st quarter;91.3;8.1
151;Total 1 or more employed persons;350400;2016 2nd quarter;111.3;3.5
152;Total 1 or more employed persons;350400;2016 3rd quarter;101.8;12.7
153;Total 1 or more employed persons;350400;2016 4th quarter;132.5;12.5
154;Total 1 or more employed persons;350400;2016;109.2;9.2
155;Total 1 or more employed persons;350400;2017 1st quarter;100.4;10.1
156;Total 1 or more employed persons;350400;2017 2nd quarter;123.3;10.8
157;Total 1 or more employed persons;350400;2017 3rd quarter;110.1;8.2
158;Total 1 or more employed persons;350400;2017 4th quarter;146.3;10.4
159;Total 1 or more employed persons;350400;2017;120.0;9.9
160;Total 1 or more employed persons;350400;2018 1st quarter;112.4;11.9
161;Total 1 or more employed persons;350400;2018 2nd quarter;140.2;13.8
162;Total 1 or more employed persons;350400;2018 3rd quarter;122.4;11.1
163;Total 1 or more employed persons;350400;2018 4th quarter;167.5;14.5
164;Total 1 or more employed persons;350400;2018;135.6;13.0
165;Total 1 or more employed persons;350400;2019 1st quarter;126.3;12.4
166;Total 1 or more employed persons;350400;2019 2nd quarter;154.6;10.3
167;Total 1 or more employed persons;350400;2019 3rd quarter;136.9;11.8
168;Total 1 or more employed persons;350400;2019 4th quarter;168.1;0.4
169;Total 1 or more employed persons;350400;2019;146.5;8.0
170;Total 1 or more employed persons;350400;2020 1st quarter;135.6;7.4
171;Total 1 or more employed persons;350400;2020 2nd quarter;149.5;-3.3
172;Total 1 or more employed persons;350400;2020 3rd quarter;134.5;-1.7
173;Total 1 or more employed persons;350400;2020 4th quarter;170.4;1.4
174;Total 1 or more employed persons;350400;2020;147.5;0.7
175;Total 1 or more employed persons;350400;2021 1st quarter;140.1;3.3
176;Total 1 or more employed persons;350400;2021 2nd quarter;168.2;12.5
177;Total 1 or more employed persons;350400;2021 3rd quarter;145.5;8.2
178;Total 1 or more employed persons;350400;2021 4th quarter;191.7;12.5
179;Total 1 or more employed persons;350400;2021;161.4;9.4
180;Total 1 or more employed persons;350400;2022 1st quarter;151.7;8.3
181;Total 1 or more employed persons;350400;2022 2nd quarter;183.9;9.3
182;Total 1 or more employed persons;350400;2022 3rd quarter;161.1;10.7
183;Total 1 or more employed persons;350400;2022 4th quarter;207.0;8.0
184;Total 1 or more employed persons;350400;2022;175.9;9.0
185;Total 1 or more employed persons;350400;2023 1st quarter;164.0;8.1
186;Total 1 or more employed persons;350400;2023 2nd quarter;190.6;3.6
187;Total 1 or more employed persons;350400;2023 3rd quarter;165.0;2.4
188;Total 1 or more employed persons;350400;2023 4rd quarter;209.5;1.2
189;Total 1 or more employed persons;350400;2023;182.3;3.6
190;Total 1 or more employed persons;350600;2005 1st quarter;51.3;3.0
191;Total 1 or more employed persons;350600;2005 2nd quarter;76.7;10.6
192;Total 1 or more employed persons;350600;2005 3rd quarter;73.6;14.4
193;Total 1 or more employed persons;350600;2005 4th quarter;100.7;3.9
194;Total 1 or more employed persons;350600;2005;75.6;7.8
195;Total 1 or more employed persons;350600;2006 1st quarter;55.0;7.3
196;Total 1 or more employed persons;350600;2006 2nd quarter;83.6;8.9
197;Total 1 or more employed persons;350600;2006 3rd quarter;82.2;11.7
198;Total 1 or more employed persons;350600;2006 4th quarter;113.8;13.0
199;Total 1 or more employed persons;350600;2006;83.7;10.7
200;Total 1 or more employed persons;350600;2007 1st quarter;63.9;16.2
201;Total 1 or more employed persons;350600;2007 2nd quarter;88.3;5.7
202;Total 1 or more employed persons;350600;2007 3rd quarter;83.3;1.3
203;Total 1 or more employed persons;350600;2007 4th quarter;116.7;2.5
204;Total 1 or more employed persons;350600;2007;88.0;5.3
205;Total 1 or more employed persons;350600;2008 1st quarter;68.4;7.0
206;Total 1 or more employed persons;350600;2008 2nd quarter;96.5;9.3
207;Total 1 or more employed persons;350600;2008 3rd quarter;89.3;7.3
208;Total 1 or more employed persons;350600;2008 4th quarter;116.6;-0.1
209;Total 1 or more employed persons;350600;2008;92.7;5.3
210;Total 1 or more employed persons;350600;2009 1st quarter;72.7;6.2
211;Total 1 or more employed persons;350600;2009 2nd quarter;97.5;1.0
212;Total 1 or more employed persons;350600;2009 3rd quarter;94.5;5.8
213;Total 1 or more employed persons;350600;2009 4th quarter;118.4;1.6
214;Total 1 or more employed persons;350600;2009;95.8;3.3
215;Total 1 or more employed persons;350600;2010 1st quarter;61.5;-15.4
216;Total 1 or more employed persons;350600;2010 2nd quarter;94.2;-3.5
217;Total 1 or more employed persons;350600;2010 3rd quarter;87.2;-7.8
218;Total 1 or more employed persons;350600;2010 4th quarter;114.4;-3.4
219;Total 1 or more employed persons;350600;2010;89.3;-6.8
220;Total 1 or more employed persons;350600;2011 1st quarter;69.0;12.2
221;Total 1 or more employed persons;350600;2011 2nd quarter;97.0;3.0
222;Total 1 or more employed persons;350600;2011 3rd quarter;90.9;4.3
223;Total 1 or more employed persons;350600;2011 4th quarter;122.6;7.1
224;Total 1 or more employed persons;350600;2011;94.9;6.2
225;Total 1 or more employed persons;350600;2012 1st quarter;68.2;-1.1
226;Total 1 or more employed persons;350600;2012 2nd quarter;100.8;3.9
227;Total 1 or more employed persons;350600;2012 3rd quarter;92.7;2.0
228;Total 1 or more employed persons;350600;2012 4th quarter;123.8;1.0
229;Total 1 or more employed persons;350600;2012;96.4;1.6
230;Total 1 or more employed persons;350600;2013 1st quarter;67.2;-1.6
231;Total 1 or more employed persons;350600;2013 2nd quarter;97.6;-3.1
232;Total 1 or more employed persons;350600;2013 3rd quarter;93.1;0.5
233;Total 1 or more employed persons;350600;2013 4th quarter;116.9;-5.6
234;Total 1 or more employed persons;350600;2013;93.7;-2.8
235;Total 1 or more employed persons;350600;2014 1st quarter;70.4;4.8
236;Total 1 or more employed persons;350600;2014 2nd quarter;98.3;0.7
237;Total 1 or more employed persons;350600;2014 3rd quarter;94.7;1.7
238;Total 1 or more employed persons;350600;2014 4th quarter;136.3;16.6
239;Total 1 or more employed persons;350600;2014;99.9;6.6
240;Total 1 or more employed persons;350600;2015 1st quarter;72.0;2.2
241;Total 1 or more employed persons;350600;2015 2nd quarter;98.2;-0.1
242;Total 1 or more employed persons;350600;2015 3rd quarter;104.0;9.8
243;Total 1 or more employed persons;350600;2015 4th quarter;125.9;-7.7
244;Total 1 or more employed persons;350600;2015;100.0;0.1
245;Total 1 or more employed persons;350600;2016 1st quarter;70.3;-2.4
246;Total 1 or more employed persons;350600;2016 2nd quarter;95.6;-2.6
247;Total 1 or more employed persons;350600;2016 3rd quarter;98.8;-5.0
248;Total 1 or more employed persons;350600;2016 4th quarter;123.5;-1.9
249;Total 1 or more employed persons;350600;2016;97.1;-2.9
250;Total 1 or more employed persons;350600;2017 1st quarter;73.8;5.0
251;Total 1 or more employed persons;350600;2017 2nd quarter;99.2;3.8
252;Total 1 or more employed persons;350600;2017 3rd quarter;99.9;1.1
253;Total 1 or more employed persons;350600;2017 4th quarter;131.4;6.4
254;Total 1 or more employed persons;350600;2017;101.1;4.1
255;Total 1 or more employed persons;350600;2018 1st quarter;75.9;2.8
256;Total 1 or more employed persons;350600;2018 2nd quarter;111.5;12.4
257;Total 1 or more employed persons;350600;2018 3rd quarter;106.0;6.1
258;Total 1 or more employed persons;350600;2018 4th quarter;133.4;1.5
259;Total 1 or more employed persons;350600;2018;106.7;5.6
260;Total 1 or more employed persons;350600;2019 1st quarter;86.3;13.8
261;Total 1 or more employed persons;350600;2019 2nd quarter;114.5;2.7
262;Total 1 or more employed persons;350600;2019 3rd quarter;115.6;9.0
263;Total 1 or more employed persons;350600;2019 4th quarter;141.4;6.0
264;Total 1 or more employed persons;350600;2019;114.5;7.3
265;Total 1 or more employed persons;350600;2020 1st quarter;96.0;11.2
266;Total 1 or more employed persons;350600;2020 2nd quarter;124.8;9.0
267;Total 1 or more employed persons;350600;2020 3rd quarter;120.8;4.5
268;Total 1 or more employed persons;350600;2020 4th quarter;140.6;-0.6
269;Total 1 or more employed persons;350600;2020;120.5;5.3
270;Total 1 or more employed persons;350600;2021 1st quarter;94.1;-2.0
271;Total 1 or more employed persons;350600;2021 2nd quarter;121.9;-2.3
272;Total 1 or more employed persons;350600;2021 3rd quarter;122.0;1.0
273;Total 1 or more employed persons;350600;2021 4th quarter;144.2;2.5
274;Total 1 or more employed persons;350600;2021;120.5;0.0
275;Total 1 or more employed persons;350600;2022 1st quarter;98.5;4.7
276;Total 1 or more employed persons;350600;2022 2nd quarter;130.8;7.3
277;Total 1 or more employed persons;350600;2022 3rd quarter;122.4;0.3
278;Total 1 or more employed persons;350600;2022 4th quarter;160.6;11.4
279;Total 1 or more employed persons;350600;2022;128.1;6.2
280;Total 1 or more employed persons;350600;2023 1st quarter;110.4;12.0
281;Total 1 or more employed persons;350600;2023 2nd quarter;142.7;9.0
282;Total 1 or more employed persons;350600;2023 3rd quarter;132.6;8.4
283;Total 1 or more employed persons;350600;2023 4rd quarter;165.0;2.7
284;Total 1 or more employed persons;350600;2023;137.7;7.5
285;Total 1 or more employed persons;351900;2005 1st quarter;68.8;-1.4
286;Total 1 or more employed persons;351900;2005 2nd quarter;87.7;9.1
287;Total 1 or more employed persons;351900;2005 3rd quarter;79.7;8.7
288;Total 1 or more employed persons;351900;2005 4th quarter;100.2;7.1
289;Total 1 or more employed persons;351900;2005;84.1;6.1
290;Total 1 or more employed persons;351900;2006 1st quarter;76.0;10.5
291;Total 1 or more employed persons;351900;2006 2nd quarter;92.4;5.3
292;Total 1 or more employed persons;351900;2006 3rd quarter;84.5;6.0
293;Total 1 or more employed persons;351900;2006 4th quarter;108.8;8.6
294;Total 1 or more employed persons;351900;2006;90.4;7.5
295;Total 1 or more employed persons;351900;2007 1st quarter;86.7;14.0
296;Total 1 or more employed persons;351900;2007 2nd quarter;102.6;11.1
297;Total 1 or more employed persons;351900;2007 3rd quarter;93.3;10.4
298;Total 1 or more employed persons;351900;2007 4th quarter;118.6;9.0
299;Total 1 or more employed persons;351900;2007;100.3;10.9
300;Total 1 or more employed persons;351900;2008 1st quarter;96.4;11.3
301;Total 1 or more employed persons;351900;2008 2nd quarter;116.3;13.3
302;Total 1 or more employed persons;351900;2008 3rd quarter;104.6;12.2
303;Total 1 or more employed persons;351900;2008 4th quarter;126.3;6.5
304;Total 1 or more employed persons;351900;2008;110.9;10.6
305;Total 1 or more employed persons;351900;2009 1st quarter;98.5;2.2
306;Total 1 or more employed persons;351900;2009 2nd quarter;111.7;-4.0
307;Total 1 or more employed persons;351900;2009 3rd quarter;98.5;-5.8
308;Total 1 or more employed persons;351900;2009 4th quarter;115.6;-8.5
309;Total 1 or more employed persons;351900;2009;106.1;-4.3
310;Total 1 or more employed persons;351900;2010 1st quarter;84.7;-14.0
311;Total 1 or more employed persons;351900;2010 2nd quarter;104.0;-6.9
312;Total 1 or more employed persons;351900;2010 3rd quarter;94.7;-3.9
313;Total 1 or more employed persons;351900;2010 4th quarter;112.1;-3.0
314;Total 1 or more employed persons;351900;2010;98.9;-6.8
315;Total 1 or more employed persons;351900;2011 1st quarter;91.3;7.8
316;Total 1 or more employed persons;351900;2011 2nd quarter;109.0;4.8
317;Total 1 or more employed persons;351900;2011 3rd quarter;97.9;3.3
318;Total 1 or more employed persons;351900;2011 4th quarter;115.3;2.8
319;Total 1 or more employed persons;351900;2011;103.4;4.5
320;Total 1 or more employed persons;351900;2012 1st quarter;84.4;-7.6
321;Total 1 or more employed persons;351900;2012 2nd quarter;99.5;-8.7
322;Total 1 or more employed persons;351900;2012 3rd quarter;91.9;-6.1
323;Total 1 or more employed persons;351900;2012 4th quarter;104.8;-9.1
324;Total 1 or more employed persons;351900;2012;95.1;-7.9
325;Total 1 or more employed persons;351900;2013 1st quarter;76.9;-8.8
326;Total 1 or more employed persons;351900;2013 2nd quarter;95.5;-4.0
327;Total 1 or more employed persons;351900;2013 3rd quarter;90.6;-1.4
328;Total 1 or more employed persons;351900;2013 4th quarter;109.4;4.3
329;Total 1 or more employed persons;351900;2013;93.1;-2.2
330;Total 1 or more employed persons;351900;2014 1st quarter;83.0;7.9
331;Total 1 or more employed persons;351900;2014 2nd quarter;95.1;-0.4
332;Total 1 or more employed persons;351900;2014 3rd quarter;90.2;-0.5
333;Total 1 or more employed persons;351900;2014 4th quarter;112.8;3.1
334;Total 1 or more employed persons;351900;2014;95.3;2.3
335;Total 1 or more employed persons;351900;2015 1st quarter;86.5;4.2
336;Total 1 or more employed persons;351900;2015 2nd quarter;104.6;10.0
337;Total 1 or more employed persons;351900;2015 3rd quarter;94.0;4.3
338;Total 1 or more employed persons;351900;2015 4th quarter;114.8;1.8
339;Total 1 or more employed persons;351900;2015;100.0;5.0
340;Total 1 or more employed persons;351900;2016 1st quarter;92.4;6.7
341;Total 1 or more employed persons;351900;2016 2nd quarter;109.8;4.9
342;Total 1 or more employed persons;351900;2016 3rd quarter;104.8;11.5
343;Total 1 or more employed persons;351900;2016 4th quarter;124.4;8.4
344;Total 1 or more employed persons;351900;2016;107.9;7.9
345;Total 1 or more employed persons;351900;2017 1st quarter;96.0;3.9
346;Total 1 or more employed persons;351900;2017 2nd quarter;113.8;3.7
347;Total 1 or more employed persons;351900;2017 3rd quarter;105.6;0.7
348;Total 1 or more employed persons;351900;2017 4th quarter;131.1;5.3
349;Total 1 or more employed persons;351900;2017;111.6;3.5
350;Total 1 or more employed persons;351900;2018 1st quarter;103.4;7.7
351;Total 1 or more employed persons;351900;2018 2nd quarter;125.8;10.5
352;Total 1 or more employed persons;351900;2018 3rd quarter;116.4;10.2
353;Total 1 or more employed persons;351900;2018 4th quarter;146.2;11.5
354;Total 1 or more employed persons;351900;2018;122.9;10.1
355;Total 1 or more employed persons;351900;2019 1st quarter;114.0;10.3
356;Total 1 or more employed persons;351900;2019 2nd quarter;136.1;8.2
357;Total 1 or more employed persons;351900;2019 3rd quarter;125.2;7.6
358;Total 1 or more employed persons;351900;2019 4th quarter;150.0;2.6
359;Total 1 or more employed persons;351900;2019;131.3;6.8
360;Total 1 or more employed persons;351900;2020 1st quarter;127.0;11.3
361;Total 1 or more employed persons;351900;2020 2nd quarter;134.9;-0.9
362;Total 1 or more employed persons;351900;2020 3rd quarter;127.8;2.1
363;Total 1 or more employed persons;351900;2020 4th quarter;155.3;3.6
364;Total 1 or more employed persons;351900;2020;136.3;3.8
365;Total 1 or more employed persons;351900;2021 1st quarter;130.5;2.7
366;Total 1 or more employed persons;351900;2021 2nd quarter;151.8;12.5
367;Total 1 or more employed persons;351900;2021 3rd quarter;140.0;9.5
368;Total 1 or more employed persons;351900;2021 4th quarter;175.0;12.7
369;Total 1 or more employed persons;351900;2021;149.3;9.6
370;Total 1 or more employed persons;351900;2022 1st quarter;144.1;10.5
371;Total 1 or more employed persons;351900;2022 2nd quarter;171.3;12.8
372;Total 1 or more employed persons;351900;2022 3rd quarter;156.8;12.0
373;Total 1 or more employed persons;351900;2022 4th quarter;197.8;13.0
374;Total 1 or more employed persons;351900;2022;167.5;12.2
375;Total 1 or more employed persons;351900;2023 1st quarter;166.4;15.4
376;Total 1 or more employed persons;351900;2023 2nd quarter;190.5;11.2
377;Total 1 or more employed persons;351900;2023 3rd quarter;171.0;9.1
378;Total 1 or more employed persons;351900;2023 4rd quarter;204.7;3.5
379;Total 1 or more employed persons;351900;2023;183.1;9.3
380;1 to 9 employed persons;900063;2005 1st quarter;48.2;-0.7
381;1 to 9 employed persons;900063;2005 2nd quarter;65.7;8.3
382;1 to 9 employed persons;900063;2005 3rd quarter;59.9;10.6
383;1 to 9 employed persons;900063;2005 4th quarter;76.9;9.1
384;1 to 9 employed persons;900063;2005;62.7;7.2
385;1 to 9 employed persons;900063;2006 1st quarter;55.1;14.4
386;1 to 9 employed persons;900063;2006 2nd quarter;73.0;11.2
387;1 to 9 employed persons;900063;2006 3rd quarter;66.7;11.2
388;1 to 9 employed persons;900063;2006 4th quarter;88.2;14.7
389;1 to 9 employed persons;900063;2006;70.8;12.9
390;1 to 9 employed persons;900063;2007 1st quarter;63.8;15.8
391;1 to 9 employed persons;900063;2007 2nd quarter;80.9;10.8
392;1 to 9 employed persons;900063;2007 3rd quarter;73.6;10.4
393;1 to 9 employed persons;900063;2007 4th quarter;94.0;6.6
394;1 to 9 employed persons;900063;2007;78.1;10.4
395;1 to 9 employed persons;900063;2008 1st quarter;76.6;20.0
396;1 to 9 employed persons;900063;2008 2nd quarter;94.3;16.6
397;1 to 9 employed persons;900063;2008 3rd quarter;85.4;15.9
398;1 to 9 employed persons;900063;2008 4th quarter;105.9;12.6
399;1 to 9 employed persons;900063;2008;90.5;16.0
400;1 to 9 employed persons;900063;2009 1st quarter;80.3;4.9
401;1 to 9 employed persons;900063;2009 2nd quarter;96.0;1.7
402;1 to 9 employed persons;900063;2009 3rd quarter;84.4;-1.1
403;1 to 9 employed persons;900063;2009 4th quarter;101.4;-4.2
404;1 to 9 employed persons;900063;2009;90.5;0.0
405;1 to 9 employed persons;900063;2010 1st quarter;69.8;-13.1
406;1 to 9 employed persons;900063;2010 2nd quarter;91.5;-4.7
407;1 to 9 employed persons;900063;2010 3rd quarter;82.6;-2.1
408;1 to 9 employed persons;900063;2010 4th quarter;101.0;-0.4
409;1 to 9 employed persons;900063;2010;86.2;-4.8
410;1 to 9 employed persons;900063;2011 1st quarter;79.3;13.6
411;1 to 9 employed persons;900063;2011 2nd quarter;99.8;9.1
412;1 to 9 employed persons;900063;2011 3rd quarter;89.5;8.3
413;1 to 9 employed persons;900063;2011 4th quarter;101.3;0.3
414;1 to 9 employed persons;900063;2011;92.5;7.2
415;1 to 9 employed persons;900063;2012 1st quarter;72.8;-8.2
