ID;Geslacht;PositieInDeWerkkring;Persoonskenmerken;Thuiswerken;Perioden;WerkzameBeroepsbevolking_1
115;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2024;745
116;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2021;739
117;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2022;763
118;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2023;815
119;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Niet thuiswerken;2024;824
120;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Totaal;2021;284
121;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Totaal;2022;312
122;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Totaal;2023;357
123;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Totaal;2024;393
124;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2021;164
125;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2022;179
126;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2023;192
127;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal of soms thuiswerken;2024;219
128;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2021;87
129;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2022;94
130;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2023;93
131;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Meestal thuiswerken;2024;101
132;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2021;77
133;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2022;85
134;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2023;100
135;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Soms thuiswerken;2024;118
136;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2021;119
137;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2022;133
138;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2023;164
139;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;Niet thuiswerken;2024;174
140;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2021;1786
141;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2022;1847
142;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2023;1959
143;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2024;1959
144;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2021;374
145;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2022;384
146;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2023;392
147;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal of soms thuiswerken;2024;406
148;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal thuiswerken;2021;150
149;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal thuiswerken;2022;141
150;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal thuiswerken;2023;127
151;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Meestal thuiswerken;2024;138
152;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Soms thuiswerken;2021;224
153;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Soms thuiswerken;2022;243
154;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Soms thuiswerken;2023;265
155;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Soms thuiswerken;2024;269
156;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Niet thuiswerken;2021;1412
157;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Niet thuiswerken;2022;1463
158;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Niet thuiswerken;2023;1568
159;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Niet thuiswerken;2024;1552
160;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Totaal;2021;3631
161;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Totaal;2022;3665
162;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Totaal;2023;3720
163;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Totaal;2024;3688
164;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal of soms thuiswerken;2021;1542
165;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal of soms thuiswerken;2022;1491
166;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal of soms thuiswerken;2023;1480
167;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal of soms thuiswerken;2024;1450
168;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal thuiswerken;2021;528
169;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal thuiswerken;2022;428
170;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal thuiswerken;2023;386
171;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Meestal thuiswerken;2024;361
172;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Soms thuiswerken;2021;1013
173;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Soms thuiswerken;2022;1063
174;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Soms thuiswerken;2023;1094
175;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Soms thuiswerken;2024;1090
176;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Niet thuiswerken;2021;2089
177;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Niet thuiswerken;2022;2174
178;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Niet thuiswerken;2023;2239
179;Totaal mannen en vrouwen;Totaal;2 Havo, vwo, mbo2-4;Niet thuiswerken;2024;2238
180;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Totaal;2021;3779
181;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Totaal;2022;3984
182;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Totaal;2023;4007
183;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Totaal;2024;4097
184;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal of soms thuiswerken;2021;3062
185;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal of soms thuiswerken;2022;3180
186;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal of soms thuiswerken;2023;3173
187;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal of soms thuiswerken;2024;3233
188;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal thuiswerken;2021;1229
189;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal thuiswerken;2022;955
190;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal thuiswerken;2023;765
191;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Meestal thuiswerken;2024;745
192;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Soms thuiswerken;2021;1833
193;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Soms thuiswerken;2022;2226
194;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Soms thuiswerken;2023;2408
195;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Soms thuiswerken;2024;2488
196;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Niet thuiswerken;2021;717
197;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Niet thuiswerken;2022;804
198;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Niet thuiswerken;2023;834
199;Totaal mannen en vrouwen;Totaal;3 Hbo, wo;Niet thuiswerken;2024;864
200;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Totaal;2021;59
201;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Totaal;2022;52
202;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Totaal;2023;51
203;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Totaal;2024;54
204;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal of soms thuiswerken;2021;18
205;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal of soms thuiswerken;2022;14
206;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal of soms thuiswerken;2023;13
207;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal of soms thuiswerken;2024;16
208;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal thuiswerken;2021;8
209;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal thuiswerken;2022;7
210;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal thuiswerken;2023;4
211;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Meestal thuiswerken;2024;6
212;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Soms thuiswerken;2021;10
213;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Soms thuiswerken;2022;7
214;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Soms thuiswerken;2023;9
215;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Soms thuiswerken;2024;10
216;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Niet thuiswerken;2021;41
217;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Niet thuiswerken;2022;39
218;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Niet thuiswerken;2023;37
219;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: weet niet of onbekend;Niet thuiswerken;2024;37
220;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Totaal;2021;4455
221;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Totaal;2022;4563
222;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Totaal;2023;4673
223;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Totaal;2024;4717
224;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal of soms thuiswerken;2021;1901
225;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal of soms thuiswerken;2022;1917
226;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal of soms thuiswerken;2023;1910
227;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal of soms thuiswerken;2024;1918
228;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal thuiswerken;2021;749
229;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal thuiswerken;2022;615
230;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal thuiswerken;2023;511
231;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Meestal thuiswerken;2024;506
232;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Soms thuiswerken;2021;1152
233;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Soms thuiswerken;2022;1301
234;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Soms thuiswerken;2023;1399
235;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Soms thuiswerken;2024;1412
236;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Niet thuiswerken;2021;2554
237;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Niet thuiswerken;2022;2647
238;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Niet thuiswerken;2023;2763
239;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;Niet thuiswerken;2024;2799
240;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Totaal;2021;829
241;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Totaal;2022;815
242;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Totaal;2023;824
243;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Totaal;2024;822
244;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal of soms thuiswerken;2021;192
245;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal of soms thuiswerken;2022;189
246;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal of soms thuiswerken;2023;184
247;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal of soms thuiswerken;2024;171
248;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal thuiswerken;2021;111
249;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal thuiswerken;2022;110
250;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal thuiswerken;2023;97
251;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Meestal thuiswerken;2024;97
252;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Soms thuiswerken;2021;81
253;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Soms thuiswerken;2022;79
254;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Soms thuiswerken;2023;87
255;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Soms thuiswerken;2024;74
256;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Niet thuiswerken;2021;636
257;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;Niet thuiswerken;2022;626
