ID;InkomensbronEersteJaar;InkomensbronTweedeJaar;Perioden;Koopkrachtontwikkeling_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageVanCategorieIn1eJaar_8;PercentageMetInkomensdaling_9
32;Totaal personen;1.1 Loon werknemer;2003;0.6;-18.0;-6.0;0.6;7.3;19.0;52;52;47.0
33;Totaal personen;1.1 Loon werknemer;2004;1.4;-16.0;-5.1;1.4;8.6;21.0;52;52;43.0
34;Totaal personen;1.1 Loon werknemer;2005;0.1;-18.0;-6.4;0.1;7.8;20.0;51;51;49.0
35;Totaal personen;1.1 Loon werknemer;2006;4.2;-14.0;-2.8;4.2;12.6;27.0;51;51;33.0
36;Totaal personen;1.1 Loon werknemer;2007;3.9;-13.0;-2.3;3.9;11.7;25.0;51;51;32.0
37;Totaal personen;1.1 Loon werknemer;2008;1.9;-15.0;-4.3;1.9;9.3;21.0;51;51;41.0
38;Totaal personen;1.1 Loon werknemer;2009;3.0;-15.0;-3.8;3.0;10.1;22.0;50;50;37.0
39;Totaal personen;1.1 Loon werknemer;2010;-0.2;-18.0;-6.5;-0.2;6.3;19.0;49;49;51.0
40;Totaal personen;1.1 Loon werknemer;2011;0.4;-16.0;-5.3;0.4;6.9;19.0;48;48;48.0
41;Totaal personen;1.1 Loon werknemer;2012;-0.7;-17.0;-6.6;-0.7;5.4;17.0;47;47;54.0
42;Totaal personen;1.1 Loon werknemer;2013;0.4;-16.0;-5.2;0.4;7.0;20.0;47;47;47.0
43;Totaal personen;1.1 Loon werknemer;2014;2.6;-15.0;-3.6;2.6;9.3;23.0;46;46;36.0
44;Totaal personen;1.1 Loon werknemer;2015;2.5;-14.0;-3.0;2.5;9.5;23.0;45;45;36.0
45;Totaal personen;1.2 Loon ambtenaar;2001;3.2;-12.0;-3.7;3.2;10.8;23.0;7;7;37.0
46;Totaal personen;1.2 Loon ambtenaar;2002;2.3;-14.0;-3.8;2.3;8.6;18.0;8;8;38.0
47;Totaal personen;1.2 Loon ambtenaar;2003;0.8;-14.0;-4.6;0.8;6.7;15.0;8;8;46.0
48;Totaal personen;1.2 Loon ambtenaar;2004;-0.2;-15.0;-5.6;-0.2;5.8;15.0;8;8;51.0
49;Totaal personen;1.2 Loon ambtenaar;2005;-0.1;-15.0;-6.1;-0.1;7.4;18.0;7;7;51.0
50;Totaal personen;1.2 Loon ambtenaar;2006;4.2;-12.0;-2.5;4.2;12.2;24.0;7;7;33.0
51;Totaal personen;1.2 Loon ambtenaar;2007;3.8;-10.0;-1.3;3.8;10.1;21.0;7;7;30.0
52;Totaal personen;1.2 Loon ambtenaar;2008;2.5;-12.0;-3.1;2.5;8.8;18.0;7;7;37.0
53;Totaal personen;1.2 Loon ambtenaar;2009;3.9;-10.0;-1.8;3.9;9.9;19.0;7;7;32.0
54;Totaal personen;1.2 Loon ambtenaar;2010;0.2;-13.0;-5.3;0.2;5.6;14.0;7;7;48.0
55;Totaal personen;1.2 Loon ambtenaar;2011;-0.8;-13.0;-5.5;-0.8;4.3;12.0;7;7;55.0
56;Totaal personen;1.2 Loon ambtenaar;2012;-0.8;-14.0;-5.5;-0.8;4.0;12.0;8;8;55.0
57;Totaal personen;1.2 Loon ambtenaar;2013;-0.3;-13.0;-5.3;-0.3;4.9;15.0;8;8;52.0
58;Totaal personen;1.2 Loon ambtenaar;2014;3.7;-10.0;-1.7;3.7;9.5;20.0;8;8;31.0
59;Totaal personen;1.2 Loon ambtenaar;2015;3.2;-11.0;-1.5;3.2;8.6;18.0;7;7;31.0
60;Totaal personen;1.3 Overig inkomen uit arbeid;2001;12.4;-27.0;-3.2;12.4;32.8;69.0;2;2;30.0
61;Totaal personen;1.3 Overig inkomen uit arbeid;2002;-1.2;-38.0;-15.8;-1.2;12.1;37.0;2;2;53.0
62;Totaal personen;1.3 Overig inkomen uit arbeid;2003;-0.9;-39.0;-15.8;-0.9;9.9;33.0;2;2;53.0
63;Totaal personen;1.3 Overig inkomen uit arbeid;2004;5.4;-27.0;-8.5;5.4;19.4;53.0;2;2;38.0
64;Totaal personen;1.3 Overig inkomen uit arbeid;2005;-1.2;-35.0;-14.0;-1.2;11.3;37.0;2;2;53.0
65;Totaal personen;1.3 Overig inkomen uit arbeid;2006;2.7;-32.0;-10.2;2.7;16.3;38.0;2;2;43.0
66;Totaal personen;1.3 Overig inkomen uit arbeid;2007;3.2;-23.0;-6.4;3.2;21.4;65.0;2;2;41.0
67;Totaal personen;1.3 Overig inkomen uit arbeid;2008;-2.7;-58.0;-24.1;-2.7;9.5;30.0;3;3;57.0
68;Totaal personen;1.3 Overig inkomen uit arbeid;2009;-0.8;-40.0;-15.9;-0.8;11.0;36.0;3;3;52.0
69;Totaal personen;1.3 Overig inkomen uit arbeid;2010;-1.0;-34.0;-12.5;-1.0;9.8;39.0;3;3;53.0
70;Totaal personen;1.3 Overig inkomen uit arbeid;2011;-1.4;-33.0;-12.5;-1.4;9.9;35.0;3;3;55.0
71;Totaal personen;1.3 Overig inkomen uit arbeid;2012;-1.5;-33.0;-12.4;-1.5;9.4;36.0;3;3;56.0
72;Totaal personen;1.3 Overig inkomen uit arbeid;2013;-4.6;-38.0;-16.3;-4.6;5.4;30.0;3;3;65.0
73;Totaal personen;1.3 Overig inkomen uit arbeid;2014;3.2;-27.0;-7.2;3.2;20.0;74.0;3;3;41.0
74;Totaal personen;1.3 Overig inkomen uit arbeid;2015;0.7;-26.0;-6.8;0.7;8.3;26.0;2;2;46.0
75;Totaal personen;2 Inkomen uit eigen onderneming;2001;6.2;-32.0;-12.9;6.2;29.4;72.0;13;13;41.0
76;Totaal personen;2 Inkomen uit eigen onderneming;2002;1.5;-33.0;-14.9;1.5;19.2;50.0;13;13;47.0
77;Totaal personen;2 Inkomen uit eigen onderneming;2003;-1.0;-33.0;-15.5;-1.0;14.2;41.0;13;13;52.0
78;Totaal personen;2 Inkomen uit eigen onderneming;2004;4.8;-29.0;-11.1;4.8;26.8;76.0;13;13;42.0
79;Totaal personen;2 Inkomen uit eigen onderneming;2005;3.7;-29.0;-10.9;3.7;24.8;70.0;14;14;43.0
80;Totaal personen;2 Inkomen uit eigen onderneming;2006;6.9;-27.0;-8.1;6.9;26.6;61.0;14;14;38.0
81;Totaal personen;2 Inkomen uit eigen onderneming;2007;8.7;-22.0;-5.0;8.7;30.5;75.0;14;14;34.0
82;Totaal personen;2 Inkomen uit eigen onderneming;2008;3.2;-28.0;-10.7;3.2;20.4;50.0;15;15;43.0
83;Totaal personen;2 Inkomen uit eigen onderneming;2009;0.1;-36.0;-16.2;0.1;16.6;48.0;15;15;50.0
84;Totaal personen;2 Inkomen uit eigen onderneming;2010;0.2;-33.0;-14.4;0.2;18.7;57.0;15;15;50.0
85;Totaal personen;2 Inkomen uit eigen onderneming;2011;0.9;-30.0;-12.6;0.9;18.5;54.0;15;15;48.0
86;Totaal personen;2 Inkomen uit eigen onderneming;2012;-1.2;-32.0;-14.8;-1.2;15.1;46.0;16;16;53.0
87;Totaal personen;2 Inkomen uit eigen onderneming;2013;-0.8;-31.0;-14.2;-0.8;15.1;46.0;16;16;52.0
88;Totaal personen;2 Inkomen uit eigen onderneming;2014;4.3;-26.0;-9.8;4.3;23.5;63.0;16;16;41.0
89;Totaal personen;2 Inkomen uit eigen onderneming;2015;1.2;-28.0;-10.8;1.2;15.4;40.0;17;17;47.0
90;Totaal personen;3 Overdrachtsinkomen;2001;2.5;-15.0;-3.3;2.5;6.9;17.0;24;24;37.0
91;Totaal personen;3 Overdrachtsinkomen;2002;1.3;-15.0;-2.6;1.3;4.8;15.0;24;24;35.0
92;Totaal personen;3 Overdrachtsinkomen;2003;-0.1;-17.0;-4.0;-0.1;3.2;13.0;25;25;52.0
93;Totaal personen;3 Overdrachtsinkomen;2004;-0.2;-17.0;-4.4;-0.2;3.1;13.0;26;26;52.0
94;Totaal personen;3 Overdrachtsinkomen;2005;-1.2;-17.0;-5.0;-1.2;3.1;13.0;26;26;61.0
95;Totaal personen;3 Overdrachtsinkomen;2006;1.1;-15.0;-3.9;1.1;5.6;16.0;26;26;42.0
96;Totaal personen;3 Overdrachtsinkomen;2007;1.5;-12.0;-1.9;1.5;5.5;15.0;25;25;34.0
97;Totaal personen;3 Overdrachtsinkomen;2008;0.5;-13.0;-2.7;0.5;4.9;15.0;24;24;44.0
98;Totaal personen;3 Overdrachtsinkomen;2009;0.4;-17.0;-4.9;0.4;4.1;14.0;25;25;48.0
99;Totaal personen;3 Overdrachtsinkomen;2010;-1.0;-22.0;-7.3;-1.0;1.6;12.0;26;26;65.0
100;Totaal personen;3 Overdrachtsinkomen;2011;-1.6;-20.0;-6.1;-1.6;1.3;12.0;26;26;69.0
101;Totaal personen;3 Overdrachtsinkomen;2012;-1.4;-19.0;-5.7;-1.4;1.5;12.0;27;27;68.0
102;Totaal personen;3 Overdrachtsinkomen;2013;-3.1;-20.0;-7.7;-3.1;0.2;10.0;27;27;74.0
103;Totaal personen;3 Overdrachtsinkomen;2014;0.7;-17.0;-3.7;0.7;3.7;15.0;28;28;42.0
104;Totaal personen;3 Overdrachtsinkomen;2015;-0.1;-19.0;-4.4;-0.1;2.4;12.0;28;28;52.0
105;Totaal personen;3.1 Uitkering inkomensverzekering;2001;2.2;-15.0;-3.4;2.2;6.3;16.0;20;20;38.0
106;Totaal personen;3.1 Uitkering inkomensverzekering;2002;1.3;-15.0;-2.4;1.3;4.3;14.0;20;20;35.0
107;Totaal personen;3.1 Uitkering inkomensverzekering;2003;-0.2;-17.0;-3.8;-0.2;2.7;11.0;20;20;53.0
108;Totaal personen;3.1 Uitkering inkomensverzekering;2004;-0.2;-16.0;-4.2;-0.2;2.6;11.0;21;21;53.0
109;Totaal personen;3.1 Uitkering inkomensverzekering;2005;-1.2;-16.0;-4.7;-1.2;2.8;12.0;21;21;61.0
110;Totaal personen;3.1 Uitkering inkomensverzekering;2006;0.9;-14.0;-4.0;0.9;4.9;14.0;21;21;43.0
111;Totaal personen;3.1 Uitkering inkomensverzekering;2007;1.5;-11.0;-1.6;1.5;5.2;14.0;21;21;33.0
112;Totaal personen;3.1 Uitkering inkomensverzekering;2008;0.5;-12.0;-2.5;0.5;4.7;14.0;21;21;44.0
113;Totaal personen;3.1 Uitkering inkomensverzekering;2009;0.2;-15.0;-4.6;0.2;3.6;11.0;21;21;48.0
114;Totaal personen;3.1 Uitkering inkomensverzekering;2010;-1.2;-19.0;-6.7;-1.2;1.0;9.0;22;22;67.0
115;Totaal personen;3.1 Uitkering inkomensverzekering;2011;-1.6;-17.0;-5.6;-1.6;0.6;9.0;22;22;72.0
116;Totaal personen;3.1 Uitkering inkomensverzekering;2012;-1.4;-16.0;-4.9;-1.4;1.1;10.0;22;22;69.0
117;Totaal personen;3.1 Uitkering inkomensverzekering;2013;-3.3;-18.0;-7.4;-3.3;-0.3;7.0;23;23;77.0
118;Totaal personen;3.1 Uitkering inkomensverzekering;2014;0.6;-15.0;-3.3;0.6;3.0;12.0;23;23;43.0
119;Totaal personen;3.1 Uitkering inkomensverzekering;2015;-0.2;-16.0;-3.9;-0.2;2.0;10.0;23;23;53.0
120;Totaal personen;3.1.1 Uitkering werkloosheid;2001;-1.6;-33.0;-13.3;-1.6;9.5;22.0;1;1;56.0
121;Totaal personen;3.1.1 Uitkering werkloosheid;2002;-4.0;-34.0;-19.1;-4.0;5.7;21.0;1;1;58.0
122;Totaal personen;3.1.1 Uitkering werkloosheid;2003;-7.4;-40.0;-23.3;-7.4;2.7;19.0;1;1;69.0
123;Totaal personen;3.1.1 Uitkering werkloosheid;2004;-5.9;-40.0;-21.3;-5.9;4.7;20.0;1;1;64.0
124;Totaal personen;3.1.1 Uitkering werkloosheid;2005;-5.4;-36.0;-19.8;-5.4;4.8;16.0;1;1;63.0
125;Totaal personen;3.1.1 Uitkering werkloosheid;2006;-1.5;-32.0;-15.0;-1.5;10.0;29.0;1;1;52.0
126;Totaal personen;3.1.1 Uitkering werkloosheid;2007;-1.5;-30.0;-13.6;-1.5;8.0;20.0;1;1;54.0
127;Totaal personen;3.1.1 Uitkering werkloosheid;2008;-2.7;-32.0;-15.6;-2.7;7.5;18.0;1;1;56.0
128;Totaal personen;3.1.1 Uitkering werkloosheid;2009;-8.6;-38.0;-23.1;-8.6;2.8;14.0;1;1;69.0
129;Totaal personen;3.1.1 Uitkering werkloosheid;2010;-11.7;-46.0;-27.3;-11.7;1.2;13.0;1;1;73.0
130;Totaal personen;3.1.1 Uitkering werkloosheid;2011;-11.5;-41.0;-26.6;-11.5;-0.1;11.0;1;1;75.0
131;Totaal personen;3.1.1 Uitkering werkloosheid;2012;-11.3;-41.0;-24.4;-11.3;-0.2;9.0;1;1;75.0
132;Totaal personen;3.1.1 Uitkering werkloosheid;2013;-11.8;-40.0;-25.8;-11.8;-0.1;11.0;1;1;75.0
133;Totaal personen;3.1.1 Uitkering werkloosheid;2014;-9.0;-42.0;-25.1;-9.0;1.6;15.0;1;1;71.0
134;Totaal personen;3.1.1 Uitkering werkloosheid;2015;-9.3;-50.0;-28.3;-9.3;2.9;16.0;1;1;68.0
135;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2001;3.0;-20.0;-4.9;3.0;9.6;22.0;3;3;36.0
136;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2002;1.1;-25.0;-6.9;1.1;7.1;19.0;3;3;41.0
137;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2003;-0.3;-24.0;-7.4;-0.3;5.4;17.0;3;3;53.0
138;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2004;-0.6;-22.0;-7.8;-0.6;5.3;17.0;3;3;55.0
139;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2005;-1.6;-22.0;-8.4;-1.6;4.8;18.0;3;3;59.0
140;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2006;1.2;-20.0;-6.3;1.2;8.2;19.0;3;3;44.0
141;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2007;2.6;-18.0;-4.4;2.6;8.9;20.0;3;3;37.0
142;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2008;1.2;-19.0;-5.4;1.2;7.3;19.0;3;3;43.0
143;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2009;-0.2;-20.0;-7.8;-0.2;5.6;15.0;3;3;50.0
144;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2010;-0.7;-24.0;-8.5;-0.7;3.7;16.0;3;3;58.0
145;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2011;-1.6;-23.0;-9.2;-1.6;2.8;13.0;3;3;64.0
146;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2012;-1.7;-22.0;-8.6;-1.7;3.0;15.0;3;3;65.0
147;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2013;-2.3;-24.0;-10.2;-2.3;1.7;13.0;3;3;69.0
148;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2014;0.7;-19.0;-6.0;0.7;5.5;18.0;3;3;44.0
149;Totaal personen;3.1.2 Uitkering ziekte/arbeidsongeschikt;2015;0.0;-21.0;-7.0;0.0;5.4;17.0;3;3;50.0
150;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2001;2.1;-12.0;-3.1;2.1;5.7;14.0;16;16;38.0
151;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2002;1.3;-12.0;-1.4;1.3;3.9;12.0;16;16;32.0
152;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2003;-0.1;-12.0;-2.6;-0.1;2.3;10.0;16;16;52.0
153;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2004;-0.1;-12.0;-3.0;-0.1;2.4;9.0;16;16;52.0
154;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2005;-1.1;-13.0;-3.7;-1.1;2.4;11.0;17;17;62.0
155;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2006;0.8;-12.0;-3.3;0.8;4.2;12.0;17;17;43.0
156;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2007;1.4;-9.0;-1.1;1.4;4.6;13.0;17;17;31.0
157;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2008;0.5;-10.0;-2.0;0.5;4.2;13.0;17;17;43.0
158;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2009;0.4;-12.0;-3.8;0.4;3.5;10.0;17;17;47.0
159;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2010;-1.1;-16.0;-5.8;-1.1;0.7;8.0;18;18;69.0
160;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2011;-1.6;-14.0;-4.7;-1.6;0.4;8.0;18;18;72.0
161;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2012;-1.3;-13.0;-3.9;-1.3;0.9;9.0;18;18;69.0
162;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2013;-3.3;-14.0;-6.5;-3.3;-0.5;6.0;18;18;78.0
163;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2014;0.6;-11.0;-2.2;0.6;2.8;11.0;19;19;41.0
164;Totaal personen;3.1.3 Uitkering ouderdom/nabestaanden;2015;-0.2;-13.0;-3.1;-0.2;1.8;9.0;19;19;53.0
165;Totaal personen;3.2 Uitkering sociale voorzieningen;2001;3.7;-16.0;-1.5;3.7;10.5;22.0;4;4;28.0
166;Totaal personen;3.2 Uitkering sociale voorzieningen;2002;1.4;-16.0;-3.1;1.4;7.9;19.0;4;4;33.0
167;Totaal personen;3.2 Uitkering sociale voorzieningen;2003;0.3;-18.0;-4.6;0.3;6.8;17.0;4;4;46.0
168;Totaal personen;3.2 Uitkering sociale voorzieningen;2004;0.3;-17.0;-4.8;0.3;7.1;19.0;4;4;47.0
169;Totaal personen;3.2 Uitkering sociale voorzieningen;2005;-1.3;-19.0;-6.3;-1.3;4.9;16.0;4;4;58.0
170;Totaal personen;3.2 Uitkering sociale voorzieningen;2006;2.7;-17.0;-2.9;2.7;10.2;22.0;4;4;33.0
171;Totaal personen;3.2 Uitkering sociale voorzieningen;2007;1.5;-18.0;-3.7;1.5;7.5;20.0;3;3;35.0
172;Totaal personen;3.2 Uitkering sociale voorzieningen;2008;0.1;-15.0;-4.6;0.1;6.8;19.0;3;3;49.0
173;Totaal personen;3.2 Uitkering sociale voorzieningen;2009;1.3;-20.0;-5.1;1.3;7.0;23.0;3;3;42.0
174;Totaal personen;3.2 Uitkering sociale voorzieningen;2010;0.1;-23.0;-6.9;0.1;6.7;25.0;3;3;48.0
175;Totaal personen;3.2 Uitkering sociale voorzieningen;2011;-1.2;-22.0;-7.3;-1.2;4.9;19.0;4;4;60.0
176;Totaal personen;3.2 Uitkering sociale voorzieningen;2012;-1.5;-23.0;-8.1;-1.5;4.4;20.0;4;4;62.0
177;Totaal personen;3.2 Uitkering sociale voorzieningen;2013;-1.4;-22.0;-7.5;-1.4;4.7;21.0;4;4;61.0
178;Totaal personen;3.2 Uitkering sociale voorzieningen;2014;2.0;-19.0;-2.9;2.0;9.0;25.0;4;4;32.0
179;Totaal personen;3.2 Uitkering sociale voorzieningen;2015;0.7;-21.0;-4.6;0.7;5.1;19.0;4;4;40.0
180;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2001;3.8;-17.0;-1.6;3.8;10.6;22.0;3;3;28.0
181;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2002;1.5;-16.0;-3.4;1.5;8.3;20.0;3;3;33.0
182;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2003;0.4;-18.0;-4.7;0.4;7.2;19.0;3;3;45.0
183;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2004;0.3;-17.0;-4.9;0.3;7.2;19.0;3;3;47.0
184;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2005;-1.4;-19.0;-6.5;-1.4;4.8;16.0;3;3;59.0
185;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2006;2.9;-16.0;-2.5;2.9;10.6;22.0;3;3;32.0
186;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2007;1.5;-18.0;-3.4;1.5;7.5;19.0;3;3;35.0
187;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2008;0.1;-14.0;-4.5;0.1;6.5;18.0;3;3;50.0
188;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2009;1.4;-19.0;-4.9;1.4;7.0;22.0;3;3;42.0
189;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2010;0.2;-20.0;-5.8;0.2;7.0;25.0;3;3;45.0
190;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2011;-1.1;-21.0;-6.9;-1.1;4.8;18.0;3;3;59.0
191;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2012;-1.6;-22.0;-7.9;-1.6;4.5;21.0;3;3;62.0
192;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2013;-1.3;-20.0;-6.9;-1.3;5.0;21.0;3;3;60.0
193;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2014;2.1;-17.0;-1.9;2.1;9.4;26.0;3;3;30.0
194;Totaal personen;3.2.1 Uitkering algemene bijstandswet;2015;0.8;-19.0;-3.7;0.8;5.7;19.0;3;3;37.0
195;Totaal personen;3.2.2 Sociale voorzieningen, overig;2001;3.3;-13.0;-0.4;3.3;8.5;21.0;0;0;26.0
196;Totaal personen;3.2.2 Sociale voorzieningen, overig;2002;1.1;-22.0;-2.4;1.1;6.3;18.0;0;0;32.0
197;Totaal personen;3.2.2 Sociale voorzieningen, overig;2003;-0.2;-21.0;-4.2;-0.2;3.8;11.0;1;1;54.0
198;Totaal personen;3.2.2 Sociale voorzieningen, overig;2004;-0.1;-17.0;-4.2;-0.1;5.4;16.0;0;0;51.0
199;Totaal personen;3.2.2 Sociale voorzieningen, overig;2005;-0.9;-18.0;-4.8;-0.9;5.4;17.0;0;0;56.0
200;Totaal personen;3.2.2 Sociale voorzieningen, overig;2006;2.0;-31.0;-5.2;2.0;6.5;20.0;0;0;39.0
201;Totaal personen;3.2.2 Sociale voorzieningen, overig;2007;1.7;-21.0;-4.8;1.7;7.2;25.0;0;0;35.0
202;Totaal personen;3.2.2 Sociale voorzieningen, overig;2008;0.2;-25.0;-5.3;0.2;8.0;29.0;0;0;48.0
203;Totaal personen;3.2.2 Sociale voorzieningen, overig;2009;0.9;-23.0;-6.8;0.9;6.7;26.0;1;1;45.0
204;Totaal personen;3.2.2 Sociale voorzieningen, overig;2010;-0.7;-39.0;-9.7;-0.7;3.9;25.0;1;1;60.0
205;Totaal personen;3.2.2 Sociale voorzieningen, overig;2011;-1.4;-30.0;-7.8;-1.4;5.1;22.0;1;1;64.0
206;Totaal personen;3.2.2 Sociale voorzieningen, overig;2012;-1.3;-28.0;-9.0;-1.3;4.0;20.0;1;1;63.0
207;Totaal personen;3.2.2 Sociale voorzieningen, overig;2013;-1.9;-32.0;-11.3;-1.9;3.6;20.0;1;1;65.0
208;Totaal personen;3.2.2 Sociale voorzieningen, overig;2014;1.1;-30.0;-7.2;1.1;7.6;22.0;1;1;40.0
209;Totaal personen;3.2.2 Sociale voorzieningen, overig;2015;0.0;-26.0;-6.9;0.0;3.7;16.0;1;1;51.0
210;Totaal personen;3.3 Overig overdrachtsinkomen;2001;-0.8;-43.0;-17.4;-0.8;13.9;33.0;1;1;52.0
211;Totaal personen;3.3 Overig overdrachtsinkomen;2002;-1.8;-66.0;-23.1;-1.8;9.1;30.0;1;1;57.0
