ID;InstitutionalInvestors;Periods;Purchases_1;Sales_2;OtherChanges_3;EndOfTheYear_4
49;Total institutional investors;2011 4th quarter;0.9;1.0;-1.4;47.4
50;Total institutional investors;2011;3.1;2.7;-1.0;47.4
51;Total institutional investors;2012 1st quarter;1.6;1.6;-0.1;47.3
52;Total institutional investors;2012 2nd quarter;0.4;0.2;-0.3;47.1
53;Total institutional investors;2012 3rd quarter;0.5;0.4;-0.5;46.7
54;Total institutional investors;2012 4th quarter;1.0;1.3;-0.6;45.9
55;Total institutional investors;2012;3.5;3.6;-1.5;45.9
56;Total institutional investors;2013 1st quarter;1.2;0.4;-0.4;46.3
57;Total institutional investors;2013 2nd quarter;0.7;0.7;-0.9;45.4
58;Total institutional investors;2013 3rd quarter;0.3;0.4;-0.8;44.5
59;Total institutional investors;2013 4th quarter;0.4;0.8;-0.6;43.6
60;Total institutional investors;2013;2.7;2.4;-2.6;43.6
61;Total institutional investors;2014 1st quarter;0.6;1.0;0.3;43.5
62;Total institutional investors;2014 2nd quarter;0.5;0.8;-0.2;43.0
63;Total institutional investors;2014 3rd quarter;0.3;0.9;0.0;42.4
64;Total institutional investors;2014 4th quarter;1.0;1.2;-1.0;41.2
65;Total institutional investors;2014;2.5;3.9;-0.9;41.2
66;Total institutional investors;2015 1st quarter;0.3;0.3;-0.1;41.1
67;Total institutional investors;2015 2nd quarter;0.5;0.3;0.4;41.8
68;Total institutional investors;2015 3rd quarter;1.1;0.2;0.6;43.2
69;Total institutional investors;2015 4th quarter;0.8;1.3;0.0;42.7
70;Total institutional investors;2015;2.8;2.2;0.9;42.7
71;Total institutional investors;2016 1st quarter;0.7;1.1;-0.8;41.5
72;Total institutional investors;2016 2nd quarter;0.5;0.2;1.6;43.4
73;Total institutional investors;2016 3rd quarter;0.5;0.6;0.2;43.6
74;Total institutional investors;2016 4th quarter;1.1;0.8;1.1;44.9
75;Total institutional investors;2016;2.8;2.6;2.0;44.9
76;Total institutional investors;2017 1st quarter;1.1;0.3;0.4;46.1
77;Total institutional investors;2017 2nd quarter;0.9;0.6;0.5;46.8
78;Total institutional investors;2017 3rd quarter;0.8;0.5;0.6;47.8
79;Total institutional investors;2017 4th quarter;1.7;0.9;0.4;48.9
80;Total institutional investors;2017;4.5;2.3;1.9;48.9
81;Pension funds;1999;1.7;3.0;2.7;23.5
82;Pension funds;2000;1.5;3.6;2.0;23.3
83;Pension funds;2001;1.5;2.0;3.2;26.0
84;Pension funds;2002;1.6;4.2;0.1;23.4
85;Pension funds;2003 1st quarter;0.7;0.3;0.3;24.1
86;Pension funds;2003 2nd quarter;0.1;0.3;0.2;24.1
87;Pension funds;2003 3rd quarter;0.1;0.1;-0.1;24.0
88;Pension funds;2003 4th quarter;0.2;1.2;0.0;22.9
89;Pension funds;2003;1.1;2.0;0.4;22.9
90;Pension funds;2004 1st quarter;0.1;0.2;0.2;23.0
91;Pension funds;2004 2nd quarter;0.3;0.5;0.4;23.1
92;Pension funds;2004 3rd quarter;0.0;0.2;0.4;23.4
93;Pension funds;2004 4th quarter;0.4;0.6;-0.1;23.1
94;Pension funds;2004;0.9;1.6;0.9;23.1
95;Pension funds;2005 1st quarter;0.5;0.3;0.1;23.3
96;Pension funds;2005 2nd quarter;0.5;0.4;0.0;23.4
97;Pension funds;2005 3rd quarter;0.4;1.0;-0.1;22.8
98;Pension funds;2005 4th quarter;0.6;0.6;0.2;22.9
99;Pension funds;2005;1.9;2.3;0.2;22.9
100;Pension funds;2006 1st quarter;0.5;0.8;-0.9;21.8
101;Pension funds;2006 2nd quarter;0.1;0.2;0.0;21.6
102;Pension funds;2006 3rd quarter;0.0;0.5;0.0;21.1
103;Pension funds;2006 4th quarter;0.4;0.6;-1.0;19.8
104;Pension funds;2006;1.0;2.1;-2.0;19.8
105;Pension funds;2007 1st quarter;0.3;0.3;0.1;19.9
106;Pension funds;2007 2nd quarter;0.1;0.8;0.4;19.6
107;Pension funds;2007 3rd quarter;0.4;0.2;0.4;20.3
108;Pension funds;2007 4th quarter;0.8;1.1;-0.8;19.2
109;Pension funds;2007;1.6;2.4;0.2;19.2
110;Pension funds;2008 1st quarter;0.1;0.5;0.0;18.8
111;Pension funds;2008 2nd quarter;0.1;0.4;-0.3;18.1
112;Pension funds;2008 3rd quarter;0.1;0.2;-0.5;17.5
113;Pension funds;2008 4th quarter before revision;0.1;0.2;-0.5;17.0
114;Pension funds;2008 4th quarter after revision;;;;16.4
115;Pension funds;2008 before revision;0.5;1.3;-1.4;17.0
116;Pension funds;2008 after revision;;;;16.4
117;Pension funds;2009 1st quarter;0.4;0.1;0.0;16.7
118;Pension funds;2009 2nd quarter;0.2;0.3;-0.5;16.1
119;Pension funds;2009 3rd quarter;0.1;0.2;-0.5;15.5
120;Pension funds;2009 4th quarter;0.4;0.5;0.5;15.8
121;Pension funds;2009;1.0;1.0;-0.6;15.8
122;Pension funds;2010 1st quarter;0.1;4.7;0.0;11.2
123;Pension funds;2010 2nd quarter;0.1;0.2;0.0;11.0
124;Pension funds;2010 3rd quarter;0.2;0.4;-0.1;10.8
125;Pension funds;2010 4th quarter;0.1;1.4;0.0;9.5
126;Pension funds;2010;0.4;6.6;-0.1;9.5
127;Pension funds;2011 1st quarter;0.4;0.3;0.0;9.6
128;Pension funds;2011 2nd quarter;0.0;0.1;0.0;9.5
129;Pension funds;2011 3rd quarter;0.0;0.1;0.0;9.4
130;Pension funds;2011 4th quarter;0.0;0.1;0.0;9.3
131;Pension funds;2011;0.5;0.5;-0.2;9.3
132;Pension funds;2012 1st quarter;0.3;0.3;-0.1;9.2
133;Pension funds;2012 2nd quarter;0.1;0.0;-0.1;9.1
134;Pension funds;2012 3rd quarter;0.1;0.2;-0.1;8.9
135;Pension funds;2012 4th quarter;0.1;0.2;0.0;8.8
136;Pension funds;2012;0.5;0.7;-0.3;8.8
137;Pension funds;2013 1st quarter;0.0;0.0;-0.1;8.7
138;Pension funds;2013 2nd quarter;0.5;0.4;0.0;8.8
139;Pension funds;2013 3rd quarter;0.0;0.0;0.0;8.8
140;Pension funds;2013 4th quarter;0.0;0.2;0.0;8.5
141;Pension funds;2013;0.6;0.7;-0.2;8.5
142;Pension funds;2014 1st quarter;0.2;0.2;0.0;8.5
143;Pension funds;2014 2nd quarter;0.2;0.4;0.0;8.3
144;Pension funds;2014 3rd quarter;0.1;0.1;0.0;8.2
145;Pension funds;2014 4th quarter;0.1;0.1;-0.6;7.7
146;Pension funds;2014;0.6;0.8;-0.6;7.7
147;Pension funds;2015 1st quarter;0.0;0.0;0.0;7.8
148;Pension funds;2015 2nd quarter;0.0;0.2;0.0;7.6
149;Pension funds;2015 3rd quarter;0.0;0.1;0.0;7.6
150;Pension funds;2015 4th quarter;0.1;0.3;0.1;7.5
151;Pension funds;2015;0.2;0.6;0.2;7.5
152;Pension funds;2016 1st quarter;0.2;0.4;0.0;7.3
153;Pension funds;2016 2nd quarter;0.1;0.0;0.0;7.4
154;Pension funds;2016 3rd quarter;0.1;0.2;0.0;7.3
155;Pension funds;2016 4th quarter;0.1;0.0;0.6;8.0
156;Pension funds;2016;0.5;0.6;0.6;8.0
157;Pension funds;2017 1st quarter;0.0;0.0;0.0;8.0
158;Pension funds;2017 2nd quarter;0.0;0.0;0.0;8.0
159;Pension funds;2017 3rd quarter;0.1;0.2;0.0;7.9
160;Pension funds;2017 4th quarter;0.2;0.1;0.0;8.0
161;Pension funds;2017;0.4;0.3;0.0;8.0
162;Insurance corporations;1999;1.4;1.1;0.5;11.3
163;Insurance corporations;2000;2.1;1.2;1.3;13.6
164;Insurance corporations;2001;1.3;0.9;0.9;14.9
165;Insurance corporations;2002;1.0;1.1;0.4;15.2
166;Insurance corporations;2003 1st quarter;0.2;1.2;-0.3;14.0
167;Insurance corporations;2003 2nd quarter;0.3;0.5;-0.1;13.7
168;Insurance corporations;2003 3rd quarter;0.4;0.1;0.1;14.1
169;Insurance corporations;2003 4th quarter;0.9;1.2;0.1;13.9
170;Insurance corporations;2003;1.8;2.9;-0.2;13.9
171;Insurance corporations;2004 1st quarter;0.1;0.1;-0.4;13.5
172;Insurance corporations;2004 2nd quarter;0.3;0.3;0.3;13.8
173;Insurance corporations;2004 3rd quarter;0.2;0.2;0.3;14.1
174;Insurance corporations;2004 4th quarter;0.3;0.2;0.2;14.4
175;Insurance corporations;2004;1.0;0.8;0.3;14.4
176;Insurance corporations;2005 1st quarter;0.2;0.7;-1.3;12.7
177;Insurance corporations;2005 2nd quarter;0.3;0.7;0.5;12.8
178;Insurance corporations;2005 3rd quarter;0.1;0.8;0.7;12.8
179;Insurance corporations;2005 4th quarter;0.3;0.8;0.9;13.2
180;Insurance corporations;2005;1.0;3.0;0.8;13.2
181;Insurance corporations;2006 1st quarter;1.1;0.4;-0.5;13.4
182;Insurance corporations;2006 2nd quarter;0.7;0.5;-0.1;13.5
183;Insurance corporations;2006 3rd quarter;0.7;0.2;-0.1;13.9
184;Insurance corporations;2006 4th quarter;0.5;0.6;0.3;14.2
185;Insurance corporations;2006;3.0;1.7;-0.3;14.2
186;Insurance corporations;2007 1st quarter;0.4;0.0;0.2;14.7
187;Insurance corporations;2007 2nd quarter;0.2;0.0;-0.6;14.3
188;Insurance corporations;2007 3rd quarter;0.2;0.0;-0.6;13.9
189;Insurance corporations;2007 4th quarter;0.5;1.0;-0.6;12.7
190;Insurance corporations;2007;1.2;1.0;-1.6;12.7
191;Insurance corporations;2008 1st quarter;0.0;0.0;0.0;12.7
192;Insurance corporations;2008 2nd quarter;0.0;0.0;0.0;12.7
193;Insurance corporations;2008 3rd quarter;0.0;0.0;0.0;12.7
194;Insurance corporations;2008 4th quarter before revision;0.5;0.5;0.2;12.9
195;Insurance corporations;2008 4th quarter after revision;;;;8.6
196;Insurance corporations;2008 before revision;0.6;0.5;0.1;12.9
197;Insurance corporations;2008 after revision;;;;8.6
198;Insurance corporations;2009 1st quarter;0.0;0.0;0.2;8.7
199;Insurance corporations;2009 2nd quarter;0.1;0.1;-0.1;8.7
200;Insurance corporations;2009 3rd quarter;0.1;0.1;-0.1;8.7
201;Insurance corporations;2009 4th quarter;0.4;0.2;0.0;8.7
202;Insurance corporations;2009;0.6;0.4;-0.1;8.7
203;Insurance corporations;2010 1st quarter;0.0;0.1;-0.1;8.6
204;Insurance corporations;2010 2nd quarter;0.0;0.1;0.0;8.5
205;Insurance corporations;2010 3rd quarter;0.1;0.1;0.0;8.5
206;Insurance corporations;2010 4th quarter;0.1;1.3;0.0;7.4
207;Insurance corporations;2010;0.3;1.5;-0.1;7.4
208;Insurance corporations;2011 1st quarter;0.1;0.3;-0.1;7.1
209;Insurance corporations;2011 2nd quarter;0.0;0.1;-0.1;6.9
210;Insurance corporations;2011 3rd quarter;0.1;0.5;-0.1;6.4
211;Insurance corporations;2011 4th quarter;0.1;0.2;-0.1;6.2
212;Insurance corporations;2011;0.3;1.1;-0.4;6.2
213;Insurance corporations;2012 1st quarter;0.0;0.0;-0.1;6.1
214;Insurance corporations;2012 2nd quarter;0.0;0.0;-0.1;6.1
215;Insurance corporations;2012 3rd quarter;0.1;0.1;-0.1;6.0
216;Insurance corporations;2012 4th quarter;0.2;0.1;-0.1;6.0
217;Insurance corporations;2012;0.3;0.3;-0.3;6.0
218;Insurance corporations;2013 1st quarter;0.0;0.1;-0.4;5.5
219;Insurance corporations;2013 2nd quarter;0.0;0.0;-0.4;5.1
220;Insurance corporations;2013 3rd quarter;0.0;0.0;-0.4;4.7
221;Insurance corporations;2013 4th quarter;0.0;0.0;0.6;5.4
222;Insurance corporations;2013;0.1;0.2;-0.5;5.4
223;Insurance corporations;2014 1st quarter;0.1;0.0;-0.2;5.2
224;Insurance corporations;2014 2nd quarter;0.1;0.1;0.0;5.2
225;Insurance corporations;2014 3rd quarter;0.0;0.1;0.0;5.1
226;Insurance corporations;2014 4th quarter;0.2;0.2;0.0;5.2
227;Insurance corporations;2014;0.4;0.3;-0.2;5.2
228;Insurance corporations;2015 1st quarter;0.0;0.0;-0.1;5.1
229;Insurance corporations;2015 2nd quarter;0.0;0.0;0.0;5.1
230;Insurance corporations;2015 3rd quarter;0.0;0.0;0.0;5.2
231;Insurance corporations;2015 4th quarter;0.1;0.6;0.0;4.6
232;Insurance corporations;2015;0.2;0.7;0.0;4.6
233;Insurance corporations;2016 1st quarter;0.0;0.0;0.0;4.6
234;Insurance corporations;2016 2nd quarter;0.0;0.0;0.0;4.6
235;Insurance corporations;2016 3rd quarter;0.1;0.0;-0.1;4.6
236;Insurance corporations;2016 4th quarter;0.2;0.1;0.2;4.9
237;Insurance corporations;2016;0.3;0.1;0.1;4.9
238;Insurance corporations;2017 1st quarter;0.7;0.1;0.0;5.5
239;Insurance corporations;2017 2nd quarter;0.2;0.0;0.0;5.7
240;Insurance corporations;2017 3rd quarter;0.1;0.0;0.0;5.8
241;Insurance corporations;2017 4th quarter;0.1;0.3;0.0;5.6
242;Insurance corporations;2017;1.2;0.4;0.0;5.6
243;Non-MMF investment funds;1999;2.6;0.8;1.2;18.0
244;Non-MMF investment funds;2000;10.4;1.9;2.2;28.7
245;Non-MMF investment funds;2001;4.2;2.4;0.5;31.1
246;Non-MMF investment funds;2002;2.9;10.2;-0.7;23.1
247;Non-MMF investment funds;2003 1st quarter;0.4;0.4;-0.3;22.8
248;Non-MMF investment funds;2003 2nd quarter;0.5;0.7;-0.1;22.6
249;Non-MMF investment funds;2003 3rd quarter;0.4;0.2;0.1;22.9
250;Non-MMF investment funds;2003 4th quarter;1.1;0.6;-0.2;23.2
251;Non-MMF investment funds;2003;2.4;1.8;-0.5;23.2
252;Non-MMF investment funds;2004 1st quarter;0.3;0.7;0.1;22.9
253;Non-MMF investment funds;2004 2nd quarter;0.6;0.8;0.2;22.8
254;Non-MMF investment funds;2004 3rd quarter;0.3;0.7;-0.4;22.0
255;Non-MMF investment funds;2004 4th quarter;0.5;1.3;0.4;21.7
256;Non-MMF investment funds;2004;1.7;3.5;0.3;21.7
257;Non-MMF investment funds;2005 1st quarter;0.3;0.4;-0.3;21.3
258;Non-MMF investment funds;2005 2nd quarter;0.8;0.6;0.0;21.5
259;Non-MMF investment funds;2005 3rd quarter;0.7;0.5;1.1;22.8
260;Non-MMF investment funds;2005 4th quarter;0.7;0.7;1.6;24.5
261;Non-MMF investment funds;2005;2.5;2.1;2.4;24.5
262;Non-MMF investment funds;2006 1st quarter;0.6;0.4;-1.2;23.5
263;Non-MMF investment funds;2006 2nd quarter;0.8;0.4;1.0;24.8
264;Non-MMF investment funds;2006 3rd quarter;0.7;0.6;0.5;25.4
265;Non-MMF investment funds;2006 4th quarter;1.2;0.5;1.1;27.3
266;Non-MMF investment funds;2006;3.3;1.9;1.3;27.3
267;Non-MMF investment funds;2007 1st quarter;0.7;0.7;0.5;27.9
268;Non-MMF investment funds;2007 2nd quarter;1.3;1.2;-10.4;17.5
269;Non-MMF investment funds;2007 3rd quarter;0.8;0.6;0.2;18.0
270;Non-MMF investment funds;2007 4th quarter;1.1;0.8;0.8;19.0
271;Non-MMF investment funds;2007;4.0;3.3;-8.9;19.0
272;Non-MMF investment funds;2008 1st quarter;1.0;0.1;-0.1;19.9
273;Non-MMF investment funds;2008 2nd quarter;0.3;0.1;0.0;20.0
274;Non-MMF investment funds;2008 3rd quarter;0.3;0.7;0.3;20.0
275;Non-MMF investment funds;2008 4th quarter before revision;0.2;0.3;-1.3;18.6
276;Non-MMF investment funds;2008 4th quarter after revision;;;;26.6
277;Non-MMF investment funds;2008 before revision;1.8;1.1;-1.1;18.6
278;Non-MMF investment funds;2008 after revision;;;;26.6
279;Non-MMF investment funds;2009 1st quarter;0.1;0.1;0.0;26.7
280;Non-MMF investment funds;2009 2nd quarter;0.1;0.1;-0.5;26.2
281;Non-MMF investment funds;2009 3rd quarter;0.1;0.2;-0.4;25.7
282;Non-MMF investment funds;2009 4th quarter;0.1;0.3;-0.5;25.0
283;Non-MMF investment funds;2009;0.4;0.6;-1.4;25.0
284;Non-MMF investment funds;2010 1st quarter;4.4;0.1;-0.2;29.1
285;Non-MMF investment funds;2010 2nd quarter;0.2;0.2;-0.1;29.0
286;Non-MMF investment funds;2010 3rd quarter;0.4;0.1;0.0;29.4
287;Non-MMF investment funds;2010 4th quarter;2.4;0.5;-0.1;31.1
288;Non-MMF investment funds;2010;7.4;0.8;-0.4;31.1
289;Non-MMF investment funds;2011 1st quarter;0.2;0.1;0.9;32.1
290;Non-MMF investment funds;2011 2nd quarter;0.2;0.2;-0.2;32.0
291;Non-MMF investment funds;2011 3rd quarter;1.1;0.1;0.0;33.1
292;Non-MMF investment funds;2011 4th quarter;0.8;0.8;-1.2;31.9
293;Non-MMF investment funds;2011;2.3;1.1;-0.5;31.9
294;Non-MMF investment funds;2012 1st quarter;1.3;1.3;0.1;31.9
295;Non-MMF investment funds;2012 2nd quarter;0.3;0.1;-0.1;31.9
296;Non-MMF investment funds;2012 3rd quarter;0.3;0.2;-0.3;31.8
297;Non-MMF investment funds;2012 4th quarter;0.8;0.9;-0.5;31.2
298;Non-MMF investment funds;2012;2.7;2.6;-0.9;31.2
299;Non-MMF investment funds;2013 1st quarter;1.2;0.3;0.1;32.1
300;Non-MMF investment funds;2013 2nd quarter;0.2;0.3;-0.5;31.6
301;Non-MMF investment funds;2013 3rd quarter;0.3;0.4;-0.4;31.0
302;Non-MMF investment funds;2013 4th quarter;0.4;0.5;-1.2;29.7
303;Non-MMF investment funds;2013;2.0;1.5;-2.0;29.7
304;Non-MMF investment funds;2014 1st quarter;0.4;0.8;0.5;29.8
305;Non-MMF investment funds;2014 2nd quarter;0.3;0.4;-0.1;29.5
306;Non-MMF investment funds;2014 3rd quarter;0.1;0.7;0.0;29.0
307;Non-MMF investment funds;2014 4th quarter;0.7;0.9;-0.4;28.4
308;Non-MMF investment funds;2014;1.5;2.7;-0.1;28.4
309;Non-MMF investment funds;2015 1st quarter;0.2;0.3;-0.1;28.3
310;Non-MMF investment funds;2015 2nd quarter;0.5;0.1;0.3;29.0
311;Non-MMF investment funds;2015 3rd quarter;1.0;0.1;0.5;30.4
312;Non-MMF investment funds;2015 4th quarter;0.6;0.4;0.0;30.6
313;Non-MMF investment funds;2015;2.3;0.8;0.7;30.6
314;Non-MMF investment funds;2016 1st quarter;0.5;0.7;-0.8;29.6
315;Non-MMF investment funds;2016 2nd quarter;0.4;0.2;1.6;31.4
316;Non-MMF investment funds;2016 3rd quarter;0.3;0.4;0.3;31.7
317;Non-MMF investment funds;2016 4th quarter;0.8;0.7;0.2;32.0
318;Non-MMF investment funds;2016;2.0;1.9;1.3;32.0
319;Non-MMF investment funds;2017 1st quarter;0.3;0.2;0.4;32.5
320;Non-MMF investment funds;2017 2nd quarter;0.6;0.6;0.5;33.1
321;Non-MMF investment funds;2017 3rd quarter;0.6;0.2;0.6;34.1
322;Non-MMF investment funds;2017 4th quarter;1.3;0.6;0.4;35.2
323;Non-MMF investment funds;2017;2.9;1.6;1.9;35.2
