ID;TypeOfSelfEmployment;BranchesSIC2008;PersonCharacteristics;Sex;Periods;SelfEmployedPersons_1;AveragePersonalIncome_2;MedianPersonalIncome_3;AverageSelfEmployedIncome_4;MedianSelfEmployedIncome_5;AverageEquivalisedIncome_6;MedianEquivalisedIncome_7;SelfEmployedWithCompanyCapital_8;MedianWealth_9;MedianCompanyCapital_10;SelfEmployedPersons_11;AveragePersonalIncome_12;MedianPersonalIncome_13;AverageSelfEmployedIncome_14;MedianSelfEmployedIncome_15;AverageEquivalisedIncome_16;MedianEquivalisedIncome_17;SelfEmployedPersonsWithCompCapital_18;MedianWealth_19;MedianCompanyCapital_20
33;Self-employed;A-U All economic activities;Total persons;Male;2023;921.4;61.3;51.3;60.1;51.0;54.3;44.2;833.1;334.4;53.1;1358.7;60.1;50.7;43.0;32.2;52.6;43.8;1038.7;313.7;44.1
34;Self-employed;A-U All economic activities;Total persons;Female;2007;395.2;21.9;13.5;20.7;12.0;31.3;25.3;292.9;218.4;27.7;608.6;22.7;16.6;14.4;5.2;29.8;24.6;370.2;185.0;23.4
35;Self-employed;A-U All economic activities;Total persons;Female;2008;417.6;22.4;13.8;21.3;12.0;30.5;25.8;306.0;202.1;26.8;655.3;23.4;17.1;14.6;5.5;29.3;25.1;391.0;169.3;22.3
36;Self-employed;A-U All economic activities;Total persons;Female;2009;423.9;21.8;13.5;20.6;11.9;29.3;25.3;319.7;175.4;24.2;678.1;23.3;17.2;13.9;5.4;28.5;24.9;413.6;145.9;19.9
37;Self-employed;A-U All economic activities;Total persons;Female;2010;394.7;24.1;16.0;22.7;14.2;30.6;26.1;;;;650.2;25.0;18.7;15.0;6.0;29.3;25.4;;;
38;Self-employed;A-U All economic activities;Total persons;Female;2011;410.5;24.4;16.2;23.2;14.5;34.3;29.2;325.1;165.8;23.1;659.8;25.6;19.4;15.5;6.3;32.8;28.4;422.2;138.2;19.5
39;Self-employed;A-U All economic activities;Total persons;Female;2012;413.7;24.5;16.1;23.1;14.4;34.1;28.9;331.5;143.7;22.6;666.5;25.8;19.4;15.5;6.3;32.7;28.3;431.8;117.7;19.1
40;Self-employed;A-U All economic activities;Total persons;Female;2013;421.1;24.2;15.8;22.8;14.1;33.5;28.7;336.8;112.5;22.0;678.5;25.8;19.3;15.3;6.3;32.4;28.2;439.0;88.7;18.8
41;Self-employed;A-U All economic activities;Total persons;Female;2014;432.5;25.2;16.5;23.7;14.8;37.0;29.8;346.4;108.2;21.1;688.3;26.7;19.8;16.1;6.8;35.4;29.3;451.2;86.7;18.1
42;Self-employed;A-U All economic activities;Total persons;Female;2015;444.4;26.0;17.1;24.4;15.1;35.3;30.4;354.7;113.4;21.5;702.4;27.3;20.1;16.7;7.0;34.2;29.9;463.3;93.5;18.6
43;Self-employed;A-U All economic activities;Total persons;Female;2016;454.7;27.6;18.3;26.0;16.4;37.5;32.2;368.8;122.2;22.7;713.9;28.7;21.2;17.8;7.6;36.1;31.6;481.8;102.0;19.7
44;Self-employed;A-U All economic activities;Total persons;Female;2017;463.2;29.3;19.6;27.5;17.8;39.6;33.4;379.5;140.3;24.5;735.4;30.4;22.3;18.7;8.1;38.2;32.7;498.3;118.9;21.5
45;Self-employed;A-U All economic activities;Total persons;Female;2018;472.1;30.8;20.9;29.1;19.0;40.5;34.2;391.3;164.9;26.1;756.7;31.2;23.4;19.5;8.5;38.6;33.3;514.2;139.8;22.8
46;Self-employed;A-U All economic activities;Total persons;Female;2019;477.6;32.7;22.5;30.8;20.3;45.0;36.0;399.6;190.5;28.1;779.0;32.6;24.5;20.3;8.8;42.3;34.9;527.8;163.2;24.7
47;Self-employed;A-U All economic activities;Total persons;Female;2020;470.3;33.9;23.2;31.3;20.0;44.8;37.6;398.3;218.9;31.1;777.3;33.6;25.0;20.4;8.4;42.1;36.3;538.1;184.2;26.6
48;Self-employed;A-U All economic activities;Total persons;Female;2021;481.4;36.8;25.2;34.5;22.5;47.0;39.7;408.2;256.8;33.6;828.5;36.0;27.0;21.6;8.6;44.2;38.3;555.3;218.7;29.1
49;Self-employed;A-U All economic activities;Total persons;Female;2022;502.7;39.1;28.0;36.9;25.3;49.4;41.8;425.0;330.4;37.1;857.6;38.1;29.3;23.4;10.2;46.5;40.4;575.5;290.3;32.4
50;Self-employed;A-U All economic activities;Total persons;Female;2023;511.6;41.5;29.9;39.3;27.3;52.0;44.1;435.8;339.4;39.7;888.8;40.7;31.7;24.6;10.4;49.4;43.1;592.8;296.9;34.7
51;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2007;4.8;39.7;26.9;27.8;15.9;40.3;27.4;3.7;620.3;99.9;18.2;32.5;23.3;9.4;2.5;32.9;24.5;8.0;451.2;71.2
52;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2008;4.9;40.1;27.5;27.7;16.3;39.0;28.9;3.9;620.5;101.7;19.0;32.9;23.8;9.5;2.7;32.5;25.5;8.6;435.9;73.7
53;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2009;5.0;38.2;27.1;25.5;15.9;37.3;28.4;4.1;609.3;114.8;20.4;32.2;23.8;8.4;2.5;31.1;25.1;9.3;405.6;75.8
54;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2010;5.3;38.2;27.9;25.4;16.3;36.6;28.3;;;;21.5;32.9;24.8;8.5;2.5;31.0;25.1;;;
55;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2011;4.9;38.3;27.6;26.5;16.2;44.7;31.4;4.2;582.3;115.1;18.7;33.0;24.6;9.2;2.7;35.8;27.8;9.4;400.6;86.2
56;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2012;5.2;38.2;27.3;26.1;15.9;45.1;31.9;4.4;568.8;121.2;19.7;33.0;24.5;9.2;2.7;36.3;28.2;9.9;379.9;88.5
57;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2013;5.5;38.6;27.3;26.4;16.1;45.0;31.4;4.7;564.2;129.6;20.2;33.6;24.7;9.7;2.9;37.4;28.2;10.4;363.1;94.2
58;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2014;5.8;40.3;27.9;27.6;16.5;55.7;32.5;5.0;562.2;130.8;21.7;34.5;25.1;10.0;2.9;43.1;28.7;11.3;352.9;95.1
59;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2015;6.1;39.6;27.7;26.9;16.3;45.5;31.9;5.4;547.1;123.8;22.8;34.8;25.6;10.1;3.1;37.0;28.8;12.3;358.7;94.5
60;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2016;6.5;39.7;28.2;26.4;16.7;47.3;33.0;5.8;549.8;121.8;24.1;35.5;26.4;10.2;3.2;38.5;29.5;13.4;364.4;95.0
61;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2017;6.9;45.8;29.4;32.2;17.5;47.4;33.6;6.1;546.8;116.5;26.4;41.7;27.2;11.8;3.1;40.7;30.0;14.5;369.0;94.5
62;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2018;7.5;44.3;29.7;30.9;17.8;53.4;34.3;6.7;585.3;133.2;28.6;37.0;27.5;11.1;3.0;41.4;29.9;15.6;384.5;98.9
63;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2019;8.2;46.5;30.8;32.2;18.4;63.1;35.8;7.3;616.4;141.6;31.6;38.5;28.5;11.5;3.0;48.1;31.3;17.3;407.6;101.2
64;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2020;8.6;46.7;31.6;32.5;18.9;53.8;36.7;7.7;642.5;155.0;32.2;39.7;29.4;12.0;3.5;44.9;32.6;19.0;459.8;104.0
65;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2021;9.3;49.0;33.0;34.1;19.9;57.9;39.0;8.4;663.7;147.0;35.5;41.0;30.7;12.4;3.3;44.9;33.8;20.4;478.4;100.0
66;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2022;10.5;52.5;35.6;36.4;21.6;65.1;41.4;9.5;746.5;153.7;41.1;43.3;32.7;13.1;3.5;49.1;35.7;23.6;559.3;102.2
67;Self-employed;A-U All economic activities;Age: 75 years or older;Total male and female;2023;12.0;52.5;37.6;35.5;22.8;74.9;43.4;10.8;745.3;147.8;48.2;45.5;35.2;12.9;3.6;55.9;38.1;26.8;553.1;103.1
68;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2007;3.8;39.9;26.4;28.0;15.8;39.2;26.5;3.0;629.2;103.2;13.7;34.7;25.4;9.9;2.5;33.5;24.8;6.1;465.1;70.8
69;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2008;3.9;41.0;27.2;28.5;16.3;38.2;27.8;3.2;626.4;103.8;14.1;35.6;26.2;10.3;2.8;33.2;26.0;6.6;458.0;71.7
70;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2009;3.9;39.0;27.0;26.1;15.9;36.1;27.4;3.3;621.4;115.8;14.9;35.1;26.5;9.1;2.5;31.8;25.6;7.2;430.3;73.0
71;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2010;4.1;39.1;28.0;26.0;16.6;35.5;27.4;;;;15.8;35.7;27.4;9.0;2.5;31.5;25.6;;;
72;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2011;3.8;40.0;27.6;28.1;16.5;45.1;30.6;3.4;592.5;120.1;13.8;35.9;27.2;9.9;2.7;36.6;28.3;7.2;416.6;84.6
73;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2012;4.0;39.5;27.4;27.2;16.4;44.9;30.9;3.5;577.2;122.7;14.4;35.8;26.9;9.9;2.7;37.2;28.6;7.6;395.1;85.1
74;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2013;4.2;40.2;27.7;27.8;16.7;42.8;30.6;3.7;574.3;135.6;14.7;36.7;27.4;10.6;3.0;37.8;28.7;8.0;382.4;92.1
75;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2014;4.4;42.3;28.0;29.3;16.9;57.5;31.3;3.9;579.1;136.0;15.7;37.7;27.9;11.0;3.0;44.3;29.3;8.6;374.0;92.2
76;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2015;4.6;41.1;28.1;28.1;16.7;46.2;31.1;4.2;559.2;124.6;16.5;37.9;28.5;10.8;3.2;38.3;29.2;9.4;380.0;90.5
77;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2016;4.9;41.2;29.2;27.6;17.7;47.9;31.9;4.4;565.4;127.0;17.4;38.7;29.5;11.0;3.4;39.7;30.0;10.2;385.3;91.4
78;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2017;5.1;48.4;30.2;34.4;18.4;47.9;32.7;4.6;560.5;121.1;19.0;46.3;30.4;12.8;3.3;42.5;30.4;11.0;388.7;91.6
79;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2018;5.5;47.6;30.9;33.8;19.1;55.8;33.4;5.0;599.5;139.5;20.6;40.7;30.4;12.2;3.2;43.0;30.3;11.8;405.0;97.0
80;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2019;5.9;49.9;32.2;35.1;19.6;65.8;35.1;5.5;636.7;145.8;22.8;42.2;31.5;12.5;3.2;50.7;31.7;13.1;425.5;98.2
81;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2020;6.2;49.7;33.6;35.0;20.7;56.0;36.4;5.7;659.3;162.8;23.3;43.4;32.8;13.0;4.0;46.9;33.1;14.4;480.6;102.2
82;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2021;6.7;53.2;35.6;37.8;22.0;60.9;38.7;6.1;680.9;158.8;25.9;44.7;33.9;13.5;3.7;46.8;34.2;15.5;493.6;98.5
83;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2022;7.6;57.2;38.4;40.4;24.0;69.2;41.2;7.0;762.4;161.0;30.0;47.4;36.0;14.3;3.9;51.0;36.2;17.9;575.8;99.8
84;Self-employed;A-U All economic activities;Age: 75 years or older;Male;2023;8.6;56.9;40.8;39.1;25.4;79.6;43.2;7.9;756.6;155.1;35.1;49.8;38.8;14.0;4.0;58.3;38.5;20.3;567.7;99.8
85;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2007;1.0;39.0;28.1;27.2;16.0;44.8;30.9;0.7;576.1;84.6;4.5;25.7;18.6;7.8;2.4;31.3;23.4;1.8;400.3;72.6
86;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2008;1.0;36.3;28.1;24.3;16.7;42.3;32.9;0.7;575.1;96.5;4.9;25.1;19.2;7.2;2.7;30.5;24.3;1.9;375.4;82.4
87;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2009;1.1;35.2;27.6;23.2;15.6;41.7;31.3;0.8;560.2;110.5;5.5;24.0;18.7;6.5;2.7;29.4;23.7;2.1;344.5;87.0
88;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2010;1.2;35.1;27.3;23.1;15.5;40.3;31.3;;;;5.7;25.2;19.8;6.9;2.7;29.6;23.7;;;
89;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2011;1.1;32.4;27.3;20.8;15.3;43.3;34.1;0.8;541.2;89.5;5.0;25.2;19.9;7.0;2.7;33.8;26.7;2.2;357.2;89.7
90;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2012;1.2;33.7;27.2;22.1;15.3;45.6;35.1;0.9;542.8;109.5;5.4;25.4;19.6;7.2;2.6;34.1;27.3;2.3;338.0;101.9
91;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2013;1.3;33.6;25.4;22.0;15.1;51.9;33.9;1.0;528.2;105.7;5.6;25.7;19.7;7.5;2.8;36.5;27.1;2.5;316.0;103.4
92;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2014;1.4;34.0;27.7;21.9;15.5;50.0;35.1;1.1;511.2;110.3;6.0;26.0;20.1;7.5;2.8;39.9;27.4;2.7;299.4;103.9
93;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2015;1.5;35.1;26.6;23.2;15.4;43.4;34.2;1.2;516.4;116.9;6.3;26.9;20.2;8.1;2.8;33.6;27.5;2.9;308.6;105.7
94;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2016;1.7;35.2;26.0;22.8;15.1;45.5;35.4;1.3;502.9;111.1;6.7;27.2;20.5;8.2;2.7;35.2;28.2;3.2;316.5;105.9
95;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2017;1.9;38.8;27.0;26.2;15.8;46.0;35.7;1.5;501.1;101.9;7.4;29.8;21.1;9.2;2.7;36.0;28.7;3.4;320.7;106.0
96;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2018;2.0;35.1;25.3;23.0;15.0;46.7;35.7;1.7;531.8;111.2;8.0;27.7;21.2;8.2;2.5;37.4;28.7;3.8;337.0;104.0
97;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2019;2.3;37.4;26.9;24.6;15.6;56.0;37.2;1.9;569.2;128.8;8.8;28.9;21.9;8.8;2.7;41.4;30.3;4.2;366.8;113.0
98;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2020;2.4;38.8;25.8;26.0;14.6;48.0;37.4;2.0;600.1;132.9;8.9;30.1;22.5;9.5;2.9;39.4;31.3;4.6;412.3;114.1
99;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2021;2.6;38.2;26.9;24.6;15.4;50.1;39.6;2.2;628.2;124.4;9.6;30.9;23.6;9.3;2.7;40.0;32.8;4.9;440.7;104.8
100;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2022;3.0;40.4;28.4;26.3;16.6;54.5;41.8;2.5;709.1;138.0;11.1;32.2;24.7;9.8;2.8;43.8;34.5;5.7;516.7;112.9
101;Self-employed;A-U All economic activities;Age: 75 years or older;Female;2023;3.4;41.1;29.7;26.3;17.2;62.9;44.1;2.9;713.7;130.7;13.1;34.0;26.3;9.9;2.8;49.5;36.9;6.5;516.4;114.9
102;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2007;17.1;22.6;19.6;20.6;17.0;28.0;25.8;13.9;57.2;14.1;46.3;16.4;12.4;8.7;2.3;24.3;22.3;23.0;36.0;10.8
103;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2008;18.9;22.9;19.6;20.9;17.2;27.9;26.2;15.4;46.0;13.0;51.0;16.7;12.6;8.9;2.4;24.2;22.7;25.4;28.6;10.0
104;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2009;20.0;20.8;17.8;19.2;15.5;26.1;24.9;16.8;33.1;10.6;54.1;15.8;12.0;8.1;2.3;23.5;22.2;28.1;22.5;8.2
105;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2010;19.9;22.2;18.5;20.1;15.8;27.3;25.2;;;;54.6;16.1;12.1;8.5;2.5;24.0;22.4;;;
106;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2011;28.2;23.1;19.5;21.3;17.3;30.1;28.0;20.3;30.2;10.9;69.3;17.5;13.2;9.8;3.0;26.6;25.0;32.6;21.9;9.8
107;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2012;28.9;22.0;18.2;20.2;16.0;29.8;27.4;20.9;26.8;11.1;72.0;16.7;12.4;9.2;2.7;26.5;24.8;33.8;19.1;9.9
108;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2013;30.6;21.3;17.5;19.4;15.0;29.7;27.3;21.5;19.9;10.8;77.9;16.2;12.0;8.8;2.8;26.6;24.9;35.3;13.0;9.9
109;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2014;32.7;21.8;17.9;19.9;15.3;31.7;28.5;22.7;21.6;10.7;78.0;17.0;12.8;9.6;3.3;28.4;25.8;36.5;14.5;9.7
110;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2015;34.2;23.1;18.6;21.0;16.0;32.3;29.6;23.5;27.1;11.3;81.6;17.7;13.2;10.1;3.3;28.4;26.5;38.5;18.3;9.9
111;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2016;35.3;24.1;19.4;22.0;17.0;33.8;31.2;24.8;31.4;12.0;83.9;18.1;13.6;10.5;3.5;29.8;28.0;41.1;22.0;10.7
112;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2017;35.2;25.6;20.7;23.4;18.3;36.4;32.7;25.3;39.7;13.1;89.5;18.3;13.4;10.5;3.1;31.7;29.2;43.4;28.6;12.1
113;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2018;36.8;27.4;22.3;25.0;20.0;37.2;33.7;26.6;47.8;14.2;98.5;18.7;13.4;10.7;2.8;32.0;29.9;46.9;36.3;13.3
114;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2019;39.9;28.7;23.7;26.3;21.1;40.1;35.4;29.1;53.9;14.1;119.2;18.0;12.0;10.1;2.1;34.3;31.2;53.4;47.4;15.2
115;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2020;41.7;30.4;25.0;27.0;21.2;42.2;37.8;30.8;68.7;15.4;133.3;18.1;12.3;9.6;1.7;35.1;32.8;60.0;61.2;16.5
116;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2021;47.9;31.5;26.2;28.4;22.9;43.2;39.4;35.1;86.7;15.7;161.6;18.5;12.2;9.8;1.5;36.9;34.6;70.1;86.6;18.5
117;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2022;58.0;33.3;28.3;30.4;25.2;45.5;41.5;41.1;108.6;16.1;185.0;19.8;13.1;11.1;2.3;39.5;36.9;80.6;134.1;20.2
118;Self-employed;A-U All economic activities;Age: Younger than 25 years;Total male and female;2023;62.1;33.1;27.0;30.2;24.0;47.3;43.0;44.7;101.2;16.5;194.3;21.1;14.3;11.4;2.5;42.6;39.7;86.6;133.3;20.8
