ID;Sex;PersonalCharacteristics;SIC2008;Periods;EmployedLabourForce_1
48;Total male and female;Total persons;A-U All economic activities;2012 4th quarter;8341
49;Total male and female;Total persons;A-U All economic activities;2012;8330
50;Total male and female;Total persons;A-U All economic activities;2013 1st quarter;8259
51;Total male and female;Total persons;A-U All economic activities;2013 2nd quarter;8273
52;Total male and female;Total persons;A-U All economic activities;2013 3rd quarter;8280
53;Total male and female;Total persons;A-U All economic activities;2013 4th quarter;8254
54;Total male and female;Total persons;A-U All economic activities;2013;8266
55;Total male and female;Total persons;A-U All economic activities;2014 1st quarter;8146
56;Total male and female;Total persons;A-U All economic activities;2014 2nd quarter;8190
57;Total male and female;Total persons;A-U All economic activities;2014 3rd quarter;8251
58;Total male and female;Total persons;A-U All economic activities;2014 4th quarter;8270
59;Total male and female;Total persons;A-U All economic activities;2014;8214
60;Total male and female;Total persons;A-U All economic activities;2015 1st quarter;8235
61;Total male and female;Total persons;A-U All economic activities;2015 2nd quarter;8296
62;Total male and female;Total persons;A-U All economic activities;2015 3rd quarter;8332
63;Total male and female;Total persons;A-U All economic activities;2015 4th quarter;8311
64;Total male and female;Total persons;A-U All economic activities;2015;8294
65;Total male and female;Total persons;A-U All economic activities;2016 1st quarter;8287
66;Total male and female;Total persons;A-U All economic activities;2016 2nd quarter;8386
67;Total male and female;Total persons;A-U All economic activities;2016 3rd quarter;8461
68;Total male and female;Total persons;A-U All economic activities;2016 4th quarter;8478
69;Total male and female;Total persons;A-U All economic activities;2016;8403
70;Total male and female;Total persons;A-U All economic activities;2017 1st quarter;8474
71;Total male and female;Total persons;A-U All economic activities;2017 2nd quarter;8553
72;Total male and female;Total persons;A-U All economic activities;2017 3rd quarter;8638
73;Total male and female;Total persons;A-U All economic activities;2017 4th quarter;8651
74;Total male and female;Total persons;A-U All economic activities;2017;8579
75;Total male and female;Total persons;A-U All economic activities;2018 1st quarter;8654
76;Total male and female;Total persons;A-U All economic activities;2018 2nd quarter;8747
77;Total male and female;Total persons;A-U All economic activities;2018 3rd quarter;8835
78;Total male and female;Total persons;A-U All economic activities;2018 4th quarter;8862
79;Total male and female;Total persons;A-U All economic activities;2018;8774
80;Total male and female;Total persons;A-U All economic activities;2019 1st quarter;8866
81;Total male and female;Total persons;A-U All economic activities;2019 2nd quarter;8941
82;Total male and female;Total persons;A-U All economic activities;2019 3rd quarter;8992
83;Total male and female;Total persons;A-U All economic activities;2019 4th quarter;9012
84;Total male and female;Total persons;A-U All economic activities;2019;8953
85;Total male and female;Total persons;A-U All economic activities;2020 1st quarter;9014
86;Total male and female;Total persons;A-U All economic activities;2020 2nd quarter;8882
87;Total male and female;Total persons;A-U All economic activities;2020 3rd quarter;8936
88;Total male and female;Total persons;A-U All economic activities;2020 4th quarter;8973
89;Total male and female;Total persons;A-U All economic activities;2020;8951
90;Total male and female;Total persons;A-U All economic activities;2021 1st quarter;9135
91;Total male and female;Total persons;A-U All economic activities;2021 2nd quarter;9207
92;Total male and female;Total persons;A-U All economic activities;2021 3rd quarter;9309
93;Total male and female;Total persons;A-U All economic activities;2021 4th quarter;9370
94;Total male and female;Total persons;A-U All economic activities;2021;9255
95;Total male and female;Total persons;A-U All economic activities;2022 1st quarter;9412
96;Total male and female;Total persons;B-E Industry (no construction), energy;2003 1st quarter;1046
97;Total male and female;Total persons;B-E Industry (no construction), energy;2003 2nd quarter;1047
98;Total male and female;Total persons;B-E Industry (no construction), energy;2003 3rd quarter;1058
99;Total male and female;Total persons;B-E Industry (no construction), energy;2003 4th quarter;1042
100;Total male and female;Total persons;B-E Industry (no construction), energy;2003;1048
101;Total male and female;Total persons;B-E Industry (no construction), energy;2004 1st quarter;1037
102;Total male and female;Total persons;B-E Industry (no construction), energy;2004 2nd quarter;1036
103;Total male and female;Total persons;B-E Industry (no construction), energy;2004 3rd quarter;1051
104;Total male and female;Total persons;B-E Industry (no construction), energy;2004 4th quarter;1057
105;Total male and female;Total persons;B-E Industry (no construction), energy;2004;1045
106;Total male and female;Total persons;B-E Industry (no construction), energy;2005 1st quarter;1037
107;Total male and female;Total persons;B-E Industry (no construction), energy;2005 2nd quarter;1047
108;Total male and female;Total persons;B-E Industry (no construction), energy;2005 3rd quarter;1048
109;Total male and female;Total persons;B-E Industry (no construction), energy;2005 4th quarter;1045
110;Total male and female;Total persons;B-E Industry (no construction), energy;2005;1044
111;Total male and female;Total persons;B-E Industry (no construction), energy;2006 1st quarter;1025
112;Total male and female;Total persons;B-E Industry (no construction), energy;2006 2nd quarter;1020
113;Total male and female;Total persons;B-E Industry (no construction), energy;2006 3rd quarter;1022
114;Total male and female;Total persons;B-E Industry (no construction), energy;2006 4th quarter;1025
115;Total male and female;Total persons;B-E Industry (no construction), energy;2006;1023
116;Total male and female;Total persons;B-E Industry (no construction), energy;2007 1st quarter;1015
117;Total male and female;Total persons;B-E Industry (no construction), energy;2007 2nd quarter;1039
118;Total male and female;Total persons;B-E Industry (no construction), energy;2007 3rd quarter;1051
119;Total male and female;Total persons;B-E Industry (no construction), energy;2007 4th quarter;1039
120;Total male and female;Total persons;B-E Industry (no construction), energy;2007;1036
121;Total male and female;Total persons;B-E Industry (no construction), energy;2008 1st quarter;1036
122;Total male and female;Total persons;B-E Industry (no construction), energy;2008 2nd quarter;1058
123;Total male and female;Total persons;B-E Industry (no construction), energy;2008 3rd quarter;1052
124;Total male and female;Total persons;B-E Industry (no construction), energy;2008 4th quarter;1038
125;Total male and female;Total persons;B-E Industry (no construction), energy;2008;1046
126;Total male and female;Total persons;B-E Industry (no construction), energy;2009 1st quarter;1020
127;Total male and female;Total persons;B-E Industry (no construction), energy;2009 2nd quarter;1003
128;Total male and female;Total persons;B-E Industry (no construction), energy;2009 3rd quarter;998
129;Total male and female;Total persons;B-E Industry (no construction), energy;2009 4th quarter;983
130;Total male and female;Total persons;B-E Industry (no construction), energy;2009;1001
131;Total male and female;Total persons;B-E Industry (no construction), energy;2010 1st quarter;984
132;Total male and female;Total persons;B-E Industry (no construction), energy;2010 2nd quarter;980
133;Total male and female;Total persons;B-E Industry (no construction), energy;2010 3rd quarter;970
134;Total male and female;Total persons;B-E Industry (no construction), energy;2010 4th quarter;972
135;Total male and female;Total persons;B-E Industry (no construction), energy;2010;977
136;Total male and female;Total persons;B-E Industry (no construction), energy;2011 1st quarter;964
137;Total male and female;Total persons;B-E Industry (no construction), energy;2011 2nd quarter;949
138;Total male and female;Total persons;B-E Industry (no construction), energy;2011 3rd quarter;952
139;Total male and female;Total persons;B-E Industry (no construction), energy;2011 4th quarter;958
140;Total male and female;Total persons;B-E Industry (no construction), energy;2011;956
141;Total male and female;Total persons;B-E Industry (no construction), energy;2012 1st quarter;941
142;Total male and female;Total persons;B-E Industry (no construction), energy;2012 2nd quarter;949
143;Total male and female;Total persons;B-E Industry (no construction), energy;2012 3rd quarter;980
144;Total male and female;Total persons;B-E Industry (no construction), energy;2012 4th quarter;947
145;Total male and female;Total persons;B-E Industry (no construction), energy;2012;954
146;Total male and female;Total persons;B-E Industry (no construction), energy;2013 1st quarter;872
147;Total male and female;Total persons;B-E Industry (no construction), energy;2013 2nd quarter;867
148;Total male and female;Total persons;B-E Industry (no construction), energy;2013 3rd quarter;864
149;Total male and female;Total persons;B-E Industry (no construction), energy;2013 4th quarter;863
150;Total male and female;Total persons;B-E Industry (no construction), energy;2013;866
151;Total male and female;Total persons;B-E Industry (no construction), energy;2014 1st quarter;847
152;Total male and female;Total persons;B-E Industry (no construction), energy;2014 2nd quarter;846
153;Total male and female;Total persons;B-E Industry (no construction), energy;2014 3rd quarter;858
154;Total male and female;Total persons;B-E Industry (no construction), energy;2014 4th quarter;842
155;Total male and female;Total persons;B-E Industry (no construction), energy;2014;848
156;Total male and female;Total persons;B-E Industry (no construction), energy;2015 1st quarter;855
157;Total male and female;Total persons;B-E Industry (no construction), energy;2015 2nd quarter;867
158;Total male and female;Total persons;B-E Industry (no construction), energy;2015 3rd quarter;888
159;Total male and female;Total persons;B-E Industry (no construction), energy;2015 4th quarter;903
160;Total male and female;Total persons;B-E Industry (no construction), energy;2015;878
161;Total male and female;Total persons;B-E Industry (no construction), energy;2016 1st quarter;883
162;Total male and female;Total persons;B-E Industry (no construction), energy;2016 2nd quarter;895
163;Total male and female;Total persons;B-E Industry (no construction), energy;2016 3rd quarter;906
164;Total male and female;Total persons;B-E Industry (no construction), energy;2016 4th quarter;892
165;Total male and female;Total persons;B-E Industry (no construction), energy;2016;894
166;Total male and female;Total persons;B-E Industry (no construction), energy;2017 1st quarter;877
167;Total male and female;Total persons;B-E Industry (no construction), energy;2017 2nd quarter;888
168;Total male and female;Total persons;B-E Industry (no construction), energy;2017 3rd quarter;887
169;Total male and female;Total persons;B-E Industry (no construction), energy;2017 4th quarter;896
170;Total male and female;Total persons;B-E Industry (no construction), energy;2017;887
171;Total male and female;Total persons;B-E Industry (no construction), energy;2018 1st quarter;889
172;Total male and female;Total persons;B-E Industry (no construction), energy;2018 2nd quarter;910
173;Total male and female;Total persons;B-E Industry (no construction), energy;2018 3rd quarter;905
174;Total male and female;Total persons;B-E Industry (no construction), energy;2018 4th quarter;912
175;Total male and female;Total persons;B-E Industry (no construction), energy;2018;904
176;Total male and female;Total persons;B-E Industry (no construction), energy;2019 1st quarter;897
177;Total male and female;Total persons;B-E Industry (no construction), energy;2019 2nd quarter;919
178;Total male and female;Total persons;B-E Industry (no construction), energy;2019 3rd quarter;915
179;Total male and female;Total persons;B-E Industry (no construction), energy;2019 4th quarter;919
180;Total male and female;Total persons;B-E Industry (no construction), energy;2019;912
181;Total male and female;Total persons;B-E Industry (no construction), energy;2020 1st quarter;914
182;Total male and female;Total persons;B-E Industry (no construction), energy;2020 2nd quarter;897
183;Total male and female;Total persons;B-E Industry (no construction), energy;2020 3rd quarter;900
184;Total male and female;Total persons;B-E Industry (no construction), energy;2020 4th quarter;883
185;Total male and female;Total persons;B-E Industry (no construction), energy;2020;898
186;Total male and female;Total persons;B-E Industry (no construction), energy;2021 1st quarter;852
187;Total male and female;Total persons;B-E Industry (no construction), energy;2021 2nd quarter;860
188;Total male and female;Total persons;B-E Industry (no construction), energy;2021 3rd quarter;891
189;Total male and female;Total persons;B-E Industry (no construction), energy;2021 4th quarter;871
190;Total male and female;Total persons;B-E Industry (no construction), energy;2021;868
191;Total male and female;Total persons;B-E Industry (no construction), energy;2022 1st quarter;882
192;Total male and female;Total persons;B-F Manufacturing and energy;2003 1st quarter;1544
193;Total male and female;Total persons;B-F Manufacturing and energy;2003 2nd quarter;1534
194;Total male and female;Total persons;B-F Manufacturing and energy;2003 3rd quarter;1537
195;Total male and female;Total persons;B-F Manufacturing and energy;2003 4th quarter;1531
196;Total male and female;Total persons;B-F Manufacturing and energy;2003;1537
197;Total male and female;Total persons;B-F Manufacturing and energy;2004 1st quarter;1521
198;Total male and female;Total persons;B-F Manufacturing and energy;2004 2nd quarter;1522
199;Total male and female;Total persons;B-F Manufacturing and energy;2004 3rd quarter;1565
200;Total male and female;Total persons;B-F Manufacturing and energy;2004 4th quarter;1562
201;Total male and female;Total persons;B-F Manufacturing and energy;2004;1542
202;Total male and female;Total persons;B-F Manufacturing and energy;2005 1st quarter;1539
203;Total male and female;Total persons;B-F Manufacturing and energy;2005 2nd quarter;1552
204;Total male and female;Total persons;B-F Manufacturing and energy;2005 3rd quarter;1559
205;Total male and female;Total persons;B-F Manufacturing and energy;2005 4th quarter;1560
206;Total male and female;Total persons;B-F Manufacturing and energy;2005;1553
207;Total male and female;Total persons;B-F Manufacturing and energy;2006 1st quarter;1532
208;Total male and female;Total persons;B-F Manufacturing and energy;2006 2nd quarter;1539
209;Total male and female;Total persons;B-F Manufacturing and energy;2006 3rd quarter;1537
210;Total male and female;Total persons;B-F Manufacturing and energy;2006 4th quarter;1541
211;Total male and female;Total persons;B-F Manufacturing and energy;2006;1537
212;Total male and female;Total persons;B-F Manufacturing and energy;2007 1st quarter;1538
213;Total male and female;Total persons;B-F Manufacturing and energy;2007 2nd quarter;1560
214;Total male and female;Total persons;B-F Manufacturing and energy;2007 3rd quarter;1576
215;Total male and female;Total persons;B-F Manufacturing and energy;2007 4th quarter;1564
216;Total male and female;Total persons;B-F Manufacturing and energy;2007;1559
217;Total male and female;Total persons;B-F Manufacturing and energy;2008 1st quarter;1562
218;Total male and female;Total persons;B-F Manufacturing and energy;2008 2nd quarter;1600
219;Total male and female;Total persons;B-F Manufacturing and energy;2008 3rd quarter;1604
220;Total male and female;Total persons;B-F Manufacturing and energy;2008 4th quarter;1590
221;Total male and female;Total persons;B-F Manufacturing and energy;2008;1589
222;Total male and female;Total persons;B-F Manufacturing and energy;2009 1st quarter;1574
223;Total male and female;Total persons;B-F Manufacturing and energy;2009 2nd quarter;1555
224;Total male and female;Total persons;B-F Manufacturing and energy;2009 3rd quarter;1526
225;Total male and female;Total persons;B-F Manufacturing and energy;2009 4th quarter;1501
226;Total male and female;Total persons;B-F Manufacturing and energy;2009;1539
227;Total male and female;Total persons;B-F Manufacturing and energy;2010 1st quarter;1495
228;Total male and female;Total persons;B-F Manufacturing and energy;2010 2nd quarter;1477
229;Total male and female;Total persons;B-F Manufacturing and energy;2010 3rd quarter;1458
230;Total male and female;Total persons;B-F Manufacturing and energy;2010 4th quarter;1470
231;Total male and female;Total persons;B-F Manufacturing and energy;2010;1475
232;Total male and female;Total persons;B-F Manufacturing and energy;2011 1st quarter;1462
233;Total male and female;Total persons;B-F Manufacturing and energy;2011 2nd quarter;1440
234;Total male and female;Total persons;B-F Manufacturing and energy;2011 3rd quarter;1432
235;Total male and female;Total persons;B-F Manufacturing and energy;2011 4th quarter;1441
236;Total male and female;Total persons;B-F Manufacturing and energy;2011;1444
237;Total male and female;Total persons;B-F Manufacturing and energy;2012 1st quarter;1424
238;Total male and female;Total persons;B-F Manufacturing and energy;2012 2nd quarter;1440
239;Total male and female;Total persons;B-F Manufacturing and energy;2012 3rd quarter;1473
240;Total male and female;Total persons;B-F Manufacturing and energy;2012 4th quarter;1429
241;Total male and female;Total persons;B-F Manufacturing and energy;2012;1442
242;Total male and female;Total persons;B-F Manufacturing and energy;2013 1st quarter;1305
243;Total male and female;Total persons;B-F Manufacturing and energy;2013 2nd quarter;1291
244;Total male and female;Total persons;B-F Manufacturing and energy;2013 3rd quarter;1287
245;Total male and female;Total persons;B-F Manufacturing and energy;2013 4th quarter;1288
246;Total male and female;Total persons;B-F Manufacturing and energy;2013;1293
247;Total male and female;Total persons;B-F Manufacturing and energy;2014 1st quarter;1252
248;Total male and female;Total persons;B-F Manufacturing and energy;2014 2nd quarter;1249
249;Total male and female;Total persons;B-F Manufacturing and energy;2014 3rd quarter;1253
250;Total male and female;Total persons;B-F Manufacturing and energy;2014 4th quarter;1253
251;Total male and female;Total persons;B-F Manufacturing and energy;2014;1252
252;Total male and female;Total persons;B-F Manufacturing and energy;2015 1st quarter;1259
253;Total male and female;Total persons;B-F Manufacturing and energy;2015 2nd quarter;1273
254;Total male and female;Total persons;B-F Manufacturing and energy;2015 3rd quarter;1304
255;Total male and female;Total persons;B-F Manufacturing and energy;2015 4th quarter;1316
256;Total male and female;Total persons;B-F Manufacturing and energy;2015;1288
257;Total male and female;Total persons;B-F Manufacturing and energy;2016 1st quarter;1287
258;Total male and female;Total persons;B-F Manufacturing and energy;2016 2nd quarter;1299
259;Total male and female;Total persons;B-F Manufacturing and energy;2016 3rd quarter;1313
260;Total male and female;Total persons;B-F Manufacturing and energy;2016 4th quarter;1293
261;Total male and female;Total persons;B-F Manufacturing and energy;2016;1298
262;Total male and female;Total persons;B-F Manufacturing and energy;2017 1st quarter;1280
263;Total male and female;Total persons;B-F Manufacturing and energy;2017 2nd quarter;1302
264;Total male and female;Total persons;B-F Manufacturing and energy;2017 3rd quarter;1312
265;Total male and female;Total persons;B-F Manufacturing and energy;2017 4th quarter;1313
266;Total male and female;Total persons;B-F Manufacturing and energy;2017;1302
267;Total male and female;Total persons;B-F Manufacturing and energy;2018 1st quarter;1301
268;Total male and female;Total persons;B-F Manufacturing and energy;2018 2nd quarter;1314
269;Total male and female;Total persons;B-F Manufacturing and energy;2018 3rd quarter;1318
270;Total male and female;Total persons;B-F Manufacturing and energy;2018 4th quarter;1327
271;Total male and female;Total persons;B-F Manufacturing and energy;2018;1315
272;Total male and female;Total persons;B-F Manufacturing and energy;2019 1st quarter;1320
273;Total male and female;Total persons;B-F Manufacturing and energy;2019 2nd quarter;1337
274;Total male and female;Total persons;B-F Manufacturing and energy;2019 3rd quarter;1337
275;Total male and female;Total persons;B-F Manufacturing and energy;2019 4th quarter;1348
276;Total male and female;Total persons;B-F Manufacturing and energy;2019;1335
277;Total male and female;Total persons;B-F Manufacturing and energy;2020 1st quarter;1344
278;Total male and female;Total persons;B-F Manufacturing and energy;2020 2nd quarter;1315
279;Total male and female;Total persons;B-F Manufacturing and energy;2020 3rd quarter;1306
280;Total male and female;Total persons;B-F Manufacturing and energy;2020 4th quarter;1302
281;Total male and female;Total persons;B-F Manufacturing and energy;2020;1316
282;Total male and female;Total persons;B-F Manufacturing and energy;2021 1st quarter;1252
283;Total male and female;Total persons;B-F Manufacturing and energy;2021 2nd quarter;1257
284;Total male and female;Total persons;B-F Manufacturing and energy;2021 3rd quarter;1288
285;Total male and female;Total persons;B-F Manufacturing and energy;2021 4th quarter;1263
286;Total male and female;Total persons;B-F Manufacturing and energy;2021;1265
287;Total male and female;Total persons;B-F Manufacturing and energy;2022 1st quarter;1275
288;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2003 1st quarter;1929
289;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2003 2nd quarter;1926
290;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2003 3rd quarter;1938
291;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2003 4th quarter;1890
292;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2003;1921
293;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2004 1st quarter;1905
294;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2004 2nd quarter;1896
295;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2004 3rd quarter;1900
296;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2004 4th quarter;1893
297;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2004;1899
298;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2005 1st quarter;1873
299;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2005 2nd quarter;1887
300;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2005 3rd quarter;1906
301;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2005 4th quarter;1894
302;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2005;1890
303;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2006 1st quarter;1900
304;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2006 2nd quarter;1928
305;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2006 3rd quarter;1962
306;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2006 4th quarter;1989
307;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2006;1945
308;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2007 1st quarter;1975
309;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2007 2nd quarter;2005
310;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2007 3rd quarter;2015
311;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2007 4th quarter;2004
312;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2007;2000
313;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2008 1st quarter;1998
314;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2008 2nd quarter;2017
315;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2008 3rd quarter;2016
316;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2008 4th quarter;2010
317;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2008;2010
318;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2009 1st quarter;2006
319;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2009 2nd quarter;1998
320;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2009 3rd quarter;1990
321;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2009 4th quarter;1977
322;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2009;1993
323;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2010 1st quarter;1953
324;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2010 2nd quarter;1953
325;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2010 3rd quarter;1977
326;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2010 4th quarter;1955
327;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2010;1959
328;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2011 1st quarter;1943
329;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2011 2nd quarter;1989
330;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2011 3rd quarter;2016
331;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2011 4th quarter;2013
332;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2011;1990
333;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2012 1st quarter;2017
334;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2012 2nd quarter;2027
335;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2012 3rd quarter;2043
336;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2012 4th quarter;2002
337;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2012;2022
338;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 1st quarter;1943
339;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 2nd quarter;1965
340;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 3rd quarter;1970
341;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013 4th quarter;1963
342;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2013;1960
343;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 1st quarter;1957
344;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 2nd quarter;1958
345;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 3rd quarter;1996
346;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014 4th quarter;1965
347;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2014;1969
348;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 1st quarter;1979
349;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 2nd quarter;2020
350;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 3rd quarter;2046
351;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015 4th quarter;2035
352;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2015;2020
353;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 1st quarter;2011
354;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 2nd quarter;2054
355;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 3rd quarter;2047
356;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016 4th quarter;2036
357;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2016;2037
358;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 1st quarter;2032
359;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 2nd quarter;2062
360;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 3rd quarter;2089
361;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017 4th quarter;2056
362;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2017;2060
363;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 1st quarter;2066
364;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 2nd quarter;2131
365;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 3rd quarter;2156
366;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018 4th quarter;2134
367;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2018;2121
368;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 1st quarter;2118
369;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 2nd quarter;2140
370;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 3rd quarter;2138
371;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019 4th quarter;2096
372;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2019;2123
373;Total male and female;Total persons;G-I Trade, transport, hotels, catering;2020 1st quarter;2081
