ID;SIC93;Periods;Production_1;AverageDailyProduction_2;ProductionSeasonallyAdjusted_3;DevelopmentProduction_4;DevelopmentAverageDailyProduction_5;DevelopmentSeasonallyAdjusted_6;ShortTermDevelopmentAverageDaily_7;ShortTermDevelopmentSeasonallyAdj_8;TotalTurnover_9;DomesticSales_10;InternationalSales_11;TotalOrders_12;DomesticOrders_13;ForeignOrders_14
49;C-E: Industry (excl. construction);1997 4th quarter;98.0;97.7;91.2;1.2;0.6;-0.1;;;;;;;;
50;C-E: Industry (excl. construction);1997;90.4;90.4;90.4;-0.5;-0.5;-0.5;;;;;;;;
51;C-E: Industry (excl. construction);1998 January;97.5;97.8;92.1;-1.8;0.9;3.0;;;;;;;;
52;C-E: Industry (excl. construction);1998 February;90.8;91.5;90.8;2.6;2.6;-1.3;;;;;;;;
53;C-E: Industry (excl. construction);1998 March;98.3;99.1;91.2;8.7;5.3;0.4;;;;;;;;
54;C-E: Industry (excl. construction);1998 1st quarter;95.5;96.1;91.4;3.0;2.9;0.2;;;;;;;;
55;C-E: Industry (excl. construction);1998 April;90.8;89.5;92.2;-0.1;0.4;1.0;;;;;;;;
56;C-E: Industry (excl. construction);1998 May;87.2;89.8;93.1;1.8;4.3;1.0;;;;;;;;
57;C-E: Industry (excl. construction);1998 June;87.6;87.6;91.6;2.4;1.6;-1.6;;;;;;;;
58;C-E: Industry (excl. construction);1998 2nd quarter;88.6;88.9;92.3;1.3;2.1;1.0;;;;;;;;
59;C-E: Industry (excl. construction);1998 July;86.9;83.5;93.0;4.7;2.9;1.5;;;;;;;;
60;C-E: Industry (excl. construction);1998 August;76.7;79.6;91.9;-0.5;0.5;-1.2;;;;;;;;
61;C-E: Industry (excl. construction);1998 September;91.0;90.3;92.4;0.7;0.6;0.6;;;;;;;;
62;C-E: Industry (excl. construction);1998 3rd quarter;84.9;84.4;92.4;1.6;1.3;0.2;;;;;;;;
63;C-E: Industry (excl. construction);1998 October;99.6;99.5;93.6;-0.4;2.3;1.3;;;;;;;;
64;C-E: Industry (excl. construction);1998 November;100.8;102.2;94.3;3.6;1.5;0.7;;;;;;;;
65;C-E: Industry (excl. construction);1998 December;98.1;95.1;89.4;1.5;-0.2;-5.2;;;;;;;;
66;C-E: Industry (excl. construction);1998 4th quarter;99.5;98.9;92.4;1.5;1.2;0.0;;;;;;;;
67;C-E: Industry (excl. construction);1998;92.1;92.1;92.1;1.9;1.9;1.9;;;;;;;;
68;C-E: Industry (excl. construction);1999 January;95.9;98.8;93.1;-1.6;1.0;4.2;;;;;;;;
69;C-E: Industry (excl. construction);1999 February;93.6;94.5;93.7;3.1;3.3;0.6;;;;;;;;
70;C-E: Industry (excl. construction);1999 March;104.5;102.9;94.7;6.4;3.9;1.1;;;;;;;;
71;C-E: Industry (excl. construction);1999 1st quarter;98.0;98.7;93.8;2.6;2.7;1.5;;;;;;;;
72;C-E: Industry (excl. construction);1999 April;91.3;90.3;93.0;0.6;0.9;-1.8;;;;;;;;
73;C-E: Industry (excl. construction);1999 May;86.3;89.6;92.9;-1.1;-0.2;-0.1;;;;;;;;
74;C-E: Industry (excl. construction);1999 June;93.2;91.7;95.9;6.4;4.6;3.2;;;;;;;;
75;C-E: Industry (excl. construction);1999 2nd quarter;90.3;90.5;93.9;1.9;1.8;0.1;;;;;;;;
76;C-E: Industry (excl. construction);1999 July;86.6;86.1;95.7;-0.4;3.1;-0.2;;;;;;;;
77;C-E: Industry (excl. construction);1999 August;80.9;82.5;95.3;5.5;3.7;-0.4;;;;;;;;
78;C-E: Industry (excl. construction);1999 September;94.1;92.6;94.8;3.4;2.6;-0.5;;;;;;;;
79;C-E: Industry (excl. construction);1999 3rd quarter;87.2;87.1;95.3;2.7;3.1;1.4;;;;;;;;
80;C-E: Industry (excl. construction);1999 October;98.7;101.2;95.4;-0.9;1.8;0.6;;;;;;;;
81;C-E: Industry (excl. construction);1999 November;105.6;105.3;97.2;4.8;3.0;1.8;;;;;;;;
82;C-E: Industry (excl. construction);1999 December;107.7;103.0;96.9;9.8;8.2;-0.3;;;;;;;;
83;C-E: Industry (excl. construction);1999 4th quarter;104.0;103.2;96.5;4.5;4.3;1.3;;;;;;;;
84;C-E: Industry (excl. construction);1999;94.9;94.9;94.9;3.0;3.0;3.0;;;;;;;;
85;C-E: Industry (excl. construction);2000 January;101.4;103.8;98.0;5.7;5.1;1.1;;;;;;;;
86;C-E: Industry (excl. construction);2000 February;102.7;100.1;98.9;9.8;5.9;0.9;;;;;;;;
87;C-E: Industry (excl. construction);2000 March;111.1;108.0;99.2;6.2;4.9;0.3;;;;;;;;
88;C-E: Industry (excl. construction);2000 1st quarter;105.0;104.0;98.7;7.2;5.3;2.3;;;;;;;;
89;C-E: Industry (excl. construction);2000 April;94.2;96.8;99.6;3.1;7.2;0.4;;;;;;;;
90;C-E: Industry (excl. construction);2000 May;101.8;97.5;101.0;18.0;8.8;1.5;;;;;;;;
91;C-E: Industry (excl. construction);2000 June;94.4;95.5;99.8;1.3;4.2;-1.3;;;;;;;;
92;C-E: Industry (excl. construction);2000 2nd quarter;96.8;96.6;100.1;7.3;6.7;1.5;;;;;;;;
93;C-E: Industry (excl. construction);2000 July;88.1;91.4;101.5;1.8;6.2;1.7;;;;;;;;
94;C-E: Industry (excl. construction);2000 August;89.6;87.4;101.0;10.8;6.0;-0.4;;;;;;;;
95;C-E: Industry (excl. construction);2000 September;96.8;97.6;99.9;2.9;5.4;-1.2;;;;;;;;
96;C-E: Industry (excl. construction);2000 3rd quarter;91.5;92.1;100.8;5.0;5.8;0.7;;;;;;;;
97;C-E: Industry (excl. construction);2000 October;106.1;107.3;101.2;7.6;6.0;1.3;;;;;;;;
98;C-E: Industry (excl. construction);2000 November;111.0;109.1;100.6;5.1;3.6;-0.6;;;;;;;;
99;C-E: Industry (excl. construction);2000 December;102.7;105.6;99.5;-4.7;2.5;-1.1;;;;;;;;
100;C-E: Industry (excl. construction);2000 4th quarter;106.6;107.3;100.4;2.5;4.0;-0.4;;;;;;;;
101;C-E: Industry (excl. construction);2000;100.0;100.0;100.0;5.4;5.4;5.4;;;;;;;;
102;C-E: Industry (excl. construction);2001 January;107.8;106.1;100.4;6.3;2.2;0.9;;;;;;;;
103;C-E: Industry (excl. construction);2001 February;101.7;102.2;100.7;-1.0;2.2;0.3;;;;;;;;
104;C-E: Industry (excl. construction);2001 March;111.5;110.9;101.9;0.4;2.7;1.2;;;;;;;;
105;C-E: Industry (excl. construction);2001 1st quarter;107.0;106.4;101.0;1.9;2.4;0.6;;;;;;;;
106;C-E: Industry (excl. construction);2001 April;99.2;100.7;103.6;5.3;4.1;1.6;;;;;;;;
107;C-E: Industry (excl. construction);2001 May;102.5;99.2;102.9;0.6;1.7;-0.7;;;;;;;;
108;C-E: Industry (excl. construction);2001 June;95.8;96.8;101.0;1.4;1.4;-1.9;;;;;;;;
109;C-E: Industry (excl. construction);2001 2nd quarter;99.2;98.9;102.5;2.4;2.4;1.5;;;;;;;;
110;C-E: Industry (excl. construction);2001 July;89.5;91.3;101.3;1.6;-0.1;0.3;;;;;;;;
111;C-E: Industry (excl. construction);2001 August;90.6;87.0;100.6;1.1;-0.5;-0.7;;;;;;;;
112;C-E: Industry (excl. construction);2001 September;95.6;98.4;100.8;-1.3;0.8;0.2;;;;;;;;
113;C-E: Industry (excl. construction);2001 3rd quarter;91.9;92.2;100.9;0.4;0.1;-1.6;;;;;;;;
114;C-E: Industry (excl. construction);2001 October;104.7;102.7;97.0;-1.4;-4.2;-3.7;;;;;;;;
115;C-E: Industry (excl. construction);2001 November;110.1;107.8;99.4;-0.8;-1.1;2.4;;;;;;;;
116;C-E: Industry (excl. construction);2001 December;103.4;108.9;102.7;0.7;3.1;3.3;;;;;;;;
117;C-E: Industry (excl. construction);2001 4th quarter;106.1;106.5;99.7;-0.5;-0.8;-1.2;;;;;;;;
118;C-E: Industry (excl. construction);2001;101.0;101.0;101.0;1.0;1.0;1.0;;;;;;;;
119;C-E: Industry (excl. construction);2002 January;109.0;106.6;101.0;1.1;0.4;-1.6;;;;;;;;
120;C-E: Industry (excl. construction);2002 February;100.8;101.3;99.4;-0.9;-0.9;-1.6;;;;;;;;
121;C-E: Industry (excl. construction);2002 March;107.9;110.0;101.0;-3.2;-0.8;1.7;;;;;;;;
122;C-E: Industry (excl. construction);2002 1st quarter;105.9;106.0;100.5;-1.0;-0.4;0.8;;;;;;;;
123;C-E: Industry (excl. construction);2002 April;99.7;100.4;103.1;0.5;-0.3;2.1;;;;;;;;
124;C-E: Industry (excl. construction);2002 May;101.2;98.5;102.2;-1.3;-0.7;-0.9;;;;;;;;
125;C-E: Industry (excl. construction);2002 June;97.1;99.5;103.5;1.4;2.7;1.3;;;;;;;;
126;C-E: Industry (excl. construction);2002 2nd quarter;99.3;99.4;102.9;0.2;0.5;2.4;;;;;;;;
127;C-E: Industry (excl. construction);2002 July;93.7;92.9;103.1;4.7;1.8;-0.3;;;;;;;;
128;C-E: Industry (excl. construction);2002 August;89.3;88.2;102.0;-1.4;1.4;-1.1;;;;;;;;
129;C-E: Industry (excl. construction);2002 September;100.0;100.9;103.5;4.6;2.6;1.4;;;;;;;;
130;C-E: Industry (excl. construction);2002 3rd quarter;94.4;94.0;102.9;2.7;2.0;0.0;;;;;;;;
131;C-E: Industry (excl. construction);2002 October;111.8;109.1;103.2;6.8;6.2;-0.3;;;;;;;;
132;C-E: Industry (excl. construction);2002 November;108.6;109.2;100.6;-1.3;1.3;-2.5;;;;;;;;
133;C-E: Industry (excl. construction);2002 December;104.3;106.4;100.4;0.9;-2.2;-0.2;;;;;;;;
134;C-E: Industry (excl. construction);2002 4th quarter;108.3;108.2;101.4;2.1;1.7;-1.5;;;;;;;;
135;C-E: Industry (excl. construction);2002;102.0;102.0;102.0;0.9;0.9;0.9;;;;;;;;
136;C-E: Industry (excl. construction);2003 January;109.0;106.3;101.1;0.0;-0.3;0.7;;;;;;;;
137;C-E: Industry (excl. construction);2003 February;106.0;106.9;104.6;5.2;5.5;3.5;;;;;;;;
138;C-E: Industry (excl. construction);2003 March;106.1;109.1;100.3;-1.7;-0.8;-4.1;;;;;;;;
139;C-E: Industry (excl. construction);2003 1st quarter;107.0;107.4;102.0;1.1;1.4;0.6;;;;;;;;
140;C-E: Industry (excl. construction);2003 April;98.0;97.1;99.8;-1.7;-3.3;-0.5;;;;;;;;
141;C-E: Industry (excl. construction);2003 May;95.6;94.9;98.6;-5.5;-3.7;-1.2;;;;;;;;
142;C-E: Industry (excl. construction);2003 June;92.4;94.2;98.0;-4.8;-5.3;-0.6;;;;;;;;
143;C-E: Industry (excl. construction);2003 2nd quarter;95.3;95.4;98.8;-4.0;-4.1;-3.1;;;;;;;;
144;C-E: Industry (excl. construction);2003 July;90.2;88.5;98.4;-3.7;-4.7;0.4;;;;;;;;
145;C-E: Industry (excl. construction);2003 August;84.8;86.7;100.4;-5.1;-1.7;2.0;;;;;;;;
146;C-E: Industry (excl. construction);2003 September;99.2;98.5;101.2;-0.8;-2.4;0.7;;;;;;;;
147;C-E: Industry (excl. construction);2003 3rd quarter;91.4;91.3;100.0;-3.1;-2.9;1.2;;;;;;;;
148;C-E: Industry (excl. construction);2003 October;111.6;108.5;102.9;-0.3;-0.6;1.7;;;;;;;;
149;C-E: Industry (excl. construction);2003 November;106.5;110.0;101.5;-2.0;0.8;-1.4;;;;;;;;
150;C-E: Industry (excl. construction);2003 December;106.6;105.1;99.2;2.2;-1.3;-2.3;;;;;;;;
151;C-E: Industry (excl. construction);2003 4th quarter;108.2;107.9;101.2;0.0;-0.3;1.2;;;;;;;;
152;C-E: Industry (excl. construction);2003;100.5;100.5;100.5;-1.4;-1.4;-1.4;;;;;;;;
153;C-E: Industry (excl. construction);2004 January;108.0;108.9;103.6;-0.9;2.4;4.5;;;;;;;;
154;C-E: Industry (excl. construction);2004 February;106.3;106.0;103.5;0.3;-0.8;-0.1;;;;;;;;
155;C-E: Industry (excl. construction);2004 March;115.4;113.9;104.6;8.8;4.4;1.1;;;;;;;;
156;C-E: Industry (excl. construction);2004 1st quarter;109.9;109.6;103.9;2.7;2.0;2.7;;;;;;;;
157;C-E: Industry (excl. construction);2004 April;100.9;100.1;102.7;2.9;3.1;-1.8;;;;;;;;
158;C-E: Industry (excl. construction);2004 May;96.1;100.0;104.1;0.6;5.4;1.3;;;;;;;;
159;C-E: Industry (excl. construction);2004 June;102.8;101.4;105.2;11.3;7.6;1.1;;;;;;;;
160;C-E: Industry (excl. construction);2004 2nd quarter;99.9;100.5;104.0;4.9;5.4;0.1;;;;;;;;
161;C-E: Industry (excl. construction);2004 July;94.6;94.1;104.6;4.9;6.2;-0.6;;;;;;;;
162;C-E: Industry (excl. construction);2004 August;89.1;91.3;105.7;5.1;5.3;1.0;;;;;;;;
163;C-E: Industry (excl. construction);2004 September;104.5;103.6;106.3;5.4;5.2;0.6;;;;;;;;
164;C-E: Industry (excl. construction);2004 3rd quarter;96.1;96.3;105.5;5.1;5.6;1.5;;;;;;;;
165;C-E: Industry (excl. construction);2004 October;107.6;110.9;105.2;-3.6;2.2;-1.0;;;;;;;;
166;C-E: Industry (excl. construction);2004 November;114.4;114.4;105.4;7.5;3.9;0.2;;;;;;;;
167;C-E: Industry (excl. construction);2004 December;115.9;111.0;104.5;8.7;5.6;-0.8;;;;;;;;
168;C-E: Industry (excl. construction);2004 4th quarter;112.6;112.1;105.1;4.1;3.9;-0.5;;;;;;;;
169;C-E: Industry (excl. construction);2004;104.6;104.6;104.6;4.1;4.1;4.1;;;;;;;;
170;C-E: Industry (excl. construction);2005 January;106.3;108.7;104.0;-1.5;-0.1;-0.5;;;;;;;;
171;C-E: Industry (excl. construction);2005 February;107.7;108.5;106.1;1.3;2.3;1.9;;;;;;;;
172;C-E: Industry (excl. construction);2005 March;114.4;112.8;103.7;-0.8;-1.0;-2.2;;;;;;;;
173;C-E: Industry (excl. construction);2005 1st quarter;109.5;110.0;104.6;-0.4;0.4;-0.4;;;;;;;;
174;C-E: Industry (excl. construction);2005 April;103.5;102.4;105.5;2.6;2.3;1.7;;;;;;;;
175;C-E: Industry (excl. construction);2005 May;99.4;100.9;105.7;3.4;0.9;0.2;;;;;;;;
176;C-E: Industry (excl. construction);2005 June;105.2;102.8;106.1;2.3;1.3;0.4;;;;;;;;
177;C-E: Industry (excl. construction);2005 2nd quarter;102.7;102.0;105.8;2.8;1.5;1.1;;;;;;;;
178;C-E: Industry (excl. construction);2005 July;93.0;95.1;105.5;-1.7;1.1;-0.5;;;;;;;;
179;C-E: Industry (excl. construction);2005 August;91.5;90.5;104.6;2.7;-0.9;-0.9;;;;;;;;
180;C-E: Industry (excl. construction);2005 September;104.0;102.3;104.4;-0.5;-1.3;-0.2;;;;;;;;
181;C-E: Industry (excl. construction);2005 3rd quarter;96.2;96.0;104.9;0.1;-0.4;-0.9;;;;;;;;
182;C-E: Industry (excl. construction);2005 October;105.4;108.7;103.0;-2.0;-1.9;-1.3;;;;;;;;
183;C-E: Industry (excl. construction);2005 November;116.1;114.7;105.2;1.5;0.3;2.1;;;;;;;;
184;C-E: Industry (excl. construction);2005 December;114.4;113.2;106.7;-1.3;2.0;1.4;;;;;;;;
185;C-E: Industry (excl. construction);2005 4th quarter;112.0;112.2;105.0;-0.6;0.1;0.1;;;;;;;;
186;C-E: Industry (excl. construction);2005;105.1;105.1;105.1;0.4;0.4;0.4;;;;;;;;
187;C-E: Industry (excl. construction);2006 January;111.3;111.8;107.2;4.7;2.8;0.5;;;;;;;;
188;C-E: Industry (excl. construction);2006 February;109.8;110.6;108.0;2.0;1.9;0.8;;;;;;;;
189;C-E: Industry (excl. construction);2006 March;121.8;118.0;108.6;6.4;4.7;0.5;;;;;;;;
190;C-E: Industry (excl. construction);2006 1st quarter;114.3;113.4;107.9;4.4;3.1;2.8;;;;;;;;
191;C-E: Industry (excl. construction);2006 April;101.1;103.6;106.8;-2.3;1.2;-1.6;;;;;;;;
192;C-E: Industry (excl. construction);2006 May;103.1;100.9;106.0;3.7;0.0;-0.8;;;;;;;;
193;C-E: Industry (excl. construction);2006 June;106.0;104.6;107.8;0.7;1.8;1.7;;;;;;;;
194;C-E: Industry (excl. construction);2006 2nd quarter;103.4;103.0;106.9;0.7;1.0;-1.0;;;;;;;;
195;C-E: Industry (excl. construction);2006 July;92.6;96.2;106.8;-0.4;1.2;-0.9;;;;;;;;
196;C-E: Industry (excl. construction);2006 August;93.8;91.2;105.5;2.5;0.8;-1.3;;;;;;;;
197;C-E: Industry (excl. construction);2006 September;101.8;102.4;104.5;-2.1;0.1;-0.9;;;;;;;;
198;C-E: Industry (excl. construction);2006 3rd quarter;96.1;96.6;105.6;-0.1;0.7;-1.2;;;;;;;;
199;C-E: Industry (excl. construction);2006 October;108.6;109.9;104.3;3.0;1.1;-0.2;;;;;;;;
200;C-E: Industry (excl. construction);2006 November;117.0;114.8;105.2;0.8;0.1;0.9;;;;;;;;
201;C-E: Industry (excl. construction);2006 December;111.4;114.1;107.4;-2.6;0.8;2.1;;;;;;;;
202;C-E: Industry (excl. construction);2006 4th quarter;112.3;112.9;105.6;0.3;0.6;0.0;;;;;;;;
203;C-E: Industry (excl. construction);2006;106.5;106.5;106.5;1.4;1.4;1.4;;;;;;;;
204;C-E: Industry (excl. construction);2007 January;108.6;107.1;102.9;-2.5;-4.2;-4.2;;;;;;;;
205;C-E: Industry (excl. construction);2007 February;107.1;107.5;105.0;-2.5;-2.7;2.0;;;;;;;;
206;C-E: Industry (excl. construction);2007 March;114.0;113.1;103.9;-6.4;-4.2;-1.0;;;;;;;;
207;C-E: Industry (excl. construction);2007 1st quarter;109.9;109.2;103.9;-3.9;-3.7;-1.6;;;;;;;;
208;C-E: Industry (excl. construction);2007 April;99.8;101.3;104.6;-1.3;-2.2;0.7;;;;;;;;
209;C-E: Industry (excl. construction);2007 May;103.4;101.3;106.6;0.3;0.4;1.8;;;;;;;;
210;C-E: Industry (excl. construction);2007 June;106.7;106.6;109.4;0.7;1.9;2.6;;;;;;;;
211;C-E: Industry (excl. construction);2007 2nd quarter;103.3;103.1;106.8;-0.1;0.0;2.8;;;;;;;;
212;C-E: Industry (excl. construction);2007 July;97.0;98.9;109.9;4.7;2.7;0.5;;;;;;;;
213;C-E: Industry (excl. construction);2007 August;98.2;94.5;109.4;4.6;3.6;-0.5;;;;;;;;
214;C-E: Industry (excl. construction);2007 September;107.1;110.1;112.4;5.1;7.4;2.8;;;;;;;;
215;C-E: Industry (excl. construction);2007 3rd quarter;100.7;101.1;110.5;4.8;4.7;3.5;;;;;;;;
216;C-E: Industry (excl. construction);2007 October;120.6;118.6;112.7;11.1;8.0;0.3;;;;;;;;
217;C-E: Industry (excl. construction);2007 November;126.6;124.0;113.6;8.2;8.0;0.8;;;;;;;;
218;C-E: Industry (excl. construction);2007 December;118.9;124.7;117.3;6.7;9.4;3.3;;;;;;;;
219;C-E: Industry (excl. construction);2007 4th quarter;122.0;122.5;114.5;8.6;8.5;3.6;;;;;;;;
220;C-E: Industry (excl. construction);2007;109.0;109.0;109.0;2.3;2.3;2.3;;;;;;;;
221;C-E: Industry (excl. construction);2008 January;114.9;113.1;109.1;5.8;5.7;-7.0;;;;;;;;
222;C-E: Industry (excl. construction);2008 February;115.0;111.7;108.9;7.4;3.9;-0.2;;;;;;;;
223;C-E: Industry (excl. construction);2008 March;117.9;122.7;112.7;3.4;8.5;3.5;;;;;;;;
224;C-E: Industry (excl. construction);2008 1st quarter;115.9;115.9;110.2;5.5;6.1;-3.8;;;;;;;;
225;C-E: Industry (excl. construction);2008 April;113.4;111.6;115.2;13.7;10.1;2.3;;;;;;;;
226;C-E: Industry (excl. construction);2008 May;103.5;104.0;109.4;0.1;2.7;-5.1;;;;;;;;
227;C-E: Industry (excl. construction);2008 June;107.9;109.1;111.4;1.1;2.4;1.9;;;;;;;;
228;C-E: Industry (excl. construction);2008 2nd quarter;108.3;108.2;112.0;4.8;5.0;1.7;;;;;;;;
229;C-E: Industry (excl. construction);2008 July;100.1;98.7;109.3;3.2;-0.1;-1.9;;;;;;;;
230;C-E: Industry (excl. construction);2008 August;93.7;95.8;110.8;-4.5;1.4;1.4;;;;;;;;
231;C-E: Industry (excl. construction);2008 September;111.7;111.5;113.3;4.4;1.3;2.3;;;;;;;;
232;C-E: Industry (excl. construction);2008 3rd quarter;101.8;102.0;111.1;1.1;0.8;-0.8;;;;;;;;
233;C-E: Industry (excl. construction);2008 October;120.1;117.2;111.2;-0.4;-1.2;-1.9;;;;;;;;
234;C-E: Industry (excl. construction);2008 November;113.6;117.5;107.7;-10.3;-5.3;-3.1;;;;;;;;
235;C-E: Industry (excl. construction);2008 December;111.5;110.4;104.3;-6.2;-11.5;-3.2;;;;;;;;
236;C-E: Industry (excl. construction);2008 4th quarter;115.1;115.0;107.7;-5.7;-6.1;-3.1;;;;;;;;
237;C-E: Industry (excl. construction);2008;110.3;110.3;110.3;1.2;1.2;1.2;;;;;;;;
238;C: Mining and quarrying;1995 January;174.7;174.8;116.3;;;;;;120.7;141.3;96.0;;;
239;C: Mining and quarrying;1995 February;126.5;126.3;94.5;;;-18.8;;;89.7;107.5;68.6;;;
240;C: Mining and quarrying;1995 March;145.2;143.0;116.3;;;23.1;;;92.4;117.6;62.3;;;
241;C: Mining and quarrying;1995 1st quarter;148.8;148.0;109.0;;;;;;100.9;122.1;75.6;;;
242;C: Mining and quarrying;1995 April;98.5;100.6;106.5;;;-8.4;;;70.9;85.4;53.6;;;
243;C: Mining and quarrying;1995 May;78.3;77.1;106.9;;;0.4;;;55.8;63.1;47.1;;;
244;C: Mining and quarrying;1995 June;74.2;73.5;117.8;;;10.3;;;52.1;58.5;44.6;;;
245;C: Mining and quarrying;1995 2nd quarter;83.7;83.7;110.4;;;1.2;;;59.6;69.0;48.4;;;
246;C: Mining and quarrying;1995 July;53.8;54.7;98.7;;;-16.2;;;39.4;44.7;33.1;;;
247;C: Mining and quarrying;1995 August;56.7;55.8;101.6;;;2.9;;;41.4;47.7;33.9;;;
248;C: Mining and quarrying;1995 September;76.6;77.0;111.7;;;9.9;;;56.1;59.6;51.9;;;
249;C: Mining and quarrying;1995 3rd quarter;62.4;62.5;104.0;;;-5.8;;;45.6;50.7;39.6;;;
