ID;EmployedPersons;SectorBranches;Periods;AllGrowers_1;NormalGrowers_2;FastGrowers_3;BusinessesWithAStableTurnover_4;AllDecliners_5;NormalDecliners_6;FastDecliners_7
35;Total 1 or more employed persons;B-E Industry (no construction), energy;2019 1st quarter;53.0;21.0;32.0;2.0;45.0;21.0;24.0
36;Total 1 or more employed persons;B-E Industry (no construction), energy;2019 2nd quarter;54.0;22.0;32.0;2.0;45.0;21.0;24.0
37;Total 1 or more employed persons;B-E Industry (no construction), energy;2019 3rd quarter;53.0;21.0;33.0;2.0;45.0;20.0;25.0
38;Total 1 or more employed persons;B-E Industry (no construction), energy;2019 4th quarter;50.0;20.0;30.0;2.0;48.0;22.0;26.0
39;Total 1 or more employed persons;B-E Industry (no construction), energy;2019;54.0;27.0;27.0;2.0;44.0;25.0;19.0
40;Total 1 or more employed persons;B-E Industry (no construction), energy;2020 1st quarter;52.0;22.0;30.0;2.0;46.0;21.0;25.0
41;Total 1 or more employed persons;B-E Industry (no construction), energy;2020 2nd quarter;39.0;15.0;24.0;1.0;59.0;22.0;38.0
42;Total 1 or more employed persons;B-E Industry (no construction), energy;2020 3rd quarter;49.0;19.0;30.0;1.0;49.0;21.0;28.0
43;Total 1 or more employed persons;B-E Industry (no construction), energy;2020 4th quarter;51.0;21.0;31.0;2.0;47.0;21.0;26.0
44;Total 1 or more employed persons;B-E Industry (no construction), energy;2020;48.0;23.0;25.0;2.0;50.0;26.0;25.0
45;Total 1 or more employed persons;B-E Industry (no construction), energy;2021 1st quarter;51.0;20.0;31.0;2.0;48.0;19.0;29.0
46;Total 1 or more employed persons;B-E Industry (no construction), energy;2021 2nd quarter;67.0;20.0;47.0;1.0;31.0;14.0;17.0
47;Total 1 or more employed persons;B-E Industry (no construction), energy;2021 3rd quarter;60.0;22.0;38.0;1.0;38.0;17.0;21.0
48;Total 1 or more employed persons;B-E Industry (no construction), energy;2021 4th quarter;63.0;23.0;40.0;2.0;35.0;16.0;19.0
49;Total 1 or more employed persons;B-E Industry (no construction), energy;2021;65.0;29.0;36.0;2.0;33.0;18.0;16.0
50;Total 1 or more employed persons;B-E Industry (no construction), energy;2022 1st quarter;62.0;22.0;41.0;1.0;36.0;16.0;20.0
51;Total 1 or more employed persons;B-E Industry (no construction), energy;2022 2nd quarter;60.0;22.0;39.0;1.0;38.0;18.0;20.0
52;Total 1 or more employed persons;B-E Industry (no construction), energy;2022 3rd quarter;58.0;22.0;36.0;2.0;41.0;18.0;22.0
53;Total 1 or more employed persons;B-E Industry (no construction), energy;2022 4th quarter;57.0;23.0;35.0;1.0;41.0;19.0;22.0
54;Total 1 or more employed persons;B-E Industry (no construction), energy;2022;63.0;29.0;34.0;2.0;35.0;19.0;16.0
55;Total 1 or more employed persons;B-E Industry (no construction), energy;2023 1st quarter;59.0;23.0;36.0;1.0;40.0;17.0;22.0
56;Total 1 or more employed persons;B-E Industry (no construction), energy;2023 2nd quarter;53.0;22.0;32.0;2.0;45.0;21.0;24.0
57;Total 1 or more employed persons;B-E Industry (no construction), energy;2023 3rd quarter;53.0;21.0;32.0;1.0;45.0;20.0;25.0
58;Total 1 or more employed persons;B-E Industry (no construction), energy;2023 4th quarter;51.0;22.0;29.0;2.0;47.0;21.0;26.0
59;Total 1 or more employed persons;B-E Industry (no construction), energy;2023;56.0;28.0;28.0;2.0;42.0;23.0;19.0
60;Total 1 or more employed persons;B-E Industry (no construction), energy;2024 1st quarter;51.0;24.0;28.0;2.0;46.0;23.0;23.0
61;Total 1 or more employed persons;B-E Industry (no construction), energy;2024 2nd quarter;53.0;22.0;30.0;2.0;45.0;21.0;24.0
62;Total 1 or more employed persons;B-E Industry (no construction), energy;2024 3rd quarter;53.0;22.0;31.0;2.0;45.0;20.0;24.0
63;Total 1 or more employed persons;B-E Industry (no construction), energy;2024 4th quarter;53.0;23.0;30.0;2.0;45.0;21.0;24.0
64;Total 1 or more employed persons;B-E Industry (no construction), energy;2024;;;;;;;
65;Total 1 or more employed persons;B Mining and quarrying ;2012 1st quarter;48.0;20.0;28.0;2.0;50.0;18.0;33.0
66;Total 1 or more employed persons;B Mining and quarrying ;2012 2nd quarter;51.0;16.0;35.0;1.0;48.0;20.0;27.0
67;Total 1 or more employed persons;B Mining and quarrying ;2012 3rd quarter;57.0;16.0;41.0;1.0;42.0;18.0;25.0
68;Total 1 or more employed persons;B Mining and quarrying ;2012 4th quarter;52.0;18.0;34.0;1.0;48.0;18.0;29.0
69;Total 1 or more employed persons;B Mining and quarrying ;2012;49.0;20.0;28.0;1.0;51.0;31.0;20.0
70;Total 1 or more employed persons;B Mining and quarrying ;2013 1st quarter;47.0;20.0;27.0;0.0;53.0;24.0;29.0
71;Total 1 or more employed persons;B Mining and quarrying ;2013 2nd quarter;47.0;21.0;26.0;1.0;52.0;23.0;29.0
72;Total 1 or more employed persons;B Mining and quarrying ;2013 3rd quarter;51.0;20.0;31.0;2.0;47.0;17.0;30.0
73;Total 1 or more employed persons;B Mining and quarrying ;2013 4th quarter;48.0;18.0;30.0;2.0;51.0;22.0;28.0
74;Total 1 or more employed persons;B Mining and quarrying ;2013;53.0;28.0;25.0;1.0;47.0;24.0;23.0
75;Total 1 or more employed persons;B Mining and quarrying ;2014 1st quarter;60.0;18.0;41.0;1.0;40.0;20.0;20.0
76;Total 1 or more employed persons;B Mining and quarrying ;2014 2nd quarter;51.0;16.0;35.0;2.0;47.0;24.0;23.0
77;Total 1 or more employed persons;B Mining and quarrying ;2014 3rd quarter;48.0;16.0;32.0;1.0;51.0;25.0;26.0
78;Total 1 or more employed persons;B Mining and quarrying ;2014 4th quarter;58.0;27.0;31.0;1.0;41.0;17.0;24.0
79;Total 1 or more employed persons;B Mining and quarrying ;2014;61.0;30.0;31.0;2.0;37.0;17.0;19.0
80;Total 1 or more employed persons;B Mining and quarrying ;2015 1st quarter;38.0;17.0;21.0;2.0;60.0;27.0;34.0
81;Total 1 or more employed persons;B Mining and quarrying ;2015 2nd quarter;39.0;13.0;26.0;1.0;60.0;25.0;35.0
82;Total 1 or more employed persons;B Mining and quarrying ;2015 3rd quarter;46.0;19.0;26.0;1.0;53.0;22.0;31.0
83;Total 1 or more employed persons;B Mining and quarrying ;2015 4th quarter;38.0;12.0;26.0;3.0;59.0;21.0;37.0
84;Total 1 or more employed persons;B Mining and quarrying ;2015;40.0;17.0;23.0;2.0;57.0;24.0;34.0
85;Total 1 or more employed persons;B Mining and quarrying ;2016 1st quarter;49.0;25.0;24.0;0.0;51.0;16.0;35.0
86;Total 1 or more employed persons;B Mining and quarrying ;2016 2nd quarter;43.0;17.0;27.0;2.0;55.0;20.0;35.0
87;Total 1 or more employed persons;B Mining and quarrying ;2016 3rd quarter;44.0;18.0;27.0;2.0;54.0;19.0;34.0
88;Total 1 or more employed persons;B Mining and quarrying ;2016 4th quarter;41.0;12.0;30.0;2.0;57.0;21.0;35.0
89;Total 1 or more employed persons;B Mining and quarrying ;2016;41.0;20.0;22.0;2.0;57.0;22.0;35.0
90;Total 1 or more employed persons;B Mining and quarrying ;2017 1st quarter;44.0;18.0;26.0;4.0;52.0;18.0;34.0
91;Total 1 or more employed persons;B Mining and quarrying ;2017 2nd quarter;43.0;16.0;28.0;3.0;54.0;25.0;29.0
92;Total 1 or more employed persons;B Mining and quarrying ;2017 3rd quarter;45.0;15.0;30.0;3.0;52.0;22.0;30.0
93;Total 1 or more employed persons;B Mining and quarrying ;2017 4th quarter;52.0;20.0;31.0;4.0;45.0;21.0;24.0
94;Total 1 or more employed persons;B Mining and quarrying ;2017;53.0;31.0;21.0;3.0;44.0;20.0;24.0
95;Total 1 or more employed persons;B Mining and quarrying ;2018 1st quarter;51.0;18.0;32.0;4.0;46.0;21.0;25.0
96;Total 1 or more employed persons;B Mining and quarrying ;2018 2nd quarter;59.0;23.0;36.0;2.0;40.0;16.0;23.0
97;Total 1 or more employed persons;B Mining and quarrying ;2018 3rd quarter;53.0;18.0;35.0;1.0;46.0;16.0;30.0
98;Total 1 or more employed persons;B Mining and quarrying ;2018 4th quarter;56.0;17.0;39.0;2.0;42.0;14.0;27.0
99;Total 1 or more employed persons;B Mining and quarrying ;2018;61.0;27.0;34.0;2.0;37.0;15.0;22.0
100;Total 1 or more employed persons;B Mining and quarrying ;2019 1st quarter;52.0;18.0;34.0;2.0;46.0;17.0;29.0
101;Total 1 or more employed persons;B Mining and quarrying ;2019 2nd quarter;51.0;19.0;32.0;3.0;46.0;19.0;27.0
102;Total 1 or more employed persons;B Mining and quarrying ;2019 3rd quarter;54.0;21.0;33.0;2.0;45.0;15.0;30.0
103;Total 1 or more employed persons;B Mining and quarrying ;2019 4th quarter;44.0;19.0;25.0;1.0;56.0;24.0;31.0
104;Total 1 or more employed persons;B Mining and quarrying ;2019;49.0;21.0;28.0;0.0;50.0;21.0;29.0
105;Total 1 or more employed persons;B Mining and quarrying ;2020 1st quarter;44.0;18.0;26.0;1.0;55.0;26.0;29.0
106;Total 1 or more employed persons;B Mining and quarrying ;2020 2nd quarter;40.0;15.0;24.0;3.0;58.0;22.0;35.0
107;Total 1 or more employed persons;B Mining and quarrying ;2020 3rd quarter;42.0;18.0;24.0;1.0;57.0;19.0;38.0
108;Total 1 or more employed persons;B Mining and quarrying ;2020 4th quarter;53.0;25.0;28.0;1.0;46.0;15.0;30.0
109;Total 1 or more employed persons;B Mining and quarrying ;2020;46.0;17.0;30.0;3.0;51.0;20.0;31.0
110;Total 1 or more employed persons;B Mining and quarrying ;2021 1st quarter;53.0;21.0;32.0;3.0;44.0;11.0;33.0
111;Total 1 or more employed persons;B Mining and quarrying ;2021 2nd quarter;64.0;19.0;46.0;1.0;35.0;17.0;19.0
112;Total 1 or more employed persons;B Mining and quarrying ;2021 3rd quarter;55.0;20.0;36.0;0.0;44.0;18.0;26.0
113;Total 1 or more employed persons;B Mining and quarrying ;2021 4th quarter;65.0;21.0;44.0;0.0;35.0;17.0;18.0
114;Total 1 or more employed persons;B Mining and quarrying ;2021;64.0;23.0;41.0;1.0;35.0;18.0;18.0
115;Total 1 or more employed persons;B Mining and quarrying ;2022 1st quarter;70.0;19.0;52.0;1.0;29.0;12.0;16.0
116;Total 1 or more employed persons;B Mining and quarrying ;2022 2nd quarter;66.0;22.0;44.0;0.0;34.0;17.0;18.0
117;Total 1 or more employed persons;B Mining and quarrying ;2022 3rd quarter;59.0;19.0;41.0;2.0;39.0;15.0;24.0
118;Total 1 or more employed persons;B Mining and quarrying ;2022 4th quarter;65.0;23.0;42.0;1.0;34.0;14.0;20.0
119;Total 1 or more employed persons;B Mining and quarrying ;2022;72.0;25.0;47.0;1.0;27.0;15.0;12.0
120;Total 1 or more employed persons;B Mining and quarrying ;2023 1st quarter;58.0;21.0;36.0;0.0;42.0;14.0;28.0
121;Total 1 or more employed persons;B Mining and quarrying ;2023 2nd quarter;47.0;19.0;27.0;1.0;52.0;19.0;33.0
122;Total 1 or more employed persons;B Mining and quarrying ;2023 3rd quarter;52.0;17.0;35.0;0.0;48.0;19.0;28.0
123;Total 1 or more employed persons;B Mining and quarrying ;2023 4th quarter;50.0;18.0;32.0;1.0;49.0;23.0;26.0
124;Total 1 or more employed persons;B Mining and quarrying ;2023;53.0;23.0;30.0;2.0;46.0;23.0;23.0
125;Total 1 or more employed persons;B Mining and quarrying ;2024 1st quarter;47.0;17.0;29.0;1.0;52.0;25.0;28.0
126;Total 1 or more employed persons;B Mining and quarrying ;2024 2nd quarter;60.0;24.0;35.0;2.0;38.0;17.0;22.0
127;Total 1 or more employed persons;B Mining and quarrying ;2024 3rd quarter;56.0;20.0;35.0;1.0;43.0;14.0;29.0
128;Total 1 or more employed persons;B Mining and quarrying ;2024 4th quarter;51.0;20.0;31.0;1.0;48.0;23.0;25.0
129;Total 1 or more employed persons;B Mining and quarrying ;2024;;;;;;;
130;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2012 1st quarter;54.0;23.0;31.0;0.0;46.0;23.0;23.0
131;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2012 2nd quarter;67.0;20.0;47.0;0.0;33.0;7.0;27.0
132;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2012 3rd quarter;56.0;25.0;31.0;6.0;38.0;25.0;12.0
133;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2012 4th quarter;53.0;40.0;13.0;0.0;47.0;13.0;33.0
134;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2012;56.0;38.0;19.0;0.0;44.0;31.0;12.0
135;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2013 1st quarter;79.0;50.0;29.0;0.0;21.0;14.0;7.0
136;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2013 2nd quarter;77.0;23.0;54.0;0.0;23.0;8.0;15.0
137;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2013 3rd quarter;60.0;33.0;27.0;7.0;33.0;13.0;20.0
138;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2013 4th quarter;65.0;24.0;41.0;0.0;35.0;24.0;12.0
139;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2013;72.0;33.0;39.0;6.0;22.0;11.0;11.0
140;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2014 1st quarter;44.0;12.0;31.0;0.0;56.0;25.0;31.0
141;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2014 2nd quarter;33.0;0.0;33.0;0.0;67.0;28.0;39.0
142;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2014 3rd quarter;39.0;0.0;39.0;0.0;61.0;17.0;44.0
143;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2014 4th quarter;33.0;6.0;28.0;0.0;67.0;44.0;22.0
144;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2014;56.0;22.0;33.0;0.0;44.0;17.0;28.0
145;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2015 1st quarter;12.0;0.0;12.0;0.0;88.0;41.0;47.0
146;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2015 2nd quarter;32.0;11.0;21.0;0.0;68.0;16.0;53.0
147;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2015 3rd quarter;47.0;16.0;32.0;0.0;53.0;16.0;37.0
148;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2015 4th quarter;12.0;0.0;12.0;0.0;88.0;25.0;62.0
149;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2015;20.0;15.0;5.0;0.0;80.0;15.0;65.0
150;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2016 1st quarter;18.0;6.0;12.0;0.0;82.0;29.0;53.0
151;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2016 2nd quarter;11.0;6.0;6.0;0.0;89.0;28.0;61.0
152;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2016 3rd quarter;29.0;6.0;24.0;0.0;71.0;12.0;59.0
153;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2016 4th quarter;36.0;0.0;36.0;0.0;64.0;29.0;36.0
154;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2016;20.0;10.0;10.0;5.0;75.0;10.0;65.0
155;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2017 1st quarter;44.0;31.0;12.0;6.0;50.0;25.0;25.0
156;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2017 2nd quarter;40.0;15.0;25.0;0.0;60.0;40.0;20.0
157;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2017 3rd quarter;40.0;20.0;20.0;0.0;60.0;30.0;30.0
158;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2017 4th quarter;33.0;11.0;22.0;11.0;56.0;22.0;33.0
159;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2017;29.0;14.0;14.0;5.0;67.0;43.0;24.0
160;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2018 1st quarter;61.0;22.0;39.0;0.0;39.0;11.0;28.0
161;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2018 2nd quarter;65.0;12.0;53.0;0.0;35.0;18.0;18.0
162;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2018 3rd quarter;65.0;6.0;59.0;0.0;35.0;18.0;18.0
163;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2018 4th quarter;42.0;0.0;42.0;5.0;53.0;21.0;32.0
164;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2018;67.0;24.0;43.0;5.0;29.0;5.0;24.0
165;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2019 1st quarter;44.0;38.0;6.0;0.0;56.0;31.0;25.0
166;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2019 2nd quarter;38.0;6.0;31.0;0.0;62.0;19.0;44.0
167;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2019 3rd quarter;29.0;0.0;29.0;6.0;65.0;0.0;65.0
168;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2019 4th quarter;33.0;6.0;28.0;0.0;67.0;11.0;56.0
169;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2019;33.0;6.0;28.0;0.0;67.0;17.0;50.0
170;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2020 1st quarter;40.0;5.0;35.0;0.0;60.0;10.0;50.0
171;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2020 2nd quarter;29.0;6.0;24.0;0.0;71.0;6.0;65.0
172;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2020 3rd quarter;37.0;5.0;32.0;0.0;63.0;0.0;63.0
173;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2020 4th quarter;33.0;11.0;22.0;0.0;67.0;33.0;33.0
174;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2020;20.0;5.0;15.0;0.0;80.0;15.0;65.0
175;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2021 1st quarter;75.0;20.0;55.0;5.0;20.0;0.0;20.0
176;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2021 2nd quarter;76.0;0.0;76.0;0.0;24.0;12.0;12.0
177;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2021 3rd quarter;79.0;16.0;63.0;0.0;21.0;5.0;16.0
178;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2021 4th quarter;89.0;0.0;89.0;0.0;11.0;6.0;6.0
179;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2021;68.0;0.0;68.0;9.0;23.0;14.0;9.0
180;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2022 1st quarter;81.0;0.0;81.0;6.0;12.0;0.0;12.0
181;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2022 2nd quarter;87.0;7.0;80.0;0.0;13.0;13.0;0.0
182;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2022 3rd quarter;81.0;0.0;81.0;6.0;12.0;0.0;12.0
183;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2022 4th quarter;62.0;25.0;38.0;6.0;31.0;6.0;25.0
184;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2022;83.0;6.0;78.0;0.0;17.0;6.0;11.0
185;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2023 1st quarter;40.0;13.0;27.0;0.0;60.0;7.0;53.0
186;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2023 2nd quarter;7.0;0.0;7.0;0.0;93.0;13.0;80.0
187;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2023 3rd quarter;12.0;0.0;12.0;0.0;88.0;6.0;81.0
188;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2023 4th quarter;33.0;0.0;33.0;0.0;67.0;7.0;60.0
189;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2023;18.0;6.0;12.0;0.0;82.0;12.0;71.0
190;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2024 1st quarter;28.0;0.0;28.0;11.0;61.0;0.0;61.0
191;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2024 2nd quarter;39.0;11.0;28.0;6.0;56.0;22.0;33.0
192;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2024 3rd quarter;50.0;11.0;39.0;6.0;44.0;17.0;28.0
193;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2024 4th quarter;25.0;0.0;25.0;6.0;69.0;25.0;44.0
194;Total 1 or more employed persons;06 Extraction of crude petroleum and gas;2024;;;;;;;
195;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2012 1st quarter;45.0;26.0;20.0;0.0;55.0;17.0;37.0
196;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2012 2nd quarter;40.0;15.0;25.0;1.0;58.0;30.0;29.0
197;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2012 3rd quarter;46.0;14.0;32.0;0.0;54.0;27.0;27.0
198;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2012 4th quarter;46.0;17.0;29.0;0.0;54.0;24.0;29.0
199;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2012;39.0;22.0;17.0;0.0;61.0;39.0;22.0
200;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2013 1st quarter;34.0;13.0;20.0;0.0;66.0;31.0;35.0
201;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2013 2nd quarter;40.0;22.0;17.0;2.0;58.0;31.0;27.0
202;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2013 3rd quarter;41.0;20.0;21.0;2.0;57.0;22.0;35.0
203;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2013 4th quarter;44.0;23.0;21.0;4.0;53.0;33.0;19.0
204;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2013;38.0;27.0;11.0;0.0;62.0;35.0;27.0
205;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2014 1st quarter;66.0;24.0;42.0;0.0;34.0;18.0;16.0
206;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2014 2nd quarter;42.0;16.0;26.0;1.0;57.0;38.0;18.0
207;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2014 3rd quarter;50.0;21.0;29.0;0.0;50.0;33.0;17.0
208;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2014 4th quarter;67.0;42.0;24.0;1.0;32.0;15.0;17.0
209;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2014;63.0;37.0;26.0;2.0;35.0;20.0;15.0
210;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2015 1st quarter;40.0;21.0;19.0;1.0;59.0;36.0;22.0
211;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2015 2nd quarter;38.0;19.0;19.0;1.0;61.0;35.0;26.0
212;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2015 3rd quarter;46.0;26.0;20.0;2.0;51.0;29.0;23.0
213;Total 1 or more employed persons;08 Mining and quarrying (no oil and gas);2015 4th quarter;40.0;20.0;21.0;2.0;57.0;32.0;26.0
