ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged1564_1;LabourForce_2;EmployedLabourForce_3;ProfessionalPrestige_4;SocioEconomicStatus_5;I_6;II_7;III_8;IV_9;V_10;VI_11;VII_12;UnemployedLabourForce_13;PeopleNotIncludedInTheLabourForce_14;GrossLabourParticipation_15;NetLabourParticipation_16;RegisteredUnemployed_17;EmploymentRate_18
1147;Total sex;Background: Netherlands;1872;;;;;;;;;;;;;;;;;;
1148;Total sex;Background: Netherlands;1873;;;;;;;;;;;;;;;;;;
1149;Total sex;Background: Netherlands;1874;;;;;;;;;;;;;;;;;;
1150;Total sex;Background: Netherlands;1875;;;;;;;;;;;;;;;;;;
1151;Total sex;Background: Netherlands;1876;;;;;;;;;;;;;;;;;;
1152;Total sex;Background: Netherlands;1877;;;;;;;;;;;;;;;;;;
1153;Total sex;Background: Netherlands;1878;;;;;;;;;;;;;;;;;;
1154;Total sex;Background: Netherlands;1879;;;;;;;;;;;;;;;;;;
1155;Total sex;Background: Netherlands;1880;;;;;;;;;;;;;;;;;;
1156;Total sex;Background: Netherlands;1881;;;;;;;;;;;;;;;;;;
1157;Total sex;Background: Netherlands;1882;;;;;;;;;;;;;;;;;;
1158;Total sex;Background: Netherlands;1883;;;;;;;;;;;;;;;;;;
1159;Total sex;Background: Netherlands;1884;;;;;;;;;;;;;;;;;;
1160;Total sex;Background: Netherlands;1885;;;;;;;;;;;;;;;;;;
1161;Total sex;Background: Netherlands;1886;;;;;;;;;;;;;;;;;;
1162;Total sex;Background: Netherlands;1887;;;;;;;;;;;;;;;;;;
1163;Total sex;Background: Netherlands;1888;;;;;;;;;;;;;;;;;;
1164;Total sex;Background: Netherlands;1889;;;;;;;;;;;;;;;;;;
1165;Total sex;Background: Netherlands;1890;;;;;;;;;;;;;;;;;;
1166;Total sex;Background: Netherlands;1891;;;;;;;;;;;;;;;;;;
1167;Total sex;Background: Netherlands;1892;;;;;;;;;;;;;;;;;;
1168;Total sex;Background: Netherlands;1893;;;;;;;;;;;;;;;;;;
1169;Total sex;Background: Netherlands;1894;;;;;;;;;;;;;;;;;;
1170;Total sex;Background: Netherlands;1895;;;;;;;;;;;;;;;;;;
1171;Total sex;Background: Netherlands;1896;;;;;;;;;;;;;;;;;;
1172;Total sex;Background: Netherlands;1897;;;;;;;;;;;;;;;;;;
1173;Total sex;Background: Netherlands;1898;;;;;;;;;;;;;;;;;;
1174;Total sex;Background: Netherlands;1899;;;;;;;;;;;;;;;;;;
1175;Total sex;Background: Netherlands;1900;;;;;;;;;;;;;;;;;;
1176;Total sex;Background: Netherlands;1901;;;;;;;;;;;;;;;;;;
1177;Total sex;Background: Netherlands;1902;;;;;;;;;;;;;;;;;;
1178;Total sex;Background: Netherlands;1903;;;;;;;;;;;;;;;;;;
1179;Total sex;Background: Netherlands;1904;;;;;;;;;;;;;;;;;;
1180;Total sex;Background: Netherlands;1905;;;;;;;;;;;;;;;;;;
1181;Total sex;Background: Netherlands;1906;;;;;;;;;;;;;;;;;;
1182;Total sex;Background: Netherlands;1907;;;;;;;;;;;;;;;;;;
1183;Total sex;Background: Netherlands;1908;;;;;;;;;;;;;;;;;;
1184;Total sex;Background: Netherlands;1909;;;;;;;;;;;;;;;;;;
1185;Total sex;Background: Netherlands;1910;;;;;;;;;;;;;;;;;;
1186;Total sex;Background: Netherlands;1911;;;;;;;;;;;;;;;;;;
1187;Total sex;Background: Netherlands;1912;;;;;;;;;;;;;;;;;;
1188;Total sex;Background: Netherlands;1913;;;;;;;;;;;;;;;;;;
1189;Total sex;Background: Netherlands;1914;;;;;;;;;;;;;;;;;;
1190;Total sex;Background: Netherlands;1915;;;;;;;;;;;;;;;;;;
1191;Total sex;Background: Netherlands;1916;;;;;;;;;;;;;;;;;;
1192;Total sex;Background: Netherlands;1917;;;;;;;;;;;;;;;;;;
1193;Total sex;Background: Netherlands;1918;;;;;;;;;;;;;;;;;;
1194;Total sex;Background: Netherlands;1919;;;;;;;;;;;;;;;;;;
1195;Total sex;Background: Netherlands;1920;;;;;;;;;;;;;;;;;;
1196;Total sex;Background: Netherlands;1921;;;;;;;;;;;;;;;;;;
1197;Total sex;Background: Netherlands;1922;;;;;;;;;;;;;;;;;;
1198;Total sex;Background: Netherlands;1923;;;;;;;;;;;;;;;;;;
1199;Total sex;Background: Netherlands;1924;;;;;;;;;;;;;;;;;;
1200;Total sex;Background: Netherlands;1925;;;;;;;;;;;;;;;;;;
1201;Total sex;Background: Netherlands;1926;;;;;;;;;;;;;;;;;;
1202;Total sex;Background: Netherlands;1927;;;;;;;;;;;;;;;;;;
1203;Total sex;Background: Netherlands;1928;;;;;;;;;;;;;;;;;;
1204;Total sex;Background: Netherlands;1929;;;;;;;;;;;;;;;;;;
1205;Total sex;Background: Netherlands;1930;;;;;;;;;;;;;;;;;;
1206;Total sex;Background: Netherlands;1931;;;;;;;;;;;;;;;;;;
1207;Total sex;Background: Netherlands;1932;;;;;;;;;;;;;;;;;;
1208;Total sex;Background: Netherlands;1933;;;;;;;;;;;;;;;;;;
1209;Total sex;Background: Netherlands;1934;;;;;;;;;;;;;;;;;;
1210;Total sex;Background: Netherlands;1935;;;;;;;;;;;;;;;;;;
1211;Total sex;Background: Netherlands;1936;;;;;;;;;;;;;;;;;;
1212;Total sex;Background: Netherlands;1937;;;;;;;;;;;;;;;;;;
1213;Total sex;Background: Netherlands;1938;;;;;;;;;;;;;;;;;;
1214;Total sex;Background: Netherlands;1939;;;;;;;;;;;;;;;;;;
1215;Total sex;Background: Netherlands;1940;;;;;;;;;;;;;;;;;;
1216;Total sex;Background: Netherlands;1941;;;;;;;;;;;;;;;;;;
1217;Total sex;Background: Netherlands;1942;;;;;;;;;;;;;;;;;;
1218;Total sex;Background: Netherlands;1943;;;;;;;;;;;;;;;;;;
1219;Total sex;Background: Netherlands;1944;;;;;;;;;;;;;;;;;;
1220;Total sex;Background: Netherlands;1945;;;;;;;;;;;;;;;;;;
1221;Total sex;Background: Netherlands;1946;;;;;;;;;;;;;;;;;;
1222;Total sex;Background: Netherlands;1947;;;;;;;;;;;;;;;;;;
1223;Total sex;Background: Netherlands;1948;;;;;;;;;;;;;;;;;;
1224;Total sex;Background: Netherlands;1949;;;;;;;;;;;;;;;;;;
1225;Total sex;Background: Netherlands;1950;;;;;;;;;;;;;;;;;;
1226;Total sex;Background: Netherlands;1951;;;;;;;;;;;;;;;;;;
1227;Total sex;Background: Netherlands;1952;;;;;;;;;;;;;;;;;;
1228;Total sex;Background: Netherlands;1953;;;;;;;;;;;;;;;;;;
1229;Total sex;Background: Netherlands;1954;;;;;;;;;;;;;;;;;;
1230;Total sex;Background: Netherlands;1955;;;;;;;;;;;;;;;;;;
1231;Total sex;Background: Netherlands;1956;;;;;;;;;;;;;;;;;;
1232;Total sex;Background: Netherlands;1957;;;;;;;;;;;;;;;;;;
1233;Total sex;Background: Netherlands;1958;;;;;;;;;;;;;;;;;;
1234;Total sex;Background: Netherlands;1959;;;;;;;;;;;;;;;;;;
1235;Total sex;Background: Netherlands;1960;;;;;;;;;;;;;;;;;;
1236;Total sex;Background: Netherlands;1961;;;;;;;;;;;;;;;;;;
1237;Total sex;Background: Netherlands;1962;;;;;;;;;;;;;;;;;;
1238;Total sex;Background: Netherlands;1963;;;;;;;;;;;;;;;;;;
1239;Total sex;Background: Netherlands;1964;;;;;;;;;;;;;;;;;;
1240;Total sex;Background: Netherlands;1965;;;;;;;;;;;;;;;;;;
1241;Total sex;Background: Netherlands;1966;;;;;;;;;;;;;;;;;;
1242;Total sex;Background: Netherlands;1967;;;;;;;;;;;;;;;;;;
1243;Total sex;Background: Netherlands;1968;;;;;;;;;;;;;;;;;;
1244;Total sex;Background: Netherlands;1969;;;;;;;;;;;;;;;;;;
1245;Total sex;Background: Netherlands;1970;;;;;;;;;;;;;;;;;;
1246;Total sex;Background: Netherlands;1971;;;;;;;;;;;;;;;;;;
1247;Total sex;Background: Netherlands;1972;;;;;;;;;;;;;;;;;;
1248;Total sex;Background: Netherlands;1973;;;;;;;;;;;;;;;;;;
1249;Total sex;Background: Netherlands;1974;;;;;;;;;;;;;;;;;;
1250;Total sex;Background: Netherlands;1975;;;;;;;;;;;;;;;;;;
1251;Total sex;Background: Netherlands;1976;;;;;;;;;;;;;;;;;;
1252;Total sex;Background: Netherlands;1977;;;;;;;;;;;;;;;;;;
1253;Total sex;Background: Netherlands;1978;;;;;;;;;;;;;;;;;;
1254;Total sex;Background: Netherlands;1979;;;;;;;;;;;;;;;;;;
1255;Total sex;Background: Netherlands;1980;;;;;;;;;;;;;;;;;;
1256;Total sex;Background: Netherlands;1981;8294.0;4777.0;4521.0;;;;;;;;;;257.0;3516.0;57.6;54.5;;5.4
1257;Total sex;Background: Netherlands;1982;8376.0;4779.0;4401.0;;;;;;;;;;378.0;3597.0;57.1;52.5;;7.9
1258;Total sex;Background: Netherlands;1983;8454.0;4837.0;4362.0;;;;;;;;;;475.0;3618.0;57.2;51.6;;9.8
1259;Total sex;Background: Netherlands;1984;8544.0;4834.0;4377.0;;;;;;;;;;458.0;3709.0;56.6;51.2;;9.5
1260;Total sex;Background: Netherlands;1985;8642.0;4879.0;4464.0;;;;;;;;;;416.0;3763.0;56.5;51.7;;8.5
1261;Total sex;Background: Netherlands;1986;8708.0;5017.0;4634.0;;;;;;;;;;383.0;3691.0;57.6;53.2;;7.6
1262;Total sex;Background: Netherlands;1987;8796.0;5082.0;4698.0;;;;;;;;;;384.0;3714.0;57.8;53.4;;7.5
1263;Total sex;Background: Netherlands;1988;8831.0;5159.0;4779.0;;;;;;;;;;380.0;3672.0;58.4;54.1;;7.4
1264;Total sex;Background: Netherlands;1989;8864.0;5209.0;4865.0;;;;;;;;;;344.0;3655.0;58.8;54.9;;6.6
1265;Total sex;Background: Netherlands;1990;8890.0;5324.0;5011.0;;;;;;;;;;313.0;3565.0;59.9;56.4;;5.9
1266;Total sex;Background: Netherlands;1991;8899.0;5419.0;5126.0;;;;;;;;;;294.0;3480.0;60.9;57.6;;5.4
1267;Total sex;Background: Netherlands;1992;8907.0;5503.0;5193.0;;;;;;;;;;309.0;3404.0;61.8;58.3;;5.6
1268;Total sex;Background: Netherlands;1993;8919.0;5554.0;5201.0;;;;;;;;;;353.0;3365.0;62.3;58.3;;6.4
1269;Total sex;Background: Netherlands;1994;8921.0;5585.0;5185.0;;;;;;;;;;400.0;3336.0;62.6;58.1;;7.2
1270;Total sex;Background: Netherlands;1995;8920.0;5674.0;5287.0;;;;;;;;;;388.0;3246.0;63.6;59.3;;6.8
1271;Total sex;Background: Netherlands;1996;8906.0;5719.0;5360.0;;;;;;;;;;359.0;3186.0;64.2;60.2;310.0;6.3
1272;Total sex;Background: Netherlands;1997;8917.0;5834.0;5522.0;;;;;;;;;;312.0;3083.0;65.4;61.9;258.0;5.3
1273;Total sex;Background: Netherlands;1998;8913.0;5914.0;5665.0;;;;;;;;;;249.0;3000.0;66.3;63.6;194.0;4.2
1274;Total sex;Background: Netherlands;1999;8885.0;5998.0;5791.0;;;;;;;;;;208.0;2886.0;67.5;65.2;144.0;3.5
1275;Total sex;Background: Netherlands;2000;8791.0;6024.0;5843.0;;;;;;;;;;181.0;2766.0;68.5;66.5;123.0;3.0
1276;Total sex;Background: Netherlands;2001 before revision;8794.0;6065.0;5892.0;;;;;;;;;;173.0;2730.0;69.0;67.0;67.0;2.9
1277;Total sex;Background: Netherlands;2001 after revision;8762.0;5940.0;5768.0;;;;;;;;;;172.0;2822.0;67.8;65.8;99.0;2.9
1278;Total sex;Background: Netherlands;2002;8759.0;6019.0;5813.0;;;;;;;;;;206.0;2741.0;68.7;66.4;116.0;3.4
1279;Total sex;Background: Netherlands;2003;8773.0;6058.0;5793.0;;;;;;;;;;265.0;2715.0;69.0;66.0;174.0;4.4
1280;Total sex;Background: Netherlands;2004;8760.0;6068.0;5751.0;;;;;;;;;;317.0;2692.0;69.3;65.6;222.0;5.2
1281;Total sex;Background: Netherlands;2005;8753.0;6074.0;5759.0;;;;;;;;;;315.0;2679.0;69.4;65.8;211.0;5.2
1282;Total sex;Background: Netherlands;2006;8745.0;6128.0;5862.0;;;;;;;;;;266.0;2617.0;70.1;67.0;175.0;4.3
1283;Total sex;Background: Netherlands;2007;8746.0;6235.0;6004.0;;;;;;;;;;231.0;2511.0;71.3;68.7;121.0;3.7
1284;Total sex;Background: Netherlands;2008;8733.0;6304.0;6109.0;;;;;;;;;;195.0;2429.0;72.2;70.0;96.0;3.1
1285;Total sex;Background: Netherlands;2009;8693.0;6319.0;6074.0;;;;;;;;;;246.0;2373.0;72.7;69.9;129.0;3.9
1286;Total sex;Background: Netherlands;2010;8701.0;6325.0;6042.0;;;;;;;;;;282.0;2376.0;72.7;69.4;147.0;4.5
1287;Total sex;Background: Netherlands;2011;8641.0;6274.0;6012.0;;;;;;;;;;262.0;2367.0;72.6;69.6;133.0;4.2
1288;Total sex;Background: Netherlands;2012;8595.0;6294.0;5979.0;;;;;;;;;;315.0;2301.0;73.2;69.6;159.0;5.0
1289;Total sex;Background: Netherlands;2013;8553.0;6326.0;5904.0;;;;;;;;;;422.0;2227.0;74.0;69.0;219.0;6.7
1290;Total sex;Background: with migration background;1800;;;;;;;;;;;;;;;;;;
1291;Total sex;Background: with migration background;1801;;;;;;;;;;;;;;;;;;
1292;Total sex;Background: with migration background;1802;;;;;;;;;;;;;;;;;;
1293;Total sex;Background: with migration background;1803;;;;;;;;;;;;;;;;;;
1294;Total sex;Background: with migration background;1804;;;;;;;;;;;;;;;;;;
1295;Total sex;Background: with migration background;1805;;;;;;;;;;;;;;;;;;
1296;Total sex;Background: with migration background;1806;;;;;;;;;;;;;;;;;;
1297;Total sex;Background: with migration background;1807;;;;;;;;;;;;;;;;;;
1298;Total sex;Background: with migration background;1808;;;;;;;;;;;;;;;;;;
1299;Total sex;Background: with migration background;1809;;;;;;;;;;;;;;;;;;
1300;Total sex;Background: with migration background;1810;;;;;;;;;;;;;;;;;;
1301;Total sex;Background: with migration background;1811;;;;;;;;;;;;;;;;;;
1302;Total sex;Background: with migration background;1812;;;;;;;;;;;;;;;;;;
1303;Total sex;Background: with migration background;1813;;;;;;;;;;;;;;;;;;
1304;Total sex;Background: with migration background;1814;;;;;;;;;;;;;;;;;;
1305;Total sex;Background: with migration background;1815;;;;;;;;;;;;;;;;;;
1306;Total sex;Background: with migration background;1816;;;;;;;;;;;;;;;;;;
1307;Total sex;Background: with migration background;1817;;;;;;;;;;;;;;;;;;
1308;Total sex;Background: with migration background;1818;;;;;;;;;;;;;;;;;;
1309;Total sex;Background: with migration background;1819;;;;;;;;;;;;;;;;;;
1310;Total sex;Background: with migration background;1820;;;;;;;;;;;;;;;;;;
1311;Total sex;Background: with migration background;1821;;;;;;;;;;;;;;;;;;
1312;Total sex;Background: with migration background;1822;;;;;;;;;;;;;;;;;;
1313;Total sex;Background: with migration background;1823;;;;;;;;;;;;;;;;;;
1314;Total sex;Background: with migration background;1824;;;;;;;;;;;;;;;;;;
1315;Total sex;Background: with migration background;1825;;;;;;;;;;;;;;;;;;
1316;Total sex;Background: with migration background;1826;;;;;;;;;;;;;;;;;;
1317;Total sex;Background: with migration background;1827;;;;;;;;;;;;;;;;;;
1318;Total sex;Background: with migration background;1828;;;;;;;;;;;;;;;;;;
1319;Total sex;Background: with migration background;1829;;;;;;;;;;;;;;;;;;
1320;Total sex;Background: with migration background;1830;;;;;;;;;;;;;;;;;;
1321;Total sex;Background: with migration background;1831;;;;;;;;;;;;;;;;;;
1322;Total sex;Background: with migration background;1832;;;;;;;;;;;;;;;;;;
1323;Total sex;Background: with migration background;1833;;;;;;;;;;;;;;;;;;
1324;Total sex;Background: with migration background;1834;;;;;;;;;;;;;;;;;;
1325;Total sex;Background: with migration background;1835;;;;;;;;;;;;;;;;;;
1326;Total sex;Background: with migration background;1836;;;;;;;;;;;;;;;;;;
1327;Total sex;Background: with migration background;1837;;;;;;;;;;;;;;;;;;
1328;Total sex;Background: with migration background;1838;;;;;;;;;;;;;;;;;;
1329;Total sex;Background: with migration background;1839;;;;;;;;;;;;;;;;;;
1330;Total sex;Background: with migration background;1840;;;;;;;;;;;;;;;;;;
1331;Total sex;Background: with migration background;1841;;;;;;;;;;;;;;;;;;
1332;Total sex;Background: with migration background;1842;;;;;;;;;;;;;;;;;;
1333;Total sex;Background: with migration background;1843;;;;;;;;;;;;;;;;;;
1334;Total sex;Background: with migration background;1844;;;;;;;;;;;;;;;;;;
1335;Total sex;Background: with migration background;1845;;;;;;;;;;;;;;;;;;
1336;Total sex;Background: with migration background;1846;;;;;;;;;;;;;;;;;;
1337;Total sex;Background: with migration background;1847;;;;;;;;;;;;;;;;;;
1338;Total sex;Background: with migration background;1848;;;;;;;;;;;;;;;;;;
1339;Total sex;Background: with migration background;1849;;;;;;;;;;;;;;;;;;
1340;Total sex;Background: with migration background;1850;;;;;;;;;;;;;;;;;;
1341;Total sex;Background: with migration background;1851;;;;;;;;;;;;;;;;;;
1342;Total sex;Background: with migration background;1852;;;;;;;;;;;;;;;;;;
1343;Total sex;Background: with migration background;1853;;;;;;;;;;;;;;;;;;
1344;Total sex;Background: with migration background;1854;;;;;;;;;;;;;;;;;;
1345;Total sex;Background: with migration background;1855;;;;;;;;;;;;;;;;;;
1346;Total sex;Background: with migration background;1856;;;;;;;;;;;;;;;;;;
1347;Total sex;Background: with migration background;1857;;;;;;;;;;;;;;;;;;
1348;Total sex;Background: with migration background;1858;;;;;;;;;;;;;;;;;;
1349;Total sex;Background: with migration background;1859;;;;;;;;;;;;;;;;;;
1350;Total sex;Background: with migration background;1860;;;;;;;;;;;;;;;;;;
1351;Total sex;Background: with migration background;1861;;;;;;;;;;;;;;;;;;
1352;Total sex;Background: with migration background;1862;;;;;;;;;;;;;;;;;;
1353;Total sex;Background: with migration background;1863;;;;;;;;;;;;;;;;;;
1354;Total sex;Background: with migration background;1864;;;;;;;;;;;;;;;;;;
1355;Total sex;Background: with migration background;1865;;;;;;;;;;;;;;;;;;
1356;Total sex;Background: with migration background;1866;;;;;;;;;;;;;;;;;;
1357;Total sex;Background: with migration background;1867;;;;;;;;;;;;;;;;;;
1358;Total sex;Background: with migration background;1868;;;;;;;;;;;;;;;;;;
1359;Total sex;Background: with migration background;1869;;;;;;;;;;;;;;;;;;
1360;Total sex;Background: with migration background;1870;;;;;;;;;;;;;;;;;;
1361;Total sex;Background: with migration background;1871;;;;;;;;;;;;;;;;;;
1362;Total sex;Background: with migration background;1872;;;;;;;;;;;;;;;;;;
1363;Total sex;Background: with migration background;1873;;;;;;;;;;;;;;;;;;
1364;Total sex;Background: with migration background;1874;;;;;;;;;;;;;;;;;;
1365;Total sex;Background: with migration background;1875;;;;;;;;;;;;;;;;;;
1366;Total sex;Background: with migration background;1876;;;;;;;;;;;;;;;;;;
1367;Total sex;Background: with migration background;1877;;;;;;;;;;;;;;;;;;
1368;Total sex;Background: with migration background;1878;;;;;;;;;;;;;;;;;;
1369;Total sex;Background: with migration background;1879;;;;;;;;;;;;;;;;;;
1370;Total sex;Background: with migration background;1880;;;;;;;;;;;;;;;;;;
1371;Total sex;Background: with migration background;1881;;;;;;;;;;;;;;;;;;
1372;Total sex;Background: with migration background;1882;;;;;;;;;;;;;;;;;;
1373;Total sex;Background: with migration background;1883;;;;;;;;;;;;;;;;;;
1374;Total sex;Background: with migration background;1884;;;;;;;;;;;;;;;;;;
1375;Total sex;Background: with migration background;1885;;;;;;;;;;;;;;;;;;
1376;Total sex;Background: with migration background;1886;;;;;;;;;;;;;;;;;;
1377;Total sex;Background: with migration background;1887;;;;;;;;;;;;;;;;;;
1378;Total sex;Background: with migration background;1888;;;;;;;;;;;;;;;;;;
1379;Total sex;Background: with migration background;1889;;;;;;;;;;;;;;;;;;
1380;Total sex;Background: with migration background;1890;;;;;;;;;;;;;;;;;;
1381;Total sex;Background: with migration background;1891;;;;;;;;;;;;;;;;;;
1382;Total sex;Background: with migration background;1892;;;;;;;;;;;;;;;;;;
1383;Total sex;Background: with migration background;1893;;;;;;;;;;;;;;;;;;
1384;Total sex;Background: with migration background;1894;;;;;;;;;;;;;;;;;;
1385;Total sex;Background: with migration background;1895;;;;;;;;;;;;;;;;;;
1386;Total sex;Background: with migration background;1896;;;;;;;;;;;;;;;;;;
1387;Total sex;Background: with migration background;1897;;;;;;;;;;;;;;;;;;
1388;Total sex;Background: with migration background;1898;;;;;;;;;;;;;;;;;;
1389;Total sex;Background: with migration background;1899;;;;;;;;;;;;;;;;;;
1390;Total sex;Background: with migration background;1900;;;;;;;;;;;;;;;;;;
1391;Total sex;Background: with migration background;1901;;;;;;;;;;;;;;;;;;
1392;Total sex;Background: with migration background;1902;;;;;;;;;;;;;;;;;;
1393;Total sex;Background: with migration background;1903;;;;;;;;;;;;;;;;;;
1394;Total sex;Background: with migration background;1904;;;;;;;;;;;;;;;;;;
1395;Total sex;Background: with migration background;1905;;;;;;;;;;;;;;;;;;
1396;Total sex;Background: with migration background;1906;;;;;;;;;;;;;;;;;;
1397;Total sex;Background: with migration background;1907;;;;;;;;;;;;;;;;;;
1398;Total sex;Background: with migration background;1908;;;;;;;;;;;;;;;;;;
1399;Total sex;Background: with migration background;1909;;;;;;;;;;;;;;;;;;
1400;Total sex;Background: with migration background;1910;;;;;;;;;;;;;;;;;;
1401;Total sex;Background: with migration background;1911;;;;;;;;;;;;;;;;;;
1402;Total sex;Background: with migration background;1912;;;;;;;;;;;;;;;;;;
1403;Total sex;Background: with migration background;1913;;;;;;;;;;;;;;;;;;
1404;Total sex;Background: with migration background;1914;;;;;;;;;;;;;;;;;;
1405;Total sex;Background: with migration background;1915;;;;;;;;;;;;;;;;;;
1406;Total sex;Background: with migration background;1916;;;;;;;;;;;;;;;;;;
1407;Total sex;Background: with migration background;1917;;;;;;;;;;;;;;;;;;
1408;Total sex;Background: with migration background;1918;;;;;;;;;;;;;;;;;;
1409;Total sex;Background: with migration background;1919;;;;;;;;;;;;;;;;;;
1410;Total sex;Background: with migration background;1920;;;;;;;;;;;;;;;;;;
1411;Total sex;Background: with migration background;1921;;;;;;;;;;;;;;;;;;
1412;Total sex;Background: with migration background;1922;;;;;;;;;;;;;;;;;;
1413;Total sex;Background: with migration background;1923;;;;;;;;;;;;;;;;;;
1414;Total sex;Background: with migration background;1924;;;;;;;;;;;;;;;;;;
1415;Total sex;Background: with migration background;1925;;;;;;;;;;;;;;;;;;
1416;Total sex;Background: with migration background;1926;;;;;;;;;;;;;;;;;;
1417;Total sex;Background: with migration background;1927;;;;;;;;;;;;;;;;;;
1418;Total sex;Background: with migration background;1928;;;;;;;;;;;;;;;;;;
1419;Total sex;Background: with migration background;1929;;;;;;;;;;;;;;;;;;
1420;Total sex;Background: with migration background;1930;;;;;;;;;;;;;;;;;;
1421;Total sex;Background: with migration background;1931;;;;;;;;;;;;;;;;;;
1422;Total sex;Background: with migration background;1932;;;;;;;;;;;;;;;;;;
1423;Total sex;Background: with migration background;1933;;;;;;;;;;;;;;;;;;
1424;Total sex;Background: with migration background;1934;;;;;;;;;;;;;;;;;;
1425;Total sex;Background: with migration background;1935;;;;;;;;;;;;;;;;;;
1426;Total sex;Background: with migration background;1936;;;;;;;;;;;;;;;;;;
1427;Total sex;Background: with migration background;1937;;;;;;;;;;;;;;;;;;
1428;Total sex;Background: with migration background;1938;;;;;;;;;;;;;;;;;;
1429;Total sex;Background: with migration background;1939;;;;;;;;;;;;;;;;;;
1430;Total sex;Background: with migration background;1940;;;;;;;;;;;;;;;;;;
1431;Total sex;Background: with migration background;1941;;;;;;;;;;;;;;;;;;
1432;Total sex;Background: with migration background;1942;;;;;;;;;;;;;;;;;;
1433;Total sex;Background: with migration background;1943;;;;;;;;;;;;;;;;;;
1434;Total sex;Background: with migration background;1944;;;;;;;;;;;;;;;;;;
1435;Total sex;Background: with migration background;1945;;;;;;;;;;;;;;;;;;
1436;Total sex;Background: with migration background;1946;;;;;;;;;;;;;;;;;;
1437;Total sex;Background: with migration background;1947;;;;;;;;;;;;;;;;;;
1438;Total sex;Background: with migration background;1948;;;;;;;;;;;;;;;;;;
1439;Total sex;Background: with migration background;1949;;;;;;;;;;;;;;;;;;
1440;Total sex;Background: with migration background;1950;;;;;;;;;;;;;;;;;;
1441;Total sex;Background: with migration background;1951;;;;;;;;;;;;;;;;;;
1442;Total sex;Background: with migration background;1952;;;;;;;;;;;;;;;;;;
1443;Total sex;Background: with migration background;1953;;;;;;;;;;;;;;;;;;
1444;Total sex;Background: with migration background;1954;;;;;;;;;;;;;;;;;;
1445;Total sex;Background: with migration background;1955;;;;;;;;;;;;;;;;;;
1446;Total sex;Background: with migration background;1956;;;;;;;;;;;;;;;;;;
1447;Total sex;Background: with migration background;1957;;;;;;;;;;;;;;;;;;
1448;Total sex;Background: with migration background;1958;;;;;;;;;;;;;;;;;;
1449;Total sex;Background: with migration background;1959;;;;;;;;;;;;;;;;;;
1450;Total sex;Background: with migration background;1960;;;;;;;;;;;;;;;;;;
1451;Total sex;Background: with migration background;1961;;;;;;;;;;;;;;;;;;
1452;Total sex;Background: with migration background;1962;;;;;;;;;;;;;;;;;;
1453;Total sex;Background: with migration background;1963;;;;;;;;;;;;;;;;;;
1454;Total sex;Background: with migration background;1964;;;;;;;;;;;;;;;;;;
1455;Total sex;Background: with migration background;1965;;;;;;;;;;;;;;;;;;
1456;Total sex;Background: with migration background;1966;;;;;;;;;;;;;;;;;;
1457;Total sex;Background: with migration background;1967;;;;;;;;;;;;;;;;;;
1458;Total sex;Background: with migration background;1968;;;;;;;;;;;;;;;;;;
1459;Total sex;Background: with migration background;1969;;;;;;;;;;;;;;;;;;
1460;Total sex;Background: with migration background;1970;;;;;;;;;;;;;;;;;;
1461;Total sex;Background: with migration background;1971;;;;;;;;;;;;;;;;;;
1462;Total sex;Background: with migration background;1972;;;;;;;;;;;;;;;;;;
1463;Total sex;Background: with migration background;1973;;;;;;;;;;;;;;;;;;
1464;Total sex;Background: with migration background;1974;;;;;;;;;;;;;;;;;;
1465;Total sex;Background: with migration background;1975;;;;;;;;;;;;;;;;;;
1466;Total sex;Background: with migration background;1976;;;;;;;;;;;;;;;;;;
1467;Total sex;Background: with migration background;1977;;;;;;;;;;;;;;;;;;
1468;Total sex;Background: with migration background;1978;;;;;;;;;;;;;;;;;;
1469;Total sex;Background: with migration background;1979;;;;;;;;;;;;;;;;;;
1470;Total sex;Background: with migration background;1980;;;;;;;;;;;;;;;;;;
1471;Total sex;Background: with migration background;1981;1071.0;601.0;521.0;;;;;;;;;;80.0;470.0;56.1;48.7;;13.3
1472;Total sex;Background: with migration background;1982;1099.0;606.0;513.0;;;;;;;;;;93.0;493.0;55.2;46.7;;15.4
1473;Total sex;Background: with migration background;1983;1123.0;621.0;511.0;;;;;;;;;;110.0;501.0;55.3;45.5;;17.8
1474;Total sex;Background: with migration background;1984;1143.0;625.0;509.0;;;;;;;;;;116.0;518.0;54.7;44.5;;18.5
1475;Total sex;Background: with migration background;1985;1163.0;641.0;527.0;;;;;;;;;;114.0;522.0;55.2;45.3;;17.8
1476;Total sex;Background: with migration background;1986;1193.0;654.0;548.0;;;;;;;;;;106.0;539.0;54.8;45.9;;16.2
1477;Total sex;Background: with migration background;1987;1228.0;661.0;559.0;;;;;;;;;;102.0;567.0;53.8;45.5;;15.4
1478;Total sex;Background: with migration background;1988;1276.0;708.0;599.0;;;;;;;;;;110.0;568.0;55.5;46.9;;15.5
1479;Total sex;Background: with migration background;1989;1304.0;721.0;613.0;;;;;;;;;;108.0;583.0;55.3;47.0;;15.0
1480;Total sex;Background: with migration background;1990;1338.0;738.0;633.0;;;;;;;;;;106.0;600.0;55.2;47.3;;14.3
