ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
48;Total government expenditure;General government;2007;269466
49;Total government expenditure;General government;2008 1st quarter;70395
50;Total government expenditure;General government;2008 2nd quarter;74412
51;Total government expenditure;General government;2008 3rd quarter;67495
52;Total government expenditure;General government;2008 4th quarter;75958
53;Total government expenditure;General government;2008;288260
54;Total government expenditure;General government;2009 1st quarter;74004
55;Total government expenditure;General government;2009 2nd quarter;76748
56;Total government expenditure;General government;2009 3rd quarter;74088
57;Total government expenditure;General government;2009 4th quarter;80336
58;Total government expenditure;General government;2009;305176
59;Total government expenditure;General government;2010 1st quarter;75992
60;Total government expenditure;General government;2010 2nd quarter;81952
61;Total government expenditure;General government;2010 3rd quarter;75151
62;Total government expenditure;General government;2010 4th quarter;81128
63;Total government expenditure;General government;2010;314223
64;Total government expenditure;General government;2011 1st quarter;76470
65;Total government expenditure;General government;2011 2nd quarter;81573
66;Total government expenditure;General government;2011 3rd quarter;75052
67;Total government expenditure;General government;2011 4th quarter;80321
68;Total government expenditure;General government;2011;313416
69;Total government expenditure;General government;2012 1st quarter;75346
70;Total government expenditure;General government;2012 2nd quarter;82043
71;Total government expenditure;General government;2012 3rd quarter;75587
72;Total government expenditure;General government;2012 4th quarter;80622
73;Total government expenditure;General government;2012;313598
74;Total government expenditure;General government;2013 1st quarter;76955
75;Total government expenditure;General government;2013 2nd quarter;82362
76;Total government expenditure;General government;2013 3rd quarter;76434
77;Total government expenditure;General government;2013 4th quarter;80674
78;Total government expenditure;General government;2013;316425
79;Total government expenditure;General government;2014 1st quarter;77566
80;Total government expenditure;General government;2014 2nd quarter;83314
81;Total government expenditure;General government;2014 3rd quarter;75433
82;Total government expenditure;General government;2014 4th quarter;80873
83;Total government expenditure;General government;2014;317186
84;Total government expenditure;General government;2015 1st quarter;77472
85;Total government expenditure;General government;2015 2nd quarter;82975
86;Total government expenditure;General government;2015 3rd quarter;75589
87;Total government expenditure;General government;2015 4th quarter;80353
88;Total government expenditure;General government;2015;316389
89;Total government expenditure;General government;2016 1st quarter;77374
90;Total government expenditure;General government;2016 2nd quarter;83430
91;Total government expenditure;General government;2016 3rd quarter;76626
92;Total government expenditure;General government;2016 4th quarter;78849
93;Total government expenditure;General government;2016;316279
94;Total government expenditure;General government;2017 1st quarter;77798
95;Total government expenditure;General government;2017 2nd quarter;84121
96;Total government expenditure;General government;2017 3rd quarter;77386
97;Total government expenditure;General government;2017 4th quarter;81754
98;Total government expenditure;General government;2017;321059
99;Total government expenditure;General government;2018 1st quarter;79904
100;Total government expenditure;General government;2018 2nd quarter;86989
101;Total government expenditure;General government;2018 3rd quarter;80320
102;Total government expenditure;General government;2018 4th quarter;86930
103;Total government expenditure;General government;2018;334143
104;Total government expenditure;General government;2019 1st quarter;84689
105;Total government expenditure;General government;2019 2nd quarter;90456
106;Total government expenditure;General government;2019 3rd quarter;85072
107;Total government expenditure;General government;2019 4th quarter;89101
108;Total government expenditure;General government;2019;349318
109;Total government expenditure;General government;2020 1st quarter;88725
110;Total government expenditure;General government;2020 2nd quarter;104487
111;Total government expenditure;General government;2020 3rd quarter;93086
112;Total government expenditure;General government;2020 4th quarter;104079
113;Total government expenditure;General government;2020;390377
114;Total government expenditure;General government;2021 1st quarter;99020
115;Total government expenditure;General government;2021 2nd quarter;105405
116;Total government expenditure;General government;2021 3rd quarter;97283
117;Total government expenditure;General government;2021 4th quarter;107463
118;Total government expenditure;General government;2021;409171
119;Total government expenditure;General government;2022 1st quarter;99332
120;Total government expenditure;General government;2022 2nd quarter;107931
121;Total government expenditure;General government;2022 3rd quarter;106097
122;Total government expenditure;General government;2022 4th quarter;116386
123;Total government expenditure;General government;2022;429746
124;Total government expenditure;General government;2023 1st quarter;108411
125;Total government expenditure;General government;2023 2nd quarter;119624
126;Total government expenditure;General government;2023 3rd quarter;112105
127;Total government expenditure;General government;2023 4th quarter;121077
128;Total government expenditure;General government;2023;461217
129;Total government expenditure;General government;2024 1st quarter;114404
130;Total government expenditure;General government;2024 2nd quarter;129663
131;Total government expenditure;General government;2024 3rd quarter;120731
132;Total government expenditure;General government;2024 4th quarter;132622
133;Total government expenditure;General government;2024;497420
134;Total government expenditure;Central government;1995;111273
135;Total government expenditure;Central government;1996;97059
136;Total government expenditure;Central government;1997;103056
137;Total government expenditure;Central government;1998;104535
138;Total government expenditure;Central government;1999 1st quarter;27172
139;Total government expenditure;Central government;1999 2nd quarter;26738
140;Total government expenditure;Central government;1999 3rd quarter;26165
141;Total government expenditure;Central government;1999 4th quarter;28231
142;Total government expenditure;Central government;1999;108306
143;Total government expenditure;Central government;2000 1st quarter;27774
144;Total government expenditure;Central government;2000 2nd quarter;29083
145;Total government expenditure;Central government;2000 3rd quarter;26948
146;Total government expenditure;Central government;2000 4th quarter;30233
147;Total government expenditure;Central government;2000;114038
148;Total government expenditure;Central government;2001 1st quarter;30570
149;Total government expenditure;Central government;2001 2nd quarter;32370
150;Total government expenditure;Central government;2001 3rd quarter;30586
151;Total government expenditure;Central government;2001 4th quarter;33554
152;Total government expenditure;Central government;2001;127080
153;Total government expenditure;Central government;2002 1st quarter;32778
154;Total government expenditure;Central government;2002 2nd quarter;34593
155;Total government expenditure;Central government;2002 3rd quarter;32417
156;Total government expenditure;Central government;2002 4th quarter;34651
157;Total government expenditure;Central government;2002;134439
158;Total government expenditure;Central government;2003 1st quarter;34671
159;Total government expenditure;Central government;2003 2nd quarter;37099
160;Total government expenditure;Central government;2003 3rd quarter;33975
161;Total government expenditure;Central government;2003 4th quarter;35908
162;Total government expenditure;Central government;2003;141653
163;Total government expenditure;Central government;2004 1st quarter;35633
164;Total government expenditure;Central government;2004 2nd quarter;37052
165;Total government expenditure;Central government;2004 3rd quarter;32974
166;Total government expenditure;Central government;2004 4th quarter;35364
167;Total government expenditure;Central government;2004;141023
168;Total government expenditure;Central government;2005 1st quarter;34972
169;Total government expenditure;Central government;2005 2nd quarter;37220
170;Total government expenditure;Central government;2005 3rd quarter;33432
171;Total government expenditure;Central government;2005 4th quarter;37676
172;Total government expenditure;Central government;2005;143300
173;Total government expenditure;Central government;2006 1st quarter;35517
174;Total government expenditure;Central government;2006 2nd quarter;41361
175;Total government expenditure;Central government;2006 3rd quarter;35391
176;Total government expenditure;Central government;2006 4th quarter;39702
177;Total government expenditure;Central government;2006;151971
178;Total government expenditure;Central government;2007 1st quarter;39432
179;Total government expenditure;Central government;2007 2nd quarter;40533
180;Total government expenditure;Central government;2007 3rd quarter;39684
181;Total government expenditure;Central government;2007 4th quarter;42048
182;Total government expenditure;Central government;2007;161697
183;Total government expenditure;Central government;2008 1st quarter;43619
184;Total government expenditure;Central government;2008 2nd quarter;43744
185;Total government expenditure;Central government;2008 3rd quarter;44909
186;Total government expenditure;Central government;2008 4th quarter;43108
187;Total government expenditure;Central government;2008;175380
188;Total government expenditure;Central government;2009 1st quarter;45455
189;Total government expenditure;Central government;2009 2nd quarter;45008
190;Total government expenditure;Central government;2009 3rd quarter;45693
191;Total government expenditure;Central government;2009 4th quarter;48505
192;Total government expenditure;Central government;2009;184661
193;Total government expenditure;Central government;2010 1st quarter;47062
194;Total government expenditure;Central government;2010 2nd quarter;48749
195;Total government expenditure;Central government;2010 3rd quarter;45097
196;Total government expenditure;Central government;2010 4th quarter;53253
197;Total government expenditure;Central government;2010;194161
198;Total government expenditure;Central government;2011 1st quarter;46937
199;Total government expenditure;Central government;2011 2nd quarter;47724
200;Total government expenditure;Central government;2011 3rd quarter;44372
201;Total government expenditure;Central government;2011 4th quarter;48294
202;Total government expenditure;Central government;2011;187327
203;Total government expenditure;Central government;2012 1st quarter;46214
204;Total government expenditure;Central government;2012 2nd quarter;48058
205;Total government expenditure;Central government;2012 3rd quarter;43670
206;Total government expenditure;Central government;2012 4th quarter;50811
207;Total government expenditure;Central government;2012;188753
208;Total government expenditure;Central government;2013 1st quarter;45619
209;Total government expenditure;Central government;2013 2nd quarter;45718
210;Total government expenditure;Central government;2013 3rd quarter;42614
211;Total government expenditure;Central government;2013 4th quarter;50506
212;Total government expenditure;Central government;2013;184457
213;Total government expenditure;Central government;2014 1st quarter;46272
214;Total government expenditure;Central government;2014 2nd quarter;47430
215;Total government expenditure;Central government;2014 3rd quarter;43554
216;Total government expenditure;Central government;2014 4th quarter;50919
217;Total government expenditure;Central government;2014;188175
218;Total government expenditure;Central government;2015 1st quarter;47876
219;Total government expenditure;Central government;2015 2nd quarter;48969
220;Total government expenditure;Central government;2015 3rd quarter;44860
221;Total government expenditure;Central government;2015 4th quarter;52308
222;Total government expenditure;Central government;2015;194013
223;Total government expenditure;Central government;2016 1st quarter;49105
224;Total government expenditure;Central government;2016 2nd quarter;49545
225;Total government expenditure;Central government;2016 3rd quarter;45863
226;Total government expenditure;Central government;2016 4th quarter;49924
227;Total government expenditure;Central government;2016;194437
228;Total government expenditure;Central government;2017 1st quarter;48107
229;Total government expenditure;Central government;2017 2nd quarter;49332
230;Total government expenditure;Central government;2017 3rd quarter;45643
231;Total government expenditure;Central government;2017 4th quarter;50259
232;Total government expenditure;Central government;2017;193341
233;Total government expenditure;Central government;2018 1st quarter;48963
234;Total government expenditure;Central government;2018 2nd quarter;50784
235;Total government expenditure;Central government;2018 3rd quarter;47713
236;Total government expenditure;Central government;2018 4th quarter;54432
237;Total government expenditure;Central government;2018;201892
238;Total government expenditure;Central government;2019 1st quarter;52662
239;Total government expenditure;Central government;2019 2nd quarter;53834
240;Total government expenditure;Central government;2019 3rd quarter;53375
241;Total government expenditure;Central government;2019 4th quarter;54423
242;Total government expenditure;Central government;2019;214294
243;Total government expenditure;Central government;2020 1st quarter;58105
244;Total government expenditure;Central government;2020 2nd quarter;66746
245;Total government expenditure;Central government;2020 3rd quarter;59762
246;Total government expenditure;Central government;2020 4th quarter;69665
247;Total government expenditure;Central government;2020;254278
248;Total government expenditure;Central government;2021 1st quarter;68613
249;Total government expenditure;Central government;2021 2nd quarter;69656
250;Total government expenditure;Central government;2021 3rd quarter;65736
251;Total government expenditure;Central government;2021 4th quarter;70938
252;Total government expenditure;Central government;2021;274943
253;Total government expenditure;Central government;2022 1st quarter;67699
254;Total government expenditure;Central government;2022 2nd quarter;69914
255;Total government expenditure;Central government;2022 3rd quarter;73566
256;Total government expenditure;Central government;2022 4th quarter;79419
257;Total government expenditure;Central government;2022;290598
258;Total government expenditure;Central government;2023 1st quarter;87459
259;Total government expenditure;Central government;2023 2nd quarter;76690
260;Total government expenditure;Central government;2023 3rd quarter;73271
261;Total government expenditure;Central government;2023 4th quarter;81530
262;Total government expenditure;Central government;2023;318950
263;Total government expenditure;Central government;2024 1st quarter;76566
264;Total government expenditure;Central government;2024 2nd quarter;86641
265;Total government expenditure;Central government;2024 3rd quarter;83029
266;Total government expenditure;Central government;2024 4th quarter;92258
267;Total government expenditure;Central government;2024;338494
268;Total government expenditure;The State;1995;106559
269;Total government expenditure;The State;1996;92184
270;Total government expenditure;The State;1997;97726
271;Total government expenditure;The State;1998;98911
272;Total government expenditure;The State;1999 1st quarter;26020
273;Total government expenditure;The State;1999 2nd quarter;24774
274;Total government expenditure;The State;1999 3rd quarter;24819
275;Total government expenditure;The State;1999 4th quarter;26936
276;Total government expenditure;The State;1999;102549
277;Total government expenditure;The State;2000 1st quarter;26229
278;Total government expenditure;The State;2000 2nd quarter;27527
279;Total government expenditure;The State;2000 3rd quarter;25342
280;Total government expenditure;The State;2000 4th quarter;28638
281;Total government expenditure;The State;2000;107736
282;Total government expenditure;The State;2001 1st quarter;28809
283;Total government expenditure;The State;2001 2nd quarter;30628
284;Total government expenditure;The State;2001 3rd quarter;28726
285;Total government expenditure;The State;2001 4th quarter;31727
286;Total government expenditure;The State;2001;119890
287;Total government expenditure;The State;2002 1st quarter;30932
288;Total government expenditure;The State;2002 2nd quarter;32873
289;Total government expenditure;The State;2002 3rd quarter;30550
290;Total government expenditure;The State;2002 4th quarter;32708
291;Total government expenditure;The State;2002;127063
292;Total government expenditure;The State;2003 1st quarter;32963
293;Total government expenditure;The State;2003 2nd quarter;35346
294;Total government expenditure;The State;2003 3rd quarter;32031
295;Total government expenditure;The State;2003 4th quarter;34256
296;Total government expenditure;The State;2003;134596
297;Total government expenditure;The State;2004 1st quarter;33915
298;Total government expenditure;The State;2004 2nd quarter;35433
299;Total government expenditure;The State;2004 3rd quarter;31132
300;Total government expenditure;The State;2004 4th quarter;33472
301;Total government expenditure;The State;2004;133952
302;Total government expenditure;The State;2005 1st quarter;33338
303;Total government expenditure;The State;2005 2nd quarter;35358
304;Total government expenditure;The State;2005 3rd quarter;31787
305;Total government expenditure;The State;2005 4th quarter;35819
306;Total government expenditure;The State;2005;136302
307;Total government expenditure;The State;2006 1st quarter;33923
308;Total government expenditure;The State;2006 2nd quarter;39550
309;Total government expenditure;The State;2006 3rd quarter;33786
310;Total government expenditure;The State;2006 4th quarter;37883
311;Total government expenditure;The State;2006;145142
312;Total government expenditure;The State;2007 1st quarter;37810
313;Total government expenditure;The State;2007 2nd quarter;38711
314;Total government expenditure;The State;2007 3rd quarter;38069
315;Total government expenditure;The State;2007 4th quarter;40215
316;Total government expenditure;The State;2007;154805
317;Total government expenditure;The State;2008 1st quarter;41709
318;Total government expenditure;The State;2008 2nd quarter;41789
319;Total government expenditure;The State;2008 3rd quarter;42903
320;Total government expenditure;The State;2008 4th quarter;40886
321;Total government expenditure;The State;2008;167287
322;Total government expenditure;The State;2009 1st quarter;43675
323;Total government expenditure;The State;2009 2nd quarter;43147
324;Total government expenditure;The State;2009 3rd quarter;43686
325;Total government expenditure;The State;2009 4th quarter;46058
326;Total government expenditure;The State;2009;176566
327;Total government expenditure;The State;2010 1st quarter;45567
328;Total government expenditure;The State;2010 2nd quarter;48251
329;Total government expenditure;The State;2010 3rd quarter;43240
330;Total government expenditure;The State;2010 4th quarter;50772
331;Total government expenditure;The State;2010;187830
332;Total government expenditure;The State;2011 1st quarter;45175
333;Total government expenditure;The State;2011 2nd quarter;45651
334;Total government expenditure;The State;2011 3rd quarter;42310
335;Total government expenditure;The State;2011 4th quarter;46172
336;Total government expenditure;The State;2011;179308
337;Total government expenditure;The State;2012 1st quarter;44224
338;Total government expenditure;The State;2012 2nd quarter;46243
339;Total government expenditure;The State;2012 3rd quarter;41546
340;Total government expenditure;The State;2012 4th quarter;48167
341;Total government expenditure;The State;2012;180180
342;Total government expenditure;The State;2013 1st quarter;43900
343;Total government expenditure;The State;2013 2nd quarter;43473
344;Total government expenditure;The State;2013 3rd quarter;40185
345;Total government expenditure;The State;2013 4th quarter;48339
346;Total government expenditure;The State;2013;175897
347;Total government expenditure;The State;2014 1st quarter;44208
348;Total government expenditure;The State;2014 2nd quarter;45513
349;Total government expenditure;The State;2014 3rd quarter;40865
350;Total government expenditure;The State;2014 4th quarter;48249
351;Total government expenditure;The State;2014;178835
352;Total government expenditure;The State;2015 1st quarter;45918
353;Total government expenditure;The State;2015 2nd quarter;47059
354;Total government expenditure;The State;2015 3rd quarter;42060
355;Total government expenditure;The State;2015 4th quarter;49912
356;Total government expenditure;The State;2015;184949
357;Total government expenditure;The State;2016 1st quarter;47156
358;Total government expenditure;The State;2016 2nd quarter;47155
359;Total government expenditure;The State;2016 3rd quarter;43536
360;Total government expenditure;The State;2016 4th quarter;46997
361;Total government expenditure;The State;2016;184844
362;Total government expenditure;The State;2017 1st quarter;46170
363;Total government expenditure;The State;2017 2nd quarter;47025
364;Total government expenditure;The State;2017 3rd quarter;43413
365;Total government expenditure;The State;2017 4th quarter;47307
366;Total government expenditure;The State;2017;183915
367;Total government expenditure;The State;2018 1st quarter;47037
368;Total government expenditure;The State;2018 2nd quarter;48489
369;Total government expenditure;The State;2018 3rd quarter;45032
370;Total government expenditure;The State;2018 4th quarter;51762
371;Total government expenditure;The State;2018;192320
372;Total government expenditure;The State;2019 1st quarter;50051
373;Total government expenditure;The State;2019 2nd quarter;51571
374;Total government expenditure;The State;2019 3rd quarter;50454
375;Total government expenditure;The State;2019 4th quarter;51521
376;Total government expenditure;The State;2019;203597
377;Total government expenditure;The State;2020 1st quarter;55857
378;Total government expenditure;The State;2020 2nd quarter;64845
379;Total government expenditure;The State;2020 3rd quarter;56757
380;Total government expenditure;The State;2020 4th quarter;66476
381;Total government expenditure;The State;2020;243935
382;Total government expenditure;The State;2021 1st quarter;66269
383;Total government expenditure;The State;2021 2nd quarter;67315
384;Total government expenditure;The State;2021 3rd quarter;63003
385;Total government expenditure;The State;2021 4th quarter;67418
386;Total government expenditure;The State;2021;264005
387;Total government expenditure;The State;2022 1st quarter;65434
388;Total government expenditure;The State;2022 2nd quarter;67418
389;Total government expenditure;The State;2022 3rd quarter;70345
390;Total government expenditure;The State;2022 4th quarter;76335
391;Total government expenditure;The State;2022;279532
392;Total government expenditure;The State;2023 1st quarter;84443
393;Total government expenditure;The State;2023 2nd quarter;73807
394;Total government expenditure;The State;2023 3rd quarter;70563
395;Total government expenditure;The State;2023 4th quarter;77712
396;Total government expenditure;The State;2023;306525
397;Total government expenditure;The State;2024 1st quarter;73830
398;Total government expenditure;The State;2024 2nd quarter;83652
399;Total government expenditure;The State;2024 3rd quarter;79520
400;Total government expenditure;The State;2024 4th quarter;88637
401;Total government expenditure;The State;2024;325639
402;Total government expenditure;Other central government;1995;10624
403;Total government expenditure;Other central government;1996;11127
404;Total government expenditure;Other central government;1997;11628
405;Total government expenditure;Other central government;1998;12395
406;Total government expenditure;Other central government;1999 1st quarter;3349
407;Total government expenditure;Other central government;1999 2nd quarter;3505
408;Total government expenditure;Other central government;1999 3rd quarter;3336
409;Total government expenditure;Other central government;1999 4th quarter;3493
410;Total government expenditure;Other central government;1999;13683
411;Total government expenditure;Other central government;2000 1st quarter;3503
412;Total government expenditure;Other central government;2000 2nd quarter;3702
413;Total government expenditure;Other central government;2000 3rd quarter;3522
414;Total government expenditure;Other central government;2000 4th quarter;3699
415;Total government expenditure;Other central government;2000;14426
416;Total government expenditure;Other central government;2001 1st quarter;3961
417;Total government expenditure;Other central government;2001 2nd quarter;4166
418;Total government expenditure;Other central government;2001 3rd quarter;3951
419;Total government expenditure;Other central government;2001 4th quarter;4137
420;Total government expenditure;Other central government;2001;16215
421;Total government expenditure;Other central government;2002 1st quarter;4102
422;Total government expenditure;Other central government;2002 2nd quarter;4327
423;Total government expenditure;Other central government;2002 3rd quarter;4091
424;Total government expenditure;Other central government;2002 4th quarter;4297
425;Total government expenditure;Other central government;2002;16817
426;Total government expenditure;Other central government;2003 1st quarter;4065
427;Total government expenditure;Other central government;2003 2nd quarter;4262
428;Total government expenditure;Other central government;2003 3rd quarter;4049
429;Total government expenditure;Other central government;2003 4th quarter;4255
430;Total government expenditure;Other central government;2003;16631
431;Total government expenditure;Other central government;2004 1st quarter;4047
432;Total government expenditure;Other central government;2004 2nd quarter;4267
433;Total government expenditure;Other central government;2004 3rd quarter;4046
434;Total government expenditure;Other central government;2004 4th quarter;4256
435;Total government expenditure;Other central government;2004;16616
436;Total government expenditure;Other central government;2005 1st quarter;4056
437;Total government expenditure;Other central government;2005 2nd quarter;4284
438;Total government expenditure;Other central government;2005 3rd quarter;4063
439;Total government expenditure;Other central government;2005 4th quarter;4276
440;Total government expenditure;Other central government;2005;16679
441;Total government expenditure;Other central government;2006 1st quarter;4087
442;Total government expenditure;Other central government;2006 2nd quarter;4302
443;Total government expenditure;Other central government;2006 3rd quarter;4093
444;Total government expenditure;Other central government;2006 4th quarter;4307
445;Total government expenditure;Other central government;2006;16789
446;Total government expenditure;Other central government;2007 1st quarter;4072
447;Total government expenditure;Other central government;2007 2nd quarter;4307
448;Total government expenditure;Other central government;2007 3rd quarter;4084
449;Total government expenditure;Other central government;2007 4th quarter;4296
450;Total government expenditure;Other central government;2007;16759
451;Total government expenditure;Other central government;2008 1st quarter;4361
452;Total government expenditure;Other central government;2008 2nd quarter;4688
453;Total government expenditure;Other central government;2008 3rd quarter;4381
454;Total government expenditure;Other central government;2008 4th quarter;4704
455;Total government expenditure;Other central government;2008;18134
456;Total government expenditure;Other central government;2009 1st quarter;4512
457;Total government expenditure;Other central government;2009 2nd quarter;4787
458;Total government expenditure;Other central government;2009 3rd quarter;4497
459;Total government expenditure;Other central government;2009 4th quarter;4807
460;Total government expenditure;Other central government;2009;18603
461;Total government expenditure;Other central government;2010 1st quarter;4619
462;Total government expenditure;Other central government;2010 2nd quarter;4908
463;Total government expenditure;Other central government;2010 3rd quarter;4614
464;Total government expenditure;Other central government;2010 4th quarter;4901
465;Total government expenditure;Other central government;2010;19042
466;Total government expenditure;Other central government;2011 1st quarter;4744
467;Total government expenditure;Other central government;2011 2nd quarter;4980
468;Total government expenditure;Other central government;2011 3rd quarter;4647
469;Total government expenditure;Other central government;2011 4th quarter;4773
470;Total government expenditure;Other central government;2011;19144
471;Total government expenditure;Other central government;2012 1st quarter;4675
472;Total government expenditure;Other central government;2012 2nd quarter;4827
473;Total government expenditure;Other central government;2012 3rd quarter;4581
474;Total government expenditure;Other central government;2012 4th quarter;5234
475;Total government expenditure;Other central government;2012;19317
476;Total government expenditure;Other central government;2013 1st quarter;6027
477;Total government expenditure;Other central government;2013 2nd quarter;6465
478;Total government expenditure;Other central government;2013 3rd quarter;5993
479;Total government expenditure;Other central government;2013 4th quarter;6519
480;Total government expenditure;Other central government;2013;25004
481;Total government expenditure;Other central government;2014 1st quarter;6149
482;Total government expenditure;Other central government;2014 2nd quarter;6542
483;Total government expenditure;Other central government;2014 3rd quarter;6152
484;Total government expenditure;Other central government;2014 4th quarter;6768
485;Total government expenditure;Other central government;2014;25611
486;Total government expenditure;Other central government;2015 1st quarter;6118
487;Total government expenditure;Other central government;2015 2nd quarter;6573
488;Total government expenditure;Other central government;2015 3rd quarter;6081
489;Total government expenditure;Other central government;2015 4th quarter;6954
490;Total government expenditure;Other central government;2015;25726
491;Total government expenditure;Other central government;2016 1st quarter;6353
492;Total government expenditure;Other central government;2016 2nd quarter;6903
493;Total government expenditure;Other central government;2016 3rd quarter;6328
494;Total government expenditure;Other central government;2016 4th quarter;6823
495;Total government expenditure;Other central government;2016;26407
496;Total government expenditure;Other central government;2017 1st quarter;6419
497;Total government expenditure;Other central government;2017 2nd quarter;6913
498;Total government expenditure;Other central government;2017 3rd quarter;6385
499;Total government expenditure;Other central government;2017 4th quarter;6930
500;Total government expenditure;Other central government;2017;26647
501;Total government expenditure;Other central government;2018 1st quarter;6752
502;Total government expenditure;Other central government;2018 2nd quarter;7138
503;Total government expenditure;Other central government;2018 3rd quarter;6611
504;Total government expenditure;Other central government;2018 4th quarter;7221
505;Total government expenditure;Other central government;2018;27722
506;Total government expenditure;Other central government;2019 1st quarter;7170
507;Total government expenditure;Other central government;2019 2nd quarter;7507
508;Total government expenditure;Other central government;2019 3rd quarter;7017
509;Total government expenditure;Other central government;2019 4th quarter;7627
510;Total government expenditure;Other central government;2019;29321
511;Total government expenditure;Other central government;2020 1st quarter;7198
512;Total government expenditure;Other central government;2020 2nd quarter;7929
513;Total government expenditure;Other central government;2020 3rd quarter;7251
514;Total government expenditure;Other central government;2020 4th quarter;8070
515;Total government expenditure;Other central government;2020;30448
516;Total government expenditure;Other central government;2021 1st quarter;7562
517;Total government expenditure;Other central government;2021 2nd quarter;8426
518;Total government expenditure;Other central government;2021 3rd quarter;7976
519;Total government expenditure;Other central government;2021 4th quarter;8799
520;Total government expenditure;Other central government;2021;32763
521;Total government expenditure;Other central government;2022 1st quarter;8128
522;Total government expenditure;Other central government;2022 2nd quarter;9146
523;Total government expenditure;Other central government;2022 3rd quarter;8912
524;Total government expenditure;Other central government;2022 4th quarter;9797
525;Total government expenditure;Other central government;2022;35983
526;Total government expenditure;Other central government;2023 1st quarter;9809
527;Total government expenditure;Other central government;2023 2nd quarter;10011
528;Total government expenditure;Other central government;2023 3rd quarter;9735
529;Total government expenditure;Other central government;2023 4th quarter;10494
530;Total government expenditure;Other central government;2023;40049
531;Total government expenditure;Other central government;2024 1st quarter;10263
532;Total government expenditure;Other central government;2024 2nd quarter;11296
533;Total government expenditure;Other central government;2024 3rd quarter;10713
534;Total government expenditure;Other central government;2024 4th quarter;11664
535;Total government expenditure;Other central government;2024;43936
536;Total government expenditure;Local government;1995;69990
537;Total government expenditure;Local government;1996;52750
538;Total government expenditure;Local government;1997;53556
539;Total government expenditure;Local government;1998;56436
540;Total government expenditure;Local government;1999 1st quarter;13523
541;Total government expenditure;Local government;1999 2nd quarter;15898
542;Total government expenditure;Local government;1999 3rd quarter;14109
543;Total government expenditure;Local government;1999 4th quarter;16234
544;Total government expenditure;Local government;1999;59764
545;Total government expenditure;Local government;2000 1st quarter;14609
546;Total government expenditure;Local government;2000 2nd quarter;16870
547;Total government expenditure;Local government;2000 3rd quarter;14864
548;Total government expenditure;Local government;2000 4th quarter;17593
549;Total government expenditure;Local government;2000;63936
550;Total government expenditure;Local government;2001 1st quarter;15868
551;Total government expenditure;Local government;2001 2nd quarter;17925
552;Total government expenditure;Local government;2001 3rd quarter;15937
553;Total government expenditure;Local government;2001 4th quarter;18418
554;Total government expenditure;Local government;2001;68148
555;Total government expenditure;Local government;2002 1st quarter;17098
556;Total government expenditure;Local government;2002 2nd quarter;19316
557;Total government expenditure;Local government;2002 3rd quarter;17168
558;Total government expenditure;Local government;2002 4th quarter;19953
559;Total government expenditure;Local government;2002;73535
560;Total government expenditure;Local government;2003 1st quarter;18215
561;Total government expenditure;Local government;2003 2nd quarter;20509
