ID;HouseholdCharacteristics;Periods;NumberOfHouseholds_1;MeanDisposableIncome_2;MeanEquivalisedIncome_3;MeanExpenditures_4;MedianWealth_5;LowIncomeHouseholds_6;IncomeInequality_7;WealthInequality_8
33;Type: Multi-person household;2018;4850.5;53.9;32.9;;79.1;4.5;0.268;0.76
34;Type: Multi-person household;2019;4877.5;58.2;35.6;;98.9;4.2;0.287;0.741
35;Type: Multi-person household;2020;4908.6;59.1;36.0;42.2;117.8;3.8;0.269;0.731
36;Type: Multi-person household;2021;4937.4;61.7;37.7;;150.2;3.5;0.269;0.699
37;Type: Multi-person household;2022;4956.4;65.4;40.0;;217.1;2.7;0.267;0.67
38;Type: Multi-person household;2023;4992.9;70.6;43.1;;220.3;2.6;0.267;0.673
39;Type: One-parent family;2011;472.2;30.0;20.5;;3.9;15.6;0.256;0.845
40;Type: One-parent family;2012;485.9;30.1;20.6;;3.1;18.3;0.264;0.852
41;Type: One-parent family;2013;496.9;30.3;20.7;;1.9;20.6;0.261;0.869
42;Type: One-parent family;2014;510.9;31.4;21.5;;1.7;19.5;0.266;0.869
43;Type: One-parent family;2015;518.2;31.9;21.9;29.6;2.5;17.5;0.252;0.864
44;Type: One-parent family;2016;531.0;33.3;22.8;;2.9;16.3;0.254;0.862
45;Type: One-parent family;2017;534.5;34.6;23.6;;3.9;15.3;0.253;0.869
46;Type: One-parent family;2018;544.8;35.7;24.1;;5.2;14.3;0.248;0.861
47;Type: One-parent family;2019;554.8;38.1;25.7;;7.0;12.9;0.258;0.837
48;Type: One-parent family;2020;562.0;39.4;26.5;33.4;8.9;11.2;0.253;0.827
49;Type: One-parent family;2021;566.3;41.3;27.8;;12.8;10.1;0.253;0.808
50;Type: One-parent family;2022;569.3;44.0;29.6;;16.7;6.9;0.245;0.792
51;Type: One-parent family;2023;581.8;48.1;32.3;;16.2;5.7;0.242;0.791
52;Type: Couple, total;2011;4105.7;47.1;29.3;;84.9;3.1;0.257;0.732
53;Type: Couple, total;2012;4109.0;47.4;29.5;;70.1;3.6;0.257;0.751
54;Type: Couple, total;2013;4115.7;47.8;29.8;;50.4;3.9;0.257;0.786
55;Type: Couple, total;2014;4122.7;50.7;31.6;;50.3;3.7;0.277;0.784
56;Type: Couple, total;2015;4124.5;50.1;31.2;41.8;57.8;3.6;0.258;0.781
57;Type: Couple, total;2016;4129.1;52.4;32.6;;65.3;3.2;0.259;0.771
58;Type: Couple, total;2017;4139.4;54.5;33.9;;79.4;3.1;0.267;0.76
59;Type: Couple, total;2018;4157.1;55.9;34.1;;96.6;3.3;0.263;0.744
60;Type: Couple, total;2019;4174.2;60.6;36.9;;117.7;3.1;0.283;0.725
61;Type: Couple, total;2020;4196.8;61.4;37.3;43.5;137.9;2.9;0.264;0.714
62;Type: Couple, total;2021;4219.8;64.1;39.1;;172.2;2.6;0.264;0.68
63;Type: Couple, total;2022;4237.1;67.9;41.4;;242.7;2.2;0.263;0.649
64;Type: Couple, total;2023;4257.1;73.2;44.6;;247.5;2.2;0.264;0.653
65;Type: Couple, no children;2011;2108.5;40.8;29.8;;97.0;2.3;0.265;0.719
66;Type: Couple, no children;2012;2113.9;41.2;30.1;;87.4;2.7;0.265;0.73
67;Type: Couple, no children;2013;2125.1;41.3;30.2;;73.7;3.0;0.265;0.757
68;Type: Couple, no children;2014;2139.4;43.8;32.0;;75.3;2.8;0.285;0.754
69;Type: Couple, no children;2015;2147.9;43.0;31.4;38.4;84.0;2.7;0.264;0.749
70;Type: Couple, no children;2016;2159.3;44.5;32.6;;91.2;2.5;0.266;0.74
71;Type: Couple, no children;2017;2171.1;46.3;33.8;;104.1;2.6;0.278;0.733
72;Type: Couple, no children;2018;2191.0;47.0;33.6;;119.9;2.9;0.27;0.72
73;Type: Couple, no children;2019;2207.7;50.7;36.3;;138.7;2.7;0.274;0.706
74;Type: Couple, no children;2020;2227.5;51.0;36.4;38.4;156.7;2.6;0.254;0.701
75;Type: Couple, no children;2021;2255.4;53.1;38.1;;186.9;2.5;0.272;0.673
76;Type: Couple, no children;2022;2273.2;56.1;40.1;;250.7;1.9;0.272;0.651
77;Type: Couple, no children;2023;2280.3;60.6;43.4;;255.4;1.9;0.276;0.656
78;Type: Couple, with child(ren);2011;1997.2;53.7;28.7;;75.9;4.0;0.249;0.744
79;Type: Couple, with child(ren);2012;1995.1;54.0;28.9;;57.0;4.5;0.249;0.771
80;Type: Couple, with child(ren);2013;1990.7;54.7;29.3;;32.5;4.8;0.249;0.813
81;Type: Couple, with child(ren);2014;1983.3;58.2;31.1;;31.1;4.6;0.268;0.812
82;Type: Couple, with child(ren);2015;1976.6;57.9;31.0;45.5;37.5;4.5;0.251;0.812
83;Type: Couple, with child(ren);2016;1969.8;61.1;32.7;;45.2;4.0;0.251;0.803
84;Type: Couple, with child(ren);2017;1968.3;63.6;34.0;;59.8;3.8;0.256;0.788
85;Type: Couple, with child(ren);2018;1966.2;65.9;34.7;;78.1;3.8;0.253;0.769
86;Type: Couple, with child(ren);2019;1966.4;71.6;37.6;;101.1;3.4;0.291;0.745
87;Type: Couple, with child(ren);2020;1969.3;73.1;38.4;49.2;122.8;3.2;0.272;0.729
88;Type: Couple, with child(ren);2021;1964.3;76.6;40.3;;160.4;2.8;0.252;0.688
89;Type: Couple, with child(ren);2022;1963.9;81.5;42.8;;236.0;2.6;0.251;0.646
90;Type: Couple, with child(ren);2023;1976.8;87.6;46.0;;240.6;2.5;0.248;0.648
91;Type: Multi-person household, n.e.c.;2011;146.0;50.9;27.0;;28.9;5.3;0.269;0.79
92;Type: Multi-person household, n.e.c.;2012;143.9;50.2;26.8;;20.4;6.1;0.27;0.802
93;Type: Multi-person household, n.e.c.;2013;141.8;50.8;27.1;;12.3;6.3;0.269;0.824
94;Type: Multi-person household, n.e.c.;2014;141.1;53.1;28.3;;12.0;6.2;0.284;0.826
95;Type: Multi-person household, n.e.c.;2015;143.1;53.6;28.5;40.7;15.6;5.9;0.271;0.823
96;Type: Multi-person household, n.e.c.;2016;142.7;56.6;30.0;;18.4;5.6;0.272;0.82
97;Type: Multi-person household, n.e.c.;2017;148.4;60.1;31.7;;25.1;5.1;0.276;0.815
98;Type: Multi-person household, n.e.c.;2018;148.5;62.4;32.4;;36.7;4.9;0.271;0.808
99;Type: Multi-person household, n.e.c.;2019;148.6;67.1;34.8;;48.8;4.4;0.283;0.796
100;Type: Multi-person household, n.e.c.;2020;149.8;68.4;35.5;40.8;64.3;4.1;0.266;0.787
101;Type: Multi-person household, n.e.c.;2021;151.4;72.8;37.7;;88.3;3.7;0.273;0.764
102;Type: Multi-person household, n.e.c.;2022;150.0;76.7;39.7;;140.5;3.3;0.269;0.743
103;Type: Multi-person household, n.e.c.;2023;154.0;83.1;43.0;;143.4;3.3;0.267;0.749
104;Main earner: to 24 years;2011;384.5;13.6;11.6;;0.2;19.5;0.389;0.884
105;Main earner: to 24 years;2012;381.7;13.2;11.4;;0.2;22.5;0.395;0.877
106;Main earner: to 24 years;2013;378.8;13.2;11.4;;0.1;24.7;0.393;0.88
107;Main earner: to 24 years;2014;380.9;13.4;11.6;;0.2;23.5;0.401;0.881
108;Main earner: to 24 years;2015;387.8;13.6;11.8;21.8;0.4;21.8;0.399;0.881
109;Main earner: to 24 years;2016;378.3;14.1;12.2;;0.2;20.7;0.421;0.883
110;Main earner: to 24 years;2017;368.9;14.5;12.6;;0.1;21.0;0.429;0.88
111;Main earner: to 24 years;2018;367.0;14.8;12.8;;0.0;19.3;0.443;0.882
112;Main earner: to 24 years;2019;356.7;15.6;13.5;;0.0;17.9;0.452;0.879
113;Main earner: to 24 years;2020;346.5;16.3;14.1;23.9;0.0;15.7;0.457;0.888
114;Main earner: to 24 years;2021;345.8;17.5;15.0;;0.0;14.0;0.448;0.888
115;Main earner: to 24 years;2022;362.0;18.8;16.2;;0.0;11.3;0.439;0.912
116;Main earner: to 24 years;2023;371.7;20.8;18.0;;0.0;11.7;0.416;0.912
117;Main earner: 25 to 44 years;2011;2463.4;37.3;25.0;;5.2;8.6;0.266;0.836
118;Main earner: 25 to 44 years;2012;2444.9;37.1;25.0;;1.8;10.0;0.268;0.855
119;Main earner: 25 to 44 years;2013;2422.5;37.4;25.2;;0.0;11.3;0.267;0.869
120;Main earner: 25 to 44 years;2014;2393.5;38.9;26.2;;0.0;11.0;0.274;0.868
121;Main earner: 25 to 44 years;2015;2366.6;39.2;26.5;32.7;0.8;10.6;0.266;0.871
122;Main earner: 25 to 44 years;2016;2348.3;40.9;27.7;;1.7;10.0;0.266;0.868
123;Main earner: 25 to 44 years;2017;2345.7;41.9;28.4;;5.1;9.8;0.264;0.855
124;Main earner: 25 to 44 years;2018;2355.0;43.2;29.1;;10.5;9.4;0.263;0.836
125;Main earner: 25 to 44 years;2019;2376.3;45.6;30.7;;17.4;8.7;0.269;0.812
126;Main earner: 25 to 44 years;2020;2406.9;47.2;31.8;35.5;23.5;7.4;0.263;0.796
127;Main earner: 25 to 44 years;2021;2424.8;49.6;33.5;;35.2;6.9;0.264;0.768
128;Main earner: 25 to 44 years;2022;2464.6;52.6;35.6;;58.9;4.1;0.259;0.739
129;Main earner: 25 to 44 years;2023;2525.4;56.0;37.9;;47.0;4.3;0.257;0.753
130;Main earner: 45 to 64 years;2011;2794.6;43.8;29.2;;95.6;7.4;0.284;0.724
131;Main earner: 45 to 64 years;2012;2805.8;43.9;29.2;;79.4;8.3;0.284;0.742
132;Main earner: 45 to 64 years;2013;2818.7;44.3;29.5;;57.1;9.4;0.287;0.779
133;Main earner: 45 to 64 years;2014;2830.0;47.2;31.4;;55.0;9.2;0.307;0.783
134;Main earner: 45 to 64 years;2015;2860.2;46.6;31.0;38.5;58.3;9.4;0.29;0.781
135;Main earner: 45 to 64 years;2016;2892.3;48.6;32.3;;62.1;9.3;0.291;0.776
136;Main earner: 45 to 64 years;2017;2922.3;50.5;33.4;;71.2;9.4;0.299;0.773
137;Main earner: 45 to 64 years;2018;2935.7;51.9;33.7;;83.7;9.5;0.295;0.763
138;Main earner: 45 to 64 years;2019;2942.6;56.5;36.6;;100.4;9.1;0.318;0.749
139;Main earner: 45 to 64 years;2020;2942.8;57.0;36.9;39.9;116.8;8.5;0.298;0.742
140;Main earner: 45 to 64 years;2021;2938.4;59.8;38.8;;146.9;8.1;0.301;0.714
141;Main earner: 45 to 64 years;2022;2926.7;63.2;41.1;;209.2;5.5;0.296;0.691
142;Main earner: 45 to 64 years;2023;2924.4;68.1;44.2;;211.0;4.2;0.297;0.696
143;Main earner: 65 years or older;2011;1705.1;29.1;23.7;;97.5;2.3;0.241;0.701
144;Main earner: 65 years or older;2012;1779.8;30.0;24.5;;98.0;3.2;0.247;0.704
145;Main earner: 65 years or older;2013;1847.8;30.0;24.4;;93.4;3.6;0.242;0.722
146;Main earner: 65 years or older;2014;1892.1;31.8;25.8;;96.6;3.2;0.256;0.721
147;Main earner: 65 years or older;2015;1954.0;31.1;25.4;30.5;101.1;2.6;0.237;0.719
148;Main earner: 65 years or older;2016;2004.3;31.9;26.0;;106.2;2.5;0.239;0.717
149;Main earner: 65 years or older;2017;2057.9;33.2;27.0;;114.9;2.7;0.254;0.714
150;Main earner: 65 years or older;2018;2102.9;33.5;26.9;;128.0;3.0;0.242;0.708
151;Main earner: 65 years or older;2019;2151.8;36.0;28.8;;144.6;3.1;0.261;0.697
152;Main earner: 65 years or older;2020;2198.3;36.2;28.9;30.4;161.7;3.1;0.244;0.694
153;Main earner: 65 years or older;2021;2242.4;37.4;29.9;;189.8;2.7;0.24;0.671
154;Main earner: 65 years or older;2022;2288.2;39.5;31.7;;244.9;2.0;0.237;0.658
155;Main earner: 65 years or older;2023;2335.4;43.1;34.5;;251.3;2.2;0.244;0.651
156;Main earner: Dutch background;2011;5911.4;38.0;26.5;;52.2;4.8;0.275;0.752
157;Main earner: Dutch background;2012;5942.8;38.2;26.7;;42.7;5.5;0.275;0.767
158;Main earner: Dutch background;2013;5973.4;38.5;26.9;;30.9;6.1;0.275;0.796
159;Main earner: Dutch background;2014;5977.6;40.6;28.4;;31.3;5.8;0.291;0.794
160;Main earner: Dutch background;2015;6010.0;40.1;28.2;34.5;36.1;5.7;0.275;0.791
161;Main earner: Dutch background;2016;6021.1;41.8;29.3;;41.1;5.4;0.277;0.784
162;Main earner: Dutch background;2017;6039.3;43.3;30.4;;51.0;5.4;0.284;0.773
163;Main earner: Dutch background;2018;6046.7;44.4;30.7;;64.6;5.3;0.278;0.761
164;Main earner: Dutch background;2019;6055.0;47.8;33.0;;82.0;5.1;0.295;0.746
165;Main earner: Dutch background;2020;6059.6;48.5;33.5;36.3;99.2;4.5;0.278;0.736
166;Main earner: Dutch background;2021;;;;;;;;
167;Main earner: Dutch background;2022;;;;;;;;
168;Main earner: Dutch background;2023;;;;;;;;
169;Main earner: western background;2011;719.5;34.6;25.0;;12.2;9.2;0.32;0.825
170;Main earner: western background;2012;735.8;34.7;25.2;;8.7;10.6;0.325;0.839
171;Main earner: western background;2013;747.5;34.6;25.2;;4.9;11.7;0.324;0.857
172;Main earner: western background;2014;758.6;36.4;26.5;;4.8;11.1;0.336;0.858
173;Main earner: western background;2015;777.7;36.3;26.5;33.3;6.6;10.3;0.329;0.858
174;Main earner: western background;2016;792.6;37.5;27.4;;7.8;9.7;0.328;0.853
175;Main earner: western background;2017;809.9;38.7;28.3;;10.7;9.5;0.334;0.858
176;Main earner: western background;2018;833.7;39.4;28.4;;14.0;9.2;0.328;0.845
177;Main earner: western background;2019;858.1;42.2;30.3;;17.7;8.7;0.344;0.827
178;Main earner: western background;2020;884.0;42.9;30.9;34.2;20.9;8.0;0.334;0.822
179;Main earner: western background;2021;;;;;;;;
180;Main earner: western background;2022;;;;;;;;
181;Main earner: western background;2023;;;;;;;;
182;Main earner: non-western background;2011;716.6;26.9;18.3;;0.2;22.6;0.29;0.906
183;Main earner: non-western background;2012;733.6;27.0;18.4;;0.0;26.9;0.296;0.906
184;Main earner: non-western background;2013;747.0;27.3;18.6;;0.0;29.7;0.295;0.908
185;Main earner: non-western background;2014;760.2;28.5;19.4;;0.0;28.5;0.298;0.926
186;Main earner: non-western background;2015;780.9;29.2;19.9;28.5;0.1;26.7;0.295;0.905
187;Main earner: non-western background;2016;809.5;30.4;20.7;;0.2;25.9;0.297;0.908
188;Main earner: non-western background;2017;845.7;31.5;21.5;;0.6;25.7;0.297;0.908
189;Main earner: non-western background;2018;880.3;32.9;22.2;;0.8;24.8;0.296;0.901
190;Main earner: non-western background;2019;914.2;35.1;23.7;;1.0;22.8;0.302;0.891
191;Main earner: non-western background;2020;950.8;36.9;24.9;29.4;1.3;20.5;0.303;0.881
192;Main earner: non-western background;2021;;;;;;;;
193;Main earner: non-western background;2022;;;;;;;;
194;Main earner: non-western background;2023;;;;;;;;
195;Source: Income as employee;2011;3954.7;41.0;27.2;;22.9;2.7;0.24;0.754
196;Source: Income as employee;2012;3945.9;41.2;27.4;;15.4;3.0;0.241;0.775
197;Source: Income as employee;2013;3906.0;42.3;28.1;;6.9;3.1;0.243;0.803
198;Source: Income as employee;2014;3886.0;43.4;29.0;;7.4;2.9;0.243;0.8
199;Source: Income as employee;2015;3921.0;44.4;29.6;37.4;11.1;2.5;0.247;0.799
200;Source: Income as employee;2016;3960.2;45.9;30.6;;14.4;2.1;0.244;0.792
201;Source: Income as employee;2017;4020.1;46.6;31.1;;21.4;2.0;0.244;0.778
202;Source: Income as employee;2018;4111.1;47.6;31.4;;30.6;2.0;0.244;0.763
203;Source: Income as employee;2019;4177.5;49.6;32.8;;42.9;1.9;0.245;0.735
204;Source: Income as employee;2020;4193.4;52.1;34.4;38.8;56.7;1.7;0.242;0.722
205;Source: Income as employee;2021;4220.7;54.6;36.1;;78.9;1.5;0.245;0.695
206;Source: Income as employee;2022;4311.5;57.3;37.9;;125.5;1.2;0.243;0.665
207;Source: Income as employee;2023;4371.5;61.4;40.7;;121.1;1.2;0.236;0.672
208;Source: Income as self-employed (total);2011;613.6;56.6;35.9;;159.5;10.6;0.388;0.755
209;Source: Income as self-employed (total);2012;617.0;56.1;35.6;;136.7;11.8;0.395;0.771
210;Source: Income as self-employed (total);2013;619.7;54.2;34.4;;110.2;12.3;0.383;0.801
211;Source: Income as self-employed (total);2014;636.5;62.7;39.9;;104.9;11.0;0.423;0.8
212;Source: Income as self-employed (total);2015;657.3;56.1;35.9;43.4;109.3;10.5;0.364;0.803
213;Source: Income as self-employed (total);2016;677.2;60.6;38.7;;118.7;9.2;0.363;0.796
214;Source: Income as self-employed (total);2017;686.8;63.3;40.3;;134.8;8.6;0.36;0.781
215;Source: Income as self-employed (total);2018;713.8;66.8;42.1;;158.9;7.9;0.366;0.778
216;Source: Income as self-employed (total);2019;735.1;77.4;48.9;;179.8;7.5;0.422;0.77
217;Source: Income as self-employed (total);2020;716.6;74.5;47.1;45.7;209.8;6.2;0.369;0.765
218;Source: Income as self-employed (total);2021;751.8;76.2;48.3;;240.9;6.1;0.359;0.741
219;Source: Income as self-employed (total);2022;796.6;79.0;50.4;;300.8;6.1;0.364;0.734
220;Source: Income as self-employed (total);2023;815.9;83.2;53.3;;304.7;7.3;0.381;0.735
221;Source: Transfer income;2011;2779.3;26.0;21.0;;32.7;12.1;0.278;0.758
222;Source: Transfer income;2012;2849.3;26.4;21.3;;30.9;14.0;0.282;0.764
223;Source: Transfer income;2013;2942.1;26.3;21.2;;26.3;15.9;0.281;0.782
224;Source: Transfer income;2014;2973.8;28.0;22.5;;25.9;15.5;0.3;0.789
225;Source: Transfer income;2015;2990.2;27.1;21.9;27.2;28.4;15.3;0.276;0.781
226;Source: Transfer income;2016;2985.9;27.9;22.6;;28.9;15.3;0.278;0.777
227;Source: Transfer income;2017;2988.0;29.7;24.0;;33.5;15.7;0.298;0.781
228;Source: Transfer income;2018;2935.8;29.5;23.7;;39.6;15.9;0.276;0.766
229;Source: Transfer income;2019;2914.8;32.1;25.6;;48.1;15.2;0.298;0.758
230;Source: Transfer income;2020;2984.5;31.7;25.4;27.7;53.0;13.9;0.278;0.755
231;Source: Transfer income;2021;2978.9;32.9;26.5;;69.6;13.1;0.276;0.735
232;Source: Transfer income;2022;2933.4;34.8;28.1;;100.6;7.9;0.265;0.722
233;Source: Transfer income;2023;2969.5;37.9;30.6;;104.4;6.6;0.276;0.721
234;Source: Income insurance benefit;2011;2329.3;28.4;22.9;;77.6;5.0;0.251;0.716
235;Source: Income insurance benefit;2012;2381.1;29.0;23.4;;73.6;6.0;0.254;0.722
236;Source: Income insurance benefit;2013;2437.2;28.9;23.3;;65.9;7.0;0.252;0.741
237;Source: Income insurance benefit;2014;2452.1;31.0;24.8;;68.2;6.5;0.273;0.748
238;Source: Income insurance benefit;2015;2455.9;29.9;24.2;29.4;72.9;5.8;0.248;0.738
239;Source: Income insurance benefit;2016;2458.3;30.7;24.9;;78.4;5.5;0.252;0.734
240;Source: Income insurance benefit;2017;2472.4;32.7;26.3;;88.6;5.6;0.278;0.74
241;Source: Income insurance benefit;2018;2451.6;32.2;25.8;;100.1;5.9;0.256;0.724
242;Source: Income insurance benefit;2019;2457.0;35.0;27.9;;115.7;5.7;0.282;0.717
243;Source: Income insurance benefit;2020;2498.5;34.5;27.6;29.3;129.5;5.5;0.258;0.712
244;Source: Income insurance benefit;2021;2516.8;35.7;28.7;;156.5;5.1;0.258;0.691
245;Source: Income insurance benefit;2022;2496.1;37.5;30.3;;211.8;3.2;0.249;0.677
246;Source: Income insurance benefit;2023;2517.6;41.0;33.1;;218.0;3.2;0.257;0.674
247;Source: Unemployment benefit;2011;82.1;23.3;17.7;;5.6;18.1;0.224;0.791
248;Source: Unemployment benefit;2012;95.8;23.2;17.7;;3.1;19.8;0.224;0.806
249;Source: Unemployment benefit;2013;121.1;23.8;18.1;;1.6;20.6;0.222;0.823
250;Source: Unemployment benefit;2014;127.1;24.3;18.5;;2.2;19.6;0.222;0.813
251;Source: Unemployment benefit;2015;112.3;24.9;19.0;26.5;5.1;17.8;0.224;0.795
252;Source: Unemployment benefit;2016;95.1;25.3;19.6;;8.8;16.9;0.228;0.78
253;Source: Unemployment benefit;2017;77.4;25.9;20.1;;13.6;16.2;0.235;0.768
254;Source: Unemployment benefit;2018;60.7;26.7;20.7;;24.7;16.2;0.234;0.742
255;Source: Unemployment benefit;2019;51.6;27.4;21.4;;28.7;16.1;0.243;0.741
256;Source: Unemployment benefit;2020;56.7;26.9;21.1;25.3;15.5;17.4;0.241;0.766
257;Source: Unemployment benefit;2021;45.9;26.7;21.1;;14.9;16.7;0.242;0.762
258;Source: Unemployment benefit;2022;30.5;29.0;23.0;;38.1;11.8;0.232;0.718
259;Source: Unemployment benefit;2023;30.4;30.7;24.5;;17.3;11.8;0.238;0.748
260;Source: Sickness/Disability benefit;2011;260.2;23.2;17.8;;4.1;16.9;0.189;0.805
261;Source: Sickness/Disability benefit;2012;261.1;23.3;17.9;;3.1;19.1;0.19;0.816
262;Source: Sickness/Disability benefit;2013;263.9;23.6;18.0;;2.0;21.6;0.193;0.834
263;Source: Sickness/Disability benefit;2014;260.0;24.1;18.4;;1.7;21.0;0.19;0.895
264;Source: Sickness/Disability benefit;2015;258.9;24.3;18.6;21.7;2.2;20.7;0.186;0.835
265;Source: Sickness/Disability benefit;2016;259.9;24.8;19.0;;2.1;19.5;0.186;0.834
266;Source: Sickness/Disability benefit;2017;263.4;25.2;19.5;;2.6;19.9;0.19;0.831
267;Source: Sickness/Disability benefit;2018;266.1;25.6;19.7;;3.1;20.4;0.189;0.828
268;Source: Sickness/Disability benefit;2019;267.9;26.5;20.5;;3.6;19.6;0.192;0.818
269;Source: Sickness/Disability benefit;2020;272.8;27.4;21.1;24.9;4.3;18.3;0.194;0.814
270;Source: Sickness/Disability benefit;2021;269.3;27.9;21.6;;5.6;18.7;0.194;0.799
271;Source: Sickness/Disability benefit;2022;264.7;29.3;23.0;;7.0;9.1;0.182;0.783
272;Source: Sickness/Disability benefit;2023;274.6;32.4;25.3;;7.9;8.2;0.183;0.781
273;Source: Old-age/survivors pension;2011;1987.1;29.3;23.8;;111.4;3.0;0.252;0.696
274;Source: Old-age/survivors pension;2012;2024.2;30.0;24.4;;106.4;3.7;0.255;0.701
275;Source: Old-age/survivors pension;2013;2052.2;29.9;24.3;;97.7;4.3;0.253;0.719
276;Source: Old-age/survivors pension;2014;2065.0;32.2;26.0;;99.7;3.9;0.277;0.722
277;Source: Old-age/survivors pension;2015;2084.7;30.8;25.2;30.5;103.3;3.3;0.249;0.718
278;Source: Old-age/survivors pension;2016;2103.3;31.7;25.8;;108.6;3.3;0.253;0.714
279;Source: Old-age/survivors pension;2017;2131.6;33.8;27.4;;119.0;3.5;0.282;0.723
280;Source: Old-age/survivors pension;2018;2124.8;33.2;26.7;;131.6;3.8;0.258;0.706
281;Source: Old-age/survivors pension;2019;2137.6;36.2;29.0;;149.4;3.7;0.285;0.699
282;Source: Old-age/survivors pension;2020;2168.9;35.7;28.6;30.0;166.1;3.6;0.258;0.693
283;Source: Old-age/survivors pension;2021;2201.7;36.8;29.7;;194.1;3.2;0.258;0.672
284;Source: Old-age/survivors pension;2022;2200.8;38.6;31.3;;250.7;2.4;0.25;0.66
285;Source: Old-age/survivors pension;2023;2212.6;42.2;34.1;;257.6;2.5;0.26;0.655
286;Source: Social provisions benefit;2011;351.2;15.7;12.5;;0.2;61.5;0.135;0.93
287;Source: Social provisions benefit;2012;367.8;15.8;12.6;;0.2;68.7;0.133;0.926
288;Source: Social provisions benefit;2013;398.7;15.8;12.6;;0.2;73.8;0.133;0.926
289;Source: Social provisions benefit;2014;409.4;16.5;13.1;;0.0;72.8;0.126;0.918
290;Source: Social provisions benefit;2015;422.0;16.8;13.4;17.0;0.2;73.7;0.121;0.916
291;Source: Social provisions benefit;2016;435.9;16.9;13.6;;0.2;73.1;0.115;0.918
292;Source: Social provisions benefit;2017;447.1;17.2;13.9;;0.3;73.9;0.112;0.922
293;Source: Social provisions benefit;2018;429.9;17.5;14.0;;0.4;75.1;0.108;0.924
294;Source: Social provisions benefit;2019;412.4;18.1;14.6;;0.5;73.7;0.106;0.925
295;Source: Social provisions benefit;2020;438.3;18.6;14.9;19.1;0.6;64.0;0.118;0.928
296;Source: Social provisions benefit;2021;420.9;19.2;15.4;;0.8;63.5;0.112;0.925
297;Source: Social provisions benefit;2022;418.3;19.8;16.2;;0.8;39.2;0.148;0.927
298;Source: Social provisions benefit;2023;412.9;21.8;17.8;;1.0;28.6;0.144;0.951
299;Source: Student grant;2011;98.8;5.5;5.0;;0.2;;0.346;0.857
300;Source: Student grant;2012;100.3;5.3;4.8;;0.2;;0.355;0.851
301;Source: Student grant;2013;106.2;5.6;5.1;;0.1;;0.343;0.859
