ID;Geslacht;Studierichting;Perioden;Promoties_1
174;Mannen;09 Gezondheidszorg en welzijn;2022/'23;783
175;Mannen;09 Gezondheidszorg en welzijn;2023/'24;792
176;Mannen;10 Dienstverlening;2016/'17;0
177;Mannen;10 Dienstverlening;2017/'18;0
178;Mannen;10 Dienstverlening;2018/'19;0
179;Mannen;10 Dienstverlening;2019/'20;0
180;Mannen;10 Dienstverlening;2020/'21;0
181;Mannen;10 Dienstverlening;2021/'22;0
182;Mannen;10 Dienstverlening;2022/'23;0
183;Mannen;10 Dienstverlening;2023/'24;0
184;Mannen;Onderwijsrichting onbekend;2016/'17;2
185;Mannen;Onderwijsrichting onbekend;2017/'18;0
186;Mannen;Onderwijsrichting onbekend;2018/'19;1
187;Mannen;Onderwijsrichting onbekend;2019/'20;1
188;Mannen;Onderwijsrichting onbekend;2020/'21;0
189;Mannen;Onderwijsrichting onbekend;2021/'22;0
190;Mannen;Onderwijsrichting onbekend;2022/'23;0
191;Mannen;Onderwijsrichting onbekend;2023/'24;0
192;Vrouwen;Totaal;2016/'17;2274
193;Vrouwen;Totaal;2017/'18;2300
194;Vrouwen;Totaal;2018/'19;2350
195;Vrouwen;Totaal;2019/'20;2218
196;Vrouwen;Totaal;2020/'21;2612
197;Vrouwen;Totaal;2021/'22;2486
198;Vrouwen;Totaal;2022/'23;2651
199;Vrouwen;Totaal;2023/'24;2903
200;Vrouwen;01 Onderwijs;2016/'17;58
201;Vrouwen;01 Onderwijs;2017/'18;41
202;Vrouwen;01 Onderwijs;2018/'19;42
203;Vrouwen;01 Onderwijs;2019/'20;31
204;Vrouwen;01 Onderwijs;2020/'21;47
205;Vrouwen;01 Onderwijs;2021/'22;40
206;Vrouwen;01 Onderwijs;2022/'23;54
207;Vrouwen;01 Onderwijs;2023/'24;43
208;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2016/'17;169
209;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2017/'18;177
210;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2018/'19;153
211;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2019/'20;168
212;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2020/'21;150
213;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2021/'22;176
214;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2022/'23;164
215;Vrouwen;02 Vormgeving, kunst, talen en gesch...;2023/'24;151
216;Vrouwen;03 Journalistiek, gedrag en maatschappij;2016/'17;252
217;Vrouwen;03 Journalistiek, gedrag en maatschappij;2017/'18;261
218;Vrouwen;03 Journalistiek, gedrag en maatschappij;2018/'19;265
219;Vrouwen;03 Journalistiek, gedrag en maatschappij;2019/'20;269
220;Vrouwen;03 Journalistiek, gedrag en maatschappij;2020/'21;274
221;Vrouwen;03 Journalistiek, gedrag en maatschappij;2021/'22;252
222;Vrouwen;03 Journalistiek, gedrag en maatschappij;2022/'23;201
223;Vrouwen;03 Journalistiek, gedrag en maatschappij;2023/'24;222
224;Vrouwen;04 Recht, administratie, handel en za...;2016/'17;168
225;Vrouwen;04 Recht, administratie, handel en za...;2017/'18;189
226;Vrouwen;04 Recht, administratie, handel en za...;2018/'19;143
227;Vrouwen;04 Recht, administratie, handel en za...;2019/'20;172
228;Vrouwen;04 Recht, administratie, handel en za...;2020/'21;214
229;Vrouwen;04 Recht, administratie, handel en za...;2021/'22;151
230;Vrouwen;04 Recht, administratie, handel en za...;2022/'23;177
231;Vrouwen;04 Recht, administratie, handel en za...;2023/'24;198
232;Vrouwen;05 Wiskunde, natuurwetenschappen;2016/'17;279
233;Vrouwen;05 Wiskunde, natuurwetenschappen;2017/'18;300
234;Vrouwen;05 Wiskunde, natuurwetenschappen;2018/'19;326
235;Vrouwen;05 Wiskunde, natuurwetenschappen;2019/'20;290
236;Vrouwen;05 Wiskunde, natuurwetenschappen;2020/'21;348
237;Vrouwen;05 Wiskunde, natuurwetenschappen;2021/'22;329
238;Vrouwen;05 Wiskunde, natuurwetenschappen;2022/'23;368
239;Vrouwen;05 Wiskunde, natuurwetenschappen;2023/'24;409
240;Vrouwen;06 Informatica;2016/'17;21
241;Vrouwen;06 Informatica;2017/'18;14
242;Vrouwen;06 Informatica;2018/'19;26
243;Vrouwen;06 Informatica;2019/'20;22
244;Vrouwen;06 Informatica;2020/'21;28
245;Vrouwen;06 Informatica;2021/'22;17
246;Vrouwen;06 Informatica;2022/'23;32
247;Vrouwen;06 Informatica;2023/'24;67
248;Vrouwen;07 Techniek, industrie en bouwkunde;2016/'17;152
249;Vrouwen;07 Techniek, industrie en bouwkunde;2017/'18;142
250;Vrouwen;07 Techniek, industrie en bouwkunde;2018/'19;196
251;Vrouwen;07 Techniek, industrie en bouwkunde;2019/'20;156
252;Vrouwen;07 Techniek, industrie en bouwkunde;2020/'21;188
253;Vrouwen;07 Techniek, industrie en bouwkunde;2021/'22;131
254;Vrouwen;07 Techniek, industrie en bouwkunde;2022/'23;139
255;Vrouwen;07 Techniek, industrie en bouwkunde;2023/'24;172
256;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2016/'17;176
257;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2017/'18;153
258;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2018/'19;150
259;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2019/'20;160
260;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2020/'21;168
261;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2021/'22;169
262;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2022/'23;191
263;Vrouwen;08 Landbouw, diergeneeskunde en -verz...;2023/'24;226
264;Vrouwen;09 Gezondheidszorg en welzijn;2016/'17;999
265;Vrouwen;09 Gezondheidszorg en welzijn;2017/'18;1023
266;Vrouwen;09 Gezondheidszorg en welzijn;2018/'19;1049
267;Vrouwen;09 Gezondheidszorg en welzijn;2019/'20;946
268;Vrouwen;09 Gezondheidszorg en welzijn;2020/'21;1195
269;Vrouwen;09 Gezondheidszorg en welzijn;2021/'22;1219
270;Vrouwen;09 Gezondheidszorg en welzijn;2022/'23;1325
271;Vrouwen;09 Gezondheidszorg en welzijn;2023/'24;1414
272;Vrouwen;10 Dienstverlening;2016/'17;0
273;Vrouwen;10 Dienstverlening;2017/'18;0
274;Vrouwen;10 Dienstverlening;2018/'19;0
275;Vrouwen;10 Dienstverlening;2019/'20;0
276;Vrouwen;10 Dienstverlening;2020/'21;0
277;Vrouwen;10 Dienstverlening;2021/'22;0
278;Vrouwen;10 Dienstverlening;2022/'23;0
279;Vrouwen;10 Dienstverlening;2023/'24;0
280;Vrouwen;Onderwijsrichting onbekend;2016/'17;0
281;Vrouwen;Onderwijsrichting onbekend;2017/'18;0
282;Vrouwen;Onderwijsrichting onbekend;2018/'19;0
283;Vrouwen;Onderwijsrichting onbekend;2019/'20;4
284;Vrouwen;Onderwijsrichting onbekend;2020/'21;0
285;Vrouwen;Onderwijsrichting onbekend;2021/'22;2
286;Vrouwen;Onderwijsrichting onbekend;2022/'23;0
287;Vrouwen;Onderwijsrichting onbekend;2023/'24;0
