ID;Geslacht;Onderwijssoort;SoortDiploma;Opleidingsvorm;Migratieachtergrond;Perioden;Gediplomeerden_1
64;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2009/'10;39.0
65;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2010/'11;68.0
66;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2011/'12;74.0
67;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2012/'13;83.0
68;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2013/'14;75.0
69;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2014/'15;105.0
70;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2015/'16;123.0
71;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2016/'17;110.0
72;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2017/'18;136.0
73;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2018/'19;165.0
74;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2019/'20;187.0
75;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2020/'21;234.0
76;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2002/'03;0.0
77;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2003/'04;0.0
78;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2004/'05;0.0
79;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2005/'06;0.0
80;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2006/'07;0.0
81;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2007/'08;12.0
82;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2008/'09;49.0
83;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2009/'10;56.0
84;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2010/'11;69.0
85;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2011/'12;75.0
86;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2012/'13;100.0
87;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2013/'14;168.0
88;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2014/'15;208.0
89;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2015/'16;259.0
90;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2016/'17;251.0
91;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2017/'18;347.0
92;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2018/'19;315.0
93;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2019/'20;476.0
94;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2020/'21;555.0
95;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2002/'03;0.0
96;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2003/'04;0.0
97;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2004/'05;0.0
98;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2005/'06;0.0
99;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2006/'07;0.0
100;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2007/'08;3.0
101;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2008/'09;8.0
102;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2009/'10;13.0
103;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2010/'11;19.0
104;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2011/'12;18.0
105;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2012/'13;15.0
106;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2013/'14;21.0
107;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2014/'15;32.0
108;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2015/'16;31.0
109;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2016/'17;44.0
110;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2017/'18;71.0
111;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2018/'19;45.0
112;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2019/'20;91.0
113;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2020/'21;106.0
114;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2002/'03;0.0
115;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2003/'04;0.0
116;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2004/'05;0.0
117;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2005/'06;0.0
118;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2006/'07;0.0
119;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2007/'08;2.0
120;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2008/'09;9.0
121;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2009/'10;5.0
122;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2010/'11;13.0
123;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2011/'12;11.0
124;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2012/'13;18.0
125;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2013/'14;29.0
126;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2014/'15;34.0
127;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2015/'16;36.0
128;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2016/'17;27.0
129;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2017/'18;44.0
130;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2018/'19;46.0
131;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2019/'20;63.0
132;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2020/'21;76.0
133;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2002/'03;0.0
134;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2003/'04;0.0
135;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2004/'05;0.0
136;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2005/'06;0.0
137;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2006/'07;0.0
138;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2007/'08;1.0
139;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2008/'09;13.0
140;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2009/'10;14.0
141;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2010/'11;15.0
142;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2011/'12;18.0
143;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2012/'13;25.0
144;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2013/'14;43.0
145;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2014/'15;65.0
146;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2015/'16;77.0
147;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2016/'17;69.0
148;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2017/'18;89.0
149;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2018/'19;93.0
150;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2019/'20;114.0
151;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2020/'21;121.0
152;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2002/'03;0.0
153;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2003/'04;0.0
154;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2004/'05;0.0
155;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2005/'06;0.0
156;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2006/'07;0.0
157;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2007/'08;2.0
158;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2008/'09;5.0
159;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2009/'10;7.0
160;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2010/'11;5.0
161;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2011/'12;4.0
162;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2012/'13;9.0
163;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2013/'14;21.0
164;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2014/'15;38.0
165;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2015/'16;38.0
166;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2016/'17;33.0
167;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2017/'18;49.0
168;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2018/'19;33.0
169;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2019/'20;56.0
170;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2020/'21;60.0
171;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2002/'03;0.0
172;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2003/'04;0.0
173;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2004/'05;0.0
174;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2005/'06;0.0
175;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2006/'07;0.0
176;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2007/'08;4.0
177;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2008/'09;14.0
178;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2009/'10;17.0
179;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2010/'11;17.0
180;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2011/'12;24.0
181;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2012/'13;33.0
182;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2013/'14;54.0
183;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2014/'15;39.0
184;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2015/'16;77.0
185;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2016/'17;78.0
186;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2017/'18;94.0
187;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2018/'19;98.0
188;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2019/'20;152.0
189;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2020/'21;192.0
190;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2002/'03;0.0
191;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2003/'04;0.0
192;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2004/'05;0.0
193;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2005/'06;0.0
194;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2006/'07;0.0
195;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2007/'08;0.0
196;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2008/'09;3.0
197;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2009/'10;1.0
198;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2010/'11;3.0
199;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2011/'12;5.0
200;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2012/'13;0.0
201;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2013/'14;0.0
202;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2014/'15;0.0
203;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2015/'16;0.0
204;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2016/'17;0.0
205;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2017/'18;0.0
206;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2018/'19;0.0
207;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2019/'20;0.0
