ID;Energiedragers;Perioden;EnergieverbruikInDeSectorHuishoudens_1
159;4;2008;1.17
160;4;2009;1.18
161;4;2010;1.36
162;4;2011;1.09
163;4;2012;1.19
164;4;2013;1.28
165;4;2014;0.97
166;4;2015;0.97
167;4;2016;0.97
168;5;1975;8.92
169;5;1976;9.9
170;5;1977;10.86
171;5;1978;9.98
172;5;1979;9.03
173;5;1980;6.1
174;5;1981;5.1
175;5;1982;4.05
176;5;1983;4.0
177;5;1984;1.27
178;5;1985;1.4
179;5;1986;1.4
180;5;1987;1.29
181;5;1988;1.16
182;5;1989;1.14
183;5;1990;1.03
184;5;1991;0.95
185;5;1992;0.88
186;5;1993;0.91
187;5;1994;0.69
188;5;1995;0.69
189;5;1996;0.8
190;5;1997;0.6
191;5;1998;0.57
192;5;1999;0.54
193;5;2000;0.5
194;5;2001;0.47
195;5;2002;0.44
196;5;2003;0.41
197;5;2004;0.37
198;5;2005;0.34
199;5;2006;0.31
200;5;2007;0.3
201;5;2008;0.3
202;5;2009;0.29
203;5;2010;0.29
204;5;2011;0.28
205;5;2012;0.27
206;5;2013;0.27
207;5;2014;0.26
208;5;2015;0.26
209;5;2016;0.26
210;6;1975;38.85
211;6;1976;40.97
212;6;1977;42.78
213;6;1978;36.95
214;6;1979;35.93
215;6;1980;28.9
216;6;1981;31.08
217;6;1982;25.65
218;6;1983;23.14
219;6;1984;14.73
220;6;1985;11.6
221;6;1986;11.2
222;6;1987;9.82
223;6;1988;7.69
224;6;1989;7.26
225;6;1990;7.05
226;6;1991;6.83
227;6;1992;6.34
228;6;1993;6.75
229;6;1994;6.17
230;6;1995;4.06
231;6;1996;2.99
232;6;1997;2.29
233;6;1998;2.07
234;6;1999;1.85
235;6;2000;1.63
236;6;2001;1.41
237;6;2002;1.19
238;6;2003;0.97
239;6;2004;0.74
240;6;2005;0.52
241;6;2006;0.3
242;6;2007;0.3
243;6;2008;0.3
244;6;2009;0.3
245;6;2010;0.3
246;6;2011;0.3
247;6;2012;0.3
248;6;2013;0.3
249;6;2014;0.3
250;6;2015;0.3
251;6;2016;0.3
252;7;1975;339.32
253;7;1976;331.5
254;7;1977;378.8
255;7;1978;415.16
256;7;1979;457.74
257;7;1980;412.98
258;7;1981;403.6
259;7;1982;373.47
260;7;1983;367.14
261;7;1984;373.47
262;7;1985;411.45
263;7;1986;392.46
264;7;1987;389.3
265;7;1988;332.32
266;7;1989;329.16
267;7;1990;350.28
268;7;1991;405.17
269;7;1992;372.33
270;7;1993;391.38
271;7;1994;366.75
272;7;1995;402.39
273;7;1996;471.22
274;7;1997;395.33
275;7;1998;375.91
276;7;1999;356.57
277;7;2000;356.2
278;7;2001;378.59
279;7;2002;365.33
280;7;2003;374.15
281;7;2004;357.65
282;7;2005;343.9
283;7;2006;346.63
284;7;2007;309.54
285;7;2008;350.71
286;7;2009;349.24
287;7;2010;406.7
288;7;2011;315.95
289;7;2012;337.88
290;7;2013;358.93
291;7;2014;267.68
292;7;2015;285.26
293;7;2016;297.23
294;8;1975;44.79
295;8;1976;48.66
296;8;1977;49.1
297;8;1978;50.66
298;8;1979;54.08
299;8;1980;56.29
300;8;1981;55.6
301;8;1982;53.98
302;8;1983;54.0
303;8;1984;54.0
304;8;1985;54.36
305;8;1986;54.72
306;8;1987;55.08
307;8;1988;55.8
308;8;1989;57.6
309;8;1990;56.43
310;8;1991;58.48
311;8;1992;59.85
312;8;1993;61.21
313;8;1994;63.27
314;8;1995;65.11
315;8;1996;66.1
316;8;1997;67.42
317;8;1998;68.75
318;8;1999;70.57
319;8;2000;72.07
320;8;2001;73.08
321;8;2002;75.4
322;8;2003;77.1
323;8;2004;77.47
324;8;2005;78.47
325;8;2006;79.49
326;8;2007;80.16
327;8;2008;81.0
328;8;2009;82.34
329;8;2010;82.78
330;8;2011;82.96
331;8;2012;84.32
332;8;2013;84.43
333;8;2014;82.43
334;8;2015;81.66
335;8;2016;81.67
336;9;1975;
337;9;1976;
338;9;1977;
339;9;1978;
340;9;1979;
341;9;1980;
342;9;1981;
343;9;1982;
344;9;1983;
345;9;1984;
346;9;1985;
347;9;1986;
348;9;1987;
349;9;1988;
350;9;1989;
351;9;1990;4.7
352;9;1991;4.73
353;9;1992;6.02
354;9;1993;6.63
355;9;1994;6.7
356;9;1995;6.14
357;9;1996;7.72
358;9;1997;6.8
359;9;1998;6.87
360;9;1999;6.84
361;9;2000;7.14
362;9;2001;8.24
363;9;2002;8.12
364;9;2003;8.85
365;9;2004;9.09
366;9;2005;8.81
367;9;2006;8.82
368;9;2007;8.65
369;9;2008;9.85
370;9;2009;10.02
371;9;2010;12.17
372;9;2011;10.46
373;9;2012;12.11
374;9;2013;13.62
375;9;2014;10.92
376;9;2015;12.08
377;9;2016;12.27
