ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;TotaalVoorkomenOverlast_1;RommelOpStraat_2;StraatmeubilairDatVernieldIs_3;BekladdeMurenOfGebouwen_4;DierenpoepOpStraat_5;EenOfMeerVormenFysiekeVerloedering_6;DronkenMensenOpStraat_7;DrugsgebruikOfDrugshandel_8;MensenWordenOpStraatLastiggevallen_9;RondhangendeJongeren_10;EenOfMeerVormenVanSocialeOverlast_11;TeHardRijden_12;Parkeerproblemen_13;AgressiefGedragInVerkeer_14;EenOfMeerVormenVanVerkeersoverlast_15;HinderVanHorecagelegenheden_16;OverlastDoorBuurtbewoners_17;TotaalErvarenOverlast_18;RommelOpStraat_19;StraatmeubilairDatVernieldIs_20;BekladdeMurenOfGebouwen_21;DierenpoepOpDeStraat_22;EenOfMeerVormenFysiekeVerloedering_23;DronkenMensenOpStraat_24;DrugsgebruikOfDrugshandel_25;MensenWordenOpStraatLastiggevallen_26;RondhangendeJongeren_27;EenOfMeerVormenVanSocialeOverlast_28;TeHardRijden_29;Parkeerproblemen_30;AgressiefGedragInVerkeer_31;EenOfMeerVormenVanVerkeersoverlast_32;HinderVanHorecagelegenheden_33;OverlastDoorBuurtbewoners_34
20;Totaal personen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;4.6;3.4;1.1;1.0;4.1;4.4;1.7;1.4;1.3;2.0;2.4;4.0;3.0;1.2;4.2;1.6;1.8;3.8;1.8;;;3.0;3.1;1.2;1.0;0.9;1.2;1.6;2.8;2.1;0.9;3.1;1.3;1.3
21;Totaal personen;Betrouwbaarheidsmarge;Saba;2013;6.2;7.1;3.8;;8.0;8.0;7.1;6.0;4.2;5.9;7.9;7.8;7.7;6.6;7.3;5.4;5.5;8.1;3.2;;;6.1;6.4;4.8;3.5;;3.3;6.1;7.1;5.7;4.5;7.8;3.0;4.1
22;Totaal personen;Betrouwbaarheidsmarge;Saba;2017/2018;4.6;5.5;2.3;;5.7;6.2;5.0;3.5;2.3;4.3;5.8;5.9;5.3;3.6;5.6;2.9;3.5;6.2;3.1;;;4.2;4.7;2.0;2.2;;;3.0;5.5;4.4;2.4;5.9;2.4;2.6
23;Totaal personen;Betrouwbaarheidsmarge;Saba;2021;4.3;5.4;1.5;;4.8;5.8;4.3;2.8;1.5;4.5;5.4;5.6;5.9;4.1;4.7;2.6;3.9;5.9;3.9;;;2.6;4.1;2.8;1.6;;1.5;3.1;5.3;5.2;2.8;5.8;1.8;2.2
24;Geslacht: Mannen;Percentage;Caribisch Nederland;2013;78.6;22.4;7.8;8.0;44.2;54.5;18.2;11.9;5.2;16.9;31.4;46.9;13.3;11.4;53.1;4.8;9.8;37.4;6.8;2.2;2.1;15.0;18.6;3.5;4.2;1.5;5.2;9.4;19.4;4.4;3.3;22.8;2.1;3.3
25;Geslacht: Mannen;Percentage;Caribisch Nederland;2017/2018;64.0;21.3;5.0;2.3;25.9;37.7;18.1;10.8;2.7;10.4;26.3;43.7;11.3;11.9;48.1;3.9;4.6;30.1;6.7;2.5;;7.7;13.1;2.8;3.5;1.7;2.8;7.0;18.6;5.2;6.3;22.1;1.9;2.6
26;Geslacht: Mannen;Percentage;Caribisch Nederland;2021;60.9;18.4;3.0;1.3;23.7;33.6;12.3;4.6;2.6;9.7;18.3;41.0;18.4;8.7;46.3;5.1;5.5;28.6;6.6;;;6.7;10.8;3.7;1.1;1.4;1.7;5.4;17.1;9.1;4.0;22.5;2.1;2.6
27;Geslacht: Mannen;Percentage;Bonaire;2013;77.7;18.1;8.1;8.2;37.2;49.4;20.9;13.6;5.3;17.3;33.4;49.3;9.9;12.2;54.2;3.0;7.3;32.1;4.2;1.5;2.1;8.9;11.6;3.4;4.6;1.2;6.2;9.5;19.4;2.6;3.4;21.7;1.8;2.3
28;Geslacht: Mannen;Percentage;Bonaire;2017/2018;68.0;20.8;5.8;3.2;26.1;38.1;22.3;12.3;3.2;10.8;29.5;48.0;8.0;14.5;51.0;4.6;5.0;31.3;6.7;3.1;;5.5;11.1;3.6;3.7;2.1;3.1;8.2;21.2;3.6;8.4;23.3;2.2;2.8
29;Geslacht: Mannen;Percentage;Bonaire;2021;59.4;15.7;3.8;1.8;22.2;29.7;16.2;6.5;3.6;10.0;21.9;40.9;11.5;9.7;43.4;6.1;5.7;25.9;5.4;;;4.7;8.1;4.3;0.9;2.3;1.8;6.0;18.4;4.3;4.3;21.0;2.0;2.8
30;Geslacht: Mannen;Percentage;Sint-Eustatius;2013;81.4;40.5;8.4;10.7;72.4;76.0;;;;14.2;17.2;33.5;16.3;4.9;42.7;5.4;18.3;53.8;18.6;5.4;;40.9;48.6;;;;;;17.3;7.7;;22.3;;5.2
31;Geslacht: Mannen;Percentage;Sint-Eustatius;2017/2018;41.6;18.8;4.6;;27.1;33.9;3.2;7.5;;6.6;11.6;20.3;12.4;5.5;25.3;2.0;2.3;19.5;6.8;2.0;;12.1;16.5;;3.1;;2.7;3.7;7.0;4.1;2.2;10.6;;
32;Geslacht: Mannen;Percentage;Sint-Eustatius;2021;49.1;15.7;;;28.0;36.6;2.6;1.8;1.6;4.5;5.6;27.9;8.9;2.1;31.8;1.9;3.8;21.9;4.3;;;10.0;12.3;;;;;2.5;10.3;4.6;;12.8;;2.5
33;Geslacht: Mannen;Percentage;Saba;2013;81.0;22.3;;;45.5;54.2;26.6;22.7;5.7;19.3;43.8;53.9;36.5;18.7;64.9;19.0;13.7;48.7;5.5;;;14.2;17.0;8.7;9.4;;4.3;19.7;23.7;13.4;6.2;33.2;6.6;8.7
34;Geslacht: Mannen;Percentage;Saba;2017/2018;83.1;27.4;;;23.1;42.1;24.5;10.0;3.4;15.2;36.1;62.9;23.1;11.4;72.1;4.3;6.3;41.7;6.5;;;9.9;16.0;;3.2;;;6.8;26.2;13.9;4.1;35.4;;4.1
35;Geslacht: Mannen;Percentage;Saba;2021;85.0;31.1;3.3;;20.3;40.0;17.5;4.5;;17.7;29.3;63.4;54.4;16.7;79.1;7.5;8.0;47.7;13.6;;;7.1;16.1;6.3;;;;8.6;24.7;30.5;8.7;43.1;3.4;
36;Geslacht: Mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;3.4;3.4;2.2;2.2;4.1;4.1;3.2;2.7;1.8;3.1;3.8;4.1;2.8;2.6;4.1;1.8;2.5;4.0;2.1;1.2;1.2;2.9;3.2;1.5;1.6;1.0;1.8;2.4;3.3;1.7;1.5;3.4;1.2;1.5
37;Geslacht: Mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;3.2;2.8;1.5;1.0;3.0;3.3;2.6;2.2;1.1;2.1;3.0;3.4;2.1;2.2;3.4;1.3;1.4;3.1;1.7;1.1;;1.8;2.3;1.1;1.2;0.9;1.1;1.7;2.6;1.5;1.6;2.8;0.9;1.1
38;Geslacht: Mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;3.4;2.7;1.2;0.8;3.0;3.3;2.3;1.5;1.1;2.1;2.7;3.5;2.7;2.0;3.5;1.5;1.6;3.2;1.7;;;1.8;2.2;1.3;0.7;0.8;0.9;1.6;2.6;2.0;1.4;2.9;1.0;1.1
39;Geslacht: Mannen;Betrouwbaarheidsmarge;Bonaire;2013;4.0;3.7;2.6;2.6;4.7;4.8;3.9;3.3;2.2;3.6;4.5;4.8;2.9;3.2;4.8;1.6;2.5;4.5;1.9;1.2;1.4;2.7;3.1;1.8;2.0;1.0;2.3;2.8;3.8;1.5;1.8;4.0;1.3;1.4
40;Geslacht: Mannen;Betrouwbaarheidsmarge;Bonaire;2017/2018;4.0;3.5;2.0;1.5;3.8;4.2;3.6;3.0;1.5;2.7;3.9;4.3;2.4;3.1;4.3;1.8;1.9;4.0;2.2;1.5;;2.0;2.7;1.6;1.6;1.2;1.5;2.4;3.5;1.6;2.4;3.6;1.3;1.4
41;Geslacht: Mannen;Betrouwbaarheidsmarge;Bonaire;2021;4.8;3.6;1.9;1.3;4.1;4.5;3.6;2.5;1.8;2.9;4.1;4.8;3.1;2.9;4.9;2.4;2.3;4.3;2.2;;;2.1;2.7;2.0;0.9;1.5;1.3;2.3;3.8;2.0;2.0;4.0;1.4;1.6
42;Geslacht: Mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;8.8;11.2;6.3;7.0;10.2;9.7;;;;7.9;8.6;10.7;8.4;4.9;11.3;5.1;8.8;11.3;8.8;5.1;;11.2;11.4;;;;;;8.6;6.1;;9.5;;5.0
43;Geslacht: Mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;6.9;5.4;2.9;;6.2;6.6;2.4;3.7;;3.4;4.4;5.6;4.6;3.2;6.0;1.9;2.1;5.5;3.5;1.9;;4.5;5.2;;2.4;;2.2;2.6;3.5;2.8;2.0;4.3;;
44;Geslacht: Mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;6.4;4.7;;;5.8;6.2;2.1;1.7;1.6;2.7;3.0;5.8;3.7;1.9;6.0;1.8;2.5;5.3;2.6;;;3.8;4.2;;;;;2.0;3.9;2.7;;4.3;;2.0
45;Geslacht: Mannen;Betrouwbaarheidsmarge;Saba;2013;9.0;9.5;;;11.4;11.4;10.1;9.6;5.3;9.0;11.3;11.4;11.0;8.9;10.9;9.0;7.9;11.4;5.2;;;8.0;8.6;6.4;6.7;;4.6;9.1;9.7;7.8;5.5;10.8;5.7;6.5
46;Geslacht: Mannen;Betrouwbaarheidsmarge;Saba;2017/2018;6.6;7.8;;;7.4;8.6;7.6;5.4;3.2;6.3;8.4;8.5;7.4;5.6;7.9;3.6;4.3;8.6;4.3;;;5.2;6.4;;3.1;;;4.4;7.7;6.1;3.5;8.4;;3.5
47;Geslacht: Mannen;Betrouwbaarheidsmarge;Saba;2021;6.0;7.8;3.0;;6.8;8.2;6.4;3.5;;6.4;7.6;8.1;8.4;6.4;6.8;4.4;4.5;8.3;5.7;;;4.3;6.1;4.1;;;;4.7;7.2;7.7;4.7;8.3;3.0;
48;Geslacht: Vrouwen;Percentage;Caribisch Nederland;2013;81.6;23.9;8.6;3.4;43.4;54.1;16.1;14.3;5.1;14.2;29.8;57.1;16.1;11.9;61.6;5.6;9.4;45.4;6.6;2.8;0.9;15.8;20.4;4.8;3.4;2.0;4.1;9.8;30.3;8.3;6.0;33.8;1.4;4.2
49;Geslacht: Vrouwen;Percentage;Caribisch Nederland;2017/2018;67.9;20.5;4.9;1.7;29.0;40.7;13.9;11.0;2.4;10.4;24.4;51.6;14.8;10.0;54.4;6.4;7.7;37.4;6.3;1.3;;10.5;14.6;2.6;2.9;1.3;1.7;5.7;24.5;7.2;5.5;28.1;2.9;3.6
50;Geslacht: Vrouwen;Percentage;Caribisch Nederland;2021;62.6;18.8;1.4;1.3;24.9;35.1;10.8;5.9;2.4;10.6;19.6;43.5;21.9;7.3;50.1;5.7;8.9;30.8;6.3;0.5;0.6;6.3;11.4;3.0;1.5;1.2;1.9;5.2;20.1;8.9;3.5;23.9;1.5;3.1
51;Geslacht: Vrouwen;Percentage;Bonaire;2013;79.1;21.4;7.4;3.3;36.4;48.0;17.0;17.1;5.0;14.8;31.8;57.7;13.5;12.7;61.5;5.8;7.9;41.8;6.2;1.8;;10.4;15.2;4.8;4.3;2.1;2.9;9.3;29.6;7.1;6.6;32.5;1.2;3.0
52;Geslacht: Vrouwen;Percentage;Bonaire;2017/2018;70.4;18.3;6.2;2.5;25.6;38.9;16.9;13.7;2.2;10.8;26.4;54.2;11.4;13.5;56.3;7.5;7.6;38.2;5.5;1.3;;7.3;11.7;2.6;3.2;1.3;2.0;6.3;26.4;4.5;7.4;29.2;2.8;3.9
53;Geslacht: Vrouwen;Percentage;Bonaire;2021;64.0;15.6;1.7;1.2;23.4;32.4;12.9;7.3;2.6;10.8;21.0;45.0;15.5;9.7;50.3;7.6;8.6;30.3;5.9;;;2.4;8.7;2.5;1.5;1.4;1.9;5.8;20.9;5.4;4.9;23.9;1.1;3.5
54;Geslacht: Vrouwen;Percentage;Sint-Eustatius;2013;92.8;31.9;14.1;;78.5;84.5;;;;12.5;16.2;46.0;18.4;;53.0;;14.5;60.3;10.8;9.4;;38.8;43.8;;;;9.5;9.5;34.4;9.5;;36.6;;8.9
55;Geslacht: Vrouwen;Percentage;Sint-Eustatius;2017/2018;50.2;21.3;;;31.9;37.8;3.8;7.3;;7.7;15.5;35.7;16.2;2.7;37.9;2.5;5.3;26.2;8.2;;;15.1;18.6;;;;;4.2;17.8;8.2;;18.9;;
56;Geslacht: Vrouwen;Percentage;Sint-Eustatius;2021;47.3;17.9;1.7;2.2;29.4;34.9;4.6;2.4;2.3;5.8;9.1;25.2;15.8;;30.6;4.4;4.4;22.3;4.1;;;14.3;15.0;2.3;;;2.2;3.6;11.6;6.3;;13.7;2.4;
57;Geslacht: Vrouwen;Percentage;Saba;2013;83.2;30.9;8.4;;40.2;52.2;26.1;10.5;8.7;12.3;35.6;70.3;32.3;24.7;76.4;6.6;12.8;49.3;;;;19.8;22.5;11.4;;;;14.5;28.6;15.6;10.5;39.6;;
58;Geslacht: Vrouwen;Percentage;Saba;2017/2018;84.4;28.1;4.7;;38.0;51.6;17.3;6.9;3.9;12.5;30.1;64.9;25.6;7.2;71.5;7.6;11.1;50.7;6.6;;;16.0;19.6;3.5;3.3;;;5.8;27.0;15.9;3.7;37.1;5.2;5.1
59;Geslacht: Vrouwen;Percentage;Saba;2021;83.6;29.1;;;21.9;42.3;14.9;7.6;;17.6;33.0;69.2;48.8;11.2;81.6;3.0;16.9;45.8;11.0;;;3.6;12.9;5.7;;;;6.3;31.7;22.5;3.8;40.5;;4.9
60;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;3.4;3.7;2.5;1.6;4.4;4.4;3.2;3.1;1.9;3.1;4.0;4.4;3.2;2.8;4.3;2.0;2.6;4.4;2.2;1.5;0.8;3.2;3.5;1.9;1.6;1.2;1.7;2.6;4.0;2.4;2.1;4.2;1.0;1.8
61;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;3.3;2.8;1.5;0.9;3.2;3.4;2.4;2.3;1.1;2.1;3.0;3.5;2.5;2.1;3.5;1.7;1.9;3.4;1.7;0.8;;2.1;2.5;1.1;1.2;0.8;0.9;1.6;3.0;1.8;1.6;3.1;1.2;1.3
62;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;3.5;2.8;0.8;0.8;3.1;3.4;2.3;1.8;1.1;2.2;2.9;3.6;3.0;1.9;3.6;1.7;2.1;3.3;1.8;0.5;0.5;1.8;2.3;1.2;0.9;0.8;1.0;1.6;2.9;2.1;1.3;3.1;0.9;1.3
63;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Bonaire;2013;4.2;4.2;2.7;1.8;4.9;5.1;3.8;3.8;2.2;3.6;4.8;5.1;3.5;3.4;5.0;2.4;2.8;5.0;2.5;1.4;;3.1;3.7;2.2;2.1;1.5;1.7;3.0;4.7;2.6;2.5;4.8;1.1;1.7
64;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Bonaire;2017/2018;4.1;3.5;2.2;1.4;3.9;4.4;3.4;3.3;1.3;2.8;3.9;4.5;2.8;3.1;4.4;2.4;2.4;4.3;2.0;1.0;;2.3;2.9;1.4;1.6;1.0;1.3;2.2;3.9;1.8;2.3;4.1;1.5;1.7
65;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Bonaire;2021;4.9;3.7;1.3;1.1;4.3;4.8;3.5;2.9;1.6;3.2;4.2;5.1;3.7;3.0;5.1;2.7;2.9;4.7;2.4;;;1.6;2.9;1.6;1.2;1.2;1.4;2.4;4.2;2.3;2.2;4.4;1.1;1.9
66;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;6.7;12.0;9.0;;10.6;9.3;;;;8.5;9.5;12.9;10.0;;12.9;;9.1;12.6;8.0;7.6;;12.6;12.8;;;;7.5;7.5;12.3;7.6;;12.4;;7.4
67;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;7.2;5.9;;;6.7;7.0;2.8;3.8;;3.9;5.2;6.9;5.3;2.4;7.0;2.3;3.3;6.4;4.0;;;5.2;5.6;;;;;2.9;5.5;4.0;;5.7;;
68;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;6.5;5.0;1.7;1.9;6.0;6.2;2.8;2.1;2.0;3.1;3.7;5.7;4.8;;6.0;2.7;2.7;5.4;2.6;;;4.5;4.6;1.9;;;1.9;2.4;4.2;3.2;;4.5;2.0;
69;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Saba;2013;8.5;10.5;6.4;;11.2;11.4;10.0;7.1;6.4;7.5;10.9;10.4;10.7;9.8;9.7;5.7;7.6;11.4;;;;9.1;9.5;7.3;;;;8.0;10.3;8.3;7.0;11.2;;
70;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Saba;2017/2018;6.4;7.9;3.7;;8.5;8.8;6.6;4.5;3.4;5.8;8.0;8.4;7.7;4.6;7.9;4.6;5.5;8.8;4.4;;;6.4;7.0;3.2;3.1;;;4.1;7.8;6.4;3.3;8.5;3.9;3.9
71;Geslacht: Vrouwen;Betrouwbaarheidsmarge;Saba;2021;6.2;7.6;;;6.9;8.2;5.9;4.5;;6.3;7.8;7.7;8.3;5.3;6.4;2.8;6.3;8.3;5.2;;;3.1;5.6;3.8;;;;4.1;7.8;7.0;3.2;8.2;;3.6
72;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2013;79.5;24.4;9.9;6.3;44.8;55.3;19.6;13.1;7.5;17.5;33.9;51.6;15.6;11.5;56.4;6.0;11.5;39.3;6.4;3.3;0.7;15.0;18.2;4.7;4.2;2.6;5.2;11.3;23.2;6.3;4.3;26.5;1.8;4.0
73;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2017/2018;67.6;22.4;4.6;3.3;28.6;41.1;19.9;12.2;3.5;11.9;30.1;46.3;15.3;9.9;50.8;5.9;5.7;32.6;5.9;1.5;;8.5;12.7;3.3;3.0;2.1;2.7;6.7;19.9;7.1;5.5;24.2;2.2;3.7
74;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2021;62.4;21.0;2.5;1.4;25.5;35.5;14.2;5.5;2.6;12.2;22.6;42.4;23.9;7.5;50.0;5.5;7.6;30.4;7.5;;;7.2;12.4;4.0;1.1;1.7;2.1;6.4;18.5;10.9;3.2;24.0;1.9;3.0
75;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2013;77.9;20.2;9.3;6.7;37.2;50.1;21.5;15.0;7.6;17.8;35.3;52.2;12.3;12.7;57.2;6.2;9.3;34.8;6.0;2.3;;8.8;13.1;4.7;5.1;2.5;5.4;10.9;22.0;4.8;5.1;24.5;2.0;2.7
76;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2017/2018;68.6;20.1;5.9;4.9;26.0;39.6;23.2;13.6;3.3;10.0;31.1;47.1;9.5;12.8;49.1;6.5;5.3;30.8;5.1;2.1;;5.4;9.9;3.4;2.9;2.2;2.6;7.4;20.4;4.0;7.6;22.5;1.9;3.8
77;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2021;62.5;17.5;3.3;2.3;25.3;32.2;18.6;6.7;4.0;11.7;25.3;44.2;16.6;7.9;48.7;7.9;9.2;27.4;5.5;;;5.2;8.8;3.9;1.0;2.5;2.2;7.0;19.0;6.2;3.6;22.3;1.9;4.1
78;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2013;82.5;40.7;14.3;8.1;78.1;79.3;;;7.0;16.7;19.8;36.5;15.0;;40.8;;20.8;53.1;12.1;9.5;;42.4;42.8;;;;6.0;7.9;26.7;7.8;;29.7;;9.2
79;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2017/2018;51.0;21.7;;;31.6;37.8;5.9;9.7;2.3;10.3;18.0;31.3;18.5;3.9;36.9;3.4;5.0;25.3;8.6;;;13.4;17.4;3.2;3.4;2.3;3.6;5.2;14.6;6.8;2.8;17.8;;2.5
