ID;Sex;Age;Origin;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2;DefinedDailyDosesDDD_3;DefinedDailyDosesDDDRelative_4
36;Total male and female;10000;Total;A03A Drugs for functional bowel disord.;2020;94720.0;0.53;17350.0;975.0
37;Total male and female;10000;Total;A03A Drugs for functional bowel disord.;2021;94740.0;0.53;17209.0;961.0
38;Total male and female;10000;Total;A03A Drugs for functional bowel disord.;2022;91385.0;0.5;17153.0;945.0
39;Total male and female;10000;Total;A03A Drugs for functional bowel disord.;2023;85835.0;0.47;16821.0;919.0
40;Total male and female;10000;Total;A03B Belladonna and derivatives, plain;2020;4530.0;0.03;34.0;2.0
41;Total male and female;10000;Total;A03B Belladonna and derivatives, plain;2021;4570.0;0.03;33.0;2.0
42;Total male and female;10000;Total;A03B Belladonna and derivatives, plain;2022;4455.0;0.02;34.0;2.0
43;Total male and female;10000;Total;A03B Belladonna and derivatives, plain;2023;4480.0;0.02;33.0;2.0
44;Total male and female;10000;Total;A03C Antispasmodics with psycholeptics;2020;0.0;0.0;0.0;0.0
45;Total male and female;10000;Total;A03C Antispasmodics with psycholeptics;2021;0.0;0.0;0.0;0.0
46;Total male and female;10000;Total;A03C Antispasmodics with psycholeptics;2022;0.0;0.0;0.0;0.0
47;Total male and female;10000;Total;A03C Antispasmodics with psycholeptics;2023;0.0;0.0;0.0;0.0
48;Total male and female;10000;Total;A03D Antispasmodics with analgesics;2020;0.0;0.0;0.0;0.0
49;Total male and female;10000;Total;A03D Antispasmodics with analgesics;2021;0.0;0.0;0.0;0.0
50;Total male and female;10000;Total;A03D Antispasmodics with analgesics;2022;0.0;0.0;0.0;0.0
51;Total male and female;10000;Total;A03D Antispasmodics with analgesics;2023;0.0;0.0;0.0;0.0
52;Total male and female;10000;Total;A03E Antispasmodics and anticholinergics;2020;0.0;0.0;0.0;0.0
53;Total male and female;10000;Total;A03E Antispasmodics and anticholinergics;2021;0.0;0.0;0.0;0.0
54;Total male and female;10000;Total;A03E Antispasmodics and anticholinergics;2022;0.0;0.0;0.0;0.0
55;Total male and female;10000;Total;A03E Antispasmodics and anticholinergics;2023;0.0;0.0;0.0;0.0
56;Total male and female;10000;Total;A03F Propulsives;2020;282425.0;1.59;5697.0;320.0
57;Total male and female;10000;Total;A03F Propulsives;2021;292900.0;1.64;5567.0;311.0
58;Total male and female;10000;Total;A03F Propulsives;2022;292110.0;1.61;5352.0;295.0
59;Total male and female;10000;Total;A03F Propulsives;2023;286510.0;1.57;5164.0;282.0
60;Total male and female;10000;Total;A04 Antiemetics and antinauseants;2020;81110.0;0.46;1010.0;57.0
61;Total male and female;10000;Total;A04 Antiemetics and antinauseants;2021;109225.0;0.61;1140.0;64.0
62;Total male and female;10000;Total;A04 Antiemetics and antinauseants;2022;133665.0;0.74;1250.0;69.0
63;Total male and female;10000;Total;A04 Antiemetics and antinauseants;2023;136085.0;0.74;1306.0;71.0
64;Total male and female;10000;Total;A04A Antiemetics and antinauseants;2020;81110.0;0.46;1010.0;57.0
65;Total male and female;10000;Total;A04A Antiemetics and antinauseants;2021;109225.0;0.61;1140.0;64.0
66;Total male and female;10000;Total;A04A Antiemetics and antinauseants;2022;133665.0;0.74;1250.0;69.0
67;Total male and female;10000;Total;A04A Antiemetics and antinauseants;2023;136085.0;0.74;1306.0;71.0
68;Total male and female;10000;Total;A05 Bile and liver therapy;2020;15810.0;0.09;4755.0;267.0
69;Total male and female;10000;Total;A05 Bile and liver therapy;2021;16165.0;0.09;4857.0;271.0
70;Total male and female;10000;Total;A05 Bile and liver therapy;2022;17350.0;0.1;5077.0;280.0
71;Total male and female;10000;Total;A05 Bile and liver therapy;2023;17600.0;0.1;5241.0;286.0
72;Total male and female;10000;Total;A05A Bile therapy;2020;15810.0;0.09;4755.0;267.0
73;Total male and female;10000;Total;A05A Bile therapy;2021;16165.0;0.09;4857.0;271.0
74;Total male and female;10000;Total;A05A Bile therapy;2022;17350.0;0.1;5077.0;280.0
75;Total male and female;10000;Total;A05A Bile therapy;2023;17600.0;0.1;5241.0;286.0
76;Total male and female;10000;Total;A05B Liver therapy, lipotropics;2020;0.0;0.0;0.0;0.0
77;Total male and female;10000;Total;A05B Liver therapy, lipotropics;2021;0.0;0.0;0.0;0.0
78;Total male and female;10000;Total;A05B Liver therapy, lipotropics;2022;0.0;0.0;0.0;0.0
79;Total male and female;10000;Total;A05B Liver therapy, lipotropics;2023;0.0;0.0;0.0;0.0
80;Total male and female;10000;Total;A05C Bile therapy drugs and lipotropics;2020;0.0;0.0;0.0;0.0
81;Total male and female;10000;Total;A05C Bile therapy drugs and lipotropics;2021;0.0;0.0;0.0;0.0
82;Total male and female;10000;Total;A05C Bile therapy drugs and lipotropics;2022;0.0;0.0;0.0;0.0
83;Total male and female;10000;Total;A05C Bile therapy drugs and lipotropics;2023;0.0;0.0;0.0;0.0
84;Total male and female;10000;Total;A06 Laxatives;2020;1429265.0;8.03;135880.0;7634.0
85;Total male and female;10000;Total;A06 Laxatives;2021;1532785.0;8.56;145183.0;8107.0
86;Total male and female;10000;Total;A06 Laxatives;2022;1559205.0;8.59;145731.0;8027.0
87;Total male and female;10000;Total;A06 Laxatives;2023;1565930.0;8.56;108107.0;5906.0
88;Total male and female;10000;Total;A06A Laxatives;2020;1429265.0;8.03;135880.0;7634.0
89;Total male and female;10000;Total;A06A Laxatives;2021;1532785.0;8.56;145183.0;8107.0
90;Total male and female;10000;Total;A06A Laxatives;2022;1559205.0;8.59;145731.0;8027.0
91;Total male and female;10000;Total;A06A Laxatives;2023;1565930.0;8.56;108107.0;5906.0
92;Total male and female;10000;Total;A07 Anti diarr/intest/infl/infect.agents;2020;213835.0;1.2;71811.0;4035.0
93;Total male and female;10000;Total;A07 Anti diarr/intest/infl/infect.agents;2021;214160.0;1.2;73264.0;4091.0
94;Total male and female;10000;Total;A07 Anti diarr/intest/infl/infect.agents;2022;174310.0;0.96;71460.0;3936.0
95;Total male and female;10000;Total;A07 Anti diarr/intest/infl/infect.agents;2023;189385.0;1.03;70317.0;3842.0
96;Total male and female;10000;Total;A07A Intestinal antiinfectives;2020;107395.0;0.6;1314.0;74.0
97;Total male and female;10000;Total;A07A Intestinal antiinfectives;2021;105815.0;0.59;1326.0;74.0
98;Total male and female;10000;Total;A07A Intestinal antiinfectives;2022;64995.0;0.36;1255.0;69.0
99;Total male and female;10000;Total;A07A Intestinal antiinfectives;2023;79520.0;0.43;1513.0;83.0
100;Total male and female;10000;Total;A07B Intestinal adsorbents;2020;0.0;0.0;0.0;0.0
101;Total male and female;10000;Total;A07B Intestinal adsorbents;2021;0.0;0.0;0.0;0.0
102;Total male and female;10000;Total;A07B Intestinal adsorbents;2022;35.0;0.0;0.0;0.0
103;Total male and female;10000;Total;A07B Intestinal adsorbents;2023;80.0;0.0;0.0;0.0
104;Total male and female;10000;Total;A07C Electrolytes with carbohydrates;2020;5.0;0.0;0.0;0.0
105;Total male and female;10000;Total;A07C Electrolytes with carbohydrates;2021;0.0;0.0;0.0;0.0
106;Total male and female;10000;Total;A07C Electrolytes with carbohydrates;2022;5.0;0.0;0.0;0.0
107;Total male and female;10000;Total;A07C Electrolytes with carbohydrates;2023;0.0;0.0;0.0;0.0
108;Total male and female;10000;Total;A07D Antipropulsives;2020;23330.0;0.13;2058.0;116.0
109;Total male and female;10000;Total;A07D Antipropulsives;2021;22975.0;0.13;2078.0;116.0
110;Total male and female;10000;Total;A07D Antipropulsives;2022;22495.0;0.12;2043.0;113.0
111;Total male and female;10000;Total;A07D Antipropulsives;2023;22225.0;0.12;2063.0;113.0
112;Total male and female;10000;Total;A07E Intestinal antiinflammatory agents;2020;87005.0;0.49;68439.0;3845.0
113;Total male and female;10000;Total;A07E Intestinal antiinflammatory agents;2021;89160.0;0.5;69860.0;3901.0
114;Total male and female;10000;Total;A07E Intestinal antiinflammatory agents;2022;89730.0;0.49;68162.0;3754.0
115;Total male and female;10000;Total;A07E Intestinal antiinflammatory agents;2023;90965.0;0.5;66742.0;3646.0
116;Total male and female;10000;Total;A07F Antidiarrheal microorganisms;2020;0.0;0.0;0.0;0.0
117;Total male and female;10000;Total;A07F Antidiarrheal microorganisms;2021;0.0;0.0;0.0;0.0
118;Total male and female;10000;Total;A07F Antidiarrheal microorganisms;2022;0.0;0.0;0.0;0.0
119;Total male and female;10000;Total;A07F Antidiarrheal microorganisms;2023;0.0;0.0;0.0;0.0
120;Total male and female;10000;Total;A07X Other antidiarrheals;2020;0.0;0.0;0.0;0.0
121;Total male and female;10000;Total;A07X Other antidiarrheals;2021;0.0;0.0;0.0;0.0
122;Total male and female;10000;Total;A07X Other antidiarrheals;2022;0.0;0.0;0.0;0.0
123;Total male and female;10000;Total;A07X Other antidiarrheals;2023;0.0;0.0;0.0;0.0
124;Total male and female;10000;Total;A08 Antiobesity prep. excl.diet products;2020;0.0;0.0;0.0;0.0
125;Total male and female;10000;Total;A08 Antiobesity prep. excl.diet products;2021;0.0;0.0;0.0;0.0
126;Total male and female;10000;Total;A08 Antiobesity prep. excl.diet products;2022;520.0;0.0;34.0;2.0
127;Total male and female;10000;Total;A08 Antiobesity prep. excl.diet products;2023;1880.0;0.01;217.0;12.0
128;Total male and female;10000;Total;A08A Antiobesity prep.excl.diet products;2020;0.0;0.0;0.0;0.0
129;Total male and female;10000;Total;A08A Antiobesity prep.excl.diet products;2021;0.0;0.0;0.0;0.0
130;Total male and female;10000;Total;A08A Antiobesity prep.excl.diet products;2022;520.0;0.0;34.0;2.0
131;Total male and female;10000;Total;A08A Antiobesity prep.excl.diet products;2023;1880.0;0.01;217.0;12.0
132;Total male and female;10000;Total;A09 Digestives, incl. enzymes;2020;18800.0;0.11;5480.0;308.0
133;Total male and female;10000;Total;A09 Digestives, incl. enzymes;2021;19930.0;0.11;5574.0;311.0
134;Total male and female;10000;Total;A09 Digestives, incl. enzymes;2022;20965.0;0.12;6018.0;331.0
135;Total male and female;10000;Total;A09 Digestives, incl. enzymes;2023;21845.0;0.12;6691.0;366.0
136;Total male and female;10000;Total;A09A Digestives, incl. enzymes;2020;18800.0;0.11;5480.0;308.0
137;Total male and female;10000;Total;A09A Digestives, incl. enzymes;2021;19930.0;0.11;5574.0;311.0
138;Total male and female;10000;Total;A09A Digestives, incl. enzymes;2022;20965.0;0.12;6018.0;331.0
139;Total male and female;10000;Total;A09A Digestives, incl. enzymes;2023;21845.0;0.12;6691.0;366.0
140;Total male and female;10000;Total;A10 Drugs used in diabetes;2020;827950.0;4.65;496369.0;27888.0
141;Total male and female;10000;Total;A10 Drugs used in diabetes;2021;848950.0;4.74;507451.0;28337.0
142;Total male and female;10000;Total;A10 Drugs used in diabetes;2022;881340.0;4.85;529649.0;29172.0
143;Total male and female;10000;Total;A10 Drugs used in diabetes;2023;922465.0;5.04;550906.0;30097.0
144;Total male and female;10000;Total;A10A Insulins and analogues;2020;283080.0;1.59;148155.0;8324.0
145;Total male and female;10000;Total;A10A Insulins and analogues;2021;284630.0;1.59;146232.0;8166.0
146;Total male and female;10000;Total;A10A Insulins and analogues;2022;278920.0;1.54;144078.0;7936.0
147;Total male and female;10000;Total;A10A Insulins and analogues;2023;275645.0;1.51;139359.0;7614.0
148;Total male and female;10000;Total;A10B Blood glucose lowering drugs, excl.;2020;718965.0;4.04;348215.0;19564.0
149;Total male and female;10000;Total;A10B Blood glucose lowering drugs, excl.;2021;740610.0;4.14;361219.0;20171.0
150;Total male and female;10000;Total;A10B Blood glucose lowering drugs, excl.;2022;777050.0;4.28;385571.0;21236.0
151;Total male and female;10000;Total;A10B Blood glucose lowering drugs, excl.;2023;820935.0;4.48;411547.0;22484.0
152;Total male and female;10000;Total;A10X Other drugs used in diabetes;2020;0.0;0.0;0.0;0.0
153;Total male and female;10000;Total;A10X Other drugs used in diabetes;2021;0.0;0.0;0.0;0.0
154;Total male and female;10000;Total;A10X Other drugs used in diabetes;2022;0.0;0.0;0.0;0.0
155;Total male and female;10000;Total;A10X Other drugs used in diabetes;2023;0.0;0.0;0.0;0.0
156;Total male and female;10000;Total;A11 Vitamins;2020;937365.0;5.27;367683.0;20658.0
157;Total male and female;10000;Total;A11 Vitamins;2021;999745.0;5.58;393592.0;21979.0
158;Total male and female;10000;Total;A11 Vitamins;2022;1009040.0;5.56;413909.0;22797.0
159;Total male and female;10000;Total;A11 Vitamins;2023;31825.0;0.17;4565.0;249.0
160;Total male and female;10000;Total;A11A Multivitamins, combinations;2020;0.0;0.0;1.0;0.0
161;Total male and female;10000;Total;A11A Multivitamins, combinations;2021;0.0;0.0;0.0;0.0
162;Total male and female;10000;Total;A11A Multivitamins, combinations;2022;0.0;0.0;0.0;0.0
163;Total male and female;10000;Total;A11A Multivitamins, combinations;2023;0.0;0.0;0.0;0.0
164;Total male and female;10000;Total;A11B Multivitamins, plain;2020;0.0;0.0;0.0;0.0
165;Total male and female;10000;Total;A11B Multivitamins, plain;2021;0.0;0.0;0.0;0.0
166;Total male and female;10000;Total;A11B Multivitamins, plain;2022;0.0;0.0;0.0;0.0
167;Total male and female;10000;Total;A11B Multivitamins, plain;2023;0.0;0.0;0.0;0.0
168;Total male and female;10000;Total;A11C Vit A and D, incl.combin.of the two;2020;936175.0;5.26;367529.0;20649.0
169;Total male and female;10000;Total;A11C Vit A and D, incl.combin.of the two;2021;998715.0;5.58;393473.0;21972.0
170;Total male and female;10000;Total;A11C Vit A and D, incl.combin.of the two;2022;1008005.0;5.55;413766.0;22789.0
171;Total male and female;10000;Total;A11C Vit A and D, incl.combin.of the two;2023;30280.0;0.17;4446.0;243.0
172;Total male and female;10000;Total;A11D Vitamin B1,and with vit. B6 and B12;2020;1590.0;0.01;56.0;3.0
173;Total male and female;10000;Total;A11D Vitamin B1,and with vit. B6 and B12;2021;1400.0;0.01;55.0;3.0
174;Total male and female;10000;Total;A11D Vitamin B1,and with vit. B6 and B12;2022;1405.0;0.01;64.0;4.0
175;Total male and female;10000;Total;A11D Vitamin B1,and with vit. B6 and B12;2023;1500.0;0.01;60.0;3.0
176;Total male and female;10000;Total;A11E Vitamin B-complex, incl. combinat.;2020;5.0;0.0;0.0;0.0
177;Total male and female;10000;Total;A11E Vitamin B-complex, incl. combinat.;2021;0.0;0.0;0.0;0.0
178;Total male and female;10000;Total;A11E Vitamin B-complex, incl. combinat.;2022;0.0;0.0;0.0;0.0
179;Total male and female;10000;Total;A11E Vitamin B-complex, incl. combinat.;2023;0.0;0.0;0.0;0.0
180;Total male and female;10000;Total;A11G Ascorbic acid (vitamin C) + combin.;2020;60.0;0.0;87.0;5.0
181;Total male and female;10000;Total;A11G Ascorbic acid (vitamin C) + combin.;2021;40.0;0.0;56.0;3.0
182;Total male and female;10000;Total;A11G Ascorbic acid (vitamin C) + combin.;2022;60.0;0.0;73.0;4.0
183;Total male and female;10000;Total;A11G Ascorbic acid (vitamin C) + combin.;2023;55.0;0.0;55.0;3.0
184;Total male and female;10000;Total;A11H Other plain vitamin preparations;2020;20.0;0.0;10.0;1.0
185;Total male and female;10000;Total;A11H Other plain vitamin preparations;2021;25.0;0.0;8.0;0.0
186;Total male and female;10000;Total;A11H Other plain vitamin preparations;2022;30.0;0.0;5.0;0.0
187;Total male and female;10000;Total;A11H Other plain vitamin preparations;2023;30.0;0.0;4.0;0.0
188;Total male and female;10000;Total;A11J Other vitamin products + combinat.;2020;0.0;0.0;0.0;0.0
189;Total male and female;10000;Total;A11J Other vitamin products + combinat.;2021;0.0;0.0;0.0;0.0
190;Total male and female;10000;Total;A11J Other vitamin products + combinat.;2022;0.0;0.0;0.0;0.0
191;Total male and female;10000;Total;A11J Other vitamin products + combinat.;2023;0.0;0.0;0.0;0.0
192;Total male and female;10000;Total;A12 Mineral supplements;2020;580650.0;3.26;158057.0;8880.0
193;Total male and female;10000;Total;A12 Mineral supplements;2021;595510.0;3.33;162991.0;9102.0
194;Total male and female;10000;Total;A12 Mineral supplements;2022;605565.0;3.34;175277.0;9654.0
195;Total male and female;10000;Total;A12 Mineral supplements;2023;33905.0;0.19;2862.0;156.0
196;Total male and female;10000;Total;A12A Calcium;2020;552945.0;3.11;155197.0;8720.0
197;Total male and female;10000;Total;A12A Calcium;2021;567505.0;3.17;160101.0;8940.0
198;Total male and female;10000;Total;A12A Calcium;2022;577870.0;3.18;172307.0;9490.0
199;Total male and female;10000;Total;A12A Calcium;2023;125.0;0.0;16.0;1.0
200;Total male and female;10000;Total;A12B Potassium;2020;29910.0;0.17;2346.0;132.0
201;Total male and female;10000;Total;A12B Potassium;2021;29425.0;0.16;2369.0;132.0
202;Total male and female;10000;Total;A12B Potassium;2022;28195.0;0.16;2355.0;130.0
203;Total male and female;10000;Total;A12B Potassium;2023;26985.0;0.15;2301.0;126.0
204;Total male and female;10000;Total;A12C Other mineral supplements;2020;6635.0;0.04;515.0;29.0
205;Total male and female;10000;Total;A12C Other mineral supplements;2021;7795.0;0.04;522.0;29.0
206;Total male and female;10000;Total;A12C Other mineral supplements;2022;8800.0;0.05;616.0;34.0
207;Total male and female;10000;Total;A12C Other mineral supplements;2023;8045.0;0.04;545.0;30.0
208;Total male and female;10000;Total;A13 Tonics;2020;0.0;0.0;0.0;0.0
209;Total male and female;10000;Total;A13 Tonics;2021;0.0;0.0;0.0;0.0
210;Total male and female;10000;Total;A13 Tonics;2022;0.0;0.0;0.0;0.0
211;Total male and female;10000;Total;A13 Tonics;2023;0.0;0.0;0.0;0.0
212;Total male and female;10000;Total;A13A Tonics;2020;0.0;0.0;0.0;0.0
213;Total male and female;10000;Total;A13A Tonics;2021;0.0;0.0;0.0;0.0
214;Total male and female;10000;Total;A13A Tonics;2022;0.0;0.0;0.0;0.0
215;Total male and female;10000;Total;A13A Tonics;2023;0.0;0.0;0.0;0.0
216;Total male and female;10000;Total;A14 Anabolic agents for systemic use;2020;410.0;0.0;83.0;5.0
217;Total male and female;10000;Total;A14 Anabolic agents for systemic use;2021;400.0;0.0;70.0;4.0
218;Total male and female;10000;Total;A14 Anabolic agents for systemic use;2022;395.0;0.0;62.0;3.0
219;Total male and female;10000;Total;A14 Anabolic agents for systemic use;2023;375.0;0.0;36.0;2.0
220;Total male and female;10000;Total;A14A Anabolic steroids;2020;410.0;0.0;83.0;5.0
221;Total male and female;10000;Total;A14A Anabolic steroids;2021;400.0;0.0;70.0;4.0
222;Total male and female;10000;Total;A14A Anabolic steroids;2022;395.0;0.0;62.0;3.0
223;Total male and female;10000;Total;A14A Anabolic steroids;2023;375.0;0.0;36.0;2.0
224;Total male and female;10000;Total;A14B Other anabolic agents;2020;0.0;0.0;0.0;0.0
225;Total male and female;10000;Total;A14B Other anabolic agents;2021;0.0;0.0;0.0;0.0
226;Total male and female;10000;Total;A14B Other anabolic agents;2022;0.0;0.0;0.0;0.0
227;Total male and female;10000;Total;A14B Other anabolic agents;2023;0.0;0.0;0.0;0.0
228;Total male and female;10000;Total;A15 Appetite stimulants;2020;0.0;0.0;0.0;0.0
229;Total male and female;10000;Total;A15 Appetite stimulants;2021;0.0;0.0;0.0;0.0
230;Total male and female;10000;Total;A15 Appetite stimulants;2022;0.0;0.0;0.0;0.0
231;Total male and female;10000;Total;A15 Appetite stimulants;2023;0.0;0.0;0.0;0.0
232;Total male and female;10000;Total;A16 Other aliment.tract/metabol.products;2020;3110.0;0.02;782.0;44.0
233;Total male and female;10000;Total;A16 Other aliment.tract/metabol.products;2021;3020.0;0.02;780.0;44.0
234;Total male and female;10000;Total;A16 Other aliment.tract/metabol.products;2022;2895.0;0.02;745.0;41.0
235;Total male and female;10000;Total;A16 Other aliment.tract/metabol.products;2023;2685.0;0.01;724.0;40.0
236;Total male and female;10000;Total;A16A Oth.aliment.tract and metabol.prod.;2020;3110.0;0.02;782.0;44.0
237;Total male and female;10000;Total;A16A Oth.aliment.tract and metabol.prod.;2021;3020.0;0.02;780.0;44.0
238;Total male and female;10000;Total;A16A Oth.aliment.tract and metabol.prod.;2022;2895.0;0.02;745.0;41.0
239;Total male and female;10000;Total;A16A Oth.aliment.tract and metabol.prod.;2023;2685.0;0.01;724.0;40.0
240;Total male and female;10000;Total;B Blood and blood forming organs;2020;2286375.0;12.85;903513.0;50763.0
241;Total male and female;10000;Total;B Blood and blood forming organs;2021;2349505.0;13.12;917722.0;51247.0
242;Total male and female;10000;Total;B Blood and blood forming organs;2022;2399755.0;13.22;916534.0;50481.0
243;Total male and female;10000;Total;B Blood and blood forming organs;2023;2439110.0;13.33;922679.0;50408.0
244;Total male and female;10000;Total;B01 Antithrombotic agents;2020;1856665.0;10.43;573249.0;32208.0
245;Total male and female;10000;Total;B01 Antithrombotic agents;2021;1900270.0;10.61;583415.0;32579.0
246;Total male and female;10000;Total;B01 Antithrombotic agents;2022;1932650.0;10.64;590346.0;32515.0
247;Total male and female;10000;Total;B01 Antithrombotic agents;2023;1961730.0;10.72;599520.0;32753.0
248;Total male and female;10000;Total;B01A Antithrombotic agents;2020;1856665.0;10.43;573249.0;32208.0
249;Total male and female;10000;Total;B01A Antithrombotic agents;2021;1900270.0;10.61;583415.0;32579.0
250;Total male and female;10000;Total;B01A Antithrombotic agents;2022;1932650.0;10.64;590346.0;32515.0
251;Total male and female;10000;Total;B01A Antithrombotic agents;2023;1961730.0;10.72;599520.0;32753.0
252;Total male and female;10000;Total;B02 Antihemorrhagics;2020;44025.0;0.25;1025.0;58.0
253;Total male and female;10000;Total;B02 Antihemorrhagics;2021;49605.0;0.28;1134.0;63.0
254;Total male and female;10000;Total;B02 Antihemorrhagics;2022;53620.0;0.3;1290.0;71.0
255;Total male and female;10000;Total;B02 Antihemorrhagics;2023;58470.0;0.32;1449.0;79.0
256;Total male and female;10000;Total;B02A Antifibrinolytics;2020;27905.0;0.16;627.0;35.0
257;Total male and female;10000;Total;B02A Antifibrinolytics;2021;33125.0;0.18;679.0;38.0
258;Total male and female;10000;Total;B02A Antifibrinolytics;2022;39660.0;0.22;787.0;43.0
259;Total male and female;10000;Total;B02A Antifibrinolytics;2023;46100.0;0.25;885.0;48.0
260;Total male and female;10000;Total;B02B Vitamin k and other hemostatics;2020;16405.0;0.09;398.0;22.0
261;Total male and female;10000;Total;B02B Vitamin k and other hemostatics;2021;16820.0;0.09;455.0;25.0
262;Total male and female;10000;Total;B02B Vitamin k and other hemostatics;2022;14365.0;0.08;503.0;28.0
263;Total male and female;10000;Total;B02B Vitamin k and other hemostatics;2023;12835.0;0.07;565.0;31.0
264;Total male and female;10000;Total;B03 Antianemic preparations;2020;568455.0;3.19;329061.0;18488.0
265;Total male and female;10000;Total;B03 Antianemic preparations;2021;593030.0;3.31;333092.0;18600.0
266;Total male and female;10000;Total;B03 Antianemic preparations;2022;607405.0;3.35;324822.0;17890.0
267;Total male and female;10000;Total;B03 Antianemic preparations;2023;615390.0;3.36;321623.0;17571.0
268;Total male and female;10000;Total;B03A Iron preparations;2020;282185.0;1.59;15714.0;883.0
269;Total male and female;10000;Total;B03A Iron preparations;2021;307765.0;1.72;13196.0;737.0
270;Total male and female;10000;Total;B03A Iron preparations;2022;330415.0;1.82;11636.0;641.0
271;Total male and female;10000;Total;B03A Iron preparations;2023;347265.0;1.9;10526.0;575.0
272;Total male and female;10000;Total;B03B Vitamin B12 and folic acid;2020;306495.0;1.72;308088.0;17310.0
273;Total male and female;10000;Total;B03B Vitamin B12 and folic acid;2021;306650.0;1.71;314470.0;17560.0
274;Total male and female;10000;Total;B03B Vitamin B12 and folic acid;2022;307730.0;1.69;313179.0;17249.0
275;Total male and female;10000;Total;B03B Vitamin B12 and folic acid;2023;298700.0;1.63;311092.0;16996.0
276;Total male and female;10000;Total;B03X Other antianemic preparations;2020;14880.0;0.08;5259.0;295.0
277;Total male and female;10000;Total;B03X Other antianemic preparations;2021;14925.0;0.08;5427.0;303.0
278;Total male and female;10000;Total;B03X Other antianemic preparations;2022;75.0;0.0;7.0;0.0
279;Total male and female;10000;Total;B03X Other antianemic preparations;2023;20.0;0.0;5.0;0.0
280;Total male and female;10000;Total;B05 Blood substitutes / perfus.solutions;2020;45770.0;0.26;174.0;10.0
