ID;Geslacht;Leeftijd;Herkomst;BurgerlijkeStaat;SociaaleconomischeCategorie;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
10;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2007;6554600;4500.0;9300.0;28.0;4900.0;15200.0;46.0;52.0;9400.0;24500.0;74.0
11;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2008;6638950;4600.0;9600.0;28.0;4900.0;15600.0;45.0;51.0;9500.0;25200.0;73.0
12;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2009;6468300;4900.0;10000.0;28.0;4800.0;14300.0;41.0;47.0;9700.0;24300.0;69.0
13;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2010;6416050;5100.0;10100.0;28.0;4600.0;14000.0;39.0;46.0;9700.0;24100.0;67.0
14;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2011;6441300;5200.0;10300.0;28.0;4500.0;13900.0;38.0;45.0;9700.0;24200.0;66.0
15;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2012;6407600;5300.0;10400.0;28.0;4200.0;13200.0;35.0;43.0;9500.0;23600.0;63.0
16;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2005;622650;4900.0;8600.0;27.0;1500.0;1800.0;6.0;69.0;6400.0;10400.0;33.0
17;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2006;650100;4900.0;8700.0;24.0;1600.0;2100.0;6.0;70.0;6500.0;10800.0;30.0
18;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2007;677950;5100.0;9000.0;24.0;1800.0;2400.0;6.0;70.0;6900.0;11400.0;30.0
19;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2008;695100;5300.0;9300.0;25.0;2000.0;2500.0;7.0;71.0;7300.0;11800.0;32.0
20;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2009;706550;5500.0;9700.0;27.0;2000.0;2300.0;6.0;64.0;7500.0;12000.0;33.0
21;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2010;724350;5600.0;9800.0;26.0;1900.0;2200.0;6.0;65.0;7500.0;12000.0;32.0
22;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2011;737050;5700.0;10000.0;26.0;1900.0;2200.0;6.0;63.0;7600.0;12200.0;32.0
23;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Zelfstandige;2012;752950;5800.0;10100.0;28.0;1600.0;1900.0;5.0;61.0;7400.0;12000.0;33.0
24;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2005;342150;8000.0;8700.0;28.0;10200.0;10400.0;33.0;73.0;18200.0;19100.0;61.0
25;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2006;344350;8200.0;8900.0;27.0;10000.0;10100.0;31.0;74.0;18200.0;19000.0;58.0
26;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2007;357300;8500.0;9100.0;28.0;10800.0;11000.0;33.0;75.0;19300.0;20100.0;61.0
27;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2008;353700;8800.0;9400.0;28.0;11100.0;11300.0;34.0;76.0;19900.0;20700.0;62.0
28;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2009;369750;9200.0;9900.0;30.0;10700.0;10900.0;33.0;70.0;19900.0;20800.0;63.0
29;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2010;355300;9400.0;10000.0;30.0;10300.0;10400.0;32.0;70.0;19700.0;20400.0;62.0
30;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2011;316500;9500.0;10100.0;31.0;9300.0;9500.0;28.0;70.0;18800.0;19600.0;59.0
31;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Pensioenontvanger;2012;266400;9700.0;10300.0;30.0;8900.0;9100.0;27.0;68.0;18600.0;19400.0;57.0
32;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2005;3763150;3600.0;9500.0;139.0;1000.0;1200.0;17.0;27.0;4600.0;10700.0;156.0
33;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2006;3661100;3600.0;9600.0;138.0;900.0;1200.0;17.0;27.0;4500.0;10800.0;155.0
34;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2007;3470050;3700.0;10000.0;148.0;900.0;1300.0;19.0;26.0;4600.0;11300.0;167.0
35;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2008;3409500;3800.0;10400.0;146.0;1000.0;1300.0;19.0;27.0;4800.0;11700.0;165.0
36;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2009;3580750;3900.0;10900.0;136.0;1000.0;1300.0;17.0;22.0;4900.0;12200.0;153.0
37;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2010;3659550;3900.0;11100.0;135.0;900.0;1300.0;16.0;22.0;4800.0;12400.0;151.0
38;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2011;3624500;3900.0;11300.0;133.0;900.0;1200.0;14.0;20.0;4800.0;12500.0;147.0
39;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Inactieve;2012;3653300;4000.0;11400.0;131.0;800.0;1200.0;13.0;19.0;4800.0;12600.0;144.0
40;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2005;5636050;4900.0;7900.0;31.0;4500.0;9700.0;37.0;66.0;9400.0;17600.0;68.0
41;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2006;5580250;5000.0;8000.0;28.0;4600.0;10800.0;38.0;67.0;9600.0;18800.0;66.0
42;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2007;5505350;5200.0;8300.0;28.0;5200.0;11900.0;40.0;68.0;10400.0;20200.0;68.0
43;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2008;5448850;5400.0;8500.0;28.0;5300.0;12300.0;40.0;67.0;10700.0;20800.0;68.0
44;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2009;5396350;5700.0;9000.0;29.0;5200.0;11300.0;36.0;61.0;10900.0;20300.0;65.0
45;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2010;5343550;5800.0;9100.0;28.0;4900.0;11000.0;34.0;59.0;10700.0;20100.0;62.0
46;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2011;5233750;5900.0;9200.0;28.0;4800.0;10900.0;33.0;58.0;10700.0;20100.0;61.0
47;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Totaal sociaaleconomische categorie;2012;5128100;5900.0;9300.0;27.0;4400.0;10400.0;31.0;56.0;10300.0;19700.0;58.0
48;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2005;3494150;4600.0;8000.0;25.0;5500.0;13900.0;43.0;68.0;10100.0;21900.0;68.0
49;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2006;3499850;4700.0;8100.0;23.0;5600.0;15400.0;44.0;69.0;10300.0;23500.0;67.0
50;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2007;3541750;4900.0;8300.0;23.0;6400.0;16700.0;46.0;69.0;11300.0;25000.0;69.0
51;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2008;3552300;5100.0;8600.0;23.0;6500.0;17000.0;45.0;67.0;11600.0;25600.0;68.0
52;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2009;3484600;5400.0;9000.0;24.0;6200.0;15500.0;41.0;62.0;11600.0;24500.0;65.0
53;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2010;3444150;5500.0;9100.0;24.0;6000.0;15200.0;39.0;60.0;11500.0;24300.0;63.0
54;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2011;3440950;5600.0;9300.0;23.0;5800.0;15000.0;38.0;59.0;11400.0;24300.0;61.0
55;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Werknemer;2012;3388000;5700.0;9400.0;23.0;5400.0;14300.0;35.0;57.0;11100.0;23700.0;58.0
56;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2005;422700;5000.0;8000.0;24.0;1700.0;2000.0;6.0;78.0;6700.0;10000.0;30.0
57;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2006;434550;5100.0;8100.0;22.0;1800.0;2200.0;6.0;79.0;6900.0;10300.0;28.0
58;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2007;443700;5200.0;8400.0;22.0;2000.0;2500.0;7.0;79.0;7200.0;10900.0;29.0
59;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2008;449100;5400.0;8600.0;22.0;2200.0;2700.0;7.0;80.0;7600.0;11300.0;29.0
60;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2009;444900;5700.0;9100.0;24.0;2200.0;2500.0;7.0;73.0;7900.0;11600.0;31.0
61;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2010;453500;5800.0;9100.0;23.0;2100.0;2500.0;6.0;73.0;7900.0;11600.0;29.0
62;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2011;452600;5900.0;9300.0;23.0;2100.0;2400.0;6.0;72.0;8000.0;11700.0;29.0
63;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Zelfstandige;2012;455500;6000.0;9400.0;24.0;1900.0;2100.0;6.0;70.0;7900.0;11500.0;30.0
64;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2005;223400;7300.0;7800.0;23.0;12500.0;12700.0;38.0;78.0;19800.0;20500.0;61.0
65;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2006;226250;7400.0;8000.0;23.0;12100.0;12300.0;35.0;80.0;19500.0;20300.0;58.0
66;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2007;238150;7700.0;8200.0;24.0;12800.0;13000.0;37.0;80.0;20500.0;21200.0;61.0
67;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2008;235950;8000.0;8500.0;24.0;12900.0;13100.0;37.0;81.0;20900.0;21600.0;61.0
68;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2009;248100;8400.0;8900.0;25.0;12500.0;12700.0;35.0;73.0;20900.0;21600.0;60.0
69;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2010;237000;8500.0;9000.0;25.0;12000.0;12200.0;33.0;73.0;20500.0;21200.0;58.0
70;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2011;209750;8700.0;9200.0;25.0;10600.0;10800.0;30.0;72.0;19300.0;20000.0;55.0
71;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Pensioenontvanger;2012;172500;8800.0;9300.0;25.0;10400.0;10600.0;28.0;72.0;19200.0;19900.0;53.0
72;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2005;1495850;5100.0;7700.0;104.0;1600.0;1700.0;23.0;56.0;6700.0;9400.0;127.0
73;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2006;1419550;5300.0;7800.0;99.0;1600.0;1800.0;23.0;56.0;6900.0;9600.0;122.0
74;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2007;1281800;5500.0;8100.0;108.0;1600.0;1900.0;25.0;57.0;7100.0;10000.0;133.0
75;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2008;1211550;5700.0;8300.0;105.0;1700.0;2000.0;25.0;57.0;7400.0;10300.0;130.0
76;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2009;1218800;5900.0;8700.0;93.0;1700.0;2100.0;23.0;49.0;7600.0;10800.0;116.0
77;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2010;1208950;6000.0;8800.0;91.0;1700.0;2100.0;21.0;48.0;7700.0;10900.0;112.0
78;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2011;1130450;6100.0;8900.0;86.0;1600.0;2000.0;19.0;46.0;7700.0;10900.0;105.0
79;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Gehuwd;Inactieve;2012;1112150;6100.0;9000.0;83.0;1500.0;1900.0;18.0;44.0;7600.0;10900.0;101.0
80;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2005;5385850;3400.0;10300.0;56.0;1800.0;6200.0;33.0;23.0;5200.0;16500.0;89.0
81;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2006;5452750;3500.0;10400.0;53.0;1800.0;7100.0;36.0;24.0;5300.0;17500.0;89.0
82;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2007;5554500;3600.0;10700.0;52.0;2100.0;7900.0;38.0;25.0;5700.0;18600.0;90.0
83;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2008;5648350;3800.0;11000.0;51.0;2200.0;8300.0;38.0;26.0;6000.0;19300.0;89.0
84;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2009;5729000;4000.0;11500.0;53.0;2100.0;7300.0;34.0;23.0;6100.0;18800.0;87.0
85;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2010;5811700;4000.0;11600.0;53.0;2000.0;7100.0;32.0;23.0;6000.0;18700.0;85.0
86;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2011;5885600;4100.0;11800.0;53.0;2000.0;7000.0;31.0;22.0;6100.0;18800.0;84.0
87;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Totaal sociaaleconomische categorie;2012;5952150;4200.0;12000.0;53.0;1800.0;6600.0;29.0;20.0;6000.0;18600.0;82.0
88;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2005;2799800;3700.0;10000.0;37.0;2600.0;10900.0;40.0;31.0;6300.0;20900.0;77.0
89;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2006;2877650;3800.0;10100.0;35.0;2600.0;12400.0;43.0;32.0;6400.0;22500.0;78.0
90;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2007;3012850;4000.0;10400.0;35.0;3100.0;13600.0;46.0;33.0;7100.0;24000.0;81.0
91;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2008;3086650;4100.0;10700.0;35.0;3200.0;14000.0;45.0;33.0;7300.0;24700.0;80.0
92;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2009;2983750;4400.0;11200.0;35.0;3100.0;12900.0;40.0;30.0;7500.0;24100.0;75.0
93;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2010;2971900;4500.0;11300.0;35.0;3100.0;12600.0;39.0;30.0;7600.0;23900.0;74.0
94;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2011;3000350;4700.0;11500.0;35.0;3100.0;12600.0;38.0;29.0;7800.0;24100.0;73.0
95;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Werknemer;2012;3019600;4800.0;11600.0;35.0;2800.0;12000.0;36.0;27.0;7600.0;23600.0;71.0
96;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2005;200000;4700.0;9700.0;34.0;1200.0;1500.0;5.0;51.0;5900.0;11200.0;39.0
97;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2006;215500;4700.0;9800.0;29.0;1200.0;1800.0;5.0;52.0;5900.0;11600.0;34.0
98;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2007;234250;4900.0;10100.0;30.0;1500.0;2100.0;6.0;53.0;6400.0;12200.0;36.0
99;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2008;246000;5100.0;10400.0;30.0;1600.0;2200.0;6.0;55.0;6700.0;12600.0;36.0
100;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2009;261650;5200.0;10800.0;33.0;1600.0;1900.0;6.0;50.0;6800.0;12700.0;39.0
101;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2010;270900;5400.0;10900.0;31.0;1500.0;1900.0;5.0;50.0;6900.0;12800.0;36.0
102;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2011;284450;5500.0;11100.0;32.0;1400.0;1800.0;5.0;50.0;6900.0;12900.0;37.0
103;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Zelfstandige;2012;297450;5500.0;11200.0;33.0;1200.0;1500.0;5.0;46.0;6700.0;12700.0;38.0
104;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2005;118750;9500.0;10400.0;39.0;6000.0;6100.0;23.0;62.0;15500.0;16500.0;62.0
105;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2006;118050;9700.0;10600.0;38.0;6000.0;6100.0;22.0;63.0;15700.0;16700.0;60.0
106;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2007;119150;10000.0;10900.0;38.0;6700.0;6800.0;24.0;65.0;16700.0;17700.0;62.0
107;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2008;117750;10400.0;11300.0;38.0;7500.0;7700.0;26.0;66.0;17900.0;19000.0;64.0
108;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2009;121700;10900.0;11800.0;47.0;7000.0;7200.0;29.0;64.0;17900.0;19000.0;76.0
109;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2010;118300;11000.0;11900.0;46.0;6900.0;7000.0;27.0;65.0;17900.0;18900.0;73.0
110;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2011;106750;11200.0;12100.0;45.0;6600.0;6800.0;25.0;64.0;17800.0;18900.0;70.0
111;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Niet gehuwd;Pensioenontvanger;2012;93900;11300.0;12200.0;45.0;6300.0;6400.0;24.0;62.0;17600.0;18600.0;69.0
