ID;SBI93;Perioden;AantalBedrijven_1;GeboorteBedrijven_2;SterfteBedrijven_3;OverigeAfnameBedrijven_4;AantalBanen_5;TotaleBanengroei_6;InterneBanengroei_7;ExterneBanengroei_8;AandeelBanenGrootste10Bedrijven_9
34;Huizen, dagverblijven voor gehandicapten;1996;300.0;5.0;20.0;20.0;89;5.516;5.542;-0.026;25.1
35;Huizen, dagverblijven voor gehandicapten;1997;290.0;5.0;5.0;10.0;91;3.048;5.06;-2.012;24.9
36;Huizen, dagverblijven voor gehandicapten;1998;285.0;5.0;5.0;10.0;96;4.937;3.744;1.193;24.9
37;Huizen, dagverblijven voor gehandicapten;1999;270.0;5.0;5.0;15.0;99;3.06;3.515;-0.455;27.4
38;Huizen, dagverblijven voor gehandicapten;2000;250.0;5.0;5.0;20.0;104;4.899;3.884;1.015;29.5
39;Huizen, dagverblijven voor gehandicapten;2001;240.0;10.0;5.0;15.0;110;6.523;6.906;-0.383;30.0
40;Huizen, dagverblijven voor gehandicapten;2002;250.0;25.0;5.0;10.0;119;7.574;7.65;-0.076;31.0
41;Huizen, dagverblijven voor gehandicapten;2003;255.0;20.0;5.0;5.0;131;10.459;9.495;0.964;30.4
42;Huizen, dagverblijven voor gehandicapten;2004;265.0;25.0;10.0;5.0;136;3.688;4.235;-0.547;29.8
43;Huizen, dagverblijven voor gehandicapten;2005;305.0;45.0;0.0;0.0;140;3.133;3.222;-0.089;29.8
44;Huizen voor gehandicapten;1995;260.0;;;;77;;;;26.9
45;Huizen voor gehandicapten;1996;235.0;0.0;15.0;15.0;83;7.379;5.673;1.706;26.8
46;Huizen voor gehandicapten;1997;225.0;0.0;5.0;5.0;85;2.547;5.204;-2.657;26.8
47;Huizen voor gehandicapten;1998;215.0;0.0;5.0;5.0;89;4.623;3.389;1.234;26.9
48;Huizen voor gehandicapten;1999;200.0;5.0;5.0;15.0;91;2.139;3.586;-1.447;29.9
49;Huizen voor gehandicapten;2000;180.0;0.0;5.0;15.0;96;6.093;3.882;2.211;31.8
50;Huizen voor gehandicapten;2001;165.0;0.0;5.0;10.0;103;7.187;6.733;0.454;32.1
51;Huizen voor gehandicapten;2002;150.0;5.0;5.0;15.0;111;7.268;7.734;-0.466;33.2
52;Huizen voor gehandicapten;2003;155.0;5.0;0.0;5.0;122;10.527;9.346;1.181;32.6
53;Huizen voor gehandicapten;2004;155.0;5.0;0.0;5.0;126;3.232;4.238;-1.006;32.1
54;Huizen voor gehandicapten;2005;160.0;10.0;0.0;0.0;130;3.114;3.152;-0.038;32.2
55;Instellingen en ambulante GGZ;1995;;;;;53;;;;34.6
56;Instellingen en ambulante GGZ;1996;;;;;55;4.532;2.066;2.466;25.9
57;Instellingen en ambulante GGZ;1997;;;;;56;1.445;1.762;-0.317;25.9
58;Instellingen en ambulante GGZ;1998;;;;;57;2.639;3.182;-0.543;29.3
59;Instellingen en ambulante GGZ;1999;;;;;60;5.399;1.165;4.234;28.5
60;Instellingen en ambulante GGZ;2000;;;;;62;2.547;3.285;-0.738;30.0
61;Instellingen en ambulante GGZ;2001;;;;;66;6.193;6.524;-0.331;29.9
62;Instellingen en ambulante GGZ;2002;;;;;70;6.221;6.053;0.168;29.7
63;Instellingen en ambulante GGZ;2003;;;;;74;5.662;6.261;-0.599;29.9
64;Instellingen en ambulante GGZ;2004;1070.0;;;;77;4.74;4.476;0.264;29.5
65;Instellingen en ambulante GGZ;2005;1470.0;425.0;55.0;-30.0;80;3.994;4.716;-0.722;30.3
66;Instellingen GGZ met overnachting;1995;155.0;;;;41;;;;44.7
67;Instellingen GGZ met overnachting;1996;150.0;5.0;15.0;-5.0;43;5.635;1.852;3.783;33.1
68;Instellingen GGZ met overnachting;1997;145.0;5.0;5.0;10.0;44;1.901;0.758;1.143;33.0
69;Instellingen GGZ met overnachting;1998;135.0;0.0;5.0;5.0;46;5.773;2.725;3.048;36.2
70;Instellingen GGZ met overnachting;1999;135.0;5.0;5.0;0.0;49;6.161;0.564;5.597;35.0
71;Instellingen GGZ met overnachting;2000;130.0;5.0;0.0;5.0;53;7.213;2.589;4.624;35.2
72;Instellingen GGZ met overnachting;2001;125.0;10.0;5.0;5.0;57;7.374;5.646;1.728;34.8
73;Instellingen GGZ met overnachting;2002;125.0;5.0;5.0;0.0;61;6.926;6.169;0.757;34.3
74;Instellingen GGZ met overnachting;2003;125.0;5.0;5.0;0.0;65;6.949;5.793;1.156;34.0
75;Instellingen GGZ met overnachting;2004;125.0;10.0;5.0;0.0;68;4.561;3.869;0.692;33.6
76;Instellingen GGZ met overnachting;2005;130.0;5.0;0.0;0.0;70;3.117;3.783;-0.666;34.9
77;Thuiszorg;1995;410.0;;;;105;;;;24.2
78;Thuiszorg;1996;425.0;45.0;35.0;0.0;106;0.157;-0.212;0.369;23.9
79;Thuiszorg;1997;425.0;50.0;45.0;10.0;108;2.416;1.499;0.917;23.8
80;Thuiszorg;1998;430.0;45.0;30.0;10.0;110;1.501;1.82;-0.319;25.3
81;Thuiszorg;1999;430.0;45.0;35.0;5.0;110;0.17;1.813;-1.643;28.3
82;Thuiszorg;2000;455.0;55.0;30.0;0.0;111;1.157;1.36;-0.203;28.3
83;Thuiszorg;2001;465.0;50.0;50.0;-10.0;118;6.212;4.083;2.129;27.5
84;Thuiszorg;2002;495.0;80.0;45.0;0.0;133;12.459;9.515;2.944;26.0
85;Thuiszorg;2003;625.0;150.0;30.0;-5.0;144;8.674;8.29;0.384;26.3
86;Thuiszorg;2004;725.0;140.0;45.0;-5.0;144;-0.087;-0.78;0.693;25.8
87;Thuiszorg;2005;865.0;190.0;60.0;-5.0;147;1.821;3.197;-1.376;26.1
88;Verpleeghuizen;1995;220.0;;;;96;;;;17.5
89;Verpleeghuizen;1996;220.0;5.0;0.0;5.0;94;-1.461;3.831;-5.292;15.8
90;Verpleeghuizen;1997;215.0;0.0;0.0;5.0;98;3.887;2.434;1.453;16.2
91;Verpleeghuizen;1998;215.0;0.0;0.0;5.0;101;2.465;2.414;0.051;16.2
92;Verpleeghuizen;1999;210.0;0.0;0.0;5.0;104;3.338;0.472;2.866;15.5
93;Verpleeghuizen;2000;195.0;0.0;0.0;15.0;105;1.341;3.183;-1.842;16.6
94;Verpleeghuizen;2001;190.0;0.0;0.0;5.0;108;2.832;3.241;-0.409;15.6
95;Verpleeghuizen;2002;170.0;0.0;0.0;15.0;114;5.246;4.929;0.317;18.9
96;Verpleeghuizen;2003;165.0;0.0;0.0;5.0;116;2.036;3.054;-1.018;19.0
97;Verpleeghuizen;2004;155.0;0.0;0.0;10.0;119;1.951;1.175;0.776;19.8
98;Verpleeghuizen;2005;140.0;0.0;0.0;15.0;125;5.758;2.177;3.581;23.2
99;Verzorgingshuizen;1995;1070.0;;;;91;;;;6.8
100;Verzorgingshuizen;1996;1010.0;0.0;0.0;55.0;95;3.752;1.959;1.793;8.3
101;Verzorgingshuizen;1997;915.0;5.0;5.0;95.0;95;0.655;2.757;-2.102;8.8
102;Verzorgingshuizen;1998;845.0;0.0;0.0;70.0;96;0.474;1.999;-1.525;9.5
103;Verzorgingshuizen;1999;790.0;0.0;0.0;55.0;96;0.153;3.74;-3.587;9.8
104;Verzorgingshuizen;2000;705.0;0.0;0.0;85.0;99;3.468;4.74;-1.272;12.9
105;Verzorgingshuizen;2001;645.0;0.0;5.0;60.0;102;2.946;5.54;-2.594;13.3
106;Verzorgingshuizen;2002;580.0;0.0;0.0;65.0;105;2.603;5.348;-2.745;13.8
107;Verzorgingshuizen;2003;555.0;0.0;0.0;25.0;109;4.212;5.327;-1.115;14.0
108;Verzorgingshuizen;2004;510.0;0.0;0.0;45.0;109;-0.532;2.864;-3.396;14.5
109;Verzorgingshuizen;2005;455.0;0.0;5.0;55.0;110;1.158;3.911;-2.753;15.7
110;Verpleeg- en verzorgingshuizen;1995;1290.0;;;;187;;;;9.0
111;Verpleeg- en verzorgingshuizen;1996;1235.0;5.0;0.0;60.0;189;1.083;2.885;-1.802;8.4
112;Verpleeg- en verzorgingshuizen;1997;1130.0;5.0;5.0;105.0;194;2.267;2.594;-0.327;8.4
113;Verpleeg- en verzorgingshuizen;1998;1060.0;5.0;0.0;70.0;196;1.483;2.211;-0.728;8.5
114;Verpleeg- en verzorgingshuizen;1999;1000.0;0.0;0.0;60.0;200;1.783;2.017;-0.234;8.3
115;Verpleeg- en verzorgingshuizen;2000;900.0;0.0;0.0;100.0;205;2.363;3.933;-1.57;9.0
116;Verpleeg- en verzorgingshuizen;2001;830.0;5.0;5.0;65.0;211;2.887;4.345;-1.458;8.4
117;Verpleeg- en verzorgingshuizen;2002;750.0;0.0;5.0;80.0;219;3.962;5.129;-1.167;10.1
118;Verpleeg- en verzorgingshuizen;2003;720.0;0.0;0.0;30.0;226;3.079;4.142;-1.063;10.0
119;Verpleeg- en verzorgingshuizen;2004;665.0;0.0;0.0;55.0;227;0.747;1.976;-1.229;10.5
120;Verpleeg- en verzorgingshuizen;2005;595.0;0.0;5.0;70.0;235;3.556;2.981;0.575;12.4
