ID;ZorgpraktijkenSBI2008;Perioden;Zelfstandigen_1;Bedrijven_2;TotaalBedrijfsopbrengsten_3;NettoOmzet_4;TotaalOverigeBedrijfsopbrengsten_5;Subsidies_6;NietEerderGenoemdeBedrijfsopbrengsten_7;TotaalBedrijfskosten_8;TotaalArbeidskosten_9;LonenEnSalarissen_10;PensioenlastenEnSocialeLasten_11;AfschrijvingenOpVasteActiva_12;OverigeWaardeveranderingenVanActiva_13;TotaalOverigeBedrijfskosten_14;OverigePersoneelskosten_15;NietEerderGenoemdeBedrijfskosten_16;Bedrijfsresultaat_17;Rentebaten_18;Rentelasten_19;OverigFinancieelResultaat_20;FinancieelResultaat_21;ResultaatUitDeelnemingen_22;BuitengewoneBaten_23;BuitengewoneLasten_24;BuitengewoonResultaat_25;ResultaatVoorBelasting_26
10;86221 Praktijken overige specialisten;2018;2790.0;5260.0;3203.0;2960.0;244.0;9.0;234.0;2265.0;1162.0;1038.0;124.0;118.0;1.0;985.0;112.0;873.0;938.0;2.0;15.0;15.0;2.0;35.0;10.0;3.0;8.0;982.0
11;86221 Praktijken overige specialisten;2019;2750.0;5730.0;3419.0;3178.0;240.0;10.0;231.0;2437.0;1219.0;1090.0;128.0;116.0;1.0;1101.0;102.0;999.0;982.0;1.0;14.0;45.0;33.0;59.0;12.0;4.0;8.0;1081.0
12;86221 Praktijken overige specialisten;2020;2670.0;5830.0;3576.0;3319.0;257.0;11.0;246.0;2581.0;1298.0;1151.0;147.0;115.0;1.0;1167.0;116.0;1051.0;995.0;1.0;14.0;23.0;10.0;64.0;12.0;2.0;10.0;1078.0
13;86221 Praktijken overige specialisten;2021;3100.0;5890.0;3913.0;3644.0;269.0;10.0;259.0;2793.0;1342.0;1175.0;166.0;112.0;1.0;1338.0;126.0;1212.0;1120.0;1.0;17.0;43.0;27.0;91.0;15.0;3.0;12.0;1250.0
14;86222 Praktijken van psychiaters;2015;850.0;100.0;262.0;255.0;7.0;1.0;6.0;186.0;96.0;75.0;21.0;5.0;1.0;85.0;28.0;57.0;76.0;0.0;3.0;2.0;-1.0;1.0;1.0;1.0;-1.0;75.0
15;86222 Praktijken van psychiaters;2016;860.0;110.0;286.0;278.0;8.0;2.0;6.0;201.0;102.0;79.0;23.0;4.0;0.0;95.0;36.0;59.0;85.0;0.0;3.0;1.0;-1.0;2.0;0.0;0.0;0.0;85.0
16;86222 Praktijken van psychiaters;2017;920.0;120.0;334.0;323.0;11.0;2.0;9.0;235.0;141.0;110.0;31.0;5.0;0.0;90.0;27.0;63.0;98.0;0.0;2.0;1.0;-1.0;2.0;1.0;0.0;0.0;99.0
17;86222 Praktijken van psychiaters;2018;950.0;130.0;379.0;369.0;10.0;2.0;8.0;271.0;158.0;125.0;33.0;5.0;0.0;108.0;19.0;89.0;108.0;0.0;4.0;2.0;-2.0;4.0;1.0;0.0;1.0;111.0
18;86222 Praktijken van psychiaters;2019;1000.0;140.0;430.0;419.0;12.0;3.0;9.0;314.0;181.0;142.0;39.0;6.0;0.0;128.0;26.0;102.0;116.0;0.0;4.0;2.0;-2.0;5.0;0.0;1.0;0.0;119.0
19;86222 Praktijken van psychiaters;2020;1010.0;140.0;500.0;481.0;19.0;7.0;12.0;367.0;228.0;177.0;51.0;7.0;0.0;133.0;29.0;104.0;133.0;0.0;5.0;3.0;-2.0;7.0;0.0;0.0;0.0;139.0
20;86222 Praktijken van psychiaters;2021;1040.0;160.0;573.0;552.0;21.0;8.0;13.0;436.0;273.0;214.0;59.0;8.0;0.0;155.0;37.0;118.0;137.0;0.0;3.0;1.0;-2.0;5.0;1.0;0.0;0.0;141.0
21;86231 Praktijken van tandartsen;2015;6340.0;1510.0;2854.0;2783.0;72.0;9.0;62.0;1967.0;717.0;613.0;104.0;130.0;1.0;1119.0;88.0;1031.0;887.0;6.0;48.0;26.0;-16.0;34.0;24.0;5.0;19.0;925.0
22;86231 Praktijken van tandartsen;2016;6380.0;1520.0;2921.0;2837.0;84.0;10.0;74.0;2043.0;742.0;632.0;110.0;136.0;2.0;1164.0;93.0;1071.0;877.0;5.0;49.0;26.0;-18.0;34.0;25.0;3.0;22.0;915.0
23;86231 Praktijken van tandartsen;2017;6450.0;1520.0;3039.0;2958.0;81.0;10.0;71.0;2156.0;800.0;690.0;110.0;144.0;0.0;1212.0;97.0;1115.0;884.0;4.0;50.0;27.0;-19.0;48.0;28.0;2.0;25.0;938.0
24;86231 Praktijken van tandartsen;2018;6450.0;1520.0;3132.0;3037.0;95.0;11.0;84.0;2215.0;809.0;700.0;109.0;142.0;-1.0;1265.0;127.0;1138.0;917.0;2.0;49.0;12.0;-35.0;64.0;36.0;5.0;31.0;977.0
25;86231 Praktijken van tandartsen;2019;6580.0;1560.0;3358.0;3263.0;96.0;12.0;83.0;2368.0;865.0;745.0;119.0;156.0;-1.0;1348.0;134.0;1214.0;990.0;2.0;58.0;32.0;-25.0;80.0;32.0;3.0;28.0;1074.0
26;86231 Praktijken van tandartsen;2020;6660.0;1590.0;3186.0;3053.0;133.0;32.0;102.0;2302.0;871.0;748.0;123.0;160.0;-3.0;1274.0;115.0;1160.0;884.0;2.0;63.0;22.0;-40.0;67.0;43.0;3.0;40.0;950.0
27;86231 Praktijken van tandartsen;2021;6930.0;1670.0;3585.0;3481.0;105.0;18.0;87.0;2576.0;938.0;810.0;128.0;170.0;-2.0;1470.0;127.0;1343.0;1009.0;2.0;70.0;33.0;-36.0;77.0;43.0;3.0;40.0;1090.0
28;86232 Praktijken v. tandheelspecialisten;2015;160.0;240.0;268.0;252.0;16.0;1.0;15.0;181.0;86.0;75.0;11.0;12.0;1.0;81.0;9.0;72.0;87.0;1.0;4.0;12.0;10.0;11.0;2.0;0.0;1.0;110.0
29;86232 Praktijken v. tandheelspecialisten;2016;150.0;260.0;288.0;273.0;15.0;1.0;14.0;195.0;94.0;81.0;13.0;14.0;0.0;87.0;8.0;79.0;93.0;1.0;4.0;11.0;7.0;10.0;0.0;0.0;0.0;111.0
30;86232 Praktijken v. tandheelspecialisten;2017;170.0;260.0;293.0;279.0;14.0;1.0;13.0;198.0;94.0;82.0;12.0;14.0;0.0;90.0;8.0;82.0;95.0;1.0;3.0;13.0;11.0;11.0;3.0;0.0;3.0;120.0
31;86232 Praktijken v. tandheelspecialisten;2018;170.0;270.0;304.0;289.0;15.0;2.0;13.0;206.0;96.0;85.0;11.0;14.0;0.0;95.0;9.0;86.0;98.0;1.0;3.0;6.0;3.0;15.0;0.0;1.0;0.0;116.0
32;86232 Praktijken v. tandheelspecialisten;2019;170.0;270.0;315.0;298.0;17.0;2.0;15.0;214.0;100.0;89.0;11.0;15.0;0.0;99.0;9.0;90.0;101.0;0.0;2.0;12.0;10.0;23.0;1.0;1.0;0.0;135.0
33;86232 Praktijken v. tandheelspecialisten;2020;170.0;280.0;317.0;290.0;27.0;2.0;25.0;212.0;99.0;88.0;10.0;15.0;0.0;99.0;8.0;91.0;105.0;0.0;2.0;8.0;6.0;19.0;1.0;1.0;0.0;130.0
34;86232 Praktijken v. tandheelspecialisten;2021;190.0;280.0;345.0;324.0;21.0;1.0;20.0;228.0;99.0;89.0;11.0;15.0;0.0;113.0;10.0;103.0;118.0;0.0;2.0;13.0;11.0;30.0;1.0;1.0;0.0;159.0
35;86911 Praktijken van verloskundigen;2015;2200.0;20.0;192.0;185.0;7.0;0.0;7.0;83.0;17.0;11.0;6.0;6.0;0.0;60.0;2.0;59.0;108.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;109.0
36;86911 Praktijken van verloskundigen;2016;2220.0;20.0;202.0;194.0;8.0;0.0;8.0;88.0;18.0;12.0;6.0;7.0;0.0;64.0;2.0;61.0;114.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;114.0
37;86911 Praktijken van verloskundigen;2017;2270.0;20.0;201.0;193.0;8.0;0.0;8.0;88.0;18.0;12.0;6.0;6.0;0.0;64.0;2.0;62.0;113.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;113.0
38;86911 Praktijken van verloskundigen;2018;2360.0;20.0;218.0;210.0;9.0;0.0;9.0;94.0;19.0;13.0;6.0;7.0;0.0;68.0;2.0;66.0;125.0;0.0;1.0;0.0;-1.0;0.0;1.0;1.0;0.0;124.0
39;86911 Praktijken van verloskundigen;2019;2430.0;20.0;243.0;234.0;10.0;0.0;9.0;102.0;20.0;14.0;7.0;7.0;0.0;75.0;3.0;72.0;141.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;142.0
40;86911 Praktijken van verloskundigen;2020;2470.0;20.0;249.0;239.0;10.0;0.0;10.0;104.0;20.0;13.0;6.0;7.0;0.0;77.0;3.0;74.0;145.0;0.0;1.0;1.0;0.0;1.0;2.0;1.0;1.0;146.0
41;86911 Praktijken van verloskundigen;2021;2590.0;30.0;278.0;268.0;10.0;0.0;10.0;115.0;22.0;15.0;7.0;8.0;0.0;85.0;3.0;82.0;163.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;164.0
42;86912 Praktijken van fysiotherapeuten;2015;10150.0;500.0;1406.0;1360.0;46.0;5.0;41.0;850.0;411.0;339.0;72.0;59.0;0.0;380.0;39.0;341.0;556.0;1.0;22.0;5.0;-16.0;10.0;13.0;6.0;7.0;558.0
43;86912 Praktijken van fysiotherapeuten;2016;9960.0;540.0;1500.0;1449.0;51.0;6.0;46.0;902.0;445.0;368.0;77.0;60.0;0.0;397.0;42.0;355.0;598.0;1.0;20.0;5.0;-14.0;16.0;17.0;4.0;13.0;613.0
44;86912 Praktijken van fysiotherapeuten;2017;10140.0;550.0;1528.0;1475.0;54.0;7.0;47.0;935.0;465.0;386.0;78.0;60.0;0.0;410.0;45.0;365.0;594.0;1.0;19.0;5.0;-13.0;10.0;16.0;5.0;11.0;602.0
45;86912 Praktijken van fysiotherapeuten;2018;10260.0;550.0;1586.0;1534.0;53.0;7.0;46.0;997.0;496.0;411.0;85.0;61.0;0.0;440.0;50.0;389.0;590.0;0.0;17.0;4.0;-13.0;11.0;19.0;5.0;14.0;601.0
46;86912 Praktijken van fysiotherapeuten;2019;10210.0;580.0;1660.0;1606.0;54.0;7.0;47.0;1049.0;524.0;433.0;91.0;62.0;0.0;463.0;54.0;409.0;611.0;0.0;17.0;5.0;-12.0;11.0;18.0;3.0;14.0;625.0
47;86912 Praktijken van fysiotherapeuten;2020;9650.0;560.0;1577.0;1482.0;94.0;15.0;79.0;1010.0;513.0;423.0;90.0;59.0;0.0;438.0;50.0;387.0;567.0;0.0;15.0;2.0;-12.0;13.0;;;22.0;590.0
48;86912 Praktijken van fysiotherapeuten;2021;9960.0;610.0;1775.0;1714.0;61.0;14.0;47.0;1142.0;579.0;480.0;99.0;64.0;-1.0;500.0;62.0;438.0;632.0;0.0;16.0;4.0;-12.0;12.0;26.0;3.0;23.0;656.0
49;86913 Praktijken van psychologen;2015;4590.0;160.0;488.0;470.0;18.0;2.0;16.0;263.0;113.0;94.0;19.0;9.0;0.0;141.0;17.0;124.0;225.0;1.0;4.0;1.0;-2.0;2.0;2.0;1.0;1.0;226.0
50;86913 Praktijken van psychologen;2016;4570.0;180.0;545.0;527.0;18.0;3.0;15.0;305.0;136.0;112.0;23.0;9.0;0.0;160.0;20.0;140.0;240.0;0.0;4.0;1.0;-2.0;9.0;2.0;1.0;1.0;248.0
51;86913 Praktijken van psychologen;2017;4720.0;200.0;623.0;609.0;13.0;2.0;11.0;359.0;172.0;143.0;29.0;10.0;0.0;178.0;23.0;155.0;263.0;0.0;1.0;0.0;-2.0;5.0;2.0;1.0;1.0;269.0
52;86913 Praktijken van psychologen;2018;4700.0;220.0;669.0;654.0;15.0;3.0;13.0;390.0;192.0;160.0;33.0;10.0;0.0;188.0;22.0;166.0;278.0;0.0;3.0;1.0;-2.0;6.0;2.0;1.0;2.0;285.0
53;86913 Praktijken van psychologen;2019;4880.0;240.0;731.0;714.0;17.0;3.0;14.0;434.0;221.0;182.0;39.0;11.0;0.0;201.0;26.0;175.0;297.0;0.0;3.0;1.0;-1.0;7.0;3.0;1.0;2.0;304.0
54;86913 Praktijken van psychologen;2020;5000.0;270.0;816.0;792.0;24.0;8.0;16.0;491.0;260.0;213.0;46.0;12.0;0.0;219.0;29.0;190.0;325.0;0.0;3.0;1.0;-2.0;10.0;4.0;1.0;3.0;337.0
55;86913 Praktijken van psychologen;2021;5270.0;300.0;973.0;950.0;23.0;9.0;13.0;585.0;309.0;254.0;56.0;15.0;1.0;260.0;41.0;219.0;388.0;0.0;5.0;2.0;-2.0;14.0;6.0;1.0;6.0;406.0
56;86919 Overige paramedische praktijken;2015;1300.0;10.0;51.0;49.0;1.0;0.0;1.0;22.0;3.0;2.0;0.0;1.0;0.0;18.0;1.0;18.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0
57;86919 Overige paramedische praktijken;2016;1290.0;10.0;54.0;53.0;1.0;0.0;1.0;24.0;3.0;3.0;0.0;1.0;0.0;20.0;1.0;19.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
58;86919 Overige paramedische praktijken;2017;1300.0;10.0;59.0;58.0;1.0;0.0;1.0;28.0;5.0;4.0;1.0;1.0;0.0;22.0;1.0;20.0;32.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;32.0
59;86919 Overige paramedische praktijken;2018;1260.0;10.0;58.0;57.0;1.0;0.0;0.0;27.0;5.0;4.0;1.0;1.0;0.0;21.0;1.0;20.0;31.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;31.0
60;86919 Overige paramedische praktijken;2019;1230.0;10.0;61.0;61.0;1.0;0.0;0.0;28.0;6.0;5.0;1.0;1.0;0.0;22.0;2.0;20.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0
61;86919 Overige paramedische praktijken;2020;1210.0;10.0;60.0;59.0;1.0;0.0;1.0;28.0;6.0;5.0;1.0;1.0;0.0;21.0;1.0;20.0;32.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;33.0
62;86919 Overige paramedische praktijken;2021;1220.0;10.0;72.0;71.0;1.0;0.0;1.0;34.0;9.0;8.0;1.0;1.0;0.0;24.0;2.0;22.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0
