ID;BedrijfstakBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Waarde_3;CumulatieveWaarde_4
26;M-N Zakelijke dienstverlening;2008 2e kwartaal;129.0;124.0;7.6;7.6
27;M-N Zakelijke dienstverlening;2008 3e kwartaal;125.0;126.0;6.6;7.3
28;M-N Zakelijke dienstverlening;2008 4e kwartaal;136.0;128.0;4.6;6.6
29;M-N Zakelijke dienstverlening;2008;128.0;128.0;6.6;6.6
30;M-N Zakelijke dienstverlening;2009 1e kwartaal;122.0;128.0;1.1;1.1
31;M-N Zakelijke dienstverlening;2009 2e kwartaal;123.0;127.0;-4.6;-1.8
32;M-N Zakelijke dienstverlening;2009 3e kwartaal;118.0;125.0;-5.5;-3.1
33;M-N Zakelijke dienstverlening;2009 4e kwartaal;125.0;122.0;-8.0;-4.4
34;M-N Zakelijke dienstverlening;2009;122.0;122.0;-4.4;-4.4
35;M-N Zakelijke dienstverlening;2010 1e kwartaal;113.0;120.0;-7.9;-7.9
36;M-N Zakelijke dienstverlening;2010 2e kwartaal;118.0;119.0;-4.1;-6.0
37;M-N Zakelijke dienstverlening;2010 3e kwartaal;117.0;118.0;-0.3;-4.2
38;M-N Zakelijke dienstverlening;2010 4e kwartaal;126.0;119.0;0.5;-3.0
39;M-N Zakelijke dienstverlening;2010;119.0;119.0;-3.0;-3.0
40;M-N Zakelijke dienstverlening;2011 1e kwartaal;116.0;119.0;2.8;2.8
41;M-N Zakelijke dienstverlening;2011 2e kwartaal;122.0;120.0;3.3;3.0
42;M-N Zakelijke dienstverlening;2011 3e kwartaal;117.0;120.0;0.0;2.0
43;M-N Zakelijke dienstverlening;2011 4e kwartaal;125.0;120.0;-0.6;1.3
44;M-N Zakelijke dienstverlening;2011;120.0;120.0;1.3;1.3
45;M-N Zakelijke dienstverlening;2012 1e kwartaal;116.0;120.0;0.3;0.3
46;M-N Zakelijke dienstverlening;2012 2e kwartaal;123.0;120.0;0.7;0.5
47;M-N Zakelijke dienstverlening;2012 3e kwartaal;120.0;121.0;2.2;1.1
48;M-N Zakelijke dienstverlening;2012 4e kwartaal;124.0;121.0;-0.9;0.6
49;M-N Zakelijke dienstverlening;2012;121.0;121.0;0.6;0.6
50;IT- en overige zakelijke dienstverlening;2003 1e kwartaal;;;;
51;IT- en overige zakelijke dienstverlening;2003 2e kwartaal;;;;
52;IT- en overige zakelijke dienstverlening;2003 3e kwartaal;;;;
53;IT- en overige zakelijke dienstverlening;2003 4e kwartaal;;;;
54;IT- en overige zakelijke dienstverlening;2003;;;;
55;IT- en overige zakelijke dienstverlening;2004 1e kwartaal;;;;
56;IT- en overige zakelijke dienstverlening;2004 2e kwartaal;;;;
57;IT- en overige zakelijke dienstverlening;2004 3e kwartaal;;;;
58;IT- en overige zakelijke dienstverlening;2004 4e kwartaal;;;;
59;IT- en overige zakelijke dienstverlening;2004;;;;
60;IT- en overige zakelijke dienstverlening;2005 1e kwartaal;100.0;;;
61;IT- en overige zakelijke dienstverlening;2005 2e kwartaal;98.0;;;
62;IT- en overige zakelijke dienstverlening;2005 3e kwartaal;110.0;;;
63;IT- en overige zakelijke dienstverlening;2005 4e kwartaal;103.0;103.0;;
64;IT- en overige zakelijke dienstverlening;2005;103.0;103.0;;
65;IT- en overige zakelijke dienstverlening;2006 1e kwartaal;109.0;105.0;10.0;10.0
66;IT- en overige zakelijke dienstverlening;2006 2e kwartaal;108.0;108.0;10.5;10.2
67;IT- en overige zakelijke dienstverlening;2006 3e kwartaal;123.0;111.0;11.6;10.7
68;IT- en overige zakelijke dienstverlening;2006 4e kwartaal;115.0;114.0;11.5;10.9
69;IT- en overige zakelijke dienstverlening;2006;114.0;114.0;10.9;10.9
70;IT- en overige zakelijke dienstverlening;2007 1e kwartaal;121.0;117.0;10.1;10.1
71;IT- en overige zakelijke dienstverlening;2007 2e kwartaal;118.0;119.0;9.0;9.6
72;IT- en overige zakelijke dienstverlening;2007 3e kwartaal;132.0;121.0;7.6;8.9
73;IT- en overige zakelijke dienstverlening;2007 4e kwartaal;123.0;123.0;7.6;8.5
74;IT- en overige zakelijke dienstverlening;2007;123.0;123.0;8.5;8.5
75;IT- en overige zakelijke dienstverlening;2008 1e kwartaal;130.0;126.0;7.9;7.9
76;IT- en overige zakelijke dienstverlening;2008 2e kwartaal;126.0;128.0;6.8;7.4
77;IT- en overige zakelijke dienstverlening;2008 3e kwartaal;138.0;129.0;4.5;6.3
78;IT- en overige zakelijke dienstverlening;2008 4e kwartaal;125.0;130.0;1.7;5.2
79;IT- en overige zakelijke dienstverlening;2008;130.0;130.0;5.2;5.2
80;IT- en overige zakelijke dienstverlening;2009 1e kwartaal;125.0;129.0;-4.2;-4.2
81;IT- en overige zakelijke dienstverlening;2009 2e kwartaal;119.0;127.0;-5.9;-5.0
82;IT- en overige zakelijke dienstverlening;2009 3e kwartaal;127.0;124.0;-7.7;-6.0
83;IT- en overige zakelijke dienstverlening;2009 4e kwartaal;116.0;122.0;-7.2;-6.3
84;IT- en overige zakelijke dienstverlening;2009;122.0;122.0;-6.3;-6.3
85;IT- en overige zakelijke dienstverlening;2010 1e kwartaal;120.0;120.0;-4.0;-4.0
86;IT- en overige zakelijke dienstverlening;2010 2e kwartaal;119.0;120.0;0.0;-2.1
87;IT- en overige zakelijke dienstverlening;2010 3e kwartaal;129.0;121.0;1.1;-1.0
88;IT- en overige zakelijke dienstverlening;2010 4e kwartaal;119.0;122.0;2.4;-0.2
89;IT- en overige zakelijke dienstverlening;2010;122.0;122.0;-0.2;-0.2
90;IT- en overige zakelijke dienstverlening;2011 1e kwartaal;124.0;123.0;3.3;3.3
91;IT- en overige zakelijke dienstverlening;2011 2e kwartaal;120.0;123.0;1.2;2.3
92;IT- en overige zakelijke dienstverlening;2011 3e kwartaal;128.0;123.0;-0.4;1.3
93;IT- en overige zakelijke dienstverlening;2011 4e kwartaal;128.0;125.0;7.6;2.9
94;IT- en overige zakelijke dienstverlening;2011;125.0;125.0;2.9;2.9
95;IT- en overige zakelijke dienstverlening;2012 1e kwartaal;;;;
96;IT- en overige zakelijke dienstverlening;2012 2e kwartaal;;;;
97;IT- en overige zakelijke dienstverlening;2012 3e kwartaal;;;;
98;IT- en overige zakelijke dienstverlening;2012 4e kwartaal;;;;
99;IT- en overige zakelijke dienstverlening;2012;;;;
100;69 Juridische diensten en administratie;2003 1e kwartaal;;;;
101;69 Juridische diensten en administratie;2003 2e kwartaal;;;;
102;69 Juridische diensten en administratie;2003 3e kwartaal;;;;
103;69 Juridische diensten en administratie;2003 4e kwartaal;;;;
104;69 Juridische diensten en administratie;2003;;;;
105;69 Juridische diensten en administratie;2004 1e kwartaal;;;;
106;69 Juridische diensten en administratie;2004 2e kwartaal;;;;
107;69 Juridische diensten en administratie;2004 3e kwartaal;;;;
108;69 Juridische diensten en administratie;2004 4e kwartaal;;;;
109;69 Juridische diensten en administratie;2004;;;;
110;69 Juridische diensten en administratie;2005 1e kwartaal;98.0;;;
111;69 Juridische diensten en administratie;2005 2e kwartaal;102.0;;;
112;69 Juridische diensten en administratie;2005 3e kwartaal;93.0;;;
113;69 Juridische diensten en administratie;2005 4e kwartaal;108.0;100.0;;
114;69 Juridische diensten en administratie;2005;100.0;100.0;;
115;69 Juridische diensten en administratie;2006 1e kwartaal;106.0;102.0;7.9;7.9
116;69 Juridische diensten en administratie;2006 2e kwartaal;104.0;102.0;1.9;4.9
117;69 Juridische diensten en administratie;2006 3e kwartaal;95.0;103.0;2.6;4.2
118;69 Juridische diensten en administratie;2006 4e kwartaal;111.0;104.0;3.3;3.9
119;69 Juridische diensten en administratie;2006;104.0;104.0;3.9;3.9
120;69 Juridische diensten en administratie;2007 1e kwartaal;109.0;105.0;2.7;2.7
121;69 Juridische diensten en administratie;2007 2e kwartaal;109.0;106.0;4.9;3.8
122;69 Juridische diensten en administratie;2007 3e kwartaal;101.0;107.0;6.4;4.6
123;69 Juridische diensten en administratie;2007 4e kwartaal;116.0;109.0;4.4;4.5
124;69 Juridische diensten en administratie;2007;109.0;109.0;4.5;4.5
125;69 Juridische diensten en administratie;2008 1e kwartaal;114.0;110.0;4.9;4.9
126;69 Juridische diensten en administratie;2008 2e kwartaal;115.0;111.0;5.4;5.1
127;69 Juridische diensten en administratie;2008 3e kwartaal;105.0;112.0;3.9;4.7
128;69 Juridische diensten en administratie;2008 4e kwartaal;120.0;113.0;3.5;4.4
129;69 Juridische diensten en administratie;2008;113.0;113.0;4.4;4.4
130;69 Juridische diensten en administratie;2009 1e kwartaal;120.0;115.0;5.0;5.0
131;69 Juridische diensten en administratie;2009 2e kwartaal;116.0;115.0;1.5;3.2
132;69 Juridische diensten en administratie;2009 3e kwartaal;106.0;115.0;0.6;2.4
133;69 Juridische diensten en administratie;2009 4e kwartaal;119.0;115.0;-0.8;1.6
134;69 Juridische diensten en administratie;2009;115.0;115.0;1.6;1.6
135;69 Juridische diensten en administratie;2010 1e kwartaal;119.0;115.0;-0.5;-0.5
136;69 Juridische diensten en administratie;2010 2e kwartaal;116.0;115.0;-0.6;-0.6
137;69 Juridische diensten en administratie;2010 3e kwartaal;104.0;115.0;-1.1;-0.7
138;69 Juridische diensten en administratie;2010 4e kwartaal;119.0;115.0;-0.1;-0.6
139;69 Juridische diensten en administratie;2010;115.0;115.0;-0.6;-0.6
140;69 Juridische diensten en administratie;2011 1e kwartaal;120.0;115.0;0.5;0.5
141;69 Juridische diensten en administratie;2011 2e kwartaal;117.0;115.0;1.5;1.0
142;69 Juridische diensten en administratie;2011 3e kwartaal;103.0;115.0;-1.2;0.4
143;69 Juridische diensten en administratie;2011 4e kwartaal;119.0;115.0;-0.4;0.2
144;69 Juridische diensten en administratie;2011;115.0;115.0;0.2;0.2
145;69 Juridische diensten en administratie;2012 1e kwartaal;119.0;115.0;-0.4;-0.4
146;69 Juridische diensten en administratie;2012 2e kwartaal;117.0;114.0;-0.6;-0.5
147;69 Juridische diensten en administratie;2012 3e kwartaal;106.0;115.0;2.5;0.4
148;69 Juridische diensten en administratie;2012 4e kwartaal;118.0;115.0;-0.2;0.2
149;69 Juridische diensten en administratie;2012;115.0;115.0;0.2;0.2
150;691 Rechtskundige dienstverlening;2003 1e kwartaal;;;;
151;691 Rechtskundige dienstverlening;2003 2e kwartaal;;;;
152;691 Rechtskundige dienstverlening;2003 3e kwartaal;89.0;;;
153;691 Rechtskundige dienstverlening;2003 4e kwartaal;104.0;;;
154;691 Rechtskundige dienstverlening;2003;;;;
155;691 Rechtskundige dienstverlening;2004 1e kwartaal;91.0;;;
156;691 Rechtskundige dienstverlening;2004 2e kwartaal;96.0;95.0;;
157;691 Rechtskundige dienstverlening;2004 3e kwartaal;93.0;96.0;3.9;
158;691 Rechtskundige dienstverlening;2004 4e kwartaal;106.0;96.0;1.7;
159;691 Rechtskundige dienstverlening;2004;100.0;100.0;;
160;691 Rechtskundige dienstverlening;2005 1e kwartaal;89.0;96.0;-1.6;-1.6
161;691 Rechtskundige dienstverlening;2005 2e kwartaal;102.0;97.0;5.8;2.2
162;691 Rechtskundige dienstverlening;2005 3e kwartaal;96.0;98.0;4.2;2.9
163;691 Rechtskundige dienstverlening;2005 4e kwartaal;113.0;100.0;6.0;3.8
164;691 Rechtskundige dienstverlening;2005;100.0;100.0;;
165;691 Rechtskundige dienstverlening;2006 1e kwartaal;99.0;102.0;10.9;10.9
166;691 Rechtskundige dienstverlening;2006 2e kwartaal;107.0;104.0;4.6;7.5
167;691 Rechtskundige dienstverlening;2006 3e kwartaal;100.0;105.0;4.1;6.4
168;691 Rechtskundige dienstverlening;2006 4e kwartaal;118.0;106.0;4.9;6.0
169;691 Rechtskundige dienstverlening;2006;106.0;106.0;6.0;6.0
170;691 Rechtskundige dienstverlening;2007 1e kwartaal;102.0;107.0;3.6;3.6
171;691 Rechtskundige dienstverlening;2007 2e kwartaal;109.0;107.0;2.2;2.9
172;691 Rechtskundige dienstverlening;2007 3e kwartaal;106.0;109.0;5.9;3.9
173;691 Rechtskundige dienstverlening;2007 4e kwartaal;122.0;110.0;3.2;3.7
174;691 Rechtskundige dienstverlening;2007;110.0;110.0;3.7;3.7
175;691 Rechtskundige dienstverlening;2008 1e kwartaal;108.0;111.0;5.0;5.0
176;691 Rechtskundige dienstverlening;2008 2e kwartaal;114.0;112.0;4.8;4.9
177;691 Rechtskundige dienstverlening;2008 3e kwartaal;108.0;113.0;1.8;3.9
178;691 Rechtskundige dienstverlening;2008 4e kwartaal;125.0;114.0;2.2;3.4
179;691 Rechtskundige dienstverlening;2008;114.0;114.0;3.4;3.4
180;691 Rechtskundige dienstverlening;2009 1e kwartaal;110.0;114.0;2.3;2.3
181;691 Rechtskundige dienstverlening;2009 2e kwartaal;113.0;114.0;-0.9;0.7
182;691 Rechtskundige dienstverlening;2009 3e kwartaal;109.0;114.0;0.2;0.5
183;691 Rechtskundige dienstverlening;2009 4e kwartaal;126.0;114.0;1.2;0.7
184;691 Rechtskundige dienstverlening;2009;114.0;114.0;0.7;0.7
185;691 Rechtskundige dienstverlening;2010 1e kwartaal;109.0;114.0;-0.9;-0.9
186;691 Rechtskundige dienstverlening;2010 2e kwartaal;113.0;114.0;0.4;-0.3
187;691 Rechtskundige dienstverlening;2010 3e kwartaal;110.0;115.0;1.0;0.2
188;691 Rechtskundige dienstverlening;2010 4e kwartaal;128.0;115.0;1.4;0.5
189;691 Rechtskundige dienstverlening;2010;115.0;115.0;0.5;0.5
190;691 Rechtskundige dienstverlening;2011 1e kwartaal;115.0;117.0;5.8;5.8
191;691 Rechtskundige dienstverlening;2011 2e kwartaal;116.0;117.0;2.3;4.0
192;691 Rechtskundige dienstverlening;2011 3e kwartaal;111.0;118.0;1.0;3.0
193;691 Rechtskundige dienstverlening;2011 4e kwartaal;128.0;118.0;0.3;2.3
194;691 Rechtskundige dienstverlening;2011;118.0;118.0;2.3;2.3
195;691 Rechtskundige dienstverlening;2012 1e kwartaal;119.0;119.0;3.6;3.6
196;691 Rechtskundige dienstverlening;2012 2e kwartaal;117.0;119.0;0.8;2.2
197;691 Rechtskundige dienstverlening;2012 3e kwartaal;115.0;120.0;4.2;2.8
198;691 Rechtskundige dienstverlening;2012 4e kwartaal;128.0;120.0;0.0;2.1
199;691 Rechtskundige dienstverlening;2012;120.0;120.0;2.1;2.1
200;Juridisch, managementadvies, accountancy;2003 1e kwartaal;;;;
201;Juridisch, managementadvies, accountancy;2003 2e kwartaal;;;;
202;Juridisch, managementadvies, accountancy;2003 3e kwartaal;;;;
203;Juridisch, managementadvies, accountancy;2003 4e kwartaal;;;;
204;Juridisch, managementadvies, accountancy;2003;;;;
205;Juridisch, managementadvies, accountancy;2004 1e kwartaal;;;;
206;Juridisch, managementadvies, accountancy;2004 2e kwartaal;;;;
207;Juridisch, managementadvies, accountancy;2004 3e kwartaal;;;;
208;Juridisch, managementadvies, accountancy;2004 4e kwartaal;;;;
209;Juridisch, managementadvies, accountancy;2004;;;;
210;Juridisch, managementadvies, accountancy;2005 1e kwartaal;97.0;;;
211;Juridisch, managementadvies, accountancy;2005 2e kwartaal;102.0;;;
212;Juridisch, managementadvies, accountancy;2005 3e kwartaal;92.0;;;
213;Juridisch, managementadvies, accountancy;2005 4e kwartaal;110.0;100.0;;
214;Juridisch, managementadvies, accountancy;2005;100.0;100.0;;
215;Juridisch, managementadvies, accountancy;2006 1e kwartaal;106.0;102.0;10.1;10.1
216;Juridisch, managementadvies, accountancy;2006 2e kwartaal;108.0;104.0;6.5;8.3
217;Juridisch, managementadvies, accountancy;2006 3e kwartaal;100.0;106.0;9.5;8.6
218;Juridisch, managementadvies, accountancy;2006 4e kwartaal;119.0;109.0;8.6;8.6
219;Juridisch, managementadvies, accountancy;2006;109.0;109.0;8.6;8.6
220;Juridisch, managementadvies, accountancy;2007 1e kwartaal;115.0;111.0;7.9;7.9
221;Juridisch, managementadvies, accountancy;2007 2e kwartaal;118.0;113.0;9.0;8.5
222;Juridisch, managementadvies, accountancy;2007 3e kwartaal;109.0;115.0;8.9;8.6
223;Juridisch, managementadvies, accountancy;2007 4e kwartaal;127.0;117.0;6.5;8.0
224;Juridisch, managementadvies, accountancy;2007;117.0;117.0;8.0;8.0
225;Juridisch, managementadvies, accountancy;2008 1e kwartaal;122.0;119.0;6.2;6.2
226;Juridisch, managementadvies, accountancy;2008 2e kwartaal;125.0;121.0;6.2;6.2
227;Juridisch, managementadvies, accountancy;2008 3e kwartaal;116.0;123.0;6.4;6.3
228;Juridisch, managementadvies, accountancy;2008 4e kwartaal;134.0;124.0;4.9;5.9
229;Juridisch, managementadvies, accountancy;2008;124.0;124.0;5.9;5.9
230;Juridisch, managementadvies, accountancy;2009 1e kwartaal;127.0;126.0;4.4;4.4
231;Juridisch, managementadvies, accountancy;2009 2e kwartaal;123.0;125.0;-1.5;1.4
232;Juridisch, managementadvies, accountancy;2009 3e kwartaal;110.0;124.0;-5.4;-0.8
233;Juridisch, managementadvies, accountancy;2009 4e kwartaal;124.0;121.0;-7.0;-2.5
234;Juridisch, managementadvies, accountancy;2009;121.0;121.0;-2.5;-2.5
235;Juridisch, managementadvies, accountancy;2010 1e kwartaal;118.0;119.0;-6.8;-6.8
236;Juridisch, managementadvies, accountancy;2010 2e kwartaal;115.0;117.0;-6.6;-6.7
237;Juridisch, managementadvies, accountancy;2010 3e kwartaal;105.0;116.0;-4.9;-6.2
238;Juridisch, managementadvies, accountancy;2010 4e kwartaal;122.0;115.0;-1.9;-5.1
239;Juridisch, managementadvies, accountancy;2010;115.0;115.0;-5.1;-5.1
240;Juridisch, managementadvies, accountancy;2011 1e kwartaal;117.0;115.0;-0.8;-0.8
241;Juridisch, managementadvies, accountancy;2011 2e kwartaal;117.0;115.0;1.3;0.2
242;Juridisch, managementadvies, accountancy;2011 3e kwartaal;104.0;115.0;-0.9;-0.1
243;Juridisch, managementadvies, accountancy;2011 4e kwartaal;120.0;115.0;-1.4;-0.5
244;Juridisch, managementadvies, accountancy;2011;114.0;114.0;-0.8;-0.8
245;Juridisch, managementadvies, accountancy;2012 1e kwartaal;;;;
246;Juridisch, managementadvies, accountancy;2012 2e kwartaal;;;;
247;Juridisch, managementadvies, accountancy;2012 3e kwartaal;;;;
248;Juridisch, managementadvies, accountancy;2012 4e kwartaal;;;;
249;Juridisch, managementadvies, accountancy;2012;;;;
250;692 Accountancy, administratie e.d.;2003 1e kwartaal;;;;
251;692 Accountancy, administratie e.d.;2003 2e kwartaal;;;;
252;692 Accountancy, administratie e.d.;2003 3e kwartaal;;;;
253;692 Accountancy, administratie e.d.;2003 4e kwartaal;;;;
254;692 Accountancy, administratie e.d.;2003;;;;
255;692 Accountancy, administratie e.d.;2004 1e kwartaal;;;;
256;692 Accountancy, administratie e.d.;2004 2e kwartaal;;;;
257;692 Accountancy, administratie e.d.;2004 3e kwartaal;;;;
258;692 Accountancy, administratie e.d.;2004 4e kwartaal;;;;
259;692 Accountancy, administratie e.d.;2004;;;;
260;692 Accountancy, administratie e.d.;2005 1e kwartaal;103.0;;;
261;692 Accountancy, administratie e.d.;2005 2e kwartaal;102.0;;;
262;692 Accountancy, administratie e.d.;2005 3e kwartaal;90.0;;;
263;692 Accountancy, administratie e.d.;2005 4e kwartaal;105.0;100.0;;
264;692 Accountancy, administratie e.d.;2005;100.0;100.0;;
265;692 Accountancy, administratie e.d.;2006 1e kwartaal;110.0;102.0;6.6;6.6
266;692 Accountancy, administratie e.d.;2006 2e kwartaal;102.0;102.0;0.4;3.5
267;692 Accountancy, administratie e.d.;2006 3e kwartaal;92.0;102.0;1.8;3.0
268;692 Accountancy, administratie e.d.;2006 4e kwartaal;107.0;103.0;2.4;2.8
269;692 Accountancy, administratie e.d.;2006;103.0;103.0;2.8;2.8
270;692 Accountancy, administratie e.d.;2007 1e kwartaal;112.0;103.0;2.2;2.2
271;692 Accountancy, administratie e.d.;2007 2e kwartaal;109.0;105.0;6.5;4.3
272;692 Accountancy, administratie e.d.;2007 3e kwartaal;98.0;107.0;6.7;5.0
273;692 Accountancy, administratie e.d.;2007 4e kwartaal;113.0;108.0;5.0;5.0
274;692 Accountancy, administratie e.d.;2007;108.0;108.0;5.0;5.0
275;692 Accountancy, administratie e.d.;2008 1e kwartaal;118.0;109.0;4.8;4.8
276;692 Accountancy, administratie e.d.;2008 2e kwartaal;115.0;111.0;5.8;5.3
277;692 Accountancy, administratie e.d.;2008 3e kwartaal;103.0;112.0;5.1;5.2
278;692 Accountancy, administratie e.d.;2008 4e kwartaal;117.0;113.0;4.2;4.9
279;692 Accountancy, administratie e.d.;2008;113.0;113.0;4.9;4.9
280;692 Accountancy, administratie e.d.;2009 1e kwartaal;125.0;115.0;6.3;6.3
281;692 Accountancy, administratie e.d.;2009 2e kwartaal;118.0;116.0;2.7;4.5
282;692 Accountancy, administratie e.d.;2009 3e kwartaal;104.0;116.0;0.9;3.4
283;692 Accountancy, administratie e.d.;2009 4e kwartaal;115.0;116.0;-1.9;2.0
284;692 Accountancy, administratie e.d.;2009;116.0;116.0;2.0;2.0
285;692 Accountancy, administratie e.d.;2010 1e kwartaal;125.0;116.0;-0.3;-0.3
286;692 Accountancy, administratie e.d.;2010 2e kwartaal;117.0;115.0;-1.1;-0.7
287;692 Accountancy, administratie e.d.;2010 3e kwartaal;102.0;115.0;-2.3;-1.2
288;692 Accountancy, administratie e.d.;2010 4e kwartaal;114.0;114.0;-0.9;-1.1
289;692 Accountancy, administratie e.d.;2010;114.0;114.0;-1.1;-1.1
290;692 Accountancy, administratie e.d.;2011 1e kwartaal;122.0;114.0;-1.9;-1.9
291;692 Accountancy, administratie e.d.;2011 2e kwartaal;118.0;114.0;1.1;-0.5
292;692 Accountancy, administratie e.d.;2011 3e kwartaal;99.0;113.0;-2.4;-1.0
293;692 Accountancy, administratie e.d.;2011 4e kwartaal;113.0;113.0;-0.8;-1.0
294;692 Accountancy, administratie e.d.;2011;113.0;113.0;-1.0;-1.0
295;692 Accountancy, administratie e.d.;2012 1e kwartaal;119.0;112.0;-2.4;-2.4
296;692 Accountancy, administratie e.d.;2012 2e kwartaal;117.0;112.0;-1.3;-1.9
297;692 Accountancy, administratie e.d.;2012 3e kwartaal;101.0;112.0;1.4;-0.9
298;692 Accountancy, administratie e.d.;2012 4e kwartaal;113.0;112.0;-0.3;-0.8
299;692 Accountancy, administratie e.d.;2012;112.0;112.0;-0.8;-0.8
300;70 Holdings en managementadviesbureaus;2003 1e kwartaal;;;;
301;70 Holdings en managementadviesbureaus;2003 2e kwartaal;;;;
302;70 Holdings en managementadviesbureaus;2003 3e kwartaal;;;;
303;70 Holdings en managementadviesbureaus;2003 4e kwartaal;;;;
304;70 Holdings en managementadviesbureaus;2003;;;;
305;70 Holdings en managementadviesbureaus;2004 1e kwartaal;;;;
306;70 Holdings en managementadviesbureaus;2004 2e kwartaal;;;;
307;70 Holdings en managementadviesbureaus;2004 3e kwartaal;;;;
308;70 Holdings en managementadviesbureaus;2004 4e kwartaal;;;;
309;70 Holdings en managementadviesbureaus;2004;;;;
310;70 Holdings en managementadviesbureaus;2005 1e kwartaal;;;;
311;70 Holdings en managementadviesbureaus;2005 2e kwartaal;;;;
312;70 Holdings en managementadviesbureaus;2005 3e kwartaal;;;;
313;70 Holdings en managementadviesbureaus;2005 4e kwartaal;;;;
314;70 Holdings en managementadviesbureaus;2005;;;;
315;70 Holdings en managementadviesbureaus;2006 1e kwartaal;;;;
316;70 Holdings en managementadviesbureaus;2006 2e kwartaal;;;;
317;70 Holdings en managementadviesbureaus;2006 3e kwartaal;;;;
318;70 Holdings en managementadviesbureaus;2006 4e kwartaal;;;;
319;70 Holdings en managementadviesbureaus;2006;;;;
320;70 Holdings en managementadviesbureaus;2007 1e kwartaal;;;;
321;70 Holdings en managementadviesbureaus;2007 2e kwartaal;;;;
322;70 Holdings en managementadviesbureaus;2007 3e kwartaal;;;;
323;70 Holdings en managementadviesbureaus;2007 4e kwartaal;;;;
324;70 Holdings en managementadviesbureaus;2007;;;;
325;70 Holdings en managementadviesbureaus;2008 1e kwartaal;;;;
326;70 Holdings en managementadviesbureaus;2008 2e kwartaal;;;;
327;70 Holdings en managementadviesbureaus;2008 3e kwartaal;;;;
328;70 Holdings en managementadviesbureaus;2008 4e kwartaal;;;;
329;70 Holdings en managementadviesbureaus;2008;;;;
330;70 Holdings en managementadviesbureaus;2009 1e kwartaal;;;;
331;70 Holdings en managementadviesbureaus;2009 2e kwartaal;;;;
332;70 Holdings en managementadviesbureaus;2009 3e kwartaal;;;;
333;70 Holdings en managementadviesbureaus;2009 4e kwartaal;;;;
334;70 Holdings en managementadviesbureaus;2009;;;;
335;70 Holdings en managementadviesbureaus;2010 1e kwartaal;;;;
336;70 Holdings en managementadviesbureaus;2010 2e kwartaal;;;;
337;70 Holdings en managementadviesbureaus;2010 3e kwartaal;;;;
338;70 Holdings en managementadviesbureaus;2010 4e kwartaal;;;;
339;70 Holdings en managementadviesbureaus;2010;;;;
340;70 Holdings en managementadviesbureaus;2011 1e kwartaal;;;;
341;70 Holdings en managementadviesbureaus;2011 2e kwartaal;;;;
342;70 Holdings en managementadviesbureaus;2011 3e kwartaal;;;;
343;70 Holdings en managementadviesbureaus;2011 4e kwartaal;;;;
344;70 Holdings en managementadviesbureaus;2011;;;;
345;70 Holdings en managementadviesbureaus;2012 1e kwartaal;;;;
346;70 Holdings en managementadviesbureaus;2012 2e kwartaal;;;;
347;70 Holdings en managementadviesbureaus;2012 3e kwartaal;;;;
348;70 Holdings en managementadviesbureaus;2012 4e kwartaal;;;;
349;70 Holdings en managementadviesbureaus;2012;;;;
350;702 Managementadviesbureaus;2003 1e kwartaal;;;;
