ID;KenmerkenWerknemers;Marges;Perioden;TotaalWerknemersMetEenOngeval_1;WerknemersOngevalZonderVerzuim_2;WerknemersOngeval1DagOfMeerVerzuim_3;WerknemersOngeval4DgnOfMeerVerzuim_4;LichamelijkLetsel_5;GeestelijkLetsel_6;OnderscheidNietTeMaken_7;LetselOnbekend_8
17;Totaal;Ondergrens 95%-interval;2020;2.4;1.2;1.1;0.8;1.6;0.3;0.2;0.1
18;Totaal;Ondergrens 95%-interval;2021;2.4;1.2;1.2;0.9;1.5;0.4;0.3;0.1
19;Totaal;Ondergrens 95%-interval;2022;2.5;1.2;1.2;0.9;1.5;0.4;0.3;0.1
20;Totaal;Ondergrens 95%-interval;2023;2.5;1.3;1.2;0.9;1.6;0.5;0.3;0.1
21;Totaal;Ondergrens 95%-interval;2024;2.3;1.2;1.1;0.8;1.4;0.5;0.2;0.1
22;Totaal;Bovengrens 95%-interval;2014;3.7;2.0;1.8;1.2;2.3;0.6;0.6;0.3
23;Totaal;Bovengrens 95%-interval;2015;3.2;1.8;1.5;1.0;2.1;0.4;0.5;0.2
24;Totaal;Bovengrens 95%-interval;2016;3.1;1.7;1.5;1.1;2.0;0.5;0.5;0.3
25;Totaal;Bovengrens 95%-interval;2017;3.5;2.0;1.8;1.3;2.4;0.6;0.5;0.2
26;Totaal;Bovengrens 95%-interval;2018;3.3;1.8;1.6;1.2;2.2;0.6;0.4;0.2
27;Totaal;Bovengrens 95%-interval;2019;3.4;1.9;1.6;1.2;2.4;0.6;0.4;0.2
28;Totaal;Bovengrens 95%-interval;2020;2.7;1.4;1.4;1.0;1.8;0.5;0.3;0.1
29;Totaal;Bovengrens 95%-interval;2021;2.8;1.4;1.4;1.1;1.8;0.5;0.4;0.1
30;Totaal;Bovengrens 95%-interval;2022;2.7;1.4;1.4;1.1;1.8;0.5;0.4;0.1
31;Totaal;Bovengrens 95%-interval;2023;2.8;1.5;1.4;1.0;1.8;0.6;0.3;0.1
32;Totaal;Bovengrens 95%-interval;2024;2.6;1.4;1.3;1.0;1.6;0.6;0.3;0.1
33;Herkomst: geboren in Nederland;Waarde;2014;3.4;1.8;1.6;1.1;2.2;0.5;0.5;0.2
34;Herkomst: geboren in Nederland;Waarde;2015;3.0;1.7;1.3;0.9;2.0;0.4;0.4;0.2
35;Herkomst: geboren in Nederland;Waarde;2016;2.9;1.6;1.3;0.9;1.9;0.4;0.4;0.2
36;Herkomst: geboren in Nederland;Waarde;2017;3.3;1.9;1.5;1.1;2.3;0.5;0.4;0.1
37;Herkomst: geboren in Nederland;Waarde;2018;3.1;1.7;1.4;1.0;2.0;0.5;0.4;0.1
38;Herkomst: geboren in Nederland;Waarde;2019;3.2;1.8;1.5;1.1;2.2;0.5;0.3;0.1
39;Herkomst: geboren in Nederland;Waarde;2020;2.4;1.3;1.2;0.8;1.7;0.4;0.2;0.1
40;Herkomst: geboren in Nederland;Waarde;2021;2.4;1.3;1.2;0.9;1.6;0.4;0.3;0.1
41;Herkomst: geboren in Nederland;Waarde;2022;2.5;1.3;1.2;0.9;1.6;0.4;0.3;0.1
42;Herkomst: geboren in Nederland;Waarde;2023;2.5;1.3;1.2;0.8;1.6;0.5;0.3;0.1
43;Herkomst: geboren in Nederland;Waarde;2024;2.2;1.2;1.1;0.8;1.4;0.5;0.2;0.1
44;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2014;3.2;1.7;1.5;1.0;2.0;0.4;0.4;0.2
45;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2015;2.8;1.6;1.2;0.8;1.9;0.3;0.4;0.1
46;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2016;2.7;1.5;1.2;0.8;1.7;0.3;0.4;0.1
47;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2017;3.1;1.7;1.4;1.0;2.1;0.4;0.3;0.1
48;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2018;2.9;1.6;1.3;0.9;1.9;0.5;0.3;0.1
49;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2019;3.0;1.7;1.4;1.0;2.1;0.4;0.3;0.1
50;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2020;2.3;1.2;1.1;0.7;1.6;0.3;0.2;0.1
51;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2021;2.3;1.1;1.1;0.8;1.4;0.4;0.3;0.0
52;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2022;2.3;1.2;1.1;0.8;1.5;0.4;0.3;0.1
53;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2023;2.3;1.2;1.1;0.8;1.5;0.4;0.2;0.1
54;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2024;2.1;1.1;1.0;0.7;1.3;0.4;0.2;0.0
55;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2014;3.7;2.0;1.8;1.2;2.4;0.6;0.6;0.3
56;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2015;3.2;1.9;1.5;1.0;2.2;0.4;0.5;0.2
57;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2016;3.1;1.8;1.4;1.0;2.0;0.5;0.5;0.2
58;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2017;3.5;2.0;1.7;1.2;2.4;0.6;0.4;0.2
59;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2018;3.2;1.8;1.5;1.1;2.1;0.6;0.4;0.1
60;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2019;3.4;1.9;1.6;1.2;2.4;0.6;0.4;0.1
61;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2020;2.6;1.4;1.3;0.9;1.8;0.5;0.3;0.1
62;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2021;2.6;1.4;1.3;1.0;1.7;0.5;0.4;0.1
63;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2022;2.6;1.4;1.4;1.0;1.7;0.5;0.4;0.1
64;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2023;2.6;1.4;1.3;0.9;1.7;0.5;0.3;0.1
65;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2024;2.4;1.3;1.2;0.9;1.6;0.5;0.3;0.1
66;Herkomst: geboren buiten Nederland;Waarde;2014;3.5;1.5;2.0;1.4;1.7;0.6;0.5;0.6
67;Herkomst: geboren buiten Nederland;Waarde;2015;3.3;1.5;1.7;1.2;1.9;0.5;0.5;0.3
68;Herkomst: geboren buiten Nederland;Waarde;2016;3.4;1.2;2.2;1.7;1.7;0.7;0.5;0.4
69;Herkomst: geboren buiten Nederland;Waarde;2017;3.9;1.8;2.2;1.7;2.3;0.5;0.6;0.4
70;Herkomst: geboren buiten Nederland;Waarde;2018;3.5;1.3;2.1;1.5;2.1;0.5;0.5;0.3
71;Herkomst: geboren buiten Nederland;Waarde;2019;3.7;1.8;1.7;1.1;2.2;0.6;0.3;0.4
72;Herkomst: geboren buiten Nederland;Waarde;2020;3.3;1.4;1.8;1.1;1.9;0.5;0.5;0.3
73;Herkomst: geboren buiten Nederland;Waarde;2021;3.7;1.4;2.1;1.5;2.2;0.6;0.5;0.3
74;Herkomst: geboren buiten Nederland;Waarde;2022;3.3;1.6;1.7;1.2;2.0;0.8;0.2;0.1
75;Herkomst: geboren buiten Nederland;Waarde;2023;3.9;1.8;2.2;1.5;2.2;0.9;0.4;0.2
76;Herkomst: geboren buiten Nederland;Waarde;2024;3.6;1.8;1.9;1.5;2.0;1.0;0.3;0.3
77;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2014;2.9;1.1;1.5;1.0;1.3;0.3;0.3;0.3
78;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2015;2.7;1.1;1.3;0.9;1.5;0.3;0.3;0.2
79;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2016;2.8;0.8;1.8;1.3;1.3;0.5;0.3;0.2
80;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2017;3.2;1.4;1.7;1.3;1.8;0.3;0.4;0.2
81;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2018;3.0;1.0;1.7;1.2;1.7;0.4;0.3;0.2
82;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2019;3.1;1.5;1.4;0.9;1.9;0.4;0.2;0.3
83;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2020;2.8;1.0;1.5;0.8;1.5;0.3;0.4;0.2
84;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2021;3.1;1.1;1.6;1.2;1.7;0.4;0.3;0.2
85;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2022;2.8;1.3;1.4;0.9;1.6;0.6;0.1;0.1
86;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2023;3.4;1.5;1.8;1.2;1.9;0.7;0.2;0.1
87;Herkomst: geboren buiten Nederland;Ondergrens 95%-interval;2024;3.2;1.4;1.6;1.2;1.7;0.8;0.2;0.2
88;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2014;4.3;2.1;2.6;2.0;2.3;0.9;0.9;1.0
89;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2015;3.9;1.9;2.2;1.7;2.4;0.8;0.8;0.6
90;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2016;4.0;1.6;2.8;2.2;2.2;1.1;0.8;0.7
91;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2017;4.6;2.3;2.7;2.2;2.9;0.8;0.9;0.7
92;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2018;4.1;1.7;2.5;1.9;2.6;0.8;0.7;0.5
93;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2019;4.2;2.3;2.1;1.4;2.7;0.8;0.5;0.7
94;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2020;3.9;1.8;2.3;1.4;2.3;0.7;0.8;0.4
95;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2021;4.3;1.8;2.6;1.9;2.7;0.9;0.7;0.6
96;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2022;3.8;2.0;2.1;1.5;2.4;1.1;0.4;0.3
97;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2023;4.5;2.2;2.6;1.8;2.6;1.2;0.6;0.4
98;Herkomst: geboren buiten Nederland;Bovengrens 95%-interval;2024;4.2;2.1;2.3;1.8;2.4;1.2;0.5;0.4
99;Herkomst: geb. in NL, ouders in NL;Waarde;2014;3.4;1.8;1.6;1.1;2.2;0.5;0.5;0.2
100;Herkomst: geb. in NL, ouders in NL;Waarde;2015;3.0;1.7;1.3;0.9;2.0;0.4;0.4;0.1
101;Herkomst: geb. in NL, ouders in NL;Waarde;2016;2.9;1.6;1.3;0.9;1.9;0.4;0.4;0.2
102;Herkomst: geb. in NL, ouders in NL;Waarde;2017;3.3;1.9;1.5;1.1;2.3;0.5;0.4;0.1
103;Herkomst: geb. in NL, ouders in NL;Waarde;2018;3.0;1.7;1.4;1.0;2.0;0.5;0.4;0.1
104;Herkomst: geb. in NL, ouders in NL;Waarde;2019;3.2;1.8;1.5;1.1;2.2;0.5;0.3;0.1
105;Herkomst: geb. in NL, ouders in NL;Waarde;2020;2.4;1.3;1.2;0.8;1.7;0.4;0.2;0.1
106;Herkomst: geb. in NL, ouders in NL;Waarde;2021;2.4;1.2;1.2;0.9;1.5;0.4;0.3;0.1
107;Herkomst: geb. in NL, ouders in NL;Waarde;2022;2.4;1.3;1.1;0.9;1.6;0.4;0.3;0.1
108;Herkomst: geb. in NL, ouders in NL;Waarde;2023;2.4;1.3;1.1;0.8;1.6;0.4;0.3;0.1
109;Herkomst: geb. in NL, ouders in NL;Waarde;2024;2.2;1.2;1.0;0.8;1.4;0.5;0.2;0.1
110;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2014;3.2;1.7;1.5;1.0;2.0;0.4;0.4;0.2
111;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2015;2.8;1.6;1.2;0.8;1.9;0.3;0.4;0.1
112;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2016;2.7;1.5;1.2;0.8;1.7;0.3;0.4;0.1
113;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2017;3.1;1.7;1.4;1.0;2.2;0.4;0.3;0.1
114;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2018;2.9;1.6;1.3;0.9;1.9;0.5;0.3;0.1
115;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2019;3.0;1.7;1.4;1.0;2.1;0.4;0.3;0.1
116;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2020;2.3;1.2;1.1;0.7;1.6;0.3;0.2;0.1
117;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2021;2.2;1.1;1.1;0.8;1.4;0.3;0.3;0.0
118;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2022;2.2;1.2;1.0;0.8;1.5;0.3;0.3;0.1
119;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2023;2.3;1.2;1.0;0.7;1.5;0.4;0.2;0.0
120;Herkomst: geb. in NL, ouders in NL;Ondergrens 95%-interval;2024;2.1;1.1;0.9;0.7;1.3;0.4;0.2;0.0
121;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2014;3.7;2.0;1.8;1.2;2.4;0.6;0.6;0.3
122;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2015;3.2;1.9;1.5;1.0;2.2;0.4;0.5;0.2
123;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2016;3.1;1.8;1.5;1.0;2.0;0.5;0.5;0.2
124;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2017;3.5;2.0;1.6;1.2;2.5;0.5;0.4;0.2
125;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2018;3.2;1.8;1.5;1.1;2.2;0.6;0.4;0.1
126;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2019;3.4;1.9;1.6;1.2;2.4;0.6;0.4;0.2
127;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2020;2.6;1.4;1.3;0.9;1.8;0.4;0.3;0.1
128;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2021;2.5;1.3;1.3;1.0;1.7;0.5;0.4;0.1
129;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2022;2.5;1.4;1.3;0.9;1.7;0.5;0.4;0.1
130;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2023;2.6;1.4;1.2;0.9;1.7;0.5;0.3;0.1
131;Herkomst: geb. in NL, ouders in NL;Bovengrens 95%-interval;2024;2.3;1.3;1.1;0.8;1.6;0.5;0.3;0.1
132;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2014;2.9;1.5;1.5;1.2;2.0;0.2;0.5;0.1
133;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2015;3.1;1.7;1.5;1.2;2.2;0.7;0.1;0.1
134;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2016;2.8;1.9;0.9;0.5;2.1;0.3;0.3;0.1
135;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2017;3.8;2.0;2.3;1.2;2.8;0.5;0.4;0.0
136;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2018;3.7;2.0;1.8;1.3;2.2;1.0;0.5;0.0
137;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2019;3.2;2.0;1.5;0.8;2.6;0.2;0.4;0.0
138;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2020;2.7;1.7;1.2;1.0;1.5;0.7;0.4;0.1
139;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2021;3.6;1.6;2.2;1.4;2.5;0.6;0.5;0.0
140;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2022;2.0;0.8;1.2;1.0;1.2;0.4;0.3;0.0
141;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2023;2.2;1.2;1.0;0.6;1.3;0.2;0.3;0.3
142;Herkomst: geb. in NL, ouder(s) in Europa;Waarde;2024;2.6;1.1;1.5;1.0;1.3;0.6;0.6;0.0
143;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2014;1.9;0.8;0.9;0.6;1.2;0.1;0.2;0.0
144;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2015;2.2;1.0;0.9;0.7;1.5;0.3;0.0;0.0
145;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2016;1.9;1.2;0.5;0.2;1.3;0.1;0.1;0.0
146;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2017;2.7;1.2;1.4;0.7;1.9;0.2;0.1;0.0
147;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2018;2.7;1.3;1.2;0.8;1.4;0.5;0.3;0.0
148;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2019;2.3;1.3;0.9;0.4;1.8;0.0;0.2;0.0
149;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2020;1.9;1.0;0.7;0.5;0.9;0.4;0.2;0.0
150;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2021;2.6;1.0;1.4;0.8;1.6;0.3;0.2;0.0
151;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2022;1.4;0.5;0.8;0.6;0.8;0.2;0.1;0.0
152;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2023;1.5;0.7;0.6;0.3;0.8;0.1;0.1;0.1
153;Herkomst: geb. in NL, ouder(s) in Europa;Ondergrens 95%-interval;2024;1.8;0.6;0.9;0.6;0.8;0.3;0.2;0.0
154;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2014;4.3;2.7;2.6;2.2;3.3;0.9;1.4;0.7
155;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2015;4.5;2.8;2.4;2.0;3.4;1.4;0.7;0.6
156;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2016;4.1;3.0;1.7;1.2;3.3;0.8;0.8;0.5
157;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2017;5.4;3.3;3.6;2.2;4.3;1.3;1.0;
158;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2018;5.0;3.0;2.7;2.2;3.2;1.8;1.1;
159;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2019;4.4;3.0;2.4;1.6;3.8;0.7;1.0;
160;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2020;3.9;2.7;2.1;1.8;2.4;1.5;1.1;0.7
161;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2021;5.0;2.6;3.4;2.3;3.6;1.5;1.1;0.1
162;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2022;2.9;1.5;2.0;1.7;2.0;0.9;0.9;
163;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2023;3.3;2.1;1.7;1.3;2.2;0.7;0.8;1.0
164;Herkomst: geb. in NL, ouder(s) in Europa;Bovengrens 95%-interval;2024;3.6;1.8;2.3;1.8;2.1;1.2;1.2;
165;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2014;3.8;2.2;1.5;1.0;2.2;0.8;0.4;0.3
166;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2015;2.9;1.5;1.3;0.5;2.0;0.3;0.3;0.3
167;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2016;2.9;1.6;1.2;0.8;1.5;0.4;0.7;0.3
168;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2017;3.1;1.6;1.7;1.3;1.5;0.8;0.5;0.3
169;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2018;3.4;1.7;1.7;1.1;1.9;0.7;0.5;0.2
170;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2019;3.2;1.6;1.7;1.2;2.3;0.7;0.2;0.1
171;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2020;2.4;1.3;1.1;0.9;1.5;0.6;0.2;0.1
172;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2021;2.7;1.5;1.1;0.9;1.4;0.8;0.4;0.1
173;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2022;3.6;1.2;2.3;1.6;1.8;0.7;0.6;0.3
174;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2023;3.2;1.3;1.8;1.2;1.9;0.7;0.3;0.2
175;Herkomst: geb. NL, ouder(s) buit. Europa;Waarde;2024;2.3;0.8;1.5;1.1;1.4;0.4;0.3;0.1
176;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2014;2.8;1.5;1.0;0.6;1.5;0.5;0.2;0.1
177;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2015;2.3;1.0;0.9;0.3;1.4;0.1;0.1;0.2
178;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2016;2.2;1.1;0.8;0.5;1.0;0.2;0.4;0.1
179;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2017;2.4;1.1;1.2;0.9;1.0;0.5;0.2;0.1
180;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2018;2.7;1.3;1.2;0.8;1.5;0.4;0.3;0.1
181;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2019;2.6;1.1;1.2;0.8;1.8;0.4;0.1;0.0
182;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2020;1.9;0.9;0.7;0.6;1.1;0.4;0.1;0.0
183;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2021;2.0;1.0;0.7;0.6;1.0;0.5;0.2;0.0
184;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2022;2.9;0.9;1.7;1.1;1.4;0.5;0.4;0.1
185;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2023;2.6;0.9;1.3;0.8;1.5;0.5;0.2;0.1
186;Herkomst: geb. NL, ouder(s) buit. Europa;Ondergrens 95%-interval;2024;1.8;0.5;1.1;0.8;1.1;0.2;0.1;0.0
187;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2014;5.1;3.4;2.3;1.6;3.4;1.4;0.9;0.8
188;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2015;3.9;2.2;2.0;0.9;2.7;0.6;0.7;0.7
189;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2016;3.7;2.3;1.8;1.3;2.1;0.7;1.2;0.7
190;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2017;4.0;2.2;2.4;2.0;2.2;1.3;0.9;0.7
191;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2018;4.1;2.3;2.2;1.6;2.5;1.0;0.9;0.5
192;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2019;4.0;2.1;2.2;1.7;3.0;1.0;0.4;0.3
193;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2020;3.0;1.7;1.5;1.3;2.0;0.9;0.5;0.3
194;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2021;3.5;2.1;1.7;1.5;2.0;1.3;0.7;0.3
195;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2022;4.4;1.7;3.0;2.2;2.5;1.1;1.1;0.6
196;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2023;3.9;1.7;2.3;1.7;2.5;1.1;0.5;0.5
197;Herkomst: geb. NL, ouder(s) buit. Europa;Bovengrens 95%-interval;2024;2.9;1.2;2.0;1.6;2.0;0.8;0.5;0.3
198;Herkomst: geboren in Europa (excl. NL);Waarde;2014;3.0;1.7;1.3;0.9;2.0;0.7;0.1;0.2
199;Herkomst: geboren in Europa (excl. NL);Waarde;2015;3.6;1.5;2.2;1.6;2.5;0.4;0.4;0.2
200;Herkomst: geboren in Europa (excl. NL);Waarde;2016;2.5;1.1;1.5;1.3;1.4;0.7;0.1;0.3
201;Herkomst: geboren in Europa (excl. NL);Waarde;2017;3.8;1.7;2.2;1.8;2.6;0.6;0.3;0.2
202;Herkomst: geboren in Europa (excl. NL);Waarde;2018;3.5;1.1;2.0;1.5;2.4;0.5;0.3;0.2
203;Herkomst: geboren in Europa (excl. NL);Waarde;2019;3.8;2.1;1.5;0.9;2.6;0.5;0.2;0.4
204;Herkomst: geboren in Europa (excl. NL);Waarde;2020;3.8;1.7;2.1;1.1;2.2;0.5;0.7;0.2
205;Herkomst: geboren in Europa (excl. NL);Waarde;2021;3.6;1.6;1.8;1.3;2.4;0.4;0.4;0.3
206;Herkomst: geboren in Europa (excl. NL);Waarde;2022;2.8;1.2;1.5;1.0;1.7;0.7;0.2;0.1
207;Herkomst: geboren in Europa (excl. NL);Waarde;2023;4.2;2.1;2.4;1.6;2.6;0.9;0.3;0.3
208;Herkomst: geboren in Europa (excl. NL);Waarde;2024;3.9;1.9;1.9;1.4;2.3;1.0;0.1;0.3
209;Herkomst: geboren in Europa (excl. NL);Ondergrens 95%-interval;2014;2.1;1.0;0.7;0.4;1.2;0.3;0.0;0.0
