ID;Branches;Perioden;VerdiendePremie_1;GeledenSchade_2;Schadepercentage_3
54;Zee-, transport-, luchtvaartverzekering;2002;446;335;75.1
55;Zee-, transport-, luchtvaartverzekering;2003;482;356;73.8
56;Zee-, transport-, luchtvaartverzekering;2004;499;328;65.7
57;Zee-, transport-, luchtvaartverzekering;2005;541;340;62.9
58;Zee-, transport-, luchtvaartverzekering;2006;575;388;67.6
59;Zee-, transport-, luchtvaartverzekering;2007;573;346;60.4
60;Zee-, transport-, luchtvaartverzekering;2008;724;499;68.9
61;Zee-, transport-, luchtvaartverzekering;2009;762;560;73.5
62;Zee-, transport-, luchtvaartverzekering;2010;713;546;76.6
63;Zee-, transport-, luchtvaartverzekering;2011;764;613;80.2
64;Zee-, transport-, luchtvaartverzekering;2012;756;635;84.0
65;Zee-, transport-, luchtvaartverzekering;2013;654;370;56.6
66;Zee-, transport-, luchtvaartverzekering;2014;430;190;44.2
67;Zee-, transport-, luchtvaartverzekering;2015;518;368;71.0
68;Brand en andere schade aan goederen;1999;2557;1836;71.8
69;Brand en andere schade aan goederen;2000;2045;1224;59.9
70;Brand en andere schade aan goederen;2001;2078;1222;58.8
71;Brand en andere schade aan goederen;2002;2248;1459;64.9
72;Brand en andere schade aan goederen;2003;2480;1400;56.5
73;Brand en andere schade aan goederen;2004;2618;1283;49.0
74;Brand en andere schade aan goederen;2005;2723;1329;48.8
75;Brand en andere schade aan goederen;2006;2759;1386;50.2
76;Brand en andere schade aan goederen;2007;2882;1762;61.1
77;Brand en andere schade aan goederen;2008;2957;1749;59.1
78;Brand en andere schade aan goederen;2009;3010;1789;59.4
79;Brand en andere schade aan goederen;2010;3084;1951;63.3
80;Brand en andere schade aan goederen;2011;3078;1852;60.2
81;Brand en andere schade aan goederen;2012;3107;1887;60.7
82;Brand en andere schade aan goederen;2013;3145;2150;68.4
83;Brand en andere schade aan goederen;2014;3048;1894;62.1
84;Brand en andere schade aan goederen;2015;3008;1962;65.2
85;Overige schade;1999;1876;1044;55.6
86;Overige schade;2000;1399;891;63.7
87;Overige schade;2001;1469;926;63.0
88;Overige schade;2002;1686;1056;62.6
89;Overige schade;2003;1897;1228;64.7
90;Overige schade;2004;2032;1356;66.7
91;Overige schade;2005;2180;1247;57.2
92;Overige schade;2006;2318;1301;56.1
93;Overige schade;2007;2353;1175;49.9
94;Overige schade;2008;2630;1465;55.7
95;Overige schade;2009;2677;1522;56.9
96;Overige schade;2010;2736;1384;50.6
97;Overige schade;2011;2428;1256;51.7
98;Overige schade;2012;2313;1257;54.3
99;Overige schade;2013;2277;1346;59.1
100;Overige schade;2014;2214;1288;58.2
101;Overige schade;2015;2204;1259;57.1
