ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
42;Population 6 years or older;Total male and female;Age: 12 to 17 years;Lower bound 95% confidence interval;2018;85.0;10.7
43;Population 6 years or older;Total male and female;Age: 12 to 17 years;Lower bound 95% confidence interval;2019;84.9;9.7
44;Population 6 years or older;Total male and female;Age: 12 to 17 years;Lower bound 95% confidence interval;2020;72.0;5.5
45;Population 6 years or older;Total male and female;Age: 12 to 17 years;Lower bound 95% confidence interval;2021;77.6;5.5
46;Population 6 years or older;Total male and female;Age: 12 to 17 years;Lower bound 95% confidence interval;2022;81.3;8.3
47;Population 6 years or older;Total male and female;Age: 12 to 17 years;Lower bound 95% confidence interval;2023;82.2;8.5
48;Population 6 years or older;Total male and female;Age: 12 to 17 years;Upper bound 95% confidence interval;2018;87.5;12.7
49;Population 6 years or older;Total male and female;Age: 12 to 17 years;Upper bound 95% confidence interval;2019;87.8;11.9
50;Population 6 years or older;Total male and female;Age: 12 to 17 years;Upper bound 95% confidence interval;2020;75.0;7.1
51;Population 6 years or older;Total male and female;Age: 12 to 17 years;Upper bound 95% confidence interval;2021;80.3;7.1
52;Population 6 years or older;Total male and female;Age: 12 to 17 years;Upper bound 95% confidence interval;2022;84.4;10.2
53;Population 6 years or older;Total male and female;Age: 12 to 17 years;Upper bound 95% confidence interval;2023;85.0;10.4
54;Population 6 years or older;Total male and female;Age: 18 to 24 years;Value;2018;86.8;23.8
55;Population 6 years or older;Total male and female;Age: 18 to 24 years;Value;2019;84.6;24.0
56;Population 6 years or older;Total male and female;Age: 18 to 24 years;Value;2020;74.6;11.9
57;Population 6 years or older;Total male and female;Age: 18 to 24 years;Value;2021;78.3;14.5
58;Population 6 years or older;Total male and female;Age: 18 to 24 years;Value;2022;81.2;18.4
59;Population 6 years or older;Total male and female;Age: 18 to 24 years;Value;2023;81.3;20.7
60;Population 6 years or older;Total male and female;Age: 18 to 24 years;Lower bound 95% confidence interval;2018;85.4;22.5
61;Population 6 years or older;Total male and female;Age: 18 to 24 years;Lower bound 95% confidence interval;2019;83.1;22.6
62;Population 6 years or older;Total male and female;Age: 18 to 24 years;Lower bound 95% confidence interval;2020;73.2;11.0
63;Population 6 years or older;Total male and female;Age: 18 to 24 years;Lower bound 95% confidence interval;2021;77.0;13.6
64;Population 6 years or older;Total male and female;Age: 18 to 24 years;Lower bound 95% confidence interval;2022;79.8;17.3
65;Population 6 years or older;Total male and female;Age: 18 to 24 years;Lower bound 95% confidence interval;2023;80.0;19.5
66;Population 6 years or older;Total male and female;Age: 18 to 24 years;Upper bound 95% confidence interval;2018;88.0;25.2
67;Population 6 years or older;Total male and female;Age: 18 to 24 years;Upper bound 95% confidence interval;2019;86.0;25.4
68;Population 6 years or older;Total male and female;Age: 18 to 24 years;Upper bound 95% confidence interval;2020;75.9;12.8
69;Population 6 years or older;Total male and female;Age: 18 to 24 years;Upper bound 95% confidence interval;2021;79.4;15.5
70;Population 6 years or older;Total male and female;Age: 18 to 24 years;Upper bound 95% confidence interval;2022;82.5;19.5
71;Population 6 years or older;Total male and female;Age: 18 to 24 years;Upper bound 95% confidence interval;2023;82.7;21.9
72;Population 6 years or older;Total male and female;Age: 25 to 34 years;Value;2018;88.6;13.4
73;Population 6 years or older;Total male and female;Age: 25 to 34 years;Value;2019;86.6;13.4
74;Population 6 years or older;Total male and female;Age: 25 to 34 years;Value;2020;77.2;6.0
75;Population 6 years or older;Total male and female;Age: 25 to 34 years;Value;2021;80.3;6.5
76;Population 6 years or older;Total male and female;Age: 25 to 34 years;Value;2022;81.3;9.6
77;Population 6 years or older;Total male and female;Age: 25 to 34 years;Value;2023;82.9;10.7
78;Population 6 years or older;Total male and female;Age: 25 to 34 years;Lower bound 95% confidence interval;2018;87.6;12.5
79;Population 6 years or older;Total male and female;Age: 25 to 34 years;Lower bound 95% confidence interval;2019;85.5;12.5
80;Population 6 years or older;Total male and female;Age: 25 to 34 years;Lower bound 95% confidence interval;2020;76.2;5.4
81;Population 6 years or older;Total male and female;Age: 25 to 34 years;Lower bound 95% confidence interval;2021;79.4;6.0
82;Population 6 years or older;Total male and female;Age: 25 to 34 years;Lower bound 95% confidence interval;2022;80.2;8.9
83;Population 6 years or older;Total male and female;Age: 25 to 34 years;Lower bound 95% confidence interval;2023;81.8;10.0
84;Population 6 years or older;Total male and female;Age: 25 to 34 years;Upper bound 95% confidence interval;2018;89.6;14.3
85;Population 6 years or older;Total male and female;Age: 25 to 34 years;Upper bound 95% confidence interval;2019;87.7;14.3
86;Population 6 years or older;Total male and female;Age: 25 to 34 years;Upper bound 95% confidence interval;2020;78.2;6.5
87;Population 6 years or older;Total male and female;Age: 25 to 34 years;Upper bound 95% confidence interval;2021;81.3;7.0
88;Population 6 years or older;Total male and female;Age: 25 to 34 years;Upper bound 95% confidence interval;2022;82.4;10.3
89;Population 6 years or older;Total male and female;Age: 25 to 34 years;Upper bound 95% confidence interval;2023;83.9;11.4
90;Population 6 years or older;Total male and female;Age: 35 to 49 years;Value;2018;86.7;7.1
91;Population 6 years or older;Total male and female;Age: 35 to 49 years;Value;2019;86.7;7.5
92;Population 6 years or older;Total male and female;Age: 35 to 49 years;Value;2020;78.7;3.2
93;Population 6 years or older;Total male and female;Age: 35 to 49 years;Value;2021;81.2;3.2
94;Population 6 years or older;Total male and female;Age: 35 to 49 years;Value;2022;82.7;4.8
95;Population 6 years or older;Total male and female;Age: 35 to 49 years;Value;2023;84.6;6.1
96;Population 6 years or older;Total male and female;Age: 35 to 49 years;Lower bound 95% confidence interval;2018;85.8;6.6
97;Population 6 years or older;Total male and female;Age: 35 to 49 years;Lower bound 95% confidence interval;2019;85.8;6.9
98;Population 6 years or older;Total male and female;Age: 35 to 49 years;Lower bound 95% confidence interval;2020;77.9;2.9
99;Population 6 years or older;Total male and female;Age: 35 to 49 years;Lower bound 95% confidence interval;2021;80.4;2.9
100;Population 6 years or older;Total male and female;Age: 35 to 49 years;Lower bound 95% confidence interval;2022;81.8;4.4
101;Population 6 years or older;Total male and female;Age: 35 to 49 years;Lower bound 95% confidence interval;2023;83.7;5.6
102;Population 6 years or older;Total male and female;Age: 35 to 49 years;Upper bound 95% confidence interval;2018;87.5;7.7
103;Population 6 years or older;Total male and female;Age: 35 to 49 years;Upper bound 95% confidence interval;2019;87.6;8.1
104;Population 6 years or older;Total male and female;Age: 35 to 49 years;Upper bound 95% confidence interval;2020;79.5;3.6
105;Population 6 years or older;Total male and female;Age: 35 to 49 years;Upper bound 95% confidence interval;2021;82.0;3.5
106;Population 6 years or older;Total male and female;Age: 35 to 49 years;Upper bound 95% confidence interval;2022;83.6;5.3
107;Population 6 years or older;Total male and female;Age: 35 to 49 years;Upper bound 95% confidence interval;2023;85.4;6.5
108;Population 6 years or older;Total male and female;Age: 50 to 64 years;Value;2018;83.5;6.0
109;Population 6 years or older;Total male and female;Age: 50 to 64 years;Value;2019;82.9;6.0
110;Population 6 years or older;Total male and female;Age: 50 to 64 years;Value;2020;76.8;2.5
111;Population 6 years or older;Total male and female;Age: 50 to 64 years;Value;2021;80.7;2.4
112;Population 6 years or older;Total male and female;Age: 50 to 64 years;Value;2022;81.6;3.8
113;Population 6 years or older;Total male and female;Age: 50 to 64 years;Value;2023;81.7;4.3
114;Population 6 years or older;Total male and female;Age: 50 to 64 years;Lower bound 95% confidence interval;2018;82.6;5.6
115;Population 6 years or older;Total male and female;Age: 50 to 64 years;Lower bound 95% confidence interval;2019;81.9;5.6
116;Population 6 years or older;Total male and female;Age: 50 to 64 years;Lower bound 95% confidence interval;2020;76.0;2.2
117;Population 6 years or older;Total male and female;Age: 50 to 64 years;Lower bound 95% confidence interval;2021;79.9;2.2
118;Population 6 years or older;Total male and female;Age: 50 to 64 years;Lower bound 95% confidence interval;2022;80.7;3.5
119;Population 6 years or older;Total male and female;Age: 50 to 64 years;Lower bound 95% confidence interval;2023;80.8;4.0
120;Population 6 years or older;Total male and female;Age: 50 to 64 years;Upper bound 95% confidence interval;2018;84.3;6.5
121;Population 6 years or older;Total male and female;Age: 50 to 64 years;Upper bound 95% confidence interval;2019;83.8;6.5
122;Population 6 years or older;Total male and female;Age: 50 to 64 years;Upper bound 95% confidence interval;2020;77.6;2.8
123;Population 6 years or older;Total male and female;Age: 50 to 64 years;Upper bound 95% confidence interval;2021;81.5;2.7
124;Population 6 years or older;Total male and female;Age: 50 to 64 years;Upper bound 95% confidence interval;2022;82.4;4.2
125;Population 6 years or older;Total male and female;Age: 50 to 64 years;Upper bound 95% confidence interval;2023;82.5;4.7
126;Population 6 years or older;Total male and female;Age: 65 to 74 years;Value;2018;74.9;4.2
127;Population 6 years or older;Total male and female;Age: 65 to 74 years;Value;2019;73.5;4.2
128;Population 6 years or older;Total male and female;Age: 65 to 74 years;Value;2020;67.8;1.6
129;Population 6 years or older;Total male and female;Age: 65 to 74 years;Value;2021;74.3;1.8
130;Population 6 years or older;Total male and female;Age: 65 to 74 years;Value;2022;76.7;2.2
131;Population 6 years or older;Total male and female;Age: 65 to 74 years;Value;2023;76.8;3.1
132;Population 6 years or older;Total male and female;Age: 65 to 74 years;Lower bound 95% confidence interval;2018;73.5;3.6
133;Population 6 years or older;Total male and female;Age: 65 to 74 years;Lower bound 95% confidence interval;2019;72.1;3.6
134;Population 6 years or older;Total male and female;Age: 65 to 74 years;Lower bound 95% confidence interval;2020;66.6;1.3
135;Population 6 years or older;Total male and female;Age: 65 to 74 years;Lower bound 95% confidence interval;2021;73.2;1.5
136;Population 6 years or older;Total male and female;Age: 65 to 74 years;Lower bound 95% confidence interval;2022;75.5;1.9
137;Population 6 years or older;Total male and female;Age: 65 to 74 years;Lower bound 95% confidence interval;2023;75.7;2.7
138;Population 6 years or older;Total male and female;Age: 65 to 74 years;Upper bound 95% confidence interval;2018;76.2;4.9
139;Population 6 years or older;Total male and female;Age: 65 to 74 years;Upper bound 95% confidence interval;2019;74.8;4.8
140;Population 6 years or older;Total male and female;Age: 65 to 74 years;Upper bound 95% confidence interval;2020;69.0;1.9
141;Population 6 years or older;Total male and female;Age: 65 to 74 years;Upper bound 95% confidence interval;2021;75.4;2.1
142;Population 6 years or older;Total male and female;Age: 65 to 74 years;Upper bound 95% confidence interval;2022;77.8;2.6
143;Population 6 years or older;Total male and female;Age: 65 to 74 years;Upper bound 95% confidence interval;2023;77.9;3.6
144;Population 6 years or older;Total male and female;Age: 75 years or older;Value;2018;59.8;3.2
145;Population 6 years or older;Total male and female;Age: 75 years or older;Value;2019;59.4;2.9
146;Population 6 years or older;Total male and female;Age: 75 years or older;Value;2020;51.6;1.1
147;Population 6 years or older;Total male and female;Age: 75 years or older;Value;2021;59.7;1.2
148;Population 6 years or older;Total male and female;Age: 75 years or older;Value;2022;62.6;1.8
149;Population 6 years or older;Total male and female;Age: 75 years or older;Value;2023;62.5;2.2
150;Population 6 years or older;Total male and female;Age: 75 years or older;Lower bound 95% confidence interval;2018;58.1;2.6
151;Population 6 years or older;Total male and female;Age: 75 years or older;Lower bound 95% confidence interval;2019;57.8;2.4
152;Population 6 years or older;Total male and female;Age: 75 years or older;Lower bound 95% confidence interval;2020;50.2;0.8
153;Population 6 years or older;Total male and female;Age: 75 years or older;Lower bound 95% confidence interval;2021;58.4;0.9
154;Population 6 years or older;Total male and female;Age: 75 years or older;Lower bound 95% confidence interval;2022;61.3;1.5
155;Population 6 years or older;Total male and female;Age: 75 years or older;Lower bound 95% confidence interval;2023;61.2;1.9
156;Population 6 years or older;Total male and female;Age: 75 years or older;Upper bound 95% confidence interval;2018;61.5;3.9
157;Population 6 years or older;Total male and female;Age: 75 years or older;Upper bound 95% confidence interval;2019;61.0;3.5
158;Population 6 years or older;Total male and female;Age: 75 years or older;Upper bound 95% confidence interval;2020;52.9;1.4
159;Population 6 years or older;Total male and female;Age: 75 years or older;Upper bound 95% confidence interval;2021;61.0;1.5
160;Population 6 years or older;Total male and female;Age: 75 years or older;Upper bound 95% confidence interval;2022;64.0;2.2
161;Population 6 years or older;Total male and female;Age: 75 years or older;Upper bound 95% confidence interval;2023;63.7;2.6
162;Population 6 years or older;Total male and female;Background: Dutch;Value;2018;84.5;7.1
163;Population 6 years or older;Total male and female;Background: Dutch;Value;2019;83.7;7.0
164;Population 6 years or older;Total male and female;Background: Dutch;Value;2020;77.0;3.2
165;Population 6 years or older;Total male and female;Background: Dutch;Value;2021;80.5;3.3
166;Population 6 years or older;Total male and female;Background: Dutch;Value;2022;82.2;4.6
167;Population 6 years or older;Total male and female;Background: Dutch;Value;2023;;
168;Population 6 years or older;Total male and female;Background: Dutch;Lower bound 95% confidence interval;2018;84.0;6.8
169;Population 6 years or older;Total male and female;Background: Dutch;Lower bound 95% confidence interval;2019;83.2;6.8
170;Population 6 years or older;Total male and female;Background: Dutch;Lower bound 95% confidence interval;2020;76.6;3.0
171;Population 6 years or older;Total male and female;Background: Dutch;Lower bound 95% confidence interval;2021;80.1;3.1
172;Population 6 years or older;Total male and female;Background: Dutch;Lower bound 95% confidence interval;2022;81.8;4.4
173;Population 6 years or older;Total male and female;Background: Dutch;Lower bound 95% confidence interval;2023;;
174;Population 6 years or older;Total male and female;Background: Dutch;Upper bound 95% confidence interval;2018;84.9;7.3
175;Population 6 years or older;Total male and female;Background: Dutch;Upper bound 95% confidence interval;2019;84.2;7.3
176;Population 6 years or older;Total male and female;Background: Dutch;Upper bound 95% confidence interval;2020;77.5;3.3
177;Population 6 years or older;Total male and female;Background: Dutch;Upper bound 95% confidence interval;2021;80.9;3.4
178;Population 6 years or older;Total male and female;Background: Dutch;Upper bound 95% confidence interval;2022;82.7;4.8
179;Population 6 years or older;Total male and female;Background: Dutch;Upper bound 95% confidence interval;2023;;
180;Population 6 years or older;Total male and female;Background: western;Value;2018;80.9;11.0
181;Population 6 years or older;Total male and female;Background: western;Value;2019;78.5;11.5
182;Population 6 years or older;Total male and female;Background: western;Value;2020;67.9;5.1
183;Population 6 years or older;Total male and female;Background: western;Value;2021;73.7;4.8
184;Population 6 years or older;Total male and female;Background: western;Value;2022;74.5;8.4
185;Population 6 years or older;Total male and female;Background: western;Value;2023;;
186;Population 6 years or older;Total male and female;Background: western;Lower bound 95% confidence interval;2018;79.5;10.0
187;Population 6 years or older;Total male and female;Background: western;Lower bound 95% confidence interval;2019;77.0;10.5
188;Population 6 years or older;Total male and female;Background: western;Lower bound 95% confidence interval;2020;66.6;4.5
189;Population 6 years or older;Total male and female;Background: western;Lower bound 95% confidence interval;2021;72.4;4.3
190;Population 6 years or older;Total male and female;Background: western;Lower bound 95% confidence interval;2022;73.1;7.6
191;Population 6 years or older;Total male and female;Background: western;Lower bound 95% confidence interval;2023;;
192;Population 6 years or older;Total male and female;Background: western;Upper bound 95% confidence interval;2018;82.3;12.0
193;Population 6 years or older;Total male and female;Background: western;Upper bound 95% confidence interval;2019;80.0;12.5
194;Population 6 years or older;Total male and female;Background: western;Upper bound 95% confidence interval;2020;69.2;5.7
195;Population 6 years or older;Total male and female;Background: western;Upper bound 95% confidence interval;2021;74.9;5.4
196;Population 6 years or older;Total male and female;Background: western;Upper bound 95% confidence interval;2022;75.9;9.2
197;Population 6 years or older;Total male and female;Background: western;Upper bound 95% confidence interval;2023;;
198;Population 6 years or older;Total male and female;Background: non-western;Value;2018;75.5;16.0
199;Population 6 years or older;Total male and female;Background: non-western;Value;2019;74.3;15.1
200;Population 6 years or older;Total male and female;Background: non-western;Value;2020;60.3;7.3
201;Population 6 years or older;Total male and female;Background: non-western;Value;2021;68.7;9.1
202;Population 6 years or older;Total male and female;Background: non-western;Value;2022;71.0;11.8
203;Population 6 years or older;Total male and female;Background: non-western;Value;2023;;
204;Population 6 years or older;Total male and female;Background: non-western;Lower bound 95% confidence interval;2018;74.2;14.9
205;Population 6 years or older;Total male and female;Background: non-western;Lower bound 95% confidence interval;2019;73.0;14.1
206;Population 6 years or older;Total male and female;Background: non-western;Lower bound 95% confidence interval;2020;59.2;6.7
207;Population 6 years or older;Total male and female;Background: non-western;Lower bound 95% confidence interval;2021;67.6;8.5
208;Population 6 years or older;Total male and female;Background: non-western;Lower bound 95% confidence interval;2022;69.8;11.1
209;Population 6 years or older;Total male and female;Background: non-western;Lower bound 95% confidence interval;2023;;
210;Population 6 years or older;Total male and female;Background: non-western;Upper bound 95% confidence interval;2018;76.8;17.0
211;Population 6 years or older;Total male and female;Background: non-western;Upper bound 95% confidence interval;2019;75.6;16.1
212;Population 6 years or older;Total male and female;Background: non-western;Upper bound 95% confidence interval;2020;61.5;8.0
213;Population 6 years or older;Total male and female;Background: non-western;Upper bound 95% confidence interval;2021;69.8;9.8
214;Population 6 years or older;Total male and female;Background: non-western;Upper bound 95% confidence interval;2022;72.2;12.6
215;Population 6 years or older;Total male and female;Background: non-western;Upper bound 95% confidence interval;2023;;
216;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Value;2018;77.1;12.5
217;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Value;2019;74.1;12.1
218;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Value;2020;62.8;5.6
219;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Value;2021;70.0;7.0
220;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Value;2022;72.6;9.5
221;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Value;2023;72.4;10.3
222;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2018;75.9;11.6
223;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2019;72.8;11.3
224;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2020;61.6;5.1
225;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2021;68.9;6.5
226;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2022;71.4;8.8
227;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Lower bound 95% confidence interval;2023;71.3;9.6
228;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2018;78.3;13.4
229;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2019;75.4;13.0
230;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2020;63.9;6.2
231;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2021;71.0;7.6
232;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2022;73.8;10.2
233;Population 6 years or older;Total male and female;Equivalised income: 1st 20%-group;Upper bound 95% confidence interval;2023;73.5;11.1
234;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Value;2018;76.6;7.4
235;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Value;2019;76.3;7.2
236;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Value;2020;67.1;3.5
237;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Value;2021;73.3;4.3
238;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Value;2022;75.8;5.6
239;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Value;2023;75.2;6.2
240;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2018;75.5;6.8
241;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2019;75.2;6.6
242;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2020;66.1;3.2
243;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2021;72.3;3.9
244;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2022;74.8;5.1
245;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Lower bound 95% confidence interval;2023;74.2;5.7
246;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2018;77.6;8.0
247;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2019;77.3;7.8
248;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2020;68.0;3.9
249;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2021;74.2;4.7
250;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2022;76.8;6.2
251;Population 6 years or older;Total male and female;Equivalised income: 2nd 20%-group;Upper bound 95% confidence interval;2023;76.2;6.8
252;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Value;2018;85.3;7.7
253;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Value;2019;83.7;8.1
254;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Value;2020;75.9;3.8
255;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Value;2021;80.0;3.8
256;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Value;2022;81.8;5.0
257;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Value;2023;82.4;5.5
258;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2018;84.4;7.1
259;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2019;82.8;7.5
260;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2020;75.0;3.4
261;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2021;79.2;3.5
262;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2022;80.9;4.6
263;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Lower bound 95% confidence interval;2023;81.6;5.1
264;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2018;86.1;8.3
265;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2019;84.6;8.7
266;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2020;76.7;4.2
267;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2021;80.8;4.2
268;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2022;82.6;5.5
269;Population 6 years or older;Total male and female;Equivalised income: 3rd 20%-group;Upper bound 95% confidence interval;2023;83.3;6.0
270;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Value;2018;86.8;7.5
271;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Value;2019;86.3;8.1
272;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Value;2020;79.5;3.3
273;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Value;2021;82.6;3.3
274;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Value;2022;83.8;5.3
275;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Value;2023;84.9;5.9
276;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2018;86.0;7.0
277;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2019;85.5;7.5
278;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2020;78.8;3.0
279;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2021;81.9;3.0
280;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2022;83.0;4.9
