ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
71;Total natural persons;Total;2017 1st quarter;360
72;Total natural persons;Total;2017 April;115
73;Total natural persons;Total;2017 May;138
74;Total natural persons;Total;2017 June;98
75;Total natural persons;Total;2017 2nd quarter;351
76;Total natural persons;Total;2017 July;95
77;Total natural persons;Total;2017 August;122
78;Total natural persons;Total;2017 September;112
79;Total natural persons;Total;2017 3rd quarter;329
80;Total natural persons;Total;2017 October;115
81;Total natural persons;Total;2017 November;102
82;Total natural persons;Total;2017 December;72
83;Total natural persons;Total;2017 4th quarter;289
84;Total natural persons;Total;2017;1329
85;Total natural persons;Total;2018 January;110
86;Total natural persons;Total;2018 February;81
87;Total natural persons;Total;2018 March;109
88;Total natural persons;Total;2018 1st quarter;300
89;Total natural persons;Total;2018 April;84
90;Total natural persons;Total;2018 May;92
91;Total natural persons;Total;2018 June;89
92;Total natural persons;Total;2018 2nd quarter;265
93;Total natural persons;Total;2018 July;84
94;Total natural persons;Total;2018 August;84
95;Total natural persons;Total;2018 September;97
96;Total natural persons;Total;2018 3rd quarter;265
97;Total natural persons;Total;2018 October;94
98;Total natural persons;Total;2018 November;87
99;Total natural persons;Total;2018 December;70
100;Total natural persons;Total;2018 4th quarter;251
101;Total natural persons;Total;2018;1081
102;Total natural persons;Total;2019 January;121
103;Total natural persons;Total;2019 February;108
104;Total natural persons;Total;2019 March;98
105;Total natural persons;Total;2019 1st quarter;327
106;Total natural persons;Total;2019 April;103
107;Total natural persons;Total;2019 May;77
108;Total natural persons;Total;2019 June;91
109;Total natural persons;Total;2019 2nd quarter;271
110;Total natural persons;Total;2019 July;98
111;Total natural persons;Total;2019 August;86
112;Total natural persons;Total;2019 September;102
113;Total natural persons;Total;2019 3rd quarter;286
114;Total natural persons;Total;2019 October;104
115;Total natural persons;Total;2019 November;96
116;Total natural persons;Total;2019 December;86
117;Total natural persons;Total;2019 4th quarter;286
118;Total natural persons;Total;2019;1170
119;Total natural persons;Total;2020 January;91
120;Total natural persons;Total;2020 February;116
121;Total natural persons;Total;2020 March;75
122;Total natural persons;Total;2020 1st quarter;282
123;Total natural persons;Total;2020 April;76
124;Total natural persons;Total;2020 May;102
125;Total natural persons;Total;2020 June;86
126;Total natural persons;Total;2020 2nd quarter;264
127;Total natural persons;Total;2020 July;59
128;Total natural persons;Total;2020 August;45
129;Total natural persons;Total;2020 September;79
130;Total natural persons;Total;2020 3rd quarter;183
131;Total natural persons;Total;2020 October;60
132;Total natural persons;Total;2020 November;64
133;Total natural persons;Total;2020 December;76
134;Total natural persons;Total;2020 4th quarter;200
135;Total natural persons;Total;2020;929
136;Total natural persons;Total;2021 January;62
137;Total natural persons;Total;2021 February;55
138;Total natural persons;Total;2021 March;58
139;Total natural persons;Total;2021 1st quarter;175
140;Total natural persons;Total;2021 April;63
141;Total natural persons;Total;2021 May;52
142;Total natural persons;Total;2021 June;47
143;Total natural persons;Total;2021 2nd quarter;162
144;Total natural persons;Total;2021 July;40
145;Total natural persons;Total;2021 August;41
146;Total natural persons;Total;2021 September;49
147;Total natural persons;Total;2021 3rd quarter;130
148;Total natural persons;Total;2021 October;40
149;Total natural persons;Total;2021 November;49
150;Total natural persons;Total;2021 December;36
151;Total natural persons;Total;2021 4th quarter;125
152;Total natural persons;Total;2021;592
153;Total natural persons;Total;2022 January;31
154;Total natural persons;Total;2022 February;45
155;Total natural persons;Total;2022 March;39
156;Total natural persons;Total;2022 1st quarter;115
157;Total natural persons;Total;2022 April;45
158;Total natural persons;Total;2022 May;64
159;Total natural persons;Total;2022 June;39
160;Total natural persons;Total;2022 2nd quarter;148
161;Total natural persons;Total;2022 July;43
162;Total natural persons;Total;2022 August;46
163;Total natural persons;Total;2022 September;38
164;Total natural persons;Total;2022 3rd quarter;127
165;Total natural persons;Total;2022 October;60
166;Total natural persons;Total;2022 November;75
167;Total natural persons;Total;2022 December;53
168;Total natural persons;Total;2022 4th quarter;188
169;Total natural persons;Total;2022;578
170;Total natural persons;Total;2023 January;58
171;Total natural persons;Total;2023 February;61
172;Total natural persons;Total;2023 March;58
173;Total natural persons;Total;2023 1st quarter;177
174;Total natural persons;Total;2023 April;52
175;Total natural persons;Total;2023 May;69
176;Total natural persons;Total;2023 June;52
177;Total natural persons;Total;2023 2nd quarter;173
178;Total natural persons;Total;2023 July;60
179;Total natural persons;Total;2023 August;68
180;Total natural persons;Total;2023 September;58
181;Total natural persons;Total;2023 3rd quarter;186
182;Total natural persons;Total;2023 October;74
183;Total natural persons;Total;2023 November;56
184;Total natural persons;Total;2023 December;62
185;Total natural persons;Total;2023 4th quarter;192
186;Total natural persons;Total;2023;728
187;Total natural persons;Total;2024 January;111
188;Total natural persons;Total;2024 February;59
189;Total natural persons;Total;2024 March;73
190;Total natural persons;Total;2024 1st quarter;243
191;Total natural persons;Total;2024 April;74
192;Total natural persons;Total;2024 May;55
193;Total natural persons;Total;2024 June;62
194;Total natural persons;Total;2024 2nd quarter;191
195;Total natural persons;Total;2024 July;96
196;Total natural persons;Total;2024 August;61
197;Total natural persons;Total;2024 September;78
198;Total natural persons;Total;2024 3rd quarter;235
199;Total natural persons;Total;2024 October;78
200;Total natural persons;Total;2024 November;62
201;Total natural persons;Total;2024 December;68
202;Total natural persons;Total;2024 4th quarter;208
203;Total natural persons;Total;2024;877
204;Total natural persons;Total;2025 January;91
205;Total natural persons;Total;2025 February;58
206;Total natural persons;Total;2025 March;72
207;Total natural persons;Total;2025 1st quarter;221
208;Total natural persons;Under 25 years;2013 January;11
209;Total natural persons;Under 25 years;2013 February;2
210;Total natural persons;Under 25 years;2013 March;8
211;Total natural persons;Under 25 years;2013 1st quarter;21
212;Total natural persons;Under 25 years;2013 April;10
213;Total natural persons;Under 25 years;2013 May;10
214;Total natural persons;Under 25 years;2013 June;10
215;Total natural persons;Under 25 years;2013 2nd quarter;30
216;Total natural persons;Under 25 years;2013 July;7
217;Total natural persons;Under 25 years;2013 August;7
218;Total natural persons;Under 25 years;2013 September;7
219;Total natural persons;Under 25 years;2013 3rd quarter;21
220;Total natural persons;Under 25 years;2013 October;9
221;Total natural persons;Under 25 years;2013 November;11
222;Total natural persons;Under 25 years;2013 December;8
223;Total natural persons;Under 25 years;2013 4th quarter;28
224;Total natural persons;Under 25 years;2013;100
225;Total natural persons;Under 25 years;2014 January;5
226;Total natural persons;Under 25 years;2014 February;8
227;Total natural persons;Under 25 years;2014 March;4
228;Total natural persons;Under 25 years;2014 1st quarter;17
229;Total natural persons;Under 25 years;2014 April;5
230;Total natural persons;Under 25 years;2014 May;5
231;Total natural persons;Under 25 years;2014 June;8
232;Total natural persons;Under 25 years;2014 2nd quarter;18
233;Total natural persons;Under 25 years;2014 July;4
234;Total natural persons;Under 25 years;2014 August;10
235;Total natural persons;Under 25 years;2014 September;4
236;Total natural persons;Under 25 years;2014 3rd quarter;18
237;Total natural persons;Under 25 years;2014 October;2
238;Total natural persons;Under 25 years;2014 November;7
239;Total natural persons;Under 25 years;2014 December;3
240;Total natural persons;Under 25 years;2014 4th quarter;12
241;Total natural persons;Under 25 years;2014;65
242;Total natural persons;Under 25 years;2015 January;3
243;Total natural persons;Under 25 years;2015 February;5
244;Total natural persons;Under 25 years;2015 March;5
245;Total natural persons;Under 25 years;2015 1st quarter;13
246;Total natural persons;Under 25 years;2015 April;1
247;Total natural persons;Under 25 years;2015 May;1
248;Total natural persons;Under 25 years;2015 June;7
249;Total natural persons;Under 25 years;2015 2nd quarter;9
250;Total natural persons;Under 25 years;2015 July;0
251;Total natural persons;Under 25 years;2015 August;3
252;Total natural persons;Under 25 years;2015 September;0
253;Total natural persons;Under 25 years;2015 3rd quarter;3
254;Total natural persons;Under 25 years;2015 October;3
255;Total natural persons;Under 25 years;2015 November;1
256;Total natural persons;Under 25 years;2015 December;5
257;Total natural persons;Under 25 years;2015 4th quarter;9
258;Total natural persons;Under 25 years;2015;34
259;Total natural persons;Under 25 years;2016 January;3
260;Total natural persons;Under 25 years;2016 February;1
261;Total natural persons;Under 25 years;2016 March;2
262;Total natural persons;Under 25 years;2016 1st quarter;6
263;Total natural persons;Under 25 years;2016 April;3
264;Total natural persons;Under 25 years;2016 May;1
265;Total natural persons;Under 25 years;2016 June;1
266;Total natural persons;Under 25 years;2016 2nd quarter;5
267;Total natural persons;Under 25 years;2016 July;4
268;Total natural persons;Under 25 years;2016 August;7
269;Total natural persons;Under 25 years;2016 September;3
270;Total natural persons;Under 25 years;2016 3rd quarter;14
271;Total natural persons;Under 25 years;2016 October;0
272;Total natural persons;Under 25 years;2016 November;2
273;Total natural persons;Under 25 years;2016 December;1
274;Total natural persons;Under 25 years;2016 4th quarter;3
275;Total natural persons;Under 25 years;2016;28
276;Total natural persons;Under 25 years;2017 January;0
277;Total natural persons;Under 25 years;2017 February;3
278;Total natural persons;Under 25 years;2017 March;1
279;Total natural persons;Under 25 years;2017 1st quarter;4
280;Total natural persons;Under 25 years;2017 April;1
281;Total natural persons;Under 25 years;2017 May;5
282;Total natural persons;Under 25 years;2017 June;2
283;Total natural persons;Under 25 years;2017 2nd quarter;8
284;Total natural persons;Under 25 years;2017 July;0
285;Total natural persons;Under 25 years;2017 August;2
286;Total natural persons;Under 25 years;2017 September;4
287;Total natural persons;Under 25 years;2017 3rd quarter;6
288;Total natural persons;Under 25 years;2017 October;4
289;Total natural persons;Under 25 years;2017 November;2
290;Total natural persons;Under 25 years;2017 December;0
291;Total natural persons;Under 25 years;2017 4th quarter;6
292;Total natural persons;Under 25 years;2017;24
293;Total natural persons;Under 25 years;2018 January;5
294;Total natural persons;Under 25 years;2018 February;0
295;Total natural persons;Under 25 years;2018 March;3
296;Total natural persons;Under 25 years;2018 1st quarter;8
297;Total natural persons;Under 25 years;2018 April;1
298;Total natural persons;Under 25 years;2018 May;1
299;Total natural persons;Under 25 years;2018 June;1
300;Total natural persons;Under 25 years;2018 2nd quarter;3
301;Total natural persons;Under 25 years;2018 July;2
302;Total natural persons;Under 25 years;2018 August;4
303;Total natural persons;Under 25 years;2018 September;3
304;Total natural persons;Under 25 years;2018 3rd quarter;9
305;Total natural persons;Under 25 years;2018 October;2
306;Total natural persons;Under 25 years;2018 November;2
307;Total natural persons;Under 25 years;2018 December;3
308;Total natural persons;Under 25 years;2018 4th quarter;7
309;Total natural persons;Under 25 years;2018;27
310;Total natural persons;Under 25 years;2019 January;1
311;Total natural persons;Under 25 years;2019 February;0
312;Total natural persons;Under 25 years;2019 March;1
313;Total natural persons;Under 25 years;2019 1st quarter;2
314;Total natural persons;Under 25 years;2019 April;3
315;Total natural persons;Under 25 years;2019 May;0
316;Total natural persons;Under 25 years;2019 June;1
317;Total natural persons;Under 25 years;2019 2nd quarter;4
318;Total natural persons;Under 25 years;2019 July;2
319;Total natural persons;Under 25 years;2019 August;4
320;Total natural persons;Under 25 years;2019 September;6
321;Total natural persons;Under 25 years;2019 3rd quarter;12
322;Total natural persons;Under 25 years;2019 October;3
323;Total natural persons;Under 25 years;2019 November;1
324;Total natural persons;Under 25 years;2019 December;2
325;Total natural persons;Under 25 years;2019 4th quarter;6
326;Total natural persons;Under 25 years;2019;24
327;Total natural persons;Under 25 years;2020 January;2
328;Total natural persons;Under 25 years;2020 February;3
329;Total natural persons;Under 25 years;2020 March;1
330;Total natural persons;Under 25 years;2020 1st quarter;6
331;Total natural persons;Under 25 years;2020 April;0
332;Total natural persons;Under 25 years;2020 May;3
333;Total natural persons;Under 25 years;2020 June;3
334;Total natural persons;Under 25 years;2020 2nd quarter;6
335;Total natural persons;Under 25 years;2020 July;0
336;Total natural persons;Under 25 years;2020 August;2
337;Total natural persons;Under 25 years;2020 September;4
338;Total natural persons;Under 25 years;2020 3rd quarter;6
339;Total natural persons;Under 25 years;2020 October;3
340;Total natural persons;Under 25 years;2020 November;2
341;Total natural persons;Under 25 years;2020 December;3
342;Total natural persons;Under 25 years;2020 4th quarter;8
343;Total natural persons;Under 25 years;2020;26
344;Total natural persons;Under 25 years;2021 January;2
345;Total natural persons;Under 25 years;2021 February;3
346;Total natural persons;Under 25 years;2021 March;3
347;Total natural persons;Under 25 years;2021 1st quarter;8
348;Total natural persons;Under 25 years;2021 April;3
349;Total natural persons;Under 25 years;2021 May;1
350;Total natural persons;Under 25 years;2021 June;1
351;Total natural persons;Under 25 years;2021 2nd quarter;5
352;Total natural persons;Under 25 years;2021 July;0
353;Total natural persons;Under 25 years;2021 August;2
354;Total natural persons;Under 25 years;2021 September;3
355;Total natural persons;Under 25 years;2021 3rd quarter;5
356;Total natural persons;Under 25 years;2021 October;4
357;Total natural persons;Under 25 years;2021 November;3
358;Total natural persons;Under 25 years;2021 December;3
359;Total natural persons;Under 25 years;2021 4th quarter;10
360;Total natural persons;Under 25 years;2021;28
361;Total natural persons;Under 25 years;2022 January;0
362;Total natural persons;Under 25 years;2022 February;2
363;Total natural persons;Under 25 years;2022 March;2
364;Total natural persons;Under 25 years;2022 1st quarter;4
365;Total natural persons;Under 25 years;2022 April;0
366;Total natural persons;Under 25 years;2022 May;2
367;Total natural persons;Under 25 years;2022 June;1
368;Total natural persons;Under 25 years;2022 2nd quarter;3
369;Total natural persons;Under 25 years;2022 July;2
370;Total natural persons;Under 25 years;2022 August;3
371;Total natural persons;Under 25 years;2022 September;1
372;Total natural persons;Under 25 years;2022 3rd quarter;6
373;Total natural persons;Under 25 years;2022 October;4
374;Total natural persons;Under 25 years;2022 November;5
375;Total natural persons;Under 25 years;2022 December;2
376;Total natural persons;Under 25 years;2022 4th quarter;11
377;Total natural persons;Under 25 years;2022;24
378;Total natural persons;Under 25 years;2023 January;3
379;Total natural persons;Under 25 years;2023 February;5
380;Total natural persons;Under 25 years;2023 March;4
381;Total natural persons;Under 25 years;2023 1st quarter;12
382;Total natural persons;Under 25 years;2023 April;1
383;Total natural persons;Under 25 years;2023 May;2
384;Total natural persons;Under 25 years;2023 June;1
385;Total natural persons;Under 25 years;2023 2nd quarter;4
386;Total natural persons;Under 25 years;2023 July;0
387;Total natural persons;Under 25 years;2023 August;3
388;Total natural persons;Under 25 years;2023 September;1
389;Total natural persons;Under 25 years;2023 3rd quarter;4
390;Total natural persons;Under 25 years;2023 October;1
391;Total natural persons;Under 25 years;2023 November;1
392;Total natural persons;Under 25 years;2023 December;0
393;Total natural persons;Under 25 years;2023 4th quarter;2
394;Total natural persons;Under 25 years;2023;22
395;Total natural persons;Under 25 years;2024 January;1
396;Total natural persons;Under 25 years;2024 February;1
397;Total natural persons;Under 25 years;2024 March;2
398;Total natural persons;Under 25 years;2024 1st quarter;4
399;Total natural persons;Under 25 years;2024 April;3
400;Total natural persons;Under 25 years;2024 May;1
401;Total natural persons;Under 25 years;2024 June;4
402;Total natural persons;Under 25 years;2024 2nd quarter;8
403;Total natural persons;Under 25 years;2024 July;2
404;Total natural persons;Under 25 years;2024 August;1
405;Total natural persons;Under 25 years;2024 September;5
406;Total natural persons;Under 25 years;2024 3rd quarter;8
407;Total natural persons;Under 25 years;2024 October;4
408;Total natural persons;Under 25 years;2024 November;2
409;Total natural persons;Under 25 years;2024 December;4
410;Total natural persons;Under 25 years;2024 4th quarter;10
411;Total natural persons;Under 25 years;2024;30
412;Total natural persons;Under 25 years;2025 January;5
413;Total natural persons;Under 25 years;2025 February;2
414;Total natural persons;Under 25 years;2025 March;3
415;Total natural persons;Under 25 years;2025 1st quarter;10
416;Total natural persons;25 to 29 years;2013 January;36
417;Total natural persons;25 to 29 years;2013 February;20
418;Total natural persons;25 to 29 years;2013 March;22
419;Total natural persons;25 to 29 years;2013 1st quarter;78
420;Total natural persons;25 to 29 years;2013 April;23
421;Total natural persons;25 to 29 years;2013 May;23
422;Total natural persons;25 to 29 years;2013 June;23
423;Total natural persons;25 to 29 years;2013 2nd quarter;69
424;Total natural persons;25 to 29 years;2013 July;26
425;Total natural persons;25 to 29 years;2013 August;21
426;Total natural persons;25 to 29 years;2013 September;19
427;Total natural persons;25 to 29 years;2013 3rd quarter;66
428;Total natural persons;25 to 29 years;2013 October;29
429;Total natural persons;25 to 29 years;2013 November;23
430;Total natural persons;25 to 29 years;2013 December;18
431;Total natural persons;25 to 29 years;2013 4th quarter;70
432;Total natural persons;25 to 29 years;2013;283
433;Total natural persons;25 to 29 years;2014 January;32
434;Total natural persons;25 to 29 years;2014 February;19
435;Total natural persons;25 to 29 years;2014 March;17
436;Total natural persons;25 to 29 years;2014 1st quarter;68
437;Total natural persons;25 to 29 years;2014 April;16
438;Total natural persons;25 to 29 years;2014 May;21
439;Total natural persons;25 to 29 years;2014 June;12
440;Total natural persons;25 to 29 years;2014 2nd quarter;49
441;Total natural persons;25 to 29 years;2014 July;9
442;Total natural persons;25 to 29 years;2014 August;17
443;Total natural persons;25 to 29 years;2014 September;20
444;Total natural persons;25 to 29 years;2014 3rd quarter;46
445;Total natural persons;25 to 29 years;2014 October;11
446;Total natural persons;25 to 29 years;2014 November;8
447;Total natural persons;25 to 29 years;2014 December;13
448;Total natural persons;25 to 29 years;2014 4th quarter;32
449;Total natural persons;25 to 29 years;2014;195
450;Total natural persons;25 to 29 years;2015 January;12
451;Total natural persons;25 to 29 years;2015 February;11
452;Total natural persons;25 to 29 years;2015 March;10
453;Total natural persons;25 to 29 years;2015 1st quarter;33
454;Total natural persons;25 to 29 years;2015 April;8
455;Total natural persons;25 to 29 years;2015 May;9
456;Total natural persons;25 to 29 years;2015 June;10
457;Total natural persons;25 to 29 years;2015 2nd quarter;27
458;Total natural persons;25 to 29 years;2015 July;7
459;Total natural persons;25 to 29 years;2015 August;4
460;Total natural persons;25 to 29 years;2015 September;12
461;Total natural persons;25 to 29 years;2015 3rd quarter;23
462;Total natural persons;25 to 29 years;2015 October;8
463;Total natural persons;25 to 29 years;2015 November;7
464;Total natural persons;25 to 29 years;2015 December;11
465;Total natural persons;25 to 29 years;2015 4th quarter;26
466;Total natural persons;25 to 29 years;2015;109
467;Total natural persons;25 to 29 years;2016 January;12
468;Total natural persons;25 to 29 years;2016 February;7
469;Total natural persons;25 to 29 years;2016 March;12
470;Total natural persons;25 to 29 years;2016 1st quarter;31
471;Total natural persons;25 to 29 years;2016 April;11
472;Total natural persons;25 to 29 years;2016 May;8
473;Total natural persons;25 to 29 years;2016 June;4
474;Total natural persons;25 to 29 years;2016 2nd quarter;23
475;Total natural persons;25 to 29 years;2016 July;8
476;Total natural persons;25 to 29 years;2016 August;5
477;Total natural persons;25 to 29 years;2016 September;6
478;Total natural persons;25 to 29 years;2016 3rd quarter;19
479;Total natural persons;25 to 29 years;2016 October;4
480;Total natural persons;25 to 29 years;2016 November;4
481;Total natural persons;25 to 29 years;2016 December;4
482;Total natural persons;25 to 29 years;2016 4th quarter;12
483;Total natural persons;25 to 29 years;2016;85
484;Total natural persons;25 to 29 years;2017 January;11
485;Total natural persons;25 to 29 years;2017 February;7
486;Total natural persons;25 to 29 years;2017 March;7
487;Total natural persons;25 to 29 years;2017 1st quarter;25
488;Total natural persons;25 to 29 years;2017 April;6
489;Total natural persons;25 to 29 years;2017 May;6
490;Total natural persons;25 to 29 years;2017 June;7
491;Total natural persons;25 to 29 years;2017 2nd quarter;19
492;Total natural persons;25 to 29 years;2017 July;3
493;Total natural persons;25 to 29 years;2017 August;9
494;Total natural persons;25 to 29 years;2017 September;7
495;Total natural persons;25 to 29 years;2017 3rd quarter;19
496;Total natural persons;25 to 29 years;2017 October;5
497;Total natural persons;25 to 29 years;2017 November;10
498;Total natural persons;25 to 29 years;2017 December;4
499;Total natural persons;25 to 29 years;2017 4th quarter;19
500;Total natural persons;25 to 29 years;2017;82
501;Total natural persons;25 to 29 years;2018 January;8
502;Total natural persons;25 to 29 years;2018 February;6
503;Total natural persons;25 to 29 years;2018 March;2
504;Total natural persons;25 to 29 years;2018 1st quarter;16
505;Total natural persons;25 to 29 years;2018 April;4
506;Total natural persons;25 to 29 years;2018 May;10
507;Total natural persons;25 to 29 years;2018 June;6
508;Total natural persons;25 to 29 years;2018 2nd quarter;20
509;Total natural persons;25 to 29 years;2018 July;2
510;Total natural persons;25 to 29 years;2018 August;7
511;Total natural persons;25 to 29 years;2018 September;14
512;Total natural persons;25 to 29 years;2018 3rd quarter;23
513;Total natural persons;25 to 29 years;2018 October;1
514;Total natural persons;25 to 29 years;2018 November;4
515;Total natural persons;25 to 29 years;2018 December;7
516;Total natural persons;25 to 29 years;2018 4th quarter;12
517;Total natural persons;25 to 29 years;2018;71
518;Total natural persons;25 to 29 years;2019 January;6
519;Total natural persons;25 to 29 years;2019 February;7
520;Total natural persons;25 to 29 years;2019 March;10
521;Total natural persons;25 to 29 years;2019 1st quarter;23
522;Total natural persons;25 to 29 years;2019 April;3
523;Total natural persons;25 to 29 years;2019 May;5
524;Total natural persons;25 to 29 years;2019 June;7
525;Total natural persons;25 to 29 years;2019 2nd quarter;15
526;Total natural persons;25 to 29 years;2019 July;7
527;Total natural persons;25 to 29 years;2019 August;6
528;Total natural persons;25 to 29 years;2019 September;7
529;Total natural persons;25 to 29 years;2019 3rd quarter;20
530;Total natural persons;25 to 29 years;2019 October;6
531;Total natural persons;25 to 29 years;2019 November;6
532;Total natural persons;25 to 29 years;2019 December;7
533;Total natural persons;25 to 29 years;2019 4th quarter;19
534;Total natural persons;25 to 29 years;2019;77
535;Total natural persons;25 to 29 years;2020 January;9
536;Total natural persons;25 to 29 years;2020 February;5
537;Total natural persons;25 to 29 years;2020 March;3
538;Total natural persons;25 to 29 years;2020 1st quarter;17
539;Total natural persons;25 to 29 years;2020 April;4
540;Total natural persons;25 to 29 years;2020 May;8
541;Total natural persons;25 to 29 years;2020 June;9
542;Total natural persons;25 to 29 years;2020 2nd quarter;21
543;Total natural persons;25 to 29 years;2020 July;4
544;Total natural persons;25 to 29 years;2020 August;6
545;Total natural persons;25 to 29 years;2020 September;6
546;Total natural persons;25 to 29 years;2020 3rd quarter;16
547;Total natural persons;25 to 29 years;2020 October;6
548;Total natural persons;25 to 29 years;2020 November;5
549;Total natural persons;25 to 29 years;2020 December;6
550;Total natural persons;25 to 29 years;2020 4th quarter;17
551;Total natural persons;25 to 29 years;2020;71
552;Total natural persons;25 to 29 years;2021 January;8
553;Total natural persons;25 to 29 years;2021 February;6
554;Total natural persons;25 to 29 years;2021 March;7
555;Total natural persons;25 to 29 years;2021 1st quarter;21
556;Total natural persons;25 to 29 years;2021 April;5
557;Total natural persons;25 to 29 years;2021 May;3
558;Total natural persons;25 to 29 years;2021 June;5
559;Total natural persons;25 to 29 years;2021 2nd quarter;13
560;Total natural persons;25 to 29 years;2021 July;5
561;Total natural persons;25 to 29 years;2021 August;6
562;Total natural persons;25 to 29 years;2021 September;2
563;Total natural persons;25 to 29 years;2021 3rd quarter;13
564;Total natural persons;25 to 29 years;2021 October;3
565;Total natural persons;25 to 29 years;2021 November;4
566;Total natural persons;25 to 29 years;2021 December;3
567;Total natural persons;25 to 29 years;2021 4th quarter;10
568;Total natural persons;25 to 29 years;2021;57
569;Total natural persons;25 to 29 years;2022 January;4
570;Total natural persons;25 to 29 years;2022 February;7
571;Total natural persons;25 to 29 years;2022 March;4
572;Total natural persons;25 to 29 years;2022 1st quarter;15
573;Total natural persons;25 to 29 years;2022 April;2
574;Total natural persons;25 to 29 years;2022 May;3
575;Total natural persons;25 to 29 years;2022 June;10
576;Total natural persons;25 to 29 years;2022 2nd quarter;15
577;Total natural persons;25 to 29 years;2022 July;5
578;Total natural persons;25 to 29 years;2022 August;2
579;Total natural persons;25 to 29 years;2022 September;7
580;Total natural persons;25 to 29 years;2022 3rd quarter;14
581;Total natural persons;25 to 29 years;2022 October;6
582;Total natural persons;25 to 29 years;2022 November;7
583;Total natural persons;25 to 29 years;2022 December;8
584;Total natural persons;25 to 29 years;2022 4th quarter;21
585;Total natural persons;25 to 29 years;2022;65
586;Total natural persons;25 to 29 years;2023 January;9
587;Total natural persons;25 to 29 years;2023 February;6
588;Total natural persons;25 to 29 years;2023 March;6
589;Total natural persons;25 to 29 years;2023 1st quarter;21
590;Total natural persons;25 to 29 years;2023 April;4
591;Total natural persons;25 to 29 years;2023 May;4
592;Total natural persons;25 to 29 years;2023 June;3
593;Total natural persons;25 to 29 years;2023 2nd quarter;11
594;Total natural persons;25 to 29 years;2023 July;7
595;Total natural persons;25 to 29 years;2023 August;16
596;Total natural persons;25 to 29 years;2023 September;8
597;Total natural persons;25 to 29 years;2023 3rd quarter;31
598;Total natural persons;25 to 29 years;2023 October;8
599;Total natural persons;25 to 29 years;2023 November;7
600;Total natural persons;25 to 29 years;2023 December;5
601;Total natural persons;25 to 29 years;2023 4th quarter;20
602;Total natural persons;25 to 29 years;2023;83
603;Total natural persons;25 to 29 years;2024 January;11
604;Total natural persons;25 to 29 years;2024 February;5
605;Total natural persons;25 to 29 years;2024 March;6
606;Total natural persons;25 to 29 years;2024 1st quarter;22
607;Total natural persons;25 to 29 years;2024 April;7
