ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalGediplomeerdenVavo_1;VavoGediplomeerdenVmboT_2;VavoGediplomeerdenHavo_3;VavoGediplomeerdenVwo_4
24;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015/'16;4978;746;2940;1292
25;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016/'17;5033;690;2937;1406
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017/'18;5490;804;3115;1571
27;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018/'19;5317;757;3024;1536
28;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2019/'20;5219;747;2830;1642
29;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2020/'21;2360;358;1460;542
30;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2006/'07;1369;342;701;326
31;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2007/'08;1741;408;880;453
32;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2008/'09;1876;398;1026;452
33;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2009/'10;2074;358;1028;688
34;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2010/'11;2556;431;1466;659
35;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2011/'12;2123;354;1282;487
36;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2012/'13;2507;447;1339;721
37;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2013/'14;2160;491;1196;473
38;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2014/'15;2298;505;1183;610
39;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015/'16;2166;437;1160;569
40;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016/'17;2142;425;1164;553
41;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017/'18;2383;533;1216;634
42;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018/'19;2517;521;1398;598
43;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2019/'20;2857;532;1495;830
44;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2020/'21;1236;292;690;254
45;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2006/'07;416;97;205;114
46;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2007/'08;538;124;263;151
47;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2008/'09;552;109;310;133
48;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2009/'10;588;91;305;192
49;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2010/'11;719;107;424;188
50;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2011/'12;603;89;338;176
51;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2012/'13;719;116;397;206
52;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2013/'14;590;109;348;133
53;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2014/'15;583;121;295;167
54;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015/'16;641;128;341;172
55;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016/'17;576;97;333;146
56;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017/'18;655;127;335;193
57;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018/'19;601;102;338;161
58;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2019/'20;691;117;348;226
59;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2020/'21;355;81;186;88
60;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2006/'07;953;245;496;212
61;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2007/'08;1203;284;617;302
62;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2008/'09;1324;289;716;319
63;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2009/'10;1486;267;723;496
64;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2010/'11;1837;324;1042;471
65;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2011/'12;1520;265;944;311
66;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2012/'13;1788;331;942;515
67;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2013/'14;1570;382;848;340
68;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2014/'15;1715;384;888;443
69;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2015/'16;1525;309;819;397
70;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2016/'17;1566;328;831;407
71;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2017/'18;1728;406;881;441
72;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2018/'19;1916;419;1060;437
73;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2019/'20;2166;415;1147;604
74;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2020/'21;881;211;504;166
75;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2006/'07;3;3;0;0
76;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2007/'08;1;0;1;0
77;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2008/'09;1;0;1;0
78;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2009/'10;1;1;0;0
79;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2010/'11;11;3;2;6
80;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2011/'12;8;4;1;3
81;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2012/'13;5;0;3;2
82;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2013/'14;5;2;1;2
83;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2014/'15;5;1;3;1
84;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2015/'16;4;1;3;0
85;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2016/'17;3;1;2;0
86;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2017/'18;3;1;1;1
87;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2018/'19;2;0;2;0
88;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2019/'20;3;1;1;1
89;Totaal mannen en vrouwen;Totaal leeftijd;Onbekende migratieachtergrond;2020/'21;1;1;0;0
90;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2006/'07;132;121;8;3
91;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2007/'08;179;159;19;1
92;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2008/'09;211;174;36;1
93;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2009/'10;205;162;41;2
94;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2010/'11;223;171;49;3
95;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2011/'12;207;165;41;1
96;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2012/'13;247;195;48;4
97;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2013/'14;229;166;62;1
98;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2014/'15;245;188;56;1
99;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2015/'16;240;183;53;4
100;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2016/'17;251;194;54;3
101;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2017/'18;322;236;84;2
102;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2018/'19;397;280;112;5
103;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2019/'20;316;263;53;0
104;Totaal mannen en vrouwen;Jonger dan 17 jaar;Totaal migratieachtergrond;2020/'21;111;88;22;1
105;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2006/'07;83;73;7;3
106;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2007/'08;127;112;14;1
107;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2008/'09;143;114;29;0
108;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2009/'10;151;115;35;1
109;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2010/'11;163;119;41;3
110;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2011/'12;159;123;35;1
111;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2012/'13;184;142;39;3
112;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2013/'14;167;110;56;1
113;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2014/'15;162;120;41;1
114;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2015/'16;176;127;46;3
115;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2016/'17;177;128;46;3
116;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2017/'18;238;169;67;2
117;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2018/'19;307;210;92;5
118;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2019/'20;222;181;41;0
119;Totaal mannen en vrouwen;Jonger dan 17 jaar;Nederlandse achtergrond;2020/'21;78;60;18;0
120;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2006/'07;48;47;1;0
121;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2007/'08;52;47;5;0
122;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2008/'09;68;60;7;1
123;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2009/'10;54;47;6;1
124;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2010/'11;60;52;8;0
125;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2011/'12;48;42;6;0
126;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2012/'13;63;53;9;1
127;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2013/'14;62;56;6;0
128;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2014/'15;83;68;15;0
129;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2015/'16;64;56;7;1
130;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2016/'17;74;66;8;0
131;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2017/'18;84;67;17;0
132;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2018/'19;90;70;20;0
133;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2019/'20;94;82;12;0
134;Totaal mannen en vrouwen;Jonger dan 17 jaar;Met migratieachtergrond;2020/'21;32;27;4;1
135;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2006/'07;16;15;1;0
136;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2007/'08;18;18;0;0
137;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2008/'09;23;21;1;1
138;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2009/'10;11;9;2;0
139;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2010/'11;18;15;3;0
140;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2011/'12;14;12;2;0
141;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2012/'13;16;13;2;1
142;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2013/'14;6;4;2;0
143;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2014/'15;18;14;4;0
144;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2015/'16;15;11;4;0
145;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2016/'17;20;16;4;0
146;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2017/'18;24;19;5;0
147;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2018/'19;13;12;1;0
148;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2019/'20;18;13;5;0
149;Totaal mannen en vrouwen;Jonger dan 17 jaar;Westerse migratieachtergrond;2020/'21;10;10;0;0
150;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2006/'07;32;32;0;0
151;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2007/'08;34;29;5;0
152;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2008/'09;45;39;6;0
153;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2009/'10;43;38;4;1
154;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2010/'11;42;37;5;0
155;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2011/'12;34;30;4;0
156;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2012/'13;47;40;7;0
157;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2013/'14;56;52;4;0
158;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2014/'15;65;54;11;0
159;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2015/'16;49;45;3;1
160;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2016/'17;54;50;4;0
161;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2017/'18;60;48;12;0
162;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2018/'19;77;58;19;0
163;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2019/'20;76;69;7;0
164;Totaal mannen en vrouwen;Jonger dan 17 jaar;Niet-westerse migratieachtergrond;2020/'21;22;17;4;1
165;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2006/'07;1;1;0;0
166;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2007/'08;0;0;0;0
167;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2008/'09;0;0;0;0
168;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2009/'10;0;0;0;0
169;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2010/'11;0;0;0;0
170;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2011/'12;0;0;0;0
171;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2012/'13;0;0;0;0
172;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2013/'14;0;0;0;0
173;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2014/'15;0;0;0;0
174;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2015/'16;0;0;0;0
175;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2016/'17;0;0;0;0
176;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2017/'18;0;0;0;0
177;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2018/'19;0;0;0;0
178;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2019/'20;0;0;0;0
179;Totaal mannen en vrouwen;Jonger dan 17 jaar;Onbekende migratieachtergrond;2020/'21;1;1;0;0
180;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2006/'07;534;228;281;25
181;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2007/'08;722;297;391;34
182;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2008/'09;1346;323;967;56
183;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2009/'10;1081;320;708;53
184;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2010/'11;1209;360;797;52
185;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2011/'12;1084;347;705;32
186;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2012/'13;1183;404;730;49
187;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2013/'14;1144;411;684;49
188;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2014/'15;1159;384;716;59
189;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2015/'16;1175;353;760;62
190;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2016/'17;1212;341;808;63
191;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2017/'18;1346;446;829;71
192;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2018/'19;1358;451;825;82
193;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2019/'20;1246;466;738;42
194;Totaal mannen en vrouwen;17 jaar;Totaal migratieachtergrond;2020/'21;489;176;287;26
195;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2006/'07;364;138;208;18
196;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2007/'08;521;187;308;26
197;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2008/'09;1044;200;798;46
198;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2009/'10;795;198;557;40
199;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2010/'11;905;232;627;46
200;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2011/'12;795;222;545;28
201;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2012/'13;865;250;574;41
202;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2013/'14;855;262;553;40
203;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2014/'15;826;228;550;48
204;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2015/'16;866;224;592;50
205;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2016/'17;899;217;627;55
206;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2017/'18;951;267;629;55
207;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2018/'19;938;269;606;63
208;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2019/'20;833;282;518;33
209;Totaal mannen en vrouwen;17 jaar;Nederlandse achtergrond;2020/'21;320;90;207;23
210;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2006/'07;170;90;73;7
211;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2007/'08;201;110;83;8
212;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2008/'09;302;123;169;10
213;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2009/'10;286;122;151;13
214;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2010/'11;304;128;170;6
215;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2011/'12;289;125;160;4
216;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2012/'13;317;154;155;8
217;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2013/'14;287;148;130;9
218;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2014/'15;333;156;166;11
219;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2015/'16;309;129;168;12
220;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2016/'17;312;123;181;8
221;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2017/'18;394;179;200;15
222;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2018/'19;419;182;218;19
223;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2019/'20;412;183;220;9
224;Totaal mannen en vrouwen;17 jaar;Met migratieachtergrond;2020/'21;169;86;80;3
225;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2006/'07;45;26;16;3
226;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2007/'08;61;26;31;4
227;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2008/'09;90;34;55;1
228;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2009/'10;82;32;44;6
229;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2010/'11;91;36;52;3
230;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2011/'12;76;32;42;2
231;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2012/'13;91;42;47;2
232;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2013/'14;73;32;38;3
233;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2014/'15;65;28;33;4
234;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2015/'16;94;37;53;4
235;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2016/'17;86;32;50;4
236;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2017/'18;81;28;46;7
237;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2018/'19;94;34;53;7
238;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2019/'20;100;48;49;3
239;Totaal mannen en vrouwen;17 jaar;Westerse migratieachtergrond;2020/'21;46;26;18;2
240;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2006/'07;125;64;57;4
241;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2007/'08;140;84;52;4
242;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2008/'09;212;89;114;9
243;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2009/'10;204;90;107;7
244;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2010/'11;213;92;118;3
245;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2011/'12;213;93;118;2
246;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2012/'13;226;112;108;6
247;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2013/'14;214;116;92;6
248;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2014/'15;268;128;133;7
249;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2015/'16;215;92;115;8
250;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2016/'17;226;91;131;4
251;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2017/'18;313;151;154;8
252;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2018/'19;325;148;165;12
253;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2019/'20;312;135;171;6
254;Totaal mannen en vrouwen;17 jaar;Niet-westerse migratieachtergrond;2020/'21;123;60;62;1
255;Totaal mannen en vrouwen;17 jaar;Onbekende migratieachtergrond;2006/'07;0;0;0;0
256;Totaal mannen en vrouwen;17 jaar;Onbekende migratieachtergrond;2007/'08;0;0;0;0
