ID;Donorregistation;CharacteristicsHouseholdsPersons;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
155;Registered in donorregister;Total population;2015;5814.5;40
156;Registered in donorregister;Total population;2016;5865.6;40
157;Registered in donorregister;Total population;2017;6057.6;41
158;Registered in donorregister;Total population;2018;6317.8;42
159;Registered in donorregister;Total population;2019;6373.9;42
160;Registered in donorregister;Total population;2020;6933.7;45
161;Registered in donorregister;Sex: male;2014;2618.9;36
162;Registered in donorregister;Sex: male;2015;2635.6;36
163;Registered in donorregister;Sex: male;2016;2655.1;36
164;Registered in donorregister;Sex: male;2017;2747.8;37
165;Registered in donorregister;Sex: male;2018;2871.7;39
166;Registered in donorregister;Sex: male;2019;2897.4;39
167;Registered in donorregister;Sex: male;2020;3159.9;42
168;Registered in donorregister;Sex: female;2014;3149.7;43
169;Registered in donorregister;Sex: female;2015;3178.9;43
170;Registered in donorregister;Sex: female;2016;3210.5;43
171;Registered in donorregister;Sex: female;2017;3309.7;44
172;Registered in donorregister;Sex: female;2018;3446.1;45
173;Registered in donorregister;Sex: female;2019;3476.5;45
174;Registered in donorregister;Sex: female;2020;3773.8;49
175;Registered in donorregister;Age: 12 to 17 years;2014;19.1;2
176;Registered in donorregister;Age: 12 to 17 years;2015;17.0;1
177;Registered in donorregister;Age: 12 to 17 years;2016;17.1;1
178;Registered in donorregister;Age: 12 to 17 years;2017;19.1;2
179;Registered in donorregister;Age: 12 to 17 years;2018;19.7;2
180;Registered in donorregister;Age: 12 to 17 years;2019;14.0;1
181;Registered in donorregister;Age: 12 to 17 years;2020;16.3;1
182;Registered in donorregister;Age: 18 to 19 years;2014;83.6;21
183;Registered in donorregister;Age: 18 to 19 years;2015;74.3;19
184;Registered in donorregister;Age: 18 to 19 years;2016;71.6;18
185;Registered in donorregister;Age: 18 to 19 years;2017;75.9;18
186;Registered in donorregister;Age: 18 to 19 years;2018;140.5;33
187;Registered in donorregister;Age: 18 to 19 years;2019;91.1;21
188;Registered in donorregister;Age: 18 to 19 years;2020;112.2;26
189;Registered in donorregister;Age: 20 to 29 years;2014;796.0;38
190;Registered in donorregister;Age: 20 to 29 years;2015;798.8;38
191;Registered in donorregister;Age: 20 to 29 years;2016;790.2;37
192;Registered in donorregister;Age: 20 to 29 years;2017;804.7;37
193;Registered in donorregister;Age: 20 to 29 years;2018;826.5;38
194;Registered in donorregister;Age: 20 to 29 years;2019;828.4;38
195;Registered in donorregister;Age: 20 to 29 years;2020;919.2;41
196;Registered in donorregister;Age: 30 to 39 years;2014;881.9;44
197;Registered in donorregister;Age: 30 to 39 years;2015;878.5;44
198;Registered in donorregister;Age: 30 to 39 years;2016;891.2;44
199;Registered in donorregister;Age: 30 to 39 years;2017;929.7;45
200;Registered in donorregister;Age: 30 to 39 years;2018;968.2;47
201;Registered in donorregister;Age: 30 to 39 years;2019;980.4;47
202;Registered in donorregister;Age: 30 to 39 years;2020;1053.3;49
203;Registered in donorregister;Age: 40 to 49 years;2014;1141.5;45
204;Registered in donorregister;Age: 40 to 49 years;2015;1124.5;46
205;Registered in donorregister;Age: 40 to 49 years;2016;1106.8;46
206;Registered in donorregister;Age: 40 to 49 years;2017;1113.6;47
207;Registered in donorregister;Age: 40 to 49 years;2018;1118.5;48
208;Registered in donorregister;Age: 40 to 49 years;2019;1104.5;49
209;Registered in donorregister;Age: 40 to 49 years;2020;1138.1;52
210;Registered in donorregister;Age: 50 to 59 years;2014;1157.9;49
211;Registered in donorregister;Age: 50 to 59 years;2015;1166.0;48
212;Registered in donorregister;Age: 50 to 59 years;2016;1174.2;48
213;Registered in donorregister;Age: 50 to 59 years;2017;1204.9;49
214;Registered in donorregister;Age: 50 to 59 years;2018;1238.2;50
215;Registered in donorregister;Age: 50 to 59 years;2019;1252.3;50
216;Registered in donorregister;Age: 50 to 59 years;2020;1343.9;53
217;Registered in donorregister;Age: 60 to 69 years;2014;903.5;45
218;Registered in donorregister;Age: 60 to 69 years;2015;939.2;46
219;Registered in donorregister;Age: 60 to 69 years;2016;979.4;47
220;Registered in donorregister;Age: 60 to 69 years;2017;1013.5;49
221;Registered in donorregister;Age: 60 to 69 years;2018;1050.6;51
222;Registered in donorregister;Age: 60 to 69 years;2019;1082.4;52
223;Registered in donorregister;Age: 60 to 69 years;2020;1189.4;56
224;Registered in donorregister;Age: 70 to 79 years;2014;499.3;41
225;Registered in donorregister;Age: 70 to 79 years;2015;520.0;41
226;Registered in donorregister;Age: 70 to 79 years;2016;534.8;41
227;Registered in donorregister;Age: 70 to 79 years;2017;586.7;43
228;Registered in donorregister;Age: 70 to 79 years;2018;637.6;44
229;Registered in donorregister;Age: 70 to 79 years;2019;681.6;45
230;Registered in donorregister;Age: 70 to 79 years;2020;783.4;50
231;Registered in donorregister;Age: 80 years or older;2014;285.9;40
232;Registered in donorregister;Age: 80 years or older;2015;296.2;40
233;Registered in donorregister;Age: 80 years or older;2016;300.2;40
234;Registered in donorregister;Age: 80 years or older;2017;309.3;40
235;Registered in donorregister;Age: 80 years or older;2018;318.0;41
236;Registered in donorregister;Age: 80 years or older;2019;339.2;42
237;Registered in donorregister;Age: 80 years or older;2020;377.8;45
238;Registered in donorregister;Background: Dutch;2014;5088.7;44
239;Registered in donorregister;Background: Dutch;2015;5123.3;44
240;Registered in donorregister;Background: Dutch;2016;5163.5;45
241;Registered in donorregister;Background: Dutch;2017;5285.0;46
242;Registered in donorregister;Background: Dutch;2018;5449.9;47
243;Registered in donorregister;Background: Dutch;2019;5473.2;47
244;Registered in donorregister;Background: Dutch;2020;5875.6;50
245;Registered in donorregister;Background: with migration background;2014;679.9;22
246;Registered in donorregister;Background: with migration background;2015;691.2;22
247;Registered in donorregister;Background: with migration background;2016;702.1;22
248;Registered in donorregister;Background: with migration background;2017;772.6;23
249;Registered in donorregister;Background: with migration background;2018;867.9;26
250;Registered in donorregister;Background: with migration background;2019;900.7;26
251;Registered in donorregister;Background: with migration background;2020;1058.1;29
252;Registered in donorregister;Background: Turkey;2014;32.0;10
253;Registered in donorregister;Background: Turkey;2015;33.2;10
254;Registered in donorregister;Background: Turkey;2016;34.3;10
255;Registered in donorregister;Background: Turkey;2017;47.0;14
256;Registered in donorregister;Background: Turkey;2018;63.2;18
257;Registered in donorregister;Background: Turkey;2019;69.3;20
258;Registered in donorregister;Background: Turkey;2020;92.6;26
259;Registered in donorregister;Background: Morocco;2014;38.8;14
260;Registered in donorregister;Background: Morocco;2015;39.9;14
261;Registered in donorregister;Background: Morocco;2016;40.8;14
262;Registered in donorregister;Background: Morocco;2017;59.9;19
263;Registered in donorregister;Background: Morocco;2018;85.3;27
264;Registered in donorregister;Background: Morocco;2019;91.3;28
265;Registered in donorregister;Background: Morocco;2020;112.1;34
266;Registered in donorregister;Background: Surinam;2014;58.7;19
267;Registered in donorregister;Background: Surinam;2015;59.8;19
268;Registered in donorregister;Background: Surinam;2016;61.0;20
269;Registered in donorregister;Background: Surinam;2017;67.4;22
270;Registered in donorregister;Background: Surinam;2018;77.2;24
271;Registered in donorregister;Background: Surinam;2019;80.5;25
272;Registered in donorregister;Background: Surinam;2020;98.3;30
273;Registered in donorregister;Background: (former) Net Antilles, Aruba;2014;21.4;18
274;Registered in donorregister;Background: (former) Net Antilles, Aruba;2015;22.1;18
275;Registered in donorregister;Background: (former) Net Antilles, Aruba;2016;22.7;18
276;Registered in donorregister;Background: (former) Net Antilles, Aruba;2017;24.6;19
277;Registered in donorregister;Background: (former) Net Antilles, Aruba;2018;27.8;21
278;Registered in donorregister;Background: (former) Net Antilles, Aruba;2019;28.8;21
279;Registered in donorregister;Background: (former) Net Antilles, Aruba;2020;35.0;25
280;Registered in donorregister;Background: western;2014;450.3;32
281;Registered in donorregister;Background: western;2015;453.4;31
282;Registered in donorregister;Background: western;2016;456.8;31
283;Registered in donorregister;Background: western;2017;473.8;31
284;Registered in donorregister;Background: western;2018;493.7;32
285;Registered in donorregister;Background: western;2019;500.4;32
286;Registered in donorregister;Background: western;2020;552.2;34
287;Registered in donorregister;Background: non-western;2014;229.6;14
288;Registered in donorregister;Background: non-western;2015;237.9;14
289;Registered in donorregister;Background: non-western;2016;245.3;14
290;Registered in donorregister;Background: non-western;2017;298.7;17
291;Registered in donorregister;Background: non-western;2018;374.3;20
292;Registered in donorregister;Background: non-western;2019;400.3;21
293;Registered in donorregister;Background: non-western;2020;505.9;25
294;Registered in donorregister;Background: 1st generation;2014;291.6;17
295;Registered in donorregister;Background: 1st generation;2015;295.8;16
296;Registered in donorregister;Background: 1st generation;2016;299.2;16
297;Registered in donorregister;Background: 1st generation;2017;334.8;17
298;Registered in donorregister;Background: 1st generation;2018;379.9;19
299;Registered in donorregister;Background: 1st generation;2019;400.9;19
300;Registered in donorregister;Background: 1st generation;2020;485.7;22
301;Registered in donorregister;Background, 2nd generation;2014;388.3;30
302;Registered in donorregister;Background, 2nd generation;2015;395.4;30
303;Registered in donorregister;Background, 2nd generation;2016;402.9;30
304;Registered in donorregister;Background, 2nd generation;2017;437.7;32
305;Registered in donorregister;Background, 2nd generation;2018;488.0;35
306;Registered in donorregister;Background, 2nd generation;2019;499.8;35
307;Registered in donorregister;Background, 2nd generation;2020;572.4;39
308;Permission without donation limitations;Total population;2014;2796.3;19
309;Permission without donation limitations;Total population;2015;2827.9;19
310;Permission without donation limitations;Total population;2016;2869.7;19
311;Permission without donation limitations;Total population;2017;2888.6;19
312;Permission without donation limitations;Total population;2018;2919.6;19
313;Permission without donation limitations;Total population;2019;2917.3;19
314;Permission without donation limitations;Total population;2020;2981.1;20
315;Permission without donation limitations;Sex: male;2014;1315.5;18
316;Permission without donation limitations;Sex: male;2015;1328.6;18
317;Permission without donation limitations;Sex: male;2016;1346.7;18
318;Permission without donation limitations;Sex: male;2017;1355.9;18
319;Permission without donation limitations;Sex: male;2018;1370.1;18
320;Permission without donation limitations;Sex: male;2019;1368.3;18
321;Permission without donation limitations;Sex: male;2020;1400.4;19
322;Permission without donation limitations;Sex: female;2014;1480.8;20
323;Permission without donation limitations;Sex: female;2015;1499.3;20
324;Permission without donation limitations;Sex: female;2016;1523.0;20
325;Permission without donation limitations;Sex: female;2017;1532.7;20
326;Permission without donation limitations;Sex: female;2018;1549.5;20
327;Permission without donation limitations;Sex: female;2019;1549.0;20
328;Permission without donation limitations;Sex: female;2020;1580.7;20
329;Permission without donation limitations;Age: 12 to 17 years;2014;12.8;1
330;Permission without donation limitations;Age: 12 to 17 years;2015;11.4;1
331;Permission without donation limitations;Age: 12 to 17 years;2016;11.5;1
332;Permission without donation limitations;Age: 12 to 17 years;2017;10.2;1
333;Permission without donation limitations;Age: 12 to 17 years;2018;8.4;1
334;Permission without donation limitations;Age: 12 to 17 years;2019;5.3;0
335;Permission without donation limitations;Age: 12 to 17 years;2020;4.6;0
336;Permission without donation limitations;Age: 18 to 19 years;2014;40.3;10
337;Permission without donation limitations;Age: 18 to 19 years;2015;37.2;9
338;Permission without donation limitations;Age: 18 to 19 years;2016;36.7;9
339;Permission without donation limitations;Age: 18 to 19 years;2017;37.0;9
340;Permission without donation limitations;Age: 18 to 19 years;2018;54.0;13
341;Permission without donation limitations;Age: 18 to 19 years;2019;33.6;8
342;Permission without donation limitations;Age: 18 to 19 years;2020;36.8;8
343;Permission without donation limitations;Age: 20 to 29 years;2014;342.3;16
344;Permission without donation limitations;Age: 20 to 29 years;2015;348.5;16
345;Permission without donation limitations;Age: 20 to 29 years;2016;353.6;17
346;Permission without donation limitations;Age: 20 to 29 years;2017;352.9;16
347;Permission without donation limitations;Age: 20 to 29 years;2018;351.0;16
348;Permission without donation limitations;Age: 20 to 29 years;2019;346.4;16
349;Permission without donation limitations;Age: 20 to 29 years;2020;351.8;16
350;Permission without donation limitations;Age: 30 to 39 years;2014;397.7;20
351;Permission without donation limitations;Age: 30 to 39 years;2015;391.0;19
352;Permission without donation limitations;Age: 30 to 39 years;2016;392.2;19
353;Permission without donation limitations;Age: 30 to 39 years;2017;392.3;19
354;Permission without donation limitations;Age: 30 to 39 years;2018;391.7;19
355;Permission without donation limitations;Age: 30 to 39 years;2019;390.7;19
356;Permission without donation limitations;Age: 30 to 39 years;2020;398.3;19
357;Permission without donation limitations;Age: 40 to 49 years;2014;598.5;24
358;Permission without donation limitations;Age: 40 to 49 years;2015;583.4;24
359;Permission without donation limitations;Age: 40 to 49 years;2016;569.4;24
360;Permission without donation limitations;Age: 40 to 49 years;2017;551.1;23
361;Permission without donation limitations;Age: 40 to 49 years;2018;531.7;23
362;Permission without donation limitations;Age: 40 to 49 years;2019;513.2;23
363;Permission without donation limitations;Age: 40 to 49 years;2020;496.1;23
364;Permission without donation limitations;Age: 50 to 59 years;2014;617.5;26
365;Permission without donation limitations;Age: 50 to 59 years;2015;626.9;26
366;Permission without donation limitations;Age: 50 to 59 years;2016;636.2;26
367;Permission without donation limitations;Age: 50 to 59 years;2017;638.5;26
368;Permission without donation limitations;Age: 50 to 59 years;2018;639.5;26
369;Permission without donation limitations;Age: 50 to 59 years;2019;640.4;26
370;Permission without donation limitations;Age: 50 to 59 years;2020;647.8;26
371;Permission without donation limitations;Age: 60 to 69 years;2014;470.5;23
372;Permission without donation limitations;Age: 60 to 69 years;2015;491.2;24
373;Permission without donation limitations;Age: 60 to 69 years;2016;514.2;24
374;Permission without donation limitations;Age: 60 to 69 years;2017;519.8;25
375;Permission without donation limitations;Age: 60 to 69 years;2018;527.0;25
376;Permission without donation limitations;Age: 60 to 69 years;2019;538.5;26
377;Permission without donation limitations;Age: 60 to 69 years;2020;558.9;26
378;Permission without donation limitations;Age: 70 to 79 years;2014;221.9;18
379;Permission without donation limitations;Age: 70 to 79 years;2015;237.5;19
380;Permission without donation limitations;Age: 70 to 79 years;2016;251.2;19
381;Permission without donation limitations;Age: 70 to 79 years;2017;277.0;20
382;Permission without donation limitations;Age: 70 to 79 years;2018;301.2;21
383;Permission without donation limitations;Age: 70 to 79 years;2019;323.8;21
384;Permission without donation limitations;Age: 70 to 79 years;2020;350.2;22
385;Permission without donation limitations;Age: 80 years or older;2014;94.9;13
386;Permission without donation limitations;Age: 80 years or older;2015;100.7;14
387;Permission without donation limitations;Age: 80 years or older;2016;104.8;14
388;Permission without donation limitations;Age: 80 years or older;2017;109.9;14
389;Permission without donation limitations;Age: 80 years or older;2018;115.3;15
390;Permission without donation limitations;Age: 80 years or older;2019;125.5;16
391;Permission without donation limitations;Age: 80 years or older;2020;136.5;16
392;Permission without donation limitations;Background: Dutch;2014;2546.1;22
393;Permission without donation limitations;Background: Dutch;2015;2572.9;22
394;Permission without donation limitations;Background: Dutch;2016;2608.4;23
395;Permission without donation limitations;Background: Dutch;2017;2622.2;23
396;Permission without donation limitations;Background: Dutch;2018;2646.5;23
397;Permission without donation limitations;Background: Dutch;2019;2641.7;23
398;Permission without donation limitations;Background: Dutch;2020;2692.0;23
399;Permission without donation limitations;Background: with migration background;2014;250.2;8
400;Permission without donation limitations;Background: with migration background;2015;255.0;8
401;Permission without donation limitations;Background: with migration background;2016;261.3;8
402;Permission without donation limitations;Background: with migration background;2017;266.4;8
403;Permission without donation limitations;Background: with migration background;2018;273.2;8
404;Permission without donation limitations;Background: with migration background;2019;275.6;8
405;Permission without donation limitations;Background: with migration background;2020;289.2;8
406;Permission without donation limitations;Background: Turkey;2014;3.2;1
407;Permission without donation limitations;Background: Turkey;2015;3.4;1
408;Permission without donation limitations;Background: Turkey;2016;3.7;1
409;Permission without donation limitations;Background: Turkey;2017;3.9;1
410;Permission without donation limitations;Background: Turkey;2018;4.1;1
411;Permission without donation limitations;Background: Turkey;2019;4.2;1
412;Permission without donation limitations;Background: Turkey;2020;4.6;1
413;Permission without donation limitations;Background: Morocco;2014;1.0;0
414;Permission without donation limitations;Background: Morocco;2015;1.1;0
415;Permission without donation limitations;Background: Morocco;2016;1.2;0
416;Permission without donation limitations;Background: Morocco;2017;1.3;0
417;Permission without donation limitations;Background: Morocco;2018;1.4;0
418;Permission without donation limitations;Background: Morocco;2019;1.5;0
419;Permission without donation limitations;Background: Morocco;2020;1.7;0
420;Permission without donation limitations;Background: Surinam;2014;11.6;4
421;Permission without donation limitations;Background: Surinam;2015;12.0;4
422;Permission without donation limitations;Background: Surinam;2016;12.6;4
423;Permission without donation limitations;Background: Surinam;2017;12.9;4
424;Permission without donation limitations;Background: Surinam;2018;13.4;4
425;Permission without donation limitations;Background: Surinam;2019;13.6;4
426;Permission without donation limitations;Background: Surinam;2020;14.4;4
427;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2014;7.4;6
428;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2015;7.7;6
429;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2016;8.0;6
430;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2017;8.2;6
431;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2018;8.6;7
432;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2019;8.6;6
433;Permission without donation limitations;Background: (former) Net Antilles, Aruba;2020;9.2;7
434;Permission without donation limitations;Background: western;2014;205.7;14
435;Permission without donation limitations;Background: western;2015;208.1;14
436;Permission without donation limitations;Background: western;2016;211.5;14
437;Permission without donation limitations;Background: western;2017;213.9;14
438;Permission without donation limitations;Background: western;2018;217.0;14
439;Permission without donation limitations;Background: western;2019;218.1;14
440;Permission without donation limitations;Background: western;2020;226.1;14
441;Permission without donation limitations;Background: non-western;2014;44.5;3
442;Permission without donation limitations;Background: non-western;2015;46.9;3
443;Permission without donation limitations;Background: non-western;2016;49.8;3
444;Permission without donation limitations;Background: non-western;2017;52.6;3
445;Permission without donation limitations;Background: non-western;2018;56.2;3
446;Permission without donation limitations;Background: non-western;2019;57.5;3
447;Permission without donation limitations;Background: non-western;2020;63.0;3
448;Permission without donation limitations;Background: 1st generation;2014;84.1;5
449;Permission without donation limitations;Background: 1st generation;2015;86.0;5
450;Permission without donation limitations;Background: 1st generation;2016;88.7;5
451;Permission without donation limitations;Background: 1st generation;2017;91.7;5
