ID;Geslacht;KenmerkenVanPersonen;Perioden;MedianeKoopkrachtontwikkeling_1;PersonenMetKoopkrachtdaling_2;PersonenMetKoopkrachtstijging_3;k_20ePercentiel_4;k_40ePercentiel_5;k_60ePercentiel_6;k_80ePercentiel_7
17;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2017;1.7;39.5;60.5;-6.0;0.1;3.7;11.9
18;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2018;1.8;39.6;60.4;-5.9;0.1;3.9;12.1
19;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2019;2.4;35.7;64.3;-5.4;0.8;4.5;12.6
20;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2020;4.2;30.5;69.5;-4.8;2.2;6.4;14.1
21;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2021;2.7;35.7;64.3;-5.4;0.8;4.8;13.1
22;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2022;0.0;49.8;50.2;-7.8;-2.0;2.3;10.1
23;Totaal mannen en vrouwen;Leeftijd: 0 tot 15 jaar;2023;1.2;43.5;56.5;-6.5;-0.7;3.2;9.4
24;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2012;-0.3;50.9;49.1;-13.9;-3.2;2.7;12.2
25;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2013;0.8;47.3;52.7;-13.3;-2.2;3.8;13.9
26;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2014;3.6;38.6;61.4;-10.7;0.5;6.8;17.9
27;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2015;3.8;37.8;62.2;-11.0;0.7;7.2;18.5
28;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2016;6.0;32.2;67.8;-7.4;2.8;9.5;21.6
29;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2017;3.8;37.5;62.5;-8.4;0.8;7.3;19.8
30;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2018;4.0;36.9;63.1;-8.2;1.0;7.5;19.4
31;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2019;4.9;33.9;66.1;-7.0;1.9;8.4;20.0
32;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2020;5.7;33.0;67.0;-7.6;2.5;9.1;20.3
33;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021;4.7;35.0;65.0;-7.6;1.6;8.2;20.2
34;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022;2.1;43.5;56.5;-10.1;-1.1;5.5;16.9
35;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023;3.5;38.5;61.5;-8.4;0.5;6.7;17.1
36;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2012;-0.9;54.4;45.6;-11.3;-2.9;1.2;8.6
37;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2013;0.0;50.2;49.8;-10.9;-2.1;2.1;9.8
38;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2014;2.7;37.2;62.8;-7.9;0.7;4.9;13.6
39;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2015;2.3;38.9;61.1;-8.5;0.2;4.6;13.8
40;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2016;4.9;30.9;69.1;-5.8;2.5;7.3;17.0
41;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2017;1.5;41.4;58.6;-8.2;-0.3;4.0;14.1
42;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2018;1.8;41.1;58.9;-8.0;-0.2;4.3;14.4
43;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2019;2.5;37.1;62.9;-7.5;0.5;5.0;14.7
44;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2020;4.1;32.8;67.2;-7.0;1.9;6.6;16.0
45;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2021;2.7;37.3;62.7;-7.4;0.6;5.2;15.6
46;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2022;0.1;49.8;50.2;-10.0;-2.2;2.7;12.3
47;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2023;0.9;45.3;54.7;-9.0;-1.1;3.1;11.1
48;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2012;-1.4;58.6;41.4;-9.6;-3.0;0.3;7.2
49;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2013;-0.9;55.0;45.0;-9.7;-2.6;1.0;8.2
50;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2014;2.1;38.2;61.8;-6.8;0.4;4.0;12.1
51;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2015;1.5;40.0;60.0;-7.2;0.0;3.6;11.7
52;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2016;3.2;32.7;67.3;-5.1;1.3;5.4;13.9
53;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2017;0.6;45.2;54.8;-7.0;-0.7;2.6;11.6
54;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2018;0.5;46.2;53.8;-7.1;-0.7;2.6;11.3
55;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2019;1.6;37.9;62.1;-5.9;0.3;3.6;12.4
56;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2020;2.7;33.8;66.2;-6.3;1.3;4.9;13.3
57;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2021;1.5;40.7;59.3;-6.5;-0.1;3.7;13.1
58;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2022;-1.0;54.4;45.6;-9.2;-2.9;1.6;9.6
59;Totaal mannen en vrouwen;Leeftijd: 45 tot 65 jaar;2023;0.1;49.7;50.3;-7.7;-1.8;1.9;9.0
60;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2012;-1.2;70.1;29.9;-4.6;-1.7;-0.7;1.6
61;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2013;-2.8;78.1;21.9;-7.2;-3.8;-1.9;0.3
62;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2014;0.8;37.9;62.1;-3.1;0.2;1.4;3.7
63;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2015;0.1;47.9;52.1;-3.3;-0.5;0.7;2.8
64;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2016;0.8;37.5;62.5;-2.8;0.2;1.4;3.5
65;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2017;-0.1;53.1;46.9;-3.4;-0.7;0.3;2.7
66;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2018;-0.3;60.4;39.6;-3.0;-0.7;0.0;2.8
67;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2019;0.7;31.4;68.6;-1.8;0.4;1.1;4.0
68;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2020;1.2;28.7;71.3;-2.6;0.8;1.6;4.1
69;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2021;-0.3;57.4;42.6;-2.8;-0.6;0.1;4.4
70;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2022;-3.0;70.4;29.6;-5.8;-3.5;-2.3;3.2
71;Totaal mannen en vrouwen;Leeftijd: 65 jaar of ouder;2023;-0.6;56.9;43.1;-4.7;-1.4;0.2;3.0
72;Totaal mannen en vrouwen;Herkomst: autochtoon;2012;-1.0;57.7;42.3;-8.9;-2.4;0.4;6.8
73;Totaal mannen en vrouwen;Herkomst: autochtoon;2013;-1.0;56.0;44.0;-9.1;-2.7;0.8;7.5
74;Totaal mannen en vrouwen;Herkomst: autochtoon;2014;1.8;37.5;62.5;-6.1;0.4;3.6;11.0
75;Totaal mannen en vrouwen;Herkomst: autochtoon;2015;1.2;40.5;59.5;-6.4;-0.1;3.2;10.8
76;Totaal mannen en vrouwen;Herkomst: autochtoon;2016;2.9;32.2;67.8;-4.3;1.2;5.3;13.3
77;Totaal mannen en vrouwen;Herkomst: autochtoon;2017;0.6;44.7;55.3;-6.2;-0.6;2.4;10.7
78;Totaal mannen en vrouwen;Herkomst: autochtoon;2018;0.5;46.1;53.9;-6.1;-0.5;2.5;10.7
79;Totaal mannen en vrouwen;Herkomst: autochtoon;2019;1.5;35.5;64.5;-5.1;0.4;3.4;11.5
80;Totaal mannen en vrouwen;Herkomst: autochtoon;2020;2.4;31.7;68.3;-5.2;1.2;4.6;12.6
81;Totaal mannen en vrouwen;Herkomst: autochtoon;2021;;;;;;;
82;Totaal mannen en vrouwen;Herkomst: autochtoon;2022;;;;;;;
83;Totaal mannen en vrouwen;Herkomst: autochtoon;2023;;;;;;;
84;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2012;-1.2;58.0;42.0;-10.4;-2.6;0.4;8.1
85;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2013;-1.3;57.1;42.9;-10.8;-3.1;0.7;8.7
86;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2014;1.9;37.8;62.2;-7.2;0.4;3.8;13.0
87;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2015;1.3;40.8;59.2;-7.7;-0.1;3.4;12.8
88;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2016;2.7;33.5;66.5;-5.7;1.1;5.3;15.1
89;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2017;0.7;44.1;55.9;-7.3;-0.5;2.7;13.0
90;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2018;0.6;45.6;54.4;-6.9;-0.5;3.0;13.1
91;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2019;1.5;36.3;63.7;-6.3;0.4;3.8;13.8
92;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2020;2.3;33.5;66.5;-6.9;1.1;4.8;14.5
93;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2021;;;;;;;
94;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2022;;;;;;;
95;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2023;;;;;;;
96;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2012;-1.8;58.5;41.5;-13.0;-4.0;0.4;9.4
97;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2013;-1.1;55.1;44.9;-12.6;-3.1;1.2;10.5
98;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2014;2.2;38.5;61.5;-8.7;0.4;4.5;14.8
99;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2015;2.0;39.4;60.6;-8.6;0.1;4.5;15.2
100;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2016;3.7;32.4;67.6;-6.5;1.4;6.5;17.5
101;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2017;1.6;38.7;61.3;-7.4;0.2;4.4;16.0
102;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2018;1.5;42.1;57.9;-7.2;-0.2;4.6;16.3
103;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2019;2.3;35.7;64.3;-6.6;0.5;5.3;16.7
104;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2020;3.4;32.1;67.9;-6.6;1.5;6.4;17.8
105;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2021;;;;;;;
106;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2022;;;;;;;
107;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2023;;;;;;;
108;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2012;-1.1;59.9;40.1;-8.0;-2.2;0.0;6.0
109;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2013;-1.4;59.0;41.0;-8.4;-2.8;0.2;6.6
110;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2014;1.7;36.3;63.7;-5.2;0.5;3.0;10.1
111;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2015;1.0;40.0;60.0;-5.4;0.0;2.4;9.7
112;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2016;2.0;32.1;67.9;-3.7;1.0;4.1;11.7
113;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2017;0.4;45.1;54.9;-5.4;-0.5;1.6;9.3
114;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2018;0.1;48.4;51.6;-5.2;-0.5;1.6;9.4
115;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2019;1.1;34.3;65.7;-4.2;0.4;2.6;10.1
116;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2020;2.0;29.8;70.2;-4.1;1.2;3.6;11.2
117;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2021;0.6;44.1;55.9;-4.5;-0.3;2.5;10.9
118;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2022;-1.5;56.4;43.6;-7.1;-2.9;1.0;7.9
119;Totaal mannen en vrouwen;Positie hh: hoofdkostwinner;2023;0.1;49.6;50.4;-6.1;-1.3;1.4;7.6
120;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2012;-1.1;62.7;37.3;-7.1;-1.9;-0.3;5.1
121;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2013;-1.4;61.9;38.1;-7.8;-2.5;-0.2;5.4
122;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2014;1.6;34.0;66.0;-4.3;0.7;2.5;8.9
123;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2015;1.0;37.3;62.7;-4.3;0.2;1.8;8.5
124;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2016;1.7;30.9;69.1;-3.2;1.0;2.9;9.8
125;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2017;0.4;43.8;56.2;-4.5;-0.3;1.0;7.4
126;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2018;0.0;50.5;49.5;-4.2;-0.4;0.7;7.5
127;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2019;1.0;32.0;68.0;-3.1;0.5;1.7;8.2
128;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2020;1.8;26.6;73.4;-2.7;1.3;2.6;9.2
129;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2021;0.3;45.4;54.6;-3.2;-0.2;1.5;8.8
130;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2022;-1.0;54.0;46.0;-5.5;-2.5;1.9;7.4
131;Totaal mannen en vrouwen;Positie hh: hoofdkostw. zonder partner;2023;0.2;48.6;51.4;-5.1;-1.0;1.3;6.9
132;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2012;-1.1;58.8;41.2;-8.0;-2.4;0.2;5.8
133;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2013;-1.3;57.9;42.1;-8.3;-3.0;0.4;6.3
134;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2014;1.7;37.5;62.5;-5.1;0.3;3.4;9.8
135;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2015;1.0;42.0;58.0;-5.5;-0.2;2.8;9.3
136;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2016;2.6;32.4;67.6;-3.5;1.1;4.8;11.8
137;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2017;0.4;46.4;53.6;-5.5;-0.7;2.0;9.2
138;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2018;0.3;47.3;52.7;-5.3;-0.6;2.2;9.4
139;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2019;1.4;35.6;64.4;-4.3;0.4;3.1;10.2
140;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2020;2.2;31.5;68.5;-4.3;1.0;4.3;11.5
141;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2021;1.0;43.6;56.4;-5.0;-0.3;3.0;10.7
142;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2022;-2.0;59.2;40.8;-7.8;-3.3;0.2;7.3
143;Totaal mannen en vrouwen;Positie hh: hoofdkostw. met partner;2023;-0.1;50.8;49.2;-6.4;-1.5;1.3;7.2
144;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2012;-1.1;58.8;41.2;-8.0;-2.4;0.2;5.8
145;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2013;-1.3;57.9;42.1;-8.3;-3.0;0.4;6.3
146;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2014;1.7;37.5;62.5;-5.1;0.3;3.4;9.8
147;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2015;1.0;42.0;58.0;-5.5;-0.2;2.8;9.3
148;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2016;2.6;32.4;67.6;-3.5;1.1;4.8;11.8
149;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2017;0.4;46.4;53.6;-5.5;-0.7;2.0;9.2
150;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2018;0.3;47.3;52.7;-5.3;-0.6;2.2;9.4
151;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2019;1.4;35.6;64.4;-4.3;0.4;3.1;10.2
152;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2020;2.2;31.5;68.5;-4.3;1.0;4.3;11.4
153;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2021;1.0;43.6;56.4;-5.0;-0.3;3.0;10.6
154;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2022;-2.0;59.2;40.8;-7.8;-3.3;0.2;7.2
155;Totaal mannen en vrouwen;Positie hh: partner van hoofdkostwinner;2023;-0.1;50.8;49.2;-6.4;-1.5;1.3;7.1
156;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2012;-0.7;53.6;46.4;-8.8;-2.5;1.2;7.7
157;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2013;0.1;49.2;50.8;-8.4;-1.7;2.1;8.7
158;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2014;2.9;35.3;64.7;-5.5;1.0;4.9;12.3
159;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2015;2.8;35.9;64.1;-5.9;0.9;4.9;12.5
160;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2016;5.1;27.6;72.4;-3.3;3.0;7.2;15.1
161;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2017;1.9;38.4;61.6;-5.6;0.3;4.1;12.4
162;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2018;2.1;38.4;61.6;-5.5;0.3;4.4;12.6
163;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2019;2.8;34.3;65.7;-4.9;1.0;5.1;13.3
164;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2020;4.5;29.7;70.3;-4.4;2.4;6.8;14.6
165;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2021;3.0;34.6;65.4;-5.0;1.1;5.2;13.7
166;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2022;0.4;48.2;51.8;-7.4;-1.7;2.7;10.8
167;Totaal mannen en vrouwen;Positie hh: kind < 18 jaar;2023;1.6;42.1;57.9;-6.2;-0.4;3.6;10.1
168;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2012;0.0;50.1;49.9;-9.5;-2.3;2.5;10.3
169;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2013;0.8;46.8;53.2;-8.9;-1.6;3.5;11.9
170;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2014;3.8;35.2;64.8;-6.1;1.2;6.7;15.9
171;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2015;3.9;35.2;64.8;-6.0;1.2;7.0;16.3
172;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2016;6.1;28.9;71.1;-3.9;3.3;9.3;19.2
173;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2017;3.8;35.9;64.1;-5.5;1.0;7.0;17.2
174;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2018;3.9;35.4;64.6;-5.6;1.1;7.1;17.0
175;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2019;4.7;31.9;68.1;-4.7;2.0;7.9;17.8
176;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2020;5.4;30.7;69.3;-5.1;2.6;8.6;18.5
177;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2021;4.7;32.8;67.2;-5.0;1.9;8.0;18.5
178;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2022;1.6;44.5;55.5;-8.0;-1.3;4.9;14.8
179;Totaal mannen en vrouwen;Positie hh: kind >=18 jaar;2023;3.3;36.8;63.2;-6.0;0.8;6.2;15.1
180;Totaal mannen en vrouwen;Positie hh: overig lid;2012;-1.6;57.6;42.4;-12.0;-3.8;0.6;8.8
181;Totaal mannen en vrouwen;Positie hh: overig lid;2013;-1.1;55.4;44.6;-11.4;-3.4;1.1;9.7
182;Totaal mannen en vrouwen;Positie hh: overig lid;2014;1.9;40.8;59.2;-8.1;-0.2;4.2;13.8
183;Totaal mannen en vrouwen;Positie hh: overig lid;2015;1.5;42.5;57.5;-8.5;-0.5;4.1;14.1
184;Totaal mannen en vrouwen;Positie hh: overig lid;2016;3.5;35.3;64.7;-6.5;1.2;6.1;16.2
185;Totaal mannen en vrouwen;Positie hh: overig lid;2017;1.3;43.3;56.7;-7.6;-0.5;4.2;15.0
186;Totaal mannen en vrouwen;Positie hh: overig lid;2018;1.5;42.8;57.2;-7.6;-0.5;4.3;14.7
187;Totaal mannen en vrouwen;Positie hh: overig lid;2019;2.4;37.4;62.6;-6.6;0.5;5.1;15.3
188;Totaal mannen en vrouwen;Positie hh: overig lid;2020;3.2;35.1;64.9;-7.0;1.2;6.0;16.0
189;Totaal mannen en vrouwen;Positie hh: overig lid;2021;2.4;38.5;61.5;-6.9;0.3;5.3;15.8
190;Totaal mannen en vrouwen;Positie hh: overig lid;2022;-0.6;52.5;47.5;-9.8;-3.0;2.2;12.5
191;Totaal mannen en vrouwen;Positie hh: overig lid;2023;1.3;43.9;56.1;-7.8;-0.8;3.6;12.0
192;Totaal mannen en vrouwen;SEC: werknemer;2012;-0.7;54.3;45.7;-8.5;-2.5;1.1;7.1
193;Totaal mannen en vrouwen;SEC: werknemer;2013;0.3;48.0;52.0;-7.6;-1.4;2.2;8.7
194;Totaal mannen en vrouwen;SEC: werknemer;2014;2.9;34.9;65.1;-5.4;1.1;4.7;11.5
195;Totaal mannen en vrouwen;SEC: werknemer;2015;2.5;36.1;63.9;-5.4;0.7;4.5;11.8
196;Totaal mannen en vrouwen;SEC: werknemer;2016;4.8;28.0;72.0;-3.2;2.9;6.9;14.5
197;Totaal mannen en vrouwen;SEC: werknemer;2017;1.3;42.2;57.8;-6.0;-0.4;3.4;11.3
198;Totaal mannen en vrouwen;SEC: werknemer;2018;1.6;40.9;59.1;-5.8;-0.1;3.8;11.7
199;Totaal mannen en vrouwen;SEC: werknemer;2019;2.5;35.5;64.5;-5.1;0.8;4.6;12.5
200;Totaal mannen en vrouwen;SEC: werknemer;2020;4.1;30.6;69.4;-4.4;2.2;6.2;13.8
201;Totaal mannen en vrouwen;SEC: werknemer;2021;2.6;35.4;64.6;-5.1;0.9;4.8;13.1
202;Totaal mannen en vrouwen;SEC: werknemer;2022;-0.6;53.2;46.8;-8.1;-2.5;1.6;9.6
203;Totaal mannen en vrouwen;SEC: werknemer;2023;0.7;46.5;53.5;-6.7;-1.2;2.7;9.8
204;Totaal mannen en vrouwen;SEC: zelfstandige;2012;-2.2;55.7;44.3;-19.9;-6.4;1.9;16.9
205;Totaal mannen en vrouwen;SEC: zelfstandige;2013;-2.7;56.5;43.5;-19.9;-6.8;1.6;17.0
206;Totaal mannen en vrouwen;SEC: zelfstandige;2014;3.4;41.9;58.1;-13.4;-0.8;8.4;27.9
207;Totaal mannen en vrouwen;SEC: zelfstandige;2015;1.7;45.8;54.2;-17.1;-2.6;6.2;22.0
208;Totaal mannen en vrouwen;SEC: zelfstandige;2016;4.7;38.6;61.4;-11.4;0.6;9.5;26.5
209;Totaal mannen en vrouwen;SEC: zelfstandige;2017;2.4;44.2;55.8;-13.3;-1.6;7.2;24.0
210;Totaal mannen en vrouwen;SEC: zelfstandige;2018;1.9;45.3;54.7;-14.2;-2.0;6.5;22.0
211;Totaal mannen en vrouwen;SEC: zelfstandige;2019;2.2;44.4;55.6;-13.8;-1.7;6.7;22.9
212;Totaal mannen en vrouwen;SEC: zelfstandige;2020;2.8;43.4;56.6;-16.2;-1.7;7.7;23.8
213;Totaal mannen en vrouwen;SEC: zelfstandige;2021;2.2;44.5;55.5;-13.9;-1.8;7.0;23.6
214;Totaal mannen en vrouwen;SEC: zelfstandige;2022;-1.3;53.1;46.9;-17.3;-5.2;3.3;19.1
215;Totaal mannen en vrouwen;SEC: zelfstandige;2023;-1.6;55.9;44.1;-15.2;-4.8;1.2;11.1
