ID;InstitutionalInvestors;Periods;TotalForeignInvestments_1;DirectProperty_2;SharesAndOtherEquity_3;BondsShortTermSecOtherThanShares_4;LongTermLoansIncludingMortgageLoans_5;OtherInvestments_6
86;Pension funds;1995;60.5;4.0;38.1;15.8;2.4;0.3
87;Pension funds;1996;76.7;4.1;49.0;21.1;2.1;0.3
88;Pension funds;1997;111.6;3.6;67.7;36.8;2.5;1.0
89;Pension funds;1998;156.9;3.0;90.5;60.4;2.3;0.8
90;Pension funds;1999;253.5;3.1;164.0;83.6;2.1;0.8
91;Pension funds;2000;276.1;3.1;164.0;106.8;1.6;0.7
92;Pension funds;2001;296.3;2.7;172.1;118.7;1.8;0.9
93;Pension funds;2002;276.8;1.6;135.7;136.3;1.2;1.9
94;Pension funds;2003;325.3;0.7;172.3;149.4;1.0;1.9
95;Pension funds;2004;388.9;0.9;200.6;181.1;0.9;5.4
96;Pension funds;2005 1st quarter;410.8;0.9;222.1;180.5;0.9;6.4
97;Pension funds;2005 2nd quarter;447.3;0.9;243.3;198.0;0.9;4.1
98;Pension funds;2005 3rd quarter;479.0;0.8;262.2;208.7;0.7;6.6
99;Pension funds;2005 4th quarter;497.6;0.8;272.4;216.4;0.7;7.2
100;Pension funds;2005;497.6;0.8;272.4;216.4;0.7;7.2
101;Pension funds;2006 1st quarter;522.0;0.8;280.3;220.5;1.0;19.4
102;Pension funds;2006 2nd quarter;515.9;0.9;263.7;226.9;0.8;23.6
103;Pension funds;2006 3rd quarter;546.2;0.9;279.3;240.6;0.9;24.5
104;Pension funds;2006 4th quarter;568.8;0.9;296.8;243.7;1.0;26.4
105;Pension funds;2006;568.8;0.9;296.8;243.7;1.0;26.4
106;Pension funds;2007 1st quarter;579.5;0.4;305.1;247.2;1.8;25.0
107;Pension funds;2007 2nd quarter;591.5;0.4;322.7;245.5;2.0;20.8
108;Pension funds;2007 3rd quarter;591.9;0.4;325.8;244.3;2.4;19.0
109;Pension funds;2007 4th quarter;586.5;0.4;317.5;247.8;2.9;17.9
110;Pension funds;2007;586.5;0.4;317.5;247.8;2.9;17.9
111;Pension funds;2008 1st quarter;558.6;0.4;289.3;233.8;6.3;28.8
112;Pension funds;2008 2nd quarter;551.9;0.2;293.7;236.1;2.6;19.2
113;Pension funds;2008 3rd quarter;545.9;0.2;272.9;255.6;2.8;14.4
114;Pension funds;2008 4th quarter;474.6;0.2;211.5;231.3;3.9;27.7
115;Pension funds;2008;474.6;0.2;211.5;231.3;3.9;27.7
116;Pension funds;2009 1st quarter;477.9;0.2;207.8;246.2;3.6;20.1
117;Pension funds;2009 2nd quarter;428.2;0.2;222.5;181.3;3.6;20.5
118;Pension funds;2009 3rd quarter;361.6;0.2;168.9;168.6;3.2;20.7
119;Pension funds;2009 4th quarter;366.7;0.2;177.7;167.4;3.5;17.9
120;Pension funds;2009;366.7;0.2;177.7;167.4;3.5;17.9
121;Pension funds;2010 1st quarter;361.0;0.2;176.7;166.0;3.1;15.1
122;Pension funds;2010 2nd quarter;362.8;0.2;179.0;168.2;3.3;12.1
123;Pension funds;2010 3rd quarter;374.1;0.2;182.5;170.1;3.0;18.3
124;Pension funds;2010 4th quarter;372.3;0.2;195.0;162.5;2.9;11.8
125;Pension funds;2010;372.3;0.2;195.0;162.5;2.9;11.8
126;Pension funds;2011 1st quarter;362.5;0.2;182.6;164.8;2.6;12.3
127;Pension funds;2011 2nd quarter;361.9;0.2;184.1;163.1;2.6;11.9
128;Pension funds;2011 3rd quarter;347.5;0.2;171.0;162.6;2.1;11.6
129;Pension funds;2011 4th quarter;360.4;0.2;180.1;168.5;2.3;9.4
130;Pension funds;2011;360.4;0.2;180.1;168.5;2.3;9.4
131;Pension funds;2012 1st quarter;378.3;0.2;189.9;175.1;2.2;10.8
132;Pension funds;2012 2nd quarter;392.7;0.2;193.8;183.5;2.3;12.9
133;Pension funds;2012 3rd quarter;407.2;0.2;202.1;190.9;2.4;11.5
134;Pension funds;2012 4th quarter;417.2;0.2;206.1;197.6;2.3;11.0
135;Pension funds;2012;417.2;0.2;206.1;197.6;2.3;11.0
136;Pension funds;2013 1st quarter;431.1;0.2;217.0;200.0;2.4;11.5
137;Pension funds;2013 2nd quarter;419.0;0.2;208.7;197.9;2.2;10.1
138;Pension funds;2013 3rd quarter;421.6;0.2;210.5;199.4;2.2;9.3
139;Pension funds;2013 4th quarter;430.0;0.2;216.0;201.6;1.8;10.3
140;Pension funds;2013;430.0;0.2;216.0;201.6;1.8;10.3
141;Pension funds;2014 1st quarter;445.9;0.2;221.1;213.7;1.7;9.1
142;Insurance corporations;1980;0.9;0.1;0.1;0.1;0.4;0.0
143;Insurance corporations;1981;1.0;0.1;0.2;0.2;0.4;0.0
144;Insurance corporations;1982;1.4;0.1;0.2;0.4;0.7;0.0
145;Insurance corporations;1983;2.3;0.1;0.7;0.6;0.8;0.1
146;Insurance corporations;1984;3.0;0.1;0.9;1.0;1.0;0.0
147;Insurance corporations;1985;4.0;0.1;1.3;1.2;1.3;0.1
148;Insurance corporations;1986;4.7;0.1;1.4;1.6;1.4;0.1
149;Insurance corporations;1987;4.8;0.1;1.4;1.8;1.4;0.1
150;Insurance corporations;1988;5.7;0.1;1.7;2.4;1.3;0.1
151;Insurance corporations;1989;5.7;0.2;2.1;2.1;1.3;0.1
152;Insurance corporations;1990;5.3;0.2;1.6;2.1;1.3;0.1
153;Insurance corporations;1991;6.5;0.3;2.1;2.5;1.4;0.1
154;Insurance corporations;1992;8.2;0.4;2.4;3.8;1.5;0.0
155;Insurance corporations;1993;12.8;0.3;4.4;6.3;1.7;0.1
156;Insurance corporations;1994;12.5;0.3;4.4;6.1;1.5;0.2
157;Insurance corporations;1995;17.6;0.3;5.9;9.5;1.9;0.1
158;Insurance corporations;1996;23.1;0.2;7.5;13.4;1.9;0.1
159;Insurance corporations;1997;32.5;0.2;11.5;18.8;1.9;0.1
160;Insurance corporations;1998;39.8;0.2;16.7;20.4;2.3;0.2
161;Insurance corporations;1999;55.8;0.2;25.1;27.0;3.3;0.3
162;Insurance corporations;2000;63.7;0.3;27.7;32.3;3.2;0.2
163;Insurance corporations;2001;75.9;0.4;24.2;48.1;3.1;0.2
164;Insurance corporations;2002;77.1;0.2;20.8;53.5;2.6;0.2
165;Insurance corporations;2003;89.3;0.1;20.5;67.0;1.6;0.1
166;Insurance corporations;2004;111.3;1.1;23.2;85.5;1.1;0.5
167;Insurance corporations;2005 1st quarter;121.2;1.1;25.3;93.2;1.3;0.3
168;Insurance corporations;2005 2nd quarter;129.6;1.2;29.5;97.1;1.3;0.5
169;Insurance corporations;2005 3rd quarter;130.5;1.2;30.7;96.8;1.4;0.4
170;Insurance corporations;2005 4th quarter;129.3;1.3;30.8;95.9;0.8;0.4
171;Insurance corporations;2005;129.3;1.3;30.8;95.9;0.8;0.4
172;Insurance corporations;2006 1st quarter;128.7;1.6;31.8;93.9;1.0;0.5
173;Insurance corporations;2006 2nd quarter;124.2;1.6;28.4;92.8;1.0;0.5
174;Insurance corporations;2006 3rd quarter;131.5;1.6;33.2;95.1;1.0;0.5
175;Insurance corporations;2006 4th quarter;133.8;1.7;34.6;96.3;0.8;0.4
176;Insurance corporations;2006;133.8;1.7;34.6;96.3;0.8;0.4
177;Insurance corporations;2007 1st quarter;141.7;1.7;38.8;100.1;0.6;0.5
178;Insurance corporations;2007 2nd quarter;145.3;1.7;43.6;99.3;0.4;0.3
179;Insurance corporations;2007 3rd quarter;151.9;1.7;50.1;99.5;0.3;0.3
180;Insurance corporations;2007 4th quarter;157.0;1.7;53.1;101.2;0.5;0.5
181;Insurance corporations;2007;157.0;1.7;53.1;101.2;0.5;0.5
182;Insurance corporations;2008 1st quarter;158.0;1.7;54.0;101.1;0.4;0.8
183;Insurance corporations;2008 2nd quarter;160.8;1.7;57.6;100.4;0.4;0.7
184;Insurance corporations;2008 3rd quarter;166.6;1.7;59.9;104.0;0.4;0.7
185;Insurance corporations;2008 4th quarter;166.4;1.7;56.9;106.7;0.3;0.8
186;Insurance corporations;2008;166.4;1.7;56.9;106.7;0.3;0.8
187;Insurance corporations;2009 1st quarter;159.8;1.7;54.2;103.2;0.3;0.5
188;Insurance corporations;2009 2nd quarter;168.1;1.7;59.8;105.2;0.9;0.5
189;Insurance corporations;2009 3rd quarter;178.5;1.7;62.3;113.3;0.8;0.5
190;Insurance corporations;2009 4th quarter;178.2;1.7;64.5;110.9;0.6;0.4
191;Insurance corporations;2009;178.2;1.7;64.5;110.9;0.6;0.4
192;Insurance corporations;2010 1st quarter;185.0;1.7;65.2;116.1;0.8;1.2
193;Insurance corporations;2010 2nd quarter;181.6;1.7;64.6;113.3;0.9;1.1
194;Insurance corporations;2010 3rd quarter;189.5;1.7;65.7;119.9;0.9;1.2
195;Insurance corporations;2010 4th quarter;183.5;1.7;67.0;112.5;1.1;1.2
196;Insurance corporations;2010;183.5;1.7;67.0;112.5;1.1;1.2
197;Insurance corporations;2011 1st quarter;183.1;1.7;67.5;110.9;1.2;1.8
198;Insurance corporations;2011 2nd quarter;180.1;1.7;64.8;110.1;1.2;2.3
199;Insurance corporations;2011 3rd quarter;179.6;1.7;61.5;113.1;1.2;2.1
200;Insurance corporations;2011 4th quarter;178.2;1.7;64.0;109.1;1.1;2.2
201;Insurance corporations;2011;178.2;1.7;64.0;109.1;1.1;2.2
202;Insurance corporations;2012 1st quarter;186.0;1.7;66.0;114.4;1.3;2.6
203;Insurance corporations;2012 2nd quarter;189.3;1.7;64.7;118.5;1.2;3.1
204;Insurance corporations;2012 3rd quarter;196.3;1.7;65.5;124.9;1.2;2.9
205;Insurance corporations;2012 4th quarter;201.4;1.7;64.7;131.0;1.2;2.9
206;Insurance corporations;2012;201.4;1.7;64.7;131.0;1.2;2.9
207;Insurance corporations;2013 1st quarter;203.7;1.7;67.0;130.4;1.2;3.3
208;Insurance corporations;2013 2nd quarter;202.2;1.7;66.1;129.3;1.4;3.7
209;Insurance corporations;2013 3rd quarter;194.1;1.7;68.1;119.2;1.4;3.7
210;Insurance corporations;2013 4th quarter;189.2;1.7;66.6;116.2;1.1;3.5
211;Insurance corporations;2013;189.2;1.7;66.6;116.2;1.1;3.5
212;Insurance corporations;2014 1st quarter;191.9;1.7;66.2;118.8;1.2;4.0
213;Investment funds;1980;4.8;0.9;3.0;0.6;0.0;0.2
214;Investment funds;1981;5.2;1.0;3.3;0.6;0.0;0.3
215;Investment funds;1982;6.2;1.1;3.0;1.3;0.0;0.7
216;Investment funds;1983;8.3;1.3;4.5;1.6;0.1;0.8
217;Investment funds;1984;9.2;1.6;4.7;1.6;0.2;1.1
218;Investment funds;1985;10.3;1.6;5.1;2.1;0.3;1.2
219;Investment funds;1986;11.7;2.1;6.3;2.3;0.2;0.8
220;Investment funds;1987;12.6;2.7;5.7;2.3;0.1;1.8
221;Investment funds;1988;15.9;3.6;7.3;2.4;0.1;2.5
222;Investment funds;1989;17.9;5.0;9.0;3.2;0.1;0.6
223;Investment funds;1990;15.4;5.2;7.0;3.0;0.0;0.2
224;Investment funds;1991;15.9;4.3;8.4;3.1;0.0;0.0
225;Investment funds;1992;14.6;3.7;7.9;2.0;0.0;1.0
226;Investment funds;1993;23.2;3.7;12.1;5.0;0.0;2.4
227;Investment funds;1994;20.7;4.3;11.8;3.8;0.0;0.8
228;Investment funds;1995;20.5;4.7;11.7;3.8;0.0;0.3
229;Investment funds;1996;25.8;6.3;13.6;5.4;0.1;0.3
230;Investment funds;1997;31.3;8.3;18.1;4.2;0.3;0.5
231;Investment funds;1998;38.3;9.8;23.2;4.6;0.2;0.5
232;Investment funds;1999;60.8;11.9;41.3;5.8;0.2;1.5
233;Investment funds;2000;72.1;18.1;44.4;7.5;0.3;1.9
234;Investment funds;2001;70.5;20.2;37.8;10.8;0.2;1.5
235;Investment funds;2002;52.9;14.0;25.3;12.2;0.2;1.2
236;Investment funds;2003;58.4;14.0;28.2;14.4;0.2;1.6
237;Investment funds;2004;55.9;11.6;27.8;15.3;0.0;1.2
238;Investment funds;2005 1st quarter;58.6;12.2;30.9;14.6;0.0;0.9
239;Investment funds;2005 2nd quarter;58.8;12.8;30.5;14.7;0.0;0.8
240;Investment funds;2005 3rd quarter;58.4;13.4;31.1;13.3;0.0;0.6
241;Investment funds;2005 4th quarter;62.0;14.2;33.6;13.4;0.0;0.8
242;Investment funds;2005;62.0;14.2;33.6;13.4;0.0;0.8
243;Investment funds;2006 1st quarter;61.7;14.8;33.1;12.5;0.0;1.2
244;Investment funds;2006 2nd quarter;63.9;15.4;36.0;11.8;0.0;0.7
245;Investment funds;2006 3rd quarter;65.2;16.0;36.2;12.4;0.0;0.5
246;Investment funds;2006 4th quarter;67.7;16.7;38.2;12.3;0.0;0.5
247;Investment funds;2006;67.7;16.7;38.2;12.3;0.0;0.5
248;Investment funds;2007 1st quarter;65.6;16.9;35.1;12.8;0.0;0.8
249;Investment funds;2007 2nd quarter;54.0;10.0;30.7;12.7;0.0;0.5
250;Investment funds;2007 3rd quarter;53.0;10.4;32.3;10.1;0.0;0.1
251;Investment funds;2007 4th quarter;62.5;11.7;39.3;10.9;0.0;0.6
252;Investment funds;2007;62.5;11.7;39.3;10.9;0.0;0.6
253;Investment funds;2008 1st quarter;56.4;11.8;32.5;11.0;0.0;1.2
254;Investment funds;2008 2nd quarter;56.6;11.9;32.1;10.4;0.0;2.1
255;Investment funds;2008 3rd quarter;51.7;11.9;26.8;11.0;0.0;1.9
256;Investment funds;2008 4th quarter;46.0;12.0;20.8;11.4;0.0;1.8
257;Investment funds;2008;46.0;12.0;20.8;11.4;0.0;1.8
258;Investment funds;2009 1st quarter;46.8;11.9;23.0;9.5;0.0;2.3
259;Investment funds;2009 2nd quarter;132.1;11.9;31.4;73.4;0.0;15.4
260;Investment funds;2009 3rd quarter;235.6;11.8;123.2;94.2;0.2;6.2
261;Investment funds;2009 4th quarter;255.8;11.7;140.5;95.0;0.0;8.5
262;Investment funds;2009;255.8;11.7;140.5;95.0;0.0;8.5
263;Investment funds;2010 1st quarter;290.9;12.1;169.1;99.9;0.8;9.0
264;Investment funds;2010 2nd quarter;276.1;12.1;156.0;96.8;1.2;10.1
265;Investment funds;2010 3rd quarter;283.0;12.2;162.0;98.4;1.1;9.3
266;Investment funds;2010 4th quarter;295.2;14.2;179.3;92.1;2.2;7.4
267;Investment funds;2010;295.2;14.2;179.3;92.1;2.2;7.4
268;Investment funds;2011 1st quarter;293.5;14.1;176.6;94.6;2.0;6.2
269;Investment funds;2011 2nd quarter;300.4;14.0;179.9;98.9;1.7;5.9
270;Investment funds;2011 3rd quarter;293.6;14.0;171.2;100.5;2.1;5.8
271;Investment funds;2011 4th quarter;310.4;13.9;187.8;102.2;1.9;4.5
272;Investment funds;2011;310.4;13.9;187.8;102.2;1.9;4.5
273;Investment funds;2012 1st quarter;327.7;13.8;198.6;108.4;2.1;4.8
274;Investment funds;2012 2nd quarter;329.2;13.6;200.2;109.3;2.1;4.0
275;Investment funds;2012 3rd quarter;346.8;13.5;209.7;117.3;3.1;3.2
276;Investment funds;2012 4th quarter;354.9;13.3;212.2;123.7;3.3;2.4
277;Investment funds;2012;354.9;13.3;212.2;123.7;3.3;2.4
278;Investment funds;2013 1st quarter;375.2;13.1;231.9;123.3;3.7;3.2
279;Investment funds;2013 2nd quarter;365.5;11.4;221.3;125.2;3.8;3.8
280;Investment funds;2013 3rd quarter;383.8;11.6;227.5;137.4;4.1;3.2
281;Investment funds;2013 4th quarter;395.4;13.3;234.8;140.4;4.1;2.9
282;Investment funds;2013;395.4;13.3;234.8;140.4;4.1;2.9
283;Investment funds;2014 1st quarter;415.1;13.3;250.3;143.2;5.0;3.4
