ID;EnergySourcesTechniques;EnergyApplication;Periods;FinalConsumption_1;FinalConsumptionRelative_2;AvoidedEnergy_3;AvoidedEnergyRelative_4;AvoidedEmission_5;AvoidedEmissionRelative_6
762;Solar photovoltaic;Electricity;2002;59.0;0.0;151.0;0.0;11.0;0.01
763;Solar photovoltaic;Electricity;2003;91.0;0.0;233.0;0.01;16.0;0.01
764;Solar photovoltaic;Electricity;2004;121.0;0.01;304.0;0.01;21.0;0.01
765;Solar photovoltaic;Electricity;2005;128.0;0.01;320.0;0.01;22.0;0.01
766;Solar photovoltaic;Electricity;2006;132.0;0.01;322.0;0.01;23.0;0.01
767;Solar photovoltaic;Electricity;2007;135.0;0.01;329.0;0.01;23.0;0.01
768;Solar photovoltaic;Electricity;2008;143.0;0.01;352.0;0.01;24.0;0.01
769;Solar photovoltaic;Electricity;2009;162.0;0.01;391.0;0.01;27.0;0.02
770;Solar photovoltaic;Electricity;2010;201.0;0.01;476.0;0.01;32.0;0.02
771;Solar photovoltaic;Electricity;2011;376.0;0.02;867.0;0.03;58.0;0.03
772;Solar photovoltaic;Electricity;2012;686.0;0.03;1638.0;0.05;116.0;0.07
773;Solar photovoltaic;Electricity;2013;1476.0;0.07;3481.0;0.11;256.0;0.15
774;Solar photovoltaic;Electricity;2014;2611.0;0.13;6291.0;0.21;462.0;0.29
775;Solar photovoltaic;Electricity;2015;3991.0;0.19;9639.0;0.31;751.0;0.45
776;Solar photovoltaic;Electricity;2016;5767.0;0.28;13473.0;0.43;1005.0;0.6
777;Solar photovoltaic;Electricity;2017;7936.0;0.37;17793.0;0.56;1301.0;0.79
778;Solar photovoltaic;Electricity;2018;13295.0;0.63;29284.0;0.94;2070.0;1.29
779;Solar photovoltaic;Electricity;2019;18613.0;0.89;40999.0;1.34;2899.0;1.87
780;Solar photovoltaic;Heat;1990;;;;;;
781;Solar photovoltaic;Heat;1991;;;;;;
782;Solar photovoltaic;Heat;1992;;;;;;
783;Solar photovoltaic;Heat;1993;;;;;;
784;Solar photovoltaic;Heat;1994;;;;;;
785;Solar photovoltaic;Heat;1995;;;;;;
786;Solar photovoltaic;Heat;1996;;;;;;
787;Solar photovoltaic;Heat;1997;;;;;;
788;Solar photovoltaic;Heat;1998;;;;;;
789;Solar photovoltaic;Heat;1999;;;;;;
790;Solar photovoltaic;Heat;2000;;;;;;
791;Solar photovoltaic;Heat;2001;;;;;;
792;Solar photovoltaic;Heat;2002;;;;;;
793;Solar photovoltaic;Heat;2003;;;;;;
794;Solar photovoltaic;Heat;2004;;;;;;
795;Solar photovoltaic;Heat;2005;;;;;;
796;Solar photovoltaic;Heat;2006;;;;;;
797;Solar photovoltaic;Heat;2007;;;;;;
798;Solar photovoltaic;Heat;2008;;;;;;
799;Solar photovoltaic;Heat;2009;;;;;;
800;Solar photovoltaic;Heat;2010;;;;;;
801;Solar photovoltaic;Heat;2011;;;;;;
802;Solar photovoltaic;Heat;2012;;;;;;
803;Solar photovoltaic;Heat;2013;;;;;;
804;Solar photovoltaic;Heat;2014;;;;;;
805;Solar photovoltaic;Heat;2015;;;;;;
806;Solar photovoltaic;Heat;2016;;;;;;
807;Solar photovoltaic;Heat;2017;;;;;;
808;Solar photovoltaic;Heat;2018;;;;;;
809;Solar photovoltaic;Heat;2019;;;;;;
810;Solar photovoltaic;Transport;1990;;;;;;
811;Solar photovoltaic;Transport;1991;;;;;;
812;Solar photovoltaic;Transport;1992;;;;;;
813;Solar photovoltaic;Transport;1993;;;;;;
814;Solar photovoltaic;Transport;1994;;;;;;
815;Solar photovoltaic;Transport;1995;;;;;;
816;Solar photovoltaic;Transport;1996;;;;;;
817;Solar photovoltaic;Transport;1997;;;;;;
818;Solar photovoltaic;Transport;1998;;;;;;
819;Solar photovoltaic;Transport;1999;;;;;;
820;Solar photovoltaic;Transport;2000;;;;;;
821;Solar photovoltaic;Transport;2001;;;;;;
822;Solar photovoltaic;Transport;2002;;;;;;
823;Solar photovoltaic;Transport;2003;;;;;;
824;Solar photovoltaic;Transport;2004;;;;;;
825;Solar photovoltaic;Transport;2005;;;;;;
826;Solar photovoltaic;Transport;2006;;;;;;
827;Solar photovoltaic;Transport;2007;;;;;;
828;Solar photovoltaic;Transport;2008;;;;;;
829;Solar photovoltaic;Transport;2009;;;;;;
830;Solar photovoltaic;Transport;2010;;;;;;
831;Solar photovoltaic;Transport;2011;;;;;;
832;Solar photovoltaic;Transport;2012;;;;;;
833;Solar photovoltaic;Transport;2013;;;;;;
834;Solar photovoltaic;Transport;2014;;;;;;
835;Solar photovoltaic;Transport;2015;;;;;;
836;Solar photovoltaic;Transport;2016;;;;;;
837;Solar photovoltaic;Transport;2017;;;;;;
838;Solar photovoltaic;Transport;2018;;;;;;
839;Solar photovoltaic;Transport;2019;;;;;;
840;Solar thermal, total;Total energy applications;1990;100.0;0.01;84.0;0.0;5.0;0.0
841;Solar thermal, total;Total energy applications;1991;113.0;0.01;97.0;0.0;6.0;0.0
842;Solar thermal, total;Total energy applications;1992;136.0;0.01;118.0;0.0;7.0;0.0
843;Solar thermal, total;Total energy applications;1993;154.0;0.01;136.0;0.0;8.0;0.0
844;Solar thermal, total;Total energy applications;1994;180.0;0.01;162.0;0.01;9.0;0.01
845;Solar thermal, total;Total energy applications;1995;211.0;0.01;193.0;0.01;11.0;0.01
846;Solar thermal, total;Total energy applications;1996;244.0;0.01;228.0;0.01;13.0;0.01
847;Solar thermal, total;Total energy applications;1997;294.0;0.01;280.0;0.01;16.0;0.01
848;Solar thermal, total;Total energy applications;1998;345.0;0.02;332.0;0.01;19.0;0.01
849;Solar thermal, total;Total energy applications;1999;404.0;0.02;393.0;0.01;22.0;0.01
850;Solar thermal, total;Total energy applications;2000;454.0;0.02;445.0;0.01;25.0;0.01
851;Solar thermal, total;Total energy applications;2001;511.0;0.02;506.0;0.02;29.0;0.02
852;Solar thermal, total;Total energy applications;2002;575.0;0.03;573.0;0.02;33.0;0.02
853;Solar thermal, total;Total energy applications;2003;624.0;0.03;626.0;0.02;36.0;0.02
854;Solar thermal, total;Total energy applications;2004;674.0;0.03;679.0;0.02;39.0;0.02
855;Solar thermal, total;Total energy applications;2005;719.0;0.03;725.0;0.02;41.0;0.02
856;Solar thermal, total;Total energy applications;2006;755.0;0.03;761.0;0.02;43.0;0.02
857;Solar thermal, total;Total energy applications;2007;798.0;0.04;805.0;0.02;46.0;0.03
858;Solar thermal, total;Total energy applications;2008;846.0;0.04;855.0;0.03;48.0;0.03
859;Solar thermal, total;Total energy applications;2009;926.0;0.04;941.0;0.03;53.0;0.03
860;Solar thermal, total;Total energy applications;2010;994.0;0.04;1016.0;0.03;57.0;0.03
861;Solar thermal, total;Total energy applications;2011;1040.0;0.05;1066.0;0.03;60.0;0.04
862;Solar thermal, total;Total energy applications;2012;1070.0;0.05;1102.0;0.03;62.0;0.04
863;Solar thermal, total;Total energy applications;2013;1106.0;0.05;1142.0;0.04;65.0;0.04
864;Solar thermal, total;Total energy applications;2014;1128.0;0.06;1168.0;0.04;66.0;0.04
865;Solar thermal, total;Total energy applications;2015;1137.0;0.05;1179.0;0.04;67.0;0.04
866;Solar thermal, total;Total energy applications;2016;1147.0;0.05;1192.0;0.04;67.0;0.04
867;Solar thermal, total;Total energy applications;2017;1144.0;0.05;1191.0;0.04;67.0;0.04
868;Solar thermal, total;Total energy applications;2018;1156.0;0.05;1208.0;0.04;68.0;0.04
869;Solar thermal, total;Total energy applications;2019;1176.0;0.06;1231.0;0.04;70.0;0.04
870;Solar thermal, total;Electricity;1990;;;;;;
871;Solar thermal, total;Electricity;1991;;;;;;
872;Solar thermal, total;Electricity;1992;;;;;;
873;Solar thermal, total;Electricity;1993;;;;;;
874;Solar thermal, total;Electricity;1994;;;;;;
875;Solar thermal, total;Electricity;1995;;;;;;
876;Solar thermal, total;Electricity;1996;;;;;;
877;Solar thermal, total;Electricity;1997;;;;;;
878;Solar thermal, total;Electricity;1998;;;;;;
879;Solar thermal, total;Electricity;1999;;;;;;
880;Solar thermal, total;Electricity;2000;;;;;;
881;Solar thermal, total;Electricity;2001;;;;;;
882;Solar thermal, total;Electricity;2002;;;;;;
883;Solar thermal, total;Electricity;2003;;;;;;
884;Solar thermal, total;Electricity;2004;;;;;;
885;Solar thermal, total;Electricity;2005;;;;;;
886;Solar thermal, total;Electricity;2006;;;;;;
887;Solar thermal, total;Electricity;2007;;;;;;
888;Solar thermal, total;Electricity;2008;;;;;;
889;Solar thermal, total;Electricity;2009;;;;;;
890;Solar thermal, total;Electricity;2010;;;;;;
891;Solar thermal, total;Electricity;2011;;;;;;
892;Solar thermal, total;Electricity;2012;;;;;;
893;Solar thermal, total;Electricity;2013;;;;;;
894;Solar thermal, total;Electricity;2014;;;;;;
895;Solar thermal, total;Electricity;2015;;;;;;
896;Solar thermal, total;Electricity;2016;;;;;;
897;Solar thermal, total;Electricity;2017;;;;;;
898;Solar thermal, total;Electricity;2018;;;;;;
899;Solar thermal, total;Electricity;2019;;;;;;
900;Solar thermal, total;Heat;1990;100.0;0.01;84.0;0.0;5.0;0.0
901;Solar thermal, total;Heat;1991;113.0;0.01;97.0;0.0;6.0;0.0
902;Solar thermal, total;Heat;1992;136.0;0.01;118.0;0.0;7.0;0.0
903;Solar thermal, total;Heat;1993;154.0;0.01;136.0;0.0;8.0;0.0
904;Solar thermal, total;Heat;1994;180.0;0.01;162.0;0.01;9.0;0.01
905;Solar thermal, total;Heat;1995;211.0;0.01;193.0;0.01;11.0;0.01
906;Solar thermal, total;Heat;1996;244.0;0.01;228.0;0.01;13.0;0.01
907;Solar thermal, total;Heat;1997;294.0;0.01;280.0;0.01;16.0;0.01
908;Solar thermal, total;Heat;1998;345.0;0.02;332.0;0.01;19.0;0.01
909;Solar thermal, total;Heat;1999;404.0;0.02;393.0;0.01;22.0;0.01
910;Solar thermal, total;Heat;2000;454.0;0.02;445.0;0.01;25.0;0.01
911;Solar thermal, total;Heat;2001;511.0;0.02;506.0;0.02;29.0;0.02
912;Solar thermal, total;Heat;2002;575.0;0.03;573.0;0.02;33.0;0.02
913;Solar thermal, total;Heat;2003;624.0;0.03;626.0;0.02;36.0;0.02
914;Solar thermal, total;Heat;2004;674.0;0.03;679.0;0.02;39.0;0.02
915;Solar thermal, total;Heat;2005;719.0;0.03;725.0;0.02;41.0;0.02
916;Solar thermal, total;Heat;2006;755.0;0.03;761.0;0.02;43.0;0.02
917;Solar thermal, total;Heat;2007;798.0;0.04;805.0;0.02;46.0;0.03
918;Solar thermal, total;Heat;2008;846.0;0.04;855.0;0.03;48.0;0.03
919;Solar thermal, total;Heat;2009;926.0;0.04;941.0;0.03;53.0;0.03
920;Solar thermal, total;Heat;2010;994.0;0.04;1016.0;0.03;57.0;0.03
921;Solar thermal, total;Heat;2011;1040.0;0.05;1066.0;0.03;60.0;0.04
922;Solar thermal, total;Heat;2012;1070.0;0.05;1102.0;0.03;62.0;0.04
923;Solar thermal, total;Heat;2013;1106.0;0.05;1142.0;0.04;65.0;0.04
924;Solar thermal, total;Heat;2014;1128.0;0.06;1168.0;0.04;66.0;0.04
925;Solar thermal, total;Heat;2015;1137.0;0.05;1179.0;0.04;67.0;0.04
926;Solar thermal, total;Heat;2016;1147.0;0.05;1192.0;0.04;67.0;0.04
927;Solar thermal, total;Heat;2017;1144.0;0.05;1191.0;0.04;67.0;0.04
928;Solar thermal, total;Heat;2018;1156.0;0.05;1208.0;0.04;68.0;0.04
929;Solar thermal, total;Heat;2019;1176.0;0.06;1231.0;0.04;70.0;0.04
930;Solar thermal, total;Transport;1990;;;;;;
931;Solar thermal, total;Transport;1991;;;;;;
932;Solar thermal, total;Transport;1992;;;;;;
933;Solar thermal, total;Transport;1993;;;;;;
934;Solar thermal, total;Transport;1994;;;;;;
935;Solar thermal, total;Transport;1995;;;;;;
936;Solar thermal, total;Transport;1996;;;;;;
937;Solar thermal, total;Transport;1997;;;;;;
938;Solar thermal, total;Transport;1998;;;;;;
939;Solar thermal, total;Transport;1999;;;;;;
940;Solar thermal, total;Transport;2000;;;;;;
941;Solar thermal, total;Transport;2001;;;;;;
942;Solar thermal, total;Transport;2002;;;;;;
943;Solar thermal, total;Transport;2003;;;;;;
944;Solar thermal, total;Transport;2004;;;;;;
945;Solar thermal, total;Transport;2005;;;;;;
946;Solar thermal, total;Transport;2006;;;;;;
947;Solar thermal, total;Transport;2007;;;;;;
948;Solar thermal, total;Transport;2008;;;;;;
949;Solar thermal, total;Transport;2009;;;;;;
950;Solar thermal, total;Transport;2010;;;;;;
951;Solar thermal, total;Transport;2011;;;;;;
952;Solar thermal, total;Transport;2012;;;;;;
953;Solar thermal, total;Transport;2013;;;;;;
954;Solar thermal, total;Transport;2014;;;;;;
955;Solar thermal, total;Transport;2015;;;;;;
956;Solar thermal, total;Transport;2016;;;;;;
957;Solar thermal, total;Transport;2017;;;;;;
958;Solar thermal, total;Transport;2018;;;;;;
959;Solar thermal, total;Transport;2019;;;;;;
960;Solar thermal, covered systems <= 6 m2;Total energy applications;1990;11.0;0.0;12.0;0.0;1.0;0.0
961;Solar thermal, covered systems <= 6 m2;Total energy applications;1991;21.0;0.0;23.0;0.0;1.0;0.0
962;Solar thermal, covered systems <= 6 m2;Total energy applications;1992;34.0;0.0;37.0;0.0;2.0;0.0
963;Solar thermal, covered systems <= 6 m2;Total energy applications;1993;45.0;0.0;49.0;0.0;3.0;0.0
964;Solar thermal, covered systems <= 6 m2;Total energy applications;1994;60.0;0.0;65.0;0.0;4.0;0.0
965;Solar thermal, covered systems <= 6 m2;Total energy applications;1995;81.0;0.0;87.0;0.0;5.0;0.0
966;Solar thermal, covered systems <= 6 m2;Total energy applications;1996;108.0;0.0;116.0;0.0;7.0;0.0
967;Solar thermal, covered systems <= 6 m2;Total energy applications;1997;148.0;0.01;159.0;0.01;9.0;0.01
968;Solar thermal, covered systems <= 6 m2;Total energy applications;1998;184.0;0.01;198.0;0.01;11.0;0.01
969;Solar thermal, covered systems <= 6 m2;Total energy applications;1999;232.0;0.01;250.0;0.01;14.0;0.01
970;Solar thermal, covered systems <= 6 m2;Total energy applications;2000;278.0;0.01;299.0;0.01;17.0;0.01
971;Solar thermal, covered systems <= 6 m2;Total energy applications;2001;328.0;0.02;354.0;0.01;20.0;0.01
972;Solar thermal, covered systems <= 6 m2;Total energy applications;2002;380.0;0.02;409.0;0.01;23.0;0.01
973;Solar thermal, covered systems <= 6 m2;Total energy applications;2003;424.0;0.02;456.0;0.01;26.0;0.01
974;Solar thermal, covered systems <= 6 m2;Total energy applications;2004;463.0;0.02;498.0;0.01;28.0;0.02
975;Solar thermal, covered systems <= 6 m2;Total energy applications;2005;496.0;0.02;534.0;0.02;30.0;0.02
976;Solar thermal, covered systems <= 6 m2;Total energy applications;2006;520.0;0.02;560.0;0.02;32.0;0.02
977;Solar thermal, covered systems <= 6 m2;Total energy applications;2007;552.0;0.02;595.0;0.02;34.0;0.02
978;Solar thermal, covered systems <= 6 m2;Total energy applications;2008;589.0;0.03;634.0;0.02;36.0;0.02
979;Solar thermal, covered systems <= 6 m2;Total energy applications;2009;649.0;0.03;699.0;0.02;40.0;0.02
980;Solar thermal, covered systems <= 6 m2;Total energy applications;2010;694.0;0.03;748.0;0.02;42.0;0.02
981;Solar thermal, covered systems <= 6 m2;Total energy applications;2011;731.0;0.03;787.0;0.02;44.0;0.03
982;Solar thermal, covered systems <= 6 m2;Total energy applications;2012;757.0;0.03;816.0;0.03;46.0;0.03
983;Solar thermal, covered systems <= 6 m2;Total energy applications;2013;787.0;0.04;847.0;0.03;48.0;0.03
984;Solar thermal, covered systems <= 6 m2;Total energy applications;2014;809.0;0.04;871.0;0.03;49.0;0.03
985;Solar thermal, covered systems <= 6 m2;Total energy applications;2015;818.0;0.04;881.0;0.03;50.0;0.03
986;Solar thermal, covered systems <= 6 m2;Total energy applications;2016;826.0;0.04;890.0;0.03;50.0;0.03
987;Solar thermal, covered systems <= 6 m2;Total energy applications;2017;820.0;0.04;883.0;0.03;50.0;0.03
988;Solar thermal, covered systems <= 6 m2;Total energy applications;2018;826.0;0.04;890.0;0.03;50.0;0.03
989;Solar thermal, covered systems <= 6 m2;Total energy applications;2019;797.0;0.04;858.0;0.03;49.0;0.03
990;Solar thermal, covered systems <= 6 m2;Electricity;1990;;;;;;
991;Solar thermal, covered systems <= 6 m2;Electricity;1991;;;;;;
992;Solar thermal, covered systems <= 6 m2;Electricity;1992;;;;;;
993;Solar thermal, covered systems <= 6 m2;Electricity;1993;;;;;;
994;Solar thermal, covered systems <= 6 m2;Electricity;1994;;;;;;
995;Solar thermal, covered systems <= 6 m2;Electricity;1995;;;;;;
996;Solar thermal, covered systems <= 6 m2;Electricity;1996;;;;;;
997;Solar thermal, covered systems <= 6 m2;Electricity;1997;;;;;;
998;Solar thermal, covered systems <= 6 m2;Electricity;1998;;;;;;
999;Solar thermal, covered systems <= 6 m2;Electricity;1999;;;;;;
1000;Solar thermal, covered systems <= 6 m2;Electricity;2000;;;;;;
1001;Solar thermal, covered systems <= 6 m2;Electricity;2001;;;;;;
1002;Solar thermal, covered systems <= 6 m2;Electricity;2002;;;;;;
1003;Solar thermal, covered systems <= 6 m2;Electricity;2003;;;;;;
1004;Solar thermal, covered systems <= 6 m2;Electricity;2004;;;;;;
1005;Solar thermal, covered systems <= 6 m2;Electricity;2005;;;;;;
1006;Solar thermal, covered systems <= 6 m2;Electricity;2006;;;;;;
1007;Solar thermal, covered systems <= 6 m2;Electricity;2007;;;;;;
1008;Solar thermal, covered systems <= 6 m2;Electricity;2008;;;;;;
1009;Solar thermal, covered systems <= 6 m2;Electricity;2009;;;;;;
1010;Solar thermal, covered systems <= 6 m2;Electricity;2010;;;;;;
1011;Solar thermal, covered systems <= 6 m2;Electricity;2011;;;;;;
1012;Solar thermal, covered systems <= 6 m2;Electricity;2012;;;;;;
1013;Solar thermal, covered systems <= 6 m2;Electricity;2013;;;;;;
1014;Solar thermal, covered systems <= 6 m2;Electricity;2014;;;;;;
1015;Solar thermal, covered systems <= 6 m2;Electricity;2015;;;;;;
1016;Solar thermal, covered systems <= 6 m2;Electricity;2016;;;;;;
1017;Solar thermal, covered systems <= 6 m2;Electricity;2017;;;;;;
1018;Solar thermal, covered systems <= 6 m2;Electricity;2018;;;;;;
1019;Solar thermal, covered systems <= 6 m2;Electricity;2019;;;;;;
1020;Solar thermal, covered systems <= 6 m2;Heat;1990;11.0;0.0;12.0;0.0;1.0;0.0
1021;Solar thermal, covered systems <= 6 m2;Heat;1991;21.0;0.0;23.0;0.0;1.0;0.0
1022;Solar thermal, covered systems <= 6 m2;Heat;1992;34.0;0.0;37.0;0.0;2.0;0.0
1023;Solar thermal, covered systems <= 6 m2;Heat;1993;45.0;0.0;49.0;0.0;3.0;0.0
1024;Solar thermal, covered systems <= 6 m2;Heat;1994;60.0;0.0;65.0;0.0;4.0;0.0
1025;Solar thermal, covered systems <= 6 m2;Heat;1995;81.0;0.0;87.0;0.0;5.0;0.0
1026;Solar thermal, covered systems <= 6 m2;Heat;1996;108.0;0.0;116.0;0.0;7.0;0.0
1027;Solar thermal, covered systems <= 6 m2;Heat;1997;148.0;0.01;159.0;0.01;9.0;0.01
1028;Solar thermal, covered systems <= 6 m2;Heat;1998;184.0;0.01;198.0;0.01;11.0;0.01
1029;Solar thermal, covered systems <= 6 m2;Heat;1999;232.0;0.01;250.0;0.01;14.0;0.01
1030;Solar thermal, covered systems <= 6 m2;Heat;2000;278.0;0.01;299.0;0.01;17.0;0.01
1031;Solar thermal, covered systems <= 6 m2;Heat;2001;328.0;0.02;354.0;0.01;20.0;0.01
1032;Solar thermal, covered systems <= 6 m2;Heat;2002;380.0;0.02;409.0;0.01;23.0;0.01
1033;Solar thermal, covered systems <= 6 m2;Heat;2003;424.0;0.02;456.0;0.01;26.0;0.01
1034;Solar thermal, covered systems <= 6 m2;Heat;2004;463.0;0.02;498.0;0.01;28.0;0.02
1035;Solar thermal, covered systems <= 6 m2;Heat;2005;496.0;0.02;534.0;0.02;30.0;0.02
1036;Solar thermal, covered systems <= 6 m2;Heat;2006;520.0;0.02;560.0;0.02;32.0;0.02
1037;Solar thermal, covered systems <= 6 m2;Heat;2007;552.0;0.02;595.0;0.02;34.0;0.02
1038;Solar thermal, covered systems <= 6 m2;Heat;2008;589.0;0.03;634.0;0.02;36.0;0.02
1039;Solar thermal, covered systems <= 6 m2;Heat;2009;649.0;0.03;699.0;0.02;40.0;0.02
1040;Solar thermal, covered systems <= 6 m2;Heat;2010;694.0;0.03;748.0;0.02;42.0;0.02
1041;Solar thermal, covered systems <= 6 m2;Heat;2011;731.0;0.03;787.0;0.02;44.0;0.03
1042;Solar thermal, covered systems <= 6 m2;Heat;2012;757.0;0.03;816.0;0.03;46.0;0.03
1043;Solar thermal, covered systems <= 6 m2;Heat;2013;787.0;0.04;847.0;0.03;48.0;0.03
1044;Solar thermal, covered systems <= 6 m2;Heat;2014;809.0;0.04;871.0;0.03;49.0;0.03
1045;Solar thermal, covered systems <= 6 m2;Heat;2015;818.0;0.04;881.0;0.03;50.0;0.03
1046;Solar thermal, covered systems <= 6 m2;Heat;2016;826.0;0.04;890.0;0.03;50.0;0.03
1047;Solar thermal, covered systems <= 6 m2;Heat;2017;820.0;0.04;883.0;0.03;50.0;0.03
1048;Solar thermal, covered systems <= 6 m2;Heat;2018;826.0;0.04;890.0;0.03;50.0;0.03
1049;Solar thermal, covered systems <= 6 m2;Heat;2019;797.0;0.04;858.0;0.03;49.0;0.03
1050;Solar thermal, covered systems <= 6 m2;Transport;1990;;;;;;
1051;Solar thermal, covered systems <= 6 m2;Transport;1991;;;;;;
1052;Solar thermal, covered systems <= 6 m2;Transport;1992;;;;;;
1053;Solar thermal, covered systems <= 6 m2;Transport;1993;;;;;;
1054;Solar thermal, covered systems <= 6 m2;Transport;1994;;;;;;
1055;Solar thermal, covered systems <= 6 m2;Transport;1995;;;;;;
1056;Solar thermal, covered systems <= 6 m2;Transport;1996;;;;;;
1057;Solar thermal, covered systems <= 6 m2;Transport;1997;;;;;;
1058;Solar thermal, covered systems <= 6 m2;Transport;1998;;;;;;
1059;Solar thermal, covered systems <= 6 m2;Transport;1999;;;;;;
1060;Solar thermal, covered systems <= 6 m2;Transport;2000;;;;;;
1061;Solar thermal, covered systems <= 6 m2;Transport;2001;;;;;;
1062;Solar thermal, covered systems <= 6 m2;Transport;2002;;;;;;
1063;Solar thermal, covered systems <= 6 m2;Transport;2003;;;;;;
1064;Solar thermal, covered systems <= 6 m2;Transport;2004;;;;;;
1065;Solar thermal, covered systems <= 6 m2;Transport;2005;;;;;;
1066;Solar thermal, covered systems <= 6 m2;Transport;2006;;;;;;
1067;Solar thermal, covered systems <= 6 m2;Transport;2007;;;;;;
1068;Solar thermal, covered systems <= 6 m2;Transport;2008;;;;;;
1069;Solar thermal, covered systems <= 6 m2;Transport;2009;;;;;;
1070;Solar thermal, covered systems <= 6 m2;Transport;2010;;;;;;
1071;Solar thermal, covered systems <= 6 m2;Transport;2011;;;;;;
1072;Solar thermal, covered systems <= 6 m2;Transport;2012;;;;;;
1073;Solar thermal, covered systems <= 6 m2;Transport;2013;;;;;;
1074;Solar thermal, covered systems <= 6 m2;Transport;2014;;;;;;
1075;Solar thermal, covered systems <= 6 m2;Transport;2015;;;;;;
1076;Solar thermal, covered systems <= 6 m2;Transport;2016;;;;;;
1077;Solar thermal, covered systems <= 6 m2;Transport;2017;;;;;;
1078;Solar thermal, covered systems <= 6 m2;Transport;2018;;;;;;
1079;Solar thermal, covered systems <= 6 m2;Transport;2019;;;;;;
1080;Solar thermal, covered systems > 6 m2;Total energy applications;1990;18.0;0.0;19.0;0.0;1.0;0.0
1081;Solar thermal, covered systems > 6 m2;Total energy applications;1991;19.0;0.0;20.0;0.0;1.0;0.0
1082;Solar thermal, covered systems > 6 m2;Total energy applications;1992;19.0;0.0;20.0;0.0;1.0;0.0
1083;Solar thermal, covered systems > 6 m2;Total energy applications;1993;22.0;0.0;24.0;0.0;1.0;0.0
1084;Solar thermal, covered systems > 6 m2;Total energy applications;1994;26.0;0.0;28.0;0.0;2.0;0.0
1085;Solar thermal, covered systems > 6 m2;Total energy applications;1995;29.0;0.0;32.0;0.0;2.0;0.0
1086;Solar thermal, covered systems > 6 m2;Total energy applications;1996;32.0;0.0;35.0;0.0;2.0;0.0
1087;Solar thermal, covered systems > 6 m2;Total energy applications;1997;38.0;0.0;41.0;0.0;2.0;0.0
1088;Solar thermal, covered systems > 6 m2;Total energy applications;1998;44.0;0.0;47.0;0.0;3.0;0.0
1089;Solar thermal, covered systems > 6 m2;Total energy applications;1999;48.0;0.0;51.0;0.0;3.0;0.0
1090;Solar thermal, covered systems > 6 m2;Total energy applications;2000;47.0;0.0;51.0;0.0;3.0;0.0
1091;Solar thermal, covered systems > 6 m2;Total energy applications;2001;52.0;0.0;56.0;0.0;3.0;0.0
1092;Solar thermal, covered systems > 6 m2;Total energy applications;2002;60.0;0.0;64.0;0.0;4.0;0.0
1093;Solar thermal, covered systems > 6 m2;Total energy applications;2003;66.0;0.0;71.0;0.0;4.0;0.0
1094;Solar thermal, covered systems > 6 m2;Total energy applications;2004;74.0;0.0;80.0;0.0;5.0;0.0
1095;Solar thermal, covered systems > 6 m2;Total energy applications;2005;79.0;0.0;85.0;0.0;5.0;0.0
1096;Solar thermal, covered systems > 6 m2;Total energy applications;2006;82.0;0.0;88.0;0.0;5.0;0.0
1097;Solar thermal, covered systems > 6 m2;Total energy applications;2007;86.0;0.0;93.0;0.0;5.0;0.0
1098;Solar thermal, covered systems > 6 m2;Total energy applications;2008;92.0;0.0;99.0;0.0;6.0;0.0
1099;Solar thermal, covered systems > 6 m2;Total energy applications;2009;111.0;0.01;119.0;0.0;7.0;0.0
1100;Solar thermal, covered systems > 6 m2;Total energy applications;2010;138.0;0.01;149.0;0.0;8.0;0.0
1101;Solar thermal, covered systems > 6 m2;Total energy applications;2011;151.0;0.01;162.0;0.01;9.0;0.01
1102;Solar thermal, covered systems > 6 m2;Total energy applications;2012;164.0;0.01;177.0;0.01;10.0;0.01
1103;Solar thermal, covered systems > 6 m2;Total energy applications;2013;175.0;0.01;189.0;0.01;11.0;0.01
1104;Solar thermal, covered systems > 6 m2;Total energy applications;2014;181.0;0.01;195.0;0.01;11.0;0.01
1105;Solar thermal, covered systems > 6 m2;Total energy applications;2015;187.0;0.01;201.0;0.01;11.0;0.01
1106;Solar thermal, covered systems > 6 m2;Total energy applications;2016;194.0;0.01;209.0;0.01;12.0;0.01
1107;Solar thermal, covered systems > 6 m2;Total energy applications;2017;204.0;0.01;220.0;0.01;12.0;0.01
1108;Solar thermal, covered systems > 6 m2;Total energy applications;2018;220.0;0.01;237.0;0.01;13.0;0.01
1109;Solar thermal, covered systems > 6 m2;Total energy applications;2019;276.0;0.01;297.0;0.01;17.0;0.01
1110;Solar thermal, covered systems > 6 m2;Electricity;1990;;;;;;
1111;Solar thermal, covered systems > 6 m2;Electricity;1991;;;;;;
1112;Solar thermal, covered systems > 6 m2;Electricity;1992;;;;;;
1113;Solar thermal, covered systems > 6 m2;Electricity;1993;;;;;;
1114;Solar thermal, covered systems > 6 m2;Electricity;1994;;;;;;
1115;Solar thermal, covered systems > 6 m2;Electricity;1995;;;;;;
1116;Solar thermal, covered systems > 6 m2;Electricity;1996;;;;;;
1117;Solar thermal, covered systems > 6 m2;Electricity;1997;;;;;;
1118;Solar thermal, covered systems > 6 m2;Electricity;1998;;;;;;
1119;Solar thermal, covered systems > 6 m2;Electricity;1999;;;;;;
1120;Solar thermal, covered systems > 6 m2;Electricity;2000;;;;;;
1121;Solar thermal, covered systems > 6 m2;Electricity;2001;;;;;;
1122;Solar thermal, covered systems > 6 m2;Electricity;2002;;;;;;
