ID;Perioden;TotaalAlleVrouwen_1;AutochtoneVrouwenIncl2eGeneratie_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;k_26EULanden_10;OverigEuropa_11;Indonesie_12;OverigBuitenEuropa_13
32;2042;1.75;1.79;2.02;1.6;1.75;2.1;1.75;1.75;1.84;1.5;1.4;1.4;1.2
33;2043;1.75;1.79;2.02;1.6;1.75;2.08;1.75;1.75;1.85;1.5;1.4;1.4;1.2
34;2044;1.75;1.79;2.01;1.6;1.75;2.07;1.75;1.75;1.85;1.5;1.4;1.4;1.2
35;2045;1.75;1.79;2.01;1.6;1.75;2.05;1.75;1.75;1.85;1.5;1.4;1.4;1.2
36;2046;1.75;1.79;2.01;1.6;1.75;2.04;1.75;1.75;1.85;1.5;1.4;1.4;1.2
37;2047;1.75;1.79;2.01;1.6;1.75;2.03;1.75;1.75;1.85;1.5;1.4;1.4;1.2
38;2048;1.75;1.79;2.0;1.6;1.75;2.02;1.75;1.75;1.85;1.5;1.4;1.4;1.2
39;2049;1.75;1.79;2.0;1.6;1.75;2.01;1.75;1.75;1.85;1.5;1.4;1.4;1.2
40;2050;1.75;1.79;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
41;2051;1.75;1.79;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
42;2052;1.75;1.79;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
43;2053;1.75;1.79;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
44;2054;1.75;1.78;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
45;2055;1.75;1.78;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
46;2056;1.75;1.78;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
47;2057;1.75;1.78;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
48;2058;1.75;1.78;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
49;2059;1.75;1.78;2.0;1.6;1.75;2.0;1.75;1.75;1.85;1.5;1.4;1.4;1.2
