ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
47;Total;Private households;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2024;88.3;86.3
48;Total;Private households;Type of dwelling: detached house;Value;2002;97.5;92.8
49;Total;Private households;Type of dwelling: detached house;Value;2006;97.7;92.5
50;Total;Private households;Type of dwelling: detached house;Value;2009;97.6;90.5
51;Total;Private households;Type of dwelling: detached house;Value;2012;96.5;91.4
52;Total;Private households;Type of dwelling: detached house;Value;2015;95.8;91.0
53;Total;Private households;Type of dwelling: detached house;Value;2018;95.1;92.4
54;Total;Private households;Type of dwelling: detached house;Value;2021;96.1;92.9
55;Total;Private households;Type of dwelling: detached house;Value;2024;93.8;92.0
56;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2002;97.1;92.2
57;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2006;97.2;91.8
58;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2009;97.1;89.7
59;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2012;96.0;90.6
60;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2015;95.2;90.2
61;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2018;94.6;91.7
62;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2021;95.5;92.2
63;Total;Private households;Type of dwelling: detached house;Lower bound 95% confidence interval;2024;93.1;91.2
64;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2002;97.8;93.3
65;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2006;98.1;93.2
66;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2009;98.0;91.3
67;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2012;97.0;92.1
68;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2015;96.3;91.7
69;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2018;95.7;93.0
70;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2021;96.6;93.6
71;Total;Private households;Type of dwelling: detached house;Upper bound 95% confidence interval;2024;94.5;92.7
72;Total;Private households;Type of dwelling: semi-detached house;Value;2002;96.4;92.3
73;Total;Private households;Type of dwelling: semi-detached house;Value;2006;96.0;90.8
74;Total;Private households;Type of dwelling: semi-detached house;Value;2009;96.0;90.5
75;Total;Private households;Type of dwelling: semi-detached house;Value;2012;94.9;91.3
76;Total;Private households;Type of dwelling: semi-detached house;Value;2015;94.9;90.3
77;Total;Private households;Type of dwelling: semi-detached house;Value;2018;93.7;90.7
78;Total;Private households;Type of dwelling: semi-detached house;Value;2021;95.3;91.6
79;Total;Private households;Type of dwelling: semi-detached house;Value;2024;93.5;90.4
80;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2002;95.8;91.6
81;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2006;95.3;89.9
82;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2009;95.4;89.6
83;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2012;94.2;90.5
84;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2015;94.2;89.5
85;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2018;93.0;90.0
86;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2021;94.7;90.8
87;Total;Private households;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2024;92.7;89.5
88;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2002;96.8;92.9
89;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2006;96.5;91.6
90;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2009;96.6;91.2
91;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2012;95.5;92.1
92;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2015;95.5;91.1
93;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2018;94.3;91.5
94;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2021;95.9;92.4
95;Total;Private households;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2024;94.2;91.3
96;Total;Private households;Type of dwelling: corner house;Value;2002;90.7;84.4
97;Total;Private households;Type of dwelling: corner house;Value;2006;91.7;85.6
98;Total;Private households;Type of dwelling: corner house;Value;2009;91.0;83.1
99;Total;Private households;Type of dwelling: corner house;Value;2012;90.7;84.8
100;Total;Private households;Type of dwelling: corner house;Value;2015;87.7;81.6
101;Total;Private households;Type of dwelling: corner house;Value;2018;84.2;83.0
102;Total;Private households;Type of dwelling: corner house;Value;2021;87.7;83.7
103;Total;Private households;Type of dwelling: corner house;Value;2024;84.7;81.8
104;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2002;89.9;83.5
105;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2006;90.9;84.5
106;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2009;90.1;82.0
107;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2012;89.8;83.7
108;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2015;86.7;80.4
109;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2018;83.2;81.9
110;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2021;86.6;82.6
111;Total;Private households;Type of dwelling: corner house;Lower bound 95% confidence interval;2024;83.5;80.5
112;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2002;91.4;85.3
113;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2006;92.5;86.5
114;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2009;91.7;84.1
115;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2012;91.5;85.8
116;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2015;88.7;82.7
117;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2018;85.3;84.1
118;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2021;88.7;84.8
119;Total;Private households;Type of dwelling: corner house;Upper bound 95% confidence interval;2024;85.8;83.0
120;Total;Private households;Type of dwelling: terraced house;Value;2002;90.8;84.7
121;Total;Private households;Type of dwelling: terraced house;Value;2006;91.2;85.0
122;Total;Private households;Type of dwelling: terraced house;Value;2009;91.1;82.9
123;Total;Private households;Type of dwelling: terraced house;Value;2012;90.5;84.3
124;Total;Private households;Type of dwelling: terraced house;Value;2015;87.7;81.0
125;Total;Private households;Type of dwelling: terraced house;Value;2018;85.0;83.0
126;Total;Private households;Type of dwelling: terraced house;Value;2021;86.2;83.7
127;Total;Private households;Type of dwelling: terraced house;Value;2024;83.7;82.4
128;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2002;90.3;84.1
129;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2006;90.6;84.3
130;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2009;90.6;82.2
131;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2012;89.9;83.6
132;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2015;87.1;80.2
133;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2018;84.3;82.3
134;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2021;85.5;82.9
135;Total;Private households;Type of dwelling: terraced house;Lower bound 95% confidence interval;2024;82.8;81.6
136;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2002;91.2;85.3
137;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2006;91.7;85.6
138;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2009;91.6;83.6
139;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2012;91.0;84.9
140;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2015;88.4;81.7
141;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;85.7;83.7
142;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;87.0;84.5
143;Total;Private households;Type of dwelling: terraced house;Upper bound 95% confidence interval;2024;84.5;83.2
144;Total;Private households;Type of dwelling: multi-family;Value;2002;80.2;76.7
145;Total;Private households;Type of dwelling: multi-family;Value;2006;81.5;79.0
146;Total;Private households;Type of dwelling: multi-family;Value;2009;82.5;77.7
147;Total;Private households;Type of dwelling: multi-family;Value;2012;81.2;77.5
148;Total;Private households;Type of dwelling: multi-family;Value;2015;78.7;75.6
149;Total;Private households;Type of dwelling: multi-family;Value;2018;75.9;76.8
150;Total;Private households;Type of dwelling: multi-family;Value;2021;75.9;76.9
151;Total;Private households;Type of dwelling: multi-family;Value;2024;71.9;76.3
152;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2002;79.5;75.9
153;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2006;80.7;78.2
154;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2009;81.8;76.9
155;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;80.5;76.7
156;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;77.9;74.7
157;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;75.0;76.0
158;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;74.9;76.0
159;Total;Private households;Type of dwelling: multi-family;Lower bound 95% confidence interval;2024;71.0;75.4
160;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2002;80.9;77.4
161;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2006;82.3;79.7
162;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2009;83.2;78.4
163;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;82.0;78.3
164;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;79.5;76.4
165;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;76.7;77.6
166;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;76.8;77.8
167;Total;Private households;Type of dwelling: multi-family;Upper bound 95% confidence interval;2024;72.9;77.2
168;Total;Private households;Living surface: less than  75 m²;Value;2002;80.7;79.0
169;Total;Private households;Living surface: less than  75 m²;Value;2006;80.2;79.9
170;Total;Private households;Living surface: less than  75 m²;Value;2009;81.7;78.5
171;Total;Private households;Living surface: less than  75 m²;Value;2012;80.7;78.7
172;Total;Private households;Living surface: less than  75 m²;Value;2015;74.2;74.9
173;Total;Private households;Living surface: less than  75 m²;Value;2018;70.4;74.6
174;Total;Private households;Living surface: less than  75 m²;Value;2021;71.4;75.5
175;Total;Private households;Living surface: less than  75 m²;Value;2024;67.0;74.5
176;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2002;80.0;78.3
177;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2006;79.3;79.1
178;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2009;81.0;77.7
179;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;79.9;77.9
180;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;73.0;73.8
181;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;69.2;73.4
182;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;70.0;74.2
183;Total;Private households;Living surface: less than  75 m²;Lower bound 95% confidence interval;2024;65.6;73.2
184;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2002;81.4;79.7
185;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2006;81.0;80.8
186;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2009;82.5;79.3
187;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;81.5;79.6
188;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;75.3;76.0
189;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;71.6;75.7
190;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;72.7;76.7
191;Total;Private households;Living surface: less than  75 m²;Upper bound 95% confidence interval;2024;68.4;75.7
192;Total;Private households;Living surface: 75 to 99 m²;Value;2002;86.5;81.1
193;Total;Private households;Living surface: 75 to 99 m²;Value;2006;87.7;81.7
194;Total;Private households;Living surface: 75 to 99 m²;Value;2009;87.4;80.5
195;Total;Private households;Living surface: 75 to 99 m²;Value;2012;86.9;81.7
196;Total;Private households;Living surface: 75 to 99 m²;Value;2015;83.1;77.4
197;Total;Private households;Living surface: 75 to 99 m²;Value;2018;80.4;79.4
198;Total;Private households;Living surface: 75 to 99 m²;Value;2021;80.6;79.6
199;Total;Private households;Living surface: 75 to 99 m²;Value;2024;75.8;77.6
200;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2002;85.7;80.2
201;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2006;86.8;80.7
202;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2009;86.6;79.6
203;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;86.0;80.7
204;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;82.3;76.5
205;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;79.5;78.5
206;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;79.6;78.6
207;Total;Private households;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2024;74.7;76.6
208;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2002;87.3;82.0
209;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2006;88.5;82.6
210;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2009;88.2;81.4
211;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;87.7;82.6
212;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;84.0;78.3
213;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;81.3;80.2
214;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;81.6;80.6
215;Total;Private households;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2024;76.9;78.6
216;Total;Private households;Living surface: 100 to 149 m²;Value;2002;92.9;86.3
217;Total;Private households;Living surface: 100 to 149 m²;Value;2006;92.9;86.7
218;Total;Private households;Living surface: 100 to 149 m²;Value;2009;92.9;84.7
219;Total;Private households;Living surface: 100 to 149 m²;Value;2012;92.1;85.7
220;Total;Private households;Living surface: 100 to 149 m²;Value;2015;90.9;84.3
221;Total;Private households;Living surface: 100 to 149 m²;Value;2018;88.6;86.1
222;Total;Private households;Living surface: 100 to 149 m²;Value;2021;90.2;85.8
223;Total;Private households;Living surface: 100 to 149 m²;Value;2024;87.8;84.7
224;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2002;92.5;85.7
225;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2006;92.4;86.1
226;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2009;92.5;84.0
227;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;91.6;85.0
228;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;90.4;83.7
229;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;88.1;85.5
230;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;89.6;85.2
231;Total;Private households;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2024;87.1;84.0
232;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2002;93.3;86.8
233;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2006;93.4;87.4
234;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2009;93.4;85.3
235;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;92.6;86.3
236;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;91.4;84.8
237;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;89.1;86.6
238;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;90.7;86.4
239;Total;Private households;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2024;88.4;85.3
240;Total;Private households;Living surface: 150 m² or more;Value;2002;96.4;90.3
241;Total;Private households;Living surface: 150 m² or more;Value;2006;96.7;89.9
242;Total;Private households;Living surface: 150 m² or more;Value;2009;96.8;88.9
243;Total;Private households;Living surface: 150 m² or more;Value;2012;96.3;90.2
244;Total;Private households;Living surface: 150 m² or more;Value;2015;96.1;90.2
245;Total;Private households;Living surface: 150 m² or more;Value;2018;95.6;91.5
246;Total;Private households;Living surface: 150 m² or more;Value;2021;96.1;92.8
247;Total;Private households;Living surface: 150 m² or more;Value;2024;94.5;91.7
248;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2002;96.0;89.7
249;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2006;96.3;89.3
250;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2009;96.4;88.3
251;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;95.9;89.6
252;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;95.6;89.4
253;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;95.1;90.9
254;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;95.5;92.2
255;Total;Private households;Living surface: 150 m² or more;Lower bound 95% confidence interval;2024;94.0;91.0
256;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2002;96.7;90.7
257;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2006;97.0;90.4
258;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2009;97.1;89.5
259;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;96.7;90.8
260;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;96.5;90.8
261;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;96.0;92.1
262;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;96.5;93.4
263;Total;Private households;Living surface: 150 m² or more;Upper bound 95% confidence interval;2024;95.1;92.3
264;Total;Private households;Number of rooms: 2 or less;Value;2002;76.9;78.7
265;Total;Private households;Number of rooms: 2 or less;Value;2006;77.4;81.5
266;Total;Private households;Number of rooms: 2 or less;Value;2009;79.6;79.1
267;Total;Private households;Number of rooms: 2 or less;Value;2012;78.6;76.8
268;Total;Private households;Number of rooms: 2 or less;Value;2015;73.9;75.2
269;Total;Private households;Number of rooms: 2 or less;Value;2018;71.6;75.6
270;Total;Private households;Number of rooms: 2 or less;Value;2021;71.0;77.2
271;Total;Private households;Number of rooms: 2 or less;Value;2024;67.4;75.4
272;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2002;75.5;77.3
273;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2006;75.7;80.0
274;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2009;78.2;77.6
275;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2012;76.9;75.2
276;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2015;72.2;73.6
277;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2018;69.9;74.0
278;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2021;69.1;75.4
279;Total;Private households;Number of rooms: 2 or less;Lower bound 95% confidence interval;2024;65.5;73.6
280;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2002;78.2;80.0
281;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2006;79.0;83.0
282;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2009;81.0;80.5
283;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2012;80.1;78.4
284;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2015;75.5;76.9
285;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2018;73.3;77.2
286;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2021;72.8;78.8
287;Total;Private households;Number of rooms: 2 or less;Upper bound 95% confidence interval;2024;69.2;77.0
288;Total;Private households;Number of rooms: 3;Value;2002;85.1;80.3
289;Total;Private households;Number of rooms: 3;Value;2006;85.5;81.4
290;Total;Private households;Number of rooms: 3;Value;2009;86.8;80.6
291;Total;Private households;Number of rooms: 3;Value;2012;84.5;80.9
292;Total;Private households;Number of rooms: 3;Value;2015;82.9;78.3
293;Total;Private households;Number of rooms: 3;Value;2018;79.6;79.7
294;Total;Private households;Number of rooms: 3;Value;2021;80.6;80.1
295;Total;Private households;Number of rooms: 3;Value;2024;76.8;79.2
296;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2002;84.3;79.5
297;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2006;84.6;80.4
298;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2009;86.1;79.7
299;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2012;83.6;79.9
300;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2015;82.0;77.3
301;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2018;78.6;78.7
302;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2021;79.5;79.0
303;Total;Private households;Number of rooms: 3;Lower bound 95% confidence interval;2024;75.7;78.2
304;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2002;85.9;81.2
305;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2006;86.3;82.3
306;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2009;87.6;81.5
307;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2012;85.4;81.8
308;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2015;83.8;79.2
309;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2018;80.6;80.6
310;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2021;81.7;81.2
311;Total;Private households;Number of rooms: 3;Upper bound 95% confidence interval;2024;77.9;80.2
312;Total;Private households;Number of rooms: 4;Value;2002;88.3;83.3
313;Total;Private households;Number of rooms: 4;Value;2006;89.6;84.0
314;Total;Private households;Number of rooms: 4;Value;2009;88.5;81.8
315;Total;Private households;Number of rooms: 4;Value;2012;88.0;82.8
316;Total;Private households;Number of rooms: 4;Value;2015;85.2;80.2
317;Total;Private households;Number of rooms: 4;Value;2018;83.0;81.5
318;Total;Private households;Number of rooms: 4;Value;2021;83.7;81.8
319;Total;Private households;Number of rooms: 4;Value;2024;81.5;81.4
320;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2002;87.8;82.7
321;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2006;89.0;83.3
