ID;Geslacht;Leeftijd;Herkomst;Generatie;BurgerlijkeStaat;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
10;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gehuwd;2007;5505350.0;5200.0;8300.0;28.0;5200.0;11900.0;40.0;68.0;10400.0;20200.0;68.0
11;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gehuwd;2008;5448850.0;5400.0;8500.0;28.0;5300.0;12300.0;40.0;67.0;10700.0;20800.0;68.0
12;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gehuwd;2009;5396350.0;5700.0;9000.0;29.0;5200.0;11300.0;36.0;61.0;10900.0;20300.0;65.0
13;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gehuwd;2010;5343550.0;5800.0;9100.0;28.0;4900.0;11000.0;34.0;59.0;10700.0;20100.0;62.0
14;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gehuwd;2011;5233750.0;5900.0;9200.0;28.0;4800.0;10900.0;33.0;58.0;10700.0;20100.0;61.0
15;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gehuwd;2012;5128100.0;5900.0;9300.0;27.0;4400.0;10400.0;31.0;56.0;10300.0;19700.0;58.0
16;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2005;4387200.0;2600.0;10300.0;61.0;1300.0;5900.0;35.0;19.0;3900.0;16200.0;96.0
17;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2006;4439400.0;2700.0;10500.0;58.0;1300.0;6900.0;38.0;20.0;4000.0;17400.0;96.0
18;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2007;4486400.0;2800.0;10800.0;57.0;1600.0;7700.0;41.0;20.0;4400.0;18500.0;98.0
19;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2008;4568200.0;2900.0;11100.0;56.0;1600.0;8000.0;41.0;21.0;4500.0;19100.0;97.0
20;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2009;4643300.0;3100.0;11600.0;58.0;1500.0;7000.0;35.0;18.0;4600.0;18600.0;93.0
21;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2010;4719950.0;3200.0;11700.0;58.0;1500.0;6700.0;34.0;18.0;4700.0;18400.0;92.0
22;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2011;4800200.0;3200.0;11900.0;58.0;1500.0;6700.0;33.0;18.0;4700.0;18600.0;91.0
23;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Ongehuwd;2012;4868750.0;3300.0;12000.0;59.0;1300.0;6300.0;31.0;16.0;4600.0;18300.0;90.0
24;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2005;837500.0;6300.0;9800.0;40.0;3700.0;7400.0;30.0;37.0;10000.0;17200.0;70.0
25;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2006;853600.0;6500.0;9900.0;38.0;3800.0;8200.0;31.0;38.0;10300.0;18100.0;69.0
26;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2007;910300.0;6700.0;10300.0;37.0;4300.0;9400.0;34.0;40.0;11000.0;19700.0;71.0
27;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2008;924950.0;7000.0;10600.0;37.0;4600.0;9900.0;34.0;42.0;11600.0;20500.0;71.0
28;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2009;933000.0;7400.0;11100.0;37.0;4400.0;9000.0;30.0;38.0;11800.0;20100.0;67.0
29;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2010;941050.0;7500.0;11200.0;37.0;4300.0;8700.0;29.0;38.0;11800.0;19900.0;66.0
30;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2011;941900.0;7700.0;11500.0;37.0;4200.0;8600.0;28.0;37.0;11900.0;20100.0;65.0
31;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Gescheiden;2012;946050.0;7900.0;11600.0;37.0;3800.0;8100.0;26.0;36.0;11700.0;19700.0;63.0
32;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2005;161100.0;8500.0;10500.0;37.0;4500.0;5800.0;20.0;63.0;13000.0;16300.0;57.0
33;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2006;159750.0;8600.0;10600.0;36.0;4300.0;5900.0;20.0;63.0;12900.0;16500.0;56.0
34;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2007;157800.0;9000.0;10900.0;35.0;4900.0;6600.0;21.0;64.0;13900.0;17500.0;56.0
35;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2008;155200.0;9300.0;11300.0;35.0;5700.0;7500.0;23.0;66.0;15000.0;18800.0;58.0
36;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2009;152700.0;9700.0;11800.0;44.0;5000.0;6700.0;25.0;63.0;14700.0;18500.0;69.0
37;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2010;150750.0;9900.0;11900.0;43.0;4800.0;6500.0;23.0;64.0;14700.0;18400.0;66.0
38;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2011;143500.0;10000.0;12100.0;42.0;4900.0;6700.0;23.0;63.0;14900.0;18800.0;65.0
39;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Verweduwd;2012;137400.0;10100.0;12300.0;41.0;4500.0;6300.0;21.0;59.0;14600.0;18600.0;62.0
40;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2005;5385850.0;3400.0;10300.0;56.0;1800.0;6200.0;33.0;23.0;5200.0;16500.0;89.0
41;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2006;5452750.0;3500.0;10400.0;53.0;1800.0;7100.0;36.0;24.0;5300.0;17500.0;89.0
42;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2007;5554500.0;3600.0;10700.0;52.0;2100.0;7900.0;38.0;25.0;5700.0;18600.0;90.0
43;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2008;5648350.0;3800.0;11000.0;51.0;2200.0;8300.0;38.0;26.0;6000.0;19300.0;89.0
44;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2009;5729000.0;4000.0;11500.0;53.0;2100.0;7300.0;34.0;23.0;6100.0;18800.0;87.0
45;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2010;5811700.0;4000.0;11600.0;53.0;2000.0;7100.0;32.0;23.0;6000.0;18700.0;85.0
46;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2011;5885600.0;4100.0;11800.0;53.0;2000.0;7000.0;31.0;22.0;6100.0;18800.0;84.0
47;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal alle generaties;Niet gehuwd;2012;5952150.0;4200.0;12000.0;53.0;1800.0;6600.0;29.0;20.0;6000.0;18600.0;82.0
48;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2005;1364950.0;2700.0;7800.0;47.0;1400.0;4600.0;28.0;21.0;4100.0;12400.0;75.0
49;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2006;1362400.0;2800.0;7900.0;45.0;1500.0;5400.0;30.0;21.0;4300.0;13300.0;75.0
50;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2007;1378550.0;2900.0;8200.0;43.0;1700.0;6200.0;33.0;22.0;4600.0;14400.0;76.0
51;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2008;1417050.0;3000.0;8400.0;43.0;1700.0;6300.0;32.0;24.0;4700.0;14700.0;75.0
52;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2009;1445650.0;3200.0;8800.0;45.0;900.0;2200.0;11.0;20.0;4100.0;11000.0;56.0
53;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2010;1472600.0;3300.0;8900.0;45.0;900.0;2100.0;10.0;20.0;4200.0;11000.0;55.0
54;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2011;1500950.0;3400.0;9100.0;44.0;800.0;2000.0;10.0;19.0;4200.0;11100.0;54.0
55;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Totaal burgerlijke staat;2012;1512300.0;3400.0;9100.0;44.0;700.0;1800.0;9.0;18.0;4100.0;10900.0;53.0
56;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2005;680550.0;2900.0;6600.0;36.0;1800.0;5400.0;29.0;30.0;4700.0;12000.0;65.0
57;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2006;679850.0;3000.0;6700.0;34.0;1900.0;6200.0;31.0;31.0;4900.0;12900.0;65.0
58;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2007;672550.0;3100.0;7000.0;33.0;2200.0;7100.0;34.0;32.0;5300.0;14100.0;67.0
59;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2008;679000.0;3300.0;7200.0;32.0;2200.0;7300.0;33.0;33.0;5500.0;14500.0;65.0
60;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2009;690350.0;3500.0;7500.0;34.0;1100.0;2300.0;10.0;28.0;4600.0;9800.0;44.0
61;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2010;694200.0;3600.0;7600.0;34.0;1000.0;2200.0;10.0;28.0;4600.0;9800.0;44.0
62;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2011;695950.0;3700.0;7700.0;33.0;1000.0;2100.0;9.0;27.0;4700.0;9800.0;42.0
63;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gehuwd;2012;695500.0;3700.0;7800.0;33.0;900.0;1900.0;8.0;26.0;4600.0;9700.0;41.0
64;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2005;503750.0;1800.0;9200.0;72.0;700.0;3800.0;29.0;9.0;2500.0;13000.0;101.0
65;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2006;498400.0;1900.0;9300.0;67.0;700.0;4500.0;32.0;10.0;2600.0;13800.0;99.0
66;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2007;515950.0;2000.0;9600.0;64.0;900.0;5200.0;35.0;10.0;2900.0;14800.0;99.0
67;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2008;543650.0;2100.0;9800.0;63.0;800.0;5400.0;34.0;15.0;2900.0;15200.0;97.0
68;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2009;556850.0;2200.0;10200.0;65.0;500.0;1800.0;12.0;10.0;2700.0;12000.0;77.0
69;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2010;578350.0;2200.0;10300.0;65.0;500.0;1700.0;11.0;10.0;2700.0;12000.0;76.0
70;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2011;603900.0;2300.0;10400.0;65.0;500.0;1600.0;10.0;10.0;2800.0;12000.0;75.0
71;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Ongehuwd;2012;614700.0;2300.0;10400.0;64.0;400.0;1400.0;9.0;9.0;2700.0;11800.0;73.0
72;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2005;161250.0;4300.0;8400.0;43.0;1900.0;4400.0;22.0;17.0;6200.0;12800.0;65.0
73;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2006;164500.0;4500.0;8500.0;41.0;1900.0;4900.0;24.0;18.0;6400.0;13400.0;65.0
74;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2007;170400.0;4700.0;8800.0;41.0;2200.0;5700.0;26.0;19.0;6900.0;14500.0;67.0
75;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2008;174400.0;4900.0;9100.0;40.0;2300.0;5800.0;26.0;21.0;7200.0;14900.0;66.0
76;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2009;178100.0;5200.0;9400.0;41.0;1500.0;3000.0;13.0;18.0;6700.0;12400.0;54.0
77;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2010;179500.0;5400.0;9600.0;41.0;1500.0;2900.0;12.0;18.0;6900.0;12500.0;53.0
78;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2011;180650.0;5600.0;9700.0;41.0;1400.0;2700.0;12.0;17.0;7000.0;12400.0;53.0
79;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Gescheiden;2012;181850.0;5800.0;9900.0;42.0;1300.0;2500.0;11.0;16.0;7100.0;12400.0;53.0
80;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2005;19400.0;5200.0;7900.0;37.0;2200.0;3100.0;15.0;31.0;7400.0;11000.0;52.0
81;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2006;19700.0;5300.0;8000.0;38.0;2100.0;3200.0;15.0;30.0;7400.0;11200.0;53.0
82;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2007;19600.0;5600.0;8300.0;37.0;2300.0;3500.0;16.0;32.0;7900.0;11800.0;53.0
83;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2008;19950.0;5800.0;8600.0;37.0;2800.0;4000.0;17.0;33.0;8600.0;12600.0;54.0
84;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2009;20350.0;6200.0;9000.0;51.0;1500.0;2100.0;12.0;31.0;7700.0;11100.0;63.0
85;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2010;20550.0;6300.0;9200.0;50.0;1500.0;2000.0;11.0;31.0;7800.0;11200.0;61.0
86;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2011;20450.0;6500.0;9300.0;50.0;1400.0;2000.0;11.0;31.0;7900.0;11300.0;61.0
87;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Verweduwd;2012;20350.0;6700.0;9500.0;50.0;1300.0;1800.0;10.0;29.0;8000.0;11300.0;60.0
88;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2005;684400.0;2500.0;9000.0;61.0;1000.0;3900.0;27.0;12.0;3500.0;12900.0;88.0
89;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2006;682550.0;2700.0;9100.0;58.0;1000.0;4500.0;29.0;12.0;3700.0;13600.0;87.0
90;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2007;706000.0;2800.0;9300.0;56.0;1200.0;5300.0;32.0;13.0;4000.0;14600.0;88.0
91;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2008;738050.0;2800.0;9600.0;55.0;1200.0;5500.0;31.0;17.0;4000.0;15100.0;86.0
92;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2009;755300.0;3000.0;10000.0;57.0;800.0;2100.0;12.0;12.0;3800.0;12100.0;69.0
93;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2010;778400.0;3100.0;10100.0;57.0;700.0;2000.0;11.0;12.0;3800.0;12100.0;68.0
94;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2011;805000.0;3200.0;10200.0;57.0;700.0;1800.0;10.0;12.0;3900.0;12000.0;67.0
95;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Eerste generatie allochtonen;Niet gehuwd;2012;816850.0;3200.0;10300.0;57.0;600.0;1700.0;9.0;11.0;3800.0;12000.0;66.0
96;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2005;845900.0;3500.0;9700.0;50.0;2500.0;6900.0;36.0;31.0;6000.0;16600.0;86.0
97;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2006;864500.0;3500.0;9900.0;47.0;2500.0;7800.0;37.0;31.0;6000.0;17700.0;84.0
98;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2007;884550.0;3700.0;10200.0;47.0;2800.0;8700.0;40.0;31.0;6500.0;18900.0;87.0
99;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2008;905200.0;3800.0;10600.0;47.0;2900.0;9000.0;40.0;31.0;6700.0;19600.0;87.0
100;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2009;927700.0;3900.0;11100.0;49.0;2600.0;7000.0;31.0;27.0;6500.0;18100.0;80.0
101;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2010;949500.0;4000.0;11200.0;50.0;2400.0;6600.0;29.0;25.0;6400.0;17800.0;79.0
102;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2011;966850.0;4000.0;11400.0;50.0;2200.0;6400.0;28.0;24.0;6200.0;17800.0;78.0
103;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Totaal burgerlijke staat;2012;985400.0;4100.0;11600.0;50.0;2000.0;6000.0;26.0;22.0;6100.0;17600.0;76.0
104;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Gehuwd;2005;303200.0;4800.0;8100.0;29.0;4800.0;10700.0;38.0;60.0;9600.0;18800.0;67.0
105;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Gehuwd;2006;302300.0;4900.0;8200.0;27.0;4800.0;11900.0;39.0;61.0;9700.0;20100.0;66.0
106;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Gehuwd;2007;301350.0;5100.0;8500.0;27.0;5500.0;13100.0;41.0;61.0;10600.0;21600.0;68.0
107;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Gehuwd;2008;302500.0;5200.0;8700.0;26.0;5500.0;13600.0;41.0;59.0;10700.0;22300.0;67.0
108;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Tweede generatie allochtonen;Gehuwd;2009;304600.0;5500.0;9200.0;28.0;5000.0;11200.0;34.0;52.0;10500.0;20400.0;62.0
