ID;Landen;Perioden;Asielverzoeken_1
164;Estland;1994;0
165;Estland;1995;0
166;Estland;1996;0
167;Estland;1997;0
168;Estland;1998;0
169;Estland;1999;0
170;Estland;2000;0
171;Estland;2001;0
172;Estland;2002;0
173;Estland;2003;0
174;Estland;2004;0
175;Estland;2005;0
176;Estland;2006;0
177;Estland;2007;0
178;Estland;2008;0
179;Estland;2009;0
180;Finland;1990;3
181;Finland;1991;2
182;Finland;1992;4
183;Finland;1993;2
184;Finland;1994;1
185;Finland;1995;1
186;Finland;1996;1
187;Finland;1997;1
188;Finland;1998;1
189;Finland;1999;3
190;Finland;2000;3
191;Finland;2001;2
192;Finland;2002;3
193;Finland;2003;3
194;Finland;2004;4
195;Finland;2005;4
196;Finland;2006;2
197;Finland;2007;1
198;Finland;2008;4
199;Finland;2009;6
200;Frankrijk;1990;55
201;Frankrijk;1991;47
202;Frankrijk;1992;29
203;Frankrijk;1993;28
204;Frankrijk;1994;26
205;Frankrijk;1995;20
206;Frankrijk;1996;17
207;Frankrijk;1997;21
208;Frankrijk;1998;22
209;Frankrijk;1999;31
210;Frankrijk;2000;39
211;Frankrijk;2001;54
212;Frankrijk;2002;59
213;Frankrijk;2003;60
214;Frankrijk;2004;59
215;Frankrijk;2005;50
216;Frankrijk;2006;31
217;Frankrijk;2007;29
218;Frankrijk;2008;35
219;Frankrijk;2009;42
220;Griekenland;1990;6
221;Griekenland;1991;3
222;Griekenland;1992;2
223;Griekenland;1993;1
224;Griekenland;1994;1
225;Griekenland;1995;1
226;Griekenland;1996;2
227;Griekenland;1997;4
228;Griekenland;1998;3
229;Griekenland;1999;2
230;Griekenland;2000;3
231;Griekenland;2001;6
232;Griekenland;2002;6
233;Griekenland;2003;8
234;Griekenland;2004;4
235;Griekenland;2005;9
236;Griekenland;2006;12
237;Griekenland;2007;25
238;Griekenland;2008;20
239;Griekenland;2009;16
240;Hongarije;1990;4
241;Hongarije;1991;1
242;Hongarije;1992;0
243;Hongarije;1993;0
244;Hongarije;1994;0
245;Hongarije;1995;0
246;Hongarije;1996;0
247;Hongarije;1997;0
248;Hongarije;1998;7
249;Hongarije;1999;12
250;Hongarije;2000;8
251;Hongarije;2001;10
252;Hongarije;2002;6
253;Hongarije;2003;2
254;Hongarije;2004;2
255;Hongarije;2005;2
256;Hongarije;2006;2
257;Hongarije;2007;3
258;Hongarije;2008;3
259;Hongarije;2009;5
260;Ierland;1990;0
261;Ierland;1991;0
262;Ierland;1992;0
263;Ierland;1993;0
264;Ierland;1994;0
265;Ierland;1995;0
266;Ierland;1996;1
267;Ierland;1997;4
268;Ierland;1998;5
269;Ierland;1999;8
270;Ierland;2000;11
271;Ierland;2001;10
272;Ierland;2002;12
273;Ierland;2003;8
274;Ierland;2004;5
275;Ierland;2005;4
276;Ierland;2006;4
277;Ierland;2007;4
278;Ierland;2008;4
279;Ierland;2009;3
280;Italië;1990;5
281;Italië;1991;23
282;Italië;1992;6
283;Italië;1993;2
284;Italië;1994;2
285;Italië;1995;2
286;Italië;1996;1
287;Italië;1997;2
288;Italië;1998;11
289;Italië;1999;33
290;Italië;2000;16
291;Italië;2001;10
292;Italië;2002;16
293;Italië;2003;13
294;Italië;2004;10
295;Italië;2005;10
296;Italië;2006;10
297;Italië;2007;14
298;Italië;2008;30
299;Italië;2009;18
300;Letland;1990;0
301;Letland;1991;0
302;Letland;1992;0
303;Letland;1993;0
304;Letland;1994;0
305;Letland;1995;0
306;Letland;1996;0
307;Letland;1997;0
308;Letland;1998;0
309;Letland;1999;0
310;Letland;2000;0
311;Letland;2001;0
312;Letland;2002;0
313;Letland;2003;0
314;Letland;2004;0
315;Letland;2005;0
316;Letland;2006;0
317;Letland;2007;0
318;Letland;2008;0
319;Letland;2009;0
320;Litouwen;1990;0
321;Litouwen;1991;0
322;Litouwen;1992;0
323;Litouwen;1993;0
324;Litouwen;1994;0
325;Litouwen;1995;0
326;Litouwen;1996;0
327;Litouwen;1997;0
328;Litouwen;1998;0
329;Litouwen;1999;0
330;Litouwen;2000;0
331;Litouwen;2001;0
332;Litouwen;2002;0
333;Litouwen;2003;0
334;Litouwen;2004;0
335;Litouwen;2005;0
336;Litouwen;2006;0
337;Litouwen;2007;0
338;Litouwen;2008;0
339;Litouwen;2009;0
340;Luxemburg;1990;0
341;Luxemburg;1991;0
342;Luxemburg;1992;0
343;Luxemburg;1993;0
344;Luxemburg;1994;0
345;Luxemburg;1995;0
346;Luxemburg;1996;0
347;Luxemburg;1997;0
348;Luxemburg;1998;2
349;Luxemburg;1999;3
350;Luxemburg;2000;1
351;Luxemburg;2001;1
352;Luxemburg;2002;1
353;Luxemburg;2003;2
354;Luxemburg;2004;2
355;Luxemburg;2005;1
356;Luxemburg;2006;1
357;Luxemburg;2007;0
358;Luxemburg;2008;0
359;Luxemburg;2009;1
360;Malta;1990;0
361;Malta;1991;0
362;Malta;1992;0
363;Malta;1993;0
364;Malta;1994;0
365;Malta;1995;0
366;Malta;1996;0
367;Malta;1997;0
368;Malta;1998;0
369;Malta;1999;0
370;Malta;2000;0
371;Malta;2001;0
372;Malta;2002;0
373;Malta;2003;1
374;Malta;2004;1
375;Malta;2005;1
376;Malta;2006;1
377;Malta;2007;1
378;Malta;2008;3
379;Malta;2009;2
380;Nederland, totaal asielverzoeken;1990;21
381;Nederland, totaal asielverzoeken;1991;22
382;Nederland, totaal asielverzoeken;1992;20
383;Nederland, totaal asielverzoeken;1993;35
384;Nederland, totaal asielverzoeken;1994;53
385;Nederland, totaal asielverzoeken;1995;29
386;Nederland, totaal asielverzoeken;1996;22
387;Nederland, totaal asielverzoeken;1997;34
388;Nederland, totaal asielverzoeken;1998;45
389;Nederland, totaal asielverzoeken;1999;43
390;Nederland, totaal asielverzoeken;2000;44
391;Nederland, totaal asielverzoeken;2001;33
392;Nederland, totaal asielverzoeken;2002;19
393;Nederland, totaal asielverzoeken;2003;13
394;Nederland, totaal asielverzoeken;2004;10
395;Nederland, totaal asielverzoeken;2005;12
396;Nederland, totaal asielverzoeken;2006;14
397;Nederland, totaal asielverzoeken;2007;10
398;Nederland, totaal asielverzoeken;2008;15
399;Nederland, totaal asielverzoeken;2009;16
400;Nederland, eerste asielverzoeken;1990;0
401;Nederland, eerste asielverzoeken;1991;0
402;Nederland, eerste asielverzoeken;1992;0
403;Nederland, eerste asielverzoeken;1993;0
404;Nederland, eerste asielverzoeken;1994;0
405;Nederland, eerste asielverzoeken;1995;0
406;Nederland, eerste asielverzoeken;1996;0
407;Nederland, eerste asielverzoeken;1997;0
408;Nederland, eerste asielverzoeken;1998;0
409;Nederland, eerste asielverzoeken;1999;0
410;Nederland, eerste asielverzoeken;2000;0
411;Nederland, eerste asielverzoeken;2001;0
412;Nederland, eerste asielverzoeken;2002;0
413;Nederland, eerste asielverzoeken;2003;0
414;Nederland, eerste asielverzoeken;2004;0
415;Nederland, eerste asielverzoeken;2005;0
416;Nederland, eerste asielverzoeken;2006;0
417;Nederland, eerste asielverzoeken;2007;7
418;Nederland, eerste asielverzoeken;2008;13
419;Nederland, eerste asielverzoeken;2009;15
420;Nederland, volgende asielverzoeken;1990;0
421;Nederland, volgende asielverzoeken;1991;0
422;Nederland, volgende asielverzoeken;1992;0
423;Nederland, volgende asielverzoeken;1993;0
424;Nederland, volgende asielverzoeken;1994;0
425;Nederland, volgende asielverzoeken;1995;0
426;Nederland, volgende asielverzoeken;1996;0
427;Nederland, volgende asielverzoeken;1997;0
428;Nederland, volgende asielverzoeken;1998;0
429;Nederland, volgende asielverzoeken;1999;0
430;Nederland, volgende asielverzoeken;2000;0
431;Nederland, volgende asielverzoeken;2001;0
432;Nederland, volgende asielverzoeken;2002;0
433;Nederland, volgende asielverzoeken;2003;0
434;Nederland, volgende asielverzoeken;2004;0
435;Nederland, volgende asielverzoeken;2005;0
436;Nederland, volgende asielverzoeken;2006;0
437;Nederland, volgende asielverzoeken;2007;2
438;Nederland, volgende asielverzoeken;2008;2
439;Nederland, volgende asielverzoeken;2009;1
440;Oostenrijk;1990;23
441;Oostenrijk;1991;27
442;Oostenrijk;1992;16
443;Oostenrijk;1993;5
444;Oostenrijk;1994;5
445;Oostenrijk;1995;6
446;Oostenrijk;1996;7
447;Oostenrijk;1997;7
448;Oostenrijk;1998;14
449;Oostenrijk;1999;20
450;Oostenrijk;2000;18
451;Oostenrijk;2001;30
452;Oostenrijk;2002;39
453;Oostenrijk;2003;32
454;Oostenrijk;2004;25
455;Oostenrijk;2005;22
456;Oostenrijk;2006;13
457;Oostenrijk;2007;12
458;Oostenrijk;2008;13
459;Oostenrijk;2009;16
460;Polen;1990;0
461;Polen;1991;2
462;Polen;1992;1
463;Polen;1993;1
464;Polen;1994;1
465;Polen;1995;1
466;Polen;1996;3
467;Polen;1997;4
468;Polen;1998;3
469;Polen;1999;3
470;Polen;2000;5
471;Polen;2001;5
472;Polen;2002;5
473;Polen;2003;7
474;Polen;2004;8
475;Polen;2005;7
476;Polen;2006;4
477;Polen;2007;7
478;Polen;2008;7
479;Polen;2009;11
480;Portugal;1990;0
481;Portugal;1991;0
482;Portugal;1992;1
483;Portugal;1993;2
484;Portugal;1994;1
485;Portugal;1995;0
486;Portugal;1996;0
487;Portugal;1997;0
488;Portugal;1998;0
489;Portugal;1999;0
490;Portugal;2000;0
491;Portugal;2001;0
492;Portugal;2002;0
493;Portugal;2003;0
494;Portugal;2004;0
495;Portugal;2005;0
496;Portugal;2006;0
497;Portugal;2007;0
498;Portugal;2008;0
499;Portugal;2009;0
500;Roemenië;1990;0
501;Roemenië;1991;1
502;Roemenië;1992;1
503;Roemenië;1993;0
504;Roemenië;1994;0
505;Roemenië;1995;0
506;Roemenië;1996;1
507;Roemenië;1997;1
508;Roemenië;1998;1
509;Roemenië;1999;2
510;Roemenië;2000;1
511;Roemenië;2001;2
512;Roemenië;2002;1
513;Roemenië;2003;1
514;Roemenië;2004;1
515;Roemenië;2005;1
516;Roemenië;2006;0
517;Roemenië;2007;1
518;Roemenië;2008;1
519;Roemenië;2009;1
520;Slovenië;1990;0
521;Slovenië;1991;0
522;Slovenië;1992;0
523;Slovenië;1993;0
524;Slovenië;1994;0
525;Slovenië;1995;0
526;Slovenië;1996;0
527;Slovenië;1997;0
528;Slovenië;1998;1
529;Slovenië;1999;1
530;Slovenië;2000;9
531;Slovenië;2001;2
532;Slovenië;2002;1
533;Slovenië;2003;1
534;Slovenië;2004;1
535;Slovenië;2005;2
536;Slovenië;2006;1
537;Slovenië;2007;0
538;Slovenië;2008;0
539;Slovenië;2009;0
540;Slowakije;1990;0
541;Slowakije;1991;0
542;Slowakije;1992;0
543;Slowakije;1993;0
544;Slowakije;1994;0
545;Slowakije;1995;0
546;Slowakije;1996;0
547;Slowakije;1997;1
548;Slowakije;1998;1
549;Slowakije;1999;1
550;Slowakije;2000;2
551;Slowakije;2001;8
552;Slowakije;2002;10
553;Slowakije;2003;10
554;Slowakije;2004;11
555;Slowakije;2005;4
556;Slowakije;2006;3
557;Slowakije;2007;3
558;Slowakije;2008;1
559;Slowakije;2009;1
560;Spanje;1990;9
561;Spanje;1991;8
562;Spanje;1992;12
563;Spanje;1993;13
564;Spanje;1994;12
565;Spanje;1995;6
566;Spanje;1996;5
567;Spanje;1997;5
568;Spanje;1998;7
569;Spanje;1999;8
570;Spanje;2000;8
571;Spanje;2001;9
572;Spanje;2002;6
573;Spanje;2003;6
574;Spanje;2004;6
575;Spanje;2005;5
576;Spanje;2006;5
577;Spanje;2007;8
578;Spanje;2008;5
579;Spanje;2009;3
580;Tsjechië;1990;2
581;Tsjechië;1991;2
582;Tsjechië;1992;1
583;Tsjechië;1993;2
584;Tsjechië;1994;1
585;Tsjechië;1995;1
586;Tsjechië;1996;2
587;Tsjechië;1997;2
588;Tsjechië;1998;4
589;Tsjechië;1999;7
590;Tsjechië;2000;9
591;Tsjechië;2001;18
592;Tsjechië;2002;8
593;Tsjechië;2003;11
594;Tsjechië;2004;5
595;Tsjechië;2005;4
596;Tsjechië;2006;3
597;Tsjechië;2007;2
598;Tsjechië;2008;2
599;Tsjechië;2009;1
600;Verenigd Koninkrijk;1990;38
601;Verenigd Koninkrijk;1991;73
602;Verenigd Koninkrijk;1992;32
603;Verenigd Koninkrijk;1993;28
604;Verenigd Koninkrijk;1994;42
605;Verenigd Koninkrijk;1995;55
606;Verenigd Koninkrijk;1996;37
607;Verenigd Koninkrijk;1997;42
608;Verenigd Koninkrijk;1998;59
609;Verenigd Koninkrijk;1999;91
610;Verenigd Koninkrijk;2000;99
611;Verenigd Koninkrijk;2001;92
612;Verenigd Koninkrijk;2002;103
613;Verenigd Koninkrijk;2003;60
614;Verenigd Koninkrijk;2004;41
615;Verenigd Koninkrijk;2005;31
616;Verenigd Koninkrijk;2006;28
617;Verenigd Koninkrijk;2007;28
618;Verenigd Koninkrijk;2008;31
619;Verenigd Koninkrijk;2009;30
620;Zweden;1990;29
621;Zweden;1991;27
622;Zweden;1992;84
623;Zweden;1993;38
624;Zweden;1994;19
625;Zweden;1995;9
626;Zweden;1996;6
627;Zweden;1997;10
628;Zweden;1998;13
629;Zweden;1999;11
630;Zweden;2000;16
631;Zweden;2001;24
632;Zweden;2002;33
633;Zweden;2003;31
634;Zweden;2004;23
635;Zweden;2005;18
636;Zweden;2006;24
637;Zweden;2007;36
638;Zweden;2008;24
639;Zweden;2009;24
640;Noorwegen;1990;4
641;Noorwegen;1991;5
642;Noorwegen;1992;5
643;Noorwegen;1993;13
644;Noorwegen;1994;3
645;Noorwegen;1995;1
646;Noorwegen;1996;2
647;Noorwegen;1997;2
648;Noorwegen;1998;8
649;Noorwegen;1999;10
650;Noorwegen;2000;11
651;Noorwegen;2001;15
652;Noorwegen;2002;17
653;Noorwegen;2003;16
654;Noorwegen;2004;8
655;Noorwegen;2005;5
656;Noorwegen;2006;5
657;Noorwegen;2007;7
658;Noorwegen;2008;14
659;Noorwegen;2009;17
660;Zwitserland;1990;36
661;Zwitserland;1991;42
662;Zwitserland;1992;18
663;Zwitserland;1993;25
664;Zwitserland;1994;16
665;Zwitserland;1995;17
666;Zwitserland;1996;18
667;Zwitserland;1997;24
668;Zwitserland;1998;41
669;Zwitserland;1999;46
670;Zwitserland;2000;18
671;Zwitserland;2001;21
672;Zwitserland;2002;26
673;Zwitserland;2003;21
674;Zwitserland;2004;15
675;Zwitserland;2005;11
676;Zwitserland;2006;11
677;Zwitserland;2007;11
678;Zwitserland;2008;17
679;Zwitserland;2009;14
680;Australië;1990;12
681;Australië;1991;17
682;Australië;1992;6
683;Australië;1993;7
684;Australië;1994;6
685;Australië;1995;8
686;Australië;1996;10
687;Australië;1997;9
688;Australië;1998;8
689;Australië;1999;9
690;Australië;2000;13
691;Australië;2001;12
692;Australië;2002;6
693;Australië;2003;4
694;Australië;2004;3
695;Australië;2005;3
696;Australië;2006;4
697;Australië;2007;4
698;Australië;2008;5
699;Australië;2009;6
700;Canada;1990;37
701;Canada;1991;32
702;Canada;1992;38
703;Canada;1993;21
704;Canada;1994;22
705;Canada;1995;26
706;Canada;1996;26
707;Canada;1997;24
708;Canada;1998;25
709;Canada;1999;31
710;Canada;2000;38
711;Canada;2001;44
712;Canada;2002;40
713;Canada;2003;32
714;Canada;2004;26
715;Canada;2005;20
716;Canada;2006;23
717;Canada;2007;28
718;Canada;2008;37
719;Canada;2009;33
720;Verenigde Staten van Amerika;1990;107
721;Verenigde Staten van Amerika;1991;82
722;Verenigde Staten van Amerika;1992;146
723;Verenigde Staten van Amerika;1993;200
724;Verenigde Staten van Amerika;1994;202
725;Verenigde Staten van Amerika;1995;209
726;Verenigde Staten van Amerika;1996;150
727;Verenigde Staten van Amerika;1997;73
728;Verenigde Staten van Amerika;1998;50
729;Verenigde Staten van Amerika;1999;46
730;Verenigde Staten van Amerika;2000;57
731;Verenigde Staten van Amerika;2001;104
732;Verenigde Staten van Amerika;2002;100
733;Verenigde Staten van Amerika;2003;74
734;Verenigde Staten van Amerika;2004;52
735;Verenigde Staten van Amerika;2005;49
736;Verenigde Staten van Amerika;2006;52
737;Verenigde Staten van Amerika;2007;51
738;Verenigde Staten van Amerika;2008;50
739;Verenigde Staten van Amerika;2009;49
