ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
66;General government;P12A Own-account capital formation;2003;4153
67;General government;P12A Own-account capital formation;2004;4308
68;General government;P12A Own-account capital formation;2005;4424
69;General government;P12A Own-account capital formation;2006;4709
70;General government;P12A Own-account capital formation;2007;4748
71;General government;P12A Own-account capital formation;2008;4875
72;General government;P12A Own-account capital formation;2009;5208
73;General government;P12A Own-account capital formation;2010;5178
74;General government;P12A Own-account capital formation;2011;5369
75;General government;P12A Own-account capital formation;2012;5300
76;General government;P12A Own-account capital formation;2013;5440
77;General government;P12A Own-account capital formation;2014;5472
78;General government;P12A Own-account capital formation;2015;5622
79;General government;P12A Own-account capital formation;2016;5674
80;General government;P12A Own-account capital formation;2017;5888
81;General government;P12A Own-account capital formation;2018;6215
82;General government;P12A Own-account capital formation;2019;6347
83;General government;P12A Own-account capital formation;2020;6613
84;General government;P12A Own-account capital formation;2021;7039
85;General government;P12A Own-account capital formation;2022;7379
86;General government;P12A Own-account capital formation;2023;7773
87;General government;P13 Non-marketoutput;1995;56011
88;General government;P13 Non-marketoutput;1996;56892
89;General government;P13 Non-marketoutput;1997;58962
90;General government;P13 Non-marketoutput;1998;61923
91;General government;P13 Non-marketoutput;1999;64955
92;General government;P13 Non-marketoutput;2000;69467
93;General government;P13 Non-marketoutput;2001;75128
94;General government;P13 Non-marketoutput;2002;80873
95;General government;P13 Non-marketoutput;2003;85812
96;General government;P13 Non-marketoutput;2004;87126
97;General government;P13 Non-marketoutput;2005;89654
98;General government;P13 Non-marketoutput;2006;92363
99;General government;P13 Non-marketoutput;2007;98110
100;General government;P13 Non-marketoutput;2008;102476
101;General government;P13 Non-marketoutput;2009;108234
102;General government;P13 Non-marketoutput;2010;111415
103;General government;P13 Non-marketoutput;2011;110780
104;General government;P13 Non-marketoutput;2012;110954
105;General government;P13 Non-marketoutput;2013;111196
106;General government;P13 Non-marketoutput;2014;113366
107;General government;P13 Non-marketoutput;2015;113662
108;General government;P13 Non-marketoutput;2016;114496
109;General government;P13 Non-marketoutput;2017;117223
110;General government;P13 Non-marketoutput;2018;122543
111;General government;P13 Non-marketoutput;2019;128936
112;General government;P13 Non-marketoutput;2020;135842
113;General government;P13 Non-marketoutput;2021;144854
114;General government;P13 Non-marketoutput;2022;156550
115;General government;P13 Non-marketoutput;2023;170672
116;General government;P131 Payments for non-market output;1995;5786
117;General government;P131 Payments for non-market output;1996;6394
118;General government;P131 Payments for non-market output;1997;6576
119;General government;P131 Payments for non-market output;1998;6672
120;General government;P131 Payments for non-market output;1999;7045
121;General government;P131 Payments for non-market output;2000;7671
122;General government;P131 Payments for non-market output;2001;8134
123;General government;P131 Payments for non-market output;2002;8340
124;General government;P131 Payments for non-market output;2003;8930
125;General government;P131 Payments for non-market output;2004;9255
126;General government;P131 Payments for non-market output;2005;9312
127;General government;P131 Payments for non-market output;2006;9589
128;General government;P131 Payments for non-market output;2007;9965
129;General government;P131 Payments for non-market output;2008;10091
130;General government;P131 Payments for non-market output;2009;9902
131;General government;P131 Payments for non-market output;2010;10302
132;General government;P131 Payments for non-market output;2011;10756
133;General government;P131 Payments for non-market output;2012;10633
134;General government;P131 Payments for non-market output;2013;10699
135;General government;P131 Payments for non-market output;2014;10987
136;General government;P131 Payments for non-market output;2015;11550
137;General government;P131 Payments for non-market output;2016;11670
138;General government;P131 Payments for non-market output;2017;11645
139;General government;P131 Payments for non-market output;2018;11950
140;General government;P131 Payments for non-market output;2019;12151
141;General government;P131 Payments for non-market output;2020;12134
142;General government;P131 Payments for non-market output;2021;12937
143;General government;P131 Payments for non-market output;2022;13870
144;General government;P131 Payments for non-market output;2023;14679
145;General government;P132 Other non-market output;1995;50225
146;General government;P132 Other non-market output;1996;50498
147;General government;P132 Other non-market output;1997;52386
148;General government;P132 Other non-market output;1998;55251
149;General government;P132 Other non-market output;1999;57910
150;General government;P132 Other non-market output;2000;61796
151;General government;P132 Other non-market output;2001;66994
152;General government;P132 Other non-market output;2002;72533
153;General government;P132 Other non-market output;2003;76882
154;General government;P132 Other non-market output;2004;77871
155;General government;P132 Other non-market output;2005;80342
156;General government;P132 Other non-market output;2006;82774
157;General government;P132 Other non-market output;2007;88145
158;General government;P132 Other non-market output;2008;92385
159;General government;P132 Other non-market output;2009;98332
160;General government;P132 Other non-market output;2010;101113
161;General government;P132 Other non-market output;2011;100024
162;General government;P132 Other non-market output;2012;100321
163;General government;P132 Other non-market output;2013;100497
164;General government;P132 Other non-market output;2014;102379
165;General government;P132 Other non-market output;2015;102112
166;General government;P132 Other non-market output;2016;102826
167;General government;P132 Other non-market output;2017;105578
168;General government;P132 Other non-market output;2018;110593
169;General government;P132 Other non-market output;2019;116785
170;General government;P132 Other non-market output;2020;123708
171;General government;P132 Other non-market output;2021;131917
172;General government;P132 Other non-market output;2022;142680
173;General government;P132 Other non-market output;2023;155993
174;General government;P2 Intermediate consumption;1995;20621
175;General government;P2 Intermediate consumption;1996;21160
176;General government;P2 Intermediate consumption;1997;21945
177;General government;P2 Intermediate consumption;1998;23091
178;General government;P2 Intermediate consumption;1999;24084
179;General government;P2 Intermediate consumption;2000;26262
180;General government;P2 Intermediate consumption;2001;29048
181;General government;P2 Intermediate consumption;2002;31324
182;General government;P2 Intermediate consumption;2003;33695
183;General government;P2 Intermediate consumption;2004;34228
184;General government;P2 Intermediate consumption;2005;34412
185;General government;P2 Intermediate consumption;2006;35668
186;General government;P2 Intermediate consumption;2007;38979
187;General government;P2 Intermediate consumption;2008;39822
188;General government;P2 Intermediate consumption;2009;42499
189;General government;P2 Intermediate consumption;2010;43625
190;General government;P2 Intermediate consumption;2011;42686
191;General government;P2 Intermediate consumption;2012;41920
192;General government;P2 Intermediate consumption;2013;41853
193;General government;P2 Intermediate consumption;2014;43802
194;General government;P2 Intermediate consumption;2015;43306
195;General government;P2 Intermediate consumption;2016;43035
196;General government;P2 Intermediate consumption;2017;43966
197;General government;P2 Intermediate consumption;2018;46552
198;General government;P2 Intermediate consumption;2019;48882
199;General government;P2 Intermediate consumption;2020;51122
200;General government;P2 Intermediate consumption;2021;56856
201;General government;P2 Intermediate consumption;2022;60563
202;General government;P2 Intermediate consumption;2023;67222
203;General government;B1g Gross value added;1995;44340
204;General government;B1g Gross value added;1996;45139
205;General government;B1g Gross value added;1997;46948
206;General government;B1g Gross value added;1998;48879
207;General government;B1g Gross value added;1999;51081
208;General government;B1g Gross value added;2000;54830
209;General government;B1g Gross value added;2001;59093
210;General government;B1g Gross value added;2002;62535
211;General government;B1g Gross value added;2003;65926
212;General government;B1g Gross value added;2004;67543
213;General government;B1g Gross value added;2005;70764
214;General government;B1g Gross value added;2006;74031
215;General government;B1g Gross value added;2007;76555
216;General government;B1g Gross value added;2008;83095
217;General government;B1g Gross value added;2009;84204
218;General government;B1g Gross value added;2010;86655
219;General government;B1g Gross value added;2011;87713
220;General government;B1g Gross value added;2012;90020
221;General government;B1g Gross value added;2013;90689
222;General government;B1g Gross value added;2014;88947
223;General government;B1g Gross value added;2015;87541
224;General government;B1g Gross value added;2016;87258
225;General government;B1g Gross value added;2017;89158
226;General government;B1g Gross value added;2018;91996
227;General government;B1g Gross value added;2019;95679
228;General government;B1g Gross value added;2020;98985
229;General government;B1g Gross value added;2021;104806
230;General government;B1g Gross value added;2022;118782
231;General government;B1g Gross value added;2023;120300
232;General government;P51c Consumption of fixed capital;1995;10460
233;General government;P51c Consumption of fixed capital;1996;10778
234;General government;P51c Consumption of fixed capital;1997;11174
235;General government;P51c Consumption of fixed capital;1998;11531
236;General government;P51c Consumption of fixed capital;1999;12090
237;General government;P51c Consumption of fixed capital;2000;12928
238;General government;P51c Consumption of fixed capital;2001;13824
239;General government;P51c Consumption of fixed capital;2002;14805
240;General government;P51c Consumption of fixed capital;2003;15611
241;General government;P51c Consumption of fixed capital;2004;16300
242;General government;P51c Consumption of fixed capital;2005;16912
243;General government;P51c Consumption of fixed capital;2006;17676
244;General government;P51c Consumption of fixed capital;2007;18537
245;General government;P51c Consumption of fixed capital;2008;19453
246;General government;P51c Consumption of fixed capital;2009;20081
247;General government;P51c Consumption of fixed capital;2010;20843
248;General government;P51c Consumption of fixed capital;2011;21373
249;General government;P51c Consumption of fixed capital;2012;21872
250;General government;P51c Consumption of fixed capital;2013;22347
251;General government;P51c Consumption of fixed capital;2014;22606
252;General government;P51c Consumption of fixed capital;2015;22778
253;General government;P51c Consumption of fixed capital;2016;22884
254;General government;P51c Consumption of fixed capital;2017;23386
255;General government;P51c Consumption of fixed capital;2018;24120
256;General government;P51c Consumption of fixed capital;2019;24952
257;General government;P51c Consumption of fixed capital;2020;25805
258;General government;P51c Consumption of fixed capital;2021;26946
259;General government;P51c Consumption of fixed capital;2022;29168
260;General government;P51c Consumption of fixed capital;2023;30853
261;General government;B1n Net value added;1995;33880
262;General government;B1n Net value added;1996;34361
263;General government;B1n Net value added;1997;35774
264;General government;B1n Net value added;1998;37348
265;General government;B1n Net value added;1999;38991
266;General government;B1n Net value added;2000;41902
267;General government;B1n Net value added;2001;45269
268;General government;B1n Net value added;2002;47730
269;General government;B1n Net value added;2003;50315
270;General government;B1n Net value added;2004;51243
271;General government;B1n Net value added;2005;53852
272;General government;B1n Net value added;2006;56355
273;General government;B1n Net value added;2007;58018
274;General government;B1n Net value added;2008;63642
275;General government;B1n Net value added;2009;64123
276;General government;B1n Net value added;2010;65812
277;General government;B1n Net value added;2011;66340
278;General government;B1n Net value added;2012;68148
279;General government;B1n Net value added;2013;68342
280;General government;B1n Net value added;2014;66341
281;General government;B1n Net value added;2015;64763
282;General government;B1n Net value added;2016;64374
283;General government;B1n Net value added;2017;65772
284;General government;B1n Net value added;2018;67876
285;General government;B1n Net value added;2019;70727
286;General government;B1n Net value added;2020;73180
287;General government;B1n Net value added;2021;77860
288;General government;B1n Net value added;2022;89614
289;General government;B1n Net value added;2023;89447
290;General government;D1 Compensation of employees;1995;32069
291;General government;D1 Compensation of employees;1996;32441
292;General government;D1 Compensation of employees;1997;33813
293;General government;D1 Compensation of employees;1998;35585
294;General government;D1 Compensation of employees;1999;37459
295;General government;D1 Compensation of employees;2000;39623
296;General government;D1 Compensation of employees;2001;42409
297;General government;D1 Compensation of employees;2002;45363
298;General government;D1 Compensation of employees;2003;47821
299;General government;D1 Compensation of employees;2004;48722
300;General government;D1 Compensation of employees;2005;49422
301;General government;D1 Compensation of employees;2006;50552
302;General government;D1 Compensation of employees;2007;52454
303;General government;D1 Compensation of employees;2008;55529
304;General government;D1 Compensation of employees;2009;58437
305;General government;D1 Compensation of employees;2010;59896
306;General government;D1 Compensation of employees;2011;59804
307;General government;D1 Compensation of employees;2012;60227
308;General government;D1 Compensation of employees;2013;60074
309;General government;D1 Compensation of employees;2014;60168
310;General government;D1 Compensation of employees;2015;60227
311;General government;D1 Compensation of employees;2016;61498
312;General government;D1 Compensation of employees;2017;63121
313;General government;D1 Compensation of employees;2018;65537
314;General government;D1 Compensation of employees;2019;68819
315;General government;D1 Compensation of employees;2020;72588
316;General government;D1 Compensation of employees;2021;75463
317;General government;D1 Compensation of employees;2022;82007
318;General government;D1 Compensation of employees;2023;88838
319;General government;D11 Wages and salaries;1995;25427
320;General government;D11 Wages and salaries;1996;25575
321;General government;D11 Wages and salaries;1997;27085
322;General government;D11 Wages and salaries;1998;27450
323;General government;D11 Wages and salaries;1999;29047
324;General government;D11 Wages and salaries;2000;30783
325;General government;D11 Wages and salaries;2001;32916
326;General government;D11 Wages and salaries;2002;34971
327;General government;D11 Wages and salaries;2003;36694
328;General government;D11 Wages and salaries;2004;36510
329;General government;D11 Wages and salaries;2005;36706
330;General government;D11 Wages and salaries;2006;38244
331;General government;D11 Wages and salaries;2007;39799
332;General government;D11 Wages and salaries;2008;41573
333;General government;D11 Wages and salaries;2009;44064
334;General government;D11 Wages and salaries;2010;45565
335;General government;D11 Wages and salaries;2011;45180
336;General government;D11 Wages and salaries;2012;45087
337;General government;D11 Wages and salaries;2013;44872
338;General government;D11 Wages and salaries;2014;44586
339;General government;D11 Wages and salaries;2015;45165
340;General government;D11 Wages and salaries;2016;46372
341;General government;D11 Wages and salaries;2017;47148
342;General government;D11 Wages and salaries;2018;48059
343;General government;D11 Wages and salaries;2019;50256
344;General government;D11 Wages and salaries;2020;53603
345;General government;D11 Wages and salaries;2021;55553
346;General government;D11 Wages and salaries;2022;59633
347;General government;D11 Wages and salaries;2023;65143
348;General government;D12 Employer's social contributions;1995;6642
349;General government;D12 Employer's social contributions;1996;6866
350;General government;D12 Employer's social contributions;1997;6728
351;General government;D12 Employer's social contributions;1998;8135
352;General government;D12 Employer's social contributions;1999;8412
353;General government;D12 Employer's social contributions;2000;8840
354;General government;D12 Employer's social contributions;2001;9493
355;General government;D12 Employer's social contributions;2002;10392
356;General government;D12 Employer's social contributions;2003;11127
357;General government;D12 Employer's social contributions;2004;12212
358;General government;D12 Employer's social contributions;2005;12716
359;General government;D12 Employer's social contributions;2006;12308
360;General government;D12 Employer's social contributions;2007;12655
361;General government;D12 Employer's social contributions;2008;13956
362;General government;D12 Employer's social contributions;2009;14373
363;General government;D12 Employer's social contributions;2010;14331
364;General government;D12 Employer's social contributions;2011;14624
365;General government;D12 Employer's social contributions;2012;15140
366;General government;D12 Employer's social contributions;2013;15202
367;General government;D12 Employer's social contributions;2014;15582
368;General government;D12 Employer's social contributions;2015;15062
369;General government;D12 Employer's social contributions;2016;15126
370;General government;D12 Employer's social contributions;2017;15973
371;General government;D12 Employer's social contributions;2018;17478
372;General government;D12 Employer's social contributions;2019;18563
373;General government;D12 Employer's social contributions;2020;18985
374;General government;D12 Employer's social contributions;2021;19910
375;General government;D12 Employer's social contributions;2022;22374
376;General government;D12 Employer's social contributions;2023;23695
377;General government;D29 Other taxes on production;1995;316
378;General government;D29 Other taxes on production;1996;323
379;General government;D29 Other taxes on production;1997;335
380;General government;D29 Other taxes on production;1998;366
381;General government;D29 Other taxes on production;1999;444
382;General government;D29 Other taxes on production;2000;471
383;General government;D29 Other taxes on production;2001;502
384;General government;D29 Other taxes on production;2002;534
385;General government;D29 Other taxes on production;2003;530
386;General government;D29 Other taxes on production;2004;546
387;General government;D29 Other taxes on production;2005;568
388;General government;D29 Other taxes on production;2006;584
389;General government;D29 Other taxes on production;2007;601
390;General government;D29 Other taxes on production;2008;657
391;General government;D29 Other taxes on production;2009;673
392;General government;D29 Other taxes on production;2010;678
393;General government;D29 Other taxes on production;2011;708
394;General government;D29 Other taxes on production;2012;632
395;General government;D29 Other taxes on production;2013;754
396;General government;D29 Other taxes on production;2014;751
397;General government;D29 Other taxes on production;2015;953
398;General government;D29 Other taxes on production;2016;962
399;General government;D29 Other taxes on production;2017;971
400;General government;D29 Other taxes on production;2018;979
401;General government;D29 Other taxes on production;2019;905
402;General government;D29 Other taxes on production;2020;1000
403;General government;D29 Other taxes on production;2021;973
404;General government;D29 Other taxes on production;2022;1114
405;General government;D29 Other taxes on production;2023;1268
406;General government;D39 Other subsidies on production;1995;-26
407;General government;D39 Other subsidies on production;1996;-88
408;General government;D39 Other subsidies on production;1997;-134
409;General government;D39 Other subsidies on production;1998;-180
410;General government;D39 Other subsidies on production;1999;-222
411;General government;D39 Other subsidies on production;2000;-245
412;General government;D39 Other subsidies on production;2001;-298
413;General government;D39 Other subsidies on production;2002;-339
414;General government;D39 Other subsidies on production;2003;-334
415;General government;D39 Other subsidies on production;2004;-538
416;General government;D39 Other subsidies on production;2005;-370
417;General government;D39 Other subsidies on production;2006;-349
418;General government;D39 Other subsidies on production;2007;-337
419;General government;D39 Other subsidies on production;2008;-343
420;General government;D39 Other subsidies on production;2009;-415
421;General government;D39 Other subsidies on production;2010;-369
422;General government;D39 Other subsidies on production;2011;-325
423;General government;D39 Other subsidies on production;2012;-258
424;General government;D39 Other subsidies on production;2013;-79
425;General government;D39 Other subsidies on production;2014;-38
426;General government;D39 Other subsidies on production;2015;-37
427;General government;D39 Other subsidies on production;2016;-41
428;General government;D39 Other subsidies on production;2017;-95
429;General government;D39 Other subsidies on production;2018;-93
430;General government;D39 Other subsidies on production;2019;-90
431;General government;D39 Other subsidies on production;2020;-481
432;General government;D39 Other subsidies on production;2021;-419
433;General government;D39 Other subsidies on production;2022;-362
434;General government;D39 Other subsidies on production;2023;-389
435;General government;B2n Net operating surplus;1995;1521
436;General government;B2n Net operating surplus;1996;1685
437;General government;B2n Net operating surplus;1997;1760
438;General government;B2n Net operating surplus;1998;1577
439;General government;B2n Net operating surplus;1999;1310
440;General government;B2n Net operating surplus;2000;2053
441;General government;B2n Net operating surplus;2001;2656
442;General government;B2n Net operating surplus;2002;2172
443;General government;B2n Net operating surplus;2003;2298
444;General government;B2n Net operating surplus;2004;2513
445;General government;B2n Net operating surplus;2005;4232
446;General government;B2n Net operating surplus;2006;5568
447;General government;B2n Net operating surplus;2007;5300
448;General government;B2n Net operating surplus;2008;7799
449;General government;B2n Net operating surplus;2009;5428
450;General government;B2n Net operating surplus;2010;5607
451;General government;B2n Net operating surplus;2011;6153
452;General government;B2n Net operating surplus;2012;7547
453;General government;B2n Net operating surplus;2013;7593
454;General government;B2n Net operating surplus;2014;5460
455;General government;B2n Net operating surplus;2015;3620
456;General government;B2n Net operating surplus;2016;1955
457;General government;B2n Net operating surplus;2017;1775
458;General government;B2n Net operating surplus;2018;1453
459;General government;B2n Net operating surplus;2019;1093
460;General government;B2n Net operating surplus;2020;73
461;General government;B2n Net operating surplus;2021;1843
462;General government;B2n Net operating surplus;2022;6855
463;General government;B2n Net operating surplus;2023;-270
464;General government;P3 Final consumption expenditure;1995;73583
465;General government;P3 Final consumption expenditure;1996;73430
466;General government;P3 Final consumption expenditure;1997;77200
467;General government;P3 Final consumption expenditure;1998;81804
468;General government;P3 Final consumption expenditure;1999;86110
469;General government;P3 Final consumption expenditure;2000;92704
470;General government;P3 Final consumption expenditure;2001;100928
471;General government;P3 Final consumption expenditure;2002;110735
472;General government;P3 Final consumption expenditure;2003;117563
473;General government;P3 Final consumption expenditure;2004;119681
474;General government;P3 Final consumption expenditure;2005;123401
475;General government;P3 Final consumption expenditure;2006;136316
476;General government;P3 Final consumption expenditure;2007;144773
477;General government;P3 Final consumption expenditure;2008;152765
478;General government;P3 Final consumption expenditure;2009;163571
479;General government;P3 Final consumption expenditure;2010;168710
480;General government;P3 Final consumption expenditure;2011;168827
481;General government;P3 Final consumption expenditure;2012;171023
482;General government;P3 Final consumption expenditure;2013;171367
483;General government;P3 Final consumption expenditure;2014;173826
484;General government;P3 Final consumption expenditure;2015;173811
485;General government;P3 Final consumption expenditure;2016;176489
486;General government;P3 Final consumption expenditure;2017;181470
487;General government;P3 Final consumption expenditure;2018;190649
488;General government;P3 Final consumption expenditure;2019;202262
489;General government;P3 Final consumption expenditure;2020;209743
490;General government;P3 Final consumption expenditure;2021;226371
491;General government;P3 Final consumption expenditure;2022;241898
492;General government;P3 Final consumption expenditure;2023;264091
493;General government;P31 Individual final consumption expen..;1995;43692
494;General government;P31 Individual final consumption expen..;1996;43498
495;General government;P31 Individual final consumption expen..;1997;45965
496;General government;P31 Individual final consumption expen..;1998;49218
497;General government;P31 Individual final consumption expen..;1999;52030
498;General government;P31 Individual final consumption expen..;2000;56644
499;General government;P31 Individual final consumption expen..;2001;62004
500;General government;P31 Individual final consumption expen..;2002;68875
501;General government;P31 Individual final consumption expen..;2003;73403
502;General government;P31 Individual final consumption expen..;2004;75758
503;General government;P31 Individual final consumption expen..;2005;78589
504;General government;P31 Individual final consumption expen..;2006;90604
505;General government;P31 Individual final consumption expen..;2007;96228
506;General government;P31 Individual final consumption expen..;2008;101329
507;General government;P31 Individual final consumption expen..;2009;109257
508;General government;P31 Individual final consumption expen..;2010;114553
509;General government;P31 Individual final consumption expen..;2011;115556
510;General government;P31 Individual final consumption expen..;2012;117366
511;General government;P31 Individual final consumption expen..;2013;116569
512;General government;P31 Individual final consumption expen..;2014;117981
513;General government;P31 Individual final consumption expen..;2015;118463
514;General government;P31 Individual final consumption expen..;2016;119655
515;General government;P31 Individual final consumption expen..;2017;123954
516;General government;P31 Individual final consumption expen..;2018;130525
517;General government;P31 Individual final consumption expen..;2019;138810
518;General government;P31 Individual final consumption expen..;2020;142389
519;General government;P31 Individual final consumption expen..;2021;155178
520;General government;P31 Individual final consumption expen..;2022;165040
521;General government;P31 Individual final consumption expen..;2023;178925
522;General government;D631 Transfers in kind non-market produc;1995;20334
523;General government;D631 Transfers in kind non-market produc;1996;20566
524;General government;D631 Transfers in kind non-market produc;1997;21151
525;General government;D631 Transfers in kind non-market produc;1998;22665
526;General government;D631 Transfers in kind non-market produc;1999;23830
527;General government;D631 Transfers in kind non-market produc;2000;25736
528;General government;D631 Transfers in kind non-market produc;2001;28070
529;General government;D631 Transfers in kind non-market produc;2002;30673
530;General government;D631 Transfers in kind non-market produc;2003;32722
531;General government;D631 Transfers in kind non-market produc;2004;33948
532;General government;D631 Transfers in kind non-market produc;2005;35530
533;General government;D631 Transfers in kind non-market produc;2006;37062
534;General government;D631 Transfers in kind non-market produc;2007;39600
535;General government;D631 Transfers in kind non-market produc;2008;40949
536;General government;D631 Transfers in kind non-market produc;2009;44018
537;General government;D631 Transfers in kind non-market produc;2010;46956
538;General government;D631 Transfers in kind non-market produc;2011;46753
539;General government;D631 Transfers in kind non-market produc;2012;46664
540;General government;D631 Transfers in kind non-market produc;2013;45699
541;General government;D631 Transfers in kind non-market produc;2014;46534
542;General government;D631 Transfers in kind non-market produc;2015;46764
543;General government;D631 Transfers in kind non-market produc;2016;45992
544;General government;D631 Transfers in kind non-market produc;2017;48062
545;General government;D631 Transfers in kind non-market produc;2018;50469
546;General government;D631 Transfers in kind non-market produc;2019;53333
547;General government;D631 Transfers in kind non-market produc;2020;56354
548;General government;D631 Transfers in kind non-market produc;2021;60724
549;General government;D631 Transfers in kind non-market produc;2022;65822
550;General government;D631 Transfers in kind non-market produc;2023;70827
551;General government;D632 Social transfers in kind via mark..;1995;23358
552;General government;D632 Social transfers in kind via mark..;1996;22932
553;General government;D632 Social transfers in kind via mark..;1997;24814
554;General government;D632 Social transfers in kind via mark..;1998;26553
555;General government;D632 Social transfers in kind via mark..;1999;28200
556;General government;D632 Social transfers in kind via mark..;2000;30908
557;General government;D632 Social transfers in kind via mark..;2001;33934
558;General government;D632 Social transfers in kind via mark..;2002;38202
559;General government;D632 Social transfers in kind via mark..;2003;40681
560;General government;D632 Social transfers in kind via mark..;2004;41810
561;General government;D632 Social transfers in kind via mark..;2005;43059
562;General government;D632 Social transfers in kind via mark..;2006;53542
563;General government;D632 Social transfers in kind via mark..;2007;56628
564;General government;D632 Social transfers in kind via mark..;2008;60380
565;General government;D632 Social transfers in kind via mark..;2009;65239
566;General government;D632 Social transfers in kind via mark..;2010;67597
567;General government;D632 Social transfers in kind via mark..;2011;68803
568;General government;D632 Social transfers in kind via mark..;2012;70702
569;General government;D632 Social transfers in kind via mark..;2013;70870
570;General government;D632 Social transfers in kind via mark..;2014;71447
571;General government;D632 Social transfers in kind via mark..;2015;71699
572;General government;D632 Social transfers in kind via mark..;2016;73663
573;General government;D632 Social transfers in kind via mark..;2017;75892
574;General government;D632 Social transfers in kind via mark..;2018;80056
575;General government;D632 Social transfers in kind via mark..;2019;85477
576;General government;D632 Social transfers in kind via mark..;2020;86035
577;General government;D632 Social transfers in kind via mark..;2021;94454
578;General government;D632 Social transfers in kind via mark..;2022;99218
579;General government;D632 Social transfers in kind via mark..;2023;108098
580;General government;P32 Collective final consumption expen..;1995;29891
581;General government;P32 Collective final consumption expen..;1996;29932
582;General government;P32 Collective final consumption expen..;1997;31235
583;General government;P32 Collective final consumption expen..;1998;32586
584;General government;P32 Collective final consumption expen..;1999;34080
585;General government;P32 Collective final consumption expen..;2000;36060
586;General government;P32 Collective final consumption expen..;2001;38924
587;General government;P32 Collective final consumption expen..;2002;41860
588;General government;P32 Collective final consumption expen..;2003;44160
589;General government;P32 Collective final consumption expen..;2004;43923
590;General government;P32 Collective final consumption expen..;2005;44812
591;General government;P32 Collective final consumption expen..;2006;45712
592;General government;P32 Collective final consumption expen..;2007;48545
593;General government;P32 Collective final consumption expen..;2008;51436
594;General government;P32 Collective final consumption expen..;2009;54314
595;General government;P32 Collective final consumption expen..;2010;54157
596;General government;P32 Collective final consumption expen..;2011;53271
597;General government;P32 Collective final consumption expen..;2012;53657
598;General government;P32 Collective final consumption expen..;2013;54798
599;General government;P32 Collective final consumption expen..;2014;55845
600;General government;P32 Collective final consumption expen..;2015;55348
601;General government;P32 Collective final consumption expen..;2016;56834
602;General government;P32 Collective final consumption expen..;2017;57516
603;General government;P32 Collective final consumption expen..;2018;60124
604;General government;P32 Collective final consumption expen..;2019;63452
605;General government;P32 Collective final consumption expen..;2020;67354
606;General government;P32 Collective final consumption expen..;2021;71193
607;General government;P32 Collective final consumption expen..;2022;76858
608;General government;P32 Collective final consumption expen..;2023;85166
609;Central government;P1 Output;1995;26563
610;Central government;P1 Output;1996;27403
611;Central government;P1 Output;1997;28244
612;Central government;P1 Output;1998;29342
613;Central government;P1 Output;1999;29955
614;Central government;P1 Output;2000;32794
615;Central government;P1 Output;2001;36340
616;Central government;P1 Output;2002;37613
617;Central government;P1 Output;2003;38749
618;Central government;P1 Output;2004;38898
