ID;Geslacht;Leeftijd;BurgerlijkeStaat;KerkelijkeGezindte;Regio;Bewoners_1
98;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Leiden;29837
99;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Maastricht;1408
100;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Apeldoorn;34539
101;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Hilversum;16969
102;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Dordrecht;26790
103;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Schiedam;17800
104;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Enschede;19117
105;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Delft;15039
106;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Leeuwarden;13444
107;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Heerlen;4216
108;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Breda;4121
109;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;'s-Hertogenbosch;2116
110;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Velsen;11026
111;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Emmen;20333
112;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Zwolle;18514
113;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Amersfoort;13722
114;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Kerkrade;1379
115;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Deventer;15731
116;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Hengelo (O.);11730
117;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Zaandam;6340
118;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Almelo;12727
119;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Lonneker;13643
120;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Ede;20915
121;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Helder (Den);7764
122;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Gouda;11918
123;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Alkmaar;7603
124;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Vlaardingen;15372
125;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Haarlemmermeer;10234
126;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Helmond;670
127;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Bussum;6228
128;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Zeist;12544
129;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Rheden;14487
130;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Venlo;495
131;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Roosendaal en Nispen;803
132;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Vlissingen;9589
133;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Nederduitsch Hervormd;Bergen op Zoom;2332
134;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Nederland;6358
135;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Groningen (provincie);115
136;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Friesland;14
137;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Drenthe;26
138;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Overijssel;66
139;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gelderland;418
140;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Utrecht (provincie);578
141;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Noord-Holland;2710
142;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Zuid-Holland;2140
143;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Zeeland;135
144;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Noord-Brabant;127
145;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Limburg;29
146;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met meer dan 100000 inwoners;3890
147;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 50001 - 100000 inwoners;774
148;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 20001 - 50000 inwoners;457
149;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 10001 - 20000 inwoners;684
150;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 5001 - 10000 inwoners;264
151;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 2001 - 5000 inwoners;197
152;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 1001 - 2000 inwoners;69
153;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 501 - 1000 inwoners;23
154;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gemeenten met 500 of minder inwoners;0
155;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Amsterdam;1865
156;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Rotterdam;575
157;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;'s-Gravenhage;812
158;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Utrecht;296
159;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Haarlem;248
160;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Groningen;94
161;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Eindhoven;22
162;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Nijmegen;58
163;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Tilburg;1
164;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Arnhem;98
165;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Leiden;249
166;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Maastricht;15
167;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Apeldoorn;47
168;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Hilversum;114
169;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Dordrecht;87
170;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Schiedam;18
171;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Enschede;4
172;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Delft;61
173;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Leeuwarden;7
174;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Heerlen;5
175;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Breda;30
176;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;'s-Hertogenbosch;15
177;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Velsen;30
178;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Emmen;7
179;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Zwolle;16
180;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Amersfoort;40
181;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Kerkrade;0
182;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Deventer;6
183;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Hengelo (O.);5
184;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Zaandam;11
185;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Almelo;4
186;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Lonneker;1
187;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Ede;17
188;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Helder (Den);12
189;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Gouda;6
190;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Alkmaar;5
191;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Vlaardingen;6
192;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Haarlemmermeer;4
193;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Helmond;5
194;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Bussum;94
195;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Zeist;60
196;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Rheden;49
197;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Venlo;0
198;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Roosendaal en Nispen;1
199;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Vlissingen;12
200;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Waalsch Hervormd;Bergen op Zoom;9
201;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Remonstrant;Nederland;29719
202;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Remonstrant;Groningen (provincie);1581
203;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Remonstrant;Friesland;185
204;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle burgerlijke staten;Remonstrant;Drenthe;972
