ID;SectorsAssets;CounterpartSectorsLiabilities;BalanceSheetsAndTransactions;Periods;SavingsTransferableAndOtherDeposits_1;ShortTermSecurities_2;LongTermSecurities_3;ShortTermLoans_4;LongTermLoans_5;ListedShares_6;InvestmentFundSharesOrUnits_7
44;Total domestic sectors;Total domestic sectors;Opening balance sheet;2007;615826.0;;;217453.0;1145191.0;;
45;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 1st quarter;734583.0;;;229358.0;1188133.0;;
46;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 2nd quarter;719838.0;;;257879.0;1204262.0;;
47;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 3rd quarter;801456.0;;;269295.0;1228709.0;;
48;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008 4th quarter;834125.0;;;264861.0;1248708.0;;
49;Total domestic sectors;Total domestic sectors;Opening balance sheet;2008;734583.0;;;229358.0;1188133.0;;
50;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 1st quarter;815687.0;;;288471.0;1270171.0;;
51;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 2nd quarter;788013.0;;;281707.0;1286686.0;;
52;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 3rd quarter;849207.0;;;286141.0;1288279.0;;
53;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009 4th quarter;821451.0;;;267508.0;1290746.0;;
54;Total domestic sectors;Total domestic sectors;Opening balance sheet;2009;815687.0;;;288471.0;1270171.0;;
55;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 1st quarter;829724.0;17341.0;384749.0;297296.0;1337311.0;68253.0;405377.0
56;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 2nd quarter;846440.0;18784.0;383216.0;303225.0;1346177.0;72433.0;452552.0
57;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 3rd quarter;881126.0;16263.0;386007.0;323019.0;1361687.0;68366.0;438284.0
58;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010 4th quarter;815193.0;16160.0;395386.0;317697.0;1333875.0;71540.0;448872.0
59;Total domestic sectors;Total domestic sectors;Opening balance sheet;2010;829724.0;17341.0;384749.0;297296.0;1337311.0;68253.0;405377.0
60;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 1st quarter;824175.0;15071.0;402272.0;315561.0;1344069.0;75775.0;458002.0
61;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 2nd quarter;825410.0;14907.0;370232.0;344451.0;1341421.0;75412.0;469458.0
62;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 3rd quarter;857330.0;17079.0;371848.0;360594.0;1344092.0;69675.0;476664.0
63;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011 4th quarter;941773.0;16192.0;393047.0;368927.0;1345517.0;61460.0;476163.0
64;Total domestic sectors;Total domestic sectors;Opening balance sheet;2011;824175.0;15071.0;402272.0;315561.0;1344069.0;75775.0;458002.0
65;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 1st quarter;981646.0;15319.0;417269.0;380546.0;1336268.0;65464.0;481236.0
66;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 2nd quarter;1029850.0;12729.0;413352.0;388487.0;1340373.0;69069.0;516219.0
67;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 3rd quarter;1015454.0;12174.0;409185.0;396483.0;1346326.0;67425.0;519726.0
68;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012 4th quarter;1012780.0;14691.0;405715.0;402772.0;1341060.0;67572.0;542958.0
69;Total domestic sectors;Total domestic sectors;Opening balance sheet;2012;981646.0;15319.0;417269.0;380546.0;1336268.0;65464.0;481236.0
70;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 1st quarter;1005173.0;17326.0;409353.0;382182.0;1344887.0;69816.0;555185.0
71;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 2nd quarter;962092.0;14364.0;397955.0;389217.0;1334028.0;72514.0;581991.0
72;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 3rd quarter;961588.0;14281.0;404337.0;381264.0;1332155.0;69908.0;569533.0
73;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013 4th quarter;945102.0;13478.0;401714.0;367116.0;1330074.0;82061.0;591257.0
74;Total domestic sectors;Total domestic sectors;Opening balance sheet;2013;1005173.0;17326.0;409353.0;382182.0;1344887.0;69816.0;555185.0
75;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 1st quarter;896849.0;15026.0;390008.0;332375.0;1319252.0;72253.0;608097.0
76;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 2nd quarter;892226.0;16037.0;396338.0;340106.0;1302653.0;79710.0;629839.0
77;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 3rd quarter;878336.0;16713.0;405693.0;335412.0;1311575.0;79585.0;662775.0
78;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014 4th quarter;866638.0;16724.0;404673.0;349805.0;1309851.0;84584.0;698961.0
79;Total domestic sectors;Total domestic sectors;Opening balance sheet;2014;896849.0;15026.0;390008.0;332375.0;1319252.0;72253.0;608097.0
80;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 1st quarter;971629.0;17097.0;406641.0;416122.0;1307208.0;83550.0;709495.0
81;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 2nd quarter;997325.0;16025.0;413951.0;459820.0;1335461.0;90239.0;772648.0
82;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 3rd quarter;1025871.0;15623.0;409664.0;428823.0;1344464.0;84735.0;739793.0
83;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015 4th quarter;1041145.0;16112.0;413560.0;402161.0;1347813.0;79144.0;711441.0
84;Total domestic sectors;Total domestic sectors;Opening balance sheet;2015;971629.0;17097.0;406641.0;416122.0;1307208.0;83550.0;709495.0
85;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 1st quarter;1045809.0;14442.0;410007.0;394610.0;1349075.0;82508.0;731398.0
86;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 2nd quarter;1086326.0;15900.0;415698.0;421997.0;1349506.0;82815.0;735233.0
87;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 3rd quarter;1098399.0;16277.0;443760.0;401777.0;1357689.0;90537.0;765488.0
88;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016 4th quarter;1152344.0;16535.0;449139.0;400092.0;1360788.0;88883.0;787694.0
89;Total domestic sectors;Total domestic sectors;Opening balance sheet;2016;1045809.0;14442.0;410007.0;394610.0;1349075.0;82508.0;731398.0
90;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 1st quarter;1132923.0;15248.0;442098.0;369773.0;1362046.0;106094.0;798840.0
91;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 2nd quarter;1216442.0;16818.0;446023.0;393974.0;1365520.0;113215.0;805675.0
92;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 3rd quarter;1182669.0;16470.0;448945.0;382319.0;1376302.0;114834.0;811527.0
93;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017 4th quarter;1215700.0;16359.0;438431.0;374146.0;1379491.0;120112.0;833115.0
94;Total domestic sectors;Total domestic sectors;Opening balance sheet;2017;1132923.0;15248.0;442098.0;369773.0;1362046.0;106094.0;798840.0
95;Total domestic sectors;Total domestic sectors;Financial transactions;1999 1st quarter;6811.0;;;6478.0;11094.0;;
96;Total domestic sectors;Total domestic sectors;Financial transactions;1999 2nd quarter;12485.0;;;1617.0;12554.0;;
97;Total domestic sectors;Total domestic sectors;Financial transactions;1999 3rd quarter;526.0;;;3205.0;13480.0;;
98;Total domestic sectors;Total domestic sectors;Financial transactions;1999 4th quarter;4920.0;;;-657.0;13879.0;;
99;Total domestic sectors;Total domestic sectors;Financial transactions;1999;24742.0;;;10643.0;51007.0;;
100;Total domestic sectors;Total domestic sectors;Financial transactions;2000 1st quarter;20421.0;;;9300.0;6357.0;;
101;Total domestic sectors;Total domestic sectors;Financial transactions;2000 2nd quarter;-7949.0;;;4892.0;7181.0;;
102;Total domestic sectors;Total domestic sectors;Financial transactions;2000 3rd quarter;19550.0;;;6110.0;8513.0;;
103;Total domestic sectors;Total domestic sectors;Financial transactions;2000 4th quarter;-2980.0;;;1503.0;9310.0;;
104;Total domestic sectors;Total domestic sectors;Financial transactions;2000;29042.0;;;21805.0;31361.0;;
105;Total domestic sectors;Total domestic sectors;Financial transactions;2001 1st quarter;22145.0;;;-6112.0;6234.0;;
106;Total domestic sectors;Total domestic sectors;Financial transactions;2001 2nd quarter;1297.0;;;2121.0;10044.0;;
107;Total domestic sectors;Total domestic sectors;Financial transactions;2001 3rd quarter;9199.0;;;6894.0;10514.0;;
108;Total domestic sectors;Total domestic sectors;Financial transactions;2001 4th quarter;15398.0;;;1193.0;12663.0;;
109;Total domestic sectors;Total domestic sectors;Financial transactions;2001;48039.0;;;4096.0;39455.0;;
110;Total domestic sectors;Total domestic sectors;Financial transactions;2002 1st quarter;8966.0;;;6488.0;6827.0;;
111;Total domestic sectors;Total domestic sectors;Financial transactions;2002 2nd quarter;6701.0;;;-2167.0;6050.0;;
112;Total domestic sectors;Total domestic sectors;Financial transactions;2002 3rd quarter;6684.0;;;12100.0;9797.0;;
113;Total domestic sectors;Total domestic sectors;Financial transactions;2002 4th quarter;3517.0;;;-8475.0;14173.0;;
114;Total domestic sectors;Total domestic sectors;Financial transactions;2002;25868.0;;;7946.0;36847.0;;
115;Total domestic sectors;Total domestic sectors;Financial transactions;2003 1st quarter;23768.0;;;-4613.0;10069.0;;
116;Total domestic sectors;Total domestic sectors;Financial transactions;2003 2nd quarter;483.0;;;-3849.0;20451.0;;
117;Total domestic sectors;Total domestic sectors;Financial transactions;2003 3rd quarter;15678.0;;;-3594.0;17503.0;;
118;Total domestic sectors;Total domestic sectors;Financial transactions;2003 4th quarter;5646.0;;;-1212.0;19142.0;;
119;Total domestic sectors;Total domestic sectors;Financial transactions;2003;45575.0;;;-13268.0;67165.0;;
120;Total domestic sectors;Total domestic sectors;Financial transactions;2004 1st quarter;-4678.0;;;1825.0;10334.0;;
121;Total domestic sectors;Total domestic sectors;Financial transactions;2004 2nd quarter;28801.0;;;5948.0;3090.0;;
122;Total domestic sectors;Total domestic sectors;Financial transactions;2004 3rd quarter;-3420.0;;;3574.0;13782.0;;
123;Total domestic sectors;Total domestic sectors;Financial transactions;2004 4th quarter;9943.0;;;3969.0;2092.0;;
124;Total domestic sectors;Total domestic sectors;Financial transactions;2004;30646.0;;;15316.0;29298.0;;
125;Total domestic sectors;Total domestic sectors;Financial transactions;2005 1st quarter;13413.0;;;15690.0;15134.0;;
126;Total domestic sectors;Total domestic sectors;Financial transactions;2005 2nd quarter;30494.0;;;12226.0;20730.0;;
127;Total domestic sectors;Total domestic sectors;Financial transactions;2005 3rd quarter;13733.0;;;3114.0;14877.0;;
128;Total domestic sectors;Total domestic sectors;Financial transactions;2005 4th quarter;16361.0;;;-2208.0;18311.0;;
129;Total domestic sectors;Total domestic sectors;Financial transactions;2005;74001.0;;;28822.0;69052.0;;
130;Total domestic sectors;Total domestic sectors;Financial transactions;2006 1st quarter;24967.0;;;2682.0;10150.0;;
131;Total domestic sectors;Total domestic sectors;Financial transactions;2006 2nd quarter;-2874.0;;;-218.0;10758.0;;
132;Total domestic sectors;Total domestic sectors;Financial transactions;2006 3rd quarter;20933.0;;;6270.0;15992.0;;
133;Total domestic sectors;Total domestic sectors;Financial transactions;2006 4th quarter;1455.0;;;871.0;27716.0;;
134;Total domestic sectors;Total domestic sectors;Financial transactions;2006;44481.0;;;9605.0;64616.0;;
135;Total domestic sectors;Total domestic sectors;Financial transactions;2007 1st quarter;30995.0;;;18992.0;14144.0;;
136;Total domestic sectors;Total domestic sectors;Financial transactions;2007 2nd quarter;33179.0;;;5431.0;14146.0;;
137;Total domestic sectors;Total domestic sectors;Financial transactions;2007 3rd quarter;-12201.0;;;5608.0;9152.0;;
138;Total domestic sectors;Total domestic sectors;Financial transactions;2007 4th quarter;66725.0;;;-18390.0;6616.0;;
139;Total domestic sectors;Total domestic sectors;Financial transactions;2007;118698.0;;;11641.0;44058.0;;
140;Total domestic sectors;Total domestic sectors;Financial transactions;2008 1st quarter;-13406.0;;;29100.0;16665.0;;
141;Total domestic sectors;Total domestic sectors;Financial transactions;2008 2nd quarter;81483.0;;;10317.0;24647.0;;
142;Total domestic sectors;Total domestic sectors;Financial transactions;2008 3rd quarter;30644.0;;;-7072.0;19154.0;;
143;Total domestic sectors;Total domestic sectors;Financial transactions;2008 4th quarter;-20171.0;;;25847.0;17142.0;;
144;Total domestic sectors;Total domestic sectors;Financial transactions;2008;78550.0;;;58192.0;77608.0;;
145;Total domestic sectors;Total domestic sectors;Financial transactions;2009 1st quarter;-28176.0;;;-3174.0;15837.0;;
146;Total domestic sectors;Total domestic sectors;Financial transactions;2009 2nd quarter;61711.0;;;3614.0;2149.0;;
147;Total domestic sectors;Total domestic sectors;Financial transactions;2009 3rd quarter;-27271.0;;;-18882.0;2929.0;;
148;Total domestic sectors;Total domestic sectors;Financial transactions;2009 4th quarter;8006.0;;;6591.0;15967.0;;
149;Total domestic sectors;Total domestic sectors;Financial transactions;2009;14270.0;;;-11851.0;36882.0;;
150;Total domestic sectors;Total domestic sectors;Financial transactions;2010 1st quarter;15687.0;1301.0;-3209.0;6595.0;8377.0;-194.0;21812.0
151;Total domestic sectors;Total domestic sectors;Financial transactions;2010 2nd quarter;32586.0;-2608.0;1436.0;19506.0;11487.0;-221.0;-9427.0
152;Total domestic sectors;Total domestic sectors;Financial transactions;2010 3rd quarter;-63900.0;81.0;6990.0;-1914.0;-26468.0;398.0;123.0
153;Total domestic sectors;Total domestic sectors;Financial transactions;2010 4th quarter;8536.0;-1121.0;10631.0;-1085.0;10512.0;-823.0;-4710.0
154;Total domestic sectors;Total domestic sectors;Financial transactions;2010;-7091.0;-2347.0;15848.0;23102.0;3908.0;-840.0;7798.0
155;Total domestic sectors;Total domestic sectors;Financial transactions;2011 1st quarter;2378.0;70.0;-28257.0;29214.0;-976.0;-836.0;12290.0
156;Total domestic sectors;Total domestic sectors;Financial transactions;2011 2nd quarter;32214.0;2206.0;-526.0;16081.0;2138.0;-1226.0;12393.0
157;Total domestic sectors;Total domestic sectors;Financial transactions;2011 3rd quarter;82881.0;-1179.0;12030.0;4055.0;185.0;-390.0;22555.0
158;Total domestic sectors;Total domestic sectors;Financial transactions;2011 4th quarter;39124.0;-868.0;21766.0;10643.0;-10268.0;-688.0;-15152.0
159;Total domestic sectors;Total domestic sectors;Financial transactions;2011;156597.0;229.0;5013.0;59993.0;-8921.0;-3140.0;32086.0
160;Total domestic sectors;Total domestic sectors;Financial transactions;2012 1st quarter;49101.0;-2686.0;-3549.0;9214.0;4671.0;-630.0;9877.0
161;Total domestic sectors;Total domestic sectors;Financial transactions;2012 2nd quarter;-15960.0;-534.0;-5799.0;6674.0;5225.0;818.0;4884.0
162;Total domestic sectors;Total domestic sectors;Financial transactions;2012 3rd quarter;-2186.0;2449.0;-7046.0;7446.0;-5025.0;-1488.0;5000.0
163;Total domestic sectors;Total domestic sectors;Financial transactions;2012 4th quarter;-6947.0;2629.0;987.0;-19276.0;4484.0;-21.0;6373.0
164;Total domestic sectors;Total domestic sectors;Financial transactions;2012;24008.0;1858.0;-15407.0;4058.0;9355.0;-1321.0;26134.0
165;Total domestic sectors;Total domestic sectors;Financial transactions;2013 1st quarter;-43427.0;-2806.0;-8812.0;6543.0;-10611.0;128.0;6733.0
166;Total domestic sectors;Total domestic sectors;Financial transactions;2013 2nd quarter;-101.0;20.0;9792.0;-6578.0;-1266.0;33.0;2343.0
167;Total domestic sectors;Total domestic sectors;Financial transactions;2013 3rd quarter;-15995.0;-814.0;-1185.0;-12761.0;-1092.0;7849.0;16441.0
168;Total domestic sectors;Total domestic sectors;Financial transactions;2013 4th quarter;-43250.0;1602.0;-11855.0;-37977.0;-10098.0;-10793.0;9177.0
169;Total domestic sectors;Total domestic sectors;Financial transactions;2013;-102773.0;-1998.0;-12060.0;-50773.0;-23067.0;-2783.0;34694.0
170;Total domestic sectors;Total domestic sectors;Financial transactions;2014 1st quarter;-4487.0;829.0;1182.0;7562.0;-17096.0;5302.0;4232.0
171;Total domestic sectors;Total domestic sectors;Financial transactions;2014 2nd quarter;-14184.0;569.0;4652.0;-4945.0;9165.0;-2247.0;9731.0
172;Total domestic sectors;Total domestic sectors;Financial transactions;2014 3rd quarter;-13397.0;-39.0;-5211.0;11120.0;-4288.0;4377.0;15183.0
173;Total domestic sectors;Total domestic sectors;Financial transactions;2014 4th quarter;26896.0;-949.0;-4603.0;-10075.0;-6439.0;-568.0;-6349.0
174;Total domestic sectors;Total domestic sectors;Financial transactions;2014;-5172.0;410.0;-3980.0;3662.0;-18658.0;6864.0;22797.0
175;Total domestic sectors;Total domestic sectors;Financial transactions;2015 1st quarter;21407.0;-1136.0;-1247.0;36622.0;-1450.0;-3989.0;-6234.0
176;Total domestic sectors;Total domestic sectors;Financial transactions;2015 2nd quarter;29827.0;-503.0;8068.0;-31288.0;8584.0;-2230.0;-1947.0
177;Total domestic sectors;Total domestic sectors;Financial transactions;2015 3rd quarter;15569.0;530.0;2447.0;-28097.0;2141.0;-2414.0;6613.0
178;Total domestic sectors;Total domestic sectors;Financial transactions;2015 4th quarter;3586.0;-1709.0;-2051.0;-10637.0;-482.0;103.0;1804.0
179;Total domestic sectors;Total domestic sectors;Financial transactions;2015;70389.0;-2818.0;7217.0;-33400.0;8793.0;-8530.0;236.0
180;Total domestic sectors;Total domestic sectors;Financial transactions;2016 1st quarter;43624.0;1357.0;-2314.0;29735.0;1274.0;-82.0;7867.0
181;Total domestic sectors;Total domestic sectors;Financial transactions;2016 2nd quarter;11367.0;579.0;22748.0;-20886.0;7895.0;7186.0;7301.0
182;Total domestic sectors;Total domestic sectors;Financial transactions;2016 3rd quarter;54277.0;292.0;5245.0;-727.0;3041.0;-2389.0;5026.0
183;Total domestic sectors;Total domestic sectors;Financial transactions;2016 4th quarter;-21542.0;-1299.0;-667.0;-32661.0;1460.0;15823.0;-7600.0
184;Total domestic sectors;Total domestic sectors;Financial transactions;2016;87726.0;929.0;25012.0;-24539.0;13670.0;20538.0;12594.0
185;Total domestic sectors;Total domestic sectors;Financial transactions;2017 1st quarter;84026.0;1602.0;6365.0;25124.0;4185.0;-1085.0;-6944.0
186;Total domestic sectors;Total domestic sectors;Financial transactions;2017 2nd quarter;-30857.0;-363.0;3903.0;-8255.0;11554.0;-87.0;21035.0
187;Total domestic sectors;Total domestic sectors;Financial transactions;2017 3rd quarter;34397.0;-149.0;-10422.0;-6196.0;4109.0;-1925.0;16507.0
188;Total domestic sectors;Total domestic sectors;Financial transactions;2017 4th quarter;-47061.0;566.0;3023.0;5902.0;-2983.0;-713.0;-18302.0
189;Total domestic sectors;Total domestic sectors;Financial transactions;2017;40505.0;1656.0;2869.0;16575.0;16865.0;-3810.0;12296.0
190;Total domestic sectors;Total domestic sectors;Total other changes;1999 1st quarter;75.0;;;15.0;-322.0;;
191;Total domestic sectors;Total domestic sectors;Total other changes;1999 2nd quarter;-182.0;;;423.0;-876.0;;
192;Total domestic sectors;Total domestic sectors;Total other changes;1999 3rd quarter;-350.0;;;829.0;717.0;;
193;Total domestic sectors;Total domestic sectors;Total other changes;1999 4th quarter;426.0;;;1172.0;2473.0;;
194;Total domestic sectors;Total domestic sectors;Total other changes;1999;-31.0;;;2439.0;1992.0;;
195;Total domestic sectors;Total domestic sectors;Total other changes;2000 1st quarter;1231.0;;;-163.0;-3038.0;;
196;Total domestic sectors;Total domestic sectors;Total other changes;2000 2nd quarter;-353.0;;;457.0;-1487.0;;
197;Total domestic sectors;Total domestic sectors;Total other changes;2000 3rd quarter;810.0;;;-172.0;3426.0;;
198;Total domestic sectors;Total domestic sectors;Total other changes;2000 4th quarter;-954.0;;;-276.0;-3282.0;;
199;Total domestic sectors;Total domestic sectors;Total other changes;2000;734.0;;;-154.0;-4381.0;;
200;Total domestic sectors;Total domestic sectors;Total other changes;2001 1st quarter;-271.0;;;-1461.0;1262.0;;
201;Total domestic sectors;Total domestic sectors;Total other changes;2001 2nd quarter;645.0;;;-2494.0;1124.0;;
202;Total domestic sectors;Total domestic sectors;Total other changes;2001 3rd quarter;-429.0;;;-2616.0;642.0;;
203;Total domestic sectors;Total domestic sectors;Total other changes;2001 4th quarter;307.0;;;-2744.0;2524.0;;
204;Total domestic sectors;Total domestic sectors;Total other changes;2001;252.0;;;-9315.0;5552.0;;
205;Total domestic sectors;Total domestic sectors;Total other changes;2002 1st quarter;1929.0;;;-1351.0;603.0;;
206;Total domestic sectors;Total domestic sectors;Total other changes;2002 2nd quarter;-2173.0;;;-1316.0;22.0;;
207;Total domestic sectors;Total domestic sectors;Total other changes;2002 3rd quarter;412.0;;;-963.0;10.0;;
208;Total domestic sectors;Total domestic sectors;Total other changes;2002 4th quarter;-849.0;;;111.0;782.0;;
209;Total domestic sectors;Total domestic sectors;Total other changes;2002;-681.0;;;-3519.0;1417.0;;
210;Total domestic sectors;Total domestic sectors;Total other changes;2003 1st quarter;1830.0;;;954.0;1046.0;;
211;Total domestic sectors;Total domestic sectors;Total other changes;2003 2nd quarter;-1635.0;;;989.0;879.0;;
212;Total domestic sectors;Total domestic sectors;Total other changes;2003 3rd quarter;353.0;;;1047.0;1046.0;;
213;Total domestic sectors;Total domestic sectors;Total other changes;2003 4th quarter;-1711.0;;;1151.0;1012.0;;
214;Total domestic sectors;Total domestic sectors;Total other changes;2003;-1163.0;;;4141.0;3983.0;;
215;Total domestic sectors;Total domestic sectors;Total other changes;2004 1st quarter;3562.0;;;-113.0;-612.0;;
216;Total domestic sectors;Total domestic sectors;Total other changes;2004 2nd quarter;197.0;;;-341.0;-1153.0;;
217;Total domestic sectors;Total domestic sectors;Total other changes;2004 3rd quarter;-5012.0;;;-498.0;-1110.0;;
218;Total domestic sectors;Total domestic sectors;Total other changes;2004 4th quarter;-66.0;;;-585.0;-834.0;;
219;Total domestic sectors;Total domestic sectors;Total other changes;2004;-1319.0;;;-1537.0;-3709.0;;
220;Total domestic sectors;Total domestic sectors;Total other changes;2005 1st quarter;614.0;;;-1674.0;-3361.0;;
221;Total domestic sectors;Total domestic sectors;Total other changes;2005 2nd quarter;602.0;;;9.0;-841.0;;
222;Total domestic sectors;Total domestic sectors;Total other changes;2005 3rd quarter;648.0;;;-1142.0;574.0;;
