ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
43;A-U All economic activities;2011 January - 2011 December;96.0;1.7;94.4;2.0;0.2
44;A-U All economic activities;2011 April - 2012 March;96.0;1.6;94.5;1.9;0.3
45;A-U All economic activities;2011 July - 2012 June;96.3;1.9;95.0;2.3;0.4
46;A-U All economic activities;2011 October - 2012 September;97.2;2.5;96.0;3.0;0.5
47;A-U All economic activities;2012 January - 2012 December;98.1;2.1;97.1;2.8;0.7
48;A-U All economic activities;2012 April - 2013 March;99.3;3.4;98.5;4.2;0.7
49;A-U All economic activities;2012 July - 2013 June;99.3;3.1;98.7;3.9;0.8
50;A-U All economic activities;2012 October - 2013 September;99.3;2.1;98.9;3.0;0.9
51;A-U All economic activities;2013 January - 2013 December;99.1;1.0;98.9;1.8;0.8
52;A-U All economic activities;2013 April - 2014 March;99.0;-0.3;98.9;0.4;0.7
53;A-U All economic activities;2013 July - 2014 June;99.2;-0.1;99.2;0.6;0.6
54;A-U All economic activities;2013 October - 2014 September;99.1;-0.2;99.2;0.3;0.5
55;A-U All economic activities;2014 January - 2014 December;99.8;0.8;100.0;1.1;0.4
56;A-U All economic activities;2014 April - 2015 March ;100.0;1.1;100.1;1.3;0.2
57;A-U All economic activities;2014 July - 2015 June;100.3;1.1;100.4;1.2;0.1
58;A-U All economic activities;2014 October - 2015 September;100.7;1.5;100.7;1.5;0.0
59;A-U All economic activities;2015 January - 2015 December;100.0;0.2;100.0;0.0;-0.1
60;A-U All economic activities;2015 April - 2016 March;100.4;0.4;100.4;0.2;-0.2
61;A-U All economic activities;2015 July - 2016 June;99.8;-0.5;99.7;-0.7;-0.2
62;A-U All economic activities;2015 October - 2016 September;100.2;-0.4;100.1;-0.6;-0.2
63;A-U All economic activities;2016 January - 2016 December;101.0;1.0;100.7;0.7;-0.3
64;A-U All economic activities;2016 April - 2017 March;100.4;0.0;100.1;-0.3;-0.3
65;A-U All economic activities;2016 July - 2017 June;101.1;1.3;100.7;1.0;-0.3
66;A-U All economic activities;2016 October - 2017 September;101.5;1.3;100.9;0.8;-0.5
67;A-U All economic activities;2017 January - 2017 December;102.6;1.6;101.7;1.0;-0.5
68;A-U All economic activities;2017 April - 2018 March;103.5;3.0;102.5;2.4;-0.6
69;A-U All economic activities;2017 July - 2018 June;104.1;2.9;103.0;2.3;-0.6
70;A-U All economic activities;2017 October - 2018 September;104.7;3.2;103.6;2.7;-0.5
71;A-U All economic activities;2018 January - 2018 December;104.8;2.2;103.7;1.9;-0.3
72;A-U All economic activities;2018 April - 2019 March;105.7;2.2;104.5;1.9;-0.2
73;A-U All economic activities;2018 July - 2019 June;106.3;2.1;105.1;2.0;-0.1
74;A-U All economic activities;2018 October - 2019 September;106.3;1.5;105.3;1.6;0.1
75;A-U All economic activities;2019 January - 2019 December;107.3;2.4;106.3;2.5;0.1
76;A-U All economic activities;2019 April - 2020 March;109.1;3.3;108.3;3.6;0.3
77;A-U All economic activities;2019 July - 2020 June;108.5;2.1;108.2;2.9;0.8
78;A-U All economic activities;2019 October - 2020 September;110.4;3.8;110.4;4.9;1.1
79;A-U All economic activities;2020 January - 2020 December;110.3;2.8;110.9;4.3;1.5
80;A-U All economic activities;2020 April - 2021 March;108.6;-0.5;109.6;1.2;1.7
81;A-U All economic activities;2020 July - 2021 June;109.8;1.2;110.6;2.2;1.0
82;A-U All economic activities;2020 October - 2021 September;110.7;0.3;111.3;0.8;0.5
83;A-U All economic activities;2021 January - 2021 December;111.3;0.9;111.7;0.8;-0.1
84;A-U All economic activities;2021 April - 2022 March;112.4;3.5;112.4;2.5;-0.9
85;A-U All economic activities;2021 July - 2022 June;114.7;4.4;114.5;3.5;-0.9
86;A-U All economic activities;2021 October - 2022 September;116.1;4.9;116.0;4.2;-0.7
87;A-U All economic activities;2022 January - 2022 December;118.7;6.7;118.5;6.1;-0.5
88;A-U All economic activities;2022 April - 2023 March;120.1;6.8;120.0;6.7;-0.1
89;A-U All economic activities;2022 July - 2023 June;122.0;6.4;122.0;6.6;0.2
90;A-U All economic activities;2022 October - 2023 September;123.8;6.6;124.0;6.9;0.3
91;A-U All economic activities;2023 January - 2023 December;126.3;6.4;126.6;6.8;0.4
92;A Agriculture, forestry and fishing;2001;78.5;;72.5;;
93;A Agriculture, forestry and fishing;2002;82.7;5.3;76.7;5.9;0.5
94;A Agriculture, forestry and fishing;2003;85.4;3.3;79.7;3.9;0.6
95;A Agriculture, forestry and fishing;2004;84.3;-1.3;79.5;-0.3;1.0
96;A Agriculture, forestry and fishing;2005;85.9;1.9;79.6;0.1;-1.7
97;A Agriculture, forestry and fishing;2006;86.4;0.6;80.8;1.6;0.9
98;A Agriculture, forestry and fishing;2007;89.1;3.1;83.8;3.6;0.6
99;A Agriculture, forestry and fishing;2008;92.4;3.7;87.5;4.5;0.7
100;A Agriculture, forestry and fishing;2009;92.0;-0.4;87.3;-0.3;0.1
101;A Agriculture, forestry and fishing;2010;94.1;2.3;91.0;4.3;2.0
102;A Agriculture, forestry and fishing;2011;96.2;2.2;93.5;2.7;0.6
103;A Agriculture, forestry and fishing;2012;99.2;3.1;97.0;3.7;0.6
104;A Agriculture, forestry and fishing;2013;98.7;-0.5;97.4;0.4;0.9
105;A Agriculture, forestry and fishing;2014;99.0;0.3;98.6;1.3;1.0
106;A Agriculture, forestry and fishing;2015;100.0;1.0;100.0;1.4;0.4
107;A Agriculture, forestry and fishing;2016;98.7;-1.3;99.3;-0.7;0.6
108;A Agriculture, forestry and fishing;2017;99.5;0.7;99.9;0.6;-0.1
109;A Agriculture, forestry and fishing;2018;101.6;2.1;102.4;2.5;0.4
110;A Agriculture, forestry and fishing;2019;103.1;1.5;104.6;2.1;0.7
111;A Agriculture, forestry and fishing;2020;103.8;0.7;105.4;0.7;0.1
112;A Agriculture, forestry and fishing;2021;105.8;2.0;108.6;3.1;1.0
113;A Agriculture, forestry and fishing;2022;110.6;4.5;114.7;5.6;1.1
114;A Agriculture, forestry and fishing;2023;119.2;7.8;124.6;8.6;0.7
115;A Agriculture, forestry and fishing;2006 January - 2006 December;86.4;0.6;80.8;1.6;0.9
116;A Agriculture, forestry and fishing;2006 April - 2007 March;86.9;;81.3;;
117;A Agriculture, forestry and fishing;2006 July - 2007 June;87.0;;81.6;;
118;A Agriculture, forestry and fishing;2006 October - 2007 September;88.2;;82.8;;
119;A Agriculture, forestry and fishing;2007 January - 2007 December;89.1;3.1;83.8;3.6;0.6
120;A Agriculture, forestry and fishing;2007 April - 2008 March;89.5;3.0;84.2;3.6;0.6
121;A Agriculture, forestry and fishing;2007 July - 2008 June;90.4;3.8;85.3;4.5;0.6
122;A Agriculture, forestry and fishing;2007 October - 2008 September;92.2;4.6;87.3;5.4;0.8
123;A Agriculture, forestry and fishing;2008 January - 2008 December;92.4;3.7;87.5;4.5;0.7
124;A Agriculture, forestry and fishing;2008 April - 2009 March;92.9;3.8;88.1;4.5;0.7
125;A Agriculture, forestry and fishing;2008 July - 2009 June;93.0;3.0;88.3;3.5;0.6
126;A Agriculture, forestry and fishing;2008 October - 2009 September;93.1;0.9;88.3;1.2;0.3
127;A Agriculture, forestry and fishing;2009 January - 2009 December;92.0;-0.4;87.3;-0.3;0.1
128;A Agriculture, forestry and fishing;2009 April - 2010 March;94.3;1.5;89.9;2.1;0.6
129;A Agriculture, forestry and fishing;2009 July - 2010 June;94.7;1.8;90.8;2.9;1.1
130;A Agriculture, forestry and fishing;2009 October - 2010 September;93.0;-0.1;89.6;1.5;1.5
131;A Agriculture, forestry and fishing;2010 January - 2010 December;94.1;2.3;91.0;4.3;2.0
132;A Agriculture, forestry and fishing;2010 April - 2011 March;94.2;0.0;91.2;1.5;1.5
133;A Agriculture, forestry and fishing;2010 July - 2011 June;94.3;-0.4;91.5;0.7;1.1
134;A Agriculture, forestry and fishing;2010 October - 2011 September;94.9;2.0;92.2;2.9;0.8
135;A Agriculture, forestry and fishing;2011 January - 2011 December;96.2;2.2;93.5;2.7;0.6
136;A Agriculture, forestry and fishing;2011 April - 2012 March;96.5;2.4;93.9;2.9;0.5
137;A Agriculture, forestry and fishing;2011 July - 2012 June;97.2;3.0;94.8;3.6;0.6
138;A Agriculture, forestry and fishing;2011 October - 2012 September;98.2;3.5;95.9;4.0;0.5
139;A Agriculture, forestry and fishing;2012 January - 2012 December;99.2;3.1;97.0;3.7;0.6
140;A Agriculture, forestry and fishing;2012 April - 2013 March;99.9;3.5;97.9;4.2;0.7
141;A Agriculture, forestry and fishing;2012 July - 2013 June;99.6;2.5;97.9;3.3;0.7
142;A Agriculture, forestry and fishing;2012 October - 2013 September;99.6;1.4;98.0;2.3;0.8
143;A Agriculture, forestry and fishing;2013 January - 2013 December;98.7;-0.5;97.4;0.4;0.9
144;A Agriculture, forestry and fishing;2013 April - 2014 March;98.5;-1.4;97.4;-0.5;1.0
145;A Agriculture, forestry and fishing;2013 July - 2014 June;98.5;-1.2;97.5;-0.4;0.8
146;A Agriculture, forestry and fishing;2013 October - 2014 September;98.1;-1.5;97.5;-0.5;1.0
147;A Agriculture, forestry and fishing;2014 January - 2014 December;99.0;0.3;98.6;1.3;1.0
148;A Agriculture, forestry and fishing;2014 April - 2015 March ;99.3;0.8;99.0;1.6;0.8
149;A Agriculture, forestry and fishing;2014 July - 2015 June;99.9;1.4;99.8;2.4;0.9
150;A Agriculture, forestry and fishing;2014 October - 2015 September;100.5;2.4;100.5;3.1;0.6
151;A Agriculture, forestry and fishing;2015 January - 2015 December;100.0;1.0;100.0;1.4;0.4
152;A Agriculture, forestry and fishing;2015 April - 2016 March;100.0;0.8;100.1;1.1;0.3
153;A Agriculture, forestry and fishing;2015 July - 2016 June;98.7;-1.1;98.9;-0.9;0.3
154;A Agriculture, forestry and fishing;2015 October - 2016 September;98.6;-1.8;99.1;-1.4;0.4
155;A Agriculture, forestry and fishing;2016 January - 2016 December;98.7;-1.3;99.3;-0.7;0.6
156;A Agriculture, forestry and fishing;2016 April - 2017 March;98.1;-2.0;98.7;-1.4;0.5
157;A Agriculture, forestry and fishing;2016 July - 2017 June;98.6;-0.1;99.2;0.2;0.4
158;A Agriculture, forestry and fishing;2016 October - 2017 September;98.7;0.0;99.2;0.1;0.1
159;A Agriculture, forestry and fishing;2017 January - 2017 December;99.5;0.7;99.9;0.6;-0.1
160;A Agriculture, forestry and fishing;2017 April - 2018 March;100.2;2.1;100.7;2.0;-0.1
161;A Agriculture, forestry and fishing;2017 July - 2018 June;101.1;2.6;101.8;2.6;0.1
162;A Agriculture, forestry and fishing;2017 October - 2018 September;101.7;3.0;102.4;3.3;0.2
163;A Agriculture, forestry and fishing;2018 January - 2018 December;101.6;2.1;102.4;2.5;0.4
164;A Agriculture, forestry and fishing;2018 April - 2019 March;102.2;2.0;103.1;2.4;0.4
165;A Agriculture, forestry and fishing;2018 July - 2019 June;102.4;1.3;103.5;1.7;0.4
166;A Agriculture, forestry and fishing;2018 October - 2019 September;102.4;0.8;103.7;1.3;0.5
167;A Agriculture, forestry and fishing;2019 January - 2019 December;103.1;1.5;104.6;2.1;0.7
168;A Agriculture, forestry and fishing;2019 April - 2020 March;104.3;2.1;106.1;2.9;0.8
169;A Agriculture, forestry and fishing;2019 July - 2020 June;103.5;1.0;105.0;1.5;0.5
170;A Agriculture, forestry and fishing;2019 October - 2020 September;104.9;2.4;106.5;2.7;0.3
171;A Agriculture, forestry and fishing;2020 January - 2020 December;103.8;0.7;105.4;0.7;0.1
172;A Agriculture, forestry and fishing;2020 April - 2021 March;102.5;-1.7;104.1;-1.9;-0.2
173;A Agriculture, forestry and fishing;2020 July - 2021 June;103.7;0.3;105.9;0.9;0.6
174;A Agriculture, forestry and fishing;2020 October - 2021 September;104.6;-0.2;107.1;0.6;0.8
175;A Agriculture, forestry and fishing;2021 January - 2021 December;105.8;2.0;108.6;3.1;1.0
176;A Agriculture, forestry and fishing;2021 April - 2022 March;106.5;3.9;109.6;5.3;1.3
177;A Agriculture, forestry and fishing;2021 July - 2022 June;108.3;4.4;111.9;5.6;1.2
178;A Agriculture, forestry and fishing;2021 October - 2022 September;108.8;4.0;112.7;5.2;1.2
179;A Agriculture, forestry and fishing;2022 January - 2022 December;110.6;4.5;114.7;5.6;1.1
180;A Agriculture, forestry and fishing;2022 April - 2023 March;112.2;5.4;116.6;6.4;0.9
181;A Agriculture, forestry and fishing;2022 July - 2023 June;114.2;5.5;118.8;6.2;0.7
182;A Agriculture, forestry and fishing;2022 October - 2023 September;116.9;7.4;121.9;8.1;0.7
183;A Agriculture, forestry and fishing;2023 January - 2023 December;119.2;7.8;124.6;8.6;0.7
184;B-F Manufacturing and energy;2001;78.1;;69.8;;
185;B-F Manufacturing and energy;2002;81.5;4.3;73.6;5.3;1.0
186;B-F Manufacturing and energy;2003;83.8;2.8;76.3;3.8;0.9
187;B-F Manufacturing and energy;2004;85.1;1.6;78.3;2.5;0.9
188;B-F Manufacturing and energy;2005;86.1;1.2;80.0;2.2;1.1
189;B-F Manufacturing and energy;2006;87.8;2.0;82.1;2.6;0.6
190;B-F Manufacturing and energy;2007;89.8;2.2;84.3;2.7;0.5
191;B-F Manufacturing and energy;2008;94.1;4.8;88.7;5.1;0.3
192;B-F Manufacturing and energy;2009;97.2;3.3;92.4;4.1;0.8
193;B-F Manufacturing and energy;2010;94.7;-2.6;91.2;-1.3;1.4
194;B-F Manufacturing and energy;2011;96.1;1.6;93.1;2.1;0.5
195;B-F Manufacturing and energy;2012;98.9;2.8;96.5;3.7;0.8
196;B-F Manufacturing and energy;2013;98.7;-0.1;97.5;1.1;1.2
197;B-F Manufacturing and energy;2014;100.4;1.7;99.9;2.4;0.7
198;B-F Manufacturing and energy;2015;100.0;-0.4;100.0;0.1;0.5
199;B-F Manufacturing and energy;2016;101.2;1.2;101.7;1.7;0.5
200;B-F Manufacturing and energy;2017;102.4;1.1;103.1;1.3;0.2
201;B-F Manufacturing and energy;2018;104.6;2.2;105.4;2.3;0.1
202;B-F Manufacturing and energy;2019;106.6;2.0;107.7;2.1;0.2
203;B-F Manufacturing and energy;2020;111.6;4.7;112.8;4.8;0.1
204;B-F Manufacturing and energy;2021;111.6;0.0;113.2;0.3;0.3
205;B-F Manufacturing and energy;2022;118.7;6.4;120.7;6.7;0.3
206;B-F Manufacturing and energy;2023;125.4;5.7;128.1;6.1;0.4
207;B-F Manufacturing and energy;2006 January - 2006 December;87.8;2.0;82.1;2.6;0.6
208;B-F Manufacturing and energy;2006 April - 2007 March;88.5;;82.9;;
209;B-F Manufacturing and energy;2006 July - 2007 June;89.1;;83.5;;
210;B-F Manufacturing and energy;2006 October - 2007 September;89.3;;83.9;;
211;B-F Manufacturing and energy;2007 January - 2007 December;89.8;2.2;84.3;2.7;0.5
212;B-F Manufacturing and energy;2007 April - 2008 March;91.3;3.1;85.9;3.6;0.5
213;B-F Manufacturing and energy;2007 July - 2008 June;92.7;4.1;87.2;4.5;0.4
214;B-F Manufacturing and energy;2007 October - 2008 September;93.3;4.5;87.9;4.8;0.3
215;B-F Manufacturing and energy;2008 January - 2008 December;94.1;4.8;88.7;5.1;0.3
216;B-F Manufacturing and energy;2008 April - 2009 March;94.9;4.0;89.6;4.3;0.3
217;B-F Manufacturing and energy;2008 July - 2009 June;96.1;3.7;90.9;4.2;0.5
218;B-F Manufacturing and energy;2008 October - 2009 September;96.8;3.8;91.8;4.4;0.7
219;B-F Manufacturing and energy;2009 January - 2009 December;97.2;3.3;92.4;4.1;0.8
220;B-F Manufacturing and energy;2009 April - 2010 March;97.3;2.4;92.7;3.5;1.1
221;B-F Manufacturing and energy;2009 July - 2010 June;96.8;0.7;92.7;2.0;1.2
222;B-F Manufacturing and energy;2009 October - 2010 September;95.4;-1.5;91.6;-0.2;1.3
223;B-F Manufacturing and energy;2010 January - 2010 December;94.7;-2.6;91.2;-1.3;1.4
224;B-F Manufacturing and energy;2010 April - 2011 March;94.7;-2.6;91.4;-1.5;1.2
225;B-F Manufacturing and energy;2010 July - 2011 June;94.6;-2.3;91.4;-1.4;0.9
226;B-F Manufacturing and energy;2010 October - 2011 September;94.9;-0.5;91.8;0.2;0.7
227;B-F Manufacturing and energy;2011 January - 2011 December;96.1;1.6;93.1;2.1;0.5
228;B-F Manufacturing and energy;2011 April - 2012 March;96.3;1.7;93.4;2.2;0.5
229;B-F Manufacturing and energy;2011 July - 2012 June;96.8;2.3;94.0;2.9;0.6
230;B-F Manufacturing and energy;2011 October - 2012 September;97.8;3.1;95.3;3.8;0.7
231;B-F Manufacturing and energy;2012 January - 2012 December;98.9;2.8;96.5;3.7;0.8
232;B-F Manufacturing and energy;2012 April - 2013 March;100.0;3.8;97.9;4.8;1.0
233;B-F Manufacturing and energy;2012 July - 2013 June;99.7;3.0;97.9;4.1;1.1
234;B-F Manufacturing and energy;2012 October - 2013 September;99.3;1.5;97.8;2.6;1.1
235;B-F Manufacturing and energy;2013 January - 2013 December;98.7;-0.1;97.5;1.1;1.2
236;B-F Manufacturing and energy;2013 April - 2014 March;98.6;-1.4;97.6;-0.3;1.1
237;B-F Manufacturing and energy;2013 July - 2014 June;99.1;-0.6;98.3;0.4;1.0
238;B-F Manufacturing and energy;2013 October - 2014 September;99.3;0.0;98.6;0.9;0.9
239;B-F Manufacturing and energy;2014 January - 2014 December;100.4;1.7;99.9;2.4;0.7
240;B-F Manufacturing and energy;2014 April - 2015 March ;100.5;1.9;100.1;2.6;0.7
241;B-F Manufacturing and energy;2014 July - 2015 June;100.7;1.6;100.5;2.2;0.6
242;B-F Manufacturing and energy;2014 October - 2015 September;100.9;1.6;100.8;2.2;0.5
243;B-F Manufacturing and energy;2015 January - 2015 December;100.0;-0.4;100.0;0.1;0.5
244;B-F Manufacturing and energy;2015 April - 2016 March;100.7;0.2;100.8;0.7;0.5
245;B-F Manufacturing and energy;2015 July - 2016 June;100.1;-0.6;100.4;-0.1;0.5
246;B-F Manufacturing and energy;2015 October - 2016 September;100.6;-0.3;101.0;0.2;0.5
247;B-F Manufacturing and energy;2016 January - 2016 December;101.2;1.2;101.7;1.7;0.5
248;B-F Manufacturing and energy;2016 April - 2017 March;100.6;-0.1;101.2;0.4;0.5
249;B-F Manufacturing and energy;2016 July - 2017 June;101.1;0.9;101.8;1.4;0.5
250;B-F Manufacturing and energy;2016 October - 2017 September;101.4;0.8;102.1;1.1;0.3
251;B-F Manufacturing and energy;2017 January - 2017 December;102.4;1.1;103.1;1.3;0.2
252;B-F Manufacturing and energy;2017 April - 2018 March;103.3;2.7;104.1;2.9;0.1
253;B-F Manufacturing and energy;2017 July - 2018 June;104.1;3.0;104.9;3.1;0.1
254;B-F Manufacturing and energy;2017 October - 2018 September;104.7;3.3;105.6;3.4;0.1
255;B-F Manufacturing and energy;2018 January - 2018 December;104.6;2.2;105.4;2.3;0.1
256;B-F Manufacturing and energy;2018 April - 2019 March;105.1;1.7;105.9;1.8;0.1
257;B-F Manufacturing and energy;2018 July - 2019 June;105.6;1.4;106.5;1.5;0.1
258;B-F Manufacturing and energy;2018 October - 2019 September;105.6;0.9;106.6;1.0;0.1
259;B-F Manufacturing and energy;2019 January - 2019 December;106.6;2.0;107.7;2.1;0.2
260;B-F Manufacturing and energy;2019 April - 2020 March;108.3;3.1;109.5;3.3;0.2
261;B-F Manufacturing and energy;2019 July - 2020 June;108.3;2.5;109.5;2.8;0.3
262;B-F Manufacturing and energy;2019 October - 2020 September;111.0;5.1;112.3;5.3;0.2
263;B-F Manufacturing and energy;2020 January - 2020 December;111.6;4.7;112.8;4.8;0.1
264;B-F Manufacturing and energy;2020 April - 2021 March;110.8;2.3;112.1;2.4;0.2
265;B-F Manufacturing and energy;2020 July - 2021 June;111.6;3.1;113.1;3.3;0.2
266;B-F Manufacturing and energy;2020 October - 2021 September;111.6;0.5;113.2;0.8;0.2
267;B-F Manufacturing and energy;2021 January - 2021 December;111.6;0.0;113.2;0.3;0.3
268;B-F Manufacturing and energy;2021 April - 2022 March;112.6;1.6;114.2;1.9;0.3
269;B-F Manufacturing and energy;2021 July - 2022 June;114.9;2.9;116.7;3.2;0.2
270;B-F Manufacturing and energy;2021 October - 2022 September;116.3;4.2;118.1;4.4;0.2
271;B-F Manufacturing and energy;2022 January - 2022 December;118.7;6.4;120.7;6.7;0.3
272;B-F Manufacturing and energy;2022 April - 2023 March;119.9;6.5;122.0;6.8;0.3
273;B-F Manufacturing and energy;2022 July - 2023 June;121.8;6.0;124.1;6.4;0.3
274;B-F Manufacturing and energy;2022 October - 2023 September;123.4;6.1;125.8;6.5;0.4
275;B-F Manufacturing and energy;2023 January - 2023 December;125.4;5.7;128.1;6.1;0.4
276;B-E Industry (no construction), energy;2001;76.7;;68.8;;
277;B-E Industry (no construction), energy;2002;80.0;4.3;72.5;5.4;1.1
278;B-E Industry (no construction), energy;2003;82.0;2.6;75.1;3.5;0.9
279;B-E Industry (no construction), energy;2004;83.2;1.4;76.9;2.4;0.9
280;B-E Industry (no construction), energy;2005;84.2;1.2;78.7;2.3;1.1
281;B-E Industry (no construction), energy;2006;85.8;1.9;80.6;2.5;0.5
282;B-E Industry (no construction), energy;2007;88.0;2.5;83.1;3.1;0.6
283;B-E Industry (no construction), energy;2008;92.6;5.2;87.7;5.5;0.3
284;B-E Industry (no construction), energy;2009;96.7;4.5;92.3;5.3;0.8
285;B-E Industry (no construction), energy;2010;92.7;-4.2;89.7;-2.9;1.3
286;B-E Industry (no construction), energy;2011;95.0;2.5;92.3;2.9;0.4
287;B-E Industry (no construction), energy;2012;97.6;2.7;95.5;3.5;0.7
288;B-E Industry (no construction), energy;2013;98.0;0.3;96.9;1.5;1.1
289;B-E Industry (no construction), energy;2014;100.5;2.6;100.0;3.2;0.6
290;B-E Industry (no construction), energy;2015;100.0;-0.5;100.0;0.0;0.5
291;B-E Industry (no construction), energy;2016;100.9;0.9;101.4;1.4;0.6
292;B-E Industry (no construction), energy;2017;102.2;1.3;103.1;1.6;0.3
293;B-E Industry (no construction), energy;2018;104.3;2.1;105.6;2.4;0.3
294;B-E Industry (no construction), energy;2019;106.5;2.1;108.0;2.4;0.3
295;B-E Industry (no construction), energy;2020;110.6;3.8;112.3;3.9;0.1
296;B-E Industry (no construction), energy;2021;111.2;0.6;113.6;1.2;0.6
297;B-E Industry (no construction), energy;2022;119.0;7.0;122.0;7.3;0.3
298;B-E Industry (no construction), energy;2023;126.2;6.1;130.1;6.7;0.6
299;B-E Industry (no construction), energy;2006 January - 2006 December;85.8;1.9;80.6;2.5;0.5
300;B-E Industry (no construction), energy;2006 April - 2007 March;86.5;;81.4;;
301;B-E Industry (no construction), energy;2006 July - 2007 June;87.1;;82.0;;
302;B-E Industry (no construction), energy;2006 October - 2007 September;87.3;;82.4;;
303;B-E Industry (no construction), energy;2007 January - 2007 December;88.0;2.5;83.1;3.1;0.6
304;B-E Industry (no construction), energy;2007 April - 2008 March;89.6;3.6;84.7;4.1;0.5
305;B-E Industry (no construction), energy;2007 July - 2008 June;91.0;4.5;86.1;5.0;0.4
306;B-E Industry (no construction), energy;2007 October - 2008 September;91.7;5.0;86.8;5.4;0.3
307;B-E Industry (no construction), energy;2008 January - 2008 December;92.6;5.2;87.7;5.5;0.3
308;B-E Industry (no construction), energy;2008 April - 2009 March;93.6;4.5;88.8;4.8;0.3
309;B-E Industry (no construction), energy;2008 July - 2009 June;94.8;4.2;90.1;4.7;0.4
310;B-E Industry (no construction), energy;2008 October - 2009 September;95.8;4.5;91.3;5.2;0.6
311;B-E Industry (no construction), energy;2009 January - 2009 December;96.7;4.5;92.3;5.3;0.8
312;B-E Industry (no construction), energy;2009 April - 2010 March;96.1;2.6;92.1;3.7;1.0
313;B-E Industry (no construction), energy;2009 July - 2010 June;95.4;0.6;91.8;1.8;1.2
314;B-E Industry (no construction), energy;2009 October - 2010 September;93.8;-2.1;90.5;-0.9;1.2
315;B-E Industry (no construction), energy;2010 January - 2010 December;92.7;-4.2;89.7;-2.9;1.3
316;B-E Industry (no construction), energy;2010 April - 2011 March;93.1;-3.1;90.2;-2.1;1.1
317;B-E Industry (no construction), energy;2010 July - 2011 June;93.1;-2.4;90.3;-1.6;0.8
318;B-E Industry (no construction), energy;2010 October - 2011 September;93.6;-0.2;90.8;0.4;0.6
