ID;Geslacht;Onderwijssoort;BedrijstakkenSBI2008;StartkwalificatieOpPeilmoment;Peilmoment;Perioden;AlleSchoolverlatersUurloon_1;ZonderStartkwalificatieUurloon_2;MetStartkwalificatieUurloon_3
11;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2018/'19;11.13;9.38;11.41
12;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2019/'20;11.56;9.7;11.82
13;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2020/'21;11.94;10.29;12.31
14;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;Direct na verlaten onderwijs;2021/'22;12.8;11.54;13.21
15;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2007/'08;10.34;8.4;11.23
16;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2008/'09;10.46;8.39;11.34
17;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2009/'10;10.51;8.55;11.34
18;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2010/'11;10.45;8.54;11.06
19;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2011/'12;10.46;8.5;11.02
20;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2012/'13;10.43;8.46;10.94
21;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2013/'14;10.83;8.83;11.27
22;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2014/'15;11.16;8.97;11.63
23;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2015/'16;11.4;9.59;11.81
24;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2016/'17;12.0;10.31;12.44
25;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2017/'18;12.47;11.18;12.93
26;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2018/'19;13.01;11.63;13.48
27;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2019/'20;13.33;11.92;13.71
28;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2020/'21;14.32;12.86;14.84
29;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;1 jaar na verlaten onderwijs;2021/'22;;;
30;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2007/'08;11.65;9.91;12.47
31;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2008/'09;11.66;9.82;12.43
32;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2009/'10;11.36;9.74;12.02
33;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2010/'11;11.43;9.8;11.99
34;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2011/'12;11.39;9.69;11.87
35;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2012/'13;11.8;10.13;12.3
36;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2013/'14;12.12;10.34;12.6
37;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2014/'15;12.35;10.83;12.78
38;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2015/'16;12.9;11.32;13.39
39;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2016/'17;13.35;11.93;13.8
40;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2017/'18;13.87;12.43;14.43
41;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2018/'19;14.29;12.81;14.83
42;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2019/'20;15.29;13.66;15.77
43;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2020/'21;;;
44;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;2 jaar na verlaten onderwijs;2021/'22;;;
45;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2007/'08;12.52;10.77;13.31
46;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2008/'09;12.16;10.58;12.85
47;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2009/'10;12.16;10.65;12.73
48;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2010/'11;12.1;10.64;12.62
49;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2011/'12;12.53;10.95;13.0
50;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2012/'13;12.86;11.25;13.36
51;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2013/'14;12.99;11.47;13.4
52;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2014/'15;13.63;11.99;14.09
53;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2015/'16;14.08;12.51;14.52
54;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2016/'17;14.65;13.0;15.12
55;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2017/'18;15.0;13.39;15.51
56;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2018/'19;16.1;14.33;16.66
57;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2019/'20;;;
58;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2020/'21;;;
59;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;3 jaar na verlaten onderwijs;2021/'22;;;
60;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2007/'08;12.87;11.35;13.6
61;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2008/'09;12.79;11.35;13.43
62;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2009/'10;12.67;11.28;13.24
63;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2010/'11;13.06;11.53;13.62
64;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2011/'12;13.43;11.83;13.99
65;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2012/'13;13.56;12.04;14.02
66;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2013/'14;14.14;12.48;14.65
67;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2014/'15;14.69;12.93;15.15
68;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2015/'16;15.34;13.43;15.8
69;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2016/'17;15.65;13.76;16.16
70;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2017/'18;16.76;14.78;17.31
71;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2018/'19;;;
72;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2019/'20;;;
73;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2020/'21;;;
74;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;4 jaar na verlaten onderwijs;2021/'22;;;
75;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2007/'08;13.41;11.93;14.14
76;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2008/'09;13.23;11.78;13.86
77;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2009/'10;13.62;12.13;14.25
78;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2010/'11;13.88;12.31;14.53
79;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2011/'12;14.03;12.44;14.63
80;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2012/'13;14.65;12.99;15.18
81;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2013/'14;15.09;13.28;15.59
82;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2014/'15;15.85;13.75;16.36
83;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2015/'16;16.27;14.15;16.75
84;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2016/'17;17.33;15.26;17.85
85;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2017/'18;;;
86;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2018/'19;;;
87;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2019/'20;;;
88;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2020/'21;;;
89;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;5 jaar na verlaten onderwijs;2021/'22;;;
90;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2007/'08;16.96;14.76;17.95
91;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2008/'09;17.3;15.03;18.15
92;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2009/'10;17.8;15.47;18.7
93;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2010/'11;18.05;15.73;18.94
94;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2011/'12;19.16;16.92;19.88
95;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2012/'13;;;
96;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2013/'14;;;
97;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2014/'15;;;
98;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2015/'16;;;
99;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2016/'17;;;
100;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2017/'18;;;
101;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2018/'19;;;
102;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2019/'20;;;
103;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2020/'21;;;
104;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Totaal schoolverlaters;10 jaar na verlaten onderwijs;2021/'22;;;
105;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2007/'08;9.55;;9.55
106;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2008/'09;9.51;;9.51
107;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2009/'10;9.56;;9.56
108;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2010/'11;9.6;;9.6
109;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2011/'12;9.37;;9.37
110;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2012/'13;9.37;;9.37
111;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2013/'14;9.33;;9.33
112;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2014/'15;9.48;;9.48
113;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2015/'16;9.58;;9.58
114;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2016/'17;10.22;;10.22
115;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2017/'18;10.85;;10.85
116;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2018/'19;11.41;;11.41
117;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2019/'20;11.82;;11.82
118;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2020/'21;12.31;;12.31
119;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;Direct na verlaten onderwijs;2021/'22;13.21;;13.21
120;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2007/'08;11.21;9.96;11.23
121;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2008/'09;11.33;10.04;11.34
122;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2009/'10;11.32;9.66;11.34
123;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2010/'11;11.05;10.26;11.06
124;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2011/'12;11.01;9.83;11.02
125;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2012/'13;10.94;9.3;10.94
126;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2013/'14;11.27;9.82;11.27
127;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2014/'15;11.62;10.14;11.63
128;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2015/'16;11.8;10.84;11.81
129;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2016/'17;12.44;11.18;12.44
130;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2017/'18;12.93;12.11;12.93
131;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2018/'19;13.48;13.24;13.48
132;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2019/'20;13.71;13.65;13.71
133;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2020/'21;14.84;13.42;14.84
134;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;1 jaar na verlaten onderwijs;2021/'22;;;
135;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2007/'08;12.45;11.14;12.47
136;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2008/'09;12.41;11.24;12.43
137;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2009/'10;12.01;10.79;12.02
138;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2010/'11;11.99;11.09;11.99
139;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2011/'12;11.86;10.97;11.87
140;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2012/'13;12.3;11.23;12.3
141;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2013/'14;12.6;11.53;12.6
142;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2014/'15;12.78;11.43;12.78
143;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2015/'16;13.38;11.85;13.39
144;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2016/'17;13.79;13.16;13.8
145;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2017/'18;14.43;13.9;14.43
146;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2018/'19;14.83;13.92;14.83
147;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2019/'20;15.77;14.84;15.77
148;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2020/'21;;;
149;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;2 jaar na verlaten onderwijs;2021/'22;;;
150;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2007/'08;13.29;12.16;13.31
151;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2008/'09;12.84;11.91;12.85
152;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2009/'10;12.73;11.83;12.73
153;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2010/'11;12.61;12.14;12.62
154;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2011/'12;12.99;12.26;13.0
155;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2012/'13;13.35;12.18;13.36
156;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2013/'14;13.4;12.85;13.4
157;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2014/'15;14.08;12.52;14.09
158;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2015/'16;14.52;13.72;14.52
159;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2016/'17;15.11;14.24;15.12
160;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2017/'18;15.51;15.28;15.51
161;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2018/'19;16.66;15.79;16.66
162;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2019/'20;;;
163;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2020/'21;;;
164;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;3 jaar na verlaten onderwijs;2021/'22;;;
165;Totaal schoolverlaters;Totaal schoolverlaters;A-U Alle economische activiteiten;Met startkwalificatie;4 jaar na verlaten onderwijs;2007/'08;13.58;12.41;13.6
