ID;Kenmerken;Marges;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidFinancieleSituatie_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreZorgenOverFinancieleToekomst_13;GeenZorgen_14;WeinigZorgen_15;VeelZorgen_16
22;Totaal personen;Bovengrens 95%-interval;2013;7.7;2.9;10.8;88.4;7.6;4.0;13.9;84.5;7.0;10.1;23.5;69.5;5.2;41.0;29.0;33.4
23;Totaal personen;Bovengrens 95%-interval;2014;7.7;2.8;10.5;88.7;7.6;3.8;12.9;85.5;7.1;9.7;21.1;72.0;4.9;45.7;26.8;30.9
24;Totaal personen;Bovengrens 95%-interval;2015;7.7;3.2;10.6;88.2;7.6;4.4;13.0;84.8;7.1;9.4;21.9;71.6;4.9;46.3;26.5;30.5
25;Totaal personen;Bovengrens 95%-interval;2016;7.8;3.1;9.8;89.1;7.6;3.5;12.6;86.0;7.2;8.0;20.7;74.2;4.8;48.2;26.4;28.8
26;Totaal personen;Bovengrens 95%-interval;2017;7.7;3.2;10.5;88.3;7.6;4.0;11.9;86.3;7.3;7.7;19.0;76.0;4.7;50.7;25.3;27.3
27;Totaal personen;Bovengrens 95%-interval;2018;7.7;3.3;10.2;88.5;7.6;2.9;12.7;86.6;7.3;7.4;18.2;77.1;4.5;53.3;23.9;26.2
28;Totaal personen;Bovengrens 95%-interval;2019;7.7;3.1;9.2;89.7;7.7;2.8;11.1;88.2;7.4;7.4;17.1;78.2;4.6;52.7;24.3;26.3
29;Totaal personen;Bovengrens 95%-interval;2020;7.7;3.2;11.3;87.6;7.6;3.2;13.3;85.7;7.5;6.5;15.5;80.5;4.5;55.2;22.9;25.2
30;Totaal personen;Bovengrens 95%-interval;2021;7.6;3.8;11.2;87.3;7.6;3.9;14.0;84.6;7.7;5.9;13.8;83.0;4.2;59.5;20.4;23.6
31;Totaal personen;Bovengrens 95%-interval;2022;7.6;3.3;11.9;86.9;7.5;3.6;14.4;84.2;7.4;6.9;18.1;77.6;4.7;52.1;21.4;29.7
32;Totaal personen;Bovengrens 95%-interval;2023;7.7;2.7;11.9;87.4;7.6;3.4;13.8;85.0;7.4;7.0;17.5;78.0;4.7;51.5;22.0;29.8
33;Arb.pos.: werkzame beroepsbevolking;Waarde;2013;7.8;1.5;7.5;91.0;7.7;2.1;10.7;87.3;7.1;7.1;20.6;72.2;5.1;40.7;28.0;31.3
34;Arb.pos.: werkzame beroepsbevolking;Waarde;2014;7.8;1.6;6.7;91.7;7.7;2.0;9.5;88.5;7.2;6.5;18.6;74.8;4.9;44.4;26.9;28.7
35;Arb.pos.: werkzame beroepsbevolking;Waarde;2015;7.8;1.8;7.1;91.1;7.7;2.2;10.0;87.8;7.2;6.5;19.2;74.3;4.9;46.2;25.8;28.0
36;Arb.pos.: werkzame beroepsbevolking;Waarde;2016;7.8;1.7;7.3;91.0;7.7;1.8;9.6;88.6;7.3;5.6;18.0;76.5;4.7;48.4;25.7;26.0
37;Arb.pos.: werkzame beroepsbevolking;Waarde;2017;7.8;1.5;7.6;90.9;7.7;1.7;9.3;89.0;7.5;4.7;15.5;79.8;4.6;50.9;25.1;23.9
38;Arb.pos.: werkzame beroepsbevolking;Waarde;2018;7.8;2.0;7.7;90.3;7.7;1.5;10.2;88.2;7.4;5.6;15.8;78.6;4.5;52.8;23.0;24.2
39;Arb.pos.: werkzame beroepsbevolking;Waarde;2019;7.8;1.6;6.7;91.7;7.7;1.4;8.5;90.1;7.5;5.2;15.1;79.7;4.5;51.6;24.3;24.1
40;Arb.pos.: werkzame beroepsbevolking;Waarde;2020;7.7;1.8;8.7;89.4;7.7;1.8;10.2;88.0;7.6;4.5;13.2;82.3;4.4;54.8;22.6;22.6
41;Arb.pos.: werkzame beroepsbevolking;Waarde;2021;7.7;2.6;9.1;88.4;7.6;2.3;11.8;85.9;7.8;3.8;11.3;84.9;4.2;58.9;19.5;21.5
42;Arb.pos.: werkzame beroepsbevolking;Waarde;2022;7.7;2.0;10.0;87.9;7.6;2.3;12.4;85.3;7.4;5.2;16.7;78.1;4.7;51.2;20.7;28.1
43;Arb.pos.: werkzame beroepsbevolking;Waarde;2023;7.7;1.3;9.7;89.0;7.6;1.8;11.8;86.4;7.4;5.2;16.4;78.4;4.7;50.0;22.1;27.9
44;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2013;7.8;1.2;6.7;90.1;7.6;1.6;9.8;86.2;7.1;6.3;19.4;70.8;5.0;39.2;26.7;29.9
45;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2014;7.8;1.3;6.0;90.8;7.6;1.6;8.6;87.5;7.2;5.8;17.5;73.5;4.8;42.9;25.6;27.4
46;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2015;7.8;1.4;6.4;90.2;7.6;1.8;9.2;86.7;7.2;5.7;18.1;73.0;4.8;44.8;24.5;26.7
47;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2016;7.8;1.3;6.5;90.1;7.7;1.4;8.7;87.6;7.3;4.9;16.8;75.1;4.6;46.9;24.4;24.7
48;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2017;7.8;1.2;6.8;90.0;7.7;1.4;8.4;88.0;7.4;4.0;14.4;78.5;4.5;49.5;23.9;22.6
49;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2018;7.7;1.6;6.9;89.3;7.7;1.2;9.3;87.2;7.4;4.9;14.7;77.3;4.4;51.4;21.7;22.9
50;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2019;7.8;1.2;6.0;90.7;7.7;1.0;7.7;89.1;7.4;4.5;14.0;78.5;4.4;50.1;23.0;22.8
51;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2020;7.7;1.4;7.8;88.4;7.6;1.4;9.3;86.9;7.6;3.8;12.2;81.0;4.3;53.2;21.3;21.3
52;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2021;7.7;2.1;8.1;87.2;7.6;1.8;10.8;84.7;7.7;3.2;10.3;83.6;4.1;57.3;18.3;20.2
53;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2022;7.6;1.6;9.2;86.9;7.5;1.9;11.5;84.2;7.4;4.5;15.6;76.9;4.6;49.7;19.6;26.8
54;Arb.pos.: werkzame beroepsbevolking;Ondergrens 95%-interval;2023;7.7;1.0;8.8;88.0;7.6;1.5;10.8;85.3;7.4;4.5;15.3;77.1;4.6;48.6;20.8;26.6
55;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2013;7.9;2.0;8.3;91.9;7.7;2.6;11.7;88.3;7.2;8.0;21.9;73.6;5.2;42.2;29.4;32.8
56;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2014;7.9;2.1;7.5;92.5;7.7;2.5;10.4;89.5;7.3;7.4;19.9;76.2;5.0;45.9;28.3;30.1
57;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2015;7.9;2.2;8.0;91.9;7.7;2.7;11.0;88.7;7.3;7.3;20.5;75.6;4.9;47.7;27.1;29.4
58;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2016;7.9;2.2;8.2;91.9;7.7;2.3;10.5;89.6;7.4;6.4;19.2;77.8;4.8;49.9;27.0;27.3
59;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2017;7.9;1.9;8.5;91.8;7.8;2.2;10.2;89.9;7.5;5.4;16.7;81.0;4.6;52.4;26.5;25.2
60;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2018;7.8;2.5;8.6;91.2;7.7;2.0;11.2;89.2;7.5;6.4;16.9;79.8;4.6;54.3;24.2;25.5
61;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2019;7.8;2.1;7.6;92.5;7.8;1.8;9.4;91.0;7.5;5.9;16.2;81.0;4.6;53.1;25.6;25.4
62;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2020;7.8;2.3;9.7;90.4;7.7;2.3;11.3;89.0;7.7;5.2;14.4;83.5;4.5;56.3;23.9;24.0
63;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2021;7.7;3.2;10.1;89.4;7.7;2.9;12.9;87.0;7.8;4.6;12.4;86.1;4.3;60.5;20.9;22.9
64;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2022;7.7;2.5;11.0;88.9;7.6;2.8;13.4;86.3;7.5;5.9;17.9;79.3;4.7;52.6;21.9;29.5
65;Arb.pos.: werkzame beroepsbevolking;Bovengrens 95%-interval;2023;7.7;1.7;10.6;89.9;7.6;2.3;12.8;87.4;7.5;5.9;17.6;79.6;4.8;51.5;23.3;29.3
66;Arb.pos.: niet-werkzame bevolking;Waarde;2013;7.5;4.1;14.2;81.7;7.3;5.8;16.8;77.5;6.6;12.8;25.4;61.8;5.2;38.5;27.7;33.8
67;Arb.pos.: niet-werkzame bevolking;Waarde;2014;7.5;3.6;14.7;81.7;7.4;5.5;16.4;78.0;6.7;13.0;22.7;64.3;4.8;44.8;23.7;31.4
68;Arb.pos.: niet-werkzame bevolking;Waarde;2015;7.5;4.5;14.5;81.0;7.3;6.8;15.9;77.3;6.7;12.4;23.7;63.9;4.9;43.4;24.9;31.7
69;Arb.pos.: niet-werkzame bevolking;Waarde;2016;7.5;4.3;12.2;83.6;7.4;5.1;15.7;79.2;6.9;10.3;22.6;67.1;4.8;44.7;24.7;30.6
70;Arb.pos.: niet-werkzame bevolking;Waarde;2017;7.5;5.1;13.7;81.2;7.4;6.7;14.3;79.0;6.8;11.4;22.6;66.0;4.7;47.0;22.8;30.3
71;Arb.pos.: niet-werkzame bevolking;Waarde;2018;7.5;4.5;12.6;82.9;7.4;4.1;14.8;81.0;7.1;8.8;19.9;71.3;4.4;50.6;22.6;26.8
72;Arb.pos.: niet-werkzame bevolking;Waarde;2019;7.5;4.6;11.8;83.6;7.5;4.3;13.9;81.8;7.1;9.7;18.2;72.1;4.5;51.3;21.2;27.5
73;Arb.pos.: niet-werkzame bevolking;Waarde;2020;7.5;4.4;13.8;81.8;7.4;4.5;16.6;78.9;7.2;8.5;17.2;74.3;4.4;52.7;20.4;27.0
74;Arb.pos.: niet-werkzame bevolking;Waarde;2021;7.4;4.7;12.8;82.5;7.4;5.3;15.5;79.3;7.3;7.9;16.0;76.2;4.1;56.8;18.9;24.3
75;Arb.pos.: niet-werkzame bevolking;Waarde;2022;7.5;4.5;13.3;82.3;7.4;4.8;15.7;79.5;7.2;8.4;18.1;73.5;4.5;50.5;19.9;29.7
76;Arb.pos.: niet-werkzame bevolking;Waarde;2023;7.5;4.2;14.2;81.7;7.4;5.2;15.4;79.4;7.2;8.9;17.0;74.1;4.5;50.9;18.8;30.3
77;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2013;7.4;3.3;12.7;80.0;7.3;4.8;15.2;75.6;6.6;11.4;23.6;59.7;5.0;36.5;25.9;31.9
78;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2014;7.5;2.9;13.3;80.1;7.3;4.6;15.0;76.3;6.7;11.7;21.0;62.3;4.7;42.9;22.1;29.6
79;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2015;7.4;3.7;13.1;79.4;7.2;5.8;14.5;75.5;6.6;11.1;22.0;61.9;4.8;41.4;23.3;29.9
80;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2016;7.5;3.5;10.9;81.9;7.3;4.3;14.2;77.4;6.8;9.0;20.9;65.2;4.7;42.7;23.0;28.8
81;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2017;7.4;4.2;12.3;79.5;7.3;5.7;12.9;77.3;6.8;10.0;20.9;64.0;4.6;45.0;21.1;28.4
82;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2018;7.4;3.6;11.3;81.3;7.4;3.3;13.4;79.3;7.0;7.6;18.3;69.3;4.3;48.6;21.0;25.0
83;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2019;7.4;3.6;10.5;81.9;7.4;3.4;12.4;80.1;7.0;8.4;16.6;70.1;4.4;49.2;19.5;25.6
84;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2020;7.4;3.6;12.4;80.1;7.4;3.7;15.0;77.1;7.1;7.3;15.6;72.4;4.3;50.6;18.7;25.2
85;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2021;7.4;3.8;11.3;80.7;7.3;4.3;13.9;77.3;7.3;6.6;14.4;74.1;4.0;54.5;17.2;22.4
86;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2022;7.4;3.7;12.0;80.7;7.3;4.0;14.3;77.8;7.1;7.3;16.7;71.7;4.4;48.6;18.3;27.9
87;Arb.pos.: niet-werkzame bevolking;Ondergrens 95%-interval;2023;7.4;3.4;12.8;80.0;7.3;4.3;13.9;77.6;7.1;7.7;15.5;72.3;4.4;48.9;17.3;28.5
88;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2013;7.6;5.1;15.7;83.3;7.4;6.9;18.4;79.2;6.7;14.4;27.3;63.8;5.3;40.5;29.6;35.8
89;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2014;7.6;4.4;16.2;83.2;7.4;6.6;18.0;79.7;6.8;14.5;24.4;66.2;4.9;46.8;25.5;33.3
90;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2015;7.5;5.5;16.0;82.6;7.4;8.0;17.5;79.0;6.8;13.9;25.5;65.8;5.0;45.3;26.7;33.6
91;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2016;7.6;5.2;13.6;85.1;7.5;6.2;17.3;80.8;7.0;11.6;24.4;69.1;4.9;46.7;26.5;32.6
92;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2017;7.5;6.1;15.2;82.8;7.4;7.9;15.8;80.7;6.9;12.9;24.4;68.0;4.8;49.0;24.5;32.2
93;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2018;7.5;5.5;14.1;84.5;7.5;5.1;16.4;82.6;7.1;10.2;21.6;73.1;4.5;52.7;24.4;28.6
94;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2019;7.6;5.7;13.3;85.2;7.5;5.4;15.5;83.5;7.2;11.2;19.9;74.0;4.6;53.4;23.0;29.4
95;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2020;7.5;5.4;15.4;83.4;7.5;5.5;18.2;80.6;7.3;9.8;18.9;76.1;4.5;54.7;22.1;28.9
96;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2021;7.5;5.8;14.5;84.3;7.4;6.5;17.2;81.1;7.4;9.3;17.8;78.1;4.2;59.0;20.8;26.3
97;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2022;7.5;5.4;14.7;83.8;7.5;5.8;17.2;81.1;7.3;9.6;19.7;75.2;4.6;52.4;21.4;31.5
98;Arb.pos.: niet-werkzame bevolking;Bovengrens 95%-interval;2023;7.5;5.1;15.7;83.2;7.4;6.3;17.0;81.0;7.3;10.2;18.6;75.9;4.6;52.9;20.4;32.2
99;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2013;7.3;4.9;18.2;76.8;7.1;6.8;20.3;72.9;5.9;22.3;31.5;46.2;5.7;31.1;28.7;40.1
100;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2014;7.4;4.5;17.3;78.2;7.1;7.3;18.7;73.9;6.0;21.6;29.5;48.9;5.5;34.0;27.9;38.2
101;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2015;7.3;6.3;15.9;77.8;7.1;8.6;19.6;71.8;6.0;20.7;32.2;47.1;5.7;31.5;29.8;38.7
102;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2016;7.3;6.0;15.3;78.7;7.1;6.8;20.5;72.7;6.1;19.4;34.7;45.9;5.6;32.1;28.9;39.0
103;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2017;7.3;6.4;16.3;77.3;7.1;7.9;18.4;73.7;6.2;18.3;30.7;51.0;5.5;34.5;27.5;38.0
104;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2018;7.3;6.0;15.5;78.5;7.2;5.1;19.9;75.1;6.3;18.7;29.2;52.2;5.2;38.0;26.4;35.6
105;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2019;7.4;5.5;13.9;80.6;7.3;5.6;17.3;77.1;6.3;18.5;28.1;53.5;5.3;38.5;26.7;34.7
106;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2020;7.2;5.6;19.9;74.5;7.2;5.8;21.5;72.8;6.4;17.6;25.2;57.2;5.3;38.5;26.3;35.2
107;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2021;7.2;6.1;18.1;75.8;7.2;6.9;19.6;73.5;6.7;14.7;24.1;61.3;4.9;44.3;23.1;32.6
108;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2022;7.3;6.7;16.0;77.3;7.1;6.7;20.3;73.0;6.3;17.5;28.4;54.2;5.5;34.4;25.2;40.3
109;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2023;7.3;4.5;18.4;77.1;7.1;5.9;20.4;73.7;6.3;17.5;28.7;53.8;5.6;33.5;25.4;41.1
110;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2013;7.2;3.6;15.8;73.9;7.0;5.3;17.7;69.8;5.8;19.6;28.5;42.9;5.5;28.2;25.8;36.9
111;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2014;7.3;3.3;15.1;75.5;7.0;5.8;16.4;71.1;5.9;19.1;26.7;45.8;5.3;31.1;25.2;35.2
112;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2015;7.2;4.9;13.8;75.2;7.0;7.0;17.3;69.0;5.9;18.4;29.4;44.0;5.5;28.8;27.1;35.7
113;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2016;7.2;4.6;13.1;75.9;7.0;5.4;18.0;69.7;6.0;16.9;31.6;42.7;5.4;29.2;26.1;35.8
114;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2017;7.2;5.1;14.1;74.6;7.0;6.4;16.1;70.9;6.1;16.0;28.0;47.9;5.3;31.7;24.8;35.0
115;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2018;7.2;4.7;13.2;75.7;7.1;3.8;17.4;72.1;6.2;16.3;26.3;48.9;5.1;34.9;23.6;32.6
116;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2019;7.3;4.1;11.8;77.8;7.2;4.2;14.9;74.2;6.1;16.0;25.2;50.1;5.1;35.4;23.9;31.7
117;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2020;7.1;4.3;17.4;71.4;7.1;4.4;18.8;69.7;6.3;15.2;22.5;53.9;5.1;35.4;23.5;32.2
118;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2021;7.1;4.6;15.5;72.5;7.0;5.2;16.9;70.1;6.6;12.3;21.1;57.7;4.7;40.7;20.2;29.3
119;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2022;7.2;5.4;14.0;74.7;7.0;5.3;18.1;70.3;6.2;15.3;25.8;51.3;5.4;31.7;22.8;37.5
120;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2023;7.2;3.4;16.2;74.5;7.1;4.7;18.1;71.0;6.2;15.4;26.1;50.9;5.4;30.9;23.0;38.3
121;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2013;7.4;6.7;21.0;79.6;7.2;8.7;23.2;75.8;6.1;25.3;34.6;49.5;5.9;34.3;31.8;43.4
122;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2014;7.5;6.0;19.8;80.7;7.2;9.2;21.3;76.6;6.2;24.3;32.4;52.0;5.7;36.9;30.7;41.3
123;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2015;7.4;8.0;18.3;80.3;7.2;10.5;22.1;74.5;6.1;23.3;35.1;50.1;5.8;34.4;32.7;41.7
124;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2016;7.5;7.8;17.8;81.2;7.3;8.6;23.3;75.5;6.2;22.1;37.8;49.2;5.8;35.2;31.9;42.2
125;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2017;7.4;8.2;18.7;79.8;7.3;9.7;20.9;76.3;6.3;20.9;33.7;54.0;5.7;37.5;30.3;41.1
126;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2018;7.4;7.8;18.0;81.1;7.3;6.7;22.6;77.8;6.4;21.3;32.2;55.4;5.4;41.1;29.4;38.8
127;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2019;7.5;7.3;16.4;83.2;7.4;7.3;20.0;79.8;6.4;21.3;31.1;56.7;5.5;41.8;29.8;38.0
128;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2020;7.3;7.3;22.7;77.2;7.3;7.5;24.4;75.6;6.5;20.2;28.2;60.4;5.4;41.7;29.2;38.4
129;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2021;7.4;8.1;21.1;78.8;7.3;9.1;22.7;76.6;6.9;17.5;27.3;64.7;5.1;47.8;26.2;36.1
130;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2022;7.3;8.4;18.3;79.6;7.2;8.4;22.8;75.5;6.4;19.8;31.0;57.0;5.7;37.2;27.8;43.2
131;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2023;7.3;5.9;20.8;79.5;7.2;7.5;22.9;76.2;6.4;19.9;31.3;56.7;5.7;36.2;28.0;44.0
132;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2013;7.6;3.2;10.2;86.6;7.4;4.2;14.6;81.2;6.5;11.5;30.0;58.5;5.5;32.0;29.8;38.2
133;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2014;7.7;2.8;10.2;87.1;7.5;3.4;13.2;83.4;6.7;10.7;26.7;62.6;5.2;38.5;27.5;34.0
134;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2015;7.6;3.5;11.1;85.4;7.4;4.5;13.9;81.6;6.6;11.7;26.3;62.0;5.1;39.7;26.9;33.4
135;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2016;7.6;3.0;10.5;86.5;7.5;2.9;13.8;83.3;6.8;9.1;26.2;64.7;5.1;40.8;27.9;31.3
136;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2017;7.6;2.8;12.1;85.1;7.5;4.1;12.2;83.7;6.9;8.0;23.8;68.2;4.9;42.9;25.9;31.2
137;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2018;7.6;2.9;11.4;85.7;7.5;2.8;13.5;83.7;7.0;6.8;21.8;71.4;4.8;45.5;25.6;28.8
