ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;VictimsTotal_1;VictimsOfViolentCrimes_2;VictimsOfVandalism_3;TotalTheft_4;AttemptedBurglary_5;CarTheft_6;TheftOfOtherVehicles_7;AttemptedPickpocketing_8;OtherTheft_9
183;Level of education: Intermediate;Percentage/average;Saba;2017/2018;10.1;;;;;;;;
184;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2013;4.6;2.2;2.9;4.3;3.0;;1.8;2.1;3.2
185;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2017/2018;3.1;1.3;1.4;2.8;1.6;;1.1;1.4;1.9
186;Level of education: Intermediate;Reliability margin;Bonaire;2013;5.1;2.2;3.3;4.9;3.5;;2.2;2.4;3.7
187;Level of education: Intermediate;Reliability margin;Bonaire;2017/2018;4.0;1.7;1.6;3.8;2.2;1.4;;1.8;2.6
188;Level of education: Intermediate;Reliability margin;St. Eustatius;2013;;;;;;;;;
189;Level of education: Intermediate;Reliability margin;St. Eustatius;2017/2018;6.1;;;5.0;;;;;
190;Level of education: Intermediate;Reliability margin;Saba;2013;;;;;;;;;
191;Level of education: Intermediate;Reliability margin;Saba;2017/2018;7.5;;;;;;;;
192;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;20.1;;5.6;16.6;5.6;2.1;;3.2;9.5
193;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;9.6;1.7;2.0;6.5;2.5;;;2.3;2.5
194;Level of education: High;Percentage/average;Bonaire;2013;22.5;;5.1;19.8;5.9;3.3;;4.0;11.3
195;Level of education: High;Percentage/average;Bonaire;2017/2018;10.0;;2.7;6.9;3.7;;;;2.6
196;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;;;;
197;Level of education: High;Percentage/average;St. Eustatius;2017/2018;8.7;;;;;;;;
198;Level of education: High;Percentage/average;Saba;2013;15.0;;;11.8;8.1;;;;
199;Level of education: High;Percentage/average;Saba;2017/2018;9.1;;;7.0;;;;;
200;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;5.9;;3.4;5.5;3.4;2.1;;2.6;4.3
201;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;3.3;1.5;1.6;2.8;1.7;;;1.7;1.7
202;Level of education: High;Reliability margin;Bonaire;2013;7.8;;4.1;7.4;4.4;3.3;;3.6;5.9
203;Level of education: High;Reliability margin;Bonaire;2017/2018;4.5;;2.4;3.8;2.8;;;;2.4
204;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;;;;
205;Level of education: High;Reliability margin;St. Eustatius;2017/2018;8.1;;;;;;;;
206;Level of education: High;Reliability margin;Saba;2013;9.2;;;8.3;7.0;;;;
207;Level of education: High;Reliability margin;Saba;2017/2018;6.2;;;5.5;;;;;
