ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
130;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2018;702.0;541.0;162.0;43.5;;;
131;Total;Age head of household: younger than 35;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2021;790.0;650.0;142.0;41.4;;;
132;Total;Age head of household: younger than 35;Total dwellings;Value;2012;776.0;593.0;183.0;37.9;;;
133;Total;Age head of household: younger than 35;Total dwellings;Value;2015;777.0;599.0;177.0;38.3;;;
134;Total;Age head of household: younger than 35;Total dwellings;Value;2018;807.0;627.0;180.0;37.2;;;
135;Total;Age head of household: younger than 35;Total dwellings;Value;2021;866.0;702.0;164.0;35.5;;;
136;Total;Age head of household: younger than 35;Total dwellings;Lower bound 95% confidence interval;2012;766.0;584.0;181.0;37.3;;;
137;Total;Age head of household: younger than 35;Total dwellings;Lower bound 95% confidence interval;2015;767.0;590.0;176.0;37.7;;;
138;Total;Age head of household: younger than 35;Total dwellings;Lower bound 95% confidence interval;2018;797.0;618.0;179.0;36.5;;;
139;Total;Age head of household: younger than 35;Total dwellings;Lower bound 95% confidence interval;2021;853.0;690.0;162.0;34.7;;;
140;Total;Age head of household: younger than 35;Total dwellings;Upper bound 95% confidence interval;2012;786.0;603.0;184.0;38.5;;;
141;Total;Age head of household: younger than 35;Total dwellings;Upper bound 95% confidence interval;2015;786.0;609.0;179.0;39.0;;;
142;Total;Age head of household: younger than 35;Total dwellings;Upper bound 95% confidence interval;2018;817.0;637.0;181.0;37.8;;;
143;Total;Age head of household: younger than 35;Total dwellings;Upper bound 95% confidence interval;2021;878.0;714.0;165.0;36.2;;;
144;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Value;2012;943.0;731.0;212.0;34.9;;;
145;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Value;2015;913.0;710.0;203.0;33.5;;;
146;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Value;2018;953.0;748.0;205.0;32.1;;;
147;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Value;2021;1001.0;804.0;197.0;29.3;;;
148;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2012;927.0;716.0;210.0;34.2;;;
149;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2015;899.0;697.0;201.0;32.9;;;
150;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2018;938.0;734.0;203.0;31.5;;;
151;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2021;983.0;786.0;195.0;28.6;;;
152;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2012;959.0;747.0;214.0;35.6;;;
153;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2015;926.0;722.0;205.0;34.1;;;
154;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2018;968.0;762.0;207.0;32.7;;;
155;Total;Age head of household: younger than 35;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2021;1020.0;822.0;200.0;30.0;;;
156;Total;Age head of household: younger than 35;Type of dwelling: detached house;Value;2012;1135.0;883.0;252.0;36.5;;;
157;Total;Age head of household: younger than 35;Type of dwelling: detached house;Value;2015;1070.0;823.0;247.0;35.2;;;
158;Total;Age head of household: younger than 35;Type of dwelling: detached house;Value;2018;1223.0;973.0;250.0;33.4;;;
159;Total;Age head of household: younger than 35;Type of dwelling: detached house;Value;2021;1280.0;1028.0;252.0;31.6;;;
160;Total;Age head of household: younger than 35;Type of dwelling: detached house;Lower bound 95% confidence interval;2012;1063.0;814.0;242.0;34.1;;;
161;Total;Age head of household: younger than 35;Type of dwelling: detached house;Lower bound 95% confidence interval;2015;1009.0;764.0;238.0;32.6;;;
162;Total;Age head of household: younger than 35;Type of dwelling: detached house;Lower bound 95% confidence interval;2018;1147.0;898.0;242.0;31.6;;;
163;Total;Age head of household: younger than 35;Type of dwelling: detached house;Lower bound 95% confidence interval;2021;1203.0;954.0;243.0;29.4;;;
164;Total;Age head of household: younger than 35;Type of dwelling: detached house;Upper bound 95% confidence interval;2012;1207.0;951.0;263.0;38.9;;;
165;Total;Age head of household: younger than 35;Type of dwelling: detached house;Upper bound 95% confidence interval;2015;1131.0;882.0;256.0;37.8;;;
166;Total;Age head of household: younger than 35;Type of dwelling: detached house;Upper bound 95% confidence interval;2018;1300.0;1048.0;258.0;35.1;;;
167;Total;Age head of household: younger than 35;Type of dwelling: detached house;Upper bound 95% confidence interval;2021;1357.0;1102.0;261.0;33.9;;;
168;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Value;2012;1034.0;810.0;224.0;35.2;;;
169;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Value;2015;1017.0;798.0;218.0;33.2;;;
170;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Value;2018;1053.0;836.0;217.0;31.1;;;
171;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Value;2021;1117.0;906.0;211.0;27.7;;;
172;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2012;984.0;762.0;219.0;33.2;;;
173;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2015;976.0;759.0;213.0;31.3;;;
174;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2018;1017.0;802.0;212.0;29.6;;;
175;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2021;1069.0;859.0;205.0;26.4;;;
176;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2012;1085.0;859.0;229.0;37.2;;;
177;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2015;1058.0;838.0;224.0;35.2;;;
178;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2018;1089.0;871.0;222.0;32.5;;;
179;Total;Age head of household: younger than 35;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2021;1165.0;953.0;216.0;29.0;;;
180;Total;Age head of household: younger than 35;Type of dwelling: corner house;Value;2012;917.0;705.0;213.0;35.0;;;
181;Total;Age head of household: younger than 35;Type of dwelling: corner house;Value;2015;886.0;683.0;203.0;34.2;;;
182;Total;Age head of household: younger than 35;Type of dwelling: corner house;Value;2018;913.0;707.0;206.0;32.7;;;
183;Total;Age head of household: younger than 35;Type of dwelling: corner house;Value;2021;963.0;767.0;196.0;29.0;;;
184;Total;Age head of household: younger than 35;Type of dwelling: corner house;Lower bound 95% confidence interval;2012;890.0;679.0;208.0;33.6;;;
185;Total;Age head of household: younger than 35;Type of dwelling: corner house;Lower bound 95% confidence interval;2015;861.0;658.0;199.0;32.9;;;
186;Total;Age head of household: younger than 35;Type of dwelling: corner house;Lower bound 95% confidence interval;2018;887.0;682.0;202.0;31.2;;;
187;Total;Age head of household: younger than 35;Type of dwelling: corner house;Lower bound 95% confidence interval;2021;922.0;727.0;191.0;27.4;;;
188;Total;Age head of household: younger than 35;Type of dwelling: corner house;Upper bound 95% confidence interval;2012;945.0;731.0;217.0;36.4;;;
189;Total;Age head of household: younger than 35;Type of dwelling: corner house;Upper bound 95% confidence interval;2015;911.0;707.0;208.0;35.5;;;
190;Total;Age head of household: younger than 35;Type of dwelling: corner house;Upper bound 95% confidence interval;2018;939.0;732.0;210.0;34.1;;;
191;Total;Age head of household: younger than 35;Type of dwelling: corner house;Upper bound 95% confidence interval;2021;1004.0;807.0;200.0;30.7;;;
192;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Value;2012;901.0;698.0;203.0;34.5;;;
193;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Value;2015;873.0;680.0;193.0;33.1;;;
194;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Value;2018;888.0;695.0;193.0;31.9;;;
195;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Value;2021;935.0;750.0;184.0;29.5;;;
196;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Lower bound 95% confidence interval;2012;880.0;678.0;200.0;33.6;;;
197;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Lower bound 95% confidence interval;2015;857.0;665.0;190.0;32.3;;;
198;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Lower bound 95% confidence interval;2018;872.0;679.0;191.0;31.1;;;
199;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Lower bound 95% confidence interval;2021;912.0;728.0;181.0;28.5;;;
200;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Upper bound 95% confidence interval;2012;921.0;718.0;206.0;35.4;;;
201;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Upper bound 95% confidence interval;2015;889.0;696.0;195.0;33.9;;;
202;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;905.0;711.0;196.0;32.7;;;
203;Total;Age head of household: younger than 35;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;957.0;772.0;187.0;30.5;;;
204;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Value;2012;639.0;480.0;159.0;40.3;;;
205;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Value;2015;673.0;515.0;158.0;42.0;;;
206;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Value;2018;689.0;530.0;159.0;41.3;;;
207;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Value;2021;770.0;630.0;140.0;39.8;;;
208;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;628.0;470.0;157.0;39.4;;;
209;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;660.0;503.0;156.0;41.1;;;
210;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;677.0;518.0;158.0;40.3;;;
211;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;754.0;615.0;138.0;38.7;;;
212;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;650.0;490.0;161.0;41.3;;;
